 slim_762027030 slim_762027071 slim_762027064 slim_762027040 slim_762027038 slim_762027053 slim_762027027 slim_762027059 slim_762027033 slim_762027057 slim_762027061 slim_762027043 slim_762027029 slim_762027034 slim_762027067 slim_762027058 slim_762027031 slim_762027051 slim_762027035 slim_762027054 slim_762027036 slim_762027041 slim_762027074 slim_762027060 slim_762027065 slim_762027046 slim_762027045 slim_762027062 slim_762027068 slim_762027070 slim_762027037 slim_762027069 slim_762027072 slim_762027073 slim_762027042 slim_762027032 slim_762027049 slim_762027050 slim_762027028 slim_762027066 slim_762027048 slim_762027063 slim_762027047 slim_762027055 slim_762027056 slim_762027039 slim_762027044 slim_762027052
10 1.2e-06 2.5e-05 2.535e-05 1.465e-05 7.2e-06 1.15e-06 1.355e-05 2.535e-05 3.87e-05 1.07e-05 1.7e-06 1.48e-05 1.38e-05 4.695e-05 2.05e-05 3.865e-05 3.35e-06 1.35e-06 6.9e-06 2.56e-05 1.65e-06 1.455e-05 5.25e-06 1.02e-05 2.515e-05 9.2e-06 7.15e-06 4.95e-06 1.6e-06 1.11e-05 1.1e-06 6.75e-06 2.51e-05 2.54e-05 1.025e-05 2.735e-05 1.235e-05 7.1e-06 1.465e-05 4.31e-05 1.1e-06 1.2e-06 2.51e-05 1.935e-05 7.4e-06 3.1e-06 1.855e-05 4.95e-06
11 1.465e-05 3.46e-05 3.485e-05 1.445e-05 2.05e-05 1.475e-05 2.3e-05 3.485e-05 3.445e-05 2.485e-05 1.48e-05 2.85e-05 2.34e-05 5.245e-05 2.06e-05 3.45e-05 1.675e-05 1.48e-05 2.065e-05 2.56e-05 1.515e-05 1.475e-05 1.88e-05 2.385e-05 3.46e-05 2.3e-05 2.065e-05 1.88e-05 1.51e-05 2.495e-05 1.46e-05 2.02e-05 3.465e-05 3.49e-05 2.385e-05 3.68e-05 2.605e-05 2.09e-05 1.425e-05 4.96e-05 1.47e-05 1.48e-05 3.465e-05 2.97e-05 2.095e-05 1.68e-05 1.855e-05 1.855e-05
12 1.39e-05 2.52e-05 2.475e-05 2.325e-05 1.615e-05 1.43e-05 1.35e-05 2.45e-05 3.435e-05 1.555e-05 1.38e-05 2.34e-05 2.55e-05 3.615e-05 2.5e-05 3.43e-05 1.635e-05 1.35e-05 1.585e-05 3.01e-05 1.28e-05 2.295e-05 1.355e-05 2.155e-05 2.52e-05 1.81e-05 1.61e-05 1.405e-05 1.305e-05 1.53e-05 1.42e-05 1.885e-05 2.525e-05 2.475e-05 2.15e-05 2.74e-05 2.125e-05 1.515e-05 2.325e-05 3.575e-05 1.425e-05 1.345e-05 2.525e-05 2.4e-05 1.545e-05 1.6e-05 2.32e-05 1.415e-05
13 4.725e-05 2.475e-05 2.42e-05 5.23e-05 4.75e-05 4.735e-05 3.665e-05 2.425e-05 2.98e-05 4.52e-05 4.695e-05 5.245e-05 3.615e-05 4.2e-06 5.235e-05 2.975e-05 4.95e-05 4.68e-05 4.72e-05 5.735e-05 4.64e-05 5.19e-05 4.49e-05 5.305e-05 2.475e-05 4.955e-05 4.745e-05 4.55e-05 4.63e-05 4.485e-05 4.735e-05 5.21e-05 2.48e-05 2.425e-05 5.29e-05 2.695e-05 5.25e-05 4.67e-05 5.23e-05 1.08e-05 4.73e-05 4.68e-05 2.48e-05 3.295e-05 4.7e-05 4.915e-05 4.835e-05 4.555e-05
14 2.075e-05 3.67e-05 3.66e-05 2.055e-05 2.08e-05 2.11e-05 2.505e-05 3.665e-05 3.625e-05 2.01e-05 2.05e-05 2.06e-05 2.5e-05 5.235e-05 4.01e-05 3.63e-05 2.11e-05 2.09e-05 2.05e-05 2.515e-05 2.095e-05 2.015e-05 2.08e-05 2.62e-05 3.67e-05 2.07e-05 2.075e-05 2.07e-05 2.085e-05 2.04e-05 2.1e-05 2.63e-05 3.675e-05 3.66e-05 2.615e-05 3.685e-05 2.59e-05 2.045e-05 2.055e-05 4.935e-05 2.105e-05 2.09e-05 3.675e-05 3.36e-05 2.075e-05 2.065e-05 2.43e-05 2.095e-05
15 3.885e-05 3.435e-05 3.405e-05 3.43e-05 4.085e-05 3.895e-05 3.455e-05 3.405e-05 2.99e-05 4.055e-05 3.865e-05 3.45e-05 3.43e-05 2.975e-05 3.63e-05 5.95e-05 4.105e-05 3.86e-05 4.065e-05 4.13e-05 3.845e-05 3.42e-05 3.855e-05 4.625e-05 3.435e-05 4.3e-05 4.08e-05 3.89e-05 3.835e-05 4.04e-05 3.89e-05 4.395e-05 3.44e-05 3.41e-05 4.615e-05 3.655e-05 4.6e-05 4.04e-05 3.435e-05 3.325e-05 3.89e-05 3.86e-05 3.44e-05 3.75e-05 4.06e-05 4.085e-05 3.44e-05 3.895e-05
16 3.35e-06 2.725e-05 2.775e-05 1.655e-05 7e-06 2.85e-06 1.585e-05 2.775e-05 4.11e-05 1.165e-05 3.35e-06 1.675e-05 1.635e-05 4.95e-05 2.11e-05 4.105e-05 5e-06 3.25e-06 7e-06 2.61e-05 3.9e-06 1.73e-05 7.25e-06 1.025e-05 2.72e-05 7.15e-06 6.85e-06 7.1e-06 3.85e-06 1.18e-05 2.6e-06 8.65e-06 2.715e-05 2.78e-05 1.025e-05 2.71e-05 1.25e-05 7.65e-06 1.66e-05 4.33e-05 2.8e-06 3.3e-06 2.715e-05 1.925e-05 7.5e-06 3.5e-06 2.115e-05 6.7e-06
17 1.3e-06 2.505e-05 2.52e-05 1.455e-05 7.35e-06 1.25e-06 1.36e-05 2.495e-05 3.865e-05 1.14e-05 1.35e-06 1.48e-05 1.35e-05 4.68e-05 2.09e-05 3.86e-05 3.25e-06 1.6e-06 7.2e-06 2.59e-05 1e-06 1.505e-05 5.15e-06 1.05e-05 2.495e-05 9.5e-06 7.3e-06 5.4e-06 1.2e-06 1.13e-05 1.15e-06 6.35e-06 2.51e-05 2.525e-05 1.045e-05 2.72e-05 1.255e-05 7.1e-06 1.465e-05 4.315e-05 1.2e-06 1e-06 2.51e-05 1.895e-05 7.25e-06 3.55e-06 1.905e-05 5.15e-06
18 7.1e-06 2.715e-05 2.735e-05 2.05e-05 7.15e-06 7.05e-06 1.565e-05 2.735e-05 4.07e-05 6.85e-06 6.9e-06 2.065e-05 1.585e-05 4.72e-05 2.05e-05 4.065e-05 7e-06 7.2e-06 1.34e-05 2.555e-05 7.5e-06 2.045e-05 7.1e-06 1.255e-05 2.715e-05 7.15e-06 7e-06 6.95e-06 7.45e-06 7.2e-06 6.8e-06 1.26e-05 2.705e-05 2.74e-05 1.255e-05 2.73e-05 1.23e-05 7.05e-06 2.05e-05 4.305e-05 7e-06 7.2e-06 2.705e-05 2.315e-05 7.35e-06 7.05e-06 2.455e-05 6.9e-06
19 2.58e-05 4.17e-05 4.16e-05 2.555e-05 2.58e-05 2.61e-05 3.015e-05 4.165e-05 4.125e-05 2.525e-05 2.56e-05 2.56e-05 3.01e-05 5.735e-05 2.515e-05 4.13e-05 2.61e-05 2.59e-05 2.555e-05 5.01e-05 2.595e-05 2.525e-05 2.58e-05 2.625e-05 4.17e-05 2.58e-05 2.575e-05 2.58e-05 2.585e-05 2.54e-05 2.6e-05 2.635e-05 4.175e-05 4.16e-05 2.62e-05 4.185e-05 2.595e-05 2.55e-05 2.555e-05 5.44e-05 2.605e-05 2.59e-05 4.175e-05 3.86e-05 2.575e-05 2.575e-05 2.94e-05 2.6e-05
20 1.45e-06 2.515e-05 2.49e-05 1.5e-05 7.8e-06 1.85e-06 1.365e-05 2.435e-05 3.85e-05 1.14e-05 1.65e-06 1.515e-05 1.28e-05 4.64e-05 2.095e-05 3.845e-05 3.9e-06 1e-06 7.5e-06 2.595e-05 2e-07 1.51e-05 5.2e-06 1.095e-05 2.515e-05 9.85e-06 7.75e-06 5.8e-06 6.5e-07 1.105e-05 1.75e-06 6.25e-06 2.52e-05 2.495e-05 1.09e-05 2.735e-05 1.29e-05 6.7e-06 1.5e-05 4.31e-05 1.8e-06 9e-07 2.52e-05 1.865e-05 7e-06 3.85e-06 1.925e-05 5.75e-06
21 1.48e-05 3.46e-05 3.44e-05 1.47e-05 2.07e-05 1.525e-05 2.295e-05 3.455e-05 3.425e-05 2.385e-05 1.455e-05 1.475e-05 2.295e-05 5.19e-05 2.015e-05 3.42e-05 1.73e-05 1.505e-05 2.045e-05 2.525e-05 1.51e-05 2.8e-05 1.875e-05 2.395e-05 3.46e-05 2.275e-05 2.075e-05 1.865e-05 1.49e-05 2.42e-05 1.515e-05 2.045e-05 3.465e-05 3.445e-05 2.39e-05 3.68e-05 2.59e-05 2.04e-05 1.46e-05 4.92e-05 1.52e-05 1.505e-05 3.465e-05 2.98e-05 2.075e-05 1.665e-05 1.815e-05 1.89e-05
22 5.4e-06 2.51e-05 2.505e-05 1.865e-05 7.35e-06 5.25e-06 1.36e-05 2.505e-05 3.86e-05 7.35e-06 5.25e-06 1.88e-05 1.355e-05 4.49e-05 2.08e-05 3.855e-05 7.25e-06 5.15e-06 7.1e-06 2.58e-05 5.2e-06 1.875e-05 9.8e-06 1.275e-05 2.51e-05 9.55e-06 7.2e-06 5.25e-06 5.15e-06 7.1e-06 5e-06 1.055e-05 2.5e-05 2.505e-05 1.275e-05 2.73e-05 1.26e-05 7.2e-06 1.865e-05 4.31e-05 5.2e-06 5.15e-06 2.5e-05 2.315e-05 7.3e-06 7.45e-06 2.275e-05 5.1e-06
23 1.05e-05 3.255e-05 3.29e-05 2.37e-05 1.245e-05 1.02e-05 2.115e-05 3.305e-05 4.63e-05 1.505e-05 1.02e-05 2.385e-05 2.155e-05 5.305e-05 2.62e-05 4.625e-05 1.025e-05 1.05e-05 1.255e-05 2.625e-05 1.095e-05 2.395e-05 1.275e-05 1.97e-05 3.27e-05 1.275e-05 1.24e-05 1.255e-05 1.075e-05 1.515e-05 1.01e-05 1.055e-05 3.265e-05 3.29e-05 1.005e-05 3.28e-05 1.255e-05 1.29e-05 2.37e-05 4.86e-05 1.015e-05 1.035e-05 3.265e-05 2.64e-05 1.28e-05 1.04e-05 2.77e-05 1.235e-05
24 2.53e-05 2.495e-05 2.49e-05 3.43e-05 2.73e-05 2.515e-05 2.52e-05 2.495e-05 3.44e-05 2.735e-05 2.515e-05 3.46e-05 2.52e-05 2.475e-05 3.67e-05 3.435e-05 2.72e-05 2.495e-05 2.715e-05 4.17e-05 2.515e-05 3.46e-05 2.51e-05 3.27e-05 4.95e-05 2.945e-05 2.725e-05 2.535e-05 2.51e-05 2.725e-05 2.51e-05 3.035e-05 2.5e-05 2.5e-05 3.26e-05 2.71e-05 3.245e-05 2.715e-05 3.445e-05 2.71e-05 2.51e-05 2.505e-05 2.5e-05 2.72e-05 2.73e-05 2.735e-05 3.475e-05 2.515e-05
25 9.4e-06 2.95e-05 2.965e-05 2.28e-05 7.25e-06 9.5e-06 1.79e-05 2.97e-05 4.305e-05 7.05e-06 9.2e-06 2.3e-05 1.81e-05 4.955e-05 2.07e-05 4.3e-05 7.15e-06 9.5e-06 7.15e-06 2.58e-05 9.85e-06 2.275e-05 9.55e-06 1.275e-05 2.945e-05 9.9e-06 7.2e-06 9.3e-06 9.75e-06 7.4e-06 9.4e-06 1.49e-05 2.955e-05 2.965e-05 1.27e-05 2.73e-05 1.25e-05 7.35e-06 2.285e-05 4.32e-05 9.45e-06 9.55e-06 2.955e-05 2.33e-05 7.45e-06 7.3e-06 2.685e-05 9.35e-06
26 7.3e-06 2.725e-05 2.74e-05 2.05e-05 6.85e-06 7.1e-06 1.575e-05 2.76e-05 4.085e-05 7.35e-06 7.15e-06 2.065e-05 1.61e-05 4.745e-05 2.075e-05 4.08e-05 6.85e-06 7.3e-06 7e-06 2.575e-05 7.75e-06 2.075e-05 7.2e-06 1.24e-05 2.725e-05 7.2e-06 1.33e-05 7.05e-06 7.5e-06 7.4e-06 6.8e-06 1.27e-05 2.72e-05 2.74e-05 1.245e-05 2.725e-05 1.24e-05 7.45e-06 2.05e-05 4.305e-05 7.05e-06 7.3e-06 2.72e-05 2.31e-05 7.15e-06 7.3e-06 2.46e-05 6.9e-06
27 5.25e-06 2.525e-05 2.55e-05 1.865e-05 7.2e-06 5e-06 1.37e-05 2.565e-05 3.895e-05 7.1e-06 4.95e-06 1.88e-05 1.405e-05 4.55e-05 2.07e-05 3.89e-05 7.1e-06 5.4e-06 6.95e-06 2.58e-05 5.8e-06 1.865e-05 5.25e-06 1.255e-05 2.535e-05 9.3e-06 7.05e-06 9.6e-06 5.6e-06 7.45e-06 4.8e-06 1.08e-05 2.515e-05 2.55e-05 1.26e-05 2.75e-05 1.25e-05 7.4e-06 1.865e-05 4.325e-05 4.95e-06 5.3e-06 2.515e-05 2.335e-05 7.5e-06 7.15e-06 2.255e-05 4.85e-06
28 1.65e-06 2.51e-05 2.455e-05 1.495e-05 7.55e-06 1.9e-06 1.36e-05 2.455e-05 3.84e-05 1.13e-05 1.6e-06 1.51e-05 1.305e-05 4.63e-05 2.085e-05 3.835e-05 3.85e-06 1.2e-06 7.45e-06 2.585e-05 6.5e-07 1.49e-05 5.15e-06 1.075e-05 2.51e-05 9.75e-06 7.5e-06 5.6e-06 1.2e-06 1.095e-05 1.75e-06 6.5e-06 2.515e-05 2.46e-05 1.075e-05 2.725e-05 1.285e-05 6.9e-06 1.495e-05 4.29e-05 1.85e-06 1.15e-06 2.515e-05 1.89e-05 7e-06 3.8e-06 1.89e-05 5.65e-06
29 1.14e-05 2.725e-05 2.685e-05 2.48e-05 7.45e-06 1.18e-05 1.565e-05 2.69e-05 4.045e-05 2.8e-06 1.11e-05 2.495e-05 1.53e-05 4.485e-05 2.04e-05 4.04e-05 1.18e-05 1.13e-05 7.2e-06 2.54e-05 1.105e-05 2.42e-05 7.1e-06 1.515e-05 2.725e-05 7.4e-06 7.4e-06 7.45e-06 1.095e-05 5.1e-06 1.17e-05 1.67e-05 2.73e-05 2.68e-05 1.51e-05 2.74e-05 1.245e-05 6.85e-06 2.48e-05 4.295e-05 1.175e-05 1.13e-05 2.73e-05 2.71e-05 7.1e-06 1.125e-05 2.845e-05 7.7e-06
30 1.2e-06 2.5e-05 2.565e-05 1.445e-05 7.05e-06 4.5e-07 1.365e-05 2.56e-05 3.895e-05 1.155e-05 1.1e-06 1.46e-05 1.42e-05 4.735e-05 2.1e-05 3.89e-05 2.6e-06 1.15e-06 6.8e-06 2.6e-05 1.75e-06 1.515e-05 5e-06 1.01e-05 2.51e-05 9.4e-06 6.8e-06 4.8e-06 1.75e-06 1.17e-05 3e-07 6.55e-06 2.48e-05 2.57e-05 1.015e-05 2.73e-05 1.245e-05 7.55e-06 1.445e-05 4.335e-05 4e-07 1.05e-06 2.48e-05 1.93e-05 7.55e-06 3.3e-06 1.89e-05 4.35e-06
31 6.65e-06 3.04e-05 3.055e-05 2e-05 1.275e-05 6.6e-06 1.9e-05 3.025e-05 4.4e-05 1.68e-05 6.75e-06 2.02e-05 1.885e-05 5.21e-05 2.63e-05 4.395e-05 8.65e-06 6.35e-06 1.26e-05 2.635e-05 6.25e-06 2.045e-05 1.055e-05 1.055e-05 3.035e-05 1.49e-05 1.27e-05 1.08e-05 6.5e-06 1.67e-05 6.55e-06 1.24e-05 3.045e-05 3.06e-05 1.045e-05 3.255e-05 1.25e-05 1.245e-05 2.005e-05 4.85e-05 6.55e-06 6.35e-06 3.045e-05 2.43e-05 1.26e-05 8.95e-06 2.445e-05 1.055e-05
32 2.535e-05 2.49e-05 2.5e-05 3.45e-05 2.735e-05 2.49e-05 2.52e-05 2.5e-05 3.445e-05 2.74e-05 2.51e-05 3.465e-05 2.525e-05 2.48e-05 3.675e-05 3.44e-05 2.715e-05 2.51e-05 2.705e-05 4.175e-05 2.52e-05 3.465e-05 2.5e-05 3.265e-05 2.5e-05 2.955e-05 2.72e-05 2.515e-05 2.515e-05 2.73e-05 2.48e-05 3.045e-05 4.96e-05 2.505e-05 3.26e-05 2.72e-05 3.255e-05 2.72e-05 3.45e-05 2.715e-05 2.485e-05 2.5e-05 2.48e-05 2.725e-05 2.735e-05 2.73e-05 3.47e-05 2.495e-05
33 2.57e-05 2.5e-05 2.43e-05 3.475e-05 2.745e-05 2.58e-05 2.515e-05 2.46e-05 3.415e-05 2.72e-05 2.54e-05 3.49e-05 2.475e-05 2.425e-05 3.66e-05 3.41e-05 2.78e-05 2.525e-05 2.74e-05 4.16e-05 2.495e-05 3.445e-05 2.505e-05 3.29e-05 2.5e-05 2.965e-05 2.74e-05 2.55e-05 2.46e-05 2.68e-05 2.57e-05 3.06e-05 2.505e-05 4.85e-05 3.285e-05 2.715e-05 3.27e-05 2.7e-05 3.475e-05 2.685e-05 2.575e-05 2.525e-05 2.505e-05 2.72e-05 2.705e-05 2.76e-05 3.46e-05 2.56e-05
34 1.05e-05 3.255e-05 3.285e-05 2.365e-05 1.25e-05 1.01e-05 2.115e-05 3.295e-05 4.62e-05 1.5e-05 1.025e-05 2.385e-05 2.15e-05 5.29e-05 2.615e-05 4.615e-05 1.025e-05 1.045e-05 1.255e-05 2.62e-05 1.09e-05 2.39e-05 1.275e-05 1.005e-05 3.26e-05 1.27e-05 1.245e-05 1.26e-05 1.075e-05 1.51e-05 1.015e-05 1.045e-05 3.26e-05 3.285e-05 1.98e-05 3.27e-05 1.245e-05 1.285e-05 2.37e-05 4.855e-05 1.005e-05 1.04e-05 3.26e-05 2.64e-05 1.28e-05 1.04e-05 2.77e-05 1.24e-05
35 2.75e-05 2.715e-05 2.71e-05 3.66e-05 2.73e-05 2.735e-05 2.74e-05 2.715e-05 3.66e-05 2.75e-05 2.735e-05 3.68e-05 2.74e-05 2.695e-05 3.685e-05 3.655e-05 2.71e-05 2.72e-05 2.73e-05 4.185e-05 2.735e-05 3.68e-05 2.73e-05 3.28e-05 2.71e-05 2.73e-05 2.725e-05 2.75e-05 2.725e-05 2.74e-05 2.73e-05 3.255e-05 2.72e-05 2.715e-05 3.27e-05 5.39e-05 3.26e-05 2.73e-05 3.665e-05 2.71e-05 2.73e-05 2.725e-05 2.72e-05 2.72e-05 2.73e-05 2.75e-05 3.695e-05 2.735e-05
36 1.25e-05 3.25e-05 3.27e-05 2.585e-05 1.245e-05 1.25e-05 2.105e-05 3.27e-05 4.605e-05 1.23e-05 1.235e-05 2.605e-05 2.125e-05 5.25e-05 2.59e-05 4.6e-05 1.25e-05 1.255e-05 1.23e-05 2.595e-05 1.29e-05 2.59e-05 1.26e-05 1.255e-05 3.245e-05 1.25e-05 1.24e-05 1.25e-05 1.285e-05 1.245e-05 1.245e-05 1.25e-05 3.255e-05 3.27e-05 1.245e-05 3.26e-05 2.42e-05 1.25e-05 2.59e-05 4.845e-05 1.245e-05 1.26e-05 3.255e-05 2.855e-05 1.265e-05 1.25e-05 3e-05 1.245e-05
37 7.2e-06 2.715e-05 2.695e-05 2.075e-05 7.5e-06 7.65e-06 1.56e-05 2.67e-05 4.045e-05 6.75e-06 7.1e-06 2.09e-05 1.515e-05 4.67e-05 2.045e-05 4.04e-05 7.65e-06 7.1e-06 7.05e-06 2.55e-05 6.7e-06 2.04e-05 7.2e-06 1.29e-05 2.715e-05 7.35e-06 7.45e-06 7.4e-06 6.9e-06 6.85e-06 7.55e-06 1.245e-05 2.72e-05 2.7e-05 1.285e-05 2.73e-05 1.25e-05 1.32e-05 2.075e-05 4.29e-05 7.6e-06 7.05e-06 2.72e-05 2.28e-05 7.05e-06 7.25e-06 2.465e-05 7.55e-06
38 1.45e-05 3.445e-05 3.47e-05 1.43e-05 2.035e-05 1.46e-05 2.285e-05 3.47e-05 3.44e-05 2.47e-05 1.465e-05 1.425e-05 2.325e-05 5.23e-05 2.055e-05 3.435e-05 1.66e-05 1.465e-05 2.05e-05 2.555e-05 1.5e-05 1.46e-05 1.865e-05 2.37e-05 3.445e-05 2.285e-05 2.05e-05 1.865e-05 1.495e-05 2.48e-05 1.445e-05 2.005e-05 3.45e-05 3.475e-05 2.37e-05 3.665e-05 2.59e-05 2.075e-05 2.82e-05 4.945e-05 1.455e-05 1.465e-05 3.45e-05 2.955e-05 2.08e-05 1.665e-05 1.84e-05 1.84e-05
