 slim_762115188 slim_762115148 slim_762115150 slim_762115184 slim_762115168 slim_762115166 slim_762115176 slim_762115160 slim_762115159 slim_762115178 slim_762115167 slim_762115175 slim_762115157 slim_762115172 slim_762115170 slim_762115161 slim_762115149 slim_762115153 slim_762115169 slim_762115182 slim_762115152 slim_762115189 slim_762115180 slim_762115151 slim_762115177 slim_762115171 slim_762115158 slim_762115162 slim_762115186 slim_762115185 slim_762115187 slim_762115181 slim_762115174 slim_762115154 slim_762115155 slim_762115183 slim_762115156 slim_762115179 slim_762115173 slim_762115164 slim_762115165 slim_762115163
10 2.35e-06 1.75e-06 1.45e-06 2.65e-06 1.5e-06 1.55e-06 1.9e-06 2.15e-06 2.2e-06 2.05e-06 1.9e-06 1.85e-06 1.5e-06 2.25e-06 1.95e-06 1.65e-06 1.8e-06 1.7e-06 1.9e-06 2.35e-06 1.65e-06 2.1e-06 2.4e-06 2.05e-06 2.05e-06 1.65e-06 2.2e-06 1.7e-06 2e-06 1.75e-06 1.45e-06 2.15e-06 1.8e-06 2e-06 1.5e-06 2.1e-06 1.9e-06 1.85e-06 1.95e-06 2.5e-06 1.95e-06 2.65e-06
11 1.65e-06 1.65e-06 1.75e-06 2.6e-06 1.4e-06 2.1e-06 1.75e-06 1.8e-06 2.05e-06 1.6e-06 1.85e-06 2.1e-06 1.75e-06 1.9e-06 1.5e-06 1.05e-06 1.55e-06 1.4e-06 1.3e-06 2.15e-06 1.65e-06 1.8e-06 2.15e-06 1.8e-06 1.8e-06 1.75e-06 2.05e-06 1.5e-06 1.4e-06 1.5e-06 1.65e-06 1.95e-06 1.75e-06 1.95e-06 1.65e-06 2.3e-06 1.6e-06 1.1e-06 1.9e-06 2.45e-06 2.2e-06 1.7e-06
12 2.2e-06 1e-06 6e-07 2e-06 1.1e-06 1.65e-06 1.1e-06 1.35e-06 1.35e-06 1.55e-06 1.5e-06 1.75e-06 1.2e-06 1.6e-06 1.55e-06 1.7e-06 1.3e-06 1.25e-06 1.45e-06 1.6e-06 1.2e-06 1.45e-06 1.9e-06 1.45e-06 1.5e-06 2.1e-06 1.3e-06 1.05e-06 2.05e-06 1.35e-06 8e-07 1.75e-06 1.4e-06 1.15e-06 7e-07 1.25e-06 1.45e-06 1.6e-06 1.1e-06 1.7e-06 1.35e-06 2.4e-06
13 1.75e-06 1.4e-06 1.65e-06 2.4e-06 1.65e-06 2.05e-06 1.25e-06 1.85e-06 1.8e-06 1.95e-06 2.25e-06 1.9e-06 1.6e-06 1.9e-06 1.8e-06 1.75e-06 1.55e-06 1.75e-06 1.45e-06 1.55e-06 1.95e-06 1.3e-06 1.55e-06 1.35e-06 1.15e-06 2e-06 1.75e-06 1.4e-06 2.15e-06 1.9e-06 1.7e-06 1.85e-06 2e-06 1.9e-06 1.65e-06 1.85e-06 1.75e-06 1.85e-06 1.85e-06 2.05e-06 1.8e-06 1.75e-06
14 2e-06 1.5e-06 1.35e-06 2.6e-06 1.25e-06 2.1e-06 1.6e-06 1.45e-06 1.6e-06 1.7e-06 1.95e-06 1.5e-06 1.55e-06 1.8e-06 2.3e-06 1.25e-06 1.45e-06 1.6e-06 1.55e-06 2.1e-06 1.7e-06 1.8e-06 2.15e-06 1.6e-06 1.7e-06 1.9e-06 1.6e-06 1.35e-06 1.7e-06 1.5e-06 1.6e-06 1.9e-06 1.65e-06 1.4e-06 1.45e-06 2e-06 1.6e-06 1.55e-06 1.3e-06 2.25e-06 2e-06 1.9e-06
15 1.85e-06 1.65e-06 1.5e-06 3.05e-06 8e-07 2.1e-06 1.8e-06 2.4e-06 2.4e-06 2.3e-06 1.65e-06 1.05e-06 1.7e-06 1.75e-06 1.25e-06 2e-07 1.05e-06 1.05e-06 1.8e-06 2.35e-06 1.95e-06 1.6e-06 2.05e-06 1.4e-06 1.5e-06 1.25e-06 2.4e-06 1.5e-06 5e-07 9.5e-07 1.65e-06 1.55e-06 1.15e-06 2.05e-06 1.6e-06 2.25e-06 1.1e-06 1.9e-06 2e-06 2.85e-06 2.35e-06 1.45e-06
16 2.1e-06 1.2e-06 1e-06 2.6e-06 1e-06 2e-06 1.25e-06 1.85e-06 1.9e-06 2e-06 1.8e-06 1.55e-06 1.3e-06 1.55e-06 1.45e-06 1.05e-06 2e-06 1.4e-06 1.65e-06 1.9e-06 1.7e-06 1.65e-06 2e-06 1.35e-06 1.35e-06 1.7e-06 1.85e-06 1.25e-06 1.4e-06 1.15e-06 1.45e-06 1.7e-06 1.25e-06 1.55e-06 1.35e-06 1.7e-06 1.2e-06 1.9e-06 1.45e-06 2.25e-06 1.85e-06 1.9e-06
17 2e-06 1.55e-06 1.45e-06 2.5e-06 1.25e-06 2e-06 1.65e-06 2.05e-06 2e-06 2e-06 1.7e-06 1.4e-06 1.25e-06 1.75e-06 1.6e-06 1.05e-06 1.4e-06 2.1e-06 1.65e-06 2e-06 1.7e-06 1.45e-06 2e-06 1.65e-06 1.65e-06 1.8e-06 2e-06 1.45e-06 1.35e-06 1.35e-06 1.25e-06 1.75e-06 1.55e-06 1.9e-06 1.2e-06 1.95e-06 1.45e-06 1.75e-06 1.85e-06 2.35e-06 2e-06 1.95e-06
18 1.4e-06 1.1e-06 1.6e-06 2e-06 1.65e-06 1.9e-06 1.05e-06 1.35e-06 1.5e-06 1.05e-06 1.9e-06 1.3e-06 1.45e-06 1.45e-06 1.55e-06 1.8e-06 1.65e-06 1.65e-06 1e-06 1.25e-06 1.45e-06 1.5e-06 1.85e-06 1.65e-06 1.55e-06 1.95e-06 1.5e-06 1e-06 2.25e-06 1.9e-06 1.4e-06 1.85e-06 2.05e-06 1.6e-06 1.4e-06 1.8e-06 1.85e-06 5.5e-07 1.55e-06 1.8e-06 1.7e-06 1.8e-06
19 2.15e-06 1.3e-06 1.75e-06 1.25e-06 2e-06 2.35e-06 1.15e-06 2e-06 1.9e-06 2.05e-06 2.35e-06 2.15e-06 1.6e-06 1.55e-06 2.1e-06 2.35e-06 1.9e-06 2e-06 1.25e-06 1.5e-06 2.05e-06 1.65e-06 2.15e-06 1.8e-06 1.7e-06 2.4e-06 1.9e-06 1.3e-06 2.5e-06 2.25e-06 1.75e-06 1.5e-06 2.1e-06 1.95e-06 1.65e-06 1.25e-06 2.1e-06 1.75e-06 1.9e-06 1.55e-06 1.65e-06 2.05e-06
20 2.05e-06 1.45e-06 1.15e-06 2.15e-06 1.5e-06 1.85e-06 1.55e-06 1.25e-06 1.55e-06 1.3e-06 1.65e-06 1.65e-06 1.2e-06 1.95e-06 1.7e-06 1.95e-06 1.7e-06 1.7e-06 1.45e-06 2.05e-06 1.9e-06 1.95e-06 2.15e-06 1.9e-06 1.85e-06 2.25e-06 1.5e-06 1.4e-06 2.35e-06 1.75e-06 1.1e-06 2.15e-06 1.85e-06 1.45e-06 1.2e-06 1.8e-06 1.85e-06 1.2e-06 1.4e-06 1.9e-06 1.65e-06 2.45e-06
21 1.8e-06 1.55e-06 1.8e-06 2.35e-06 1.65e-06 2.15e-06 1.5e-06 2.05e-06 1.95e-06 2.05e-06 2.1e-06 1.8e-06 1.45e-06 1.3e-06 1.8e-06 1.6e-06 1.65e-06 1.45e-06 1.5e-06 1.65e-06 1.95e-06 2.2e-06 1.75e-06 1.45e-06 1.4e-06 2e-06 1.95e-06 1.5e-06 2e-06 1.9e-06 1.5e-06 1.8e-06 2e-06 2.05e-06 1.45e-06 1.95e-06 1.85e-06 1.8e-06 2e-06 2.2e-06 1.9e-06 1.75e-06
22 1.65e-06 1.9e-06 2.05e-06 2.8e-06 2e-06 1.8e-06 1.85e-06 2.15e-06 1.75e-06 2.15e-06 2.4e-06 2.15e-06 1.9e-06 1.55e-06 2.15e-06 2.05e-06 2e-06 2e-06 1.85e-06 2.15e-06 2.15e-06 1.75e-06 2.1e-06 1.9e-06 1.7e-06 2.35e-06 1.65e-06 1.85e-06 2.45e-06 2.25e-06 1.9e-06 2.3e-06 2.35e-06 2.3e-06 1.9e-06 2.35e-06 2.2e-06 2.05e-06 2.25e-06 2.45e-06 2.2e-06 2.25e-06
23 2.05e-06 1.3e-06 1.2e-06 2.6e-06 1.25e-06 2.1e-06 1.3e-06 1.9e-06 1.9e-06 2.1e-06 2.05e-06 1.8e-06 1.45e-06 1.35e-06 1.6e-06 1.4e-06 1.35e-06 1.65e-06 1.65e-06 1.8e-06 1.9e-06 1.45e-06 1.9e-06 2.4e-06 1.3e-06 1.95e-06 1.85e-06 1.35e-06 1.8e-06 1.5e-06 1.65e-06 1.8e-06 1.6e-06 1.65e-06 1.55e-06 1.75e-06 1.5e-06 2e-06 1.6e-06 2.25e-06 1.8e-06 1.85e-06
24 1.85e-06 1.35e-06 1.4e-06 2.5e-06 1.4e-06 2.05e-06 1.2e-06 1.9e-06 1.9e-06 2e-06 2.05e-06 1.8e-06 1.5e-06 1.15e-06 1.7e-06 1.5e-06 1.35e-06 1.65e-06 1.55e-06 1.7e-06 1.85e-06 1.4e-06 1.7e-06 1.3e-06 2.2e-06 1.85e-06 1.85e-06 1.35e-06 1.9e-06 1.65e-06 1.6e-06 1.8e-06 1.75e-06 1.8e-06 1.55e-06 1.8e-06 1.5e-06 1.9e-06 1.75e-06 2.15e-06 1.8e-06 1.85e-06
25 2.15e-06 2e-06 2.05e-06 3.05e-06 1.6e-06 1.95e-06 2e-06 2.55e-06 2.6e-06 2.4e-06 1.65e-06 1.75e-06 2.1e-06 2e-06 1.9e-06 1.25e-06 1.7e-06 1.8e-06 1.95e-06 2.4e-06 2.25e-06 2e-06 2.35e-06 1.95e-06 1.85e-06 2.3e-06 2.6e-06 1.9e-06 1.65e-06 1.85e-06 2.05e-06 2.05e-06 1.95e-06 2.45e-06 2.05e-06 2.5e-06 1.85e-06 2.05e-06 2.4e-06 2.85e-06 2.5e-06 2.05e-06
26 2.1e-06 1.4e-06 1.2e-06 2.25e-06 1.75e-06 1.7e-06 1.45e-06 9.5e-07 9e-07 1.35e-06 2.2e-06 2.05e-06 1.3e-06 1.75e-06 1.6e-06 2.4e-06 1.85e-06 2e-06 1.5e-06 1.9e-06 1.5e-06 1.95e-06 1.65e-06 1.85e-06 1.85e-06 2.6e-06 1.6e-06 1.35e-06 2.8e-06 2e-06 1.45e-06 2.3e-06 2.1e-06 1.15e-06 1.3e-06 1.75e-06 2.05e-06 1.5e-06 1.1e-06 1.75e-06 1.65e-06 2.5e-06
27 1.85e-06 8.5e-07 9e-07 2.15e-06 1.15e-06 1.8e-06 8.5e-07 1.4e-06 1.35e-06 1.55e-06 1.7e-06 1.5e-06 1.05e-06 1.4e-06 1.35e-06 1.5e-06 1.25e-06 1.45e-06 1e-06 1.3e-06 1.4e-06 1.5e-06 1.85e-06 1.35e-06 1.35e-06 1.9e-06 1.35e-06 1.4e-06 1.95e-06 1.4e-06 1.1e-06 1.65e-06 1.55e-06 1.2e-06 9.5e-07 1.4e-06 1.4e-06 1.3e-06 1.15e-06 1.85e-06 1.5e-06 2.1e-06
28 2.3e-06 2.05e-06 1.85e-06 2.9e-06 1.2e-06 2.45e-06 2.2e-06 2.8e-06 2.8e-06 2.7e-06 2e-06 1.4e-06 2.05e-06 2.15e-06 1.7e-06 5e-07 1.4e-06 1.35e-06 2.25e-06 2.5e-06 2.35e-06 2e-06 2.45e-06 1.8e-06 1.9e-06 1.65e-06 2.8e-06 1.95e-06 9e-07 1.2e-06 2.05e-06 1.7e-06 1.2e-06 2.45e-06 2e-06 2.35e-06 1.35e-06 2.35e-06 2.4e-06 2.95e-06 2.6e-06 1.55e-06
29 2.35e-06 1.35e-06 9.5e-07 2.85e-06 9.5e-07 2.05e-06 1.55e-06 2e-06 2.05e-06 2.15e-06 1.75e-06 1.5e-06 1.35e-06 1.9e-06 1.5e-06 9.5e-07 1.15e-06 1.35e-06 1.9e-06 2.25e-06 1.75e-06 1.9e-06 2.25e-06 1.5e-06 1.65e-06 1.85e-06 2e-06 1.4e-06 1.2e-06 1.9e-06 1.5e-06 1.85e-06 1.2e-06 1.6e-06 1.4e-06 1.85e-06 1.15e-06 2.05e-06 1.5e-06 2.5e-06 2e-06 2.15e-06
30 2.05e-06 1.2e-06 9.5e-07 2.15e-06 1.25e-06 1.7e-06 1.3e-06 1.5e-06 1.45e-06 1.55e-06 1.45e-06 1.65e-06 8e-07 1.7e-06 1.6e-06 1.65e-06 1.45e-06 1.25e-06 1.4e-06 1.75e-06 1.1e-06 1.5e-06 1.9e-06 1.65e-06 1.6e-06 2.05e-06 1.45e-06 1.1e-06 2.05e-06 1.5e-06 1.3e-06 1.85e-06 1.6e-06 1.4e-06 7.5e-07 1.55e-06 1.6e-06 1.45e-06 1.35e-06 1.9e-06 1.55e-06 2.45e-06
31 2.3e-06 1.7e-06 1.75e-06 1.75e-06 1.6e-06 2.4e-06 1.7e-06 2.35e-06 2.3e-06 2.4e-06 2.15e-06 1.95e-06 1.75e-06 1.85e-06 1.9e-06 1.55e-06 1.7e-06 1.75e-06 1.85e-06 1.5e-06 2.15e-06 1.8e-06 2.3e-06 1.8e-06 1.8e-06 2.05e-06 2.3e-06 1.65e-06 1.7e-06 1.85e-06 1.85e-06 2.9e-06 1.7e-06 2.15e-06 1.75e-06 1.6e-06 1.85e-06 2.15e-06 2.1e-06 2.05e-06 2e-06 1.9e-06
32 2.5e-06 1.45e-06 1e-06 2.4e-06 1.05e-06 2.1e-06 1.65e-06 2.1e-06 2.15e-06 2.25e-06 1.8e-06 1.75e-06 1.4e-06 2e-06 1.65e-06 1.15e-06 1.25e-06 1.55e-06 2.05e-06 2.1e-06 1.85e-06 2e-06 2.35e-06 1.6e-06 1.75e-06 1.95e-06 2.1e-06 1.55e-06 1.2e-06 1.2e-06 1.6e-06 1.7e-06 2e-06 1.7e-06 1.5e-06 1.65e-06 1.4e-06 2.2e-06 1.6e-06 2.3e-06 1.95e-06 2e-06
33 2.45e-06 1.2e-06 7.5e-07 2.35e-06 1.35e-06 2e-06 1.3e-06 1e-06 1.2e-06 1.5e-06 2e-06 1.95e-06 1.15e-06 1.9e-06 1.4e-06 2.05e-06 1.55e-06 1.9e-06 1.6e-06 1.95e-06 1.45e-06 2.05e-06 2.3e-06 1.65e-06 1.8e-06 2.45e-06 1.15e-06 1.2e-06 2.45e-06 1.6e-06 1.4e-06 2.15e-06 1.7e-06 1.5e-06 1.2e-06 1.55e-06 1.7e-06 1.65e-06 8.5e-07 1.85e-06 1.6e-06 2.55e-06
34 2.1e-06 1.1e-06 8e-07 2.05e-06 1.15e-06 1.7e-06 1.2e-06 1.35e-06 1.3e-06 1.55e-06 1.5e-06 1.65e-06 7e-07 1.65e-06 1.45e-06 1.6e-06 1.35e-06 1.2e-06 1.4e-06 1.65e-06 1.2e-06 1.45e-06 1.9e-06 1.55e-06 1.55e-06 2.05e-06 1.3e-06 9.5e-07 2e-06 1.4e-06 7.5e-07 1.75e-06 1.5e-06 1.2e-06 1.2e-06 1.4e-06 1.5e-06 1.5e-06 1.15e-06 1.8e-06 1.45e-06 2.4e-06
35 2.65e-06 1.3e-06 1.05e-06 1.4e-06 1.6e-06 2.2e-06 1.3e-06 1.8e-06 1.8e-06 2.1e-06 2.1e-06 2.3e-06 1.25e-06 1.85e-06 2e-06 2.25e-06 1.7e-06 1.95e-06 1.8e-06 1.25e-06 1.8e-06 1.95e-06 2.35e-06 1.75e-06 1.8e-06 2.5e-06 1.75e-06 1.4e-06 2.35e-06 1.85e-06 1.55e-06 1.6e-06 1.65e-06 1.55e-06 1.4e-06 2.1e-06 1.85e-06 2.15e-06 1.5e-06 1.55e-06 1.5e-06 2.45e-06
36 2.3e-06 1.4e-06 1.1e-06 2.8e-06 1.1e-06 2.15e-06 1.4e-06 2.05e-06 2.1e-06 2.2e-06 1.9e-06 1.6e-06 1.45e-06 1.75e-06 1.6e-06 1.1e-06 1.2e-06 1.45e-06 1.85e-06 2.1e-06 1.85e-06 1.85e-06 2.2e-06 1.5e-06 1.5e-06 1.85e-06 2.05e-06 1.4e-06 1.35e-06 1.15e-06 1.6e-06 1.85e-06 1.4e-06 1.7e-06 1.5e-06 1.85e-06 2.2e-06 2.1e-06 1.65e-06 2.45e-06 2e-06 2.1e-06
37 1.3e-06 1.45e-06 1.8e-06 2e-06 1.8e-06 1.9e-06 1.5e-06 1.05e-06 1.5e-06 6.5e-07 1.85e-06 1.1e-06 1.6e-06 1.85e-06 1.55e-06 1.9e-06 1.9e-06 1.75e-06 5.5e-07 1.75e-06 1.2e-06 1.8e-06 2.05e-06 2e-06 1.9e-06 2.05e-06 1.5e-06 1.3e-06 2.35e-06 2.05e-06 1.45e-06 2.15e-06 2.2e-06 1.65e-06 1.5e-06 2.15e-06 2.1e-06 2e-07 1.6e-06 1.85e-06 1.85e-06 1.85e-06
38 2.4e-06 1.1e-06 7e-07 2.3e-06 1.3e-06 1.95e-06 1.25e-06 9.5e-07 1.15e-06 1.45e-06 1.95e-06 1.9e-06 1.1e-06 1.85e-06 1.3e-06 2e-06 1.45e-06 1.85e-06 1.55e-06 1.9e-06 1.4e-06 2e-06 2.25e-06 1.6e-06 1.75e-06 2.4e-06 1.1e-06 1.15e-06 2.4e-06 1.5e-06 1.35e-06 2.1e-06 1.6e-06 8.5e-07 1.15e-06 1.5e-06 1.65e-06 1.6e-06 1.4e-06 1.8e-06 1.55e-06 2.5e-06
39 2.55e-06 1.8e-06 1.75e-06 1.4e-06 2.25e-06 2.4e-06 1.75e-06 1.6e-06 1.8e-06 1.6e-06 2.5e-06 2.45e-06 1.7e-06 2.05e-06 2.25e-06 2.85e-06 2.25e-06 2.35e-06 1.8e-06 1.55e-06 1.9e-06 2.2e-06 2.45e-06 2.25e-06 2.15e-06 2.85e-06 1.75e-06 1.85e-06 2.95e-06 2.5e-06 1.9e-06 2.05e-06 2.3e-06 1.85e-06 1.8e-06 1.55e-06 2.45e-06 1.85e-06 1.8e-06 2.7e-06 1.65e-06 2.5e-06
40 2.4e-06 1.45e-06 1.25e-06 1.85e-06 1.75e-06 2e-06 1.45e-06 1.6e-06 1.7e-06 1.7e-06 1.95e-06 2.2e-06 1.35e-06 1.8e-06 2e-06 2.35e-06 1.85e-06 2e-06 1.7e-06 1.65e-06 1.65e-06 1.9e-06 2.2e-06 1.8e-06 1.8e-06 2.5e-06 1.65e-06 1.5e-06 2.6e-06 2e-06 1.55e-06 2e-06 1.95e-06 1.6e-06 1.45e-06 1.5e-06 2e-06 1.85e-06 1.55e-06 1.65e-06 2.3e-06 2.45e-06
41 1.9e-06 2.15e-06 2.5e-06 2.4e-06 1.95e-06 2.65e-06 2.1e-06 2.3e-06 2.5e-06 2.25e-06 2.65e-06 1.7e-06 2.4e-06 1.75e-06 1.9e-06 1.45e-06 1.9e-06 1.95e-06 1.8e-06 2.05e-06 2.45e-06 1.75e-06 2.25e-06 1.85e-06 1.85e-06 2.05e-06 2.5e-06 2.1e-06 1.55e-06 2.15e-06 2.45e-06 1.9e-06 2e-06 2.55e-06 2.4e-06 2.45e-06 2.1e-06 1.85e-06 2.5e-06 2.5e-06 2.45e-06 2e-06
