 slim_762085142 slim_762085114 slim_762085147 slim_762085160 slim_762085140 slim_762085128 slim_762085156 slim_762085155 slim_762085129 slim_762085126 slim_762085161 slim_762085116 slim_762085146 slim_762085133 slim_762085153 slim_762085132 slim_762085117 slim_762085134 slim_762085152 slim_762085130 slim_762085150 slim_762085124 slim_762085158 slim_762085143 slim_762085139 slim_762085123 slim_762085120 slim_762085144 slim_762085154 slim_762085157 slim_762085141 slim_762085136 slim_762085127 slim_762085148 slim_762085137 slim_762085138 slim_762085135 slim_762085131 slim_762085121 slim_762085159 slim_762085122 slim_762085151 slim_762085118 slim_762085125 slim_762085115 slim_762085149 slim_762085145 slim_762085119
10 1.9e-06 2.4e-06 1.75e-06 1.6e-06 2.25e-06 1.4e-06 1.5e-06 1.6e-06 1.65e-06 1.8e-06 1.6e-06 1.75e-06 2.35e-06 1.4e-06 8.5e-07 1.6e-06 1.35e-06 1.65e-06 1.6e-06 1.25e-06 1e-06 9e-07 1.1e-06 1.65e-06 1.7e-06 1.2e-06 1.75e-06 9.5e-07 9.5e-07 1.1e-06 1.65e-06 1.7e-06 2e-06 1.3e-06 1.65e-06 1.35e-06 1.45e-06 2.45e-06 2e-06 2e-06 1.7e-06 2e-06 1.65e-06 1.3e-06 1.6e-06 1.55e-06 1.8e-06 1.7e-06
11 1.95e-06 2.2e-06 1.65e-06 1.65e-06 1.65e-06 1.4e-06 1.15e-06 1.35e-06 1.65e-06 1.75e-06 1.75e-06 2.1e-06 2.2e-06 1.5e-06 1.7e-06 1.6e-06 1.3e-06 1.75e-06 1.9e-06 1.55e-06 1.2e-06 1.8e-06 1.3e-06 1.65e-06 1.7e-06 1.4e-06 1.8e-06 1.25e-06 1.6e-06 1.15e-06 1.55e-06 1.8e-06 1.55e-06 1.25e-06 1.75e-06 1.15e-06 1.45e-06 1.6e-06 1.85e-06 1.65e-06 1.75e-06 1.8e-06 1.7e-06 1.45e-06 1.75e-06 1.7e-06 1.8e-06 1.7e-06
12 1.75e-06 3.5e-07 1.15e-06 1.1e-06 1.25e-06 1.8e-06 2.05e-06 2e-06 1.1e-06 1.45e-06 2.35e-06 2.2e-06 3e-07 1.6e-06 2.35e-06 1.05e-06 1.4e-06 1.2e-06 1.95e-06 1.7e-06 2e-06 2.45e-06 2.1e-06 1.5e-06 1.15e-06 2.2e-06 1.25e-06 1.95e-06 2.15e-06 2.05e-06 1.3e-06 1.25e-06 1.35e-06 2.05e-06 1.15e-06 1.95e-06 1.55e-06 1.4e-06 8.5e-07 2.55e-06 1.2e-06 5.5e-07 1.15e-06 1.85e-06 1.2e-06 1.15e-06 1.65e-06 1.15e-06
13 1.8e-06 1.55e-06 1.35e-06 1.15e-06 1.55e-06 9e-07 1.25e-06 1.25e-06 1.45e-06 1.2e-06 1.4e-06 1.5e-06 1.6e-06 1.3e-06 1.4e-06 1.1e-06 6.5e-07 1.1e-06 2.05e-06 1.2e-06 7.5e-07 1.4e-06 9e-07 1.35e-06 1.2e-06 9.5e-07 1.25e-06 9e-07 1.35e-06 9.5e-07 1.25e-06 1.25e-06 1.55e-06 1.05e-06 1.2e-06 1e-06 1.05e-06 1.95e-06 1.25e-06 2.05e-06 1.2e-06 1.05e-06 1.2e-06 8e-07 1.1e-06 1.05e-06 1.5e-06 1.2e-06
14 2e-06 2.35e-06 1.75e-06 1.5e-06 2.2e-06 1.3e-06 1.5e-06 1.5e-06 1.6e-06 1.7e-06 8.5e-07 1.7e-06 2.35e-06 1.4e-06 1.4e-06 1.55e-06 1.25e-06 1.7e-06 1.6e-06 1.3e-06 9e-07 9e-07 9.5e-07 1.6e-06 1.65e-06 1.1e-06 1.7e-06 7.5e-07 8.5e-07 1.05e-06 1.6e-06 1.6e-06 2e-06 1.25e-06 1.55e-06 1.3e-06 1.35e-06 2.45e-06 1.95e-06 1.95e-06 1.65e-06 1.95e-06 1.55e-06 1.3e-06 1.65e-06 1.6e-06 1.75e-06 1.65e-06
15 1.65e-06 1e-06 1.15e-06 1e-06 1.4e-06 1.15e-06 1.4e-06 1.4e-06 1.05e-06 1.2e-06 1.6e-06 1.6e-06 1.05e-06 1.1e-06 1.55e-06 1.8e-06 9e-07 1.1e-06 1.75e-06 1.15e-06 1.05e-06 1.65e-06 1.15e-06 1.2e-06 1.05e-06 1.25e-06 1.15e-06 1.1e-06 1.45e-06 1.15e-06 1.1e-06 1.1e-06 1.35e-06 1.25e-06 1.1e-06 1.25e-06 1.1e-06 1.6e-06 1.1e-06 2.15e-06 1.1e-06 9e-07 1e-06 1.2e-06 1.1e-06 1.05e-06 1.35e-06 1.05e-06
16 1.7e-06 1.35e-06 1.15e-06 9.5e-07 1.35e-06 7.5e-07 1.05e-06 1.1e-06 1.25e-06 1e-06 1.35e-06 1.3e-06 1.4e-06 6.5e-07 1.25e-06 9e-07 9e-07 1.05e-06 1.85e-06 1.1e-06 6e-07 1.35e-06 7e-07 1.15e-06 1e-06 8e-07 1.1e-06 7.5e-07 1.15e-06 7.5e-07 1.05e-06 1.1e-06 1.35e-06 8.5e-07 1.05e-06 8.5e-07 9e-07 1.75e-06 1.1e-06 1.85e-06 1.05e-06 8.5e-07 1e-06 8e-07 1.05e-06 1e-06 1.3e-06 1e-06
17 1.7e-06 1.2e-06 1.3e-06 1.15e-06 1.55e-06 1.3e-06 1.55e-06 1.55e-06 1.2e-06 1.3e-06 1.65e-06 1.75e-06 1.2e-06 1.1e-06 1.7e-06 1.1e-06 1.05e-06 2.1e-06 1.9e-06 1.2e-06 1.2e-06 1.7e-06 1.3e-06 1.35e-06 1.2e-06 1.4e-06 1.25e-06 1.25e-06 1.6e-06 1.3e-06 1.25e-06 1.3e-06 1.5e-06 1.4e-06 1.25e-06 1.4e-06 1.25e-06 1.8e-06 1.25e-06 2.3e-06 1.25e-06 1.05e-06 1.2e-06 1.25e-06 1.1e-06 1.1e-06 1.5e-06 1.2e-06
18 2.05e-06 2e-06 1.9e-06 1.8e-06 1.95e-06 1.9e-06 1.75e-06 1.75e-06 1.55e-06 2.05e-06 1.6e-06 1.9e-06 1.95e-06 2.05e-06 1.6e-06 1.75e-06 1.85e-06 1.9e-06 2.6e-06 1.7e-06 1.75e-06 1.7e-06 1.85e-06 1.75e-06 1.85e-06 1.95e-06 1.95e-06 1.7e-06 1.5e-06 1.8e-06 1.7e-06 1.95e-06 1.65e-06 1.9e-06 1.9e-06 1.65e-06 1.75e-06 2.05e-06 1.95e-06 1.65e-06 1.9e-06 1.95e-06 1.85e-06 1.95e-06 1.9e-06 1.85e-06 1.95e-06 1.85e-06
19 1.65e-06 1.7e-06 1.35e-06 1.2e-06 1.8e-06 1.15e-06 1.35e-06 1.35e-06 9e-07 1.35e-06 1.25e-06 1.55e-06 1.7e-06 1.2e-06 1.3e-06 1.15e-06 1.1e-06 1.2e-06 1.7e-06 1.3e-06 8e-07 1.3e-06 8.5e-07 1.2e-06 1.25e-06 9.5e-07 1.35e-06 8.5e-07 1.3e-06 9e-07 1.2e-06 1.35e-06 1.6e-06 1.1e-06 1.3e-06 1.2e-06 1.1e-06 2.05e-06 1.55e-06 2.3e-06 1.3e-06 1.55e-06 1.25e-06 1.1e-06 1.2e-06 1.15e-06 1.3e-06 1.2e-06
20 1.75e-06 1.95e-06 1.3e-06 1.1e-06 1.7e-06 6.5e-07 9.5e-07 8.5e-07 1.2e-06 1.15e-06 1e-06 1.2e-06 2e-06 7.5e-07 9e-07 1.05e-06 6e-07 1.2e-06 1.75e-06 8e-07 3e-07 1e-06 4e-07 1.1e-06 1.15e-06 3.5e-07 1.1e-06 4e-07 9.5e-07 4.5e-07 1.1e-06 1.2e-06 1.55e-06 6.5e-07 1.15e-06 7e-07 7e-07 2.1e-06 1.45e-06 1.95e-06 1.05e-06 1.45e-06 1.15e-06 6.5e-07 1.15e-06 1.1e-06 1.25e-06 1.15e-06
21 2e-06 2.45e-06 1.85e-06 1.65e-06 2.3e-06 1.4e-06 1.6e-06 1.6e-06 1.7e-06 1.8e-06 9e-07 1.8e-06 2.45e-06 1.4e-06 9e-07 1.65e-06 1.35e-06 1.7e-06 1.7e-06 1.3e-06 1e-06 1.8e-06 1.1e-06 1.7e-06 1.75e-06 1.2e-06 1.8e-06 9.5e-07 1e-06 1.15e-06 1.7e-06 1.75e-06 2.1e-06 1.35e-06 1.7e-06 1.4e-06 1.45e-06 2.55e-06 2.05e-06 2.05e-06 1.75e-06 2.05e-06 1.7e-06 1.25e-06 1.65e-06 1.6e-06 1.85e-06 1.75e-06
22 1.85e-06 2.05e-06 1.4e-06 1.15e-06 1.8e-06 8e-07 1.05e-06 1.1e-06 1.25e-06 1.1e-06 1.1e-06 1.3e-06 2.1e-06 9e-07 9.5e-07 1.15e-06 7e-07 1.3e-06 1.85e-06 8.5e-07 4e-07 1.1e-06 5e-07 1.2e-06 1.25e-06 4.5e-07 1.35e-06 4.5e-07 1e-06 5.5e-07 1.2e-06 1.3e-06 1.65e-06 7.5e-07 1.25e-06 8.5e-07 9.5e-07 2.2e-06 1.6e-06 2.05e-06 1.3e-06 1.55e-06 1.2e-06 8.5e-07 1.3e-06 1.25e-06 1.3e-06 1.15e-06
23 1.85e-06 1.5e-06 1.4e-06 1.25e-06 1.65e-06 1.2e-06 1.45e-06 1.45e-06 1.1e-06 1.45e-06 1.65e-06 1.65e-06 1.5e-06 1.35e-06 1.6e-06 1.2e-06 1.15e-06 1.35e-06 1.75e-06 1.2e-06 1.1e-06 1.7e-06 1.2e-06 1.9e-06 1.3e-06 1.3e-06 1.4e-06 1.15e-06 1.5e-06 1.2e-06 9.5e-07 1.4e-06 1.5e-06 1.3e-06 1.35e-06 1.3e-06 1.15e-06 1.9e-06 1.35e-06 2.2e-06 1.35e-06 1.35e-06 1.3e-06 1.25e-06 1.35e-06 1.3e-06 1.2e-06 1.3e-06
24 1.75e-06 1.15e-06 1.25e-06 1.1e-06 1.5e-06 1.15e-06 1.5e-06 1.5e-06 1.15e-06 1.3e-06 1.7e-06 1.7e-06 1.15e-06 1.2e-06 1.65e-06 1.05e-06 1e-06 1.2e-06 1.85e-06 1.25e-06 1.15e-06 1.75e-06 1.25e-06 1.3e-06 2e-06 1.35e-06 1.25e-06 1.2e-06 1.55e-06 1.25e-06 1.2e-06 1.25e-06 1.45e-06 1.35e-06 1.2e-06 1.35e-06 1.2e-06 1.75e-06 1.2e-06 2.25e-06 1.2e-06 1e-06 1.15e-06 1.3e-06 1.2e-06 1.15e-06 1.45e-06 1.15e-06
25 1.95e-06 2.15e-06 1.5e-06 1.3e-06 1.9e-06 8.5e-07 1.15e-06 1.05e-06 1.35e-06 1.2e-06 1.2e-06 1.4e-06 2.2e-06 9.5e-07 1.1e-06 1.25e-06 8e-07 1.4e-06 1.95e-06 9.5e-07 3.5e-07 1.2e-06 4.5e-07 1.3e-06 1.35e-06 7e-07 1.3e-06 6e-07 1.15e-06 6.5e-07 1.3e-06 1.4e-06 1.75e-06 8.5e-07 1.35e-06 9e-07 9e-07 2.3e-06 1.65e-06 2.15e-06 1.25e-06 1.65e-06 1.35e-06 8.5e-07 1.35e-06 1.3e-06 1.4e-06 1.25e-06
26 1.85e-06 1.25e-06 1.35e-06 1.2e-06 1.6e-06 1.3e-06 1.6e-06 1.45e-06 1.25e-06 1.3e-06 1.75e-06 1.8e-06 1.25e-06 1.25e-06 1.7e-06 1.15e-06 1.1e-06 1.25e-06 1.95e-06 1.35e-06 1.1e-06 1.8e-06 1.35e-06 1.4e-06 1.25e-06 1.3e-06 2.2e-06 1.25e-06 1.65e-06 1.35e-06 1.3e-06 1.3e-06 1.55e-06 1.45e-06 1.25e-06 1.4e-06 1.15e-06 1.85e-06 1.25e-06 2.35e-06 1.15e-06 1.1e-06 1.25e-06 1.3e-06 1.2e-06 1.2e-06 1.55e-06 1.25e-06
27 1.75e-06 1.9e-06 1.35e-06 1.05e-06 1.75e-06 8e-07 1.1e-06 1e-06 1.15e-06 1.2e-06 9.5e-07 1.25e-06 1.95e-06 9e-07 7.5e-07 1.1e-06 7.5e-07 1.25e-06 1.7e-06 8.5e-07 4e-07 9.5e-07 4.5e-07 1.15e-06 1.2e-06 6e-07 1.25e-06 4e-07 9e-07 6e-07 1.15e-06 1.1e-06 1.6e-06 8e-07 1.05e-06 8.5e-07 8.5e-07 2.05e-06 1.5e-06 2e-06 1.2e-06 1.5e-06 1.1e-06 8e-07 1.2e-06 1.15e-06 1.3e-06 1.2e-06
28 1.9e-06 2.15e-06 1.65e-06 1.45e-06 2e-06 1.25e-06 1.4e-06 1.45e-06 1.5e-06 1.6e-06 9.5e-07 1.6e-06 2.15e-06 1.35e-06 8.5e-07 1.45e-06 1.15e-06 1.6e-06 1.5e-06 1.3e-06 9.5e-07 1e-06 1e-06 1.5e-06 1.55e-06 1.15e-06 1.65e-06 9e-07 1.6e-06 1.05e-06 1.4e-06 1.6e-06 1.8e-06 1.25e-06 1.55e-06 1.25e-06 1.3e-06 2.25e-06 1.8e-06 1.75e-06 1.6e-06 1.75e-06 1.5e-06 1.3e-06 1.6e-06 1.55e-06 1.65e-06 1.55e-06
29 1.75e-06 2.05e-06 1.15e-06 1.2e-06 1.8e-06 8.5e-07 8e-07 1.15e-06 1.3e-06 1.3e-06 1.1e-06 1.15e-06 2.05e-06 9.5e-07 1.05e-06 1.15e-06 7.5e-07 1.3e-06 1.8e-06 9e-07 4.5e-07 1.15e-06 5.5e-07 1.2e-06 1.25e-06 6.5e-07 1.35e-06 6e-07 1.05e-06 6e-07 1.2e-06 1.35e-06 1.6e-06 5.5e-07 1.3e-06 8.5e-07 1e-06 2e-06 1.6e-06 2.05e-06 1.3e-06 1.55e-06 1.25e-06 9e-07 1.3e-06 1.25e-06 1.35e-06 1.25e-06
30 1.75e-06 1.3e-06 1.3e-06 1.15e-06 1.45e-06 1.1e-06 1.35e-06 1.35e-06 1e-06 1.35e-06 1.65e-06 1.55e-06 1.3e-06 1.25e-06 1.6e-06 1.1e-06 1.05e-06 1.25e-06 1.7e-06 1.2e-06 1.1e-06 1.7e-06 1.2e-06 9.5e-07 1.2e-06 1.3e-06 1.3e-06 1.15e-06 1.4e-06 1.2e-06 1.5e-06 1.3e-06 1.3e-06 1.3e-06 1.25e-06 1.2e-06 1.05e-06 1.7e-06 1.15e-06 2e-06 1.25e-06 1.15e-06 1.2e-06 1.15e-06 1.25e-06 1.2e-06 1.1e-06 1.2e-06
31 1.85e-06 1.2e-06 1.35e-06 1.15e-06 1.6e-06 1.3e-06 1.6e-06 1.55e-06 1.25e-06 1.4e-06 1.7e-06 1.8e-06 1.25e-06 1.25e-06 1.6e-06 1.1e-06 1.1e-06 1.3e-06 1.95e-06 1.35e-06 1.2e-06 1.75e-06 1.3e-06 1.4e-06 1.25e-06 1.4e-06 1.3e-06 1.1e-06 1.6e-06 1.35e-06 1.3e-06 2.2e-06 1.55e-06 1.45e-06 1.15e-06 1.4e-06 1.25e-06 1.8e-06 1.25e-06 2.35e-06 1.25e-06 1.1e-06 1.15e-06 1.3e-06 1.25e-06 1.2e-06 1.55e-06 1.25e-06
32 1.65e-06 1.4e-06 1.5e-06 1.4e-06 1.3e-06 1.5e-06 1.3e-06 1.4e-06 1.35e-06 1.65e-06 2e-06 1.55e-06 1.35e-06 1.55e-06 2e-06 1.35e-06 1.35e-06 1.5e-06 1.65e-06 1.6e-06 1.55e-06 2.1e-06 1.65e-06 1.5e-06 1.45e-06 1.75e-06 1.55e-06 1.6e-06 1.8e-06 1.6e-06 1.3e-06 1.55e-06 1.6e-06 1.6e-06 1.5e-06 1.2e-06 1.45e-06 1.5e-06 1.35e-06 1.6e-06 1.5e-06 1.25e-06 1.45e-06 1.55e-06 1.5e-06 1.45e-06 1.65e-06 1.45e-06
33 1.85e-06 2.05e-06 1.25e-06 1.3e-06 1.8e-06 9.5e-07 9e-07 1.25e-06 1.4e-06 1.4e-06 1.3e-06 1.25e-06 2.05e-06 1.05e-06 1.25e-06 1.25e-06 8.5e-07 1.4e-06 1.9e-06 1.1e-06 6.5e-07 1.35e-06 7.5e-07 1.3e-06 1.35e-06 8.5e-07 1.45e-06 8e-07 1.25e-06 5.5e-07 1.3e-06 1.45e-06 1.6e-06 1e-06 1.4e-06 9.5e-07 1.1e-06 2e-06 1.6e-06 2.05e-06 1.4e-06 1.55e-06 1.35e-06 1e-06 1.4e-06 1.35e-06 1.45e-06 1.35e-06
34 1.8e-06 1.2e-06 1.3e-06 1.1e-06 1.5e-06 1.25e-06 1.55e-06 1.5e-06 1.2e-06 1.35e-06 1.65e-06 1.75e-06 1.15e-06 1.2e-06 1.55e-06 1.1e-06 1.05e-06 1.25e-06 1.9e-06 1.3e-06 1.15e-06 1.7e-06 1.25e-06 1.35e-06 1.2e-06 1.35e-06 1.25e-06 1.05e-06 1.55e-06 1.3e-06 1.25e-06 1.15e-06 1.5e-06 1.4e-06 2.1e-06 1.35e-06 1.2e-06 1.8e-06 1.15e-06 2.3e-06 1.2e-06 1.05e-06 1.15e-06 1.25e-06 1.2e-06 1.15e-06 1.5e-06 1.2e-06
35 1.85e-06 1.95e-06 1.45e-06 1.3e-06 1.45e-06 9e-07 8.5e-07 9.5e-07 1.4e-06 1.4e-06 1.35e-06 1.15e-06 1.95e-06 1e-06 1.3e-06 1.25e-06 8.5e-07 1.4e-06 1.65e-06 1.2e-06 7e-07 1.4e-06 8.5e-07 1.3e-06 1.35e-06 9e-07 1.4e-06 8.5e-07 1.25e-06 8.5e-07 1.2e-06 1.4e-06 1.2e-06 9.5e-07 1.35e-06 1.2e-06 1.05e-06 1.8e-06 1.45e-06 1.45e-06 1.35e-06 1.45e-06 1.35e-06 9e-07 1.35e-06 1.3e-06 1.45e-06 1.35e-06
36 1.8e-06 1.5e-06 1.35e-06 1.15e-06 1.55e-06 9e-07 1.3e-06 1.05e-06 1e-06 1.2e-06 1.45e-06 1.45e-06 1.55e-06 1.05e-06 1.35e-06 1.1e-06 9e-07 1.25e-06 1.75e-06 1.1e-06 7e-07 1.45e-06 9.5e-07 1.15e-06 1.2e-06 9e-07 1.15e-06 8.5e-07 1.3e-06 1e-06 1.05e-06 1.25e-06 1.45e-06 1.1e-06 1.2e-06 1.05e-06 1.4e-06 1.85e-06 1.2e-06 2e-06 1.1e-06 1.25e-06 1.2e-06 9e-07 1.2e-06 1.15e-06 1.3e-06 1.2e-06
37 2e-06 1.4e-06 1.65e-06 1.7e-06 1.5e-06 2e-06 1.75e-06 1.9e-06 1.65e-06 1.95e-06 2.45e-06 1.6e-06 1.4e-06 1.95e-06 2.45e-06 1.6e-06 1.75e-06 1.8e-06 2.05e-06 2.05e-06 2.1e-06 2.55e-06 2.2e-06 1.9e-06 1.75e-06 2.3e-06 1.85e-06 2.05e-06 2.25e-06 2e-06 1.7e-06 1.8e-06 1.5e-06 2e-06 1.8e-06 1.8e-06 1.85e-06 2.5e-06 1.6e-06 2e-06 1.8e-06 1.4e-06 1.7e-06 2.05e-06 1.8e-06 1.75e-06 2.05e-06 1.75e-06
38 1.85e-06 9e-07 1.3e-06 1.15e-06 1.3e-06 1.2e-06 1.65e-06 1.5e-06 1.15e-06 1.35e-06 2e-06 1.85e-06 8.5e-07 1.25e-06 1.95e-06 1.1e-06 1.1e-06 1.25e-06 1.95e-06 1.55e-06 1.45e-06 2.05e-06 1.6e-06 1.35e-06 1.2e-06 1.65e-06 1.25e-06 1.5e-06 1.8e-06 1.6e-06 1.15e-06 1.25e-06 1.35e-06 1.6e-06 1.15e-06 1.45e-06 1.2e-06 1.6e-06 1.5e-06 2.2e-06 1.2e-06 8e-07 1.2e-06 1.2e-06 1.2e-06 1.15e-06 1.5e-06 1.2e-06
39 2.5e-06 2.55e-06 2.35e-06 2.15e-06 1.7e-06 1.95e-06 1.6e-06 1.65e-06 2.2e-06 2.3e-06 2e-06 1.65e-06 2.55e-06 2.05e-06 1.95e-06 2.15e-06 1.85e-06 2.3e-06 1.65e-06 2.3e-06 1.95e-06 2.05e-06 2.05e-06 2.2e-06 2.25e-06 2.15e-06 2.35e-06 2e-06 1.75e-06 2.05e-06 2e-06 2.35e-06 1.6e-06 2.05e-06 2.3e-06 1.45e-06 2e-06 2e-06 2.2e-06 1.8e-06 2.3e-06 2.15e-06 2.2e-06 2e-06 2.3e-06 2.25e-06 2.35e-06 2.25e-06
