 slim_762487807 slim_762487786 slim_762487790 slim_762487765 slim_762487771 slim_762487806 slim_762487796 slim_762487764 slim_762487801 slim_762487789 slim_762487769 slim_762487779 slim_762487795 slim_762487767 slim_762487774 slim_762487791 slim_762487775 slim_762487800 slim_762487803 slim_762487758 slim_762487798 slim_762487757 slim_762487763 slim_762487788 slim_762487761 slim_762487778 slim_762487785 slim_762487804 slim_762487773 slim_762487792 slim_762487794 slim_762487756 slim_762487772 slim_762487808 slim_762487759 slim_762487799 slim_762487754 slim_762487755 slim_762487797 slim_762487809 slim_762487776 slim_762487780 slim_762487781 slim_762487770 slim_762487805 slim_762487766 slim_762487787 slim_762487793 slim_762487760 slim_762487783 slim_762487777 slim_762487782 slim_762487784 slim_762487762 slim_762487802 slim_762487768
10 1.6e-06 1.1e-06 1.1e-06 1.4e-06 1.25e-06 1.2e-06 1.9e-06 1.4e-06 1.8e-06 1.3e-06 2e-06 1.65e-06 1.9e-06 1.3e-06 1.55e-06 1.2e-06 1.7e-06 1.3e-06 1.55e-06 1.65e-06 1.45e-06 1.9e-06 1.9e-06 1.3e-06 1.8e-06 1.9e-06 1.45e-06 1.2e-06 1.35e-06 1.85e-06 2.15e-06 1.7e-06 1.45e-06 1.5e-06 1.3e-06 1.75e-06 1.45e-06 1.6e-06 1.25e-06 1.65e-06 1.7e-06 1.7e-06 1.65e-06 1.05e-06 1.7e-06 1.35e-06 1.6e-06 1.75e-06 1.3e-06 1.65e-06 1.85e-06 1.95e-06 2.45e-06 1.7e-06 1.55e-06 1.35e-06
11 1.05e-06 1.7e-06 1.85e-06 1.05e-06 1.4e-06 1.45e-06 1.45e-06 1.6e-06 1.55e-06 1.45e-06 1.65e-06 1.8e-06 1.45e-06 1.15e-06 1e-06 1.9e-06 1e-06 1.1e-06 1.25e-06 1.95e-06 1.35e-06 1.35e-06 1.75e-06 1.55e-06 1.5e-06 1.5e-06 1.45e-06 1.65e-06 1.15e-06 1.55e-06 1.95e-06 1.15e-06 1.5e-06 1.25e-06 1.1e-06 1.8e-06 1.2e-06 2.05e-06 1.55e-06 1.1e-06 1.45e-06 9e-07 1.75e-06 1.45e-06 1.5e-06 1.4e-06 1.25e-06 1.6e-06 1.2e-06 1.7e-06 1.6e-06 1.6e-06 2.5e-06 1.55e-06 1.5e-06 1.4e-06
12 9.5e-07 1.95e-06 1.75e-06 1.05e-06 1.6e-06 1.5e-06 9e-07 1.7e-06 1.4e-06 1.65e-06 1.9e-06 1.45e-06 1.8e-06 1.6e-06 9.5e-07 1.8e-06 1.5e-06 1.35e-06 1.65e-06 1.8e-06 1.3e-06 1.65e-06 1.7e-06 1.8e-06 9.5e-07 1.95e-06 1.4e-06 1.45e-06 1.95e-06 1.6e-06 1.9e-06 1.05e-06 1.3e-06 1.2e-06 1.35e-06 1.55e-06 1.65e-06 2e-06 1.7e-06 1e-06 1.85e-06 2e-06 1.9e-06 2e-06 1.5e-06 1.9e-06 1.75e-06 1.6e-06 1.5e-06 2.1e-06 1.45e-06 1.55e-06 2.55e-06 1.55e-06 1.25e-06 1.65e-06
13 1.2e-06 1.35e-06 1.4e-06 1e-06 1.1e-06 1.2e-06 1.6e-06 1.4e-06 1.45e-06 1.15e-06 1.3e-06 1.15e-06 1.6e-06 1.5e-06 1.15e-06 1.45e-06 1.1e-06 1.1e-06 1.05e-06 1.65e-06 1.2e-06 1.5e-06 1.8e-06 1.3e-06 1.45e-06 1.35e-06 1.4e-06 1.3e-06 9e-07 1.55e-06 1.8e-06 1.3e-06 1.25e-06 1.15e-06 1.1e-06 1.45e-06 9e-07 1.9e-06 1.3e-06 1.25e-06 1.4e-06 1.05e-06 1.5e-06 1.15e-06 1.5e-06 1.1e-06 1.05e-06 1.4e-06 1.25e-06 1.5e-06 1.5e-06 1.5e-06 2.3e-06 1.35e-06 1.35e-06 1.25e-06
14 3e-07 1.6e-06 1.5e-06 4.5e-07 1.25e-06 1.3e-06 9.5e-07 1.35e-06 1.3e-06 1.3e-06 1.55e-06 1e-06 9.5e-07 1.15e-06 5e-07 1.55e-06 9e-07 8.5e-07 1.4e-06 1.95e-06 1.3e-06 1.3e-06 1.25e-06 1.4e-06 9e-07 1.9e-06 9.5e-07 1.4e-06 1.45e-06 1.3e-06 1.95e-06 4e-07 1.2e-06 6.5e-07 8.5e-07 1.45e-06 1.25e-06 1.8e-06 1.55e-06 3.5e-07 1.4e-06 1.75e-06 2e-06 1.6e-06 1.45e-06 1.45e-06 1.25e-06 1.25e-06 9.5e-07 1.95e-06 1.35e-06 1.45e-06 2.15e-06 1.2e-06 1.1e-06 1.05e-06
15 1.6e-06 1.2e-06 2.5e-07 1.3e-06 1.55e-06 7.5e-07 1.8e-06 1.25e-06 1.95e-06 1.6e-06 1.2e-06 1.9e-06 1.8e-06 1.45e-06 1.55e-06 4e-07 1.95e-06 1.65e-06 1.7e-06 1.35e-06 1.25e-06 2.05e-06 1.5e-06 1.8e-06 1.7e-06 2.3e-06 9.5e-07 7.5e-07 1.95e-06 2e-06 2.2e-06 1.7e-06 1.3e-06 1.5e-06 1.65e-06 1.55e-06 1.55e-06 8.5e-07 1.7e-06 1.65e-06 1.65e-06 2.2e-06 2.15e-06 1.95e-06 1.8e-06 1.25e-06 1.8e-06 1.9e-06 1.85e-06 2.15e-06 2e-06 2.1e-06 2.4e-06 1.85e-06 1.4e-06 1.9e-06
16 9e-07 1.75e-06 1.9e-06 9.5e-07 1.45e-06 1.6e-06 1.5e-06 1.65e-06 1.6e-06 1.5e-06 1.7e-06 1e-06 1.5e-06 1.1e-06 9e-07 1.95e-06 1.7e-06 1.1e-06 1.3e-06 2.1e-06 1.6e-06 1.4e-06 1.8e-06 1.6e-06 1.55e-06 1.55e-06 1.45e-06 1.8e-06 1.1e-06 1.55e-06 2.1e-06 1e-06 1.65e-06 1.2e-06 1.1e-06 1.85e-06 1.15e-06 2.2e-06 1.7e-06 9.5e-07 1.5e-06 1.15e-06 1.9e-06 1.5e-06 1.75e-06 1.35e-06 1.2e-06 1.55e-06 1.2e-06 1.85e-06 1.65e-06 1.65e-06 2.45e-06 1.5e-06 1.65e-06 1.35e-06
17 9e-07 1.35e-06 1.6e-06 9e-07 1.05e-06 1.45e-06 1.35e-06 1.35e-06 1.45e-06 1.1e-06 1.3e-06 1.1e-06 1.35e-06 1.1e-06 8.5e-07 1.65e-06 1.1e-06 1.5e-06 1.4e-06 1.8e-06 1.45e-06 1.35e-06 1.65e-06 1.25e-06 1.4e-06 1.65e-06 1.25e-06 1.5e-06 1.05e-06 1.35e-06 1.95e-06 1e-06 1.4e-06 1e-06 7.5e-07 1.7e-06 1.25e-06 1.9e-06 1.3e-06 9.5e-07 1.55e-06 1.45e-06 1.45e-06 9.5e-07 1.45e-06 1.45e-06 1.35e-06 1.4e-06 9e-07 1.4e-06 1.5e-06 1.6e-06 2.3e-06 1.35e-06 1.35e-06 1.1e-06
18 1.45e-06 1.65e-06 1.6e-06 1.25e-06 1.4e-06 1.25e-06 1.65e-06 1.65e-06 1.5e-06 1.45e-06 1.55e-06 1.25e-06 1.65e-06 1.05e-06 1.4e-06 1.7e-06 1.3e-06 1.4e-06 2e-06 1.7e-06 1.05e-06 1.65e-06 1.95e-06 1.6e-06 1.5e-06 1.35e-06 1.65e-06 1.25e-06 1.15e-06 1.8e-06 1.75e-06 1.55e-06 1.25e-06 1.45e-06 1.4e-06 1.5e-06 1.05e-06 2e-06 1.35e-06 1.5e-06 1.55e-06 1e-06 1.6e-06 1.5e-06 1.4e-06 1.25e-06 1.25e-06 1.65e-06 1.55e-06 1.65e-06 1.55e-06 1.55e-06 2.55e-06 1.6e-06 1.35e-06 1.55e-06
19 2e-06 1.6e-06 1.3e-06 1.75e-06 1.7e-06 1.4e-06 1.8e-06 1.55e-06 1.55e-06 1.75e-06 1.65e-06 1.95e-06 1.8e-06 1.65e-06 1.95e-06 1.35e-06 2.1e-06 1.8e-06 1.7e-06 2.4e-06 1.45e-06 2.15e-06 2.15e-06 1.95e-06 1.7e-06 1.65e-06 1.75e-06 1.3e-06 1.85e-06 1.9e-06 1.9e-06 2.1e-06 1.55e-06 1.9e-06 1.8e-06 1.75e-06 1.7e-06 1.8e-06 1.7e-06 2.05e-06 1.95e-06 1.9e-06 1.5e-06 1.85e-06 1.55e-06 1.7e-06 1.95e-06 1.8e-06 2e-06 1.85e-06 1.6e-06 1.75e-06 2.55e-06 1.75e-06 1.65e-06 2.05e-06
20 1.35e-06 1.55e-06 1.15e-06 1.05e-06 1.35e-06 7e-07 1.3e-06 1.6e-06 1.45e-06 1.4e-06 1.45e-06 1.35e-06 1.3e-06 1.2e-06 1.3e-06 1.25e-06 1.6e-06 1.45e-06 1.05e-06 1.45e-06 7e-07 1.7e-06 1.7e-06 1.55e-06 1.2e-06 1.7e-06 1.35e-06 7e-07 1.65e-06 1.8e-06 1.55e-06 1.45e-06 7.5e-07 1.3e-06 1.45e-06 1.05e-06 1.2e-06 1.55e-06 1.15e-06 1.4e-06 1.7e-06 1.35e-06 1.7e-06 1.75e-06 1.15e-06 1.4e-06 1.45e-06 1.7e-06 1.6e-06 1.8e-06 1.5e-06 1.6e-06 2.6e-06 1.65e-06 9e-07 1.65e-06
21 1.3e-06 1.95e-06 2.05e-06 1.35e-06 1.65e-06 1.8e-06 1.65e-06 1.8e-06 1.8e-06 1.7e-06 1.9e-06 1.35e-06 1.65e-06 1.5e-06 1.3e-06 2.05e-06 1.4e-06 1.35e-06 1.65e-06 2.15e-06 1.7e-06 2.4e-06 1.75e-06 1.85e-06 1.75e-06 1.9e-06 1.65e-06 1.85e-06 1.55e-06 1.8e-06 2.05e-06 1.4e-06 1.75e-06 1.5e-06 1.35e-06 2.05e-06 1.6e-06 2e-06 1.8e-06 1.35e-06 1.8e-06 1.5e-06 1.95e-06 1.7e-06 1.65e-06 1.8e-06 1.7e-06 1.85e-06 1.5e-06 1.75e-06 1.85e-06 1.85e-06 2.75e-06 1.8e-06 1.7e-06 1.7e-06
22 1.3e-06 1.95e-06 1.55e-06 1.35e-06 1.85e-06 1.55e-06 1.7e-06 1.75e-06 1.95e-06 1.9e-06 1.9e-06 1.75e-06 1.7e-06 1.8e-06 1.25e-06 1.5e-06 1.8e-06 1.65e-06 1.95e-06 2.15e-06 1.7e-06 1.75e-06 2.4e-06 2.05e-06 1.6e-06 2.45e-06 1.4e-06 1.6e-06 2.1e-06 2.1e-06 2.25e-06 1.3e-06 1.7e-06 1.3e-06 1.65e-06 2e-06 1.9e-06 1.4e-06 2.05e-06 1.35e-06 1.8e-06 2.2e-06 2.45e-06 2.2e-06 1.85e-06 1.85e-06 1.95e-06 1.95e-06 1.8e-06 2.25e-06 1.95e-06 2.1e-06 2.7e-06 1.95e-06 1.65e-06 1.8e-06
23 1.45e-06 1.35e-06 1.75e-06 1.35e-06 9.5e-07 1.55e-06 1.8e-06 1.6e-06 1.7e-06 1e-06 1.3e-06 1.55e-06 1.8e-06 1.3e-06 1.4e-06 1.8e-06 1.6e-06 1.25e-06 1.6e-06 1.95e-06 1.55e-06 1.85e-06 2.05e-06 1.8e-06 1.65e-06 1.85e-06 1.7e-06 1.65e-06 1.3e-06 1.8e-06 2.15e-06 1.55e-06 1.25e-06 1.4e-06 1.25e-06 1.85e-06 1.45e-06 2.2e-06 1.25e-06 1.5e-06 1.85e-06 1.6e-06 1.65e-06 1e-06 1.7e-06 1.65e-06 1.25e-06 1.65e-06 1.2e-06 1.65e-06 1.75e-06 1.85e-06 2.55e-06 1.6e-06 1.6e-06 1.2e-06
24 9.5e-07 1.85e-06 1.65e-06 1.05e-06 1.45e-06 1.4e-06 9.5e-07 1.55e-06 1.2e-06 1.5e-06 1.8e-06 1.5e-06 9.5e-07 1.45e-06 9e-07 1.7e-06 1.55e-06 1.4e-06 1.5e-06 1.7e-06 1.2e-06 1.75e-06 1.6e-06 1.65e-06 1.4e-06 1.8e-06 1.45e-06 1.35e-06 1.8e-06 1.65e-06 1.75e-06 1.05e-06 1.15e-06 1.1e-06 1.4e-06 1.4e-06 1.5e-06 2e-06 1.6e-06 1e-06 1.65e-06 1.9e-06 1.8e-06 1.9e-06 1.35e-06 1.75e-06 1.55e-06 1.4e-06 1.55e-06 2e-06 1.25e-06 1.35e-06 2.35e-06 1.35e-06 1.1e-06 1.45e-06
25 1.95e-06 1.95e-06 2.25e-06 1.8e-06 1.65e-06 1.9e-06 1.95e-06 1.8e-06 1.4e-06 1.7e-06 1.9e-06 1.5e-06 1.95e-06 1.35e-06 1.9e-06 2.3e-06 1.55e-06 1.65e-06 1.35e-06 1.65e-06 1.7e-06 1.9e-06 2.45e-06 1.85e-06 1.8e-06 2e-06 2.2e-06 1.95e-06 1.15e-06 1.8e-06 1.8e-06 2.05e-06 1.85e-06 1.95e-06 1.65e-06 2e-06 1.35e-06 2.6e-06 1.7e-06 2e-06 1.8e-06 1e-06 1.25e-06 1.5e-06 1.55e-06 1.6e-06 1.5e-06 1.65e-06 1.8e-06 1.55e-06 1.45e-06 1.5e-06 2.6e-06 1.6e-06 1.95e-06 1.8e-06
26 1e-06 1.5e-06 1e-06 9e-07 1.5e-06 1.1e-06 1.4e-06 1.4e-06 1.75e-06 1.55e-06 1.45e-06 1.45e-06 1.4e-06 1.4e-06 9.5e-07 9.5e-07 1.45e-06 1.25e-06 1.65e-06 1.75e-06 1.35e-06 1.65e-06 1.4e-06 1.7e-06 1.45e-06 2.2e-06 1.7e-06 1.15e-06 1.8e-06 1.65e-06 2.15e-06 1.1e-06 1.35e-06 1.15e-06 1.25e-06 1.6e-06 1.5e-06 1.3e-06 1.7e-06 1.05e-06 1.65e-06 2.05e-06 2.15e-06 1.85e-06 1.7e-06 1.45e-06 1.65e-06 1.7e-06 1.4e-06 2.1e-06 1.8e-06 1.9e-06 2.4e-06 1.65e-06 1.35e-06 1.6e-06
27 1.45e-06 1.35e-06 6e-07 1.15e-06 1.4e-06 6.5e-07 1.45e-06 1.35e-06 1.6e-06 1.45e-06 1.2e-06 1.65e-06 1.45e-06 1.3e-06 1.4e-06 7.5e-07 1.8e-06 1.5e-06 1.25e-06 1.3e-06 7e-07 1.85e-06 1.6e-06 1.65e-06 1.35e-06 1.95e-06 1.15e-06 9e-07 1.8e-06 1.85e-06 1.8e-06 1.55e-06 8.5e-07 1.35e-06 1.5e-06 1.15e-06 1.35e-06 1.1e-06 1.25e-06 1.5e-06 1.65e-06 1.85e-06 1.8e-06 1.8e-06 1.3e-06 1.25e-06 1.65e-06 1.75e-06 1.7e-06 1.9e-06 1.65e-06 1.75e-06 2.45e-06 1.7e-06 9.5e-07 1.75e-06
28 1.5e-06 1.4e-06 1.9e-06 1.4e-06 1.1e-06 1.65e-06 1.95e-06 1.5e-06 1.55e-06 1.15e-06 1.35e-06 1.15e-06 1.95e-06 9e-07 1.45e-06 1.95e-06 1.1e-06 1.05e-06 1.15e-06 1.85e-06 1.65e-06 1.55e-06 2.1e-06 1.3e-06 1.8e-06 1.15e-06 1.8e-06 1.8e-06 1.1e-06 1.65e-06 1.95e-06 1.6e-06 1.7e-06 1.45e-06 1.05e-06 1.95e-06 1e-06 2.3e-06 1.35e-06 1.55e-06 1.45e-06 7.5e-07 1.25e-06 7.5e-07 1.6e-06 1.2e-06 1.1e-06 1.5e-06 1.2e-06 1.2e-06 1.6e-06 1.6e-06 2.4e-06 1.45e-06 1.75e-06 1.2e-06
29 1.35e-06 1.9e-06 1.95e-06 1.3e-06 1.6e-06 1.8e-06 1.6e-06 1.65e-06 1.6e-06 1.65e-06 1.85e-06 1.55e-06 1.6e-06 1.55e-06 1.3e-06 2e-06 1.55e-06 1.35e-06 1.8e-06 1.9e-06 1.8e-06 1.8e-06 2.1e-06 1.8e-06 1.65e-06 1.8e-06 1.65e-06 1.85e-06 1.65e-06 2.4e-06 2.2e-06 1.45e-06 1.75e-06 1.5e-06 1.35e-06 1.95e-06 1.65e-06 2.3e-06 1.85e-06 1.4e-06 2e-06 1.9e-06 1.75e-06 1.7e-06 1.75e-06 1.85e-06 1.75e-06 1.35e-06 1.5e-06 1.95e-06 1.65e-06 1.8e-06 2.5e-06 1.3e-06 1.7e-06 1.7e-06
30 2e-06 2.2e-06 2.2e-06 1.8e-06 1.95e-06 1.85e-06 1.9e-06 2.05e-06 1.7e-06 2e-06 2.15e-06 1.95e-06 1.9e-06 1.8e-06 1.95e-06 2.2e-06 2.1e-06 1.95e-06 1.75e-06 1.9e-06 1.55e-06 2.05e-06 2.25e-06 2.15e-06 1.75e-06 1.8e-06 2.15e-06 1.8e-06 1.95e-06 2.2e-06 2.1e-06 2.1e-06 1.75e-06 2e-06 1.95e-06 1.45e-06 1.9e-06 2.35e-06 1.85e-06 2.05e-06 2.2e-06 1.85e-06 1.8e-06 2.05e-06 1.7e-06 2.1e-06 2.05e-06 2.05e-06 2.1e-06 1.5e-06 1.75e-06 1.9e-06 3e-06 2e-06 1.85e-06 2.1e-06
31 4e-07 1.75e-06 1.65e-06 6e-07 1.4e-06 1.45e-06 1.05e-06 1.5e-06 1.45e-06 1.45e-06 1.7e-06 1.15e-06 1.05e-06 1.3e-06 4e-07 1.7e-06 1e-06 1e-06 1.55e-06 2.1e-06 1.45e-06 1.4e-06 1.3e-06 1.55e-06 1.05e-06 2.05e-06 1.1e-06 1.55e-06 1.6e-06 1.45e-06 2.1e-06 8e-07 1.35e-06 7e-07 1e-06 1.6e-06 1.4e-06 1.95e-06 1.7e-06 4.5e-07 1.55e-06 1.9e-06 2.15e-06 1.75e-06 1.6e-06 1.6e-06 1.4e-06 1.35e-06 1.1e-06 2.1e-06 1.45e-06 1.6e-06 2.3e-06 1.35e-06 1.25e-06 1.15e-06
32 1.25e-06 1.55e-06 1.2e-06 1.05e-06 1.05e-06 9.5e-07 1.3e-06 1.5e-06 1.45e-06 1.1e-06 1.45e-06 1.5e-06 1.3e-06 1.25e-06 1.2e-06 1.3e-06 1.65e-06 1.4e-06 1.25e-06 1.55e-06 7.5e-07 1.75e-06 1.7e-06 1.25e-06 1.15e-06 1.85e-06 1.35e-06 8.5e-07 1.7e-06 1.75e-06 1.75e-06 1.35e-06 1.2e-06 1.2e-06 1.4e-06 1.2e-06 1.3e-06 1.65e-06 1.25e-06 1.3e-06 1.75e-06 1.7e-06 1.75e-06 1.7e-06 1.25e-06 1.5e-06 1.25e-06 1.6e-06 1.55e-06 1.85e-06 1.5e-06 1.6e-06 2.5e-06 1.55e-06 9.5e-07 1.55e-06
33 7e-07 1.55e-06 1.45e-06 7.5e-07 1.2e-06 1.3e-06 1.2e-06 1.4e-06 1.45e-06 1.25e-06 1.5e-06 1.25e-06 1.2e-06 1.15e-06 6.5e-07 1.5e-06 1.2e-06 1e-06 1.45e-06 1.9e-06 1.3e-06 1.5e-06 1.3e-06 1.4e-06 1.1e-06 1.95e-06 1.15e-06 1.35e-06 1.45e-06 1.5e-06 2e-06 7e-07 1.2e-06 1.2e-06 1e-06 1.5e-06 1.3e-06 1.75e-06 1.5e-06 7.5e-07 1.55e-06 1.8e-06 1.9e-06 1.5e-06 1.5e-06 1.5e-06 1.35e-06 1.35e-06 1.15e-06 1.85e-06 1.45e-06 1.6e-06 2.3e-06 1.35e-06 1.15e-06 1.15e-06
