 slim_762044675 slim_762044677 slim_762044687 slim_762044700 slim_762044694 slim_762044657 slim_762044671 slim_762044699 slim_762044696 slim_762044685 slim_762044681 slim_762044679 slim_762044674 slim_762044666 slim_762044659 slim_762044695 slim_762044660 slim_762044693 slim_762044661 slim_762044689 slim_762044663 slim_762044686 slim_762044669 slim_762044662 slim_762044680 slim_762044690 slim_762044688 slim_762044678 slim_762044672 slim_762044683 slim_762044682 slim_762044692 slim_762044670 slim_762044664 slim_762044701 slim_762044665 slim_762044668 slim_762044676 slim_762044673 slim_762044697 slim_762044698 slim_762044667 slim_762044691 slim_762044684 slim_762044658
10 1.4e-06 1.4e-06 1.6e-06 1.65e-06 2.1e-06 1.4e-06 1.2e-06 1.7e-06 1.2e-06 9.5e-07 1.5e-06 1.45e-06 1.6e-06 1.1e-06 1.6e-06 2e-06 1.65e-06 1.25e-06 1.45e-06 2.2e-06 1.25e-06 1e-06 1.3e-06 1.9e-06 1.75e-06 2.2e-06 1.3e-06 9.5e-07 1.6e-06 1.1e-06 1.1e-06 1.45e-06 1.5e-06 2.55e-06 1.55e-06 1.55e-06 1.3e-06 1.8e-06 1.05e-06 1.45e-06 1.8e-06 1.5e-06 1.5e-06 1.3e-06 1.65e-06
11 1.2e-06 1.35e-06 1.55e-06 1.7e-06 1.8e-06 1.2e-06 1.3e-06 1.7e-06 1.35e-06 1.15e-06 1.45e-06 1.5e-06 1.45e-06 1.35e-06 1.7e-06 1.7e-06 1.6e-06 1.35e-06 1.5e-06 1.7e-06 1.1e-06 1.35e-06 1.45e-06 1.7e-06 1.65e-06 2.15e-06 1.4e-06 1.1e-06 1.8e-06 1.05e-06 1.35e-06 1.35e-06 1.8e-06 2.45e-06 1.7e-06 1.55e-06 1.25e-06 1.55e-06 1.35e-06 1.5e-06 1.65e-06 1.5e-06 1.5e-06 1.75e-06 1.85e-06
12 1.15e-06 1.2e-06 1.95e-06 1.4e-06 1.8e-06 1.15e-06 1.4e-06 1.15e-06 1.15e-06 1.5e-06 1.6e-06 1.45e-06 1.4e-06 1.1e-06 1.65e-06 1.7e-06 1.35e-06 1.25e-06 1.4e-06 1.4e-06 9.5e-07 1.25e-06 1.6e-06 1.05e-06 1.35e-06 1.7e-06 1.3e-06 1.55e-06 1.75e-06 1.5e-06 1.05e-06 1.85e-06 1.8e-06 1.8e-06 1.55e-06 2e-06 1.05e-06 1.4e-06 1.35e-06 1.15e-06 1.1e-06 1.25e-06 1.9e-06 1.65e-06 1.7e-06
13 8.5e-07 9.5e-07 1.55e-06 1.25e-06 1.75e-06 8.5e-07 9.5e-07 1.1e-06 8e-07 1e-06 1.1e-06 1.35e-06 1.1e-06 1e-06 1.3e-06 1.65e-06 1.2e-06 9e-07 1.1e-06 1.85e-06 6.5e-07 7.5e-07 1.2e-06 1.45e-06 1.4e-06 1.75e-06 9.5e-07 1.05e-06 1.65e-06 1.05e-06 7e-07 1.4e-06 1.2e-06 2.1e-06 1.15e-06 1.35e-06 1.05e-06 1.4e-06 1.05e-06 9.5e-07 1.3e-06 1.05e-06 1.45e-06 1e-06 1.25e-06
14 1.15e-06 1.5e-06 1.9e-06 1.45e-06 1.85e-06 1.15e-06 1.2e-06 1.6e-06 1.25e-06 1.55e-06 1.6e-06 1.7e-06 1.65e-06 1.3e-06 1.9e-06 1.75e-06 1.45e-06 1.05e-06 1.4e-06 2.15e-06 1.25e-06 1.25e-06 1.1e-06 1.65e-06 1.6e-06 1.85e-06 1.1e-06 1.55e-06 1.95e-06 1.3e-06 1.3e-06 1.25e-06 1.65e-06 2.25e-06 1.7e-06 1.85e-06 1.5e-06 1.8e-06 1.5e-06 1.5e-06 1.7e-06 1.1e-06 1.45e-06 1.7e-06 1.6e-06
15 1.3e-06 1.6e-06 2e-06 1.55e-06 1.3e-06 1.3e-06 1.8e-06 1.45e-06 1.7e-06 1.75e-06 2e-06 1.7e-06 1.7e-06 1.65e-06 1.75e-06 2.4e-06 1.6e-06 1.45e-06 1.85e-06 1.55e-06 1.45e-06 1.75e-06 1.8e-06 1.55e-06 1.65e-06 1.7e-06 1.5e-06 1.75e-06 2.05e-06 1.7e-06 1.6e-06 1.85e-06 2.1e-06 1.8e-06 1.9e-06 2.05e-06 1.7e-06 1.4e-06 1.85e-06 1.75e-06 1.55e-06 1.25e-06 1.9e-06 2e-06 1.8e-06
16 9e-07 1.35e-06 1.95e-06 1.6e-06 1.7e-06 9e-07 1.45e-06 1.45e-06 1.25e-06 1.6e-06 1.65e-06 1.6e-06 1.35e-06 1.2e-06 1.45e-06 1.6e-06 1.4e-06 1e-06 1e-06 2e-06 1.05e-06 1.35e-06 1.6e-06 1.4e-06 1.7e-06 1.35e-06 1.05e-06 1.6e-06 1.65e-06 1.55e-06 1.15e-06 1.85e-06 1.8e-06 1.75e-06 1.25e-06 2e-06 1.25e-06 1.7e-06 1.45e-06 1e-06 1.55e-06 7.5e-07 1.9e-06 1.7e-06 1.45e-06
17 7e-07 1.1e-06 1.6e-06 1.25e-06 1.5e-06 7e-07 8e-07 1.35e-06 8.5e-07 1.2e-06 1.25e-06 1.35e-06 1.25e-06 9e-07 1.05e-06 1.45e-06 1e-06 1.1e-06 1.05e-06 1.9e-06 8.5e-07 8.5e-07 1.2e-06 1.3e-06 1.35e-06 1.5e-06 6e-07 1.2e-06 1.65e-06 1e-06 9e-07 1.3e-06 1.3e-06 2.15e-06 1.3e-06 1.55e-06 1.1e-06 1.55e-06 1.15e-06 1.1e-06 1.45e-06 5.5e-07 1.5e-06 1.35e-06 1.15e-06
18 1.15e-06 1.25e-06 1.8e-06 1.35e-06 1.95e-06 1.15e-06 1e-06 1.5e-06 1.05e-06 1.4e-06 1.45e-06 1.5e-06 1.4e-06 1.1e-06 1.4e-06 1.85e-06 1e-06 1.05e-06 1.5e-06 2e-06 1.05e-06 1.05e-06 1.4e-06 1.65e-06 1.5e-06 1.65e-06 1.1e-06 1.4e-06 1.55e-06 1.15e-06 1.1e-06 1.5e-06 1.5e-06 1.8e-06 1.2e-06 1.75e-06 1.25e-06 1.7e-06 1.35e-06 1.05e-06 1.6e-06 1.3e-06 1.7e-06 1.55e-06 1.65e-06
19 1.75e-06 1.6e-06 2.2e-06 1.55e-06 1.65e-06 1.75e-06 1.95e-06 1.45e-06 1.9e-06 1.95e-06 2.2e-06 1.7e-06 1.4e-06 1.85e-06 2.15e-06 1.55e-06 2e-06 1.9e-06 2e-06 2e-06 1.65e-06 1.9e-06 2e-06 1.3e-06 1.45e-06 1.9e-06 1.95e-06 1.95e-06 2.05e-06 1.9e-06 1.8e-06 2.05e-06 2.3e-06 1.5e-06 2.05e-06 2.25e-06 1.65e-06 1.35e-06 2.05e-06 1.95e-06 1.35e-06 1.95e-06 2.1e-06 2.2e-06 2.25e-06
20 6e-07 7.5e-07 1.5e-06 1.15e-06 1.55e-06 6e-07 9.5e-07 9.5e-07 7.5e-07 1.05e-06 1.25e-06 1.1e-06 9.5e-07 6.5e-07 1.25e-06 1.45e-06 1.05e-06 8.5e-07 1.05e-06 1.65e-06 7e-07 9e-07 1.2e-06 1.3e-06 1.35e-06 1.6e-06 9e-07 1.1e-06 1.6e-06 1e-06 5.5e-07 1.35e-06 1.4e-06 1.95e-06 1.25e-06 1.45e-06 9.5e-07 1.15e-06 1e-06 7.5e-07 1.1e-06 9e-07 1.35e-06 1.3e-06 1.35e-06
21 1.05e-06 1.15e-06 1.55e-06 1.25e-06 1.85e-06 1.05e-06 6.5e-07 1.4e-06 7.5e-07 9e-07 1e-06 1.35e-06 1.25e-06 7.5e-07 1.25e-06 1.75e-06 1.35e-06 8.5e-07 1.05e-06 1.9e-06 9e-07 9e-07 1.15e-06 1.55e-06 1.3e-06 1.9e-06 9e-07 9.5e-07 1.65e-06 8.5e-07 9e-07 1.2e-06 1.05e-06 2.25e-06 1.25e-06 1.35e-06 1.1e-06 1.55e-06 1.1e-06 1.15e-06 1.45e-06 1.2e-06 1.45e-06 9.5e-07 1.35e-06
22 1.3e-06 1.4e-06 1.6e-06 1.45e-06 1.9e-06 1.3e-06 1.15e-06 1.55e-06 1.2e-06 1.25e-06 1.3e-06 1.45e-06 1.6e-06 1.2e-06 1.1e-06 1.8e-06 1.6e-06 1.2e-06 1.4e-06 2e-06 1.2e-06 1.15e-06 1.4e-06 1.8e-06 1.55e-06 2e-06 1.25e-06 1.25e-06 1.7e-06 1.1e-06 1.2e-06 1e-06 1.55e-06 2.2e-06 1.6e-06 1.55e-06 1.4e-06 1.65e-06 1.25e-06 1.45e-06 1.65e-06 1.45e-06 1.15e-06 1.55e-06 1.7e-06
23 1.2e-06 1.4e-06 2.2e-06 1.5e-06 1.65e-06 1.2e-06 1.65e-06 1.35e-06 1.5e-06 1.85e-06 1.9e-06 1.7e-06 1.05e-06 1.45e-06 1.65e-06 1.55e-06 1.4e-06 1.3e-06 1.65e-06 1.3e-06 1.3e-06 1.55e-06 1.8e-06 1.5e-06 1.4e-06 1.55e-06 1.35e-06 1.85e-06 1.8e-06 1.8e-06 1.4e-06 2.05e-06 2.05e-06 1.65e-06 1.8e-06 2.25e-06 1.3e-06 1.55e-06 1.7e-06 1.5e-06 1.25e-06 1.1e-06 2.1e-06 1.95e-06 1.75e-06
24 1.45e-06 1.45e-06 2e-06 1.2e-06 1.75e-06 1.45e-06 1.2e-06 1.3e-06 1.35e-06 1.7e-06 1.75e-06 1.65e-06 1.35e-06 1.4e-06 1.6e-06 1.65e-06 1.7e-06 1.35e-06 1.5e-06 1.45e-06 1.35e-06 1.3e-06 1.55e-06 1.4e-06 2.1e-06 1.8e-06 1.35e-06 1.7e-06 1.85e-06 1.5e-06 1.4e-06 1.65e-06 1.7e-06 1.65e-06 1.7e-06 1.95e-06 1.35e-06 1.5e-06 1.65e-06 1.6e-06 1.2e-06 1.6e-06 1.85e-06 1.75e-06 1.85e-06
25 1.45e-06 1.75e-06 2.4e-06 1.7e-06 1.75e-06 1.45e-06 2e-06 1.55e-06 1.8e-06 2.15e-06 2.2e-06 2.15e-06 1.7e-06 1.75e-06 1.85e-06 1.7e-06 1.35e-06 1.5e-06 1.65e-06 1.9e-06 1.6e-06 1.9e-06 2e-06 1.55e-06 1.8e-06 2.5e-06 1.55e-06 2.15e-06 1.95e-06 2.1e-06 1.7e-06 2.25e-06 2.25e-06 1.3e-06 1.6e-06 2.45e-06 1.8e-06 1.75e-06 2e-06 1.55e-06 1.65e-06 1.25e-06 2.3e-06 2.15e-06 1.85e-06
26 7.5e-07 1.15e-06 1.65e-06 1.3e-06 1.55e-06 7.5e-07 8e-07 1.4e-06 9e-07 1.25e-06 1.3e-06 1.4e-06 1.3e-06 9.5e-07 1.1e-06 1.5e-06 1.05e-06 6e-07 1.1e-06 1.95e-06 9e-07 9e-07 1.25e-06 1.35e-06 1.35e-06 1.55e-06 1.2e-06 1.25e-06 1.7e-06 1.05e-06 9.5e-07 1.35e-06 1.35e-06 2.2e-06 1.35e-06 1.6e-06 1.15e-06 1.6e-06 1.2e-06 1.15e-06 1.5e-06 6e-07 1.55e-06 1.4e-06 1.2e-06
27 1.25e-06 1.4e-06 1.45e-06 1.6e-06 1.85e-06 1.25e-06 1.1e-06 1.65e-06 1.15e-06 7e-07 9.5e-07 1.1e-06 1.55e-06 1.05e-06 1.55e-06 1.75e-06 1.6e-06 1.2e-06 1.4e-06 1.95e-06 1.1e-06 9.5e-07 1.25e-06 1.85e-06 1.7e-06 2.15e-06 1.25e-06 1.4e-06 1.7e-06 8.5e-07 1.2e-06 1.2e-06 1.45e-06 2.5e-06 1.5e-06 1.3e-06 1.4e-06 1.55e-06 1.15e-06 1.4e-06 1.75e-06 1.45e-06 1.4e-06 1.25e-06 1.6e-06
28 1.7e-06 1.6e-06 2.05e-06 1.75e-06 2.15e-06 1.7e-06 1.7e-06 1.75e-06 1.65e-06 1.75e-06 1.6e-06 1.8e-06 1.75e-06 1.65e-06 1.95e-06 2.05e-06 1.65e-06 1.65e-06 1.55e-06 2.05e-06 1.6e-06 1.65e-06 1.7e-06 1.8e-06 1.85e-06 1.95e-06 1.7e-06 1.7e-06 2.5e-06 1.65e-06 1.5e-06 1.9e-06 2.1e-06 1.9e-06 1.75e-06 2.15e-06 1.6e-06 1.9e-06 1.5e-06 1.5e-06 1.85e-06 1.8e-06 1.9e-06 2.05e-06 2.15e-06
29 1.15e-06 1.25e-06 1.35e-06 1.35e-06 1.8e-06 1.15e-06 7.5e-07 1.6e-06 9.5e-07 8e-07 1.1e-06 1.05e-06 1.5e-06 1.05e-06 1.3e-06 1.7e-06 1.55e-06 1e-06 1.15e-06 1.9e-06 1e-06 8.5e-07 1.1e-06 1.8e-06 1.5e-06 2.1e-06 1.05e-06 8.5e-07 1.65e-06 1.1e-06 1.1e-06 9.5e-07 1.35e-06 2.45e-06 1.55e-06 1.25e-06 1.35e-06 1.5e-06 1.1e-06 1.35e-06 1.7e-06 1.4e-06 1.25e-06 1.4e-06 1.65e-06
30 8e-07 7.5e-07 1.5e-06 1.2e-06 1.7e-06 8e-07 1e-06 1.05e-06 8e-07 1.15e-06 1.1e-06 1.35e-06 1.05e-06 7e-07 1.3e-06 1.6e-06 1.15e-06 9e-07 1.1e-06 1.8e-06 5.5e-07 9e-07 1.2e-06 1.4e-06 1.4e-06 1.7e-06 9.5e-07 1.2e-06 1.5e-06 1.1e-06 9e-07 1.45e-06 1.4e-06 2.05e-06 1.3e-06 1.55e-06 8.5e-07 1.3e-06 9e-07 8.5e-07 1.2e-06 1e-06 1.3e-06 1.3e-06 1.4e-06
31 1.45e-06 1.55e-06 1.6e-06 1.55e-06 1.95e-06 1.45e-06 1.05e-06 1.8e-06 1.3e-06 1.2e-06 1.45e-06 1.35e-06 1.85e-06 1.4e-06 1.25e-06 1.85e-06 1.85e-06 1.3e-06 1.5e-06 2.05e-06 1.35e-06 1.2e-06 1e-06 2.05e-06 1.65e-06 2.25e-06 1.35e-06 1.2e-06 1.9e-06 9.5e-07 1.45e-06 1.7e-06 1.6e-06 2.45e-06 1.8e-06 1.5e-06 1.65e-06 1.7e-06 1.45e-06 1.7e-06 1.9e-06 1.7e-06 1.15e-06 1.7e-06 1.9e-06
32 1.5e-06 1.6e-06 1.5e-06 1.6e-06 2.2e-06 1.5e-06 1.15e-06 1.8e-06 1.25e-06 1.45e-06 1.5e-06 1.8e-06 1.8e-06 1.2e-06 1.65e-06 2.1e-06 1.8e-06 1.3e-06 1.5e-06 2.3e-06 1.4e-06 1.05e-06 1.55e-06 2.05e-06 1.7e-06 2.25e-06 1.35e-06 1.45e-06 2.1e-06 1.35e-06 1.4e-06 1.6e-06 1.8e-06 2.5e-06 1.6e-06 1.3e-06 1.6e-06 1.95e-06 1.6e-06 1.65e-06 1.9e-06 1.65e-06 1.85e-06 9.5e-07 1.3e-06
33 2.05e-06 1.9e-06 2.65e-06 1.55e-06 1.9e-06 2.05e-06 2.35e-06 1.4e-06 2.15e-06 2.5e-06 2.55e-06 2.45e-06 1.8e-06 2.1e-06 2.25e-06 1.8e-06 1.75e-06 2.15e-06 1.8e-06 1.5e-06 1.95e-06 2.25e-06 2.2e-06 1.65e-06 1.65e-06 1.3e-06 2.2e-06 2.5e-06 1.9e-06 2.45e-06 2.05e-06 2.45e-06 2.5e-06 4e-07 1.75e-06 2.7e-06 2.1e-06 1.55e-06 2.35e-06 1.8e-06 1.5e-06 2.15e-06 2.5e-06 2.4e-06 2.4e-06
34 1.35e-06 1.5e-06 1.9e-06 1.6e-06 1.95e-06 1.35e-06 1.45e-06 1.55e-06 1.35e-06 1.5e-06 1.55e-06 1.7e-06 1.55e-06 1.15e-06 1.7e-06 1.9e-06 1.25e-06 1.3e-06 1.2e-06 2.05e-06 1.25e-06 1.25e-06 1.6e-06 1.8e-06 1.7e-06 1.6e-06 1.35e-06 1.5e-06 1.75e-06 1.55e-06 1.3e-06 1.8e-06 1.6e-06 1.75e-06 1.8e-06 1.8e-06 1.4e-06 1.75e-06 1.55e-06 1.2e-06 1.65e-06 1.4e-06 1.9e-06 1.4e-06 1.55e-06
35 1.55e-06 1.6e-06 1.35e-06 1.85e-06 2.15e-06 1.55e-06 1.4e-06 2e-06 1.55e-06 1.3e-06 1.55e-06 1.55e-06 2e-06 1.35e-06 1.85e-06 2.05e-06 2e-06 1.55e-06 1.75e-06 2.25e-06 1.45e-06 1.35e-06 1.55e-06 2.25e-06 1.95e-06 2.45e-06 1.6e-06 1.3e-06 2.15e-06 1.25e-06 1.55e-06 1.5e-06 1.3e-06 2.7e-06 1.8e-06 2.2e-06 1.8e-06 1.9e-06 1.65e-06 1.85e-06 2.1e-06 1.85e-06 1.65e-06 1.2e-06 1.5e-06
36 1.05e-06 1.05e-06 1.6e-06 1.45e-06 1.8e-06 1.05e-06 1.2e-06 1.35e-06 1.1e-06 1.4e-06 1.3e-06 1.25e-06 1.05e-06 1.05e-06 1.5e-06 1.7e-06 1.25e-06 1.1e-06 1.25e-06 1.65e-06 9.5e-07 1.1e-06 1.4e-06 1.3e-06 1.35e-06 1.8e-06 1.15e-06 1.4e-06 1.6e-06 1.35e-06 8.5e-07 1.65e-06 1.6e-06 2.1e-06 1.4e-06 1.8e-06 1.2e-06 1.55e-06 1.15e-06 1.1e-06 1.25e-06 1.15e-06 1.55e-06 1.5e-06 1.55e-06
37 1.4e-06 1.4e-06 1.85e-06 1.3e-06 1.5e-06 1.4e-06 1.65e-06 1.1e-06 1.45e-06 1.5e-06 1.8e-06 1.55e-06 1.4e-06 1.4e-06 1.8e-06 1.4e-06 1.7e-06 1.55e-06 1.7e-06 1.35e-06 1.15e-06 1.55e-06 1.65e-06 1.55e-06 1.5e-06 1.75e-06 1.6e-06 1.55e-06 1.9e-06 1.5e-06 1.3e-06 1.7e-06 1.95e-06 1.55e-06 1.75e-06 1.9e-06 1.55e-06 2.1e-06 1.6e-06 1.45e-06 1.25e-06 1.6e-06 1.75e-06 1.8e-06 1.9e-06
38 1.2e-06 1.25e-06 1.55e-06 1.5e-06 1.95e-06 1.2e-06 1.2e-06 1.4e-06 1e-06 1.15e-06 1.05e-06 1.35e-06 1.35e-06 1.05e-06 1.5e-06 1.85e-06 1.45e-06 1.15e-06 1.35e-06 2.05e-06 1e-06 1.1e-06 1.25e-06 1.7e-06 1.65e-06 2e-06 1.2e-06 1.15e-06 1.5e-06 1.1e-06 9e-07 1.45e-06 1.6e-06 2.35e-06 1.55e-06 1.65e-06 1.15e-06 1.6e-06 1.5e-06 1.2e-06 1.55e-06 1.3e-06 1.45e-06 1.5e-06 1.65e-06
39 1e-06 1.25e-06 1.75e-06 1.4e-06 1.85e-06 1e-06 1.3e-06 1.15e-06 1e-06 1.35e-06 1.45e-06 1.5e-06 1.15e-06 9.5e-07 1.5e-06 1.75e-06 1e-06 1.1e-06 1.05e-06 1.95e-06 7.5e-07 1.15e-06 1.45e-06 1.5e-06 1.6e-06 1.55e-06 1.15e-06 1.4e-06 1.5e-06 1.35e-06 8.5e-07 1.7e-06 1.65e-06 1.8e-06 1.2e-06 1.85e-06 1.1e-06 1.45e-06 1.2e-06 1.1e-06 1.3e-06 1.1e-06 1.75e-06 1.5e-06 1.55e-06
40 1.35e-06 1.45e-06 2.05e-06 1.2e-06 1.65e-06 1.35e-06 1.6e-06 9.5e-07 1.35e-06 1.7e-06 1.8e-06 1.65e-06 1.1e-06 1.3e-06 1.7e-06 1.55e-06 1.55e-06 1.45e-06 1.6e-06 1.35e-06 1.1e-06 1.45e-06 1.65e-06 1.25e-06 1.2e-06 1.65e-06 1.5e-06 1.75e-06 1.85e-06 1.7e-06 1.2e-06 1.9e-06 1.9e-06 1.5e-06 1.65e-06 2.1e-06 1.25e-06 1.25e-06 1.55e-06 1.3e-06 1.8e-06 1.45e-06 1.95e-06 1.75e-06 1.8e-06
41 5e-07 1.25e-06 1.8e-06 1.5e-06 1.3e-06 5e-07 1.3e-06 1.35e-06 1.1e-06 1.45e-06 1.5e-06 1.5e-06 1.25e-06 1.05e-06 1.1e-06 1.25e-06 7.5e-07 5.5e-07 1.3e-06 1.95e-06 9e-07 1.2e-06 1.45e-06 1.1e-06 1.6e-06 1.25e-06 6e-07 1.45e-06 1.8e-06 1.4e-06 1e-06 1.7e-06 1.65e-06 2.15e-06 1.4e-06 1.85e-06 1.15e-06 1.6e-06 1.3e-06 1.1e-06 1.45e-06 1e-07 1.75e-06 1.55e-06 1e-06
42 1.45e-06 1.35e-06 1.65e-06 1.75e-06 2e-06 1.45e-06 1.4e-06 1.85e-06 1.5e-06 1.4e-06 1.5e-06 1.5e-06 1.9e-06 1.45e-06 1.45e-06 1.9e-06 1.9e-06 1.5e-06 1.7e-06 2.1e-06 1.35e-06 1.45e-06 1.15e-06 2.1e-06 1.85e-06 2.3e-06 1.55e-06 1.4e-06 1.9e-06 1.25e-06 1.3e-06 1.15e-06 1.85e-06 2.5e-06 1.9e-06 1.65e-06 1.55e-06 1.75e-06 1.45e-06 1.75e-06 1.95e-06 1.75e-06 2.2e-06 1.85e-06 2e-06
