 slim_762334563 slim_762334515 slim_762334536 slim_762334516 slim_762334545 slim_762334566 slim_762334532 slim_762334540 slim_762334538 slim_762334534 slim_762334518 slim_762334555 slim_762334551 slim_762334519 slim_762334560 slim_762334541 slim_762334565 slim_762334548 slim_762334513 slim_762334558 slim_762334569 slim_762334570 slim_762334520 slim_762334550 slim_762334557 slim_762334522 slim_762334517 slim_762334511 slim_762334539 slim_762334568 slim_762334574 slim_762334543 slim_762334524 slim_762334576 slim_762334559 slim_762334542 slim_762334512 slim_762334526 slim_762334554 slim_762334529 slim_762334567 slim_762334561 slim_762334525 slim_762334564 slim_762334514 slim_762334533 slim_762334547 slim_762334531 slim_762334553 slim_762334535 slim_762334530 slim_762334549 slim_762334572 slim_762334527 slim_762334523 slim_762334537 slim_762334556 slim_762334544 slim_762334521 slim_762334546 slim_762334552 slim_762334575 slim_762334573 slim_762334528 slim_762334571 slim_762334562
10 1.25e-06 1.5e-06 1.55e-06 1.4e-06 1.25e-06 1.45e-06 1.4e-06 1.3e-06 1.5e-06 1.3e-06 1.5e-06 1.25e-06 1.25e-06 1.45e-06 1.5e-06 1.2e-06 9.5e-07 1.05e-06 1.5e-06 1.15e-06 1.25e-06 9e-07 1e-06 1.4e-06 1.5e-06 1.3e-06 1.4e-06 1.3e-06 1.25e-06 1.3e-06 1.35e-06 1.25e-06 1.15e-06 1.7e-06 1.35e-06 1.3e-06 1.55e-06 1.25e-06 1.2e-06 1.4e-06 1.3e-06 1.45e-06 1.15e-06 9.5e-07 1.45e-06 1.3e-06 1.35e-06 1.4e-06 1.2e-06 1.25e-06 1.2e-06 1.25e-06 1.3e-06 9e-07 1.35e-06 1.2e-06 1.5e-06 1.25e-06 9e-07 1.45e-06 1e-06 1.35e-06 1.6e-06 1.25e-06 7.5e-07 1.6e-06
11 1.25e-06 1.25e-06 1.2e-06 1.25e-06 1.35e-06 1.5e-06 1.3e-06 1.4e-06 1.3e-06 1.1e-06 1.25e-06 1.6e-06 1.2e-06 1.4e-06 1.45e-06 1.05e-06 1e-06 1.25e-06 1.75e-06 1.35e-06 1.5e-06 1.1e-06 1.4e-06 1.25e-06 1.45e-06 1.4e-06 1.25e-06 1.35e-06 1.3e-06 1.35e-06 1.4e-06 1.2e-06 1.2e-06 1.7e-06 1.15e-06 1.35e-06 1.6e-06 1.3e-06 1.35e-06 1.25e-06 1.25e-06 1.4e-06 1.1e-06 1e-06 1.4e-06 1.15e-06 1.05e-06 1.45e-06 1.15e-06 1.2e-06 1.2e-06 1.1e-06 1.1e-06 1.25e-06 1.3e-06 1.3e-06 1.4e-06 1.4e-06 1.35e-06 1.1e-06 1.1e-06 1.4e-06 1.5e-06 1.2e-06 1.4e-06 1.35e-06
12 1e-06 1.25e-06 1.4e-06 1.3e-06 1.35e-06 1.5e-06 1.25e-06 1.4e-06 1.4e-06 1.25e-06 1.25e-06 1.2e-06 1.7e-06 1.1e-06 1.1e-06 1.25e-06 1.2e-06 1.05e-06 1.6e-06 1.35e-06 1.5e-06 1.25e-06 1.3e-06 1.2e-06 1.2e-06 1.35e-06 1.2e-06 9e-07 1.15e-06 9e-07 1.25e-06 1.25e-06 1.15e-06 1.5e-06 1.3e-06 1.2e-06 1.45e-06 1.1e-06 1.1e-06 1.1e-06 9.5e-07 1.15e-06 1.15e-06 1.2e-06 1.1e-06 1.35e-06 1.15e-06 1.35e-06 1.2e-06 1.15e-06 1.25e-06 9.5e-07 1.2e-06 1.3e-06 1.1e-06 1.3e-06 1.45e-06 1.15e-06 1.3e-06 1.25e-06 1e-06 1.3e-06 1.35e-06 1.15e-06 1.35e-06 1.3e-06
13 8e-07 1.15e-06 1.9e-06 9.5e-07 1.55e-06 1.75e-06 1.35e-06 1.6e-06 1.95e-06 1.35e-06 1.45e-06 1.4e-06 1.1e-06 1e-06 7.5e-07 1.4e-06 1.45e-06 1.15e-06 1.35e-06 1.5e-06 1.7e-06 1.15e-06 1.15e-06 1.35e-06 1.15e-06 1.2e-06 1.05e-06 5.5e-07 1.55e-06 5e-07 1.65e-06 1.45e-06 1e-06 1.45e-06 1.2e-06 1.6e-06 1.25e-06 9e-07 8.5e-07 6.5e-07 6e-07 9e-07 1.3e-06 1.45e-06 5.5e-07 1.6e-06 1.6e-06 1e-06 1.4e-06 1.1e-06 1.75e-06 1e-06 8.5e-07 1.85e-06 1.2e-06 1.7e-06 2e-06 9.5e-07 1.2e-06 1.55e-06 1.7e-06 9.5e-07 7e-07 1.1e-06 1.2e-06 1.35e-06
14 8e-07 1.25e-06 1.95e-06 1.15e-06 1.6e-06 1.8e-06 1.4e-06 1.65e-06 2e-06 1.4e-06 1.5e-06 1.45e-06 1.1e-06 7.5e-07 9e-07 1.45e-06 1.5e-06 1.15e-06 1.1e-06 1.55e-06 1.75e-06 1.2e-06 1.2e-06 1.35e-06 1.05e-06 1.25e-06 1.05e-06 5e-07 1.6e-06 5e-07 1.6e-06 1.5e-06 1.05e-06 1.35e-06 1.25e-06 1.65e-06 1e-06 9e-07 9e-07 8e-07 6e-07 9e-07 1.35e-06 1.5e-06 7.5e-07 1.65e-06 1.55e-06 1.2e-06 1.45e-06 1.15e-06 1.7e-06 1e-06 1.05e-06 1.9e-06 1.2e-06 1.75e-06 2.05e-06 9.5e-07 1.25e-06 1.6e-06 1.75e-06 1.15e-06 1.05e-06 1.15e-06 1.25e-06 1.1e-06
15 1.25e-06 1.3e-06 1.3e-06 1.4e-06 1.4e-06 1.5e-06 1.35e-06 1.3e-06 1.4e-06 1.35e-06 1.2e-06 1.05e-06 1.25e-06 1.4e-06 1.45e-06 1.8e-06 1.15e-06 1.2e-06 1.75e-06 1.4e-06 1.55e-06 1.3e-06 1.4e-06 1.3e-06 1.5e-06 1.4e-06 1.3e-06 1.35e-06 1.3e-06 1.35e-06 1.4e-06 1.2e-06 1.2e-06 1.75e-06 1.35e-06 1.35e-06 1.55e-06 1.3e-06 1.3e-06 1.3e-06 1.3e-06 1.4e-06 1.15e-06 1.15e-06 1.4e-06 1.4e-06 1.15e-06 1.4e-06 1.15e-06 1.2e-06 1.2e-06 1.15e-06 1.3e-06 1.15e-06 1.35e-06 1.3e-06 1.5e-06 1.35e-06 1.3e-06 1.15e-06 1.1e-06 1.35e-06 1.45e-06 1.2e-06 1.4e-06 1.4e-06
16 1.25e-06 1.45e-06 1.45e-06 1.2e-06 1.3e-06 1.4e-06 1.35e-06 1.25e-06 1.4e-06 1.05e-06 9.5e-07 1e-06 1.2e-06 1.45e-06 1.5e-06 1.15e-06 1.3e-06 1e-06 1.75e-06 1.3e-06 1.45e-06 9.5e-07 1.25e-06 1.4e-06 1.45e-06 1.4e-06 1.35e-06 1.3e-06 1.2e-06 1.3e-06 1.3e-06 1.2e-06 1.2e-06 1.65e-06 1.1e-06 1.25e-06 1.55e-06 1.3e-06 1.2e-06 1.35e-06 1.25e-06 1.45e-06 1.15e-06 7e-07 1.45e-06 1.05e-06 1.2e-06 1.4e-06 1.15e-06 1.25e-06 1.1e-06 1.2e-06 1.1e-06 8e-07 1.3e-06 1.1e-06 1.4e-06 1.25e-06 1.15e-06 1.4e-06 9e-07 1.35e-06 1.6e-06 1.25e-06 1.25e-06 1.55e-06
17 1.05e-06 1.4e-06 1.55e-06 1.3e-06 1.4e-06 1.5e-06 1.35e-06 1.35e-06 1.55e-06 1.25e-06 1.05e-06 1.25e-06 1.05e-06 1.15e-06 1.15e-06 1.2e-06 1e-06 1.6e-06 1.65e-06 1.4e-06 1.55e-06 1.2e-06 1.25e-06 1.3e-06 1.2e-06 1.4e-06 1.25e-06 8.5e-07 1.3e-06 8.5e-07 1.4e-06 1.25e-06 1.2e-06 1.5e-06 1.35e-06 1.35e-06 1.45e-06 1.15e-06 1e-06 1.15e-06 9e-07 1.2e-06 1.2e-06 9.5e-07 1.15e-06 1.35e-06 1.3e-06 1.35e-06 1.2e-06 1.3e-06 1.15e-06 1e-06 1.25e-06 9e-07 1.15e-06 1.15e-06 1.55e-06 1.05e-06 1.2e-06 1.35e-06 1.05e-06 1.3e-06 1.45e-06 1.3e-06 1.3e-06 1.45e-06
18 1.3e-06 1.65e-06 2.2e-06 1.55e-06 1.75e-06 2e-06 1.75e-06 1.85e-06 2.25e-06 1.75e-06 1.5e-06 1.75e-06 1.6e-06 1.35e-06 1.1e-06 1.75e-06 1.75e-06 1.65e-06 2e-06 1.6e-06 1.7e-06 1.2e-06 1.25e-06 1.75e-06 1.65e-06 1.35e-06 1.5e-06 1.25e-06 1.85e-06 1.25e-06 1.85e-06 1.8e-06 1.2e-06 1.85e-06 1.45e-06 1.9e-06 1.3e-06 1.3e-06 1.4e-06 1.35e-06 1.3e-06 1.35e-06 1.6e-06 1.75e-06 1.35e-06 1.9e-06 1.9e-06 1.55e-06 1.75e-06 1.4e-06 2e-06 1.55e-06 1.4e-06 2.15e-06 1.7e-06 2.1e-06 2.3e-06 1.45e-06 1.25e-06 2e-06 2e-06 1.5e-06 1.5e-06 1.4e-06 1e-06 1.55e-06
19 1.25e-06 1.5e-06 1.45e-06 1.5e-06 1.15e-06 1.35e-06 1.35e-06 1.35e-06 1.35e-06 1.4e-06 1.15e-06 1.35e-06 1.35e-06 1.5e-06 1.55e-06 1.4e-06 1.3e-06 1.4e-06 1.6e-06 1.8e-06 1.2e-06 1.1e-06 1.1e-06 1.55e-06 1.6e-06 1.2e-06 1.35e-06 1.45e-06 1.35e-06 1.45e-06 1.5e-06 1.35e-06 1.25e-06 1.85e-06 1.35e-06 1.4e-06 1.6e-06 1.3e-06 1.35e-06 1.45e-06 1.45e-06 1.45e-06 1.3e-06 1.3e-06 1.5e-06 1.35e-06 1.4e-06 1.45e-06 1.3e-06 1.1e-06 1.45e-06 1.35e-06 1.35e-06 1.45e-06 1.35e-06 1.5e-06 1.4e-06 1.4e-06 1.1e-06 1.45e-06 1.3e-06 1.4e-06 1.6e-06 1.1e-06 1e-06 1.6e-06
20 1.5e-06 1.65e-06 1.35e-06 1.7e-06 1.35e-06 1.35e-06 1.6e-06 1.3e-06 1.35e-06 1.6e-06 1.25e-06 1.5e-06 1.5e-06 1.7e-06 1.75e-06 1.55e-06 1.45e-06 1.55e-06 1.7e-06 1.2e-06 2.2e-06 1.25e-06 1.2e-06 1.65e-06 1.8e-06 1.5e-06 1.55e-06 1.65e-06 1.55e-06 1.65e-06 1.65e-06 1.55e-06 1.35e-06 2e-06 1.55e-06 1.6e-06 1.85e-06 1.5e-06 1.6e-06 1.65e-06 1.65e-06 1.65e-06 1.4e-06 1.45e-06 1.7e-06 1.45e-06 1.5e-06 1.7e-06 1.5e-06 1.4e-06 1.55e-06 1.5e-06 1.55e-06 1.55e-06 1.45e-06 1.65e-06 1.4e-06 1.65e-06 1.3e-06 1.65e-06 1.4e-06 1.65e-06 1.8e-06 1.4e-06 1.1e-06 1.75e-06
21 1e-06 1.5e-06 1.85e-06 1e-06 1.25e-06 1.55e-06 1.4e-06 1.4e-06 1.8e-06 1.1e-06 9e-07 1.1e-06 1.25e-06 1.15e-06 1.2e-06 1.3e-06 9.5e-07 1.2e-06 1.2e-06 1.1e-06 1.25e-06 9e-07 7e-07 1.4e-06 1.45e-06 1.05e-06 1.15e-06 1e-06 1.35e-06 1e-06 1.45e-06 1.35e-06 9e-07 1.65e-06 9.5e-07 1.4e-06 1.35e-06 1e-06 1e-06 1.1e-06 1e-06 1.2e-06 1.15e-06 9.5e-07 1.15e-06 1.2e-06 1.65e-06 1.2e-06 1.3e-06 1.05e-06 1.6e-06 1.25e-06 8.5e-07 1.5e-06 1.35e-06 1.6e-06 1.85e-06 1.05e-06 7e-07 1.7e-06 1.45e-06 1.15e-06 1.35e-06 1.05e-06 4.5e-07 1.6e-06
22 1e-06 1.6e-06 1.85e-06 1.2e-06 1.15e-06 1.5e-06 1.5e-06 1.35e-06 1.55e-06 1.4e-06 1e-06 1.4e-06 1.3e-06 1.15e-06 1.2e-06 1.4e-06 1.25e-06 1.25e-06 1.25e-06 1.1e-06 1.2e-06 7e-07 1e-06 1.5e-06 1.5e-06 1.1e-06 1.15e-06 9.5e-07 1.45e-06 9.5e-07 1.55e-06 1.45e-06 9.5e-07 1.75e-06 1.2e-06 1.5e-06 1.4e-06 1.05e-06 1e-06 1.2e-06 1.05e-06 1.2e-06 1.25e-06 1.25e-06 1.15e-06 1.3e-06 1.8e-06 1.25e-06 1.4e-06 1.1e-06 1.75e-06 1.3e-06 1.1e-06 1.65e-06 1.2e-06 1.75e-06 1.6e-06 1.05e-06 7.5e-07 1.8e-06 1.6e-06 1.2e-06 1.4e-06 1.1e-06 5e-07 1.7e-06
23 1.25e-06 1.4e-06 1.4e-06 1.55e-06 1.55e-06 1.7e-06 1.45e-06 1.6e-06 1.6e-06 1.45e-06 1.4e-06 1.25e-06 1.2e-06 1.35e-06 1.35e-06 1.3e-06 1.4e-06 1.3e-06 1.75e-06 1.55e-06 1.65e-06 1.4e-06 1.5e-06 2.1e-06 1.45e-06 1.55e-06 1.4e-06 1.2e-06 1.45e-06 1.2e-06 1.55e-06 1.45e-06 1.25e-06 1.55e-06 1.5e-06 1.5e-06 1.65e-06 1.25e-06 1.35e-06 1.3e-06 1.2e-06 1.4e-06 1.25e-06 1.4e-06 1.35e-06 1.55e-06 1.35e-06 1.55e-06 1.4e-06 1.35e-06 1.45e-06 1.2e-06 1.4e-06 1.5e-06 1.35e-06 1.5e-06 1.65e-06 1.4e-06 1.45e-06 1.3e-06 1.3e-06 1.5e-06 1.55e-06 1.35e-06 1.45e-06 1.5e-06
24 1.15e-06 1.25e-06 1.75e-06 1.45e-06 1.65e-06 1.8e-06 1.15e-06 1.7e-06 1.8e-06 1.1e-06 1.5e-06 1.45e-06 1.2e-06 1.15e-06 1.05e-06 1.5e-06 1.45e-06 1.2e-06 1.65e-06 1.6e-06 1.8e-06 1.45e-06 1.5e-06 1.45e-06 1.7e-06 1.55e-06 1.35e-06 9e-07 1.6e-06 9e-07 1.6e-06 1.5e-06 1.35e-06 1.15e-06 1.5e-06 1.65e-06 1.5e-06 1.25e-06 1.2e-06 1.15e-06 9.5e-07 1.25e-06 1.4e-06 1.45e-06 1.15e-06 1.65e-06 1.25e-06 1.5e-06 1.45e-06 1.45e-06 1.35e-06 1.1e-06 1.35e-06 1.6e-06 1.3e-06 1.2e-06 1.85e-06 1.25e-06 1.5e-06 1.3e-06 1.5e-06 1.45e-06 1.45e-06 1.45e-06 1.55e-06 1.4e-06
25 8.5e-07 1.45e-06 1.8e-06 1.3e-06 1.2e-06 1.45e-06 1.2e-06 1.5e-06 1.85e-06 1.45e-06 1.3e-06 1.4e-06 1.35e-06 1.2e-06 1.25e-06 1.4e-06 1.4e-06 1.4e-06 1.35e-06 1.2e-06 1.5e-06 1.05e-06 1.1e-06 1.55e-06 1.55e-06 1.2e-06 1.2e-06 1.15e-06 1.3e-06 1.15e-06 1.5e-06 1.25e-06 8.5e-07 1.8e-06 9e-07 1.35e-06 1.25e-06 9e-07 1e-06 1.2e-06 1.2e-06 9e-07 1.3e-06 1.4e-06 1.2e-06 1.55e-06 1.6e-06 1.1e-06 1.2e-06 6e-07 1.7e-06 1.3e-06 1.15e-06 1.75e-06 1.45e-06 1.75e-06 1.9e-06 1.05e-06 9e-07 1.55e-06 1.6e-06 1.05e-06 1.3e-06 6e-07 1e-06 1.55e-06
26 9e-07 1.4e-06 1.7e-06 1.25e-06 1.4e-06 1.5e-06 1.3e-06 1.45e-06 1.5e-06 1.35e-06 1.4e-06 1.25e-06 1.2e-06 1.05e-06 1.05e-06 1.3e-06 1.35e-06 1.25e-06 1.5e-06 1.35e-06 1.55e-06 1.15e-06 1.15e-06 1.4e-06 1.35e-06 1.2e-06 1.3e-06 9e-07 1.4e-06 9e-07 1.5e-06 1.25e-06 1e-06 1.6e-06 1.15e-06 1.45e-06 1.3e-06 9.5e-07 1e-06 9e-07 8e-07 1.05e-06 1.2e-06 1.35e-06 1.05e-06 1.4e-06 1.45e-06 1.2e-06 1.2e-06 9.5e-07 1.65e-06 1.05e-06 1.1e-06 1.7e-06 1.2e-06 1.65e-06 1.65e-06 1.05e-06 1.15e-06 1.5e-06 1.55e-06 1.15e-06 1.25e-06 9.5e-07 1.25e-06 1.35e-06
27 6e-07 1.35e-06 1.95e-06 1e-06 1.5e-06 1.7e-06 1.35e-06 1.55e-06 2e-06 1.25e-06 1.3e-06 1.35e-06 9e-07 5.5e-07 5e-07 1.35e-06 1.3e-06 8.5e-07 1.25e-06 1.45e-06 1.65e-06 1e-06 9.5e-07 1.2e-06 9e-07 1.15e-06 9e-07 1e-07 1.5e-06 1e-07 1.6e-06 1.4e-06 9.5e-07 1.25e-06 1.15e-06 1.55e-06 1.15e-06 7.5e-07 6e-07 6.5e-07 2.5e-07 6.5e-07 1.25e-06 1.3e-06 5.5e-07 1.55e-06 1.65e-06 1.1e-06 1.35e-06 1.15e-06 1.7e-06 8e-07 9.5e-07 1.7e-06 1e-06 1.6e-06 2.05e-06 6.5e-07 1.05e-06 1.55e-06 1.65e-06 1.05e-06 1.05e-06 1.15e-06 1.05e-06 1.35e-06
