 slim_762525959 slim_762525932 slim_762525940 slim_762525914 slim_762525968 slim_762525957 slim_762525919 slim_762525906 slim_762525905 slim_762525967 slim_762525952 slim_762525965 slim_762525951 slim_762525938 slim_762525955 slim_762525934 slim_762525966 slim_762525911 slim_762525931 slim_762525936 slim_762525909 slim_762525915 slim_762525960 slim_762525956 slim_762525924 slim_762525961 slim_762525926 slim_762525946 slim_762525953 slim_762525930 slim_762525923 slim_762525958 slim_762525916 slim_762525964 slim_762525920 slim_762525928 slim_762525963 slim_762525943 slim_762525937 slim_762525912 slim_762525954 slim_762525907 slim_762525935 slim_762525927 slim_762525969 slim_762525917 slim_762525948 slim_762525945 slim_762525942 slim_762525962 slim_762525925 slim_762525950 slim_762525918 slim_762525949 slim_762525913 slim_762525908 slim_762525947 slim_762525910 slim_762525944 slim_762525933 slim_762525929 slim_762525939 slim_762525941 slim_762525921 slim_762525922
10 2.2e-06 1.85e-06 2.4e-06 1.35e-06 2.15e-06 2.3e-06 1.75e-06 1.55e-06 2.05e-06 1.75e-06 1.8e-06 2.05e-06 2.5e-06 1.65e-06 2.05e-06 1.6e-06 2.1e-06 2e-06 2.35e-06 1.6e-06 2.2e-06 2e-06 1.9e-06 2.2e-06 1.45e-06 2e-06 2.3e-06 1.95e-06 1.45e-06 2.35e-06 1.7e-06 2.15e-06 2.25e-06 1.8e-06 2.35e-06 1.6e-06 1.25e-06 1.95e-06 1.6e-06 1.15e-06 2.1e-06 2e-06 1.65e-06 1.95e-06 1.85e-06 2.05e-06 1.45e-06 2.05e-06 1.95e-06 1.6e-06 2.1e-06 2.4e-06 1.8e-06 2.3e-06 2.2e-06 2.35e-06 1.85e-06 2.25e-06 1.8e-06 2e-06 1.15e-06 2.2e-06 2.4e-06 1.55e-06 1.8e-06
11 1.05e-06 1.1e-06 2.05e-06 1.75e-06 1.5e-06 1.8e-06 1.7e-06 1.6e-06 9.5e-07 1.5e-06 2.05e-06 1.8e-06 2e-06 1.8e-06 1.25e-06 1.85e-06 1.3e-06 1e-06 9.5e-07 1.75e-06 1.15e-06 1.65e-06 1.85e-06 1.6e-06 2e-06 1.75e-06 1.4e-06 1.9e-06 1.5e-06 9.5e-07 2.2e-06 1.95e-06 1.5e-06 1.45e-06 1.35e-06 1.4e-06 1.8e-06 9.5e-07 1.5e-06 2.05e-06 1.45e-06 1.4e-06 1.35e-06 1.4e-06 1.85e-06 1.55e-06 1.55e-06 1.25e-06 1.05e-06 1.6e-06 1.8e-06 2.4e-06 2.25e-06 1.4e-06 1.15e-06 1.65e-06 1.95e-06 1e-06 1.25e-06 1e-06 2.15e-06 1.6e-06 1.85e-06 1.55e-06 2.25e-06
12 1.55e-06 2.3e-06 2.25e-06 2.35e-06 1.6e-06 1.25e-06 2.1e-06 2.45e-06 2e-06 2.2e-06 2.5e-06 2e-06 1.9e-06 2.05e-06 1.2e-06 1.95e-06 1.75e-06 1.85e-06 1.6e-06 2.2e-06 1.25e-06 1.8e-06 2.45e-06 1.4e-06 2.35e-06 1.55e-06 1.45e-06 1.7e-06 1.85e-06 1.6e-06 2.4e-06 1.75e-06 2.05e-06 2.3e-06 1.25e-06 2.05e-06 2.1e-06 1.95e-06 1.95e-06 2.45e-06 1.5e-06 1.6e-06 1.85e-06 1.45e-06 2.45e-06 2.55e-06 2.35e-06 2.15e-06 1.9e-06 1.75e-06 1.7e-06 2.55e-06 2.7e-06 1.3e-06 1.6e-06 2.05e-06 2e-06 1.4e-06 2.3e-06 1.8e-06 2.65e-06 1.45e-06 1e-06 2.7e-06 2.7e-06
13 1.95e-06 1.4e-06 2e-06 2.15e-06 1.65e-06 1.95e-06 1.75e-06 1.5e-06 1.8e-06 1.85e-06 1.65e-06 1.8e-06 2.05e-06 1.9e-06 1.75e-06 2e-06 1.8e-06 1.65e-06 2.1e-06 1.5e-06 1.75e-06 1.35e-06 2.15e-06 1.5e-06 1.8e-06 1.9e-06 2e-06 1.9e-06 1.45e-06 2.1e-06 2e-06 2.3e-06 2.35e-06 1.4e-06 2.05e-06 2.05e-06 1.55e-06 1.55e-06 1.9e-06 1.6e-06 1.6e-06 1.6e-06 1.85e-06 1.9e-06 1.55e-06 2.15e-06 1.35e-06 1.25e-06 1.55e-06 1.35e-06 2.15e-06 2.95e-06 2.3e-06 2e-06 1.55e-06 2.5e-06 1.9e-06 1.9e-06 1.9e-06 1.6e-06 1.45e-06 1.35e-06 1.95e-06 1.65e-06 2.3e-06
14 7e-07 1.7e-06 2.05e-06 1.85e-06 1.5e-06 7e-07 1.65e-06 1.8e-06 1.25e-06 1.55e-06 2.05e-06 1.25e-06 1.2e-06 1.75e-06 9e-07 1.35e-06 1.45e-06 1.25e-06 9e-07 1.75e-06 9e-07 1.6e-06 2.1e-06 1e-06 1.95e-06 1.15e-06 8e-07 1.05e-06 1.25e-06 9e-07 2.2e-06 1.4e-06 1.45e-06 1.85e-06 1.1e-06 1.4e-06 1.65e-06 1.2e-06 1.35e-06 2.05e-06 1.05e-06 1e-06 1.25e-06 9.5e-07 2e-06 1.9e-06 1.9e-06 1.6e-06 1.3e-06 1.45e-06 1.2e-06 2.45e-06 2.35e-06 9.5e-07 1.1e-06 1.65e-06 1.8e-06 8.5e-07 1.7e-06 1.2e-06 2.2e-06 1e-06 1.05e-06 2e-06 2.35e-06
15 1.6e-06 2.1e-06 2.3e-06 1.45e-06 2.1e-06 1.35e-06 1.85e-06 1.9e-06 1.85e-06 1.8e-06 1.6e-06 1.85e-06 1.95e-06 2e-06 1.35e-06 2.4e-06 2e-06 1.85e-06 1.75e-06 1.7e-06 1.7e-06 2e-06 2.1e-06 1.75e-06 1.85e-06 1.4e-06 1.45e-06 1.4e-06 1.65e-06 1.75e-06 2.05e-06 1.7e-06 1.85e-06 2.1e-06 1.85e-06 1.45e-06 1.7e-06 1.8e-06 1.45e-06 1.7e-06 1.75e-06 1.6e-06 1.45e-06 1.45e-06 2.15e-06 2.05e-06 1.95e-06 2.1e-06 1.85e-06 1.75e-06 1.6e-06 2.3e-06 2.1e-06 1.8e-06 1.85e-06 2e-06 2e-06 1.7e-06 1.85e-06 1.85e-06 1.95e-06 1.75e-06 1.85e-06 2e-06 2.1e-06
16 1.4e-06 1.25e-06 1.9e-06 1.85e-06 1.25e-06 1.95e-06 1.9e-06 1.75e-06 1.3e-06 1.85e-06 2.1e-06 1.3e-06 1.75e-06 1.8e-06 1.45e-06 2e-06 2.3e-06 1.25e-06 1.5e-06 1.85e-06 1.4e-06 1.55e-06 1.75e-06 1.7e-06 2e-06 1.75e-06 1.7e-06 2.05e-06 1.6e-06 1.5e-06 2e-06 1.85e-06 1.8e-06 1.65e-06 1.35e-06 1.75e-06 1.9e-06 1.15e-06 1.7e-06 2.1e-06 1.55e-06 1.55e-06 1.65e-06 1.65e-06 2.05e-06 1.7e-06 1.6e-06 1.4e-06 1.3e-06 1.7e-06 1.9e-06 2.05e-06 2.15e-06 1.25e-06 1.45e-06 1.75e-06 1.75e-06 1.4e-06 1.4e-06 1.3e-06 2.2e-06 1.7e-06 1.6e-06 1.75e-06 2.15e-06
17 1.1e-06 1.05e-06 2e-06 1.85e-06 1.35e-06 1.75e-06 1.65e-06 1.6e-06 1e-06 1.6e-06 2e-06 1e-06 1.85e-06 1.65e-06 1.25e-06 1.85e-06 1.25e-06 1.9e-06 1.1e-06 1.7e-06 1e-06 1.5e-06 1.9e-06 1.5e-06 1.95e-06 1.65e-06 1.4e-06 1.9e-06 1.45e-06 1.1e-06 2.15e-06 1.95e-06 1.6e-06 1.4e-06 1.35e-06 1.5e-06 1.8e-06 9.5e-07 1.55e-06 2e-06 1.35e-06 1.35e-06 1.4e-06 1.35e-06 1.8e-06 1.6e-06 1.5e-06 1.2e-06 1e-06 1.45e-06 1.8e-06 2.45e-06 2.3e-06 1.35e-06 1.15e-06 1.75e-06 1.9e-06 1e-06 1.35e-06 1e-06 2.1e-06 1.5e-06 1.7e-06 1.6e-06 2.3e-06
18 5.5e-07 1.95e-06 2.2e-06 1.85e-06 1.6e-06 1.45e-06 1.65e-06 2.15e-06 1.05e-06 1.35e-06 2.35e-06 9.5e-07 1.6e-06 2.1e-06 9e-07 1.75e-06 1.5e-06 1.1e-06 1e-07 1.9e-06 4.5e-07 1.8e-06 2.2e-06 1.5e-06 2.3e-06 1.65e-06 8.5e-07 1.55e-06 1.55e-06 5e-08 2.5e-06 1.85e-06 1.1e-06 1.8e-06 7e-07 1.05e-06 1.7e-06 1.45e-06 1.25e-06 2.35e-06 1.5e-06 1.55e-06 9.5e-07 1.1e-06 2.1e-06 2.1e-06 2.2e-06 1.8e-06 1.3e-06 1.5e-06 1.7e-06 2.55e-06 2.6e-06 9.5e-07 8e-07 1.25e-06 1.95e-06 2e-07 1.75e-06 9.5e-07 2.65e-06 1.5e-06 1.4e-06 2.3e-06 2.6e-06
19 1.75e-06 1.65e-06 1.85e-06 1.5e-06 1.85e-06 2.15e-06 1.9e-06 1.75e-06 1.75e-06 1.9e-06 1.6e-06 1.75e-06 2.2e-06 1.5e-06 1.75e-06 1.7e-06 1.85e-06 1.7e-06 1.9e-06 2.5e-06 1.75e-06 1.5e-06 1.95e-06 1.75e-06 1.9e-06 1.9e-06 2e-06 2.05e-06 1.7e-06 1.9e-06 2.05e-06 2.05e-06 2e-06 1.6e-06 1.95e-06 1.55e-06 1.75e-06 1.6e-06 1.5e-06 1.65e-06 1.85e-06 1.8e-06 1.6e-06 1.8e-06 1.85e-06 1.95e-06 1.75e-06 1.45e-06 1.7e-06 1.75e-06 2e-06 2.35e-06 2.15e-06 1.9e-06 1.6e-06 2.1e-06 2.05e-06 1.8e-06 1.7e-06 1.7e-06 1.95e-06 1.6e-06 2.1e-06 1.85e-06 2.15e-06
20 7e-07 1.8e-06 2.05e-06 2e-06 1.3e-06 1.3e-06 1.45e-06 2.1e-06 1.15e-06 1.55e-06 2.2e-06 1.15e-06 1.25e-06 1.75e-06 9e-07 1.7e-06 1.4e-06 1e-06 4.5e-07 1.75e-06 2e-07 1.45e-06 2.25e-06 1.25e-06 2.15e-06 1.4e-06 8.5e-07 1.55e-06 1.45e-06 4.5e-07 2.35e-06 1.8e-06 1.35e-06 1.65e-06 7e-07 1.25e-06 1.7e-06 1.4e-06 1.35e-06 2.2e-06 1.25e-06 1.4e-06 1.05e-06 9.5e-07 1.95e-06 2.15e-06 2.05e-06 1.65e-06 1.15e-06 1.1e-06 1.65e-06 2.6e-06 2.65e-06 9e-07 8e-07 1.5e-06 1.85e-06 2.5e-07 1.9e-06 9.5e-07 2.5e-06 1.25e-06 1.1e-06 2.35e-06 2.65e-06
21 1.65e-06 1.4e-06 1.7e-06 1.75e-06 1.4e-06 1.95e-06 1.95e-06 1.85e-06 1.65e-06 2.05e-06 2e-06 1.65e-06 1.8e-06 1.35e-06 1.6e-06 2e-06 1.55e-06 1.5e-06 1.8e-06 1.5e-06 1.45e-06 1.9e-06 2e-06 1.5e-06 1.9e-06 1.65e-06 1.85e-06 2.15e-06 1.65e-06 1.8e-06 2.05e-06 2e-06 1.95e-06 1.55e-06 1.65e-06 1.9e-06 1.95e-06 1.45e-06 1.75e-06 1.95e-06 1.6e-06 1.6e-06 1.7e-06 1.75e-06 1.9e-06 1.9e-06 1.6e-06 1.25e-06 1.45e-06 1.6e-06 1.9e-06 2.35e-06 2.35e-06 1.6e-06 1.4e-06 2.05e-06 2e-06 1.6e-06 1.5e-06 1.45e-06 2.15e-06 1.35e-06 1.7e-06 2e-06 2.35e-06
22 2.05e-06 1.8e-06 1.9e-06 1.65e-06 2e-06 2.55e-06 2.2e-06 1.95e-06 1.85e-06 2.1e-06 1.9e-06 1.85e-06 2.45e-06 2.15e-06 2.1e-06 2.1e-06 1.75e-06 1.9e-06 2.2e-06 1.95e-06 2.25e-06 2e-06 2.5e-06 2.3e-06 2e-06 2.15e-06 2.35e-06 2.45e-06 1.95e-06 2.2e-06 1.75e-06 1.95e-06 2.15e-06 1.8e-06 2.05e-06 1.9e-06 2.05e-06 1.75e-06 1.95e-06 2e-06 2.25e-06 2.15e-06 1.95e-06 2.15e-06 2.25e-06 1.9e-06 1.8e-06 1.9e-06 1.85e-06 2.15e-06 2.2e-06 1.45e-06 1.75e-06 2e-06 2.1e-06 1.8e-06 2.05e-06 2.2e-06 1.6e-06 2e-06 2.1e-06 2.3e-06 2.35e-06 1.85e-06 1.75e-06
23 1.35e-06 1.65e-06 2.05e-06 2.25e-06 1.6e-06 1e-06 1.85e-06 1.85e-06 1.6e-06 1.9e-06 2.2e-06 1.6e-06 1.4e-06 1.5e-06 1e-06 1.75e-06 1.7e-06 1.5e-06 1.5e-06 1.75e-06 1.25e-06 1.5e-06 2.3e-06 1.7e-06 2.1e-06 1.45e-06 1.3e-06 1.5e-06 1.55e-06 1.5e-06 2.35e-06 1.8e-06 1.95e-06 1.65e-06 1.55e-06 1.9e-06 1.9e-06 1.4e-06 1.8e-06 2.15e-06 1.1e-06 1.15e-06 1.7e-06 1.35e-06 1.85e-06 2.15e-06 1.85e-06 1.45e-06 1.5e-06 1.55e-06 1.55e-06 2.85e-06 2.6e-06 1.5e-06 1.2e-06 2.15e-06 2.05e-06 1.35e-06 1.95e-06 1.45e-06 2.2e-06 1e-06 1.3e-06 2.1e-06 2.6e-06
24 2.15e-06 1.8e-06 2.35e-06 1.6e-06 2.05e-06 2.15e-06 1.8e-06 1.6e-06 2e-06 1.8e-06 1.45e-06 2e-06 2.35e-06 1.8e-06 1.95e-06 1.85e-06 2e-06 1.95e-06 2.3e-06 1.9e-06 2.15e-06 1.9e-06 2e-06 2.1e-06 2.5e-06 1.7e-06 2.2e-06 2.1e-06 1.6e-06 2.3e-06 1.85e-06 2.1e-06 1.85e-06 1.9e-06 2.25e-06 1.9e-06 1.65e-06 1.9e-06 1.85e-06 1.45e-06 2e-06 1.9e-06 1.85e-06 1.9e-06 1.9e-06 1.65e-06 1.6e-06 2e-06 1.9e-06 1.75e-06 1.65e-06 2.35e-06 1.85e-06 2.2e-06 2.15e-06 2.3e-06 1.85e-06 2.2e-06 1.7e-06 1.95e-06 1.4e-06 2.1e-06 2.25e-06 1.6e-06 1.85e-06
25 1.5e-06 1.9e-06 2.15e-06 1.75e-06 1.75e-06 1.05e-06 1.9e-06 2e-06 1.75e-06 1.95e-06 2e-06 1.75e-06 1.55e-06 1.9e-06 1.15e-06 1.4e-06 1.75e-06 1.65e-06 1.65e-06 1.9e-06 1.4e-06 1.65e-06 2.15e-06 1.45e-06 1.7e-06 1.8e-06 1.25e-06 1.45e-06 1.65e-06 1.65e-06 2.1e-06 1.6e-06 1.6e-06 2.05e-06 1.6e-06 1.75e-06 1.95e-06 1.65e-06 1.65e-06 2e-06 1.45e-06 1.35e-06 1.55e-06 1.3e-06 2.2e-06 1.8e-06 1.95e-06 1.9e-06 1.65e-06 1.65e-06 1.25e-06 2.3e-06 2.3e-06 1.55e-06 1.65e-06 1.95e-06 2e-06 1.5e-06 1.75e-06 1.65e-06 2.2e-06 1.45e-06 1.45e-06 2.15e-06 2.3e-06
26 9e-07 2.05e-06 2.3e-06 2.1e-06 1.75e-06 8.5e-07 1.75e-06 2.1e-06 1.35e-06 1.65e-06 2.3e-06 1.4e-06 1.45e-06 2e-06 8e-07 1.45e-06 1.7e-06 1.4e-06 8.5e-07 2e-06 8.5e-07 1.85e-06 2.35e-06 1.3e-06 2.2e-06 1.25e-06 1.4e-06 1.15e-06 1.55e-06 8.5e-07 2.45e-06 1.7e-06 1.55e-06 2e-06 1.15e-06 1.5e-06 1.85e-06 1.55e-06 1.55e-06 2.3e-06 1.35e-06 1.3e-06 1.3e-06 1.1e-06 2.15e-06 2.2e-06 2.15e-06 1.9e-06 1.5e-06 1.55e-06 1.5e-06 2.7e-06 2.6e-06 1.2e-06 1.2e-06 1.75e-06 2e-06 8e-07 2e-06 1.35e-06 2.45e-06 1.3e-06 1.3e-06 2.3e-06 2.6e-06
27 1.4e-06 2.35e-06 2.6e-06 2.15e-06 2.1e-06 9.5e-07 1.85e-06 2e-06 1.9e-06 1.75e-06 1.95e-06 1.9e-06 1.7e-06 1.9e-06 1.05e-06 1.4e-06 2.05e-06 1.9e-06 1.55e-06 2.05e-06 1.55e-06 2.15e-06 2.45e-06 1.5e-06 2.1e-06 1.45e-06 1.15e-06 1.6e-06 1.5e-06 1.55e-06 2.35e-06 1.9e-06 2.05e-06 2.2e-06 1.7e-06 1.75e-06 1.55e-06 1.85e-06 1.7e-06 1.95e-06 1.6e-06 1.5e-06 1.55e-06 1.5e-06 2.15e-06 2.5e-06 2.05e-06 2.2e-06 1.95e-06 1.65e-06 1.7e-06 3e-06 2.5e-06 1.6e-06 1.7e-06 2.25e-06 1.95e-06 1.5e-06 2.3e-06 1.85e-06 1.95e-06 1.5e-06 1.55e-06 2.2e-06 2.5e-06
28 1.35e-06 1.5e-06 2.2e-06 1.8e-06 1.6e-06 1.6e-06 1.6e-06 1.5e-06 1.5e-06 1.55e-06 1.45e-06 1.5e-06 1.85e-06 1.45e-06 1.25e-06 1.65e-06 1.6e-06 1.45e-06 1.55e-06 1.7e-06 1.45e-06 1.65e-06 1.95e-06 1.55e-06 1.6e-06 1.65e-06 1.55e-06 1.5e-06 2.2e-06 1.55e-06 1.9e-06 1.95e-06 1.9e-06 1.6e-06 1.65e-06 1.6e-06 1.25e-06 1.4e-06 1.55e-06 1.55e-06 1.5e-06 1.45e-06 1.45e-06 1.55e-06 1.75e-06 1.95e-06 1.45e-06 1.6e-06 1.45e-06 1.35e-06 1.8e-06 2.6e-06 2.1e-06 1.5e-06 1.5e-06 2.05e-06 1.7e-06 1.45e-06 1.7e-06 1.4e-06 1.45e-06 1.55e-06 1.7e-06 1.6e-06 2.1e-06
