 slim_762537596 slim_762537616 slim_762537589 slim_762537598 slim_762537593 slim_762537580 slim_762537614 slim_762537600 slim_762537602 slim_762537607 slim_762537586 slim_762537578 slim_762537609 slim_762537584 slim_762537591 slim_762537581 slim_762537601 slim_762537613 slim_762537577 slim_762537599 slim_762537612 slim_762537608 slim_762537617 slim_762537583 slim_762537610 slim_762537574 slim_762537595 slim_762537605 slim_762537587 slim_762537594 slim_762537585 slim_762537604 slim_762537603 slim_762537575 slim_762537576 slim_762537588 slim_762537592 slim_762537611 slim_762537615 slim_762537597 slim_762537606 slim_762537579 slim_762537582 slim_762537590
10 2.7e-06 2.5e-06 2.4e-06 2.45e-06 2.3e-06 2.55e-06 2.5e-06 2.25e-06 2.15e-06 2.1e-06 3.4e-06 2.1e-06 2.25e-06 2.45e-06 2.5e-06 2.35e-06 2.3e-06 2.15e-06 2.15e-06 2.2e-06 2e-06 2.25e-06 2.45e-06 2.1e-06 2.35e-06 2.4e-06 2.5e-06 1.95e-06 2.1e-06 2.55e-06 2.45e-06 2.5e-06 2.5e-06 2.1e-06 1.75e-06 1.75e-06 1.95e-06 2.15e-06 2.75e-06 2.4e-06 2.2e-06 2.6e-06 2e-06 2.05e-06
11 2.9e-06 2.8e-06 2.55e-06 2.35e-06 2.55e-06 2.2e-06 2.25e-06 2.95e-06 1.35e-06 1.7e-06 2.1e-06 2.6e-06 1.95e-06 2.85e-06 2.5e-06 2.45e-06 2.95e-06 2.3e-06 2.3e-06 2.45e-06 1.8e-06 2.65e-06 2.55e-06 2.55e-06 2.4e-06 2.2e-06 2.8e-06 2.05e-06 2.5e-06 2.55e-06 2.65e-06 2.65e-06 2.55e-06 2.25e-06 2.05e-06 1.35e-06 2.4e-06 1.8e-06 2.7e-06 2.55e-06 2.25e-06 2.75e-06 1.75e-06 2.6e-06
12 2.55e-06 2.95e-06 2.25e-06 1.95e-06 2.6e-06 1.85e-06 2.4e-06 2.85e-06 1.95e-06 1.85e-06 2.25e-06 1.95e-06 2.8e-06 3e-06 2.65e-06 2.7e-06 2.9e-06 2.35e-06 2.45e-06 2.45e-06 1.9e-06 2.2e-06 2.05e-06 2.4e-06 1.9e-06 2.45e-06 2.75e-06 2e-06 2.65e-06 2.65e-06 2.75e-06 2.4e-06 2.2e-06 2.35e-06 2.2e-06 1.5e-06 2.25e-06 1.4e-06 2.45e-06 2e-06 2.3e-06 2.95e-06 1.95e-06 2.75e-06
13 2.35e-06 1.7e-06 2.7e-06 2.25e-06 2.65e-06 2.75e-06 2.65e-06 2.55e-06 2.85e-06 3e-06 2.45e-06 2.85e-06 3e-06 3.1e-06 1.85e-06 2.2e-06 2.8e-06 2.8e-06 2.45e-06 2.7e-06 2.85e-06 3.05e-06 3e-06 3.15e-06 3.1e-06 2.25e-06 2.05e-06 3.15e-06 2.05e-06 2.05e-06 2.5e-06 2.5e-06 2.2e-06 2.6e-06 2.85e-06 3.35e-06 2.9e-06 3.1e-06 2.3e-06 2.85e-06 2.7e-06 2.1e-06 2.9e-06 2.05e-06
14 2.25e-06 2e-06 2.55e-06 2.3e-06 2.25e-06 2.45e-06 2.1e-06 2.75e-06 2.5e-06 2.45e-06 2.5e-06 2.5e-06 2.65e-06 1.85e-06 2e-06 2.1e-06 2.95e-06 2.45e-06 2.2e-06 2.5e-06 2.5e-06 3.3e-06 3.05e-06 3.2e-06 2.95e-06 1.65e-06 1.85e-06 3.05e-06 2.25e-06 1.4e-06 2.5e-06 2.7e-06 2.5e-06 2.05e-06 2.8e-06 2.8e-06 3.15e-06 2.65e-06 2.15e-06 2.75e-06 2.7e-06 2.05e-06 2.25e-06 2e-06
15 2.35e-06 2.15e-06 2.7e-06 2.7e-06 2.55e-06 2.35e-06 2.45e-06 2.6e-06 2.45e-06 2.55e-06 2.35e-06 2.45e-06 2.7e-06 2.2e-06 2.1e-06 2.9e-06 2.65e-06 2.6e-06 2.15e-06 2.6e-06 2.5e-06 2.65e-06 2.75e-06 2.6e-06 2.7e-06 2.45e-06 2e-06 2.6e-06 2e-06 2.3e-06 2.3e-06 2.55e-06 2.7e-06 2.4e-06 2.35e-06 2.65e-06 2.45e-06 2.65e-06 2.3e-06 2.7e-06 2.5e-06 1.9e-06 2.65e-06 2.4e-06
16 2.85e-06 2.65e-06 2.45e-06 3.1e-06 2.3e-06 3e-06 2.9e-06 1.3e-06 2.95e-06 2.9e-06 2.3e-06 2.95e-06 2.9e-06 2.8e-06 2.95e-06 2.65e-06 2.5e-06 2.15e-06 2.55e-06 2.15e-06 2.8e-06 1.95e-06 2.35e-06 1.4e-06 2.4e-06 2.9e-06 2.45e-06 2.2e-06 2.4e-06 2.95e-06 2.1e-06 2.7e-06 2.95e-06 2.15e-06 2.45e-06 2.75e-06 1.5e-06 2.85e-06 3.1e-06 2.25e-06 2.3e-06 2.75e-06 2.7e-06 2.3e-06
17 2.8e-06 2.75e-06 2.1e-06 2.5e-06 2.2e-06 2.4e-06 2.05e-06 2e-06 2.3e-06 2.05e-06 2.15e-06 2.3e-06 2.35e-06 2.8e-06 2.45e-06 2.6e-06 2.15e-06 3.2e-06 2.45e-06 1.95e-06 2.3e-06 2.15e-06 2.45e-06 1.85e-06 2.1e-06 2.2e-06 2.75e-06 2.15e-06 2.35e-06 2.4e-06 2.3e-06 2.65e-06 2.75e-06 1.75e-06 2.25e-06 2e-06 1.85e-06 2.15e-06 2.95e-06 2.15e-06 2.05e-06 2.75e-06 1.8e-06 2e-06
18 2.5e-06 2.55e-06 2.75e-06 2.9e-06 2.4e-06 2.8e-06 2.85e-06 2.6e-06 2.3e-06 2.3e-06 2.15e-06 2.3e-06 2.45e-06 2.45e-06 2.2e-06 2.15e-06 2.55e-06 2.45e-06 3.7e-06 2.5e-06 2.15e-06 2.45e-06 2.65e-06 2.2e-06 2.55e-06 2.6e-06 2e-06 2.1e-06 2.55e-06 2.45e-06 2.8e-06 2.8e-06 2.95e-06 2.2e-06 2.1e-06 1.95e-06 2.1e-06 2.35e-06 2.55e-06 2.65e-06 2.45e-06 2.4e-06 2.35e-06 2.6e-06
19 2.75e-06 2.7e-06 2.05e-06 2.55e-06 2e-06 2.45e-06 2.15e-06 1.9e-06 2.45e-06 2.25e-06 2.2e-06 2.45e-06 2.45e-06 2.7e-06 2.5e-06 2.6e-06 2.15e-06 1.95e-06 2.5e-06 3.4e-06 2.4e-06 2.3e-06 2.45e-06 2.15e-06 2.4e-06 2.25e-06 2.65e-06 2e-06 2.25e-06 2.4e-06 2.2e-06 2.45e-06 2.7e-06 2.1e-06 2.35e-06 2.3e-06 2e-06 2.35e-06 2.85e-06 2.2e-06 2.25e-06 2.65e-06 2e-06 1.95e-06
20 3e-06 2.9e-06 2.75e-06 2.6e-06 2.45e-06 2.6e-06 2.7e-06 3.05e-06 1.85e-06 1.85e-06 2e-06 1.8e-06 1.9e-06 2.85e-06 2.5e-06 2.5e-06 2.8e-06 2.3e-06 2.15e-06 2.4e-06 2.3e-06 2.4e-06 2.4e-06 2.1e-06 2.35e-06 2.6e-06 2.45e-06 1.7e-06 2.7e-06 2.6e-06 2.95e-06 2.9e-06 2.8e-06 2.2e-06 1.75e-06 1.2e-06 1.85e-06 1.9e-06 2.9e-06 2.75e-06 2.25e-06 2.9e-06 1.9e-06 2.8e-06
21 2.55e-06 3e-06 2.1e-06 2.75e-06 2.45e-06 2.5e-06 3.1e-06 2.1e-06 2.65e-06 2.6e-06 2.25e-06 2.65e-06 2.2e-06 3.05e-06 3.3e-06 2.65e-06 1.95e-06 2.15e-06 2.45e-06 2.3e-06 2.4e-06 2.1e-06 1.9e-06 1.25e-06 1.7e-06 3.15e-06 2.5e-06 1.85e-06 2.55e-06 3.3e-06 2.65e-06 2.35e-06 2.75e-06 2.15e-06 2.2e-06 2.25e-06 1.15e-06 2.15e-06 2.8e-06 2e-06 2.05e-06 2.85e-06 2.7e-06 2.75e-06
22 2.45e-06 2.85e-06 2.3e-06 2.3e-06 2.6e-06 2.1e-06 2.75e-06 2.3e-06 2.55e-06 2.5e-06 2.45e-06 2.55e-06 2.05e-06 3e-06 3.05e-06 2.75e-06 2.35e-06 2.45e-06 2.65e-06 2.45e-06 2.4e-06 1.9e-06 3.3e-06 2.05e-06 1.9e-06 2.85e-06 2.7e-06 2.2e-06 2.55e-06 3.05e-06 2.55e-06 2.35e-06 2.3e-06 2.45e-06 2.55e-06 2.35e-06 1.8e-06 1.95e-06 2.5e-06 1.9e-06 2.35e-06 2.85e-06 2.6e-06 2.75e-06
23 2.85e-06 3.1e-06 2.6e-06 3.2e-06 2.2e-06 2.9e-06 3.15e-06 1.9e-06 2.55e-06 2.4e-06 2.1e-06 2.55e-06 2.4e-06 3.15e-06 3.2e-06 2.6e-06 1.4e-06 1.85e-06 2.2e-06 2.15e-06 2.1e-06 1.25e-06 2.05e-06 8e-07 1.7e-06 3.2e-06 2.3e-06 1.45e-06 2.7e-06 3.3e-06 2.7e-06 2.85e-06 3.3e-06 1.75e-06 1.95e-06 1.8e-06 6.5e-07 2.25e-06 3.2e-06 2.15e-06 1.85e-06 2.9e-06 2.5e-06 2.85e-06
24 2.4e-06 3.05e-06 2.25e-06 2.25e-06 2.55e-06 1.95e-06 2.55e-06 2.4e-06 2.4e-06 2.25e-06 2.35e-06 2.4e-06 1.9e-06 3.1e-06 2.95e-06 2.7e-06 2.4e-06 2.1e-06 2.55e-06 2.4e-06 2.35e-06 1.7e-06 1.9e-06 1.7e-06 2.9e-06 2.75e-06 2.75e-06 2.1e-06 2.55e-06 2.95e-06 2.65e-06 2.4e-06 2.5e-06 2.1e-06 2.4e-06 2.05e-06 1.7e-06 1.7e-06 2.55e-06 1.75e-06 2.1e-06 2.85e-06 2.35e-06 2.7e-06
25 2.6e-06 2.25e-06 2.15e-06 1.95e-06 2.25e-06 2e-06 1.6e-06 2.6e-06 2.2e-06 2e-06 2.4e-06 2.2e-06 2.45e-06 2.25e-06 1.65e-06 2.45e-06 2.9e-06 2.2e-06 2.6e-06 2.25e-06 2.6e-06 3.15e-06 2.85e-06 3.2e-06 2.75e-06 2e-06 2.75e-06 2.9e-06 2.05e-06 1.8e-06 2.15e-06 2.05e-06 2.2e-06 2.05e-06 2.7e-06 2.5e-06 3.1e-06 2.3e-06 2.25e-06 2.5e-06 2.05e-06 2.35e-06 1.85e-06 1.8e-06
26 2.25e-06 2.1e-06 2.9e-06 2.95e-06 2.45e-06 2.95e-06 3.15e-06 2.5e-06 2.8e-06 2.95e-06 2.5e-06 2.8e-06 2.75e-06 2.05e-06 1.85e-06 2e-06 2.45e-06 2.75e-06 2e-06 2.65e-06 2.45e-06 2.5e-06 2.7e-06 2.3e-06 2.75e-06 2.75e-06 2.3e-06 2.5e-06 2.5e-06 2.2e-06 2.75e-06 2.75e-06 2.9e-06 2.4e-06 2.65e-06 2.85e-06 2.15e-06 2.9e-06 2.25e-06 2.75e-06 2.6e-06 2.1e-06 3e-06 2.7e-06
27 3e-06 3.15e-06 2.6e-06 2.95e-06 2.1e-06 2.75e-06 2.95e-06 2.4e-06 2e-06 1.9e-06 1.95e-06 2.05e-06 2e-06 3.15e-06 3.05e-06 2.6e-06 2.2e-06 2.15e-06 2.1e-06 2e-06 1.7e-06 1.85e-06 2.2e-06 1.45e-06 2.1e-06 2.9e-06 2.5e-06 2.2e-06 2.75e-06 3.1e-06 2.8e-06 2.75e-06 3.05e-06 2.1e-06 1.7e-06 1.15e-06 1.3e-06 1.9e-06 3.05e-06 2.4e-06 2.1e-06 3e-06 2.05e-06 2.85e-06
28 2.35e-06 2.1e-06 2.2e-06 2.1e-06 2.45e-06 1.75e-06 1.75e-06 2.05e-06 2.5e-06 2.45e-06 2.1e-06 2.5e-06 2.65e-06 2.05e-06 2.25e-06 2e-06 2.4e-06 2.35e-06 2.55e-06 2.25e-06 2.7e-06 2.55e-06 2.55e-06 2.7e-06 2.55e-06 2.05e-06 2.5e-06 2.75e-06 2.4e-06 2.2e-06 1.6e-06 2.05e-06 2.15e-06 2.4e-06 2.5e-06 3e-06 2.5e-06 2.6e-06 2.4e-06 2.25e-06 2.25e-06 1.75e-06 2.5e-06 1.65e-06
29 2.4e-06 2.15e-06 2.4e-06 2.25e-06 2.4e-06 2.35e-06 1.95e-06 2.55e-06 2.55e-06 2.45e-06 2.55e-06 2.55e-06 2.65e-06 2.05e-06 1.4e-06 2.3e-06 2.95e-06 2.4e-06 2.45e-06 2.4e-06 2.6e-06 3.3e-06 3.05e-06 3.3e-06 2.95e-06 1.8e-06 2.2e-06 3.1e-06 2.2e-06 2.8e-06 2.35e-06 2.65e-06 2.5e-06 2.3e-06 2.9e-06 2.9e-06 3.2e-06 2.65e-06 2.35e-06 2.6e-06 2.7e-06 2.2e-06 2.2e-06 1.9e-06
30 2.65e-06 2.35e-06 2.2e-06 2.4e-06 2.5e-06 1.9e-06 1.75e-06 1.6e-06 2.65e-06 2.55e-06 2.45e-06 2.65e-06 2.75e-06 2.5e-06 2.5e-06 2.3e-06 2.1e-06 2.3e-06 2.8e-06 2.2e-06 2.95e-06 2.65e-06 2.55e-06 2.7e-06 2.65e-06 2.15e-06 2.75e-06 2.8e-06 1.6e-06 2.35e-06 2.7e-06 2.3e-06 2.4e-06 2.45e-06 2.8e-06 3.05e-06 2.5e-06 2.7e-06 2.7e-06 2.2e-06 2.35e-06 2.05e-06 2.45e-06 1.9e-06
31 2.35e-06 2.5e-06 2.15e-06 2.1e-06 2.65e-06 2e-06 2.45e-06 2.4e-06 2.65e-06 2.65e-06 2.5e-06 2.65e-06 2.4e-06 2.5e-06 2.7e-06 2.55e-06 2.7e-06 2.65e-06 2.8e-06 2.45e-06 2.9e-06 2.35e-06 2.35e-06 2.85e-06 2.4e-06 2.05e-06 2.75e-06 2.75e-06 2.05e-06 2.65e-06 2.3e-06 2.9e-06 2.1e-06 2.7e-06 2.8e-06 3.05e-06 2.6e-06 2.4e-06 2.1e-06 2.15e-06 2.1e-06 2.45e-06 2.75e-06 2.25e-06
32 2.45e-06 2.05e-06 2.25e-06 1.5e-06 2.85e-06 1.95e-06 2.35e-06 2.65e-06 2.55e-06 2.65e-06 2.5e-06 2.55e-06 2.2e-06 2.2e-06 2.5e-06 2.7e-06 2.95e-06 2.75e-06 2.95e-06 2.7e-06 2.8e-06 2.75e-06 2.3e-06 3.3e-06 2.5e-06 2.2e-06 2.9e-06 3.05e-06 2.15e-06 2.5e-06 2.4e-06 2.1e-06 2.7e-06 2.75e-06 2.9e-06 2.95e-06 3e-06 2.25e-06 2.1e-06 2.25e-06 2.6e-06 2.7e-06 2.6e-06 2.2e-06
33 2.65e-06 2.6e-06 2.3e-06 2.55e-06 2e-06 2.5e-06 2.25e-06 2.2e-06 2.25e-06 2.05e-06 2.1e-06 2.25e-06 2.35e-06 2.6e-06 2.05e-06 2.4e-06 2.15e-06 1.75e-06 2.2e-06 2.1e-06 2.2e-06 2.15e-06 2.45e-06 1.75e-06 2.1e-06 2.05e-06 2.4e-06 2.1e-06 2.4e-06 2.3e-06 2.45e-06 2.7e-06 2.75e-06 3e-06 2.15e-06 1.9e-06 1.8e-06 2.15e-06 2.75e-06 2.3e-06 2.05e-06 2.6e-06 1.9e-06 2.15e-06
34 3e-06 2.9e-06 2.65e-06 2.85e-06 2.4e-06 2.85e-06 2.85e-06 2.65e-06 2.1e-06 2.05e-06 1.75e-06 2.05e-06 2.2e-06 2.85e-06 2.8e-06 2.35e-06 2.45e-06 2.25e-06 2.1e-06 2.35e-06 1.75e-06 2.2e-06 2.55e-06 1.95e-06 2.4e-06 2.7e-06 2.65e-06 1.7e-06 2.5e-06 2.9e-06 2.8e-06 2.8e-06 2.9e-06 2.15e-06 2.6e-06 1.35e-06 1.8e-06 2.1e-06 3.05e-06 2.75e-06 2.25e-06 2.9e-06 2e-06 2.5e-06
35 3.2e-06 3.3e-06 2.65e-06 2.65e-06 2.35e-06 2.5e-06 2.55e-06 3e-06 1.35e-06 1.15e-06 1.75e-06 1.35e-06 1.5e-06 3.35e-06 2.8e-06 2.65e-06 2.75e-06 2e-06 1.95e-06 2.3e-06 1.2e-06 2.25e-06 2.35e-06 1.8e-06 2.05e-06 2.5e-06 2.85e-06 1.15e-06 3e-06 2.9e-06 3.05e-06 3.05e-06 2.95e-06 1.9e-06 1.35e-06 2e-07 1.75e-06 1.25e-06 3.1e-06 2.5e-06 2.1e-06 3.25e-06 1.25e-06 2.95e-06
36 2.75e-06 2.85e-06 2.45e-06 3e-06 2.1e-06 2.8e-06 3.1e-06 1.75e-06 2.4e-06 2.35e-06 1.95e-06 2.4e-06 2.25e-06 2.9e-06 3.15e-06 2.45e-06 1.5e-06 1.85e-06 2.1e-06 2e-06 1.85e-06 1.15e-06 1.8e-06 6.5e-07 1.7e-06 3.1e-06 2.15e-06 1.3e-06 2.5e-06 3.2e-06 2.5e-06 2.6e-06 3e-06 1.8e-06 1.8e-06 1.75e-06 9e-07 2.2e-06 3e-06 2.1e-06 1.75e-06 2.75e-06 2.45e-06 2.7e-06
37 2.45e-06 3.05e-06 2.15e-06 1.9e-06 2.5e-06 1.65e-06 2.15e-06 2.8e-06 1.8e-06 1.6e-06 2.15e-06 1.8e-06 1.4e-06 3.1e-06 2.65e-06 2.65e-06 2.85e-06 2.15e-06 2.35e-06 2.35e-06 1.9e-06 2.15e-06 1.95e-06 2.25e-06 1.7e-06 2.3e-06 2.9e-06 1.9e-06 2.6e-06 2.65e-06 2.7e-06 2.4e-06 2.25e-06 2.15e-06 2.1e-06 1.25e-06 2.2e-06 2.3e-06 2.4e-06 1.8e-06 2.2e-06 2.9e-06 1.7e-06 2.65e-06
38 2.05e-06 2.35e-06 2.55e-06 2.15e-06 2.8e-06 2.1e-06 2.65e-06 2.9e-06 2.7e-06 2.85e-06 2.75e-06 2.7e-06 2.45e-06 2.3e-06 2.15e-06 2.3e-06 3.1e-06 2.95e-06 2.55e-06 2.85e-06 2.9e-06 2.8e-06 2.5e-06 3.2e-06 2.55e-06 2.25e-06 2.25e-06 3.05e-06 2.4e-06 2.35e-06 2.7e-06 2.1e-06 2.1e-06 2.75e-06 3.05e-06 3.1e-06 3e-06 2.4e-06 3e-06 2.35e-06 2.6e-06 2.3e-06 2.9e-06 2.6e-06
39 2.15e-06 2.8e-06 1.95e-06 2e-06 2.5e-06 1.7e-06 2.15e-06 1.7e-06 2.55e-06 2.35e-06 2.4e-06 2.55e-06 2e-06 2.85e-06 2.75e-06 2.7e-06 2.25e-06 2.15e-06 2.65e-06 2.2e-06 2.75e-06 2e-06 1.9e-06 2.15e-06 1.75e-06 2.5e-06 2.75e-06 2.4e-06 2.25e-06 2.6e-06 2.2e-06 2.15e-06 2.25e-06 2.3e-06 2.75e-06 2.5e-06 2.1e-06 1.8e-06 2.35e-06 2.4e-06 2.3e-06 2.6e-06 2.3e-06 2.25e-06
40 2.75e-06 2.65e-06 2.4e-06 2.45e-06 2.4e-06 2.3e-06 2.4e-06 2.3e-06 2.25e-06 2.15e-06 2.2e-06 2.25e-06 2.3e-06 2.7e-06 2.7e-06 2.5e-06 2.3e-06 2.05e-06 2.45e-06 2.25e-06 2.25e-06 2.05e-06 2.35e-06 1.85e-06 2.1e-06 2.05e-06 2.6e-06 2.1e-06 2.25e-06 2.7e-06 2.35e-06 2.1e-06 2.6e-06 2.05e-06 2.25e-06 2.1e-06 1.75e-06 2.2e-06 2.6e-06 2.3e-06 3.2e-06 2.6e-06 2.25e-06 2.4e-06
41 2.2e-06 2.25e-06 2.65e-06 2.65e-06 2.65e-06 2.1e-06 2.2e-06 2.5e-06 2.75e-06 2.75e-06 2.6e-06 2.75e-06 2.95e-06 2.1e-06 2.05e-06 1.9e-06 2.75e-06 2.75e-06 2.4e-06 2.65e-06 2.9e-06 2.85e-06 2.85e-06 2.9e-06 2.85e-06 2.35e-06 2.1e-06 3e-06 1.75e-06 2.2e-06 2.05e-06 2.45e-06 2.7e-06 2.6e-06 2.9e-06 3.25e-06 2.75e-06 2.9e-06 2.3e-06 2.6e-06 2.6e-06 3.1e-06 2.9e-06 2.3e-06
42 2.95e-06 2.85e-06 2.1e-06 2.25e-06 2.25e-06 2.2e-06 1.75e-06 2.5e-06 1.8e-06 1.5e-06 2e-06 1.75e-06 1.95e-06 2.9e-06 2.25e-06 2.65e-06 2.7e-06 1.8e-06 2.35e-06 2e-06 1.9e-06 2.7e-06 2.6e-06 2.5e-06 2.35e-06 1.85e-06 3e-06 2.05e-06 2.5e-06 2.2e-06 2.45e-06 2.75e-06 2.6e-06 1.9e-06 2e-06 1.25e-06 2.45e-06 1.7e-06 2.9e-06 2.3e-06 2.25e-06 2.9e-06 2.4e-06 2.05e-06
