 slim_762479855 slim_762479851 slim_762479843 slim_762479863 slim_762479846 slim_762479822 slim_762479826 slim_762479862 slim_762479836 slim_762479818 slim_762479847 slim_762479827 slim_762479853 slim_762479832 slim_762479841 slim_762479849 slim_762479817 slim_762479820 slim_762479830 slim_762479845 slim_762479837 slim_762479840 slim_762479856 slim_762479858 slim_762479833 slim_762479852 slim_762479838 slim_762479819 slim_762479829 slim_762479834 slim_762479857 slim_762479859 slim_762479835 slim_762479860 slim_762479842 slim_762479854 slim_762479861 slim_762479825 slim_762479823 slim_762479848 slim_762479821 slim_762479824 slim_762479844 slim_762479850 slim_762479831 slim_762479828 slim_762479839
0 1.2e-06 8.5e-07 1.2e-06 1.65e-06 9e-07 1.75e-06 1.75e-06 1.55e-06 8e-07 1.45e-06 1.45e-06 1.25e-06 1.6e-06 8e-07 1.8e-06 1e-06 1.4e-06 1.3e-06 1.05e-06 1.1e-06 1.45e-06 1.15e-06 1.4e-06 1.2e-06 1.25e-06 1.2e-06 1.8e-06 1.55e-06 9e-07 9e-07 1.2e-06 7.5e-07 1.2e-06 1.45e-06 1.35e-06 1.1e-06 9.5e-07 1.4e-06 1.15e-06 1.15e-06 1.6e-06 7.5e-07 1.15e-06 1.15e-06 9e-07 1.8e-06 1.1e-06
1 8.5e-07 7e-07 9.5e-07 1.5e-06 1.15e-06 1.75e-06 1.6e-06 1.3e-06 5e-07 1.4e-06 1.35e-06 1.3e-06 1.7e-06 1.2e-06 1.75e-06 7.5e-07 1.1e-06 1.2e-06 1.05e-06 1.15e-06 1.4e-06 1.3e-06 1.1e-06 1.25e-06 1.35e-06 1.05e-06 1.7e-06 1.3e-06 1.05e-06 8.5e-07 1.1e-06 5e-07 1.15e-06 1.35e-06 1.3e-06 9e-07 8e-07 1.2e-06 1e-06 9.5e-07 1.6e-06 1.15e-06 1.05e-06 1e-06 8.5e-07 1.8e-06 1e-06
2 1.2e-06 9.5e-07 9e-07 1.6e-06 1.55e-06 1.65e-06 1.9e-06 9e-07 9e-07 1.05e-06 1.45e-06 1.7e-06 1.6e-06 1.5e-06 1.65e-06 1.25e-06 1.1e-06 1.6e-06 1.45e-06 1.55e-06 1.5e-06 1.3e-06 1.1e-06 1.65e-06 1.55e-06 1.05e-06 2e-06 1.85e-06 1.35e-06 1.15e-06 1.1e-06 9.5e-07 1.15e-06 1.35e-06 1.4e-06 1e-06 1.2e-06 1.7e-06 1.5e-06 1.35e-06 1.5e-06 1.45e-06 8.5e-07 1.2e-06 9.5e-07 1.7e-06 1e-06
3 1.65e-06 1.5e-06 1.6e-06 1.6e-06 1.35e-06 1.6e-06 1.35e-06 1.2e-06 1.6e-06 1.65e-06 1.3e-06 1.45e-06 1.45e-06 1.65e-06 1.25e-06 1.25e-06 1.35e-06 1.35e-06 1.2e-06 1.35e-06 1.25e-06 1.55e-06 1.35e-06 1.25e-06 1.4e-06 1.25e-06 1.45e-06 1.2e-06 1.5e-06 1.65e-06 1.3e-06 1.6e-06 1.35e-06 1.55e-06 9.5e-07 1.15e-06 1.55e-06 1.1e-06 1.4e-06 1.35e-06 1.5e-06 1.6e-06 1.15e-06 1.4e-06 1.35e-06 1.65e-06 1.6e-06
4 9e-07 1.15e-06 1.55e-06 1.35e-06 1.3e-06 1.6e-06 1.4e-06 1.6e-06 1.15e-06 1.6e-06 1.3e-06 1.05e-06 1.5e-06 8.5e-07 1.45e-06 9e-07 1.4e-06 1.15e-06 9.5e-07 8e-07 1.3e-06 1.2e-06 1.4e-06 1.05e-06 1.05e-06 1.1e-06 1.4e-06 1.25e-06 9.5e-07 1.1e-06 1.15e-06 1.1e-06 1.15e-06 1.4e-06 9.5e-07 1e-06 1.1e-06 1e-06 1.1e-06 1.2e-06 1.45e-06 8e-07 1.05e-06 1.2e-06 1.05e-06 1.65e-06 1.35e-06
5 1.75e-06 1.75e-06 1.65e-06 1.6e-06 1.6e-06 2.2e-06 1.4e-06 1.6e-06 1.8e-06 1.45e-06 1.4e-06 1.75e-06 1.8e-06 1.65e-06 1.2e-06 1.6e-06 1.7e-06 1.7e-06 1.55e-06 1.6e-06 1.4e-06 1.4e-06 1.7e-06 1.7e-06 1.6e-06 1.45e-06 1.45e-06 1.8e-06 1.6e-06 1.75e-06 1.5e-06 1.8e-06 1.55e-06 1.3e-06 1.4e-06 1.4e-06 1.55e-06 1.65e-06 1.75e-06 1.8e-06 1.1e-06 1.65e-06 1.3e-06 1.7e-06 1.5e-06 1.2e-06 1.5e-06
6 1.75e-06 1.6e-06 1.9e-06 1.35e-06 1.4e-06 1.4e-06 1.4e-06 1.7e-06 1.7e-06 2.05e-06 1.35e-06 1.45e-06 1.95e-06 1.65e-06 1e-06 1.3e-06 1.25e-06 1.15e-06 1.25e-06 1.3e-06 1.55e-06 1.85e-06 1.25e-06 1.4e-06 1.4e-06 1.4e-06 9.5e-07 1.05e-06 1.6e-06 1.6e-06 1.4e-06 1.75e-06 1.5e-06 1.2e-06 1.15e-06 1.4e-06 1.65e-06 8.5e-07 1.2e-06 1.4e-06 1.25e-06 1.7e-06 1.4e-06 1.4e-06 1.5e-06 1.45e-06 1.85e-06
7 1.55e-06 1.3e-06 9e-07 1.2e-06 1.6e-06 1.6e-06 1.7e-06 1.4e-06 1.45e-06 1.3e-06 1.35e-06 1.65e-06 1.35e-06 1.7e-06 1.5e-06 1.45e-06 1.1e-06 1.5e-06 1.45e-06 1.65e-06 1.45e-06 1.35e-06 1.1e-06 1.6e-06 1.6e-06 1.2e-06 1.85e-06 1.65e-06 1.5e-06 1.6e-06 1.25e-06 1.45e-06 1.3e-06 1.5e-06 1.3e-06 1.15e-06 1.5e-06 1.55e-06 1.55e-06 1.6e-06 1.5e-06 1.55e-06 1e-06 1.45e-06 1.2e-06 1.65e-06 1.35e-06
8 8e-07 5e-07 9e-07 1.6e-06 1.15e-06 1.8e-06 1.7e-06 1.45e-06 6e-07 1.4e-06 1.45e-06 1.4e-06 1.8e-06 1.2e-06 1.8e-06 7e-07 1.25e-06 1.35e-06 1.1e-06 1.1e-06 1.45e-06 1.4e-06 1.25e-06 1.35e-06 1.35e-06 1.05e-06 1.75e-06 1.45e-06 1.1e-06 7e-07 1.1e-06 4e-07 1.15e-06 1.35e-06 1.3e-06 9e-07 8e-07 1.25e-06 1.05e-06 8e-07 1.65e-06 1.25e-06 1.05e-06 9e-07 8.5e-07 1.85e-06 9e-07
9 1.45e-06 1.4e-06 1.05e-06 1.65e-06 1.6e-06 1.45e-06 2.05e-06 1.3e-06 1.4e-06 1.3e-06 1.3e-06 1.8e-06 1.6e-06 1.55e-06 1.6e-06 1.5e-06 1.6e-06 1.8e-06 1.6e-06 1.65e-06 1.2e-06 1.1e-06 1.6e-06 1.75e-06 1.6e-06 1.25e-06 2.1e-06 2.05e-06 1.45e-06 1.55e-06 1.35e-06 1.35e-06 1.35e-06 1.6e-06 1.35e-06 1.1e-06 1.3e-06 1.9e-06 1.8e-06 1.75e-06 1.4e-06 1.5e-06 1e-06 1.6e-06 1.3e-06 1.4e-06 1.1e-06
