 slim_762369185 slim_762369181 slim_762369219 slim_762369191 slim_762369226 slim_762369184 slim_762369183 slim_762369171 slim_762369208 slim_762369195 slim_762369189 slim_762369166 slim_762369188 slim_762369214 slim_762369201 slim_762369199 slim_762369211 slim_762369210 slim_762369193 slim_762369215 slim_762369173 slim_762369212 slim_762369207 slim_762369182 slim_762369168 slim_762369172 slim_762369187 slim_762369198 slim_762369218 slim_762369196 slim_762369203 slim_762369205 slim_762369170 slim_762369176 slim_762369167 slim_762369165 slim_762369217 slim_762369174 slim_762369222 slim_762369225 slim_762369202 slim_762369190 slim_762369192 slim_762369194 slim_762369224 slim_762369223 slim_762369206 slim_762369175 slim_762369197 slim_762369177 slim_762369200 slim_762369209 slim_762369216 slim_762369179 slim_762369213 slim_762369220 slim_762369169 slim_762369221 slim_762369178 slim_762369186 slim_762369180 slim_762369204
10 2.05e-06 1.75e-06 1.65e-06 2.4e-06 3.05e-06 2.5e-06 2.4e-06 2.1e-06 1.45e-06 1.8e-06 2.5e-06 1.9e-06 2.15e-06 1.75e-06 1.45e-06 1.9e-06 2.6e-06 1.55e-06 1.55e-06 1.85e-06 1.45e-06 2.3e-06 1.95e-06 1.9e-06 2.05e-06 2.2e-06 1.7e-06 1.8e-06 1.55e-06 2.2e-06 2.35e-06 2.45e-06 1.8e-06 2.05e-06 2.05e-06 2.05e-06 2.25e-06 2.25e-06 2.05e-06 1.6e-06 2.1e-06 2.15e-06 2e-06 1.75e-06 1.9e-06 1.6e-06 1.65e-06 1.6e-06 2.2e-06 1.55e-06 2.1e-06 2.1e-06 1.9e-06 2.3e-06 1.7e-06 1.4e-06 1.85e-06 1.75e-06 1.75e-06 2.15e-06 2.05e-06 1.95e-06
11 1.7e-06 1.75e-06 2.4e-06 2.3e-06 2.95e-06 2.35e-06 2.3e-06 1.15e-06 1.55e-06 1.8e-06 1.9e-06 2.3e-06 2.5e-06 1.35e-06 1.7e-06 1.3e-06 3e-06 1.35e-06 1.45e-06 1.9e-06 1.35e-06 1.95e-06 1.45e-06 1.45e-06 1.45e-06 2.15e-06 1.85e-06 2.2e-06 1.55e-06 2.2e-06 1.2e-06 1.8e-06 2.3e-06 1.15e-06 1.35e-06 1.9e-06 1.9e-06 2.25e-06 1.85e-06 1.95e-06 1.15e-06 1.75e-06 2.15e-06 1.9e-06 1.55e-06 1.5e-06 1.9e-06 1.7e-06 1.85e-06 1.7e-06 1.6e-06 2.45e-06 1.3e-06 3.05e-06 1.85e-06 1.3e-06 1.5e-06 1.6e-06 1.85e-06 2.4e-06 1.8e-06 1.3e-06
12 2.35e-06 2.35e-06 2.25e-06 2.2e-06 2.6e-06 3e-06 2.15e-06 2.25e-06 2.5e-06 2.5e-06 2.15e-06 2.5e-06 3.2e-06 2.2e-06 2.3e-06 2.45e-06 3e-06 2.55e-06 2.6e-06 2.55e-06 2.45e-06 2.15e-06 1.95e-06 2.25e-06 2.05e-06 2.25e-06 2.55e-06 2.45e-06 2.55e-06 2.5e-06 2.2e-06 1.75e-06 2.55e-06 2.3e-06 2.5e-06 2.8e-06 2.1e-06 2e-06 2.35e-06 2.35e-06 2.35e-06 2.15e-06 2.8e-06 2.65e-06 2.2e-06 2.65e-06 2.55e-06 2.6e-06 2.5e-06 2.6e-06 2.1e-06 1.65e-06 2.35e-06 2.6e-06 2.6e-06 2.6e-06 2.2e-06 2.05e-06 1.85e-06 2.9e-06 1.95e-06 2.4e-06
13 1.6e-06 1.3e-06 2.2e-06 2.1e-06 2.6e-06 2.25e-06 2e-06 1.2e-06 1.4e-06 1.4e-06 1.75e-06 1.35e-06 2.2e-06 1.7e-06 1.35e-06 1.3e-06 2.6e-06 1.15e-06 9e-07 1.55e-06 9.5e-07 1.5e-06 1.35e-06 1.1e-06 1.45e-06 2.05e-06 1.5e-06 1.85e-06 1.1e-06 1.8e-06 1.35e-06 1.5e-06 2e-06 1.25e-06 1.2e-06 1.45e-06 1.45e-06 1.95e-06 1.55e-06 1.55e-06 1.3e-06 1.65e-06 1.8e-06 1.4e-06 1.4e-06 1.05e-06 1.55e-06 1.45e-06 1.75e-06 1.55e-06 1.5e-06 2.15e-06 1.05e-06 2.7e-06 1.4e-06 1e-06 1.45e-06 1.2e-06 1.75e-06 2.05e-06 1.45e-06 1.15e-06
14 1.7e-06 1.6e-06 1.7e-06 2.15e-06 2.9e-06 2.35e-06 2.05e-06 1.75e-06 1e-06 1.5e-06 1.45e-06 1.7e-06 2.3e-06 1.35e-06 1.5e-06 1.65e-06 2.5e-06 1.2e-06 9.5e-07 1.35e-06 7.5e-07 1.9e-06 2e-06 1.45e-06 2.1e-06 2.3e-06 1.1e-06 1.4e-06 9.5e-07 1.6e-06 2.15e-06 2.25e-06 1.2e-06 1.8e-06 1.65e-06 1.6e-06 1.85e-06 1.8e-06 1.65e-06 1.2e-06 1.85e-06 1.95e-06 1.5e-06 1.35e-06 1.45e-06 9.5e-07 9.5e-07 1.4e-06 1.85e-06 1.2e-06 2.15e-06 2.25e-06 1.5e-06 2.45e-06 1.15e-06 1e-06 1.5e-06 1.25e-06 1.9e-06 1.8e-06 2.05e-06 1.55e-06
15 1.6e-06 1.7e-06 2.3e-06 2.2e-06 2.9e-06 2.3e-06 2.2e-06 1.1e-06 1.6e-06 1.75e-06 1.9e-06 1.3e-06 2.45e-06 1.3e-06 1.65e-06 2.2e-06 2.95e-06 1.35e-06 1.4e-06 1.8e-06 1.3e-06 1.9e-06 1.4e-06 1.4e-06 1.5e-06 2.1e-06 1.75e-06 2.15e-06 1.5e-06 2.15e-06 1.2e-06 1.7e-06 2.2e-06 1.1e-06 1.4e-06 1.8e-06 1.85e-06 2.2e-06 1.75e-06 1.9e-06 1.15e-06 1.8e-06 2.05e-06 1.85e-06 1.5e-06 1.45e-06 1.85e-06 1.55e-06 1.75e-06 1.65e-06 1.55e-06 2.4e-06 1.25e-06 3e-06 1.75e-06 1.3e-06 1.5e-06 1.55e-06 1.8e-06 2.3e-06 1.75e-06 1.3e-06
16 2.75e-06 2.55e-06 2.6e-06 3.15e-06 2.1e-06 2e-06 3.05e-06 2.9e-06 2.6e-06 2e-06 2.6e-06 3e-06 3e-06 2.6e-06 2.5e-06 2.95e-06 1.5e-06 2.75e-06 2.55e-06 2.65e-06 2.4e-06 3.1e-06 2.6e-06 2.55e-06 2.7e-06 2.85e-06 2.5e-06 2.1e-06 2.5e-06 3.05e-06 3.05e-06 3.1e-06 2.75e-06 2.95e-06 2.9e-06 2.85e-06 3.05e-06 3.15e-06 2.65e-06 1.75e-06 3e-06 3.2e-06 2.55e-06 1.95e-06 2.65e-06 2.6e-06 2.75e-06 2.05e-06 2.9e-06 2.65e-06 2.75e-06 2.95e-06 2.75e-06 1.55e-06 2.55e-06 2.65e-06 2.75e-06 2.4e-06 2.65e-06 2.05e-06 2.6e-06 2.8e-06
17 1.75e-06 1.45e-06 2.1e-06 2.15e-06 2.95e-06 2.15e-06 2.15e-06 1.45e-06 1.05e-06 1.25e-06 1.55e-06 1.35e-06 2.55e-06 1.15e-06 1.2e-06 1.35e-06 2.75e-06 1.2e-06 9e-07 1.2e-06 8.5e-07 1.8e-06 1.75e-06 1.45e-06 1.85e-06 2.45e-06 1.35e-06 1.9e-06 1e-06 1.65e-06 1.9e-06 2.05e-06 1.75e-06 1.4e-06 1.5e-06 1.45e-06 1.75e-06 2.1e-06 1.75e-06 1.55e-06 1.45e-06 1.65e-06 1.7e-06 1.45e-06 1.6e-06 9.5e-07 1.35e-06 1.3e-06 1.9e-06 1.15e-06 1.9e-06 2.5e-06 1.35e-06 2.9e-06 1.3e-06 7.5e-07 1.55e-06 1.45e-06 2.1e-06 2e-06 1.9e-06 1.4e-06
18 1.85e-06 1.15e-06 2.2e-06 2.3e-06 2.9e-06 2.35e-06 2.2e-06 1.65e-06 9.5e-07 1.25e-06 1.55e-06 1.45e-06 2.6e-06 9e-07 9.5e-07 1.4e-06 2.55e-06 9e-07 2e-07 1.45e-06 3.5e-07 1.45e-06 1.95e-06 1.2e-06 2.05e-06 2.55e-06 1.1e-06 1.65e-06 4e-07 1.3e-06 2.1e-06 2.2e-06 1.75e-06 1.7e-06 1.2e-06 1.15e-06 1.4e-06 2.15e-06 1.75e-06 1.2e-06 1.75e-06 1.7e-06 1.45e-06 8.5e-07 1.6e-06 3e-07 1.1e-06 1e-06 2e-06 1.15e-06 2.1e-06 2.55e-06 1.05e-06 2.8e-06 9e-07 3.5e-07 1.7e-06 1.35e-06 2.2e-06 1.75e-06 1.95e-06 1.1e-06
19 1.45e-06 1.85e-06 1.65e-06 1.95e-06 2.95e-06 2.25e-06 1.85e-06 1.7e-06 1.4e-06 1.6e-06 1.85e-06 1.9e-06 2.55e-06 1.55e-06 1.35e-06 1.8e-06 2.65e-06 1.2e-06 1.45e-06 1.7e-06 1.4e-06 2.2e-06 2e-06 1.85e-06 2.1e-06 2.2e-06 1.2e-06 2.05e-06 1.4e-06 1.9e-06 2.15e-06 2.25e-06 1.2e-06 1.75e-06 1.9e-06 1.8e-06 2.15e-06 2.1e-06 1.45e-06 1.7e-06 1.8e-06 2.2e-06 1.55e-06 1.85e-06 1.65e-06 1.5e-06 1.5e-06 1.85e-06 1.6e-06 1.15e-06 2.15e-06 2.5e-06 1.75e-06 2.65e-06 1.15e-06 1.45e-06 1.65e-06 1.5e-06 2.1e-06 1.9e-06 2.15e-06 1.8e-06
20 1.75e-06 1.2e-06 2.1e-06 2.2e-06 2.75e-06 2.25e-06 2.1e-06 1.55e-06 9e-07 1.15e-06 1.45e-06 1.35e-06 2.45e-06 9.5e-07 7.5e-07 1.3e-06 2.4e-06 8.5e-07 3.5e-07 1.4e-06 1e-07 1.5e-06 1.8e-06 9.5e-07 1.9e-06 2.4e-06 9e-07 1.4e-06 5e-07 1.4e-06 1.95e-06 2.05e-06 1.7e-06 1.6e-06 1.25e-06 1.2e-06 1.45e-06 2.05e-06 1.65e-06 1.1e-06 1.65e-06 1.6e-06 1.35e-06 9e-07 1.5e-06 3e-07 9.5e-07 9e-07 1.9e-06 1.1e-06 1.95e-06 2.4e-06 1.1e-06 2.65e-06 1e-06 4.5e-07 1.6e-06 1.25e-06 2.05e-06 1.55e-06 1.8e-06 1.15e-06
21 2.2e-06 1.9e-06 2.75e-06 2.05e-06 2.55e-06 2.8e-06 2e-06 1.85e-06 1.95e-06 2.05e-06 2.3e-06 1.95e-06 2.15e-06 1.5e-06 1.9e-06 1.9e-06 3.1e-06 1.8e-06 1.45e-06 2.2e-06 1.5e-06 2.8e-06 2e-06 1.7e-06 2.1e-06 2.65e-06 2.05e-06 2.4e-06 1.65e-06 1.8e-06 2e-06 1.55e-06 2.55e-06 1.9e-06 1.8e-06 2.05e-06 1.4e-06 1.95e-06 2.15e-06 2.1e-06 1.95e-06 1.6e-06 2.35e-06 1.95e-06 2e-06 1.6e-06 2.1e-06 2e-06 2.35e-06 2.1e-06 2.15e-06 2.15e-06 1.65e-06 3.2e-06 1.95e-06 1.55e-06 2.05e-06 1.8e-06 2.35e-06 2.6e-06 1.95e-06 1.75e-06
22 1.55e-06 1.45e-06 2.2e-06 2.3e-06 2.55e-06 2.25e-06 2.2e-06 9e-07 2.1e-06 1.75e-06 1.95e-06 1.45e-06 1.95e-06 1.35e-06 2e-06 1.4e-06 2.6e-06 1.75e-06 1.95e-06 2e-06 1.8e-06 2e-06 1.3e-06 1.35e-06 7.5e-07 1.5e-06 2.15e-06 2.15e-06 2e-06 2.5e-06 7.5e-07 1.35e-06 2.5e-06 1e-06 1.45e-06 2e-06 1.95e-06 2.15e-06 1.7e-06 2e-06 1.05e-06 2e-06 2.4e-06 2.1e-06 1.4e-06 2e-06 2.25e-06 2e-06 1.7e-06 2.2e-06 8e-07 1.9e-06 1.3e-06 2.45e-06 2.2e-06 1.95e-06 1.4e-06 1.45e-06 1.25e-06 2.45e-06 1.05e-06 1.35e-06
23 1.7e-06 1.5e-06 2.35e-06 2.25e-06 2.6e-06 2.35e-06 2.15e-06 1.25e-06 1.6e-06 1.55e-06 1.9e-06 1.45e-06 2.25e-06 1.1e-06 1.45e-06 1.4e-06 2.55e-06 1.45e-06 1.2e-06 1.85e-06 9.5e-07 1.7e-06 1.35e-06 1.6e-06 1.45e-06 2.05e-06 1.6e-06 1.75e-06 1.3e-06 2.05e-06 1.3e-06 1.55e-06 2.25e-06 1.3e-06 1.35e-06 1.65e-06 1.65e-06 2.1e-06 1.5e-06 1.6e-06 1.35e-06 1.8e-06 1.9e-06 1.55e-06 1.45e-06 1.2e-06 1.7e-06 1.55e-06 1.85e-06 1.8e-06 1.5e-06 2.2e-06 1.2e-06 2.7e-06 1.7e-06 1.3e-06 1.55e-06 1.25e-06 1.75e-06 2.1e-06 1.45e-06 1.25e-06
24 1.65e-06 1.55e-06 2.3e-06 2.4e-06 2.65e-06 2.35e-06 2.3e-06 1e-06 2.2e-06 1.85e-06 2.05e-06 1.45e-06 2.05e-06 1.45e-06 2.1e-06 1.5e-06 2.7e-06 1.85e-06 2.05e-06 2.1e-06 1.9e-06 2.1e-06 7.5e-07 1.45e-06 1.5e-06 1.6e-06 2.25e-06 2.25e-06 2.1e-06 2.6e-06 8e-07 1.45e-06 2.6e-06 1.1e-06 1.45e-06 2.1e-06 2.05e-06 2.25e-06 1.8e-06 2.1e-06 1.1e-06 2.1e-06 2.5e-06 2.2e-06 1.5e-06 2.1e-06 2.35e-06 2.1e-06 1.8e-06 2.3e-06 9e-07 2e-06 1.4e-06 2.55e-06 2.3e-06 2.05e-06 1.5e-06 1.55e-06 1.35e-06 2.55e-06 1.15e-06 1.4e-06
25 1.75e-06 2.2e-06 1.95e-06 2.45e-06 2.95e-06 2.7e-06 2.35e-06 1.7e-06 2.5e-06 2.4e-06 2.2e-06 2.15e-06 2.25e-06 2.05e-06 2.3e-06 2.1e-06 2.85e-06 2.45e-06 2.55e-06 2.2e-06 2.4e-06 2.65e-06 1.5e-06 2.05e-06 1.6e-06 2.9e-06 2.25e-06 2.45e-06 2.5e-06 3e-06 1.55e-06 2.1e-06 2.3e-06 1.8e-06 2.15e-06 2.7e-06 2.6e-06 2.5e-06 1.9e-06 2.35e-06 1.85e-06 2.65e-06 2.5e-06 2.6e-06 1.9e-06 2.6e-06 2.55e-06 2.55e-06 1.9e-06 2.3e-06 1.65e-06 2.2e-06 2e-06 2.45e-06 2.3e-06 2.55e-06 1.9e-06 1.95e-06 1.6e-06 2.6e-06 1.85e-06 2.05e-06
26 1.55e-06 1.75e-06 1.65e-06 2e-06 2.9e-06 2.35e-06 1.9e-06 1.9e-06 1.25e-06 1.65e-06 1.7e-06 1.85e-06 2.55e-06 1.5e-06 1.1e-06 1.75e-06 2.5e-06 1.35e-06 1.1e-06 1.2e-06 9e-07 2.05e-06 2.15e-06 1.6e-06 2.25e-06 2.25e-06 1.8e-06 1.75e-06 1.1e-06 1.8e-06 2.3e-06 2.35e-06 1.25e-06 1.95e-06 1.8e-06 1.7e-06 2e-06 2.15e-06 1.5e-06 1.45e-06 2e-06 2.1e-06 1.35e-06 1.5e-06 1.7e-06 1.1e-06 1.3e-06 1.5e-06 1.7e-06 1.05e-06 2.3e-06 2.5e-06 1.65e-06 2.55e-06 1e-06 1.15e-06 1.75e-06 1.5e-06 2.15e-06 1.65e-06 2.2e-06 1.7e-06
27 2.2e-06 1.95e-06 2.05e-06 2.65e-06 2.85e-06 2.5e-06 2.55e-06 2.25e-06 1.7e-06 1.65e-06 1.8e-06 2.2e-06 2.45e-06 1.85e-06 1.4e-06 2.15e-06 2.1e-06 1.9e-06 1.65e-06 2.05e-06 1.4e-06 2.4e-06 2.15e-06 1.75e-06 2.25e-06 2.45e-06 1.75e-06 2.5e-06 1.65e-06 2.3e-06 2.45e-06 2.55e-06 1.85e-06 2.3e-06 2.15e-06 2.1e-06 2.35e-06 2.25e-06 2.15e-06 1.35e-06 2.35e-06 2.45e-06 1.95e-06 1.6e-06 1.95e-06 1.65e-06 1.65e-06 1.55e-06 2.35e-06 1.9e-06 2.3e-06 2.4e-06 2e-06 2.25e-06 1.85e-06 1.7e-06 2e-06 1.75e-06 2.05e-06 1.95e-06 2.2e-06 2.05e-06
28 1.8e-06 1.35e-06 2.05e-06 2.25e-06 2.9e-06 2.35e-06 2.15e-06 1.7e-06 9.5e-07 1.3e-06 1.55e-06 1.55e-06 2.55e-06 1.1e-06 9.5e-07 1.5e-06 2.5e-06 1e-06 4e-07 1.4e-06 5e-07 1.65e-06 2e-06 1.3e-06 2.1e-06 2.5e-06 1.1e-06 1.65e-06 7e-07 1.35e-06 2.15e-06 2.25e-06 1.6e-06 1.75e-06 1.35e-06 1.35e-06 1.6e-06 2.1e-06 1.7e-06 1.15e-06 1.8e-06 1.8e-06 1.45e-06 1e-06 1.55e-06 5e-07 1.1e-06 1.1e-06 1.95e-06 1.15e-06 2.15e-06 2.5e-06 1.25e-06 2.7e-06 1e-06 6e-07 1.65e-06 1.3e-06 2.15e-06 1.8e-06 2e-06 1.25e-06
29 2.3e-06 2.05e-06 2.55e-06 2.2e-06 2.85e-06 2.8e-06 2.1e-06 2.2e-06 1.6e-06 2e-06 2.2e-06 2.2e-06 2.5e-06 1.8e-06 1.6e-06 2.15e-06 3.05e-06 1.65e-06 1.3e-06 1.9e-06 1.4e-06 1.8e-06 2.5e-06 2.05e-06 2.6e-06 3e-06 1.8e-06 2.3e-06 1.35e-06 2.5e-06 2.65e-06 2.2e-06 2.05e-06 2.25e-06 2.1e-06 2.05e-06 1.75e-06 2e-06 2.25e-06 1.85e-06 2.3e-06 1.9e-06 2.15e-06 1.85e-06 2.05e-06 1.4e-06 1.6e-06 1.95e-06 2.45e-06 1.8e-06 2.65e-06 2.45e-06 1.95e-06 3.2e-06 1.7e-06 1.45e-06 2.1e-06 1.85e-06 2.65e-06 2.5e-06 2.45e-06 1.95e-06
