 slim_762269223 slim_762269217 slim_762269224 slim_762269227 slim_762269209 slim_762269216 slim_762269201 slim_762269237 slim_762269205 slim_762269214 slim_762269235 slim_762269207 slim_762269197 slim_762269211 slim_762269225 slim_762269210 slim_762269226 slim_762269206 slim_762269212 slim_762269230 slim_762269203 slim_762269219 slim_762269198 slim_762269236 slim_762269218 slim_762269220 slim_762269231 slim_762269232 slim_762269215 slim_762269222 slim_762269221 slim_762269200 slim_762269202 slim_762269229 slim_762269228 slim_762269234 slim_762269204 slim_762269213 slim_762269199 slim_762269208 slim_762269233
10 1.1e-06 1.95e-06 1.7e-06 2.55e-06 2e-06 2.4e-06 1.4e-06 2.25e-06 1.85e-06 2.5e-06 7e-07 2.2e-06 2.3e-06 2.05e-06 1.75e-06 2.05e-06 2.25e-06 1.05e-06 1.6e-06 1.2e-06 1.6e-06 1.8e-06 2.2e-06 2.55e-06 2.5e-06 1.95e-06 1.6e-06 2.2e-06 1.2e-06 1.9e-06 1.3e-06 1.95e-06 1.65e-06 2.15e-06 2.6e-06 1.75e-06 2.4e-06 1.8e-06 1.8e-06 2.25e-06 1.95e-06
11 2.05e-06 7e-07 1.65e-06 6.5e-07 4.5e-07 5.5e-07 2.35e-06 1.15e-06 1e-06 6.5e-07 2.2e-06 3e-07 1.9e-06 3.5e-07 1.7e-06 3.5e-07 3.5e-07 2e-06 1.6e-06 1.4e-06 1.05e-06 1.2e-06 1.05e-06 1.75e-06 6.5e-07 9e-07 2.35e-06 5e-07 2.1e-06 1.1e-06 1.3e-06 9.5e-07 1.8e-06 4.5e-07 6e-07 1.05e-06 6e-07 1.1e-06 1.05e-06 1.1e-06 9.5e-07
12 1.9e-06 2.3e-06 2.4e-06 2.2e-06 1.75e-06 2.1e-06 3.05e-06 1.75e-06 1.3e-06 2.1e-06 2.3e-06 1.9e-06 2.2e-06 2e-06 2.45e-06 2e-06 2e-06 1.85e-06 2.35e-06 2.25e-06 1.9e-06 2e-06 1.55e-06 2.8e-06 2.2e-06 1.7e-06 1.8e-06 2.15e-06 1.85e-06 2.7e-06 2.15e-06 1.55e-06 2.2e-06 2.1e-06 2.05e-06 1.9e-06 2.2e-06 1.85e-06 2.65e-06 1.65e-06 1.6e-06
13 2e-06 5e-07 1.55e-06 6.5e-07 4e-07 5.5e-07 2.2e-06 1.1e-06 1.1e-06 6e-07 2.05e-06 3.5e-07 2e-06 2e-07 1.55e-06 1e-07 3.5e-07 1.95e-06 1.4e-06 1.3e-06 9e-07 1.1e-06 1.15e-06 1.7e-06 6.5e-07 8.5e-07 2.35e-06 3e-07 2.05e-06 1e-06 1.3e-06 8.5e-07 1.8e-06 2.5e-07 7.5e-07 1.1e-06 5.5e-07 1.15e-06 8.5e-07 1.2e-06 9e-07
14 2e-06 1.6e-06 1.6e-06 1.8e-06 1.6e-06 1.85e-06 1.7e-06 2e-06 1.9e-06 1.9e-06 1.75e-06 1.7e-06 2.45e-06 1.55e-06 3e-06 1.55e-06 1.55e-06 1.95e-06 1.55e-06 1.65e-06 1.65e-06 1.75e-06 2.05e-06 2.4e-06 1.95e-06 1.75e-06 2.2e-06 1.7e-06 1.95e-06 1.75e-06 1.65e-06 1.85e-06 1.7e-06 1.65e-06 1.95e-06 1.75e-06 1.95e-06 1.75e-06 1.65e-06 2.1e-06 1.9e-06
15 2e-06 5e-07 1.55e-06 6.5e-07 4e-07 5.5e-07 2.2e-06 1.1e-06 1.1e-06 6e-07 2.05e-06 3.5e-07 2e-06 1e-07 1.55e-06 2e-07 3.5e-07 1.95e-06 1.4e-06 1.3e-06 9e-07 1.1e-06 1.15e-06 1.7e-06 6.5e-07 8.5e-07 2.35e-06 3e-07 2.05e-06 1e-06 1.3e-06 8.5e-07 1.8e-06 2.5e-07 7.5e-07 1.1e-06 5.5e-07 1.15e-06 8.5e-07 1.2e-06 9e-07
16 2.15e-06 6e-07 1.65e-06 5e-07 4.5e-07 6e-07 2.4e-06 1.2e-06 1.1e-06 6.5e-07 2.25e-06 3.5e-07 2e-06 3.5e-07 1.55e-06 3.5e-07 4e-07 2.1e-06 1.65e-06 1.4e-06 1.05e-06 1.15e-06 1.15e-06 1.85e-06 7e-07 8.5e-07 2.4e-06 5e-07 2.2e-06 1.1e-06 1.35e-06 1e-06 1.85e-06 4.5e-07 6.5e-07 1.05e-06 7e-07 1.1e-06 1.05e-06 1.2e-06 1.05e-06
17 1.1e-06 2.05e-06 1.9e-06 2.35e-06 1.8e-06 2.2e-06 1.9e-06 2.1e-06 1.35e-06 2.2e-06 1.05e-06 2e-06 1.85e-06 1.95e-06 1.95e-06 1.95e-06 2.1e-06 2.1e-06 1.8e-06 1.5e-06 1.7e-06 1.9e-06 1.7e-06 2.7e-06 2.3e-06 1.7e-06 1.8e-06 2.1e-06 1.2e-06 2.1e-06 1.5e-06 1.55e-06 1.75e-06 2.05e-06 2.3e-06 1.8e-06 2.2e-06 1.8e-06 2e-06 1.75e-06 1.55e-06
18 1.85e-06 1.55e-06 1.5e-06 1.9e-06 1.55e-06 1.75e-06 1.55e-06 1.85e-06 1.8e-06 1.85e-06 1.6e-06 1.6e-06 2.35e-06 1.4e-06 1.55e-06 1.4e-06 1.65e-06 1.8e-06 2.7e-06 1.55e-06 1.5e-06 1.65e-06 1.95e-06 2.25e-06 1.85e-06 1.75e-06 2.1e-06 1.6e-06 1.8e-06 1.65e-06 1.55e-06 1.75e-06 1.6e-06 1.55e-06 1.9e-06 1.7e-06 1.8e-06 1.7e-06 1.55e-06 2e-06 1.75e-06
19 1.55e-06 1.4e-06 1.6e-06 1.7e-06 1.35e-06 1.6e-06 1.65e-06 1.8e-06 1.6e-06 1.7e-06 1.2e-06 1.4e-06 2.25e-06 1.3e-06 1.65e-06 1.3e-06 1.4e-06 1.5e-06 1.55e-06 2.4e-06 1.4e-06 1.55e-06 1.8e-06 2.1e-06 1.7e-06 1.55e-06 1.9e-06 1.45e-06 1.65e-06 1.4e-06 1.25e-06 1.6e-06 1.7e-06 1.4e-06 1.75e-06 1.5e-06 1.65e-06 1.55e-06 1.35e-06 1.85e-06 1.6e-06
20 1.75e-06 1e-06 1.6e-06 1.3e-06 1e-06 1.2e-06 2.1e-06 1.4e-06 1.25e-06 1.3e-06 1.6e-06 1.05e-06 1.9e-06 9e-07 1.65e-06 9e-07 1.05e-06 1.7e-06 1.5e-06 1.4e-06 1.7e-06 1.05e-06 1.4e-06 2.25e-06 1.3e-06 1.2e-06 2.05e-06 1.1e-06 1.8e-06 1.5e-06 1.4e-06 1.25e-06 1.7e-06 1.05e-06 1.3e-06 1.1e-06 1.3e-06 1.05e-06 1.45e-06 1.45e-06 1.25e-06
21 1.95e-06 1.1e-06 1.7e-06 1.3e-06 1.15e-06 1.25e-06 2.25e-06 1.5e-06 1.4e-06 1.35e-06 1.8e-06 1.2e-06 2e-06 1.1e-06 1.75e-06 1.1e-06 1.15e-06 1.9e-06 1.65e-06 1.55e-06 1.05e-06 1.7e-06 1.45e-06 2.45e-06 1.35e-06 1.35e-06 2.15e-06 1.3e-06 2e-06 1.65e-06 1.55e-06 1.45e-06 1.8e-06 1.25e-06 1.2e-06 1.05e-06 1.5e-06 1.05e-06 1.65e-06 1.5e-06 1.45e-06
22 1.75e-06 1.45e-06 2e-06 1.2e-06 1.05e-06 1.1e-06 2.7e-06 1.55e-06 9e-07 1.1e-06 2.2e-06 1.05e-06 1.55e-06 1.15e-06 2.05e-06 1.15e-06 1.15e-06 1.7e-06 1.95e-06 1.8e-06 1.4e-06 1.45e-06 1.7e-06 2.55e-06 1.2e-06 1.15e-06 2.35e-06 1.3e-06 1.75e-06 1.9e-06 1.7e-06 1e-06 1.95e-06 1.25e-06 9e-07 1.4e-06 1.25e-06 1.2e-06 1.85e-06 9.5e-07 1.05e-06
23 2.75e-06 1.9e-06 2.35e-06 2.15e-06 1.9e-06 2e-06 2.1e-06 2.3e-06 2.5e-06 2.1e-06 2.55e-06 1.75e-06 2.8e-06 1.7e-06 2.4e-06 1.7e-06 1.85e-06 2.7e-06 2.25e-06 2.1e-06 2.25e-06 2.45e-06 2.55e-06 2.6e-06 2.1e-06 2.35e-06 2.5e-06 1.85e-06 2.8e-06 1.6e-06 2.05e-06 2.35e-06 2.55e-06 1.8e-06 2.15e-06 2.35e-06 1.75e-06 2.4e-06 1.5e-06 2.6e-06 2.35e-06
24 2.35e-06 1e-06 1.9e-06 7e-07 8e-07 6e-07 2.6e-06 1.45e-06 1.35e-06 8e-07 2.5e-06 6.5e-07 2.2e-06 6.5e-07 1.95e-06 6.5e-07 7e-07 2.3e-06 1.85e-06 1.7e-06 1.3e-06 1.35e-06 1.2e-06 2.1e-06 1.1e-06 1.2e-06 2.65e-06 7e-07 2.4e-06 1.4e-06 1.65e-06 1.25e-06 2.1e-06 6.5e-07 5.5e-07 1.35e-06 7.5e-07 1.2e-06 1.35e-06 1.15e-06 1.15e-06
25 1.75e-06 1.1e-06 1.8e-06 1.1e-06 8e-07 1.1e-06 2.5e-06 1.4e-06 9.5e-07 1.15e-06 1.95e-06 9e-07 1.7e-06 8.5e-07 1.75e-06 8.5e-07 8.5e-07 1.7e-06 1.75e-06 1.55e-06 1.2e-06 1.35e-06 1.15e-06 2.35e-06 1.2e-06 1.6e-06 2.2e-06 1e-06 1.8e-06 1.65e-06 1.5e-06 1e-06 1.8e-06 9.5e-07 1.15e-06 1.25e-06 1.15e-06 1.25e-06 1.55e-06 1.2e-06 1.05e-06
26 1.85e-06 2.45e-06 2.15e-06 2.65e-06 2.2e-06 2.55e-06 2.15e-06 2.1e-06 2.05e-06 2.65e-06 1.6e-06 2.35e-06 1.8e-06 2.35e-06 2.2e-06 2.35e-06 2.4e-06 1.8e-06 2.1e-06 1.9e-06 2.05e-06 2.15e-06 2.35e-06 2.5e-06 2.65e-06 2.2e-06 2.9e-06 2.5e-06 1.9e-06 2.4e-06 1.85e-06 2.25e-06 2.05e-06 2.45e-06 2.6e-06 2.1e-06 2.65e-06 2.1e-06 2.35e-06 2.4e-06 2.25e-06
27 2.15e-06 7e-07 1.7e-06 8e-07 5.5e-07 6e-07 2.35e-06 1.3e-06 1.25e-06 7.5e-07 2.2e-06 5e-07 2.15e-06 3e-07 1.7e-06 3e-07 5e-07 2.1e-06 1.6e-06 1.45e-06 1.1e-06 1.3e-06 1.3e-06 1.85e-06 7e-07 1e-06 2.5e-06 5e-07 2.2e-06 1.15e-06 1.45e-06 1e-06 1.95e-06 2.5e-07 9e-07 1.25e-06 6e-07 1.3e-06 1e-06 1.35e-06 9.5e-07
28 1.25e-06 2.15e-06 1.9e-06 2.45e-06 1.9e-06 2.3e-06 1.95e-06 2.15e-06 1.45e-06 2.3e-06 1.2e-06 2.1e-06 1.85e-06 2.05e-06 1.95e-06 2.05e-06 2.2e-06 1.2e-06 1.8e-06 1.65e-06 1.8e-06 2e-06 1.75e-06 2.8e-06 2.4e-06 1.8e-06 1.9e-06 2.2e-06 2.3e-06 2.25e-06 1.65e-06 1.6e-06 1.75e-06 2.15e-06 2.4e-06 1.9e-06 2.3e-06 1.9e-06 2.15e-06 1.85e-06 1.65e-06
29 2.15e-06 1.15e-06 1.6e-06 1.4e-06 1.2e-06 1.3e-06 1.65e-06 1.85e-06 1.85e-06 1.4e-06 1.9e-06 1.1e-06 2.7e-06 1e-06 1.75e-06 1e-06 1.1e-06 2.1e-06 1.65e-06 1.4e-06 1.5e-06 1.65e-06 1.9e-06 1.6e-06 1.4e-06 1.65e-06 2.4e-06 1.15e-06 2.25e-06 1.8e-06 1.4e-06 1.7e-06 1.95e-06 1.1e-06 1.45e-06 1.6e-06 1.25e-06 1.65e-06 9.5e-07 1.95e-06 1.7e-06
30 1.55e-06 1.4e-06 1.6e-06 1.65e-06 1.3e-06 1.55e-06 1.65e-06 1.75e-06 1.5e-06 1.65e-06 1.3e-06 1.3e-06 2.15e-06 1.3e-06 1.65e-06 1.3e-06 1.35e-06 1.5e-06 1.55e-06 1.25e-06 1.4e-06 1.55e-06 1.7e-06 2.05e-06 1.65e-06 1.5e-06 1.85e-06 1.45e-06 1.65e-06 1.4e-06 2.4e-06 1.55e-06 1.65e-06 1.4e-06 1.65e-06 1.45e-06 1.6e-06 1.5e-06 1.35e-06 1.75e-06 1.55e-06
31 1.6e-06 1.2e-06 1.85e-06 1.25e-06 8.5e-07 1.15e-06 2.5e-06 1.45e-06 8.5e-07 1.1e-06 1.95e-06 9.5e-07 1.55e-06 8.5e-07 1.85e-06 8.5e-07 1e-06 1.55e-06 1.75e-06 1.6e-06 1.25e-06 1.45e-06 1e-06 2.35e-06 1.25e-06 1e-06 2.25e-06 1e-06 1.6e-06 1.7e-06 1.55e-06 1.6e-06 1.85e-06 9.5e-07 1.25e-06 1.35e-06 1.15e-06 1.35e-06 1.55e-06 1.1e-06 9e-07
32 1.8e-06 1.9e-06 1.65e-06 2.1e-06 1.6e-06 2e-06 1.7e-06 2e-06 1.6e-06 2.1e-06 1.65e-06 1.8e-06 2.2e-06 1.8e-06 1.7e-06 1.8e-06 1.85e-06 1.75e-06 1.6e-06 1.7e-06 1.7e-06 1.8e-06 1.95e-06 2.55e-06 2.1e-06 1.8e-06 2.05e-06 1.95e-06 1.75e-06 1.95e-06 1.65e-06 1.85e-06 2.8e-06 1.9e-06 2.05e-06 1.75e-06 2.1e-06 1.75e-06 1.9e-06 2e-06 1.85e-06
33 2.1e-06 6.5e-07 1.65e-06 7.5e-07 5e-07 5.5e-07 2.3e-06 1.25e-06 1.2e-06 7e-07 2.15e-06 4.5e-07 2.1e-06 2.5e-07 1.65e-06 2.5e-07 4.5e-07 2.05e-06 1.55e-06 1.4e-06 1.05e-06 1.25e-06 1.25e-06 1.8e-06 6.5e-07 9.5e-07 2.45e-06 2.5e-07 2.15e-06 1.1e-06 1.4e-06 9.5e-07 1.9e-06 4e-07 8.5e-07 1.2e-06 5.5e-07 1.25e-06 9.5e-07 1.3e-06 9e-07
34 2.35e-06 1.05e-06 1.9e-06 5e-07 8e-07 5e-07 2.65e-06 1.4e-06 1.25e-06 6e-07 2.6e-06 6e-07 2.05e-06 7.5e-07 1.95e-06 7.5e-07 6.5e-07 2.3e-06 1.9e-06 1.75e-06 1.3e-06 1.2e-06 9e-07 2.15e-06 5.5e-07 1.15e-06 2.6e-06 9e-07 2.4e-06 1.45e-06 1.65e-06 1.25e-06 2.05e-06 8.5e-07 1e-07 1.25e-06 8e-07 9e-07 1.45e-06 9e-07 1.25e-06
35 1.85e-06 1.1e-06 1.7e-06 1.3e-06 1.05e-06 1.25e-06 2.25e-06 1.5e-06 1.25e-06 1.35e-06 1.75e-06 1.05e-06 1.9e-06 1.1e-06 1.75e-06 1.1e-06 1.05e-06 1.8e-06 1.7e-06 1.5e-06 1.1e-06 1.05e-06 1.4e-06 2.35e-06 1.35e-06 1.25e-06 2.1e-06 1.25e-06 1.9e-06 1.6e-06 1.45e-06 1.35e-06 1.75e-06 1.2e-06 1.25e-06 1.8e-06 1.4e-06 1.1e-06 1.6e-06 1.45e-06 1.35e-06
36 2.25e-06 9.5e-07 1.9e-06 9e-07 7.5e-07 6.5e-07 2.45e-06 1.45e-06 1.3e-06 8.5e-07 2.4e-06 6e-07 2.2e-06 5.5e-07 1.95e-06 5.5e-07 7e-07 2.2e-06 1.8e-06 1.65e-06 1.3e-06 1.5e-06 1.25e-06 1.75e-06 7.5e-07 1.15e-06 2.65e-06 6e-07 2.3e-06 1.25e-06 1.6e-06 1.15e-06 2.1e-06 5.5e-07 8e-07 1.4e-06 9e-07 1.35e-06 1.15e-06 1.3e-06 1.05e-06
37 1.85e-06 1.2e-06 1.7e-06 1.15e-06 1.1e-06 1.1e-06 2.25e-06 1.5e-06 1.25e-06 1.2e-06 1.8e-06 1.1e-06 1.85e-06 1.15e-06 1.75e-06 1.15e-06 1.1e-06 1.8e-06 1.7e-06 1.55e-06 1.05e-06 1.05e-06 1.2e-06 2.4e-06 1.2e-06 1.25e-06 2.1e-06 1.3e-06 1.9e-06 1.65e-06 1.5e-06 1.35e-06 1.75e-06 1.25e-06 9e-07 1.1e-06 1.35e-06 1.7e-06 1.65e-06 1.25e-06 1.35e-06
38 2.05e-06 1.05e-06 1.65e-06 1.35e-06 1.1e-06 1.25e-06 1.55e-06 1.8e-06 1.8e-06 1.3e-06 1.8e-06 1.05e-06 2.65e-06 8.5e-07 1.65e-06 8.5e-07 1.05e-06 2e-06 1.55e-06 1.35e-06 1.45e-06 1.65e-06 1.85e-06 1.5e-06 1.35e-06 1.55e-06 2.35e-06 1e-06 2.15e-06 9.5e-07 1.35e-06 1.55e-06 1.9e-06 9.5e-07 1.45e-06 1.6e-06 1.15e-06 1.65e-06 1.6e-06 1.9e-06 1.6e-06
39 1.8e-06 1.5e-06 2.05e-06 1.15e-06 1.1e-06 1.15e-06 2.75e-06 1.6e-06 9.5e-07 1.15e-06 2.25e-06 1.1e-06 1.65e-06 1.2e-06 2.1e-06 1.2e-06 1.2e-06 1.75e-06 2e-06 1.85e-06 1.45e-06 1.5e-06 9.5e-07 2.6e-06 1.15e-06 1.2e-06 2.4e-06 1.35e-06 1.85e-06 1.95e-06 1.75e-06 1.1e-06 2e-06 1.3e-06 9e-07 1.45e-06 1.3e-06 1.25e-06 1.9e-06 1.8e-06 1.1e-06
40 1.6e-06 1.25e-06 1.85e-06 1.3e-06 9e-07 1.05e-06 2.5e-06 1.45e-06 8.5e-07 1.15e-06 1.95e-06 9.5e-07 1.6e-06 9e-07 1.9e-06 9e-07 1.05e-06 1.55e-06 1.75e-06 1.6e-06 1.25e-06 1.45e-06 1.05e-06 2.35e-06 1.15e-06 1.05e-06 2.25e-06 9.5e-07 1.65e-06 1.7e-06 1.55e-06 9e-07 1.85e-06 9e-07 1.25e-06 1.35e-06 1.05e-06 1.35e-06 1.6e-06 1.1e-06 1.6e-06
