 slim_762169979 slim_762169958 slim_762169965 slim_762169975 slim_762169973 slim_762169947 slim_762169957 slim_762169943 slim_762169967 slim_762169950 slim_762169972 slim_762169978 slim_762169944 slim_762169953 slim_762169976 slim_762169949 slim_762169951 slim_762169942 slim_762169977 slim_762169961 slim_762169963 slim_762169971 slim_762169962 slim_762169954 slim_762169966 slim_762169974 slim_762169946 slim_762169955 slim_762169964 slim_762169968 slim_762169952 slim_762169945 slim_762169970 slim_762169959 slim_762169956 slim_762169948 slim_762169969 slim_762169960
10 1.55e-06 9e-07 9.5e-07 8e-07 1.3e-06 9e-07 9e-07 3e-06 1.7e-06 8.5e-07 1.6e-06 2.75e-06 1.15e-06 2.2e-06 9.5e-07 8.5e-07 1.6e-06 1.75e-06 1.5e-06 2.4e-06 1.1e-06 2.85e-06 1.05e-06 1.55e-06 9e-07 1.3e-06 2.4e-06 1.25e-06 8.5e-07 2.2e-06 1.35e-06 3.35e-06 1.9e-06 1.5e-06 2.3e-06 8.5e-07 9.5e-07 1.4e-06
11 3e-06 2.55e-06 2.4e-06 2.75e-06 2.6e-06 2.75e-06 2.85e-06 2.45e-06 2.4e-06 2.9e-06 2.75e-06 2.7e-06 2.4e-06 2.1e-06 2.5e-06 2.6e-06 2.35e-06 2.35e-06 2.75e-06 1.85e-06 2.4e-06 1.75e-06 2.7e-06 2.1e-06 2.55e-06 2.15e-06 2.75e-06 2.45e-06 2.5e-06 2.7e-06 2.15e-06 2.8e-06 2.8e-06 2.8e-06 1.85e-06 2.7e-06 2.6e-06 2.2e-06
12 1.3e-06 7e-07 7.5e-07 1.25e-06 1.2e-06 1.2e-06 1.2e-06 2.6e-06 1.3e-06 1.75e-06 1.15e-06 2.4e-06 1.2e-06 1.95e-06 7.5e-07 1.2e-06 1.25e-06 1.25e-06 1.3e-06 1.95e-06 1.25e-06 2.45e-06 7.5e-07 1.1e-06 7e-07 1.45e-06 2.2e-06 1.1e-06 6.5e-07 1.9e-06 9e-07 3e-06 1.85e-06 1.3e-06 1.8e-06 1.15e-06 7e-07 9.5e-07
13 2.1e-06 2e-06 1.8e-06 2.15e-06 2.35e-06 2.2e-06 2.3e-06 3e-06 2.15e-06 2.4e-06 2.2e-06 2.1e-06 1.95e-06 2.5e-06 1.95e-06 2.1e-06 1.9e-06 2.15e-06 1.85e-06 2.45e-06 2.05e-06 1.7e-06 2.15e-06 1.75e-06 2e-06 1.9e-06 2.9e-06 1.55e-06 1.95e-06 1.7e-06 1.85e-06 2.95e-06 2.25e-06 2.1e-06 1.45e-06 2.15e-06 2.05e-06 1.9e-06
14 1.05e-06 3e-07 2.5e-07 9.5e-07 1.05e-06 9.5e-07 1.05e-06 2.6e-06 1.1e-06 1.6e-06 9.5e-07 2.5e-06 7.5e-07 1.95e-06 3e-07 8.5e-07 9e-07 1.15e-06 9e-07 2e-06 1.1e-06 2.6e-06 4.5e-07 1.15e-06 3e-07 1.45e-06 2.1e-06 8e-07 2.5e-07 1.85e-06 6.5e-07 3.25e-06 1.6e-06 8.5e-07 2.05e-06 9e-07 3.5e-07 7e-07
15 1.6e-06 9e-07 8.5e-07 7.5e-07 1.35e-06 8.5e-07 9.5e-07 2.9e-06 1.7e-06 8e-07 8.5e-07 2.6e-06 1.2e-06 2.1e-06 8.5e-07 1.5e-06 1.5e-06 1.75e-06 1.45e-06 2.3e-06 1e-06 2.7e-06 1.05e-06 1.55e-06 9e-07 1.2e-06 2.4e-06 1.2e-06 8.5e-07 2.2e-06 1.25e-06 3.35e-06 1.85e-06 1.45e-06 2.25e-06 8e-07 9.5e-07 1.3e-06
16 1.45e-06 9e-07 7.5e-07 1.6e-06 1.7e-06 1.6e-06 1.7e-06 2.55e-06 1.25e-06 2.25e-06 1.6e-06 2.35e-06 1.25e-06 1.9e-06 9e-07 1.5e-06 1.4e-06 1.35e-06 1.2e-06 2.1e-06 1.5e-06 2.35e-06 1.05e-06 1.35e-06 9.5e-07 1.65e-06 2.4e-06 1.15e-06 9e-07 1.95e-06 8.5e-07 3.35e-06 2e-06 1.2e-06 1.95e-06 1.55e-06 9.5e-07 9e-07
17 1.45e-06 1.1e-06 1.1e-06 1.85e-06 1.8e-06 1.85e-06 1.8e-06 2.75e-06 1.15e-06 2.5e-06 1.75e-06 2.35e-06 1.25e-06 2.15e-06 1.15e-06 1.75e-06 1.35e-06 2.1e-06 1.4e-06 2e-06 1.75e-06 2e-06 1.15e-06 1.45e-06 1.1e-06 1.95e-06 2.6e-06 1.6e-06 1.05e-06 1.95e-06 1.15e-06 3.3e-06 2.15e-06 1.45e-06 2.05e-06 1.8e-06 1.1e-06 1.2e-06
18 9e-07 9.5e-07 7.5e-07 1.45e-06 1.6e-06 1.5e-06 1.55e-06 2.95e-06 1.35e-06 2.1e-06 1.5e-06 2.75e-06 1.3e-06 1.85e-06 9e-07 1.45e-06 1.2e-06 1.4e-06 1.3e-06 2.3e-06 1.6e-06 2.6e-06 1.05e-06 1.65e-06 9.5e-07 1.95e-06 2.4e-06 1.05e-06 9e-07 1.4e-06 1.2e-06 3.3e-06 1.45e-06 1.05e-06 2.25e-06 1.45e-06 9.5e-07 1.25e-06
19 2.5e-06 2.05e-06 1.95e-06 2.4e-06 2.25e-06 2.35e-06 2.5e-06 2.45e-06 2.05e-06 2.75e-06 2.4e-06 1.85e-06 1.95e-06 2.45e-06 2e-06 2.3e-06 2.1e-06 2e-06 2.3e-06 3.2e-06 2.15e-06 2.05e-06 2.2e-06 2.15e-06 2.05e-06 2.2e-06 2.5e-06 2.25e-06 2e-06 2.5e-06 1.8e-06 2.85e-06 2.5e-06 2.35e-06 2.25e-06 2.3e-06 2.1e-06 1.85e-06
20 1.8e-06 1.15e-06 1.05e-06 1e-06 1.6e-06 1.1e-06 1.2e-06 2.7e-06 1.75e-06 1.05e-06 1.1e-06 2.4e-06 1.25e-06 2.05e-06 1.1e-06 1e-06 1.5e-06 1.75e-06 1.6e-06 2.15e-06 2e-06 2.45e-06 1.3e-06 1.55e-06 1.15e-06 1.2e-06 2.45e-06 1.35e-06 1.1e-06 2.15e-06 1.25e-06 3.15e-06 2.05e-06 1.65e-06 2e-06 1.05e-06 1.2e-06 1.3e-06
21 2.85e-06 2.65e-06 2.5e-06 2.85e-06 2.95e-06 2.85e-06 2.95e-06 2.95e-06 2.05e-06 3e-06 2.85e-06 1.75e-06 2.45e-06 1.7e-06 2.6e-06 2.7e-06 2.35e-06 2e-06 2.6e-06 2.05e-06 2.45e-06 3e-07 2.8e-06 2.25e-06 2.65e-06 2.2e-06 3.3e-06 2.25e-06 2.6e-06 2e-06 2.2e-06 2.8e-06 2.9e-06 2.7e-06 1.5e-06 2.8e-06 2.7e-06 2.25e-06
22 1.05e-06 3.5e-07 4.5e-07 1.15e-06 1.1e-06 1.15e-06 1.1e-06 2.8e-06 1.1e-06 1.8e-06 1.05e-06 2.7e-06 7.5e-07 2.15e-06 4.5e-07 1.05e-06 1.05e-06 1.15e-06 1.05e-06 2.2e-06 1.3e-06 2.8e-06 7e-07 1.15e-06 4e-07 1.65e-06 2.25e-06 1e-06 3.5e-07 2e-06 8.5e-07 3.4e-06 1.75e-06 9.5e-07 2.2e-06 1.1e-06 3.5e-07 9e-07
23 1.7e-06 1.1e-06 1.1e-06 1.65e-06 1.6e-06 1.65e-06 1.6e-06 2.6e-06 1.5e-06 2.1e-06 1.55e-06 2.1e-06 1.1e-06 1.75e-06 1.15e-06 1.55e-06 1.35e-06 1.45e-06 1.65e-06 2.15e-06 1.55e-06 2.25e-06 1.15e-06 2.1e-06 1.1e-06 1.55e-06 2.5e-06 1.35e-06 1.05e-06 2.15e-06 1.1e-06 3.15e-06 2.2e-06 1.65e-06 1.6e-06 1.6e-06 1.1e-06 1.15e-06
24 1e-06 2.5e-07 3e-07 1e-06 1e-06 1e-06 1e-06 2.65e-06 1.05e-06 1.65e-06 9e-07 2.55e-06 7e-07 2e-06 3e-07 9e-07 9.5e-07 1.1e-06 9.5e-07 2.05e-06 1.15e-06 2.65e-06 4e-07 1.1e-06 4e-07 1.5e-06 2.1e-06 8.5e-07 2e-07 1.85e-06 7e-07 3.25e-06 1.65e-06 8.5e-07 2.05e-06 9.5e-07 3e-07 7.5e-07
25 2.15e-06 1.5e-06 1.4e-06 1.2e-06 1.8e-06 1.3e-06 1.4e-06 2.65e-06 1.95e-06 1.1e-06 1.3e-06 2.15e-06 1.45e-06 1.9e-06 1.45e-06 1.2e-06 1.65e-06 1.95e-06 1.95e-06 2.2e-06 1.2e-06 2.2e-06 1.65e-06 1.55e-06 1.5e-06 2.1e-06 2.6e-06 1.55e-06 1.45e-06 2.35e-06 1.4e-06 3.15e-06 2.25e-06 2e-06 1.85e-06 1.25e-06 1.55e-06 1.45e-06
26 2.55e-06 2.1e-06 2e-06 2.45e-06 2.25e-06 2.45e-06 2.5e-06 2.5e-06 2.6e-06 2.8e-06 2.4e-06 2.75e-06 2.2e-06 2.9e-06 2.1e-06 2.4e-06 2.4e-06 2.6e-06 2.4e-06 2.5e-06 2.45e-06 3.3e-06 2.25e-06 2.5e-06 2.1e-06 2.6e-06 3.9e-06 2.2e-06 2.05e-06 2.85e-06 2.25e-06 2.8e-06 2.6e-06 2.4e-06 2.9e-06 2.4e-06 2.15e-06 2.3e-06
27 1.3e-06 8.5e-07 6.5e-07 1.25e-06 1.35e-06 1.25e-06 1.35e-06 2.75e-06 1.55e-06 1.7e-06 1.25e-06 2.45e-06 1.1e-06 1.55e-06 8e-07 1.2e-06 1.15e-06 1.6e-06 1.05e-06 2.25e-06 1.35e-06 2.25e-06 1e-06 1.35e-06 8.5e-07 1.55e-06 2.2e-06 1.1e-06 8e-07 1.6e-06 1.1e-06 2.95e-06 1.65e-06 1.2e-06 1.75e-06 1.2e-06 9e-07 1.15e-06
28 9.5e-07 2e-07 2.5e-07 9.5e-07 9.5e-07 9.5e-07 9.5e-07 2.6e-06 1e-06 1.6e-06 8.5e-07 2.5e-06 6.5e-07 1.95e-06 2.5e-07 8.5e-07 9e-07 1.05e-06 9e-07 2e-06 1.1e-06 2.6e-06 3.5e-07 1.05e-06 2e-07 1.45e-06 2.05e-06 8e-07 3e-07 1.8e-06 6.5e-07 3.2e-06 1.6e-06 8e-07 2e-06 9e-07 2.5e-07 7e-07
29 1.6e-06 1.85e-06 1.7e-06 2.2e-06 2.35e-06 2.25e-06 2.3e-06 3.25e-06 1.95e-06 2.65e-06 2.2e-06 2.7e-06 1.9e-06 1.7e-06 1.85e-06 2.2e-06 1.95e-06 1.95e-06 1.4e-06 2.5e-06 2.15e-06 2e-06 2e-06 2.15e-06 1.85e-06 2.35e-06 2.85e-06 1.6e-06 1.8e-06 2.2e-06 1.95e-06 2.8e-06 2e-06 1.65e-06 1.75e-06 2.2e-06 1.9e-06 2e-06
30 1.4e-06 7e-07 6e-07 1.35e-06 1.45e-06 1.3e-06 1.45e-06 2.3e-06 1.15e-06 2e-06 1.35e-06 2.15e-06 9e-07 1.85e-06 6.5e-07 1.25e-06 8.5e-07 1.15e-06 1.2e-06 1.8e-06 1.25e-06 2.2e-06 8.5e-07 1.1e-06 7e-07 1.4e-06 2.25e-06 1.1e-06 6.5e-07 1.95e-06 1.1e-06 3.15e-06 1.95e-06 1.2e-06 1.75e-06 1.25e-06 7.5e-07 6e-07
31 3.5e-06 3.25e-06 3.15e-06 3.4e-06 3.2e-06 3.4e-06 3.45e-06 2.6e-06 3.35e-06 3.55e-06 3.35e-06 2.8e-06 3e-06 2.95e-06 3.25e-06 3.35e-06 3.35e-06 3.3e-06 3.3e-06 2.85e-06 3.15e-06 2.8e-06 3.4e-06 3.15e-06 3.25e-06 3.15e-06 2.8e-06 2.95e-06 3.2e-06 2.8e-06 3.15e-06 4.2e-06 3.35e-06 3.3e-06 2.55e-06 3.35e-06 3.3e-06 3.2e-06
32 1.65e-06 1.65e-06 1.5e-06 1.85e-06 1.55e-06 1.9e-06 1.95e-06 3.2e-06 2.1e-06 2.2e-06 1.9e-06 2.8e-06 1.85e-06 2.25e-06 1.6e-06 1.85e-06 2e-06 2.15e-06 1.45e-06 2.5e-06 2.05e-06 2.9e-06 1.75e-06 2.2e-06 1.65e-06 2.25e-06 2.6e-06 1.65e-06 1.6e-06 2e-06 1.95e-06 3.35e-06 2.9e-06 1.8e-06 2.65e-06 1.85e-06 1.65e-06 2e-06
33 1.2e-06 8e-07 7.5e-07 1.55e-06 1.6e-06 1.55e-06 1.6e-06 3e-06 1.35e-06 2.2e-06 1.5e-06 2.8e-06 1.3e-06 2.1e-06 8.5e-07 1.45e-06 1.2e-06 1.45e-06 1.05e-06 2.35e-06 1.65e-06 2.7e-06 9.5e-07 1.65e-06 8.5e-07 2e-06 2.4e-06 1.2e-06 8e-07 1.65e-06 1.2e-06 3.3e-06 1.8e-06 1.5e-06 2.2e-06 1.5e-06 8.5e-07 1.25e-06
34 2.45e-06 2.05e-06 1.95e-06 2.35e-06 2.4e-06 2.35e-06 2.4e-06 2.75e-06 2.1e-06 2.6e-06 2.3e-06 1.85e-06 1.8e-06 1.45e-06 2.05e-06 2.25e-06 1.95e-06 2.05e-06 2.25e-06 2.25e-06 2e-06 1.5e-06 2.2e-06 1.6e-06 2.05e-06 1.85e-06 2.9e-06 1.75e-06 2e-06 1.75e-06 1.75e-06 2.55e-06 2.65e-06 2.2e-06 1.9e-06 2.3e-06 2.1e-06 1.8e-06
35 1.6e-06 9.5e-07 9e-07 7.5e-07 1.35e-06 8e-07 9.5e-07 2.95e-06 1.75e-06 8e-07 8.5e-07 2.7e-06 1.15e-06 2.15e-06 9e-07 8e-07 1.55e-06 1.8e-06 1.45e-06 2.3e-06 1.05e-06 2.8e-06 1.1e-06 1.6e-06 9.5e-07 1.25e-06 2.4e-06 1.2e-06 9e-07 2.2e-06 1.25e-06 3.35e-06 1.85e-06 1.5e-06 2.3e-06 1.5e-06 1e-06 1.3e-06
36 1e-06 2.5e-07 3.5e-07 1.05e-06 1e-06 1.05e-06 1e-06 2.7e-06 1e-06 1.7e-06 9.5e-07 2.6e-06 7e-07 2.05e-06 3.5e-07 9.5e-07 9.5e-07 1.1e-06 9.5e-07 2.1e-06 1.2e-06 2.7e-06 3.5e-07 1.1e-06 3e-07 1.55e-06 2.15e-06 9e-07 2.5e-07 1.9e-06 7.5e-07 3.3e-06 1.65e-06 8.5e-07 2.1e-06 1e-06 5e-07 8e-07
37 1.45e-06 7.5e-07 6.5e-07 1.4e-06 1.5e-06 1.3e-06 1.5e-06 2.35e-06 1.2e-06 2.05e-06 1.4e-06 2.2e-06 9.5e-07 1.9e-06 7e-07 1.3e-06 9e-07 1.2e-06 1.25e-06 1.85e-06 1.3e-06 2.25e-06 9e-07 1.15e-06 7.5e-07 1.45e-06 2.3e-06 1.15e-06 7e-07 2e-06 6e-07 3.2e-06 2e-06 1.25e-06 1.8e-06 1.3e-06 8e-07 1.2e-06
