 slim_762067541 slim_762067544 slim_762067533 slim_762067560 slim_762067555 slim_762067546 slim_762067537 slim_762067564 slim_762067558 slim_762067539 slim_762067549 slim_762067557 slim_762067563 slim_762067547 slim_762067545 slim_762067552 slim_762067566 slim_762067531 slim_762067556 slim_762067542 slim_762067565 slim_762067559 slim_762067540 slim_762067548 slim_762067536 slim_762067561 slim_762067543 slim_762067538 slim_762067550 slim_762067532 slim_762067534 slim_762067562 slim_762067554 slim_762067553 slim_762067551 slim_762067535
11 1.75e-06 1.65e-06 1.9e-06 1.7e-06 2.15e-06 1.45e-06 1.8e-06 1.3e-06 1.5e-06 1.55e-06 1.9e-06 1.9e-06 2.1e-06 1.8e-06 1.75e-06 1.85e-06 1.85e-06 1.55e-06 1.6e-06 1.9e-06 1.6e-06 1.8e-06 2e-06 1.55e-06 1.7e-06 1.4e-06 2.15e-06 2.3e-06 1.5e-06 2.2e-06 1.45e-06 1.75e-06 1.55e-06 1.35e-06 1.45e-06 1.45e-06
12 1.65e-06 1.8e-06 1.9e-06 1.9e-06 1.4e-06 1.95e-06 1.8e-06 1.95e-06 1.8e-06 1.8e-06 1.8e-06 2.1e-06 2.5e-06 1.85e-06 2.2e-06 2.45e-06 2.15e-06 1.9e-06 2.25e-06 1.45e-06 1.95e-06 1.8e-06 1.65e-06 1.9e-06 1.6e-06 1.9e-06 1.8e-06 2.15e-06 1.8e-06 1.9e-06 1.65e-06 1.6e-06 1.7e-06 2.05e-06 1.85e-06 1.85e-06
13 1.5e-06 1.3e-06 1.45e-06 1.2e-06 1.9e-06 1.35e-06 1.6e-06 1.75e-06 2e-06 1.35e-06 1.65e-06 1.8e-06 1.85e-06 1.9e-06 1.95e-06 2.15e-06 1.55e-06 1.4e-06 2.1e-06 1.4e-06 1.4e-06 1.4e-06 1.75e-06 1.05e-06 1.45e-06 1.65e-06 1.65e-06 2.25e-06 1.35e-06 1.25e-06 1.8e-06 1.75e-06 1.2e-06 1.45e-06 9.5e-07 9.5e-07
14 1.75e-06 1.3e-06 1.35e-06 1.85e-06 2.25e-06 1e-06 1.15e-06 1.1e-06 1.8e-06 1.3e-06 1.6e-06 1.75e-06 2.2e-06 1.95e-06 8e-07 1.3e-06 1.3e-06 1.8e-06 9e-07 2e-06 9.5e-07 1.7e-06 1.5e-06 1.55e-06 1.7e-06 5e-07 1.95e-06 1.45e-06 1.25e-06 2.25e-06 1.55e-06 1.45e-06 1.4e-06 1.4e-06 1.5e-06 1.5e-06
15 2.05e-06 1.7e-06 1.75e-06 2.2e-06 2.5e-06 1.5e-06 1.6e-06 1.2e-06 2.2e-06 1.6e-06 2e-06 1.85e-06 2.45e-06 2.15e-06 1.3e-06 2e-06 1.4e-06 1.8e-06 1.5e-06 2.2e-06 1.45e-06 1.9e-06 1.9e-06 1.85e-06 2e-06 1.1e-06 2.3e-06 1.55e-06 1.55e-06 2.45e-06 1.65e-06 1.85e-06 1.7e-06 1.4e-06 1.8e-06 1.8e-06
16 1.55e-06 1.5e-06 1.55e-06 1.65e-06 2.2e-06 1.1e-06 1.3e-06 1.35e-06 2.1e-06 1.15e-06 1.6e-06 1.85e-06 2.15e-06 1.55e-06 1.3e-06 1.4e-06 2e-06 1.75e-06 1.5e-06 1.9e-06 1.05e-06 1.65e-06 1.7e-06 1.1e-06 1.5e-06 1.1e-06 1.85e-06 1.6e-06 1.15e-06 2.05e-06 1.7e-06 1.6e-06 1.5e-06 1.3e-06 1e-06 1e-06
17 1.75e-06 1.3e-06 1.45e-06 1.5e-06 1.95e-06 1.55e-06 1.7e-06 1.4e-06 1.9e-06 1.55e-06 1.85e-06 1.55e-06 1.9e-06 1.4e-06 1.8e-06 1.8e-06 1.75e-06 2.2e-06 1.95e-06 1.45e-06 1.6e-06 1.3e-06 1.8e-06 1.55e-06 1.7e-06 1.5e-06 1.9e-06 2.15e-06 1.5e-06 1.2e-06 1.5e-06 1.8e-06 1.2e-06 1.45e-06 1.5e-06 1.5e-06
18 1.85e-06 1.5e-06 1.55e-06 2.05e-06 2.3e-06 1.25e-06 1.35e-06 1.3e-06 1.55e-06 1.5e-06 1.7e-06 1.6e-06 2.25e-06 2.1e-06 9e-07 1.5e-06 1.5e-06 1.95e-06 1.4e-06 2.05e-06 1.2e-06 1.85e-06 1.55e-06 1.75e-06 1.8e-06 7.5e-07 2.1e-06 1.55e-06 1.45e-06 2.35e-06 1.65e-06 1.55e-06 1.6e-06 1.6e-06 1.7e-06 1.7e-06
19 1.4e-06 1.35e-06 1.45e-06 1.6e-06 1.5e-06 1.75e-06 1.75e-06 1.8e-06 1.55e-06 1.6e-06 1.55e-06 1.9e-06 1.45e-06 1.4e-06 2e-06 2.2e-06 1.9e-06 1.45e-06 2.05e-06 1.9e-06 1.75e-06 1.4e-06 1.4e-06 1.7e-06 1.35e-06 1.65e-06 1.95e-06 1.85e-06 1.65e-06 1.25e-06 1.4e-06 1.3e-06 1.25e-06 1.85e-06 1.65e-06 1.65e-06
20 1.3e-06 1.3e-06 1.35e-06 1.4e-06 2e-06 8e-07 1.05e-06 1.1e-06 1.85e-06 9e-07 1.35e-06 1.6e-06 1.95e-06 1.4e-06 9.5e-07 1.45e-06 1.05e-06 1.6e-06 1.2e-06 1.75e-06 1.5e-06 1.5e-06 1.5e-06 8.5e-07 1.25e-06 8e-07 1.65e-06 1.65e-06 9e-07 2e-06 1.45e-06 1.35e-06 1.3e-06 1.05e-06 7.5e-07 7.5e-07
21 1.75e-06 1.3e-06 1.3e-06 1.55e-06 1.85e-06 1.6e-06 1.5e-06 1.45e-06 1.9e-06 1.35e-06 1.85e-06 1.8e-06 1.8e-06 1.4e-06 1.7e-06 1.9e-06 1.65e-06 1.3e-06 1.85e-06 1.4e-06 1.5e-06 2.1e-06 1.8e-06 1.6e-06 1.7e-06 1.5e-06 1.85e-06 2e-06 1.35e-06 1.15e-06 1.65e-06 1.75e-06 1.2e-06 1.7e-06 1.55e-06 1.55e-06
22 1.4e-06 1.45e-06 1.65e-06 1.8e-06 1.7e-06 1.4e-06 1.5e-06 1.65e-06 1.45e-06 1.6e-06 1.25e-06 2e-06 1.65e-06 1.75e-06 1.5e-06 1.9e-06 1.7e-06 1.8e-06 1.55e-06 1.4e-06 1.5e-06 1.8e-06 1.5e-06 1.6e-06 1.3e-06 1.1e-06 1.8e-06 1.45e-06 1.6e-06 1.85e-06 1.4e-06 1.05e-06 1.5e-06 1.65e-06 1.55e-06 1.55e-06
23 1e-06 1.45e-06 1.7e-06 1.05e-06 1.95e-06 7e-07 1.35e-06 1.3e-06 2e-06 8e-07 1.1e-06 1.55e-06 1.9e-06 1.05e-06 1.55e-06 1.85e-06 1.1e-06 1.55e-06 1.75e-06 1.7e-06 8.5e-07 1.6e-06 1.6e-06 3e-07 9.5e-07 1.2e-06 1.5e-06 2.15e-06 6.5e-07 2e-06 1.45e-06 1.45e-06 1.35e-06 8e-07 1.5e-07 1.5e-07
24 9.5e-07 1.6e-06 1.8e-06 1.5e-06 1.65e-06 1.15e-06 1.55e-06 1.45e-06 1.65e-06 1.1e-06 1.2e-06 1.7e-06 1.6e-06 1.45e-06 1.7e-06 2e-06 1.5e-06 1.7e-06 1.8e-06 1.35e-06 1.25e-06 1.7e-06 1.3e-06 9.5e-07 1.7e-06 1.3e-06 1.9e-06 1.85e-06 1.15e-06 2.1e-06 1.15e-06 1.05e-06 1.5e-06 1.25e-06 8.5e-07 8.5e-07
25 1.35e-06 1.05e-06 1.25e-06 1.55e-06 1.95e-06 7e-07 1.1e-06 8.5e-07 1.4e-06 1e-06 1.2e-06 1.4e-06 1.9e-06 1.65e-06 5e-07 1.1e-06 1.1e-06 1.5e-06 7.5e-07 1.65e-06 8e-07 1.5e-06 1.1e-06 1.2e-06 1.3e-06 3e-07 1.7e-06 1.2e-06 1e-06 2e-06 1.15e-06 1e-06 1.15e-06 1.05e-06 1.15e-06 1.15e-06
26 1.95e-06 1.65e-06 1.8e-06 1.65e-06 1.7e-06 1.6e-06 1.65e-06 1.95e-06 2.1e-06 1.75e-06 1.8e-06 2.15e-06 1.8e-06 1.65e-06 1.95e-06 2.3e-06 1.85e-06 1.9e-06 2.1e-06 1.95e-06 1.65e-06 1.85e-06 1.8e-06 1.5e-06 1.9e-06 1.7e-06 2.3e-06 2.3e-06 1.65e-06 1.8e-06 2.15e-06 2.05e-06 1.65e-06 1.8e-06 1.45e-06 1.45e-06
27 1.9e-06 1.75e-06 1.75e-06 2.4e-06 2.2e-06 1.75e-06 1.65e-06 1.75e-06 1.8e-06 1.8e-06 1.7e-06 2.3e-06 2.15e-06 2.25e-06 1.45e-06 1.55e-06 1.6e-06 2.15e-06 1.55e-06 1.85e-06 1.65e-06 2e-06 1.45e-06 2.15e-06 1.85e-06 1.2e-06 2.3e-06 2.2e-06 1.85e-06 2.25e-06 1.75e-06 1.35e-06 1.85e-06 2.05e-06 2.1e-06 2.1e-06
28 1.2e-06 1.4e-06 1.5e-06 1.35e-06 1.85e-06 9e-07 1.2e-06 9.5e-07 1.85e-06 7.5e-07 1.25e-06 1.5e-06 1.8e-06 1.35e-06 1.25e-06 1.55e-06 1.15e-06 1.5e-06 1.45e-06 1.65e-06 9e-07 1.35e-06 1.6e-06 6.5e-07 1.15e-06 1e-06 1.65e-06 1.85e-06 1.2e-06 2.05e-06 1.25e-06 1.4e-06 1.3e-06 1e-06 7e-07 7e-07
29 2.15e-06 1.2e-06 1.25e-06 1.55e-06 1.95e-06 2.05e-06 1.9e-06 2.3e-06 2e-06 2.05e-06 2.1e-06 2.2e-06 1.9e-06 1.25e-06 2.25e-06 2.45e-06 2.05e-06 1.2e-06 2.35e-06 1.25e-06 2e-06 1.15e-06 1.85e-06 2e-06 2.1e-06 2e-06 1.8e-06 2.25e-06 2.05e-06 3e-07 2.25e-06 2.1e-06 1.2e-06 2.25e-06 1.95e-06 1.95e-06
30 1.2e-06 1.6e-06 1.8e-06 1.8e-06 1.7e-06 1.35e-06 1.65e-06 1.05e-06 1.55e-06 1.25e-06 1.4e-06 1.45e-06 1.65e-06 1.8e-06 1.55e-06 1.65e-06 1.7e-06 1.5e-06 1.65e-06 1.4e-06 1.45e-06 1.65e-06 1.4e-06 1.45e-06 1.15e-06 1.15e-06 2.15e-06 1.75e-06 1.25e-06 2.25e-06 1.6e-06 1.1e-06 1.5e-06 1.25e-06 1.4e-06 1.4e-06
31 1.1e-06 1.55e-06 1.7e-06 1.85e-06 1.65e-06 1.3e-06 1.5e-06 1.45e-06 1.3e-06 1.25e-06 1.1e-06 1.75e-06 1.6e-06 1.75e-06 1.45e-06 1.85e-06 1.6e-06 1.8e-06 1.55e-06 1.3e-06 1.35e-06 1.75e-06 1.05e-06 1.45e-06 1.05e-06 1e-06 2.05e-06 1.35e-06 1.4e-06 2.1e-06 1.1e-06 1.1e-06 1.55e-06 1.5e-06 1.35e-06 1.35e-06
32 1.55e-06 1e-06 1.15e-06 1.25e-06 1.75e-06 1.25e-06 1.4e-06 1.35e-06 1.65e-06 1.35e-06 1.6e-06 1.55e-06 1.7e-06 1.2e-06 1.4e-06 1.7e-06 1.5e-06 1.2e-06 1.6e-06 1.25e-06 1.3e-06 1.2e-06 1.5e-06 1.35e-06 1.5e-06 1.15e-06 1.65e-06 1.85e-06 1.3e-06 1.2e-06 1.5e-06 1.55e-06 1.8e-06 1.4e-06 1.3e-06 1.3e-06
33 1.3e-06 1.5e-06 1.75e-06 1.4e-06 2.1e-06 9e-07 1.45e-06 1e-06 1.95e-06 1.05e-06 1.45e-06 1.35e-06 2.05e-06 1.45e-06 1.4e-06 1.4e-06 1.3e-06 1.45e-06 1.6e-06 1.85e-06 1.05e-06 1.7e-06 1.65e-06 8e-07 1.25e-06 1.05e-06 1.8e-06 2.05e-06 1e-06 2.25e-06 1.25e-06 1.5e-06 1.4e-06 1.4e-06 7e-07 7e-07
34 9e-07 1.4e-06 1.65e-06 9.5e-07 1.9e-06 6e-07 1.25e-06 1.25e-06 1.95e-06 7e-07 1.15e-06 1.45e-06 1.85e-06 9.5e-07 1.5e-06 1.8e-06 1e-06 1.5e-06 1.7e-06 1.65e-06 7.5e-07 1.55e-06 1.55e-06 1.5e-07 8.5e-07 1.15e-06 1.45e-06 2.1e-06 7e-07 1.95e-06 1.4e-06 1.35e-06 1.3e-06 7e-07 0.0 0.0
35 9e-07 1.4e-06 1.65e-06 9.5e-07 1.9e-06 6e-07 1.25e-06 1.25e-06 1.95e-06 7e-07 1.15e-06 1.45e-06 1.85e-06 9.5e-07 1.5e-06 1.8e-06 1e-06 1.5e-06 1.7e-06 1.65e-06 7.5e-07 1.55e-06 1.55e-06 1.5e-07 8.5e-07 1.15e-06 1.45e-06 2.1e-06 7e-07 1.95e-06 1.4e-06 1.35e-06 1.3e-06 7e-07 0.0 0.0
