 slim_762038134 slim_762038105 slim_762038127 slim_762038109 slim_762038132 slim_762038111 slim_762038093 slim_762038131 slim_762038117 slim_762038096 slim_762038130 slim_762038133 slim_762038129 slim_762038101 slim_762038140 slim_762038142 slim_762038110 slim_762038113 slim_762038086 slim_762038092 slim_762038137 slim_762038138 slim_762038099 slim_762038097 slim_762038119 slim_762038126 slim_762038143 slim_762038106 slim_762038136 slim_762038104 slim_762038118 slim_762038125 slim_762038087 slim_762038121 slim_762038100 slim_762038088 slim_762038103 slim_762038107 slim_762038141 slim_762038091 slim_762038098 slim_762038123 slim_762038112 slim_762038135 slim_762038120 slim_762038108 slim_762038114 slim_762038116 slim_762038085 slim_762038128 slim_762038090 slim_762038095 slim_762038122 slim_762038115 slim_762038089 slim_762038102 slim_762038139 slim_762038144 slim_762038124 slim_762038094
10 1.9e-06 2.45e-06 2.9e-06 2e-06 1.4e-06 1.75e-06 2.25e-06 1.8e-06 1.55e-06 2.15e-06 1.9e-06 1.6e-06 2.95e-06 1.25e-06 2.5e-06 1.35e-06 2.25e-06 1.65e-06 1.2e-06 1.7e-06 1.25e-06 1.3e-06 1.8e-06 2.35e-06 2.1e-06 1.6e-06 1.45e-06 1.8e-06 2.4e-06 2.15e-06 2.2e-06 1.1e-06 2.5e-06 1.15e-06 2.95e-06 2.1e-06 2.4e-06 1.75e-06 1.8e-06 1.9e-06 1.8e-06 2e-06 1.45e-06 1.15e-06 1.8e-06 2.2e-06 1.8e-06 2.3e-06 2e-06 1.95e-06 2.2e-06 1.9e-06 2.3e-06 1.95e-06 1.65e-06 2e-06 1.9e-06 1.5e-06 1.9e-06 2.4e-06
11 2e-06 2.85e-06 3.2e-06 2.5e-06 1.5e-06 2.15e-06 2.2e-06 2.25e-06 1.9e-06 2.2e-06 1.6e-06 2.7e-06 3.25e-06 1.8e-06 2.8e-06 1.9e-06 2.75e-06 2.2e-06 1.8e-06 2.15e-06 1.7e-06 1.7e-06 2.45e-06 2.2e-06 2.55e-06 1.55e-06 2.05e-06 2.3e-06 2.8e-06 2.3e-06 2.5e-06 1.65e-06 2.9e-06 1.55e-06 3.25e-06 2.3e-06 2.8e-06 2.2e-06 2.25e-06 1.75e-06 1.7e-06 2.05e-06 1.5e-06 1.55e-06 2.2e-06 2.55e-06 2.25e-06 2.5e-06 2.5e-06 2.45e-06 2.75e-06 2.35e-06 2.55e-06 1.75e-06 2.05e-06 2.5e-06 2.25e-06 1.95e-06 2.4e-06 2.85e-06
12 3.25e-06 1.4e-06 2e-07 1.55e-06 3.2e-06 2.65e-06 2.75e-06 2.8e-06 2.8e-06 2.9e-06 2.95e-06 3.25e-06 4e-07 2.5e-06 2.15e-06 2.55e-06 2.3e-06 2.85e-06 3.05e-06 2.45e-06 2.85e-06 2.8e-06 2.5e-06 3.1e-06 1.65e-06 2.95e-06 2.75e-06 2.55e-06 1.75e-06 2.6e-06 1.55e-06 3.05e-06 1.15e-06 2.85e-06 2.5e-07 1.45e-06 1.15e-06 2.5e-06 2.7e-06 3.05e-06 2.9e-06 3.1e-06 3.4e-06 2.75e-06 2.55e-06 2.4e-06 2.8e-06 2.45e-06 1.6e-06 1.55e-06 2.4e-06 2.7e-06 2.4e-06 3.15e-06 2.95e-06 1.55e-06 2.75e-06 2.4e-06 1.5e-06 2.45e-06
13 2.15e-06 2.25e-06 2.45e-06 2.15e-06 2.05e-06 1.75e-06 2.4e-06 2.2e-06 1.65e-06 2.65e-06 1.25e-06 1.8e-06 2.5e-06 1.4e-06 2.95e-06 8.5e-07 1.95e-06 1.6e-06 1.45e-06 2.15e-06 1.35e-06 1.35e-06 1.75e-06 2.85e-06 2e-06 2.05e-06 1.85e-06 2.4e-06 2.35e-06 2.25e-06 2.15e-06 1.35e-06 1.95e-06 1.2e-06 2.5e-06 1.8e-06 2.2e-06 2.2e-06 1.95e-06 2.3e-06 2.3e-06 2.3e-06 1.65e-06 1.45e-06 2e-06 2.3e-06 1.95e-06 2.65e-06 2.15e-06 2.1e-06 1.9e-06 2.5e-06 2.65e-06 2.35e-06 1.95e-06 2.15e-06 2e-06 1.25e-06 2.05e-06 2.65e-06
14 2.65e-06 2.1e-06 2.1e-06 2.2e-06 2.55e-06 2.2e-06 2.15e-06 1.95e-06 2.35e-06 1.55e-06 2.5e-06 2.8e-06 2.15e-06 2.95e-06 1e-07 3e-06 2.55e-06 2.3e-06 2.4e-06 1.8e-06 2.4e-06 2.35e-06 2.35e-06 1.75e-06 2.3e-06 2.3e-06 2.1e-06 1.2e-06 2.35e-06 2.7e-06 2.15e-06 2.6e-06 2.65e-06 2.4e-06 2.15e-06 2.25e-06 2.45e-06 1.85e-06 1.5e-06 2.3e-06 2.25e-06 2.35e-06 2.95e-06 2.3e-06 1.9e-06 1.75e-06 1.65e-06 1.05e-06 2.2e-06 2.15e-06 2.55e-06 1.35e-06 9.5e-07 2.5e-06 2.2e-06 2.2e-06 1.55e-06 2.65e-06 2.1e-06 1e-06
15 2.2e-06 2.3e-06 2.5e-06 2.25e-06 2.15e-06 1.8e-06 2.45e-06 2.25e-06 1.75e-06 2.75e-06 1.35e-06 1.9e-06 2.55e-06 8.5e-07 3e-06 1.7e-06 2e-06 1.55e-06 1.6e-06 2.25e-06 1.5e-06 1.5e-06 1.85e-06 2.9e-06 2.1e-06 2.15e-06 1.95e-06 2.5e-06 2.4e-06 2.3e-06 2.25e-06 1.5e-06 2e-06 1.35e-06 2.55e-06 1.85e-06 2.25e-06 2.3e-06 2e-06 2.35e-06 2.35e-06 2.35e-06 1.7e-06 1.55e-06 2.1e-06 2.35e-06 2e-06 2.65e-06 2.25e-06 2.2e-06 1.95e-06 2.6e-06 2.7e-06 2.35e-06 2.05e-06 2.25e-06 2.1e-06 1.4e-06 2.15e-06 2.7e-06
16 2.3e-06 1.8e-06 2.25e-06 2.3e-06 2.5e-06 2e-06 2.1e-06 1.9e-06 2.2e-06 2.8e-06 2.25e-06 2.75e-06 2.3e-06 1.95e-06 2.55e-06 2e-06 2.4e-06 1.9e-06 2.05e-06 1.9e-06 2.35e-06 2.25e-06 1.9e-06 2.75e-06 2.2e-06 2.4e-06 1.75e-06 2.45e-06 2.2e-06 2.3e-06 2.35e-06 2.35e-06 1.75e-06 2.25e-06 2.3e-06 2.35e-06 2.15e-06 1.95e-06 2.5e-06 2.7e-06 2.3e-06 2.15e-06 2.6e-06 2.35e-06 1.8e-06 1.45e-06 2.45e-06 2.6e-06 2.3e-06 2.25e-06 1.45e-06 2.45e-06 2.65e-06 2.7e-06 2e-06 2.3e-06 2.55e-06 2.05e-06 2.2e-06 2.1e-06
17 2.3e-06 2.05e-06 2.8e-06 2.5e-06 2.35e-06 1.6e-06 2.15e-06 1.75e-06 1.95e-06 2.55e-06 1.65e-06 2.2e-06 2.85e-06 1.6e-06 2.3e-06 1.55e-06 1.9e-06 2.3e-06 1.9e-06 1.95e-06 1.8e-06 1.85e-06 2e-06 2.65e-06 2.4e-06 2.4e-06 1.65e-06 2.25e-06 2.55e-06 2.55e-06 2.55e-06 1.8e-06 2.45e-06 1.7e-06 2.85e-06 2.15e-06 2.55e-06 2e-06 1.85e-06 2.55e-06 2.45e-06 1.9e-06 2e-06 1.8e-06 1.85e-06 1.55e-06 1.85e-06 2.45e-06 2.5e-06 2.45e-06 1.7e-06 2.35e-06 2.45e-06 2.6e-06 1.7e-06 2.5e-06 1.95e-06 2.1e-06 2.4e-06 1.8e-06
18 1.25e-06 2.4e-06 3e-06 2e-06 1.25e-06 2e-06 1.95e-06 1.65e-06 1.55e-06 2.05e-06 1.2e-06 1.8e-06 3.05e-06 1.45e-06 2.4e-06 1.6e-06 2.05e-06 1.9e-06 1e-07 1.6e-06 1.3e-06 1.25e-06 1.45e-06 2.15e-06 1.6e-06 1.2e-06 1.3e-06 1.7e-06 2.15e-06 2e-06 1.85e-06 1.3e-06 2.45e-06 1e-06 3.05e-06 2.45e-06 2.55e-06 1.65e-06 2.05e-06 1.6e-06 1.45e-06 1.85e-06 1.65e-06 1.4e-06 1.2e-06 2.05e-06 2.05e-06 2e-06 2e-06 1.95e-06 2.05e-06 1.75e-06 2.05e-06 1.6e-06 1.5e-06 2e-06 2.1e-06 1.05e-06 1.9e-06 2.3e-06
19 2.1e-06 1.9e-06 2.4e-06 1.85e-06 1.6e-06 1.75e-06 1.75e-06 1.5e-06 1.95e-06 1.95e-06 1.7e-06 2.15e-06 2.45e-06 2.15e-06 1.8e-06 2.25e-06 1.9e-06 1.95e-06 1.6e-06 2.3e-06 1.85e-06 1.85e-06 1.95e-06 2.1e-06 2.05e-06 1.65e-06 1.25e-06 1.55e-06 2.2e-06 2.15e-06 2e-06 1.8e-06 2.35e-06 1.8e-06 2.45e-06 2.25e-06 2.15e-06 1.2e-06 2.1e-06 1.9e-06 1.7e-06 1.8e-06 2.2e-06 1.65e-06 1.35e-06 1.25e-06 2.05e-06 1.85e-06 1.85e-06 1.8e-06 2e-06 1.65e-06 1.85e-06 1.95e-06 1.55e-06 1.85e-06 2.15e-06 1.85e-06 1.75e-06 1.75e-06
20 2e-06 2.45e-06 2.8e-06 2.15e-06 1.8e-06 1.8e-06 2.25e-06 2.05e-06 1.55e-06 2.3e-06 1.25e-06 1.7e-06 2.85e-06 1.35e-06 2.4e-06 1.5e-06 2.35e-06 1.8e-06 1.3e-06 1.85e-06 2.1e-06 1.3e-06 1.8e-06 2.5e-06 2.1e-06 1.8e-06 1.7e-06 1.95e-06 2.3e-06 2.4e-06 2.1e-06 1.3e-06 2.5e-06 1.15e-06 2.85e-06 2e-06 2.55e-06 1.85e-06 1.85e-06 2.05e-06 2e-06 2.25e-06 1.75e-06 1.25e-06 1.8e-06 2.2e-06 1.85e-06 2.2e-06 2.1e-06 2.1e-06 2.3e-06 2.05e-06 2.2e-06 2.1e-06 1.85e-06 2.1e-06 1.85e-06 1.5e-06 2.05e-06 2.4e-06
21 2.05e-06 2.45e-06 2.75e-06 2.2e-06 1.85e-06 1.7e-06 2.2e-06 2.15e-06 1.3e-06 2.3e-06 1.3e-06 1.7e-06 2.8e-06 1.35e-06 2.35e-06 1.5e-06 2.25e-06 1.85e-06 1.25e-06 1.85e-06 1.3e-06 2e-06 2.05e-06 2.4e-06 2.05e-06 1.6e-06 1.8e-06 2e-06 2.4e-06 2.35e-06 2.1e-06 1.25e-06 2.5e-06 1.15e-06 2.8e-06 2e-06 2.6e-06 1.9e-06 1.8e-06 1.95e-06 1.85e-06 2.3e-06 1.7e-06 1.4e-06 1.7e-06 2.15e-06 1.8e-06 2.05e-06 2.2e-06 2.15e-06 2.4e-06 2.05e-06 2.1e-06 1.95e-06 1.9e-06 2.2e-06 1.7e-06 1.55e-06 2.1e-06 2.45e-06
22 1.8e-06 2.2e-06 2.45e-06 2e-06 1.85e-06 2.4e-06 2.25e-06 1.7e-06 2.1e-06 2.3e-06 1.8e-06 2.45e-06 2.5e-06 1.75e-06 2.35e-06 1.85e-06 1.9e-06 2e-06 1.45e-06 1.95e-06 1.8e-06 2.05e-06 1.8e-06 2.55e-06 2e-06 2e-06 1.65e-06 1.95e-06 1.95e-06 1.95e-06 2.15e-06 1.9e-06 1.95e-06 1.9e-06 2.5e-06 2.45e-06 2e-06 2e-06 2.35e-06 2.2e-06 2e-06 2e-06 2.3e-06 1.95e-06 1.95e-06 2.2e-06 2.4e-06 2.4e-06 2e-06 1.95e-06 1.65e-06 2.1e-06 2.3e-06 2.35e-06 1.8e-06 2e-06 2.4e-06 1.6e-06 1.9e-06 2.1e-06
23 2.1e-06 2.75e-06 3.05e-06 2.55e-06 1.75e-06 2.6e-06 2.15e-06 2.1e-06 2.4e-06 1.8e-06 2.35e-06 2.2e-06 3.1e-06 2.85e-06 1.75e-06 2.9e-06 2.75e-06 2.65e-06 2.15e-06 2.1e-06 2.5e-06 2.4e-06 2.55e-06 3.2e-06 2.65e-06 1.7e-06 2.15e-06 1.9e-06 2.7e-06 2.35e-06 2.6e-06 2.45e-06 3e-06 2.35e-06 3.1e-06 2.8e-06 2.85e-06 2.15e-06 2.35e-06 1.85e-06 1.65e-06 2.05e-06 2.25e-06 2.25e-06 2.2e-06 2.35e-06 2.4e-06 2e-06 2.55e-06 2.5e-06 2.8e-06 1.75e-06 2e-06 1.9e-06 2.25e-06 2.55e-06 2.4e-06 2.55e-06 2.45e-06 2.15e-06
24 2.25e-06 1.95e-06 1.55e-06 1.8e-06 2.25e-06 2.35e-06 2.35e-06 2.25e-06 2.2e-06 2.5e-06 2.1e-06 2.55e-06 1.65e-06 2e-06 2.3e-06 2.1e-06 2.2e-06 2.4e-06 1.6e-06 2.05e-06 2.1e-06 2.05e-06 2e-06 2.65e-06 3.1e-06 2.1e-06 2.05e-06 2.15e-06 1.95e-06 2.3e-06 1.7e-06 2.2e-06 1.8e-06 1.95e-06 1.65e-06 1.95e-06 1.85e-06 2.1e-06 2.4e-06 2.35e-06 2.2e-06 2.5e-06 2.55e-06 2.1e-06 1.9e-06 2.25e-06 2.45e-06 2.25e-06 1.8e-06 1.75e-06 2.25e-06 2.25e-06 2.25e-06 2.4e-06 2.25e-06 1.8e-06 2.45e-06 1.75e-06 1.7e-06 2.4e-06
25 1.45e-06 2.6e-06 2.9e-06 2.05e-06 9.5e-07 2.25e-06 1.75e-06 1.85e-06 1.8e-06 1.7e-06 1.6e-06 1.55e-06 2.95e-06 2.05e-06 2.3e-06 2.15e-06 2.4e-06 2.4e-06 1.2e-06 1.65e-06 1.8e-06 1.6e-06 2e-06 1.7e-06 2.1e-06 1.7e-06 1.65e-06 1.75e-06 2.35e-06 1.75e-06 2.1e-06 1.7e-06 2.65e-06 1.6e-06 2.95e-06 2.5e-06 2.5e-06 1.7e-06 2.3e-06 1.15e-06 1e-06 1.7e-06 1.55e-06 1.6e-06 1.7e-06 2.25e-06 2.3e-06 1.9e-06 2.05e-06 2e-06 2.55e-06 1.8e-06 1.95e-06 1.15e-06 1.8e-06 2.05e-06 2.35e-06 1.65e-06 1.95e-06 2.5e-06
26 1.8e-06 1.9e-06 2.7e-06 1.9e-06 1.4e-06 1.8e-06 1.8e-06 1.2e-06 1.9e-06 2e-06 1.45e-06 2.05e-06 2.75e-06 1.85e-06 2.1e-06 1.95e-06 1.75e-06 1.65e-06 1.3e-06 1.25e-06 1.7e-06 1.8e-06 1.65e-06 2.15e-06 2.05e-06 1.65e-06 1.9e-06 1.6e-06 2.2e-06 2.05e-06 2.15e-06 1.55e-06 2.35e-06 1.65e-06 2.75e-06 2.4e-06 2.2e-06 1.3e-06 2.1e-06 1.95e-06 1.7e-06 1.55e-06 1.95e-06 1.55e-06 1.4e-06 1.25e-06 2.05e-06 2.15e-06 1.9e-06 1.85e-06 1.7e-06 1.7e-06 2.15e-06 2e-06 1.3e-06 1.9e-06 2.15e-06 1.7e-06 1.8e-06 1.75e-06
27 2.15e-06 2.3e-06 2.5e-06 1.9e-06 1.65e-06 2.25e-06 2.15e-06 1.7e-06 2.1e-06 1.65e-06 1.8e-06 2.3e-06 2.55e-06 2.4e-06 1.2e-06 2.5e-06 2.45e-06 2.25e-06 1.7e-06 1.55e-06 1.95e-06 2e-06 1.95e-06 1.9e-06 2.15e-06 1.75e-06 1.6e-06 2.3e-06 2.3e-06 2.25e-06 2.1e-06 1.9e-06 2.6e-06 1.95e-06 2.55e-06 2.4e-06 2.3e-06 1.6e-06 1.9e-06 1.9e-06 1.8e-06 2.05e-06 2.35e-06 1.75e-06 1.8e-06 2e-06 1.95e-06 1.6e-06 1.9e-06 1.85e-06 2.4e-06 1.4e-06 1.5e-06 2.05e-06 1.8e-06 1.9e-06 1.95e-06 2.05e-06 1.8e-06 1.65e-06
28 2.3e-06 2e-06 1.65e-06 1.95e-06 2.45e-06 2.55e-06 2.45e-06 2.3e-06 2.3e-06 2.65e-06 2.4e-06 2.8e-06 1.75e-06 2.35e-06 2.35e-06 2.4e-06 2.2e-06 2.55e-06 2.15e-06 2.2e-06 2.3e-06 2.4e-06 1.95e-06 2.7e-06 1.95e-06 2.35e-06 2.2e-06 2.3e-06 3.2e-06 2.3e-06 1.95e-06 2.5e-06 1.8e-06 2.35e-06 1.7e-06 2.1e-06 1.9e-06 2.25e-06 2.6e-06 2.55e-06 2.2e-06 2.6e-06 2.8e-06 2.35e-06 2.2e-06 2.3e-06 2.65e-06 2.4e-06 1.95e-06 1.85e-06 2.25e-06 2.35e-06 2.4e-06 2.6e-06 2.45e-06 1.95e-06 2.65e-06 2.15e-06 1.85e-06 2.45e-06
29 1.75e-06 2.5e-06 2.5e-06 2.15e-06 1.65e-06 2.7e-06 2.1e-06 2.1e-06 2.3e-06 2.2e-06 2.15e-06 2.3e-06 2.6e-06 2.25e-06 2.7e-06 2.3e-06 2.3e-06 2.55e-06 2e-06 2.15e-06 2.4e-06 2.35e-06 1.95e-06 2.35e-06 2.3e-06 1.75e-06 2.05e-06 2.25e-06 2.3e-06 2.9e-06 2.4e-06 2.25e-06 2.3e-06 2.35e-06 2.55e-06 2.6e-06 2.05e-06 2.2e-06 2.75e-06 1.9e-06 1.65e-06 2.05e-06 2.2e-06 2.2e-06 2.3e-06 2.55e-06 2.8e-06 2.55e-06 2.15e-06 2.1e-06 2.35e-06 2.35e-06 2.5e-06 2e-06 2.2e-06 2.15e-06 2.8e-06 2.1e-06 2.05e-06 2.65e-06
30 2.4e-06 1.95e-06 1.45e-06 1.75e-06 2.3e-06 2.35e-06 2.35e-06 2.35e-06 2.25e-06 2.45e-06 2.2e-06 2.5e-06 1.55e-06 2.15e-06 2.15e-06 2.25e-06 2.35e-06 2.55e-06 1.85e-06 2e-06 2.1e-06 2.1e-06 2.15e-06 2.6e-06 1.7e-06 2.1e-06 2.15e-06 2.1e-06 1.95e-06 2.4e-06 2.8e-06 2.3e-06 1.75e-06 1.9e-06 1.5e-06 1.75e-06 1.8e-06 2.05e-06 2.4e-06 2.3e-06 2.2e-06 2.6e-06 2.65e-06 2.05e-06 1.95e-06 2.25e-06 2.45e-06 2.1e-06 1.75e-06 1.7e-06 2.4e-06 2.2e-06 2.1e-06 2.35e-06 2.35e-06 1.75e-06 2.45e-06 1.7e-06 1.65e-06 2.4e-06
