 slim_762133725 slim_762133733 slim_762133712 slim_762133708 slim_762133711 slim_762133748 slim_762133750 slim_762133737 slim_762133735 slim_762133713 slim_762133714 slim_762133719 slim_762133740 slim_762133718 slim_762133726 slim_762133722 slim_762133739 slim_762133720 slim_762133729 slim_762133732 slim_762133746 slim_762133741 slim_762133736 slim_762133724 slim_762133747 slim_762133734 slim_762133751 slim_762133723 slim_762133709 slim_762133721 slim_762133727 slim_762133754 slim_762133749 slim_762133753 slim_762133743 slim_762133755 slim_762133752 slim_762133728 slim_762133738 slim_762133716 slim_762133756 slim_762133744 slim_762133731 slim_762133742 slim_762133758 slim_762133745 slim_762133710 slim_762133717 slim_762133715 slim_762133757 slim_762133730
18 1.55e-06 9e-07 2.2e-06 2.05e-06 1.75e-06 2.1e-06 1.45e-06 1.1e-06 1.95e-06 1.3e-06 1.3e-06 2.25e-06 2.75e-06 1.6e-06 1.9e-06 7.5e-07 2.2e-06 1.9e-06 1.4e-06 1.55e-06 2.35e-06 2.05e-06 1.9e-06 1.5e-06 2e-06 1.85e-06 1.2e-06 1.45e-06 1.6e-06 9e-07 1.3e-06 1.7e-06 1.75e-06 1.55e-06 1.35e-06 2.55e-06 9.5e-07 1.65e-06 1.5e-06 9e-07 2.4e-06 1e-06 1.75e-06 1.25e-06 1.55e-06 1.65e-06 1.4e-06 2.45e-06 1.7e-06 2e-06 7e-07
19 1.15e-06 1.65e-06 1.45e-06 1.3e-06 1.9e-06 2.4e-06 1.2e-06 1.8e-06 8e-07 1.45e-06 4e-07 2.5e-06 3.05e-06 1.25e-06 9.5e-07 1.35e-06 2.1e-06 2.1e-06 1.55e-06 7e-07 1.35e-06 2.15e-06 2.1e-06 2.2e-06 1.8e-06 6.5e-07 8e-07 1.2e-06 1.3e-06 1.15e-06 1.25e-06 9e-07 2.7e-06 2.7e-06 1.05e-06 3.7e-06 1.45e-06 1.85e-06 6e-07 1.65e-06 2.1e-06 1e-06 2.4e-06 1.2e-06 6e-07 1.3e-06 1.15e-06 2.75e-06 1.35e-06 1.05e-06 2.05e-06
20 2e-06 2.4e-06 2.3e-06 1.35e-06 2.45e-06 2.3e-06 1.8e-06 2.5e-06 1.4e-06 2.35e-06 1.45e-06 2.75e-06 2.2e-06 1.8e-06 1.85e-06 2.15e-06 2.2e-06 2.25e-06 2.35e-06 1.35e-06 2.5e-06 2.35e-06 2.25e-06 2.55e-06 1.7e-06 1.55e-06 1.75e-06 1.8e-06 1.75e-06 2e-06 2.05e-06 1.45e-06 2.8e-06 3e-06 1.85e-06 3.2e-06 2.2e-06 2.65e-06 1.4e-06 2.4e-06 1.85e-06 1.85e-06 2.65e-06 2e-06 1.6e-06 1.85e-06 1.75e-06 2.65e-06 2.25e-06 1.7e-06 2.75e-06
21 2.35e-06 2e-06 2.7e-06 2.05e-06 2.2e-06 2.2e-06 2.2e-06 2.1e-06 2.3e-06 2.05e-06 1.95e-06 2.35e-06 2.05e-06 2.1e-06 2.6e-06 2.1e-06 2.1e-06 2.15e-06 2.05e-06 2.15e-06 2.35e-06 3.8e-06 2.15e-06 2e-06 2.15e-06 2.5e-06 1.95e-06 2.2e-06 2.2e-06 2.05e-06 2.25e-06 2.4e-06 1.9e-06 2e-06 2.3e-06 2.05e-06 2.05e-06 2.65e-06 2.1e-06 2e-06 2.2e-06 2e-06 2.1e-06 2.2e-06 2.25e-06 2.15e-06 2.15e-06 2.45e-06 2.45e-06 2.4e-06 2e-06
22 2.2e-06 1.8e-06 2.65e-06 2.05e-06 2.1e-06 2.1e-06 2.1e-06 1.95e-06 2.2e-06 1.95e-06 1.95e-06 2e-06 2.2e-06 1.95e-06 2.55e-06 1.95e-06 2.2e-06 1.65e-06 1.9e-06 2.1e-06 2.25e-06 2.15e-06 3.3e-06 2.1e-06 2e-06 2.4e-06 1.85e-06 2.1e-06 1.85e-06 1.85e-06 2.1e-06 1.95e-06 2e-06 2.1e-06 2.15e-06 1.95e-06 1.85e-06 2.55e-06 1.85e-06 1.8e-06 2.2e-06 1.9e-06 1.7e-06 2.05e-06 2.2e-06 2e-06 2.05e-06 2.45e-06 2.35e-06 2.35e-06 1.85e-06
23 2.3e-06 1.7e-06 2.8e-06 2.3e-06 2.15e-06 2.15e-06 2.05e-06 1.8e-06 2.5e-06 1.8e-06 2e-06 2.4e-06 2.25e-06 2.2e-06 2.7e-06 1.55e-06 2.1e-06 2.1e-06 1.5e-06 2.2e-06 2.55e-06 2e-06 2.1e-06 2.8e-06 2.25e-06 2.55e-06 1.9e-06 2.05e-06 2.25e-06 1.6e-06 2.05e-06 2.35e-06 1.65e-06 1.5e-06 2.1e-06 2.05e-06 1.75e-06 2.5e-06 2.1e-06 1.7e-06 2.55e-06 1.8e-06 2e-06 2e-06 2.25e-06 2.25e-06 2e-06 2.45e-06 2.45e-06 2.6e-06 1.6e-06
24 1.8e-06 1.7e-06 2.55e-06 1.45e-06 2.25e-06 2e-06 1.9e-06 1.8e-06 1.9e-06 2.1e-06 1.6e-06 2.65e-06 1.95e-06 1.55e-06 2.2e-06 2.05e-06 2.25e-06 2e-06 2e-06 1.8e-06 1.7e-06 2.15e-06 2e-06 2.25e-06 2.6e-06 2.1e-06 1.45e-06 1.9e-06 1.45e-06 1.6e-06 2.1e-06 1.6e-06 2.2e-06 2.4e-06 2.15e-06 2.65e-06 1.75e-06 2.5e-06 1.55e-06 1.7e-06 1.7e-06 1.85e-06 2e-06 2.05e-06 1.85e-06 1.6e-06 1.85e-06 2.35e-06 1.95e-06 2e-06 2.1e-06
25 1.1e-06 1.95e-06 1.7e-06 1.65e-06 2.15e-06 2.7e-06 1.45e-06 2e-06 9.5e-07 1.8e-06 8e-07 2.7e-06 3.3e-06 1.5e-06 5e-07 1.65e-06 2.3e-06 2.4e-06 1.85e-06 6.5e-07 1.55e-06 2.5e-06 2.4e-06 2.55e-06 2.1e-06 1e-06 1.2e-06 1.45e-06 1.6e-06 1.5e-06 1.45e-06 1.2e-06 3e-06 3.05e-06 1.25e-06 3.95e-06 1.75e-06 1.7e-06 1e-06 1.95e-06 2.15e-06 1.3e-06 2.7e-06 1.4e-06 7e-07 1.55e-06 1.4e-06 2.95e-06 1.65e-06 1.05e-06 2.3e-06
26 9.5e-07 9.5e-07 1.7e-06 1.4e-06 1.7e-06 2.1e-06 1.3e-06 1.1e-06 1.3e-06 1.2e-06 5.5e-07 2.4e-06 2.8e-06 1e-06 1.3e-06 1.25e-06 2.15e-06 1.85e-06 1.2e-06 8e-07 1.75e-06 1.95e-06 1.85e-06 1.9e-06 1.45e-06 1.2e-06 1e-06 1.3e-06 1e-06 7.5e-07 1.3e-06 1.05e-06 2.1e-06 2.1e-06 1.35e-06 3.15e-06 1e-06 1.7e-06 7.5e-07 9.5e-07 1.95e-06 1e-06 1.75e-06 1.25e-06 8.5e-07 1.05e-06 1.25e-06 2.45e-06 1.05e-06 1.35e-06 1.4e-06
27 1.6e-06 1.8e-06 2e-06 1.55e-06 1.75e-06 2.35e-06 9.5e-07 1.95e-06 1.15e-06 1.75e-06 1e-06 2.5e-06 2.7e-06 1.25e-06 1.5e-06 1.25e-06 2.3e-06 2.1e-06 1.45e-06 1.2e-06 1.8e-06 2.2e-06 2.1e-06 2.05e-06 1.9e-06 1.45e-06 1.3e-06 1.8e-06 1.55e-06 1.25e-06 1.75e-06 1.5e-06 2.45e-06 2.65e-06 1.55e-06 3.15e-06 1.6e-06 2.1e-06 1.25e-06 1.8e-06 1.9e-06 1.25e-06 2.3e-06 1.7e-06 1.2e-06 1.3e-06 9e-07 2.65e-06 1.8e-06 1.2e-06 2e-06
28 1.35e-06 1.3e-06 2.2e-06 1.55e-06 1.95e-06 2.15e-06 1.55e-06 1.45e-06 1.5e-06 1.7e-06 1.15e-06 2.5e-06 2.55e-06 1.2e-06 1.75e-06 1.65e-06 2.3e-06 1.85e-06 1.6e-06 1.3e-06 1.75e-06 2.2e-06 1.85e-06 2.25e-06 1.45e-06 1.6e-06 1e-06 1.55e-06 1.7e-06 1.15e-06 1.65e-06 1.05e-06 2.25e-06 2.45e-06 1.7e-06 3e-06 1.35e-06 2.1e-06 1.1e-06 1.3e-06 1.85e-06 1.45e-06 1.85e-06 1.6e-06 1.4e-06 1.25e-06 1.5e-06 2.45e-06 1.5e-06 1.65e-06 1.75e-06
29 1.15e-06 9e-07 2.05e-06 1.7e-06 1.75e-06 2.1e-06 1.25e-06 1.05e-06 1.6e-06 1.25e-06 9e-07 2.45e-06 2.8e-06 1.2e-06 1.6e-06 9.5e-07 2.2e-06 1.85e-06 9e-07 1.15e-06 2e-06 2.05e-06 1.85e-06 1.6e-06 1.6e-06 1.5e-06 7.5e-07 1.25e-06 1.15e-06 1.2e-06 1.35e-06 1.25e-06 1.9e-06 1.9e-06 1.4e-06 2.95e-06 9.5e-07 1.75e-06 1.05e-06 9e-07 2.15e-06 1.05e-06 1.7e-06 1.3e-06 1.15e-06 1.25e-06 1.2e-06 2.45e-06 1.3e-06 1.65e-06 1.2e-06
30 1.55e-06 1.25e-06 2.1e-06 2.05e-06 1.95e-06 2.35e-06 1.75e-06 1.45e-06 1.6e-06 1.55e-06 1.3e-06 2.35e-06 2.95e-06 1.65e-06 1.7e-06 1.35e-06 2.15e-06 2.1e-06 1.3e-06 1.25e-06 2.05e-06 2.25e-06 2.1e-06 2.05e-06 2.1e-06 1.45e-06 1.3e-06 1.75e-06 1.65e-06 1.35e-06 2.4e-06 1.6e-06 2.2e-06 2e-06 1.3e-06 2.95e-06 1.3e-06 1.8e-06 1.45e-06 1.25e-06 2.35e-06 1.25e-06 2.05e-06 1.2e-06 1.45e-06 1.7e-06 1.7e-06 2.7e-06 1.8e-06 1.85e-06 1.2e-06
31 1.4e-06 1.7e-06 1.85e-06 1.35e-06 2.2e-06 2.3e-06 1.5e-06 1.85e-06 1.3e-06 1.75e-06 8.5e-07 2.65e-06 2.85e-06 1.45e-06 1.45e-06 1.5e-06 2.45e-06 1.95e-06 1.7e-06 9e-07 1.45e-06 2.4e-06 1.95e-06 2.35e-06 1.6e-06 1.2e-06 1.05e-06 1.5e-06 1.05e-06 1.25e-06 1.6e-06 5e-07 2.8e-06 2.85e-06 1.4e-06 3.7e-06 1.5e-06 2.15e-06 6.5e-07 1.7e-06 2.25e-06 1.25e-06 2.4e-06 1.55e-06 1.1e-06 1.5e-06 1.45e-06 2.6e-06 1.55e-06 1.55e-06 2.15e-06
32 2.45e-06 1.55e-06 3.25e-06 2.55e-06 2.1e-06 2.05e-06 2.45e-06 1.65e-06 2.8e-06 1.95e-06 2.5e-06 2.25e-06 1.9e-06 2.2e-06 3.1e-06 2.05e-06 2e-06 2e-06 1.75e-06 2.7e-06 2.8e-06 1.9e-06 2e-06 1.65e-06 2.2e-06 3e-06 2.1e-06 2.45e-06 2.25e-06 1.9e-06 2.2e-06 2.8e-06 2.4e-06 1.35e-06 2.5e-06 1.35e-06 1.85e-06 2.6e-06 2.6e-06 1.55e-06 2.3e-06 2.2e-06 1.6e-06 2.15e-06 2.75e-06 2.25e-06 2.4e-06 2.3e-06 2.6e-06 2.9e-06 1.4e-06
33 2.5e-06 1.35e-06 3.1e-06 2.75e-06 2.15e-06 2.1e-06 2.65e-06 1.5e-06 3e-06 1.8e-06 2.5e-06 2.25e-06 2.2e-06 2.4e-06 3.2e-06 1.85e-06 2.1e-06 2.1e-06 1.55e-06 2.7e-06 3e-06 2e-06 2.1e-06 1.5e-06 2.4e-06 3.05e-06 2.1e-06 2.65e-06 2.45e-06 1.9e-06 2e-06 2.85e-06 1.35e-06 1.8e-06 2.3e-06 1.55e-06 1.65e-06 2.45e-06 2.6e-06 1.35e-06 2.65e-06 2e-06 1.7e-06 1.95e-06 2.75e-06 2.45e-06 2.6e-06 2.45e-06 2.65e-06 3.1e-06 1e-06
34 1.6e-06 1.55e-06 1.9e-06 1.85e-06 2e-06 2.4e-06 1.55e-06 1.75e-06 1.4e-06 1.6e-06 1.1e-06 2.4e-06 3e-06 1.7e-06 1.5e-06 1.1e-06 2.2e-06 2.15e-06 1.35e-06 1.05e-06 1.85e-06 2.3e-06 2.15e-06 2.1e-06 2.15e-06 1.25e-06 1.35e-06 1.55e-06 1.7e-06 1.4e-06 1.3e-06 1.4e-06 2.5e-06 2.3e-06 2e-06 3.25e-06 1.3e-06 1.85e-06 1.25e-06 1.55e-06 2.4e-06 1e-06 2.35e-06 1.25e-06 1.25e-06 1.75e-06 1.5e-06 2.75e-06 1.85e-06 1.65e-06 1.5e-06
35 3.45e-06 2.35e-06 3.9e-06 3e-06 2.45e-06 2.15e-06 3.15e-06 2.45e-06 3.45e-06 2.65e-06 3.55e-06 1.9e-06 1.45e-06 2.9e-06 4.05e-06 2.85e-06 2.1e-06 1.95e-06 2.55e-06 3.7e-06 3.2e-06 2.05e-06 1.95e-06 2.05e-06 2.65e-06 3.95e-06 3.15e-06 3.15e-06 3e-06 2.95e-06 2.95e-06 3.7e-06 1.35e-06 1.55e-06 3.25e-06 9e-07 2.65e-06 3.35e-06 3.55e-06 2.35e-06 2.35e-06 3e-06 1.6e-06 2.9e-06 3.8e-06 2.95e-06 3.1e-06 2.4e-06 3.6e-06 3.6e-06 1.95e-06
36 1.35e-06 8e-07 2.1e-06 1.9e-06 1.75e-06 2.05e-06 1.6e-06 1e-06 1.85e-06 1.3e-06 1.2e-06 2.25e-06 2.7e-06 1.4e-06 1.8e-06 9.5e-07 2.2e-06 1.85e-06 9.5e-07 1.45e-06 2.2e-06 2.05e-06 1.85e-06 1.75e-06 1.75e-06 1.75e-06 1e-06 1.6e-06 1.35e-06 9.5e-07 1.3e-06 1.5e-06 1.85e-06 1.65e-06 1.3e-06 2.65e-06 1.6e-06 1.65e-06 1.35e-06 8e-07 2.2e-06 9.5e-07 1.65e-06 1.25e-06 1.45e-06 1.45e-06 1.55e-06 2.4e-06 1.5e-06 1.9e-06 8e-07
