 slim_762045880 slim_762045893 slim_762045867 slim_762045898 slim_762045864 slim_762045895 slim_762045865 slim_762045863 slim_762045860 slim_762045899 slim_762045881 slim_762045862 slim_762045868 slim_762045890 slim_762045873 slim_762045869 slim_762045872 slim_762045879 slim_762045884 slim_762045889 slim_762045896 slim_762045861 slim_762045897 slim_762045900 slim_762045883 slim_762045891 slim_762045866 slim_762045874 slim_762045878 slim_762045876 slim_762045894 slim_762045886 slim_762045871 slim_762045887 slim_762045875 slim_762045892 slim_762045877 slim_762045888 slim_762045882 slim_762045870 slim_762045885
19 9.5e-07 4e-07 1.7e-06 6.5e-07 1.5e-06 8.5e-07 1.05e-06 9.5e-07 8e-07 1e-06 4.5e-07 1.5e-06 4.5e-07 8e-07 6.5e-07 1.15e-06 4e-07 8e-07 1.2e-06 5e-07 4.5e-07 9.5e-07 2.5e-07 6e-07 1e-06 1.2e-06 1.2e-06 1.15e-06 1.05e-06 5.5e-07 9e-07 1.1e-06 1.35e-06 6.5e-07 1.2e-06 6e-07 1.1e-06 1.45e-06 7e-07 1.45e-06 1e-06
20 1.25e-06 4.5e-07 1.7e-06 6e-07 1.5e-06 1.05e-06 1.2e-06 1e-06 1.05e-06 1.15e-06 7e-07 1.65e-06 6.5e-07 8.5e-07 7.5e-07 1.15e-06 4e-07 1e-06 1.25e-06 4.5e-07 7e-07 1e-06 5e-07 7e-07 1e-06 1.3e-06 1.25e-06 1.1e-06 1.2e-06 6.5e-07 1.05e-06 1.15e-06 1.45e-06 7e-07 1.35e-06 7e-07 1.05e-06 1.45e-06 9e-07 1.45e-06 1.05e-06
21 1.2e-06 1.05e-06 1.15e-06 1.25e-06 1.1e-06 1.05e-06 1.1e-06 1.25e-06 9.5e-07 1.25e-06 1.15e-06 1.4e-06 1.1e-06 1e-06 1.1e-06 1.05e-06 1.1e-06 1.05e-06 9.5e-07 9.5e-07 1e-06 1.7e-06 9.5e-07 1e-06 9.5e-07 9e-07 9.5e-07 1.25e-06 1.1e-06 1.1e-06 9.5e-07 1.1e-06 1.2e-06 1.2e-06 1.1e-06 9.5e-07 1.25e-06 1.35e-06 1.05e-06 1e-06 1.15e-06
22 8.5e-07 4.5e-07 1.6e-06 6e-07 1.4e-06 8e-07 9.5e-07 9e-07 7e-07 9e-07 3.5e-07 1.4e-06 4.5e-07 8e-07 6e-07 1.05e-06 4e-07 8e-07 1.2e-06 2.5e-07 5e-07 9.5e-07 3e-07 6.5e-07 1e-06 1.1e-06 1.2e-06 1.05e-06 9.5e-07 6e-07 8e-07 1.1e-06 1.25e-06 5.5e-07 1.15e-06 6.5e-07 1e-06 1.35e-06 6e-07 1.35e-06 1e-06
23 8e-07 6.5e-07 1.6e-06 1e-06 1.6e-06 7.5e-07 1.25e-06 1.05e-06 7.5e-07 1e-06 8.5e-07 1.3e-06 8e-07 7e-07 7.5e-07 1.3e-06 7e-07 7e-07 1.05e-06 6e-07 7e-07 1e-06 6.5e-07 9e-07 1.05e-06 1.1e-06 1.05e-06 1.1e-06 1.25e-06 7.5e-07 1.1e-06 8e-07 1.25e-06 1e-06 1.15e-06 6e-07 1.25e-06 1.2e-06 8e-07 1.2e-06 1.05e-06
24 1.25e-06 1e-06 1.2e-06 1.25e-06 1.15e-06 1.1e-06 1.15e-06 1.3e-06 1e-06 1.3e-06 1.2e-06 1.45e-06 1.2e-06 1.05e-06 1.05e-06 1.1e-06 1e-06 1.1e-06 1e-06 1e-06 1e-06 9.5e-07 1e-06 1.05e-06 1.8e-06 9.5e-07 1e-06 1.25e-06 1.15e-06 1.15e-06 1e-06 1.15e-06 1.25e-06 1.15e-06 1.15e-06 1e-06 1.2e-06 1.4e-06 1.1e-06 1.05e-06 1.2e-06
25 9e-07 1.35e-06 7.5e-07 1.4e-06 9e-07 7e-07 9.5e-07 1.1e-06 6e-07 1.15e-06 1.25e-06 1.05e-06 1.4e-06 1.05e-06 1.05e-06 9e-07 1.3e-06 9e-07 7.5e-07 1.2e-06 1.3e-06 9e-07 1.1e-06 1.1e-06 9.5e-07 9e-07 7.5e-07 1.15e-06 9.5e-07 1.35e-06 8e-07 9.5e-07 7.5e-07 1.3e-06 9e-07 9.5e-07 1.15e-06 1.05e-06 8.5e-07 6.5e-07 1.15e-06
26 1.05e-06 1.3e-06 1e-06 1.5e-06 1.15e-06 9e-07 1.15e-06 1.3e-06 8e-07 1.3e-06 1.4e-06 1.25e-06 1.4e-06 1.05e-06 1.15e-06 1.1e-06 1.35e-06 8e-07 7e-07 1.2e-06 1.25e-06 9.5e-07 1.2e-06 1.05e-06 1e-06 7.5e-07 1.4e-06 1.3e-06 1.15e-06 1.35e-06 1e-06 8.5e-07 1.05e-06 1.45e-06 9e-07 1e-06 1.3e-06 1.15e-06 1.1e-06 8.5e-07 1.1e-06
27 1.1e-06 1.25e-06 1.35e-06 1.1e-06 1.35e-06 1.2e-06 1.3e-06 1.2e-06 1.1e-06 1e-06 1.15e-06 1.3e-06 1.35e-06 9.5e-07 1.15e-06 1.05e-06 1.15e-06 1.25e-06 1.3e-06 1.15e-06 1.1e-06 1.25e-06 1.05e-06 1.1e-06 1.25e-06 1.15e-06 1.3e-06 1.4e-06 1.3e-06 1.4e-06 1.15e-06 1.05e-06 1.3e-06 9.5e-07 1.3e-06 1.25e-06 9.5e-07 1.05e-06 1.1e-06 9.5e-07 1.3e-06
28 1.1e-06 1.25e-06 1.2e-06 1.25e-06 1.15e-06 1.1e-06 9e-07 1.3e-06 9.5e-07 1.2e-06 1.1e-06 1.35e-06 1.1e-06 1.2e-06 1.15e-06 1.05e-06 1.15e-06 1.2e-06 1.15e-06 1.05e-06 1.2e-06 1.1e-06 9.5e-07 1.25e-06 1.15e-06 9.5e-07 1.15e-06 1.3e-06 1.8e-06 1.35e-06 9e-07 1.3e-06 1.25e-06 1.2e-06 1.1e-06 1.2e-06 1.25e-06 1.4e-06 1.1e-06 1.05e-06 1.35e-06
29 1.3e-06 6e-07 1.85e-06 9.5e-07 1.5e-06 1.05e-06 1.35e-06 1.15e-06 1.05e-06 1.3e-06 8e-07 1.75e-06 7.5e-07 1e-06 9e-07 1.4e-06 6.5e-07 1.05e-06 1.35e-06 5.5e-07 6.5e-07 1.1e-06 6e-07 7.5e-07 1.15e-06 1.35e-06 1.35e-06 1.4e-06 1.35e-06 8e-07 1.2e-06 1.3e-06 1.5e-06 9.5e-07 1.5e-06 7e-07 1.4e-06 1.7e-06 9e-07 1.65e-06 9.5e-07
30 1e-06 1.1e-06 1.05e-06 1.1e-06 1e-06 9.5e-07 9e-07 1.15e-06 8e-07 1.1e-06 9.5e-07 1.25e-06 1.1e-06 1.05e-06 1e-06 9e-07 1e-06 1.05e-06 1e-06 9e-07 1.05e-06 9.5e-07 8e-07 1.1e-06 1e-06 8e-07 1e-06 1.15e-06 9e-07 1.2e-06 1.5e-06 1.15e-06 1.1e-06 1.05e-06 1.05e-06 1.05e-06 1.1e-06 1.25e-06 9.5e-07 9e-07 1.2e-06
31 8e-07 1.2e-06 1.35e-06 1.4e-06 1.45e-06 8.5e-07 1.3e-06 1.25e-06 8e-07 1.05e-06 1.3e-06 1.2e-06 1.3e-06 8e-07 1.05e-06 1.25e-06 1.25e-06 7e-07 8.5e-07 1.1e-06 1.15e-06 1.1e-06 1.1e-06 8e-07 1.15e-06 9.5e-07 8.5e-07 1.05e-06 1.3e-06 1.3e-06 1.15e-06 1.2e-06 1.2e-06 1.35e-06 9.5e-07 9.5e-07 1.2e-06 9e-07 1.05e-06 8.5e-07 1.05e-06
32 1.1e-06 1.5e-06 7.5e-07 1.4e-06 1.3e-06 8.5e-07 1.25e-06 9.5e-07 8e-07 1.4e-06 1.4e-06 9.5e-07 1.55e-06 1.3e-06 1.2e-06 1.05e-06 1.45e-06 1.05e-06 1.05e-06 1.35e-06 1.45e-06 1.2e-06 1.25e-06 1.25e-06 1.25e-06 7.5e-07 1.05e-06 1.3e-06 1.25e-06 1.5e-06 1.1e-06 1.2e-06 1.2e-06 1.35e-06 1.15e-06 1.1e-06 1.3e-06 1.3e-06 1e-06 1.05e-06 1.4e-06
33 1.25e-06 7e-07 1.6e-06 6.5e-07 1.5e-06 1.15e-06 1.2e-06 1e-06 1.05e-06 1.1e-06 6.5e-07 1.55e-06 8.5e-07 1.05e-06 8e-07 1.05e-06 5.5e-07 1.2e-06 1.45e-06 6.5e-07 7e-07 1.2e-06 5.5e-07 1e-06 1.15e-06 1.3e-06 1.45e-06 9.5e-07 1.2e-06 9.5e-07 1.05e-06 1.35e-06 1.35e-06 9e-07 1.45e-06 1e-06 8.5e-07 1.45e-06 8.5e-07 1.45e-06 1.25e-06
34 9e-07 1.4e-06 1.15e-06 1.55e-06 1.3e-06 9.5e-07 1.1e-06 1.4e-06 8.5e-07 1.2e-06 1.35e-06 1.2e-06 1.3e-06 1.1e-06 1.2e-06 1.2e-06 1.45e-06 8.5e-07 9e-07 1.2e-06 1.35e-06 1.1e-06 1.15e-06 1.15e-06 1.15e-06 9e-07 9e-07 1.3e-06 1.1e-06 1.5e-06 1.05e-06 9.5e-07 1.15e-06 1.45e-06 1.4e-06 1.15e-06 1.3e-06 1.15e-06 1.15e-06 9.5e-07 1.25e-06
35 9.5e-07 6.5e-07 1.5e-06 1e-06 1.5e-06 6.5e-07 1.2e-06 9.5e-07 7e-07 1.15e-06 8.5e-07 1.4e-06 8e-07 8.5e-07 7.5e-07 1.25e-06 7e-07 7e-07 1e-06 6e-07 7e-07 9.5e-07 6.5e-07 6e-07 1e-06 9.5e-07 1e-06 1.25e-06 1.2e-06 7e-07 1.05e-06 9.5e-07 1.1e-06 1e-06 1.15e-06 9e-07 1.25e-06 1.35e-06 7e-07 1.3e-06 1e-06
36 1.25e-06 1.15e-06 1.35e-06 1e-06 1.35e-06 1.2e-06 1.25e-06 1.15e-06 1.1e-06 1.2e-06 1.15e-06 1.45e-06 1.3e-06 1.1e-06 9.5e-07 1e-06 1e-06 1.25e-06 1.3e-06 1.1e-06 1.05e-06 1.25e-06 1e-06 1.25e-06 1.2e-06 1.15e-06 1.3e-06 9.5e-07 1.25e-06 1.4e-06 1.1e-06 1.2e-06 1.3e-06 8.5e-07 1.3e-06 1.25e-06 1.4e-06 1.1e-06 1.15e-06 1.1e-06 1.3e-06
37 1e-06 1.6e-06 1.35e-06 1.55e-06 1.45e-06 1.1e-06 1.4e-06 1.4e-06 1e-06 1.15e-06 1.5e-06 1.3e-06 1.65e-06 1.05e-06 1.2e-06 1.25e-06 1.55e-06 1.1e-06 1.15e-06 1.45e-06 1.45e-06 1.35e-06 1.35e-06 1.2e-06 1.4e-06 1.05e-06 1.15e-06 1.05e-06 1.4e-06 1.7e-06 1.25e-06 9e-07 1.3e-06 1.45e-06 1.15e-06 1.35e-06 1.1e-06 1.2e-06 1.25e-06 8.5e-07 1.35e-06
38 8.5e-07 8.5e-07 1.4e-06 1e-06 1.4e-06 6.5e-07 1.1e-06 9.5e-07 6e-07 1e-06 7e-07 1.3e-06 9e-07 9.5e-07 7.5e-07 1.15e-06 8e-07 8e-07 1.1e-06 7e-07 9e-07 1.05e-06 6e-07 8e-07 1.1e-06 8.5e-07 1.1e-06 1.1e-06 1.1e-06 9e-07 9.5e-07 1.05e-06 1e-06 8.5e-07 1.15e-06 7e-07 1.15e-06 1.25e-06 9e-07 1.2e-06 1.1e-06
39 9.5e-07 1.6e-06 8e-07 1.55e-06 8.5e-07 1.05e-06 1.05e-06 1.35e-06 9e-07 1.05e-06 1.5e-06 1.05e-06 1.65e-06 9.5e-07 1.3e-06 9e-07 1.55e-06 1.15e-06 8.5e-07 1.45e-06 1.45e-06 1e-06 1.35e-06 1.2e-06 1.05e-06 6.5e-07 8.5e-07 9.5e-07 1.05e-06 1.65e-06 9e-07 8.5e-07 1.05e-06 1.45e-06 9.5e-07 1.3e-06 1.1e-06 8.5e-07 1.2e-06 8e-07 1.25e-06
40 1.25e-06 1.1e-06 1.55e-06 1.3e-06 1.3e-06 1.1e-06 1.35e-06 1.3e-06 1.05e-06 1.3e-06 1.2e-06 1.6e-06 1.2e-06 1.05e-06 1.15e-06 1.3e-06 1.15e-06 1e-06 1.1e-06 1e-06 1.05e-06 1.15e-06 1e-06 1.05e-06 1.2e-06 1.15e-06 1.1e-06 1.3e-06 1.35e-06 9.5e-07 1.2e-06 1.05e-06 1.4e-06 1.25e-06 1.25e-06 1e-06 1.3e-06 1.35e-06 1.1e-06 1.25e-06 1.8e-06
