 slim_761959867 slim_761959857 slim_761959889 slim_761959880 slim_761959871 slim_761959870 slim_761959859 slim_761959868 slim_761959864 slim_761959873 slim_761959881 slim_761959861 slim_761959866 slim_761959862 slim_761959863 slim_761959877 slim_761959855 slim_761959874 slim_761959875 slim_761959865 slim_761959858 slim_761959869 slim_761959872 slim_761959887 slim_761959860 slim_761959879 slim_761959890 slim_761959876 slim_761959888 slim_761959886 slim_761959882 slim_761959856 slim_761959885 slim_761959878 slim_761959884 slim_761959883
10 1.5e-06 1.2e-06 1.85e-06 7e-07 1.65e-06 1.35e-06 8.5e-07 1.65e-06 1.35e-06 1.25e-06 1.4e-06 1.65e-06 1.2e-06 1e-06 1.65e-06 1.1e-06 2.25e-06 1.75e-06 1.95e-06 1.9e-06 1.2e-06 1.45e-06 1.05e-06 1.1e-06 9.5e-07 9e-07 8e-07 2.25e-06 8.5e-07 1e-06 1.6e-06 2.05e-06 9e-07 2.45e-06 1.85e-06 1e-06
11 2.2e-06 1.5e-06 1.9e-06 1.65e-06 1.95e-06 2.05e-06 1.9e-06 2.05e-06 1.55e-06 1.95e-06 1.65e-06 2.4e-06 2.15e-06 1.35e-06 1.65e-06 1.8e-06 1.55e-06 1.6e-06 2.55e-06 1.65e-06 1.85e-06 1.9e-06 1.75e-06 1.8e-06 1.95e-06 1.9e-06 1.7e-06 1.55e-06 1.75e-06 1.6e-06 1.85e-06 1.6e-06 2e-06 1.55e-06 1.7e-06 1.8e-06
12 1.45e-06 1.75e-06 1.9e-06 1.2e-06 1.85e-06 1.05e-06 1.05e-06 1.75e-06 1.9e-06 1.2e-06 1.2e-06 2.15e-06 1.2e-06 1.4e-06 1.85e-06 1.15e-06 2.6e-06 1.65e-06 2.05e-06 2.1e-06 1.25e-06 1.75e-06 1.2e-06 8e-07 9e-07 8.5e-07 1.3e-06 2.6e-06 1.35e-06 1.45e-06 1.5e-06 2.6e-06 7.5e-07 2.75e-06 2.15e-06 8.5e-07
13 1.6e-06 1.1e-06 1.65e-06 1e-06 1.45e-06 1.25e-06 1.25e-06 2e-06 1.1e-06 1.35e-06 1e-06 1.35e-06 1.4e-06 1e-06 1.4e-06 1.05e-06 2.25e-06 1.75e-06 2.45e-06 1.65e-06 1.45e-06 1.65e-06 1.05e-06 1e-06 1.25e-06 1.2e-06 1.05e-06 2.25e-06 1.1e-06 8e-07 1.3e-06 1.95e-06 1.35e-06 2.25e-06 1.8e-06 1.1e-06
14 1.9e-06 1.75e-06 1.8e-06 1.65e-06 1.7e-06 1.8e-06 1.85e-06 2.2e-06 1.3e-06 1.65e-06 1.65e-06 1.65e-06 1.85e-06 1.4e-06 2.1e-06 1.85e-06 2.05e-06 1.65e-06 1.9e-06 1.7e-06 1.55e-06 1.95e-06 1.75e-06 1.55e-06 1.7e-06 1.65e-06 1.75e-06 2.05e-06 1.8e-06 1.75e-06 1.5e-06 2.3e-06 1.7e-06 1.4e-06 1.2e-06 1.6e-06
15 1.75e-06 1.35e-06 2.05e-06 1.1e-06 1.85e-06 1.3e-06 1.15e-06 1.95e-06 1.55e-06 1.5e-06 1.1e-06 1.8e-06 1.15e-06 1.05e-06 1.85e-06 1.7e-06 2.5e-06 2e-06 2.4e-06 2.05e-06 1.5e-06 1.65e-06 1.25e-06 1.05e-06 1.2e-06 1.15e-06 1.15e-06 2.5e-06 1.2e-06 1.05e-06 1.6e-06 2.2e-06 1.3e-06 2.7e-06 2.2e-06 1.2e-06
16 2.55e-06 1.8e-06 2.05e-06 2.25e-06 2.3e-06 2.65e-06 2.3e-06 1.7e-06 2.05e-06 2.3e-06 2.25e-06 1.55e-06 2.6e-06 2.25e-06 2.05e-06 2.5e-06 1.6e-06 1.65e-06 2.15e-06 1.7e-06 2.35e-06 1.95e-06 2.5e-06 2.4e-06 2.4e-06 2.35e-06 2.35e-06 8.5e-07 2.4e-06 2.3e-06 2.6e-06 1e-06 2.4e-06 1.35e-06 2.05e-06 2.35e-06
17 1.9e-06 1.95e-06 1.75e-06 1.75e-06 1.95e-06 1.8e-06 1.8e-06 1.85e-06 1.9e-06 1.65e-06 1.75e-06 1.6e-06 1.65e-06 1.75e-06 1.65e-06 2e-06 1.65e-06 2.5e-06 2.2e-06 1.7e-06 1.6e-06 2e-06 1.7e-06 1.55e-06 1.65e-06 1.6e-06 1.85e-06 1.65e-06 1.9e-06 2e-06 1.75e-06 2e-06 1.45e-06 1.6e-06 1.65e-06 1.45e-06
18 2.15e-06 1.95e-06 2.4e-06 1.95e-06 1.7e-06 2.5e-06 1.85e-06 1.5e-06 1.95e-06 1.9e-06 1.95e-06 2.55e-06 2.05e-06 2.45e-06 1.9e-06 2.4e-06 2.15e-06 2.2e-06 1e-07 2.25e-06 2.15e-06 1.9e-06 2.4e-06 2.25e-06 1.85e-06 1.8e-06 2.05e-06 2.15e-06 2.1e-06 2.35e-06 2.9e-06 2.2e-06 1.65e-06 2.1e-06 1.9e-06 2.05e-06
19 2.3e-06 2e-06 1.9e-06 1.9e-06 2.15e-06 2.15e-06 2e-06 2e-06 1.85e-06 2.05e-06 1.9e-06 1.65e-06 2.1e-06 1.65e-06 1.7e-06 2.05e-06 1.7e-06 1.7e-06 2.25e-06 2.6e-06 1.85e-06 1.95e-06 2.15e-06 1.9e-06 1.95e-06 1.9e-06 2e-06 1.7e-06 2.05e-06 1.85e-06 1.9e-06 2e-06 2e-06 1.65e-06 1.85e-06 2e-06
20 1.65e-06 1.8e-06 1.95e-06 1.2e-06 2e-06 1.45e-06 1.2e-06 1.9e-06 1.8e-06 1.4e-06 1.2e-06 1.85e-06 1.25e-06 1.45e-06 1.55e-06 1.5e-06 2.35e-06 1.6e-06 2.15e-06 1.85e-06 1.8e-06 1.75e-06 1.45e-06 1.2e-06 1.1e-06 1.05e-06 1.3e-06 2.35e-06 1.35e-06 1.55e-06 1.25e-06 2.65e-06 1e-06 2.1e-06 1.55e-06 1.2e-06
21 2.05e-06 1.5e-06 2.15e-06 1.45e-06 2.05e-06 1.9e-06 1.35e-06 1.65e-06 1.7e-06 1.8e-06 1.45e-06 1.9e-06 1.75e-06 1.65e-06 1.95e-06 1.65e-06 1.95e-06 2e-06 1.9e-06 1.95e-06 1.75e-06 2.1e-06 1.85e-06 1.65e-06 1.55e-06 1.5e-06 1.55e-06 1.95e-06 1.6e-06 1.45e-06 2.15e-06 1.85e-06 1.6e-06 2.25e-06 2.2e-06 1.65e-06
22 1.6e-06 1.4e-06 1.9e-06 1.05e-06 1.55e-06 1.3e-06 1.2e-06 1.95e-06 1.5e-06 1.35e-06 1.05e-06 1.75e-06 1.2e-06 1.05e-06 1.75e-06 1.25e-06 2.5e-06 1.7e-06 2.4e-06 2.15e-06 1.45e-06 1.85e-06 1.7e-06 1.05e-06 1.2e-06 1.15e-06 1.05e-06 2.5e-06 1.1e-06 1.15e-06 1.55e-06 2.25e-06 1.05e-06 2.6e-06 2e-06 9.5e-07
23 1e-06 1.5e-06 1.65e-06 1.1e-06 1.65e-06 2.5e-07 1.1e-06 1.85e-06 1.5e-06 7.5e-07 1.1e-06 1.8e-06 8e-07 1e-06 1.55e-06 1.05e-06 2.4e-06 1.55e-06 2.25e-06 1.9e-06 1.2e-06 1.65e-06 1.05e-06 0.0 6e-07 5.5e-07 1.2e-06 2.4e-06 1.25e-06 1.2e-06 1.15e-06 2.35e-06 9e-07 2.45e-06 1.95e-06 5e-07
24 1.2e-06 1.55e-06 1.8e-06 9.5e-07 1.75e-06 8.5e-07 9e-07 1.65e-06 1.7e-06 9.5e-07 9.5e-07 1.95e-06 9e-07 1.25e-06 1.7e-06 1.2e-06 2.4e-06 1.65e-06 1.85e-06 1.95e-06 1.1e-06 1.55e-06 1.2e-06 6e-07 1.2e-06 6e-07 1.05e-06 2.4e-06 1.1e-06 1.3e-06 1.5e-06 2.4e-06 7e-07 2.55e-06 1.95e-06 7.5e-07
25 1.15e-06 1.5e-06 1.75e-06 9e-07 1.7e-06 8e-07 8.5e-07 1.6e-06 1.65e-06 9e-07 9e-07 1.9e-06 8.5e-07 1.2e-06 1.65e-06 1.15e-06 2.35e-06 1.6e-06 1.8e-06 1.9e-06 1.05e-06 1.5e-06 1.15e-06 5.5e-07 6e-07 1.1e-06 1e-06 2.35e-06 1.05e-06 1.25e-06 1.45e-06 2.35e-06 6.5e-07 2.5e-06 1.9e-06 7e-07
26 1.6e-06 1.25e-06 1.95e-06 8e-07 1.65e-06 1.45e-06 9.5e-07 1.75e-06 1.45e-06 1.35e-06 8e-07 1.7e-06 1.3e-06 1.05e-06 1.75e-06 1.15e-06 2.35e-06 1.85e-06 2.05e-06 2e-06 1.3e-06 1.55e-06 1.05e-06 1.2e-06 1.05e-06 1e-06 1.6e-06 2.35e-06 8.5e-07 1e-06 1.7e-06 2.1e-06 1e-06 2.55e-06 1.95e-06 1.1e-06
27 2.55e-06 1.85e-06 2.05e-06 2.25e-06 2.3e-06 2.65e-06 2.3e-06 1.7e-06 2.05e-06 2.3e-06 2.25e-06 1.55e-06 2.6e-06 2.25e-06 2.05e-06 2.5e-06 8.5e-07 1.65e-06 2.15e-06 1.7e-06 2.35e-06 1.95e-06 2.5e-06 2.4e-06 2.4e-06 2.35e-06 2.35e-06 1.6e-06 2.4e-06 2.3e-06 2.6e-06 1.05e-06 2.4e-06 1.35e-06 2.05e-06 2.35e-06
28 1.65e-06 1.3e-06 2e-06 8.5e-07 1.7e-06 1.5e-06 1e-06 1.8e-06 1.5e-06 1.4e-06 8.5e-07 1.75e-06 1.35e-06 1.1e-06 1.8e-06 1.2e-06 2.4e-06 1.9e-06 2.1e-06 2.05e-06 1.35e-06 1.6e-06 1.1e-06 1.25e-06 1.1e-06 1.05e-06 8.5e-07 2.4e-06 1.7e-06 1.05e-06 1.75e-06 2.15e-06 1.05e-06 2.6e-06 2e-06 1.15e-06
29 1.8e-06 1.1e-06 2.05e-06 1e-06 1.55e-06 1.45e-06 1.05e-06 1.85e-06 1.35e-06 1.55e-06 1e-06 1.6e-06 1.45e-06 8e-07 1.75e-06 1.05e-06 2.3e-06 2e-06 2.35e-06 1.85e-06 1.55e-06 1.45e-06 1.15e-06 1.2e-06 1.3e-06 1.25e-06 1e-06 2.3e-06 1.05e-06 1.2e-06 1.65e-06 1.9e-06 1.4e-06 2.55e-06 2.1e-06 1.3e-06
30 1.9e-06 2e-06 1.75e-06 1.6e-06 2.15e-06 1.4e-06 1.7e-06 2.45e-06 1.7e-06 1.65e-06 1.6e-06 1.85e-06 1.5e-06 1.3e-06 1.5e-06 1.6e-06 2.6e-06 1.75e-06 2.9e-06 1.9e-06 1.25e-06 2.15e-06 1.55e-06 1.15e-06 1.5e-06 1.45e-06 1.7e-06 2.6e-06 1.75e-06 1.65e-06 1.5e-06 2.85e-06 1.55e-06 2.15e-06 1.7e-06 1.4e-06
31 2.55e-06 1.4e-06 2.1e-06 2.05e-06 2.1e-06 2.6e-06 2.15e-06 1.65e-06 1.85e-06 2.3e-06 2.05e-06 1.6e-06 2.6e-06 1.95e-06 2.3e-06 2.2e-06 1e-06 2e-06 2.2e-06 2e-06 2.65e-06 1.85e-06 2.25e-06 2.35e-06 2.4e-06 2.35e-06 2.1e-06 1.05e-06 2.15e-06 1.9e-06 2.85e-06 1.1e-06 2.45e-06 1.95e-06 2.55e-06 2.3e-06
32 1.25e-06 1.6e-06 1.75e-06 9e-07 1.65e-06 1.15e-06 8e-07 1.5e-06 1.8e-06 1e-06 9e-07 2e-06 7.5e-07 1.35e-06 1.7e-06 1.3e-06 2.4e-06 1.45e-06 1.65e-06 2e-06 1e-06 1.6e-06 1.05e-06 9e-07 7e-07 6.5e-07 1e-06 2.4e-06 1.05e-06 1.4e-06 1.55e-06 2.45e-06 8e-07 2.55e-06 1.85e-06 7e-07
33 2.6e-06 2.2e-06 2.15e-06 2.45e-06 2.2e-06 2.7e-06 2.65e-06 2.3e-06 1.8e-06 2.35e-06 2.45e-06 1.55e-06 2.75e-06 2.25e-06 1.4e-06 2.7e-06 1.35e-06 1.6e-06 2.1e-06 1.65e-06 2.1e-06 2.25e-06 2.6e-06 2.45e-06 2.55e-06 2.5e-06 2.55e-06 1.35e-06 2.6e-06 2.55e-06 2.15e-06 1.95e-06 2.55e-06 1.3e-06 1.2e-06 2.45e-06
34 2.15e-06 2e-06 2.15e-06 1.85e-06 1.9e-06 2.2e-06 2.05e-06 2.3e-06 1.65e-06 1.9e-06 1.85e-06 1.7e-06 2.15e-06 1.8e-06 1.2e-06 2.2e-06 2.05e-06 1.65e-06 1.9e-06 1.85e-06 1.55e-06 2.2e-06 2e-06 1.95e-06 1.95e-06 1.9e-06 1.95e-06 2.05e-06 2e-06 2.1e-06 1.7e-06 2.55e-06 1.85e-06 1.2e-06 1.7e-06 1.85e-06
35 1.15e-06 1.45e-06 1.7e-06 1e-06 1.6e-06 7.5e-07 1e-06 1.7e-06 1.55e-06 9e-07 1e-06 1.8e-06 8.5e-07 1.1e-06 1.6e-06 1.2e-06 2.35e-06 1.45e-06 2.05e-06 2e-06 1.2e-06 1.65e-06 9.5e-07 5e-07 7.5e-07 7e-07 1.1e-06 2.35e-06 1.15e-06 1.3e-06 1.4e-06 2.3e-06 7e-07 2.45e-06 1.85e-06 1e-06
