 slim_762403457 slim_762403458 slim_762403437 slim_762403468 slim_762403455 slim_762403426 slim_762403459 slim_762403425 slim_762403434 slim_762403453 slim_762403431 slim_762403460 slim_762403456 slim_762403465 slim_762403454 slim_762403430 slim_762403466 slim_762403442 slim_762403452 slim_762403449 slim_762403438 slim_762403444 slim_762403448 slim_762403461 slim_762403429 slim_762403445 slim_762403432 slim_762403462 slim_762403451 slim_762403439 slim_762403436 slim_762403450 slim_762403463 slim_762403464 slim_762403441 slim_762403433 slim_762403440 slim_762403443 slim_762403428 slim_762403435 slim_762403446 slim_762403427 slim_762403467 slim_762403447
10 1.35e-06 1.1e-06 1.4e-06 1.2e-06 1.6e-06 1.3e-06 1.3e-06 1.1e-06 1.5e-06 1.35e-06 1.8e-06 1.1e-06 1.6e-06 1.35e-06 1.65e-06 1.2e-06 1.55e-06 1.65e-06 1.6e-06 1.55e-06 1.5e-06 1.35e-06 1.45e-06 1.35e-06 1.65e-06 2e-06 1.5e-06 1.4e-06 1.6e-06 1.4e-06 1.5e-06 1.3e-06 1.1e-06 1.3e-06 1.35e-06 1.7e-06 1.5e-06 1.65e-06 1.8e-06 1.5e-06 1.35e-06 1.3e-06 1.6e-06 1.45e-06
11 1.2e-06 1.05e-06 1.2e-06 1.2e-06 1.4e-06 9.5e-07 1.3e-06 1.15e-06 1.45e-06 1.1e-06 1.1e-06 1.7e-06 1.55e-06 1.25e-06 1.4e-06 1.05e-06 1.5e-06 1.65e-06 1.45e-06 1.55e-06 1.45e-06 1.15e-06 1.4e-06 1.05e-06 1.65e-06 1.95e-06 1.55e-06 1.1e-06 1.6e-06 1.2e-06 1.4e-06 1.35e-06 1.1e-06 1.25e-06 1.35e-06 1.7e-06 1.35e-06 1.6e-06 1.75e-06 1.45e-06 1.3e-06 1.3e-06 1.6e-06 1.3e-06
12 1.1e-06 1.2e-06 1.25e-06 1.75e-06 1.7e-06 1.25e-06 1.45e-06 1.3e-06 1.6e-06 1.65e-06 1.6e-06 1.55e-06 2.1e-06 1.6e-06 1.75e-06 1.25e-06 1.4e-06 1.65e-06 1.75e-06 1.75e-06 1.05e-06 1.05e-06 1.2e-06 1.15e-06 1.7e-06 2.25e-06 1.7e-06 1.2e-06 1.45e-06 1.5e-06 1.6e-06 1.05e-06 1.6e-06 1.15e-06 1.5e-06 1.5e-06 1.1e-06 1.9e-06 2.05e-06 1.35e-06 1.3e-06 1.45e-06 1.65e-06 1.6e-06
13 1.1e-06 1.3e-06 1.15e-06 1.2e-06 1.75e-06 1.35e-06 1.35e-06 1.45e-06 1.45e-06 1.45e-06 1.35e-06 1.25e-06 1.6e-06 2.1e-06 1.8e-06 1.4e-06 1.6e-06 1.65e-06 1.4e-06 1.75e-06 1.5e-06 1.1e-06 1.4e-06 1.2e-06 1.65e-06 2.25e-06 1.6e-06 1.25e-06 1.75e-06 1.4e-06 1.4e-06 1.55e-06 1.15e-06 1.15e-06 1.4e-06 1.85e-06 1.15e-06 1.85e-06 1.9e-06 1.55e-06 1.6e-06 1.35e-06 1.7e-06 1.35e-06
14 1.7e-06 1.55e-06 1.7e-06 1.7e-06 1.25e-06 1.35e-06 1.85e-06 1.55e-06 1.8e-06 1.4e-06 1.65e-06 1.4e-06 1.75e-06 1.8e-06 2.5e-06 1.4e-06 1.75e-06 2.05e-06 1.8e-06 1.4e-06 1.65e-06 1.6e-06 1.65e-06 1.5e-06 2.05e-06 1.3e-06 2.05e-06 1.55e-06 1.85e-06 1.7e-06 1.95e-06 1.55e-06 1.6e-06 1.7e-06 1.9e-06 1.95e-06 1.85e-06 1.55e-06 1.7e-06 1.7e-06 1.55e-06 1.85e-06 1.9e-06 1.65e-06
15 7.5e-07 6.5e-07 7.5e-07 1.6e-06 1.35e-06 4e-07 9e-07 5.5e-07 1.25e-06 8.5e-07 1.2e-06 1.05e-06 1.25e-06 1.4e-06 1.4e-06 6e-07 1.3e-06 1.2e-06 1.25e-06 1.8e-06 1.15e-06 6.5e-07 1.2e-06 6e-07 1.5e-06 2.4e-06 9.5e-07 6.5e-07 1.35e-06 7.5e-07 1.05e-06 1.05e-06 1.5e-06 1.05e-06 9.5e-07 1.45e-06 9e-07 1.65e-06 1.8e-06 1.25e-06 8.5e-07 9e-07 1.45e-06 1.1e-06
16 1.15e-06 1.25e-06 1.35e-06 1.55e-06 1.7e-06 1.3e-06 1.35e-06 1.35e-06 1.6e-06 1.65e-06 1.55e-06 1.5e-06 1.4e-06 1.6e-06 1.75e-06 1.3e-06 2e-06 1.6e-06 1.8e-06 1.6e-06 1.3e-06 1.15e-06 1.1e-06 1.25e-06 1.4e-06 2.2e-06 1.6e-06 1.25e-06 1.5e-06 1.4e-06 1.3e-06 1.25e-06 1.4e-06 1.15e-06 1.4e-06 1.6e-06 1.3e-06 1.75e-06 1.9e-06 1.1e-06 1.35e-06 1.35e-06 1.3e-06 1.65e-06
17 1.2e-06 1.2e-06 1.1e-06 1.8e-06 2e-06 1.25e-06 1e-06 1.25e-06 1.35e-06 1.6e-06 1.65e-06 1.65e-06 1.65e-06 1.65e-06 2.05e-06 1.2e-06 1.6e-06 1.7e-06 1.65e-06 2.25e-06 1.55e-06 1.2e-06 1.5e-06 1.2e-06 1.55e-06 2.85e-06 1.15e-06 1.25e-06 1.45e-06 1.05e-06 1.2e-06 1.5e-06 1.8e-06 1.4e-06 1.05e-06 1.55e-06 1.25e-06 1.85e-06 1.9e-06 1.65e-06 1.3e-06 1e-06 1.45e-06 1.6e-06
18 1.05e-06 1.25e-06 1.1e-06 1.7e-06 1.75e-06 1.2e-06 1.35e-06 1.35e-06 1.4e-06 1.05e-06 1.6e-06 1.45e-06 1.75e-06 1.4e-06 1.8e-06 1.25e-06 1.8e-06 1.65e-06 2e-06 2.05e-06 1.65e-06 1e-06 1.6e-06 1.1e-06 1.9e-06 2.4e-06 1.6e-06 1.15e-06 1.95e-06 1.35e-06 1.4e-06 1.7e-06 1.65e-06 1.35e-06 1.4e-06 2.05e-06 1.1e-06 1.95e-06 2e-06 1.75e-06 1.55e-06 1.35e-06 1.95e-06 1.05e-06
19 1.95e-06 1.75e-06 2.05e-06 1.25e-06 1.35e-06 1.9e-06 2.05e-06 1.9e-06 1.95e-06 1.8e-06 1.55e-06 1.55e-06 1.75e-06 1.75e-06 1.4e-06 1.8e-06 1.6e-06 2.25e-06 2.05e-06 1.8e-06 1.65e-06 1.9e-06 1.5e-06 1.95e-06 1.85e-06 9.5e-07 2.25e-06 2e-06 1.85e-06 2.1e-06 2.1e-06 1.5e-06 1.1e-06 1.5e-06 2.1e-06 1.95e-06 2.1e-06 1.5e-06 1.65e-06 1.55e-06 1.75e-06 2.05e-06 1.75e-06 1.9e-06
20 1e-06 1.1e-06 1.15e-06 1.65e-06 1.6e-06 1.15e-06 1.35e-06 1.2e-06 1.5e-06 1.55e-06 1.5e-06 1.45e-06 1.05e-06 1.5e-06 1.65e-06 1.15e-06 1.3e-06 1.55e-06 1.65e-06 1.65e-06 1.9e-06 9.5e-07 1.1e-06 1.05e-06 1.6e-06 2.15e-06 1.6e-06 1.1e-06 1.35e-06 1.4e-06 1.5e-06 9.5e-07 1.5e-06 1.05e-06 1.4e-06 1.45e-06 1.05e-06 1.8e-06 1.95e-06 1.25e-06 1.2e-06 1.35e-06 1.55e-06 1.5e-06
21 2e-07 6.5e-07 4.5e-07 1.7e-06 1.55e-06 5.5e-07 8.5e-07 7.5e-07 1e-06 1e-06 1.35e-06 1.15e-06 1.05e-06 1.1e-06 1.6e-06 6.5e-07 1.15e-06 1.2e-06 1e-06 1.9e-06 9.5e-07 3e-07 9.5e-07 3.5e-07 1.4e-06 2.65e-06 1.15e-06 4e-07 1.5e-06 8.5e-07 8.5e-07 1.1e-06 1.5e-06 6.5e-07 9e-07 1.6e-06 2.5e-07 1.8e-06 1.95e-06 1.1e-06 1e-06 8.5e-07 1.55e-06 8.5e-07
22 9.5e-07 1.15e-06 1.15e-06 1.45e-06 1.6e-06 1.2e-06 1.35e-06 1.25e-06 1.4e-06 1.55e-06 1.45e-06 1.4e-06 1.2e-06 1.4e-06 1.65e-06 1.2e-06 1.1e-06 1.5e-06 1.6e-06 1.5e-06 1.1e-06 9.5e-07 1.8e-06 1.05e-06 1.4e-06 2.1e-06 1.55e-06 1.1e-06 1.5e-06 1.4e-06 1.35e-06 1.15e-06 1.3e-06 9e-07 1.4e-06 1.6e-06 1e-06 1.75e-06 1.9e-06 1.05e-06 1.25e-06 1.35e-06 1.35e-06 1.45e-06
23 4e-07 7e-07 5.5e-07 1.7e-06 1.5e-06 4.5e-07 9e-07 7e-07 1.1e-06 9.5e-07 1.35e-06 1.05e-06 1.15e-06 1.2e-06 1.5e-06 6e-07 1.25e-06 1.2e-06 1.1e-06 1.95e-06 1.05e-06 3.5e-07 1.05e-06 7e-07 1.5e-06 2.65e-06 1.15e-06 4e-07 1.5e-06 8e-07 9.5e-07 1.15e-06 1.55e-06 8e-07 9.5e-07 1.6e-06 4.5e-07 1.8e-06 1.95e-06 1.2e-06 1e-06 9e-07 1.55e-06 9.5e-07
24 1.4e-06 1.4e-06 1.4e-06 1.45e-06 2e-06 1.55e-06 1.2e-06 1.55e-06 1.85e-06 1.85e-06 1.65e-06 1.65e-06 1.7e-06 1.65e-06 2.05e-06 1.5e-06 1.4e-06 1.55e-06 1.9e-06 1.85e-06 1.6e-06 1.4e-06 1.4e-06 1.5e-06 2.3e-06 2.55e-06 1.45e-06 1.55e-06 1.45e-06 1.3e-06 1.3e-06 1.5e-06 1.4e-06 1.35e-06 1.25e-06 1.55e-06 1.55e-06 1.85e-06 1.85e-06 1.45e-06 1.6e-06 1.25e-06 1.3e-06 1.85e-06
25 2.75e-06 2.45e-06 2.75e-06 1.75e-06 1.25e-06 2.5e-06 2.8e-06 2.55e-06 2.35e-06 2.05e-06 2e-06 1.95e-06 2.25e-06 2.25e-06 1.3e-06 2.4e-06 2.2e-06 2.85e-06 2.4e-06 9.5e-07 2.15e-06 2.65e-06 2.1e-06 2.65e-06 2.55e-06 2e-07 2.95e-06 2.7e-06 2.3e-06 2.75e-06 2.9e-06 2e-06 1.65e-06 2.35e-06 2.85e-06 2.4e-06 2.9e-06 1.45e-06 1.6e-06 2.15e-06 2.2e-06 2.8e-06 2.3e-06 2.25e-06
26 1.15e-06 1.1e-06 1.05e-06 1.7e-06 2e-06 1.15e-06 8.5e-07 1.1e-06 1.6e-06 1.5e-06 1.5e-06 1.55e-06 1.7e-06 1.6e-06 2.05e-06 9.5e-07 1.6e-06 1.15e-06 1.6e-06 2.25e-06 1.6e-06 1.15e-06 1.55e-06 1.15e-06 1.45e-06 2.95e-06 1.5e-06 1.2e-06 1.4e-06 9e-07 1.1e-06 1.5e-06 1.7e-06 1.35e-06 9e-07 1.5e-06 1.25e-06 1.85e-06 1.85e-06 1.65e-06 1.3e-06 9e-07 1.4e-06 1.55e-06
27 4.5e-07 7.5e-07 6e-07 1.75e-06 1.55e-06 5e-07 9.5e-07 7.5e-07 1.15e-06 1e-06 1.4e-06 1.1e-06 1.2e-06 1.25e-06 1.55e-06 6.5e-07 1.25e-06 1.25e-06 1.15e-06 2e-06 1.1e-06 4e-07 1.1e-06 4e-07 1.55e-06 2.7e-06 1.2e-06 8e-07 1.55e-06 8.5e-07 9.5e-07 1.2e-06 1.6e-06 8.5e-07 1e-06 1.65e-06 5e-07 1.85e-06 2e-06 1.25e-06 1.05e-06 9.5e-07 1.6e-06 1e-06
28 1.55e-06 1.3e-06 1.4e-06 1.55e-06 1.8e-06 1.4e-06 1.15e-06 1.4e-06 1.9e-06 1.75e-06 1.6e-06 1.6e-06 1.45e-06 1.75e-06 1.85e-06 1.35e-06 1.5e-06 1.45e-06 1.95e-06 1.85e-06 1.35e-06 1.5e-06 1.5e-06 1.5e-06 1.45e-06 2.3e-06 1.4e-06 1.55e-06 2.2e-06 1.2e-06 1.45e-06 1.15e-06 1.55e-06 1.55e-06 1.2e-06 1.2e-06 1.7e-06 1.7e-06 1.7e-06 1.55e-06 1.35e-06 1.2e-06 1.3e-06 1.9e-06
29 9e-07 8.5e-07 7.5e-07 1.55e-06 1.65e-06 6.5e-07 6.5e-07 8.5e-07 1.45e-06 1.1e-06 1.4e-06 1.2e-06 1.5e-06 1.4e-06 1.7e-06 7.5e-07 1.4e-06 1.05e-06 1.35e-06 2.1e-06 1.4e-06 8.5e-07 1.4e-06 8e-07 1.3e-06 2.75e-06 9e-07 8.5e-07 1.2e-06 1.1e-06 8.5e-07 1.3e-06 1.55e-06 1.25e-06 7e-07 1.3e-06 1.05e-06 1.65e-06 1.65e-06 1.45e-06 1.1e-06 7e-07 1.25e-06 1.3e-06
30 8.5e-07 1e-06 8.5e-07 1.55e-06 1.9e-06 1e-06 8e-07 1.1e-06 1.45e-06 1.35e-06 1.5e-06 1.4e-06 1.6e-06 1.4e-06 1.95e-06 1.05e-06 1.3e-06 1.2e-06 1.4e-06 2.1e-06 1.5e-06 8.5e-07 1.35e-06 9.5e-07 1.3e-06 2.9e-06 1.1e-06 9.5e-07 1.45e-06 8.5e-07 1.4e-06 1.45e-06 1.5e-06 1.15e-06 8.5e-07 1.55e-06 1e-06 1.8e-06 1.85e-06 1.4e-06 1.3e-06 8e-07 1.35e-06 1.35e-06
31 1.15e-06 9e-07 1.25e-06 1.5e-06 1.5e-06 1.1e-06 1.15e-06 1.05e-06 1.55e-06 1.45e-06 1.3e-06 1.35e-06 1.05e-06 1.55e-06 1.55e-06 1.05e-06 1.25e-06 1.5e-06 1.7e-06 1.5e-06 9.5e-07 1.1e-06 1.15e-06 1.15e-06 1.5e-06 2e-06 1.5e-06 1.2e-06 1.15e-06 1.3e-06 1.45e-06 1.4e-06 1.35e-06 1.15e-06 1.2e-06 1.25e-06 1.3e-06 1.65e-06 1.8e-06 1.2e-06 1.05e-06 1.15e-06 1.4e-06 1.55e-06
32 1.5e-06 1.35e-06 1.5e-06 6e-07 1.55e-06 1.55e-06 1.45e-06 1.55e-06 1.65e-06 1.55e-06 1.1e-06 1.1e-06 1.6e-06 1.15e-06 1.6e-06 1.5e-06 1.4e-06 1.8e-06 1.65e-06 1.1e-06 1.5e-06 1.5e-06 1.3e-06 1.55e-06 1.4e-06 1.65e-06 1.7e-06 1.6e-06 1.55e-06 1.55e-06 1.5e-06 1.35e-06 1.1e-06 1.1e-06 1.5e-06 1.65e-06 1.65e-06 1.6e-06 1.65e-06 1.35e-06 1.6e-06 1.45e-06 1.4e-06 1.6e-06
33 6.5e-07 9.5e-07 9e-07 1.3e-06 1.65e-06 1.05e-06 1.15e-06 1.1e-06 1.25e-06 1.4e-06 1.3e-06 1.25e-06 1.15e-06 1.15e-06 1.7e-06 1.05e-06 1.15e-06 1.4e-06 1.35e-06 1.5e-06 1.05e-06 6.5e-07 9e-07 8e-07 1.35e-06 2.35e-06 1.35e-06 8.5e-07 1.55e-06 1.25e-06 1.15e-06 1.15e-06 1.1e-06 1.1e-06 1.2e-06 1.65e-06 6.5e-07 1.8e-06 1.95e-06 1.1e-06 1.25e-06 1.15e-06 1.45e-06 1.2e-06
34 9e-07 7.5e-07 8.5e-07 1.55e-06 1.85e-06 9.5e-07 5.5e-07 9.5e-07 1.45e-06 1.3e-06 1.35e-06 1.35e-06 1.5e-06 1.4e-06 1.9e-06 9.5e-07 1.4e-06 1.05e-06 1.4e-06 2.1e-06 1.4e-06 9e-07 1.4e-06 9.5e-07 1.25e-06 2.85e-06 9e-07 1e-06 1.2e-06 7e-07 8.5e-07 1.2e-06 1.5e-06 1.2e-06 1.1e-06 1.3e-06 1.05e-06 1.7e-06 1.7e-06 1.45e-06 1.15e-06 5.5e-07 1.25e-06 1.35e-06
35 1.65e-06 1.4e-06 1.5e-06 1.65e-06 1.9e-06 1.5e-06 1.25e-06 1.5e-06 2e-06 1.85e-06 1.7e-06 1.7e-06 1.5e-06 1.85e-06 1.95e-06 1.45e-06 1.6e-06 1.55e-06 2.05e-06 1.95e-06 1.45e-06 1.6e-06 1.6e-06 1.6e-06 1.55e-06 2.4e-06 1.5e-06 1.65e-06 1.2e-06 1.3e-06 1.55e-06 1.25e-06 1.65e-06 1.65e-06 1.3e-06 2.4e-06 1.8e-06 1.8e-06 1.8e-06 1.65e-06 1.45e-06 1.3e-06 1.4e-06 2e-06
36 2.5e-07 8.5e-07 5.5e-07 1.85e-06 1.8e-06 8e-07 1e-06 9.5e-07 1.05e-06 1.25e-06 1.5e-06 1.35e-06 1.1e-06 1.15e-06 1.85e-06 9e-07 1.3e-06 1.25e-06 1.1e-06 2.1e-06 1.05e-06 2.5e-07 1e-06 4.5e-07 1.55e-06 2.9e-06 1.25e-06 5e-07 1.7e-06 1.05e-06 1e-06 1.3e-06 1.65e-06 6.5e-07 1.05e-06 1.8e-06 2e-07 2e-06 2.15e-06 1.25e-06 1.2e-06 1e-06 1.7e-06 9e-07
37 1.85e-06 1.65e-06 1.8e-06 1.7e-06 1.5e-06 1.7e-06 1.65e-06 1.75e-06 1.9e-06 1.65e-06 1.65e-06 1.6e-06 1.9e-06 1.85e-06 1.55e-06 1.65e-06 1.75e-06 1.85e-06 1.95e-06 1.5e-06 1.8e-06 1.8e-06 1.75e-06 1.8e-06 1.85e-06 1.45e-06 1.85e-06 1.85e-06 1.7e-06 1.65e-06 1.8e-06 1.65e-06 1.6e-06 1.8e-06 1.7e-06 1.8e-06 2e-06 2.8e-06 1.55e-06 1.8e-06 1.65e-06 1.65e-06 1.7e-06 1.8e-06
38 2e-06 1.8e-06 1.85e-06 1.65e-06 1.65e-06 1.85e-06 1.65e-06 1.9e-06 2.05e-06 1.8e-06 1.8e-06 1.75e-06 2.05e-06 1.9e-06 1.7e-06 1.8e-06 1.9e-06 1.9e-06 2e-06 1.65e-06 1.95e-06 1.95e-06 1.9e-06 1.95e-06 1.85e-06 1.6e-06 1.85e-06 2e-06 1.7e-06 1.65e-06 1.85e-06 1.8e-06 1.65e-06 1.95e-06 1.7e-06 1.8e-06 2.15e-06 1.55e-06 3.1e-06 1.95e-06 1.8e-06 1.7e-06 1.7e-06 1.95e-06
39 1.05e-06 1.2e-06 1.3e-06 1.5e-06 1.65e-06 1.25e-06 1.4e-06 1.3e-06 1.55e-06 1.6e-06 1.5e-06 1.45e-06 1.35e-06 1.55e-06 1.7e-06 1.25e-06 1.1e-06 1.65e-06 1.75e-06 1.55e-06 1.25e-06 1.1e-06 1.05e-06 1.2e-06 1.45e-06 2.15e-06 1.65e-06 1.25e-06 1.55e-06 1.45e-06 1.4e-06 1.2e-06 1.35e-06 1.1e-06 1.45e-06 1.65e-06 1.25e-06 1.8e-06 1.95e-06 1.9e-06 1.3e-06 1.4e-06 1.35e-06 1.6e-06
40 1.05e-06 7.5e-07 1.1e-06 1.7e-06 1.5e-06 9e-07 1.1e-06 9.5e-07 1.4e-06 1.25e-06 1.35e-06 1.3e-06 1.3e-06 1.6e-06 1.55e-06 8.5e-07 1.35e-06 1.3e-06 1.55e-06 1.75e-06 1.2e-06 1e-06 1.25e-06 1e-06 1.6e-06 2.2e-06 1.3e-06 1.05e-06 1.35e-06 1.1e-06 1.3e-06 1.05e-06 1.6e-06 1.25e-06 1.15e-06 1.45e-06 1.2e-06 1.65e-06 1.8e-06 1.3e-06 1.2e-06 1.1e-06 1.45e-06 1.4e-06
41 8.5e-07 7e-07 8e-07 1.5e-06 1.8e-06 9e-07 5.5e-07 9e-07 1.4e-06 1.25e-06 1.3e-06 1.3e-06 1.45e-06 1.35e-06 1.85e-06 9e-07 1.35e-06 1e-06 1.35e-06 2.05e-06 1.35e-06 8.5e-07 1.35e-06 9e-07 1.25e-06 2.8e-06 9e-07 9.5e-07 1.2e-06 7e-07 8e-07 1.15e-06 1.45e-06 1.15e-06 5.5e-07 1.3e-06 1e-06 1.65e-06 1.7e-06 1.4e-06 1.1e-06 1e-06 1.25e-06 1.3e-06
42 1.55e-06 1.4e-06 1.45e-06 1.4e-06 1.85e-06 1.5e-06 1.2e-06 1.5e-06 1.85e-06 1.8e-06 1.6e-06 1.6e-06 1.65e-06 1.7e-06 1.9e-06 1.45e-06 1.3e-06 1.45e-06 1.95e-06 1.75e-06 1.55e-06 1.55e-06 1.35e-06 1.55e-06 1.3e-06 2.3e-06 1.4e-06 1.6e-06 1.3e-06 1.25e-06 1.35e-06 1.4e-06 1.4e-06 1.45e-06 1.25e-06 1.4e-06 1.7e-06 1.7e-06 1.7e-06 1.35e-06 1.45e-06 1.25e-06 2.2e-06 1.9e-06
43 9e-07 1.1e-06 1.05e-06 1.75e-06 1.6e-06 1.05e-06 1.3e-06 1.2e-06 1.25e-06 9.5e-07 1.45e-06 1.3e-06 1.6e-06 1.35e-06 1.65e-06 1.1e-06 1.65e-06 1.6e-06 1.05e-06 1.9e-06 1.5e-06 8.5e-07 1.45e-06 9.5e-07 1.85e-06 2.25e-06 1.55e-06 1e-06 1.9e-06 1.3e-06 1.35e-06 1.55e-06 1.6e-06 1.2e-06 1.35e-06 2e-06 9e-07 1.8e-06 1.95e-06 1.6e-06 1.4e-06 1.3e-06 1.9e-06 1.7e-06
