 slim_762139138 slim_762139150 slim_762139110 slim_762139145 slim_762139111 slim_762139114 slim_762139113 slim_762139115 slim_762139144 slim_762139112 slim_762139116 slim_762139143 slim_762139123 slim_762139132 slim_762139136 slim_762139147 slim_762139125 slim_762139118 slim_762139146 slim_762139148 slim_762139128 slim_762139127 slim_762139119 slim_762139149 slim_762139134 slim_762139140 slim_762139117 slim_762139122 slim_762139129 slim_762139139 slim_762139135 slim_762139126 slim_762139124 slim_762139130 slim_762139121 slim_762139142 slim_762139137 slim_762139141 slim_762139131 slim_762139133 slim_762139120
10 2.4e-06 2.55e-06 2.65e-06 2.3e-06 2.45e-06 2.45e-06 2.4e-06 2.45e-06 2.4e-06 2.35e-06 4e-06 2.4e-06 2.55e-06 2.6e-06 2.45e-06 2.45e-06 2.4e-06 2.45e-06 2.6e-06 2.55e-06 2.35e-06 2.7e-06 2.5e-06 2.35e-06 2.45e-06 2.25e-06 2.5e-06 2.5e-06 2.4e-06 2.55e-06 2.65e-06 2.35e-06 2.45e-06 2.25e-06 2.35e-06 2.45e-06 2.6e-06 2.35e-06 2.45e-06 2.55e-06 2.45e-06
11 1.2e-06 2.35e-06 2.05e-06 1.1e-06 1.45e-06 1.05e-06 1.2e-06 1.7e-06 1.15e-06 1.4e-06 2.4e-06 2e-07 1.75e-06 1.8e-06 1.3e-06 9e-07 8e-07 1.25e-06 1.6e-06 1.3e-06 9.5e-07 2.05e-06 1.3e-06 1.6e-06 8.5e-07 1.1e-06 1.5e-06 1.15e-06 1.4e-06 1.15e-06 1.55e-06 5.5e-07 1.25e-06 1.5e-06 1.35e-06 1.4e-06 2.15e-06 9.5e-07 1.25e-06 1.45e-06 8.5e-07
12 1.2e-06 3e-06 2e-06 1.05e-06 1.1e-06 1.55e-06 1.25e-06 1.15e-06 1.15e-06 1.2e-06 2.55e-06 1.75e-06 1.5e-06 8.5e-07 1.4e-06 1.65e-06 1.2e-06 1.15e-06 8.5e-07 1.25e-06 1.55e-06 2e-06 1.4e-06 2.35e-06 1.25e-06 1.4e-06 8e-07 1.6e-06 1.25e-06 1.3e-06 1.6e-06 1.7e-06 1.2e-06 2.25e-06 1.35e-06 1.1e-06 2e-06 1.5e-06 1.25e-06 2.15e-06 1.25e-06
13 1.25e-06 3.05e-06 2.05e-06 1.1e-06 1.15e-06 1.6e-06 1.3e-06 1.15e-06 1.2e-06 1.25e-06 2.6e-06 1.8e-06 8.5e-07 1.6e-06 1.45e-06 1.7e-06 1.25e-06 1.2e-06 8e-07 1.3e-06 1.6e-06 2.05e-06 1.4e-06 2.4e-06 1.25e-06 1.45e-06 8.5e-07 1.65e-06 1.3e-06 1.35e-06 1.6e-06 1.75e-06 1.25e-06 2.3e-06 1.4e-06 1.15e-06 2.05e-06 1.55e-06 1.25e-06 2.2e-06 1.25e-06
14 8.5e-07 2.65e-06 1.8e-06 1e-06 1.4e-06 1e-06 9e-07 1.25e-06 1.45e-06 1.3e-06 2.45e-06 1.3e-06 1.4e-06 1.45e-06 1.4e-06 1.25e-06 1.1e-06 1.05e-06 1.1e-06 1.15e-06 9e-07 1.9e-06 1.05e-06 1.75e-06 1.15e-06 8e-07 1e-06 1.25e-06 1.35e-06 1.2e-06 1.3e-06 1e-06 1.05e-06 1.6e-06 1.15e-06 1.4e-06 1.95e-06 8.5e-07 9e-07 1.45e-06 1.15e-06
15 1.15e-06 2.3e-06 1.9e-06 1.05e-06 1.4e-06 9.5e-07 1.15e-06 1.8e-06 1.4e-06 1.55e-06 2.45e-06 9e-07 1.65e-06 1.7e-06 1.25e-06 8e-07 1e-06 1e-06 1.3e-06 9e-07 9.5e-07 1.9e-06 1.1e-06 1.65e-06 1.05e-06 1.3e-06 1.2e-06 8e-07 1.35e-06 8e-07 1.35e-06 1e-06 1e-06 1.55e-06 1.5e-06 1.2e-06 2.3e-06 9e-07 1.2e-06 1.55e-06 1.05e-06
16 9e-07 2.5e-06 1.75e-06 8.5e-07 1.3e-06 1.05e-06 9.5e-07 1.35e-06 1.2e-06 1.3e-06 2.4e-06 8e-07 1.2e-06 1.25e-06 1.1e-06 1e-06 1.4e-06 9e-07 8e-07 9.5e-07 1.05e-06 1.75e-06 1.1e-06 1.8e-06 7.5e-07 1.05e-06 7.5e-07 1.1e-06 1.25e-06 9e-07 1.3e-06 9.5e-07 9.5e-07 1.7e-06 1.3e-06 1.25e-06 2.1e-06 1e-06 9.5e-07 1.6e-06 7.5e-07
17 9e-07 2.5e-06 1.7e-06 7e-07 1.1e-06 9e-07 9e-07 1.3e-06 1.3e-06 1.3e-06 2.45e-06 1.25e-06 1.15e-06 1.2e-06 1.05e-06 1e-06 9e-07 1.1e-06 7.5e-07 8e-07 9e-07 1.6e-06 1e-06 1.85e-06 9.5e-07 1.1e-06 6.5e-07 1e-06 1.05e-06 9e-07 1.3e-06 1.2e-06 7e-07 1.75e-06 1.3e-06 1.15e-06 2.1e-06 9.5e-07 9.5e-07 1.6e-06 9.5e-07
18 8e-07 2.85e-06 1.65e-06 8e-07 1.35e-06 1.25e-06 9e-07 1.1e-06 1.45e-06 1.4e-06 2.6e-06 1.6e-06 8.5e-07 8e-07 1.1e-06 1.3e-06 8e-07 7.5e-07 0.0 8e-07 1.35e-06 1.65e-06 1e-06 2.2e-06 7.5e-07 1.2e-06 2e-07 1.25e-06 1.3e-06 8.5e-07 1.15e-06 1.55e-06 8.5e-07 2.1e-06 1.45e-06 1.3e-06 2.25e-06 1.25e-06 7.5e-07 1.95e-06 7.5e-07
19 1e-06 2.6e-06 1.8e-06 9e-07 1.3e-06 1.05e-06 9.5e-07 1.45e-06 1.4e-06 1.45e-06 2.55e-06 1.3e-06 1.25e-06 1.3e-06 1.15e-06 9e-07 9.5e-07 8e-07 8e-07 1.2e-06 1.1e-06 1.75e-06 1e-06 1.95e-06 1e-06 1.25e-06 6.5e-07 9.5e-07 1.25e-06 8e-07 1.3e-06 1.3e-06 8.5e-07 1.85e-06 1.45e-06 1.15e-06 2.25e-06 1.05e-06 1.05e-06 1.75e-06 1e-06
20 8.5e-07 2.3e-06 1.8e-06 8e-07 1.15e-06 6.5e-07 9e-07 1.4e-06 1.3e-06 1.2e-06 2.35e-06 9.5e-07 1.55e-06 1.6e-06 9e-07 9.5e-07 1.05e-06 9e-07 1.35e-06 1.1e-06 9e-07 1.85e-06 1e-06 1.45e-06 1.1e-06 8e-07 1.25e-06 1e-06 1.05e-06 1.15e-06 1.3e-06 7e-07 9e-07 1.3e-06 1.05e-06 1.25e-06 1.85e-06 6e-07 9e-07 1.15e-06 1.1e-06
21 1.75e-06 1.7e-06 1.55e-06 1.65e-06 2.05e-06 1.85e-06 1.75e-06 2e-06 2.1e-06 2.1e-06 2.7e-06 2.05e-06 2e-06 2.05e-06 1.9e-06 1.9e-06 1.75e-06 1.6e-06 1.65e-06 1.75e-06 1.85e-06 2.9e-06 1.9e-06 2.05e-06 1.8e-06 1.9e-06 1.55e-06 1.85e-06 1.9e-06 1.85e-06 2e-06 2e-06 1.7e-06 1.95e-06 2e-06 2.05e-06 2.2e-06 1.8e-06 1.8e-06 2.4e-06 1.8e-06
22 1e-06 2.6e-06 1.85e-06 9.5e-07 1.35e-06 1.05e-06 9.5e-07 1.2e-06 1.4e-06 1.45e-06 2.5e-06 1.3e-06 1.4e-06 1.4e-06 1.05e-06 1.1e-06 1.1e-06 1e-06 1e-06 1e-06 1e-06 1.9e-06 1.6e-06 1.8e-06 1.1e-06 1.05e-06 1e-06 1.15e-06 1.3e-06 1e-06 1.2e-06 1.15e-06 1e-06 1.7e-06 1.3e-06 1.25e-06 2.1e-06 1e-06 1e-06 1.65e-06 1.1e-06
23 1.7e-06 1.6e-06 2e-06 1.7e-06 2.05e-06 1.55e-06 1.7e-06 2.15e-06 2e-06 2e-06 2.35e-06 1.6e-06 2.35e-06 2.4e-06 1.75e-06 1.65e-06 1.8e-06 1.85e-06 2.2e-06 1.95e-06 1.45e-06 2.05e-06 1.8e-06 2.4e-06 1.85e-06 1.6e-06 2.1e-06 1.75e-06 2e-06 1.95e-06 1.95e-06 1.45e-06 1.85e-06 1.25e-06 1.85e-06 2.05e-06 2.1e-06 1.45e-06 1.75e-06 2e-06 1.85e-06
24 9.5e-07 2.55e-06 1.8e-06 9e-07 1.35e-06 1.1e-06 1e-06 1.35e-06 1.25e-06 1.35e-06 2.45e-06 8.5e-07 1.25e-06 1.25e-06 1.15e-06 1.05e-06 7.5e-07 9.5e-07 7.5e-07 1e-06 1.1e-06 1.8e-06 1.1e-06 1.85e-06 1.5e-06 1.1e-06 8e-07 1.15e-06 1.3e-06 9.5e-07 1.3e-06 1e-06 1e-06 1.75e-06 1.35e-06 1.3e-06 2.15e-06 1.05e-06 9.5e-07 1.65e-06 7.5e-07
25 8e-07 2.55e-06 1.8e-06 9.5e-07 1.35e-06 9.5e-07 8.5e-07 1.15e-06 1.35e-06 1.1e-06 2.25e-06 1.1e-06 1.4e-06 1.45e-06 8e-07 1.3e-06 1.05e-06 1.1e-06 1.2e-06 1.25e-06 8e-07 1.9e-06 1.05e-06 1.6e-06 1.1e-06 1e-06 1.1e-06 1.35e-06 1.3e-06 1.3e-06 1.3e-06 8e-07 1.1e-06 1.45e-06 1e-06 1.4e-06 1.8e-06 8e-07 8.5e-07 1.3e-06 1.1e-06
26 7.5e-07 2.75e-06 1.6e-06 7.5e-07 1.25e-06 1.15e-06 7.5e-07 1.1e-06 1.35e-06 1.3e-06 2.5e-06 1.5e-06 8e-07 8.5e-07 1e-06 1.2e-06 7.5e-07 6.5e-07 2e-07 6.5e-07 1.25e-06 1.55e-06 1e-06 2.1e-06 8e-07 1.1e-06 2e-07 1.15e-06 1.2e-06 8e-07 1.2e-06 1.45e-06 7.5e-07 2e-06 1.35e-06 1.2e-06 2.15e-06 1.15e-06 8e-07 1.85e-06 8e-07
27 1.15e-06 2.35e-06 1.85e-06 1.05e-06 1.4e-06 1e-06 1.15e-06 1.75e-06 1.4e-06 1.55e-06 2.5e-06 1.15e-06 1.6e-06 1.65e-06 1.25e-06 8e-07 1.1e-06 1e-06 1.25e-06 9.5e-07 1e-06 1.85e-06 1.15e-06 1.75e-06 1.15e-06 1.35e-06 1.15e-06 9e-07 1.35e-06 9.5e-07 1.15e-06 1.15e-06 9e-07 1.65e-06 1.5e-06 1.25e-06 2.25e-06 8e-07 1.2e-06 1.55e-06 1.15e-06
28 1.25e-06 2.55e-06 1.9e-06 9.5e-07 1.05e-06 1.2e-06 1.25e-06 1.1e-06 1.2e-06 1.25e-06 2.4e-06 1.4e-06 1.25e-06 1.3e-06 1.35e-06 1.35e-06 1.25e-06 1.05e-06 1.3e-06 1.25e-06 1.05e-06 1.9e-06 1.3e-06 2e-06 1.3e-06 1.3e-06 1.2e-06 1.35e-06 1.6e-06 1.3e-06 1.6e-06 1.35e-06 1.05e-06 1.9e-06 1.05e-06 1.15e-06 1.9e-06 1.2e-06 1.3e-06 1.75e-06 1.3e-06
29 1.05e-06 2.6e-06 1.8e-06 9e-07 1.35e-06 1.15e-06 1.1e-06 1.5e-06 1.35e-06 1.55e-06 2.55e-06 1.15e-06 1.3e-06 1.35e-06 1.2e-06 8e-07 9e-07 9e-07 8.5e-07 8e-07 1.15e-06 1.85e-06 1e-06 1.95e-06 9.5e-07 1.3e-06 8e-07 9.5e-07 1.3e-06 1.1e-06 1.25e-06 1.25e-06 9e-07 1.85e-06 1.5e-06 1.15e-06 2.3e-06 1.1e-06 1.1e-06 1.8e-06 9.5e-07
30 1.2e-06 2.6e-06 1.9e-06 1.2e-06 1.65e-06 1.35e-06 1.25e-06 1.5e-06 1.65e-06 1.7e-06 2.65e-06 1.55e-06 1.6e-06 1.6e-06 1.3e-06 1.35e-06 1.3e-06 1.3e-06 1.15e-06 1.3e-06 1.3e-06 2e-06 1.2e-06 1.95e-06 1.3e-06 1.3e-06 1.2e-06 1.15e-06 1.6e-06 1.25e-06 2.1e-06 1.4e-06 1.3e-06 1.85e-06 1.55e-06 1.55e-06 2.3e-06 1.25e-06 1.2e-06 1.85e-06 1.3e-06
31 9.5e-07 2.35e-06 1.95e-06 1.05e-06 1.4e-06 8.5e-07 1e-06 1.5e-06 1.25e-06 1.25e-06 2.35e-06 5.5e-07 1.7e-06 1.75e-06 1e-06 1e-06 9.5e-07 1.2e-06 1.55e-06 1.3e-06 7e-07 2e-06 1.15e-06 1.45e-06 1e-06 8e-07 1.45e-06 1.15e-06 1.35e-06 1.25e-06 1.4e-06 9e-07 1.2e-06 1.3e-06 1.1e-06 1.4e-06 1.9e-06 7e-07 1e-06 1.2e-06 1e-06
32 9.5e-07 2.5e-06 1.7e-06 7e-07 1.1e-06 9.5e-07 9.5e-07 1.3e-06 1.25e-06 1.35e-06 2.45e-06 1.25e-06 1.2e-06 1.25e-06 1.05e-06 1e-06 9.5e-07 7e-07 8.5e-07 8.5e-07 9e-07 1.7e-06 1e-06 1.85e-06 1e-06 1.1e-06 7.5e-07 9e-07 1.05e-06 9e-07 1.3e-06 1.2e-06 1.1e-06 1.75e-06 1.3e-06 1.15e-06 2.1e-06 8.5e-07 1e-06 1.6e-06 1e-06
33 1.55e-06 1.5e-06 1.9e-06 1.6e-06 1.95e-06 1.45e-06 1.6e-06 2.05e-06 1.9e-06 1.85e-06 2.25e-06 1.5e-06 2.25e-06 2.3e-06 1.6e-06 1.55e-06 1.7e-06 1.75e-06 2.1e-06 1.85e-06 1.3e-06 1.95e-06 1.7e-06 1.25e-06 1.75e-06 1.45e-06 2e-06 1.65e-06 1.9e-06 1.85e-06 1.85e-06 1.3e-06 1.75e-06 2.2e-06 1.7e-06 1.95e-06 1.95e-06 1.3e-06 1.6e-06 1.85e-06 1.75e-06
34 1.1e-06 2.6e-06 1.95e-06 1.15e-06 1.25e-06 1.2e-06 1.15e-06 1e-06 1.25e-06 1.15e-06 2.35e-06 1.35e-06 1.35e-06 1.4e-06 1.15e-06 1.5e-06 1.3e-06 1.3e-06 1.45e-06 1.45e-06 1.05e-06 2e-06 1.3e-06 1.85e-06 1.35e-06 1e-06 1.35e-06 1.5e-06 1.05e-06 1.5e-06 1.55e-06 1.1e-06 1.3e-06 1.7e-06 1.7e-06 1.3e-06 1.7e-06 1.05e-06 1.15e-06 1.55e-06 1.35e-06
35 1.3e-06 2.7e-06 2.05e-06 1.05e-06 1e-06 1.3e-06 1.3e-06 1.35e-06 1.05e-06 1.2e-06 2.45e-06 1.4e-06 1.1e-06 1.15e-06 1.4e-06 1.2e-06 1.25e-06 1.15e-06 1.3e-06 1.15e-06 1.25e-06 2.05e-06 1.25e-06 2.05e-06 1.3e-06 1.4e-06 1.2e-06 1.25e-06 1.15e-06 1.15e-06 1.55e-06 1.4e-06 1.15e-06 1.95e-06 1.3e-06 1.8e-06 1.95e-06 1.25e-06 1.35e-06 1.9e-06 1.3e-06
36 1.9e-06 2.25e-06 2.15e-06 1.95e-06 1.9e-06 2e-06 1.95e-06 1.85e-06 1.9e-06 1.8e-06 2.6e-06 2.15e-06 2e-06 2.05e-06 1.95e-06 2.3e-06 2.1e-06 2.1e-06 2.25e-06 2.25e-06 1.85e-06 2.2e-06 2.1e-06 2.1e-06 2.15e-06 1.8e-06 2.15e-06 2.25e-06 1.9e-06 2.3e-06 2.3e-06 1.9e-06 2.1e-06 1.95e-06 1.7e-06 1.95e-06 3.3e-06 1.85e-06 1.95e-06 2.35e-06 2.15e-06
37 8e-07 2.3e-06 1.75e-06 9e-07 1.25e-06 7e-07 8.5e-07 1.4e-06 1.25e-06 1.2e-06 2.35e-06 9.5e-07 1.5e-06 1.55e-06 8.5e-07 9e-07 1e-06 9.5e-07 1.25e-06 1.05e-06 6e-07 1.8e-06 1e-06 1.45e-06 1.05e-06 8e-07 1.15e-06 8e-07 1.2e-06 1.1e-06 1.25e-06 7e-07 8.5e-07 1.3e-06 1.05e-06 1.25e-06 1.85e-06 9e-07 8.5e-07 1.15e-06 1.05e-06
38 7.5e-07 2.6e-06 1.75e-06 9e-07 1.35e-06 9.5e-07 8.5e-07 1.2e-06 1.4e-06 1.25e-06 2.45e-06 1.25e-06 1.25e-06 1.25e-06 9e-07 1.2e-06 9.5e-07 9.5e-07 7.5e-07 1.05e-06 9e-07 1.8e-06 1e-06 1.75e-06 9.5e-07 8.5e-07 8e-07 1.2e-06 1.3e-06 1.1e-06 1.2e-06 1e-06 1e-06 1.6e-06 1.15e-06 1.35e-06 1.95e-06 8.5e-07 1.5e-06 1.45e-06 9.5e-07
39 1.4e-06 2.85e-06 2.35e-06 1.5e-06 1.85e-06 1.3e-06 1.45e-06 1.95e-06 1.9e-06 1.75e-06 2.55e-06 1.45e-06 2.15e-06 2.2e-06 1.45e-06 1.55e-06 1.6e-06 1.6e-06 1.95e-06 1.75e-06 1.15e-06 2.4e-06 1.65e-06 2e-06 1.65e-06 1.3e-06 1.85e-06 1.55e-06 1.75e-06 1.8e-06 1.85e-06 1.2e-06 1.6e-06 1.85e-06 1.55e-06 1.9e-06 2.35e-06 1.15e-06 1.45e-06 1.9e-06 1.65e-06
40 9.5e-07 2.55e-06 1.8e-06 9e-07 1.35e-06 1.1e-06 1e-06 1.35e-06 1.25e-06 1.35e-06 2.45e-06 8.5e-07 1.25e-06 1.25e-06 1.15e-06 1.05e-06 7.5e-07 9.5e-07 7.5e-07 1e-06 1.1e-06 1.8e-06 1.1e-06 1.85e-06 7.5e-07 1.1e-06 8e-07 1.15e-06 1.3e-06 9.5e-07 1.3e-06 1e-06 1e-06 1.75e-06 1.35e-06 1.3e-06 2.15e-06 1.05e-06 9.5e-07 1.65e-06 1.5e-06
