 slim_762283530 slim_762283538 slim_762283534 slim_762283518 slim_762283528 slim_762283520 slim_762283522 slim_762283510 slim_762283541 slim_762283516 slim_762283512 slim_762283523 slim_762283524 slim_762283517 slim_762283539 slim_762283521 slim_762283536 slim_762283537 slim_762283515 slim_762283535 slim_762283529 slim_762283513 slim_762283526 slim_762283533 slim_762283525 slim_762283511 slim_762283540 slim_762283531 slim_762283532 slim_762283519 slim_762283514 slim_762283527
14 2e-06 2.4e-06 2.45e-06 1.85e-06 1.55e-06 1.85e-06 1.9e-06 1.95e-06 1.75e-06 1.9e-06 2.15e-06 1.5e-06 1.95e-06 1.5e-06 2.7e-06 1.9e-06 1.9e-06 1.95e-06 1.9e-06 1.65e-06 1.8e-06 1.9e-06 1.5e-06 2.15e-06 1.8e-06 2.6e-06 1.85e-06 1.95e-06 2.4e-06 2.15e-06 1.95e-06 2.1e-06
15 1.7e-06 2.15e-06 2.2e-06 2e-06 1.7e-06 1.8e-06 1.75e-06 1.75e-06 2.15e-06 1.7e-06 1.4e-06 1.55e-06 1.45e-06 1.75e-06 1.9e-06 1.7e-06 1.75e-06 2.2e-06 1.75e-06 2.15e-06 1.45e-06 1.6e-06 1.5e-06 2.35e-06 1.6e-06 2.25e-06 1.9e-06 1.95e-06 1.9e-06 1.9e-06 1.75e-06 1.8e-06
16 1.35e-06 2.35e-06 2.35e-06 1.7e-06 1.4e-06 1.9e-06 2.4e-06 2.3e-06 1.5e-06 2.25e-06 1.4e-06 2.1e-06 1.55e-06 1.45e-06 1.9e-06 1.75e-06 1.7e-06 1.85e-06 2e-06 1.4e-06 1.4e-06 1.7e-06 1.95e-06 2.05e-06 1.7e-06 2.35e-06 1.25e-06 1.75e-06 2.1e-06 2.35e-06 2.15e-06 1.75e-06
17 1.6e-06 2.3e-06 2.35e-06 1e-06 1.65e-06 1.55e-06 2.45e-06 2.35e-06 1.25e-06 2.3e-06 2.15e-06 2.05e-06 1.8e-06 1.65e-06 1.95e-06 2.2e-06 1.85e-06 2e-06 2.05e-06 1.3e-06 2e-06 1.85e-06 1.9e-06 2.2e-06 1.7e-06 2.4e-06 1.5e-06 1.1e-06 2.35e-06 2.65e-06 2.2e-06 1.45e-06
18 1.85e-06 2.25e-06 2.3e-06 1.95e-06 1.9e-06 1.95e-06 1.95e-06 2.1e-06 2.05e-06 2.05e-06 1.65e-06 1.7e-06 1.8e-06 1.85e-06 1.9e-06 1.75e-06 2e-06 2.05e-06 2.9e-06 1.95e-06 1.85e-06 1.65e-06 1.8e-06 2.2e-06 1.75e-06 2.3e-06 1.85e-06 1.85e-06 2e-06 2.45e-06 2.1e-06 1.65e-06
19 1.6e-06 2.1e-06 2.1e-06 1.25e-06 1.15e-06 1.5e-06 2.3e-06 2.1e-06 8.5e-07 2.05e-06 2e-06 1.75e-06 1.8e-06 1.2e-06 1.65e-06 2.15e-06 1.4e-06 1.3e-06 1.95e-06 9e-07 1.65e-06 1.6e-06 1.5e-06 2.2e-06 1.5e-06 2.5e-06 1.25e-06 1.35e-06 2.25e-06 2.35e-06 1.95e-06 1.65e-06
20 1.55e-06 2.15e-06 2.15e-06 1.85e-06 1.25e-06 1.6e-06 1.95e-06 1.85e-06 1.65e-06 1.8e-06 1.5e-06 1.4e-06 1.5e-06 1.45e-06 1.8e-06 1.45e-06 1.4e-06 2e-06 1.85e-06 1.65e-06 2.1e-06 1.45e-06 1.25e-06 2.35e-06 1.55e-06 2.35e-06 1.7e-06 1.95e-06 2.1e-06 1.95e-06 1.65e-06 1.95e-06
21 1.65e-06 2.1e-06 2.1e-06 1.7e-06 1.4e-06 1.55e-06 2.1e-06 2e-06 1.65e-06 1.95e-06 1.45e-06 1.6e-06 1.6e-06 1.6e-06 1.9e-06 1.6e-06 1.7e-06 1.85e-06 1.65e-06 1.6e-06 1.45e-06 2.5e-06 1.45e-06 2.2e-06 1.45e-06 2.25e-06 1.55e-06 1.65e-06 1.85e-06 2.2e-06 1.8e-06 1.5e-06
22 2.2e-06 1.9e-06 1.95e-06 1.85e-06 9.5e-07 1.35e-06 1.45e-06 1.25e-06 1.4e-06 1.2e-06 2.2e-06 6e-07 1.9e-06 1e-06 1.5e-06 1.5e-06 1.95e-06 1.9e-06 1.8e-06 1.5e-06 1.25e-06 1.45e-06 6e-07 2.8e-06 1.45e-06 2.45e-06 2.05e-06 2.2e-06 2.4e-06 1.6e-06 1.15e-06 2.3e-06
23 2.05e-06 2.3e-06 2.35e-06 2e-06 2.35e-06 2.55e-06 2.75e-06 2.9e-06 2.1e-06 2.85e-06 2e-06 2.7e-06 2.25e-06 2.4e-06 2.15e-06 2.35e-06 2.05e-06 2.2e-06 2.2e-06 2.2e-06 2.35e-06 2.2e-06 2.8e-06 2.9e-06 2.3e-06 2.15e-06 1.95e-06 2.15e-06 2.35e-06 3e-06 2.75e-06 1.9e-06
24 1.6e-06 2.2e-06 2.2e-06 1.55e-06 1.4e-06 1.5e-06 2.05e-06 1.95e-06 1.6e-06 1.9e-06 1.65e-06 1.6e-06 1.55e-06 1.5e-06 1.8e-06 1.6e-06 1.7e-06 1.7e-06 1.75e-06 1.5e-06 1.55e-06 1.45e-06 1.45e-06 2.3e-06 2.3e-06 2.4e-06 1.35e-06 1.4e-06 2e-06 2.05e-06 1.85e-06 1.55e-06
25 2.45e-06 2.15e-06 2.25e-06 2.25e-06 2.4e-06 2.65e-06 2.2e-06 2.25e-06 2.15e-06 2.2e-06 2.2e-06 2.45e-06 2.5e-06 2.4e-06 2.6e-06 2.25e-06 2.35e-06 2.4e-06 2.3e-06 2.5e-06 2.35e-06 2.25e-06 2.45e-06 2.15e-06 2.4e-06 2.7e-06 2.4e-06 2.65e-06 2.1e-06 2.55e-06 1.9e-06 2.2e-06
26 1.3e-06 2.4e-06 2.4e-06 1.35e-06 1.4e-06 1.65e-06 2.5e-06 2.4e-06 1.45e-06 2.35e-06 1.5e-06 2.2e-06 1.5e-06 1.45e-06 1.85e-06 1.9e-06 1.25e-06 1.5e-06 1.85e-06 1.25e-06 1.7e-06 1.55e-06 2.05e-06 1.95e-06 1.35e-06 2.4e-06 1.5e-06 1.1e-06 1.95e-06 2.55e-06 2.25e-06 1.3e-06
27 1e-06 2.65e-06 2.65e-06 7e-07 1.75e-06 1.25e-06 2.5e-06 2.5e-06 1.6e-06 2.45e-06 1.7e-06 2.25e-06 1.2e-06 1.85e-06 1.95e-06 1.95e-06 1.75e-06 1.1e-06 1.85e-06 1.35e-06 1.95e-06 1.65e-06 2.2e-06 2.15e-06 1.4e-06 2.65e-06 1.1e-06 2e-07 2e-06 2.7e-06 2.4e-06 8.5e-07
28 1.95e-06 2.6e-06 2.6e-06 2.15e-06 2.2e-06 2.25e-06 1.9e-06 1.95e-06 2.35e-06 1.9e-06 1.65e-06 2.4e-06 1.95e-06 2.3e-06 2.4e-06 1.9e-06 2.1e-06 2.35e-06 2e-06 2.25e-06 2.1e-06 1.85e-06 2.4e-06 2.35e-06 2e-06 2.1e-06 1.95e-06 2e-06 2.8e-06 2.3e-06 2.1e-06 1.75e-06
29 2.55e-06 2.7e-06 2.7e-06 2.5e-06 1.85e-06 2.2e-06 1.7e-06 1.65e-06 2.3e-06 1.6e-06 2.45e-06 1.7e-06 2.3e-06 1.95e-06 2.15e-06 1.9e-06 2.35e-06 2.65e-06 2.45e-06 2.35e-06 1.95e-06 2.2e-06 1.6e-06 3e-06 2.05e-06 2.55e-06 2.55e-06 2.7e-06 2.3e-06 2.6e-06 1.65e-06 2.75e-06
30 2.35e-06 2.25e-06 2.3e-06 2.1e-06 1.45e-06 1.8e-06 1.45e-06 1.4e-06 1.75e-06 1.35e-06 2.3e-06 1.25e-06 2.15e-06 1.6e-06 1.95e-06 1.75e-06 2.15e-06 2.2e-06 2.1e-06 1.95e-06 1.65e-06 1.8e-06 1.15e-06 2.75e-06 1.85e-06 1.9e-06 2.25e-06 2.4e-06 2.1e-06 1.65e-06 2e-06 2.4e-06
31 1.25e-06 2.3e-06 2.35e-06 1.15e-06 1.95e-06 1.65e-06 2.5e-06 2.5e-06 1.75e-06 2.45e-06 1.4e-06 2.35e-06 1.45e-06 2e-06 2.1e-06 1.8e-06 1.75e-06 1.45e-06 1.65e-06 1.65e-06 1.95e-06 1.5e-06 2.3e-06 1.9e-06 1.55e-06 2.2e-06 1.3e-06 8.5e-07 1.75e-06 2.75e-06 2.4e-06 1.5e-06
