 slim_762183102 slim_762183078 slim_762183075 slim_762183106 slim_762183073 slim_762183074 slim_762183082 slim_762183109 slim_762183108 slim_762183110 slim_762183095 slim_762183100 slim_762183076 slim_762183097 slim_762183093 slim_762183115 slim_762183107 slim_762183064 slim_762183089 slim_762183113 slim_762183062 slim_762183111 slim_762183079 slim_762183070 slim_762183057 slim_762183059 slim_762183103 slim_762183061 slim_762183117 slim_762183069 slim_762183081 slim_762183060 slim_762183071 slim_762183096 slim_762183072 slim_762183090 slim_762183067 slim_762183104 slim_762183094 slim_762183080 slim_762183063 slim_762183116 slim_762183058 slim_762183084 slim_762183088 slim_762183077 slim_762183092 slim_762183087 slim_762183083 slim_762183101 slim_762183098 slim_762183065 slim_762183105 slim_762183099 slim_762183068 slim_762183112 slim_762183114 slim_762183085 slim_762183086 slim_762183091 slim_762183066 slim_762183056
0 1.6e-06 1.25e-06 1.05e-06 1.45e-06 1.45e-06 1.3e-06 1.4e-06 1e-06 1.25e-06 1.1e-06 1.3e-06 1.25e-06 1.45e-06 1.25e-06 1.85e-06 1e-06 1.5e-06 1.55e-06 1.8e-06 1.6e-06 1.7e-06 1.05e-06 1.35e-06 1.7e-06 1.6e-06 9.5e-07 1.3e-06 1.35e-06 1.35e-06 1.55e-06 1.35e-06 1.35e-06 1.4e-06 1.25e-06 1.35e-06 1.2e-06 1.4e-06 1.3e-06 1.45e-06 1.35e-06 1.2e-06 1.4e-06 1.05e-06 1.55e-06 1.4e-06 1.1e-06 9.5e-07 1.35e-06 1.3e-06 1.5e-06 1.45e-06 1.4e-06 1e-06 1.05e-06 1.6e-06 1.3e-06 1.45e-06 1.35e-06 1.15e-06 1.35e-06 1.1e-06 1.65e-06
1 1.25e-06 1.6e-06 1.1e-06 1.3e-06 1.5e-06 1.4e-06 1.3e-06 1.4e-06 1.45e-06 1.05e-06 1.45e-06 1.35e-06 1.4e-06 1.25e-06 1.9e-06 8.5e-07 1.45e-06 1.35e-06 1.7e-06 1.45e-06 1.45e-06 1.15e-06 1.1e-06 1.65e-06 1.35e-06 1.15e-06 1e-06 1.15e-06 1.15e-06 1.45e-06 1.4e-06 1.45e-06 1.2e-06 1.45e-06 1.5e-06 1.2e-06 1.15e-06 8e-07 1.2e-06 1.15e-06 1.15e-06 1.25e-06 1.15e-06 1.4e-06 1e-06 1.15e-06 1.4e-06 1.2e-06 1.4e-06 1.45e-06 1.35e-06 1.35e-06 8e-07 1.2e-06 1.55e-06 1.3e-06 1.15e-06 1.45e-06 1.3e-06 1.45e-06 1.3e-06 1.6e-06
2 1.05e-06 1.1e-06 8e-07 9e-07 1e-06 8.5e-07 1e-06 7e-07 9e-07 1.7e-06 8.5e-07 8.5e-07 1e-06 9e-07 2.05e-06 4.5e-07 1e-06 1e-06 1.3e-06 1.05e-06 1.3e-06 5.5e-07 1.8e-06 1.2e-06 9e-07 6e-07 6e-07 1.4e-06 7.5e-07 1.05e-06 9e-07 1e-06 7.5e-07 8e-07 1.55e-06 7e-07 7.5e-07 1.7e-06 8e-07 7.5e-07 7.5e-07 8e-07 5.5e-07 9.5e-07 1.25e-06 5e-07 1.2e-06 7.5e-07 9e-07 1.55e-06 9.5e-07 9e-07 4.5e-07 7.5e-07 1.1e-06 8e-07 8e-07 1e-06 8e-07 9e-07 6.5e-07 1.15e-06
3 1.45e-06 1.3e-06 9e-07 1.3e-06 1.25e-06 1.15e-06 1.15e-06 1.1e-06 1.25e-06 1.9e-06 1.25e-06 1.2e-06 1.2e-06 1.1e-06 2.05e-06 7.5e-07 1.25e-06 7.5e-07 1.05e-06 8e-07 1.2e-06 9.5e-07 2e-06 1e-06 1.2e-06 9.5e-07 8.5e-07 1.55e-06 1e-06 1.3e-06 1.2e-06 1.1e-06 1e-06 1.2e-06 1.75e-06 9.5e-07 1.05e-06 1.85e-06 1.05e-06 1e-06 1e-06 1.1e-06 9.5e-07 1.2e-06 1.45e-06 9.5e-07 1.6e-06 1e-06 1.1e-06 1.75e-06 1.2e-06 1.2e-06 7e-07 1e-06 8.5e-07 1.05e-06 1.05e-06 1.2e-06 1.15e-06 1.2e-06 1.1e-06 1.45e-06
4 1.45e-06 1.5e-06 1e-06 1.25e-06 1.3e-06 1.05e-06 1.3e-06 9.5e-07 1.25e-06 1.9e-06 9.5e-07 1.25e-06 1.25e-06 1.25e-06 2.25e-06 8e-07 1.25e-06 1.35e-06 1.15e-06 1.4e-06 1.6e-06 1.15e-06 2.1e-06 1.55e-06 1e-06 1.05e-06 1.15e-06 1.65e-06 7.5e-07 1e-06 1.35e-06 1.45e-06 1.15e-06 1.2e-06 1.7e-06 9.5e-07 1.3e-06 1.95e-06 8.5e-07 1.25e-06 1.2e-06 7e-07 1.15e-06 8e-07 1.65e-06 1.05e-06 1.6e-06 8e-07 1e-06 1.75e-06 9e-07 1.35e-06 9e-07 1.05e-06 1.25e-06 1.05e-06 8.5e-07 9.5e-07 1.3e-06 1.15e-06 1.25e-06 1.15e-06
5 1.3e-06 1.4e-06 8.5e-07 1.15e-06 1.05e-06 1.3e-06 1.2e-06 8.5e-07 1.25e-06 1.85e-06 1.2e-06 1.15e-06 1.3e-06 1.15e-06 2.2e-06 7.5e-07 1.05e-06 1.25e-06 1.5e-06 1.25e-06 1.55e-06 9e-07 1.9e-06 1.3e-06 1.25e-06 9.5e-07 8.5e-07 1.65e-06 1e-06 1.15e-06 8e-07 1.35e-06 9e-07 9.5e-07 1.7e-06 8.5e-07 9e-07 1.95e-06 1.1e-06 1e-06 1.05e-06 1.05e-06 9e-07 1e-06 1.5e-06 8.5e-07 1.45e-06 1.05e-06 9.5e-07 1.65e-06 1.2e-06 8.5e-07 7.5e-07 9.5e-07 1.1e-06 9e-07 1.1e-06 1.05e-06 1.15e-06 7.5e-07 8.5e-07 1.3e-06
6 1.4e-06 1.3e-06 1e-06 1.15e-06 1.3e-06 1.2e-06 1e-06 1.05e-06 1.05e-06 1.85e-06 1.2e-06 9e-07 1.15e-06 6e-07 1.9e-06 7.5e-07 1.1e-06 1.25e-06 1.5e-06 1.3e-06 8e-07 9.5e-07 1.9e-06 1.45e-06 1.3e-06 8e-07 1e-06 1.45e-06 1.05e-06 1.1e-06 1.05e-06 1e-06 1.1e-06 1.1e-06 1.65e-06 1.05e-06 1.15e-06 1.7e-06 1.15e-06 9.5e-07 7e-07 1.1e-06 9.5e-07 1.2e-06 1.45e-06 1.05e-06 1.55e-06 1.15e-06 1.05e-06 1.6e-06 1.05e-06 1e-06 7.5e-07 7.5e-07 1.25e-06 1.15e-06 1.15e-06 1.1e-06 7e-07 1.25e-06 1.05e-06 1.35e-06
7 1e-06 1.4e-06 7e-07 1.1e-06 9.5e-07 8.5e-07 1.05e-06 1e-06 9e-07 1.75e-06 9.5e-07 9.5e-07 1.15e-06 9.5e-07 2.05e-06 7e-07 1.1e-06 1.2e-06 1.4e-06 1.25e-06 1.4e-06 7.5e-07 2e-06 1.35e-06 1.25e-06 6.5e-07 1e-06 1.5e-06 1e-06 1.2e-06 1.05e-06 1.05e-06 1.05e-06 8e-07 1.55e-06 8e-07 1.1e-06 1.9e-06 1.1e-06 1.05e-06 9e-07 1e-06 7.5e-07 1.1e-06 1.55e-06 7.5e-07 1.1e-06 1e-06 8.5e-07 1.7e-06 1.1e-06 1.1e-06 7.5e-07 7.5e-07 1.15e-06 9e-07 1.1e-06 9e-07 8.5e-07 9.5e-07 8e-07 1.3e-06
8 1.25e-06 1.45e-06 9e-07 1.25e-06 1.25e-06 1.25e-06 1.05e-06 9e-07 1.2e-06 1.95e-06 9.5e-07 8.5e-07 9.5e-07 9.5e-07 2.2e-06 8.5e-07 1.2e-06 1.35e-06 1.45e-06 1.4e-06 1.3e-06 8.5e-07 2.05e-06 1.5e-06 1.25e-06 6.5e-07 1.1e-06 1.5e-06 1e-06 1.15e-06 1.15e-06 1e-06 1.2e-06 1e-06 1.5e-06 1.15e-06 1.2e-06 1.9e-06 1.1e-06 1e-06 1e-06 1.05e-06 8.5e-07 1.2e-06 1.6e-06 9.5e-07 1.35e-06 1.05e-06 1.25e-06 1.4e-06 1e-06 1.15e-06 8.5e-07 8e-07 1.4e-06 1.25e-06 1.1e-06 9e-07 9e-07 1.3e-06 9e-07 1.25e-06
9 1.1e-06 1.05e-06 1.7e-06 1.9e-06 1.9e-06 1.85e-06 1.85e-06 1.75e-06 1.95e-06 9e-07 1.95e-06 1.9e-06 1.95e-06 1.75e-06 1.8e-06 1.4e-06 2e-06 2e-06 2.2e-06 2.05e-06 2e-06 1.75e-06 7e-07 2.2e-06 2e-06 1.65e-06 1.75e-06 1.2e-06 1.75e-06 2e-06 1.95e-06 1.95e-06 1.85e-06 1.95e-06 1.4e-06 1.7e-06 1.9e-06 4.5e-07 1.85e-06 1.85e-06 1.7e-06 1.8e-06 1.75e-06 1.95e-06 1.2e-06 1.75e-06 1.25e-06 1.8e-06 1.8e-06 1.5e-06 1.9e-06 1.95e-06 1.4e-06 1.65e-06 2.05e-06 1.8e-06 1.85e-06 1.85e-06 1.8e-06 1.9e-06 1.85e-06 2.15e-06
