 slim_762331728 slim_762331714 slim_762331701 slim_762331738 slim_762331707 slim_762331720 slim_762331741 slim_762331698 slim_762331712 slim_762331711 slim_762331709 slim_762331725 slim_762331704 slim_762331696 slim_762331740 slim_762331721 slim_762331723 slim_762331710 slim_762331729 slim_762331727 slim_762331708 slim_762331739 slim_762331700 slim_762331713 slim_762331703 slim_762331693 slim_762331724 slim_762331699 slim_762331694 slim_762331735 slim_762331733 slim_762331731 slim_762331743 slim_762331706 slim_762331697 slim_762331732 slim_762331715 slim_762331742 slim_762331716 slim_762331705 slim_762331718 slim_762331734 slim_762331719 slim_762331722 slim_762331730 slim_762331717 slim_762331736 slim_762331695 slim_762331737 slim_762331726 slim_762331702
10 2.1e-06 2.4e-06 1.7e-06 1.95e-06 2.15e-06 2.35e-06 1.9e-06 2.4e-06 1.8e-06 1.95e-06 2.8e-06 2.35e-06 2.15e-06 2.3e-06 1.7e-06 1.9e-06 2e-06 2.45e-06 2.1e-06 2.3e-06 1.8e-06 2.65e-06 2.25e-06 1.9e-06 1.9e-06 2.8e-06 2.1e-06 2.3e-06 2.05e-06 2.15e-06 2.05e-06 2.75e-06 2.05e-06 1.85e-06 1.8e-06 1.85e-06 2.35e-06 1.9e-06 2.15e-06 2.35e-06 2.6e-06 2.35e-06 2e-06 2.25e-06 2.65e-06 1.95e-06 2.3e-06 2.55e-06 1.85e-06 2.35e-06 2.65e-06
11 1.75e-06 1.45e-06 1.55e-06 1.1e-06 1.8e-06 1.2e-06 1.55e-06 1.95e-06 1.2e-06 1e-06 2.35e-06 2e-06 2.15e-06 1.7e-06 2.35e-06 1.4e-06 1.55e-06 1.35e-06 2e-06 1.75e-06 2.45e-06 1.45e-06 1.55e-06 1.7e-06 1.55e-06 1.6e-06 1.4e-06 2.2e-06 1.9e-06 1.55e-06 1.6e-06 1.8e-06 1.7e-06 1.3e-06 1.45e-06 2.4e-06 1.6e-06 1.65e-06 1.55e-06 1.05e-06 2.15e-06 1.4e-06 1.9e-06 1.3e-06 2.3e-06 1.65e-06 1.1e-06 1.4e-06 1.4e-06 1.3e-06 1.8e-06
12 1.8e-06 2.1e-06 1.8e-06 2.05e-06 1.85e-06 1.9e-06 1.95e-06 2.2e-06 1.85e-06 1.95e-06 2.15e-06 2.15e-06 1.8e-06 2.15e-06 2.15e-06 2e-06 1.9e-06 2.25e-06 2.15e-06 2.1e-06 2.25e-06 2.45e-06 2.2e-06 1.45e-06 1.75e-06 2.4e-06 2.05e-06 1.5e-06 1.35e-06 1.55e-06 1.45e-06 2.4e-06 1.45e-06 2e-06 1.5e-06 2.45e-06 1.95e-06 1.95e-06 1.55e-06 2.15e-06 1.85e-06 1.6e-06 1.2e-06 2.2e-06 2.4e-06 1.35e-06 2.1e-06 2.2e-06 1.4e-06 2.1e-06 2.4e-06
13 1.8e-06 1.5e-06 1.65e-06 1.85e-06 1.95e-06 1.75e-06 1.85e-06 2.05e-06 1.7e-06 1.85e-06 2.3e-06 1.7e-06 2.15e-06 2.6e-06 2.35e-06 1.5e-06 1.7e-06 1.35e-06 2.25e-06 2e-06 2.45e-06 1.45e-06 1.5e-06 1.9e-06 1.85e-06 1.9e-06 1.55e-06 2.25e-06 2.05e-06 1.6e-06 1.75e-06 2.25e-06 1.7e-06 1.75e-06 1.7e-06 2.35e-06 1.55e-06 1.95e-06 1.6e-06 1.7e-06 2.2e-06 1.75e-06 1.95e-06 1.65e-06 2.45e-06 1.7e-06 1.65e-06 1.9e-06 1.8e-06 1.65e-06 1.8e-06
14 2.1e-06 2.45e-06 1.95e-06 2.1e-06 2.2e-06 2.3e-06 1.65e-06 2.4e-06 1.65e-06 2.05e-06 1.7e-06 2.35e-06 2.15e-06 2.35e-06 2.5e-06 2.35e-06 2e-06 2.7e-06 2.35e-06 2.15e-06 1.35e-06 2.7e-06 2.1e-06 2e-06 2.1e-06 2.65e-06 2.3e-06 2.35e-06 2.2e-06 2.3e-06 2.1e-06 2.65e-06 2.2e-06 1.9e-06 2.05e-06 1.9e-06 2.55e-06 2.15e-06 2.3e-06 2.35e-06 2.55e-06 2.3e-06 2.15e-06 2.45e-06 2.55e-06 2.1e-06 2.3e-06 2.45e-06 1.95e-06 2.3e-06 2.7e-06
15 1.85e-06 1.4e-06 1.3e-06 1.45e-06 1.95e-06 1.45e-06 1.5e-06 1.9e-06 1.4e-06 1.5e-06 1.9e-06 1.4e-06 2e-06 1.5e-06 2.35e-06 1.4e-06 1.6e-06 7.5e-07 1.7e-06 1.95e-06 2.45e-06 1.1e-06 1.65e-06 1.5e-06 1.4e-06 1.9e-06 1.05e-06 2.05e-06 1.8e-06 1.1e-06 1.55e-06 2e-06 1.45e-06 1.65e-06 1.2e-06 2.25e-06 1.2e-06 1.3e-06 1.1e-06 1.4e-06 2.35e-06 1.45e-06 1.7e-06 1.15e-06 2.4e-06 1.2e-06 1.35e-06 1.6e-06 1.4e-06 1.2e-06 1.6e-06
16 1.25e-06 1.2e-06 9e-07 1.05e-06 1.45e-06 1.8e-06 1e-06 1.35e-06 9.5e-07 1e-06 2e-06 1.55e-06 1.9e-06 1.7e-06 2e-06 1.6e-06 1.2e-06 2.05e-06 1.7e-06 1.1e-06 2.1e-06 2.1e-06 1.6e-06 1.05e-06 8.5e-07 1.7e-06 1.3e-06 2e-06 1.65e-06 1.7e-06 1.2e-06 2.25e-06 1.05e-06 1.05e-06 1e-06 1.9e-06 1.55e-06 1.45e-06 1.7e-06 1.55e-06 1.6e-06 1.75e-06 1.7e-06 1.6e-06 1.75e-06 1.5e-06 1.5e-06 1.9e-06 1.15e-06 1.85e-06 1.7e-06
17 2.2e-06 1.3e-06 1.8e-06 2e-06 2.4e-06 1.3e-06 1.95e-06 2.25e-06 1.9e-06 2.05e-06 2.45e-06 1.35e-06 2.25e-06 1.35e-06 2.7e-06 7.5e-07 2.05e-06 1e-07 2.15e-06 2.35e-06 2.8e-06 4.5e-07 1.55e-06 1.9e-06 1.9e-06 1.75e-06 1e-06 2.35e-06 2.2e-06 9e-07 1.85e-06 1.8e-06 1.8e-06 2.2e-06 1.65e-06 2.65e-06 1.05e-06 1.8e-06 9e-07 1.35e-06 2.7e-06 1.25e-06 2.05e-06 1.05e-06 2.7e-06 1.3e-06 1.3e-06 1.45e-06 1.8e-06 9.5e-07 1.45e-06
18 2e-06 1.95e-06 1.6e-06 1.65e-06 2e-06 2.1e-06 1.75e-06 2.1e-06 1.6e-06 1.6e-06 2.1e-06 2e-06 2.15e-06 2.25e-06 2.35e-06 1.7e-06 1.7e-06 2.15e-06 2.4e-06 1.9e-06 2.45e-06 2.4e-06 2.3e-06 1.7e-06 1.6e-06 2.4e-06 1.85e-06 2.3e-06 2e-06 1.9e-06 1.75e-06 1.8e-06 1.6e-06 1.8e-06 1.45e-06 2.3e-06 1.95e-06 1.35e-06 1.9e-06 2e-06 2.35e-06 2.05e-06 1.95e-06 1.95e-06 1.7e-06 1.7e-06 1.95e-06 1.9e-06 1.6e-06 2.05e-06 2.3e-06
19 1.6e-06 1.6e-06 1.5e-06 1.3e-06 1.8e-06 1.9e-06 1.4e-06 1.4e-06 1.2e-06 1.3e-06 2.3e-06 1.75e-06 2.1e-06 2e-06 2.15e-06 1.95e-06 1.1e-06 2.35e-06 1.9e-06 1.6e-06 2.25e-06 2.3e-06 1.8e-06 1.5e-06 1.4e-06 1.6e-06 1.8e-06 2.3e-06 2e-06 1.95e-06 1.5e-06 2.25e-06 1.4e-06 1.35e-06 1.4e-06 2.35e-06 1.9e-06 1.8e-06 1.95e-06 1.75e-06 1.65e-06 1.9e-06 2e-06 1.9e-06 1.55e-06 1.75e-06 1.65e-06 2.1e-06 1.4e-06 2.05e-06 1.7e-06
20 2.2e-06 2.55e-06 2.05e-06 2.2e-06 2.3e-06 2.4e-06 1.75e-06 2.5e-06 1.75e-06 2.15e-06 1.8e-06 2.45e-06 2.25e-06 2.45e-06 1.35e-06 2.45e-06 2.1e-06 2.8e-06 2.45e-06 2.25e-06 2.7e-06 2.8e-06 2.2e-06 2.1e-06 2.2e-06 2.75e-06 2.4e-06 2.45e-06 2.3e-06 2.4e-06 2.2e-06 2.75e-06 2.3e-06 2e-06 2.15e-06 2e-06 2.65e-06 2.25e-06 2.4e-06 2.45e-06 2.65e-06 2.4e-06 2.25e-06 2.55e-06 2.65e-06 2.2e-06 2.4e-06 2.55e-06 2.05e-06 2.4e-06 2.8e-06
21 2.3e-06 1.4e-06 2.05e-06 2.15e-06 2.55e-06 1.4e-06 2.05e-06 2.35e-06 1.95e-06 2.15e-06 2.65e-06 1.45e-06 2.45e-06 1.45e-06 2.7e-06 1.1e-06 2.1e-06 4.5e-07 2.4e-06 2.3e-06 2.8e-06 6e-07 1.35e-06 2.1e-06 2.15e-06 1.75e-06 1.25e-06 2.55e-06 2.45e-06 1.2e-06 2.05e-06 1.9e-06 2.05e-06 2.25e-06 1.95e-06 2.8e-06 1.2e-06 2.05e-06 1.2e-06 1.45e-06 2.75e-06 1.4e-06 2.3e-06 1.35e-06 2.75e-06 1.45e-06 1.4e-06 1.55e-06 2e-06 1.05e-06 1.45e-06
22 1.6e-06 1.55e-06 1.55e-06 1.65e-06 1.85e-06 1.7e-06 1.65e-06 2.05e-06 1.45e-06 1.6e-06 2.25e-06 1.55e-06 2.2e-06 1.5e-06 2.1e-06 1.65e-06 1.6e-06 1.55e-06 2.3e-06 1.8e-06 2.2e-06 1.35e-06 2.2e-06 1.85e-06 1.75e-06 1.85e-06 1.55e-06 2.25e-06 2.05e-06 1.75e-06 1.9e-06 2.2e-06 1.9e-06 1.45e-06 1.75e-06 2.25e-06 1.75e-06 1.95e-06 1.75e-06 1.55e-06 2.1e-06 1.75e-06 2.05e-06 1.65e-06 2.45e-06 1.8e-06 1.5e-06 1.8e-06 1.75e-06 1.6e-06 1.85e-06
23 1.3e-06 1.6e-06 1e-06 1.3e-06 1.45e-06 1.75e-06 1.15e-06 1.65e-06 1.2e-06 1.25e-06 1.9e-06 1.7e-06 1.45e-06 1.9e-06 2e-06 1.5e-06 1.05e-06 1.9e-06 1.7e-06 1.5e-06 2.1e-06 2.1e-06 1.85e-06 1.5e-06 8e-07 2.05e-06 1.3e-06 1.85e-06 1.55e-06 1.3e-06 1.15e-06 2.25e-06 9.5e-07 1.35e-06 8.5e-07 2e-06 1.5e-06 1.45e-06 1.3e-06 1.7e-06 1.95e-06 1.45e-06 1.55e-06 1.65e-06 2.05e-06 1.1e-06 1.65e-06 1.95e-06 9.5e-07 1.8e-06 1.95e-06
24 1.05e-06 1.5e-06 6.5e-07 9e-07 1.2e-06 1.9e-06 9.5e-07 1.55e-06 9.5e-07 9e-07 1.9e-06 1.55e-06 1.75e-06 1.85e-06 2.1e-06 1.4e-06 8.5e-07 1.9e-06 1.6e-06 1.4e-06 2.2e-06 2.15e-06 1.75e-06 8e-07 9e-07 2.05e-06 1.15e-06 1.95e-06 1.5e-06 1.45e-06 1.2e-06 2.35e-06 9e-07 1e-06 6.5e-07 1.85e-06 1.45e-06 1.3e-06 1.45e-06 1.55e-06 1.8e-06 1.65e-06 1.65e-06 1.45e-06 2.05e-06 1.25e-06 1.5e-06 1.95e-06 9e-07 1.8e-06 1.9e-06
25 2.1e-06 1.5e-06 2.1e-06 1.95e-06 2.2e-06 1.65e-06 2e-06 1.8e-06 1.75e-06 1.75e-06 2.8e-06 1.6e-06 2.4e-06 1.9e-06 2.65e-06 1.9e-06 1.7e-06 1.75e-06 2.4e-06 1.6e-06 2.75e-06 1.75e-06 1.85e-06 2.05e-06 2.05e-06 2.6e-06 1.85e-06 2.55e-06 2.4e-06 1.85e-06 1.85e-06 2.05e-06 1.8e-06 2e-06 1.9e-06 2.75e-06 1.8e-06 2.15e-06 1.85e-06 1.65e-06 2.05e-06 1.65e-06 2.3e-06 1.9e-06 2.05e-06 1.95e-06 1.65e-06 1.75e-06 1.9e-06 1.7e-06 1.65e-06
26 1.65e-06 1.35e-06 1.1e-06 1.4e-06 1.85e-06 1.55e-06 1.3e-06 1.85e-06 1.35e-06 1.4e-06 2.1e-06 1.4e-06 2.05e-06 1.55e-06 2.3e-06 1.05e-06 1.3e-06 1e-06 1.85e-06 1.8e-06 2.4e-06 1.25e-06 1.55e-06 1.3e-06 1.15e-06 1.85e-06 1.9e-06 2.1e-06 1.8e-06 1.25e-06 1.6e-06 2.05e-06 1.45e-06 1.5e-06 1.2e-06 2.15e-06 1.3e-06 1.5e-06 1.25e-06 1.4e-06 2.2e-06 1.5e-06 1.8e-06 1.25e-06 2.35e-06 1.35e-06 1.35e-06 1.65e-06 1.4e-06 1.35e-06 1.65e-06
27 2.05e-06 2.2e-06 1.8e-06 2.05e-06 2.05e-06 2.15e-06 2e-06 1.95e-06 1.85e-06 1.95e-06 2.3e-06 2.2e-06 1.5e-06 2.25e-06 2.35e-06 2.05e-06 2e-06 2.35e-06 2.3e-06 2.3e-06 2.45e-06 2.55e-06 2.25e-06 1.85e-06 1.95e-06 2.55e-06 2.1e-06 2.6e-06 1.55e-06 2e-06 1.9e-06 2.6e-06 1.85e-06 2e-06 1.75e-06 2.1e-06 2.2e-06 1.9e-06 2e-06 2.2e-06 2e-06 2.05e-06 1.45e-06 2.25e-06 2.65e-06 1.8e-06 2.15e-06 2.2e-06 1.8e-06 2.15e-06 2.55e-06
28 1.7e-06 2e-06 1.35e-06 1.5e-06 1.75e-06 1.95e-06 1.65e-06 2.1e-06 1.5e-06 1.45e-06 2.05e-06 1.9e-06 1.35e-06 2.05e-06 2.2e-06 1.8e-06 1.65e-06 2.2e-06 2e-06 2e-06 2.3e-06 2.45e-06 2.05e-06 1.55e-06 1.5e-06 2.4e-06 1.8e-06 1.55e-06 2.3e-06 1.85e-06 1.65e-06 2.5e-06 1.65e-06 1.5e-06 1.4e-06 2.25e-06 2e-06 1.7e-06 1.85e-06 1.9e-06 1.7e-06 1.95e-06 1.2e-06 1.9e-06 2.45e-06 1.65e-06 1.85e-06 2.15e-06 1.45e-06 2.05e-06 2.35e-06
29 1.75e-06 1.45e-06 1.6e-06 1.8e-06 1.9e-06 1.4e-06 1.7e-06 1.95e-06 1.65e-06 1.8e-06 2.15e-06 1.55e-06 1.55e-06 1.6e-06 2.3e-06 1.1e-06 1.7e-06 9e-07 1.9e-06 1.95e-06 2.4e-06 1.2e-06 1.75e-06 1.3e-06 1.45e-06 1.85e-06 1.25e-06 2e-06 1.85e-06 1.7e-06 1.3e-06 1.9e-06 1.2e-06 1.95e-06 1.2e-06 2.4e-06 1.15e-06 1.65e-06 8.5e-07 1.55e-06 2.35e-06 1.1e-06 1.7e-06 1.4e-06 2.3e-06 9.5e-07 1.5e-06 1.65e-06 1.25e-06 1.3e-06 1.65e-06
30 1.45e-06 1.45e-06 1.4e-06 1.25e-06 1.55e-06 1.55e-06 1.45e-06 1.6e-06 1.2e-06 1.25e-06 2.05e-06 1.6e-06 1.45e-06 1.75e-06 2.1e-06 1.55e-06 1.2e-06 1.85e-06 1.75e-06 1.5e-06 2.2e-06 2.05e-06 1.9e-06 1.15e-06 1.2e-06 1.85e-06 1.6e-06 1.9e-06 1.65e-06 1.3e-06 1.6e-06 2.15e-06 9e-07 1.45e-06 1e-06 2.2e-06 1.4e-06 1.55e-06 1.3e-06 1.6e-06 1.9e-06 1.4e-06 1.55e-06 1.6e-06 1.9e-06 1.1e-06 1.55e-06 1.9e-06 9.5e-07 1.75e-06 1.8e-06
31 2.45e-06 1.95e-06 2.4e-06 2.3e-06 2.45e-06 1.75e-06 2.3e-06 2.5e-06 2.1e-06 2.05e-06 2.75e-06 1.8e-06 2.4e-06 2.25e-06 2.65e-06 2e-06 2.25e-06 1.8e-06 1.8e-06 2.25e-06 2.75e-06 1.9e-06 2.2e-06 2.25e-06 2.35e-06 2.05e-06 2.05e-06 2.6e-06 2.5e-06 1.9e-06 2.15e-06 2.7e-06 2.1e-06 2.4e-06 2.1e-06 2.8e-06 2.05e-06 1.95e-06 1.9e-06 1.85e-06 2.7e-06 1.7e-06 2.35e-06 2.1e-06 1.95e-06 2e-06 1.85e-06 1.5e-06 2.1e-06 1.75e-06 2.3e-06
32 1.2e-06 1.3e-06 1.2e-06 1.4e-06 1.3e-06 1.8e-06 1.4e-06 1.4e-06 1.25e-06 1.35e-06 2.05e-06 1.7e-06 1.45e-06 1.7e-06 2.2e-06 1.45e-06 1.05e-06 1.8e-06 1.6e-06 1.4e-06 2.3e-06 2.05e-06 1.9e-06 9.5e-07 9e-07 1.8e-06 1.45e-06 1.85e-06 1.65e-06 1.2e-06 9e-07 2.1e-06 5e-07 1.5e-06 6.5e-07 2e-06 1.1e-06 1.4e-06 1.2e-06 1.7e-06 1.75e-06 1.35e-06 1.5e-06 1.65e-06 1.75e-06 1e-06 1.65e-06 1.85e-06 9.5e-07 1.75e-06 1.7e-06
33 1.15e-06 1.65e-06 9e-07 5.5e-07 1.3e-06 1.7e-06 1.1e-06 1.7e-06 7.5e-07 6e-07 1.85e-06 1.3e-06 2e-06 1.75e-06 1.9e-06 1.65e-06 1.05e-06 2.2e-06 1.8e-06 1.35e-06 2e-06 2.25e-06 1.45e-06 1.35e-06 1e-06 2e-06 1.5e-06 2e-06 1.5e-06 1.95e-06 1.45e-06 2.4e-06 1.5e-06 9e-07 1.1e-06 1.9e-06 1.9e-06 1.45e-06 1.95e-06 1.3e-06 1.7e-06 1.95e-06 1.65e-06 1.45e-06 2.15e-06 1.75e-06 1.3e-06 1.95e-06 1.1e-06 1.9e-06 2.05e-06
34 1.1e-06 1.4e-06 8.5e-07 9.5e-07 1.2e-06 1.65e-06 1.1e-06 1.45e-06 9.5e-07 9.5e-07 1.8e-06 1.45e-06 1.5e-06 1.7e-06 2.05e-06 1.2e-06 1e-06 1.65e-06 1.45e-06 1.4e-06 2.15e-06 1.95e-06 1.75e-06 8.5e-07 6.5e-07 1.9e-06 1.2e-06 1.75e-06 1.4e-06 1.2e-06 1e-06 2.1e-06 6.5e-07 1.1e-06 1e-06 1.85e-06 1.25e-06 1.15e-06 1.2e-06 1.45e-06 1.75e-06 1.4e-06 1.35e-06 1.35e-06 1.9e-06 1e-06 1.4e-06 1.75e-06 8e-07 1.6e-06 1.75e-06
35 2e-06 2.3e-06 1.7e-06 2.05e-06 2.05e-06 2.6e-06 1.95e-06 2e-06 1.85e-06 2e-06 1.85e-06 2.4e-06 2.45e-06 2.35e-06 1.9e-06 2.25e-06 1.9e-06 2.65e-06 2.3e-06 2.35e-06 2e-06 2.8e-06 2.25e-06 2e-06 1.85e-06 2.75e-06 2.15e-06 2.1e-06 2.25e-06 2.4e-06 2.2e-06 2.8e-06 2e-06 1.9e-06 1.85e-06 2.8e-06 2.4e-06 2.05e-06 2.4e-06 2.4e-06 2.5e-06 2.5e-06 2.25e-06 2.4e-06 2.65e-06 2.2e-06 2.35e-06 2.5e-06 2.05e-06 2.45e-06 2.7e-06
36 1.75e-06 1.3e-06 1.55e-06 1.75e-06 1.9e-06 1.65e-06 1.75e-06 1.85e-06 1.65e-06 1.75e-06 2.35e-06 1.6e-06 1.95e-06 1.55e-06 2.55e-06 1.2e-06 1.55e-06 1.05e-06 1.95e-06 1.9e-06 2.65e-06 1.2e-06 1.75e-06 1.5e-06 1.45e-06 1.8e-06 1.3e-06 2.2e-06 2e-06 1.15e-06 1.4e-06 2.05e-06 1.1e-06 1.9e-06 1.25e-06 2.4e-06 2e-06 1.7e-06 1.15e-06 1.6e-06 2.25e-06 1.4e-06 1.9e-06 1.45e-06 2.25e-06 1.15e-06 1.55e-06 1.75e-06 1.45e-06 1.4e-06 1.5e-06
