 slim_762111446 slim_762111436 slim_762111465 slim_762111444 slim_762111435 slim_762111447 slim_762111439 slim_762111457 slim_762111467 slim_762111441 slim_762111431 slim_762111442 slim_762111452 slim_762111464 slim_762111463 slim_762111453 slim_762111445 slim_762111433 slim_762111448 slim_762111458 slim_762111462 slim_762111460 slim_762111449 slim_762111461 slim_762111456 slim_762111459 slim_762111434 slim_762111455 slim_762111432 slim_762111454 slim_762111450 slim_762111466 slim_762111451 slim_762111443 slim_762111440 slim_762111438 slim_762111437
10 2.05e-06 1.85e-06 1.85e-06 1.95e-06 1.7e-06 2e-06 1.85e-06 1.95e-06 1.95e-06 1.9e-06 2.7e-06 2.05e-06 1.9e-06 2.35e-06 2.4e-06 2e-06 1.85e-06 1.95e-06 1.9e-06 2e-06 2.45e-06 2.05e-06 1.75e-06 1.6e-06 1.75e-06 2.05e-06 1.95e-06 1.9e-06 2.15e-06 1.9e-06 1.9e-06 1.95e-06 1.95e-06 2.1e-06 2.05e-06 1.9e-06 1.7e-06
11 1.6e-06 2e-06 2e-06 9.5e-07 1.85e-06 1.85e-06 1e-06 1.05e-06 9.5e-07 1.9e-06 2.05e-06 1.8e-06 1e-06 2.05e-06 2.15e-06 2.65e-06 2.2e-06 1.75e-06 2.15e-06 1.85e-06 2.2e-06 1.5e-06 1.25e-06 1.6e-06 1.85e-06 2.15e-06 1.45e-06 1.85e-06 2e-06 1.65e-06 1.65e-06 2.05e-06 1.4e-06 2.35e-06 1.9e-06 1.75e-06 1.25e-06
12 1.3e-06 1.8e-06 1.7e-06 9e-07 1.65e-06 1.8e-06 1.3e-06 6e-07 9e-07 1.55e-06 1.9e-06 1e-06 1e-06 1.8e-06 1.85e-06 2.35e-06 1.9e-06 1.4e-06 1.75e-06 1.6e-06 1.85e-06 1.2e-06 1e-06 1.4e-06 1.75e-06 1.95e-06 1.15e-06 1.65e-06 1.7e-06 1.25e-06 1.2e-06 1.75e-06 9.5e-07 2e-06 1.55e-06 1.55e-06 1e-06
13 1.7e-06 1.9e-06 1.8e-06 2.05e-06 1.75e-06 1.75e-06 2.15e-06 1.85e-06 2.05e-06 2.35e-06 2.35e-06 2.05e-06 1.8e-06 2.9e-06 1.6e-06 2.25e-06 1.95e-06 1.7e-06 2.35e-06 1.85e-06 1.6e-06 1.7e-06 2e-06 1.8e-06 1.75e-06 1.5e-06 1.7e-06 1.5e-06 1.7e-06 1.6e-06 1.6e-06 1.95e-06 1.7e-06 2.1e-06 2e-06 1.9e-06 2e-06
14 1.5e-06 1.85e-06 1.7e-06 2.05e-06 1.75e-06 1.7e-06 2.1e-06 1.9e-06 2.05e-06 2.3e-06 2.4e-06 2.15e-06 1.85e-06 1.6e-06 2.6e-06 2.1e-06 1.65e-06 1.55e-06 2.3e-06 1.8e-06 1.6e-06 1.7e-06 2.1e-06 1.8e-06 1.85e-06 1.45e-06 1.55e-06 1.45e-06 1.55e-06 1.5e-06 1.55e-06 1.85e-06 1.65e-06 2.15e-06 2.1e-06 1.85e-06 2.1e-06
15 2.05e-06 2.05e-06 1.85e-06 2.55e-06 1.95e-06 1.95e-06 2.6e-06 2.4e-06 2.55e-06 1.95e-06 2e-06 2.65e-06 2.35e-06 2.25e-06 2.1e-06 2.8e-06 1.6e-06 1.8e-06 1.95e-06 2e-06 2.3e-06 2e-06 2.5e-06 2.15e-06 2.05e-06 1.5e-06 2.1e-06 1.7e-06 1.8e-06 1.85e-06 1.8e-06 2e-06 2.2e-06 2.05e-06 2.25e-06 2.35e-06 2.5e-06
16 1.55e-06 1.6e-06 1.4e-06 2.1e-06 1.5e-06 1.6e-06 2.15e-06 1.95e-06 2.1e-06 2e-06 1.85e-06 2.2e-06 1.9e-06 1.95e-06 1.65e-06 1.6e-06 1.9e-06 1.35e-06 2e-06 1.7e-06 1.95e-06 1.55e-06 2.05e-06 1.7e-06 1.6e-06 1.1e-06 1.65e-06 1.25e-06 1.45e-06 1.35e-06 1.4e-06 1.55e-06 1.75e-06 2.25e-06 1.9e-06 1.85e-06 2.05e-06
17 1.2e-06 1.45e-06 1.35e-06 1.65e-06 1.4e-06 1.45e-06 1.7e-06 1.45e-06 1.65e-06 2e-06 1.95e-06 1.75e-06 1.4e-06 1.7e-06 1.55e-06 1.8e-06 1.35e-06 2e-06 1.95e-06 1.45e-06 1.75e-06 1.35e-06 1.7e-06 1.45e-06 1.5e-06 1.1e-06 1.2e-06 1.15e-06 1.2e-06 1.15e-06 1.1e-06 1.55e-06 1.25e-06 2.2e-06 1.7e-06 1.55e-06 1.7e-06
18 2.05e-06 2.5e-06 2.35e-06 2.05e-06 2.35e-06 2.2e-06 2e-06 1.75e-06 2.05e-06 1.7e-06 1.9e-06 2.15e-06 1.75e-06 2.35e-06 2.3e-06 1.95e-06 2e-06 1.95e-06 2.6e-06 2e-06 2.4e-06 2.25e-06 2.25e-06 2.25e-06 2.45e-06 2.45e-06 1.9e-06 2.3e-06 2.4e-06 1.85e-06 1.9e-06 2.35e-06 1.85e-06 1.65e-06 2.2e-06 2.4e-06 2.25e-06
19 1.55e-06 1.55e-06 1.6e-06 1.7e-06 1.45e-06 1.5e-06 1.6e-06 1.6e-06 1.7e-06 2.15e-06 2e-06 1.85e-06 1.6e-06 1.85e-06 1.8e-06 2e-06 1.7e-06 1.45e-06 2e-06 2.6e-06 1.9e-06 1.6e-06 1.7e-06 1.5e-06 1.55e-06 1.4e-06 1.55e-06 1.45e-06 1.5e-06 1.35e-06 1.35e-06 1.75e-06 1.5e-06 2.25e-06 1.85e-06 1.6e-06 1.7e-06
20 1.7e-06 1.95e-06 1.85e-06 2.1e-06 1.8e-06 1.9e-06 2.2e-06 1.9e-06 2.1e-06 2.4e-06 2.45e-06 2.2e-06 1.85e-06 1.6e-06 1.6e-06 2.3e-06 1.95e-06 1.75e-06 2.4e-06 1.9e-06 3e-06 1.8e-06 2.05e-06 1.85e-06 1.9e-06 1.65e-06 1.75e-06 1.65e-06 1.75e-06 1.6e-06 1.65e-06 2e-06 1.75e-06 2.15e-06 2.05e-06 1.9e-06 2.05e-06
21 1.35e-06 1.45e-06 1.35e-06 1.45e-06 1.3e-06 1.55e-06 1.95e-06 1.25e-06 1.45e-06 1.85e-06 2.05e-06 1.5e-06 1.2e-06 1.7e-06 1.7e-06 2e-06 1.55e-06 1.35e-06 2.25e-06 1.6e-06 1.8e-06 1.9e-06 1.3e-06 1.35e-06 1.35e-06 1.05e-06 1.4e-06 1.05e-06 1.25e-06 1.25e-06 1.25e-06 1.45e-06 1.4e-06 2.45e-06 1.75e-06 1.55e-06 1.3e-06
22 1.6e-06 1.45e-06 1.5e-06 1.1e-06 1.3e-06 1.85e-06 1.45e-06 1.05e-06 1.1e-06 1.85e-06 1.75e-06 1.25e-06 1e-06 2e-06 2.1e-06 2.5e-06 2.05e-06 1.7e-06 2.25e-06 1.7e-06 2.05e-06 1.3e-06 1.5e-06 1e-06 1.35e-06 1.9e-06 1.5e-06 1.6e-06 1.75e-06 1.55e-06 1.55e-06 1.65e-06 1.4e-06 2.4e-06 1.7e-06 1.4e-06 8e-07
23 1.35e-06 1.1e-06 1.15e-06 1.45e-06 9.5e-07 1.5e-06 1.5e-06 1.45e-06 1.45e-06 2.1e-06 1.6e-06 1.6e-06 1.4e-06 1.8e-06 1.8e-06 2.15e-06 1.7e-06 1.45e-06 2.25e-06 1.5e-06 1.85e-06 1.35e-06 1e-06 1.2e-06 1e-06 1.35e-06 1.25e-06 1.05e-06 1.25e-06 1.35e-06 1.35e-06 1.2e-06 1.25e-06 2.4e-06 1.6e-06 1.15e-06 1.05e-06
24 1.55e-06 1.15e-06 1.2e-06 1.8e-06 1e-06 1.45e-06 1.85e-06 1.8e-06 1.8e-06 2.3e-06 1.75e-06 1.85e-06 1.75e-06 1.75e-06 1.85e-06 2.05e-06 1.6e-06 1.5e-06 2.45e-06 1.55e-06 1.9e-06 1.35e-06 1.35e-06 1e-06 1.9e-06 1e-06 1.6e-06 1e-06 1.3e-06 1.4e-06 1.4e-06 1.4e-06 1.6e-06 2.6e-06 1.8e-06 1.35e-06 1.4e-06
25 1.3e-06 1.1e-06 1e-06 2.15e-06 1e-06 1.2e-06 2.35e-06 2e-06 2.15e-06 2.3e-06 2.05e-06 2.15e-06 1.95e-06 1.5e-06 1.45e-06 1.5e-06 1.1e-06 1.1e-06 2.45e-06 1.4e-06 1.65e-06 1.05e-06 1.9e-06 1.35e-06 1e-06 3e-07 1.5e-06 5e-07 7.5e-07 1.1e-06 1.05e-06 1.2e-06 1.6e-06 2.65e-06 1.8e-06 1.5e-06 1.9e-06
26 8.5e-07 1.65e-06 1.55e-06 1.35e-06 1.5e-06 1.4e-06 1.35e-06 1.2e-06 1.35e-06 1.95e-06 1.95e-06 1.45e-06 1.15e-06 1.7e-06 1.55e-06 2.1e-06 1.65e-06 1.2e-06 1.9e-06 1.55e-06 1.75e-06 1.4e-06 1.5e-06 1.25e-06 1.6e-06 1.5e-06 1.1e-06 1.2e-06 1.1e-06 1.2e-06 1.2e-06 1.5e-06 8e-07 2.1e-06 1.65e-06 1.3e-06 1.5e-06
27 1.15e-06 1.15e-06 1.05e-06 1.85e-06 1e-06 1.2e-06 2.05e-06 1.7e-06 1.85e-06 2.15e-06 1.9e-06 1.85e-06 1.65e-06 1.5e-06 1.45e-06 1.7e-06 1.25e-06 1.15e-06 2.3e-06 1.45e-06 1.65e-06 1.05e-06 1.6e-06 1.05e-06 1e-06 5e-07 1.2e-06 9e-07 8e-07 1.1e-06 1.1e-06 1.05e-06 1.3e-06 2.5e-06 1.7e-06 1.35e-06 1.6e-06
28 1.2e-06 1.3e-06 1.15e-06 1.9e-06 1.2e-06 1.4e-06 2.05e-06 1.75e-06 1.9e-06 2.3e-06 2.15e-06 2e-06 1.7e-06 1.7e-06 1.55e-06 1.8e-06 1.45e-06 1.2e-06 2.4e-06 1.5e-06 1.75e-06 1.25e-06 1.75e-06 1.25e-06 1.3e-06 7.5e-07 1.1e-06 8e-07 1.3e-06 1.2e-06 1.15e-06 1.25e-06 1.2e-06 2.6e-06 1.7e-06 1.45e-06 1.75e-06
29 1.15e-06 1.45e-06 1.35e-06 1.55e-06 1.3e-06 1.45e-06 1.65e-06 1.25e-06 1.55e-06 1.95e-06 1.9e-06 1.65e-06 1.25e-06 1.6e-06 1.5e-06 1.85e-06 1.35e-06 1.15e-06 1.85e-06 1.35e-06 1.6e-06 1.25e-06 1.55e-06 1.35e-06 1.4e-06 1.1e-06 1.2e-06 1.1e-06 1.2e-06 1.9e-06 1.05e-06 1.45e-06 1.15e-06 2.15e-06 1.6e-06 1.4e-06 1.55e-06
30 1.2e-06 1.4e-06 1.3e-06 1.55e-06 1.3e-06 1.45e-06 1.65e-06 1.3e-06 1.55e-06 1.95e-06 1.9e-06 1.65e-06 1.2e-06 1.6e-06 1.55e-06 1.8e-06 1.4e-06 1.1e-06 1.9e-06 1.35e-06 1.65e-06 1.25e-06 1.55e-06 1.35e-06 1.4e-06 1.05e-06 1.2e-06 1.1e-06 1.15e-06 1.05e-06 1.9e-06 1.45e-06 1.1e-06 2.15e-06 1.55e-06 1.45e-06 1.55e-06
31 1.6e-06 1.45e-06 1.25e-06 1.95e-06 1.3e-06 1.7e-06 2.15e-06 1.8e-06 1.95e-06 2.2e-06 1.95e-06 2.05e-06 1.75e-06 1.95e-06 1.85e-06 2e-06 1.55e-06 1.55e-06 2.35e-06 1.75e-06 2e-06 1.45e-06 1.65e-06 1.2e-06 1.4e-06 1.2e-06 1.5e-06 1.05e-06 1.25e-06 1.45e-06 1.45e-06 1.5e-06 1.5e-06 2.55e-06 1.35e-06 1.65e-06 1.65e-06
32 1.1e-06 1.65e-06 1.55e-06 1.3e-06 1.5e-06 1.55e-06 1.35e-06 1.05e-06 1.3e-06 1.95e-06 1.95e-06 1.4e-06 9.5e-07 1.7e-06 1.65e-06 2.2e-06 1.75e-06 1.25e-06 1.85e-06 1.5e-06 1.75e-06 1.4e-06 1.4e-06 1.25e-06 1.6e-06 1.6e-06 8e-07 1.3e-06 1.2e-06 1.15e-06 1.1e-06 1.5e-06 1.3e-06 2.1e-06 1.55e-06 1.4e-06 1.4e-06
33 2.25e-06 2.65e-06 2.5e-06 2.25e-06 2.5e-06 2.3e-06 2.2e-06 2.05e-06 2.25e-06 1.8e-06 2.1e-06 2.35e-06 2e-06 2.1e-06 2.15e-06 2.05e-06 2.25e-06 2.2e-06 1.65e-06 2.25e-06 2.15e-06 2.45e-06 2.4e-06 2.4e-06 2.6e-06 2.65e-06 2.1e-06 2.5e-06 2.6e-06 2.15e-06 2.15e-06 2.55e-06 2.1e-06 2.6e-06 2.3e-06 2.55e-06 2.4e-06
34 1.8e-06 1.8e-06 1.55e-06 1.8e-06 1.7e-06 2e-06 1.9e-06 1.6e-06 1.8e-06 2.2e-06 2.05e-06 1.9e-06 1.55e-06 2e-06 2.1e-06 2.25e-06 1.9e-06 1.7e-06 2.2e-06 1.85e-06 2.05e-06 1.75e-06 1.7e-06 1.6e-06 1.8e-06 1.8e-06 1.65e-06 1.7e-06 1.7e-06 1.6e-06 1.55e-06 1.35e-06 1.55e-06 2.3e-06 2.4e-06 1.85e-06 1.7e-06
35 1.25e-06 1.4e-06 1.45e-06 1.6e-06 1.25e-06 1.6e-06 1.55e-06 1.6e-06 1.6e-06 2.35e-06 1.9e-06 1.75e-06 1.55e-06 1.9e-06 1.85e-06 2.35e-06 1.85e-06 1.55e-06 2.4e-06 1.6e-06 1.9e-06 1.55e-06 1.4e-06 1.15e-06 1.35e-06 1.5e-06 1.3e-06 1.35e-06 1.45e-06 1.4e-06 1.45e-06 1.65e-06 1.4e-06 2.55e-06 1.85e-06 2.1e-06 1.35e-06
36 1.6e-06 1.45e-06 1.5e-06 1.1e-06 1.3e-06 1.85e-06 1.45e-06 1.05e-06 1.1e-06 1.85e-06 1.7e-06 1.25e-06 1e-06 2e-06 2.1e-06 2.5e-06 2.05e-06 1.7e-06 2.25e-06 1.7e-06 2.05e-06 1.3e-06 8e-07 1.05e-06 1.4e-06 1.9e-06 1.5e-06 1.6e-06 1.75e-06 1.55e-06 1.55e-06 1.65e-06 1.4e-06 2.4e-06 1.7e-06 1.35e-06 1.5e-06
