 slim_762109721 slim_762109724 slim_762109730 slim_762109710 slim_762109734 slim_762109736 slim_762109704 slim_762109738 slim_762109719 slim_762109712 slim_762109706 slim_762109696 slim_762109725 slim_762109743 slim_762109720 slim_762109701 slim_762109693 slim_762109726 slim_762109698 slim_762109737 slim_762109708 slim_762109741 slim_762109711 slim_762109716 slim_762109742 slim_762109735 slim_762109722 slim_762109728 slim_762109705 slim_762109709 slim_762109731 slim_762109690 slim_762109695 slim_762109723 slim_762109732 slim_762109727 slim_762109739 slim_762109694 slim_762109718 slim_762109700 slim_762109733 slim_762109692 slim_762109707 slim_762109697 slim_762109691 slim_762109740 slim_762109703 slim_762109744 slim_762109715 slim_762109717 slim_762109713 slim_762109699 slim_762109702 slim_762109729 slim_762109714
0 2.2e-06 2.35e-06 2.5e-06 1.95e-06 2.65e-06 2.35e-06 2.35e-06 2.6e-06 2.4e-06 1.8e-06 2e-06 2.6e-06 2.65e-06 2.55e-06 2.8e-06 2.1e-06 2.5e-06 1.9e-06 2.3e-06 2.25e-06 2.4e-06 2.5e-06 2.1e-06 2.55e-06 2.7e-06 2.5e-06 2.45e-06 1.85e-06 1.5e-06 2.6e-06 2.45e-06 1.85e-06 2.6e-06 1.25e-06 2.5e-06 2e-06 2.7e-06 1.85e-06 3.05e-06 2.25e-06 1.8e-06 1.1e-06 2.4e-06 2.3e-06 2.1e-06 2.55e-06 2.8e-06 1.95e-06 2.55e-06 3e-06 1.8e-06 1.7e-06 2.35e-06 2.55e-06 2.2e-06
1 2.35e-06 2.2e-06 1.4e-06 2.1e-06 1.4e-06 1.6e-06 2.1e-06 1.3e-06 1.9e-06 1.75e-06 1.65e-06 2.3e-06 1.35e-06 2.75e-06 1.85e-06 2.05e-06 1.2e-06 2.6e-06 1.15e-06 1.55e-06 1.75e-06 1.3e-06 1.9e-06 1.35e-06 1.55e-06 1.4e-06 2.2e-06 1.75e-06 2.35e-06 1.35e-06 1.4e-06 1.4e-06 1.5e-06 2.65e-06 1.2e-06 1.85e-06 1.75e-06 2.25e-06 1.85e-06 1.25e-06 2.15e-06 3e-06 1.95e-06 1.2e-06 2.65e-06 2.2e-06 1.85e-06 1.85e-06 1.4e-06 1.6e-06 2.1e-06 1.45e-06 2.4e-06 1.4e-06 2.25e-06
2 2.5e-06 1.4e-06 2.6e-06 2.25e-06 1.55e-06 1.85e-06 2.25e-06 1.5e-06 1.95e-06 2e-06 1.8e-06 2.3e-06 1.55e-06 2.95e-06 2.05e-06 2.25e-06 1.45e-06 2.8e-06 1.45e-06 1.8e-06 1.9e-06 1.5e-06 2.1e-06 1.4e-06 1.55e-06 1.55e-06 2.4e-06 1.95e-06 2.55e-06 1.5e-06 1.5e-06 1.55e-06 1.3e-06 2.85e-06 1.45e-06 2e-06 1.95e-06 2.25e-06 1.95e-06 1.5e-06 2.35e-06 3.2e-06 2.15e-06 1.4e-06 2.85e-06 2.4e-06 2.05e-06 1.85e-06 1.35e-06 1.7e-06 2.35e-06 1.6e-06 2.6e-06 1.55e-06 2.45e-06
3 1.95e-06 2.1e-06 2.25e-06 2.2e-06 2.35e-06 2.7e-06 1.85e-06 2.2e-06 2.5e-06 1.8e-06 1.8e-06 2.15e-06 2.25e-06 2.2e-06 2.3e-06 2.1e-06 2.2e-06 1.6e-06 2.25e-06 2.35e-06 2.2e-06 2.45e-06 1.7e-06 2.25e-06 2.4e-06 2.55e-06 2.3e-06 1.95e-06 1.6e-06 2.3e-06 2.55e-06 1.6e-06 2.2e-06 1.75e-06 2.2e-06 1.85e-06 2.2e-06 2.2e-06 2.1e-06 2.55e-06 2.35e-06 2.25e-06 2.45e-06 2.6e-06 2.3e-06 2.1e-06 2.3e-06 1.7e-06 2.25e-06 2.3e-06 2.25e-06 2.15e-06 1.95e-06 2.85e-06 1.8e-06
4 2.65e-06 1.4e-06 1.55e-06 2.35e-06 8e-07 2.2e-06 2.4e-06 4e-07 2.95e-06 1.85e-06 1.45e-06 2.7e-06 4.5e-07 2.45e-06 2.4e-06 1.8e-06 4.5e-07 2.7e-06 7e-07 2.45e-06 1.65e-06 1.1e-06 1.75e-06 1.6e-06 1.55e-06 1.25e-06 2.4e-06 2.25e-06 2.8e-06 4.5e-07 1.3e-06 1.35e-06 2.6e-06 3.15e-06 4.5e-07 1.7e-06 2.3e-06 3.05e-06 1.55e-06 1.8e-06 2.7e-06 3.45e-06 2.05e-06 1.7e-06 2.9e-06 2.65e-06 2.4e-06 2.65e-06 1.5e-06 1.1e-06 2.05e-06 1.75e-06 2.65e-06 1.85e-06 2.5e-06
5 2.35e-06 1.6e-06 1.85e-06 2.7e-06 2.2e-06 1.3e-06 2.55e-06 2.05e-06 1.9e-06 2.15e-06 2.3e-06 2.65e-06 2.1e-06 3.65e-06 2.2e-06 2.45e-06 2e-06 3.05e-06 1.85e-06 9.5e-07 2.25e-06 1.45e-06 2.45e-06 1.8e-06 1.9e-06 1.45e-06 2.2e-06 1.65e-06 2.6e-06 2.15e-06 1.55e-06 1.95e-06 1.55e-06 2.85e-06 2e-06 2.4e-06 2.1e-06 2.35e-06 2.85e-06 7e-07 1.9e-06 3.1e-06 2.1e-06 7.5e-07 3.05e-06 2.5e-06 2.2e-06 2e-06 1.85e-06 2.4e-06 2.6e-06 1.15e-06 2.85e-06 1e-06 2.7e-06
6 2.35e-06 2.1e-06 2.25e-06 1.85e-06 2.4e-06 2.55e-06 2.8e-06 2.3e-06 2.55e-06 2.05e-06 2e-06 2.45e-06 2.35e-06 2.55e-06 1.7e-06 2.3e-06 2.25e-06 2.15e-06 2.25e-06 2.4e-06 2.05e-06 2.45e-06 2.15e-06 2.25e-06 2.4e-06 2.5e-06 2.6e-06 2.15e-06 1.95e-06 2.35e-06 2.5e-06 1.75e-06 2.2e-06 2.2e-06 2.25e-06 2.1e-06 1.7e-06 2.4e-06 2.2e-06 2.5e-06 2.6e-06 2.6e-06 2.35e-06 2.5e-06 2e-06 1.7e-06 1.7e-06 1.95e-06 2.25e-06 2.35e-06 2.4e-06 2.3e-06 1.6e-06 2.65e-06 1.55e-06
7 2.6e-06 1.3e-06 1.5e-06 2.2e-06 4e-07 2.05e-06 2.3e-06 0.0 2.75e-06 1.85e-06 1.55e-06 2.45e-06 5e-08 2.3e-06 2.25e-06 1.55e-06 2.5e-07 2.55e-06 7e-07 2.25e-06 1.7e-06 8e-07 1.55e-06 1.5e-06 1.3e-06 1.25e-06 2.15e-06 2.15e-06 2.75e-06 3.5e-07 1.25e-06 1.3e-06 2.4e-06 3.1e-06 2.5e-07 1.75e-06 2.15e-06 2.9e-06 1.15e-06 1.65e-06 2.6e-06 3.35e-06 2e-06 1.5e-06 2.8e-06 2.55e-06 2.25e-06 2.55e-06 1.5e-06 7e-07 2e-06 1.65e-06 2.6e-06 1.65e-06 2.45e-06
8 2.4e-06 1.9e-06 1.95e-06 2.5e-06 2.95e-06 1.9e-06 2.55e-06 2.75e-06 1.7e-06 2.5e-06 2.5e-06 2.1e-06 2.8e-06 3.05e-06 1.95e-06 2.6e-06 2.8e-06 2.7e-06 2.75e-06 1.55e-06 2.5e-06 2.15e-06 2.6e-06 1.95e-06 2e-06 2.3e-06 2.3e-06 1.9e-06 2.2e-06 2.9e-06 2.3e-06 2.4e-06 9.5e-07 2.3e-06 2.8e-06 2.7e-06 1.9e-06 1.6e-06 2.45e-06 1.6e-06 1.9e-06 2.3e-06 2.35e-06 1.45e-06 2.55e-06 2.25e-06 1.95e-06 1.6e-06 1.95e-06 2.6e-06 2.6e-06 2e-06 2.7e-06 1.65e-06 2.55e-06
9 1.8e-06 1.75e-06 2e-06 1.8e-06 1.85e-06 2.15e-06 2.05e-06 1.85e-06 2.5e-06 2.3e-06 1.4e-06 2.5e-06 1.9e-06 2.35e-06 2.35e-06 1.9e-06 1.65e-06 1.85e-06 1.3e-06 2.15e-06 1.85e-06 1.95e-06 1.7e-06 1.95e-06 2.2e-06 1.95e-06 2.4e-06 1.6e-06 1.5e-06 1.8e-06 1.95e-06 1.45e-06 2.35e-06 1.8e-06 1.65e-06 1.45e-06 2.25e-06 2.35e-06 2.3e-06 1.9e-06 2.1e-06 2.3e-06 2.05e-06 1.95e-06 2.4e-06 2.1e-06 2.35e-06 1.75e-06 2e-06 2.3e-06 1.95e-06 1.6e-06 1.95e-06 2.15e-06 1.8e-06
