 slim_762225739 slim_762225758 slim_762225751 slim_762225718 slim_762225701 slim_762225707 slim_762225721 slim_762225740 slim_762225725 slim_762225747 slim_762225762 slim_762225752 slim_762225730 slim_762225708 slim_762225738 slim_762225745 slim_762225729 slim_762225755 slim_762225735 slim_762225717 slim_762225715 slim_762225706 slim_762225727 slim_762225754 slim_762225734 slim_762225748 slim_762225703 slim_762225743 slim_762225720 slim_762225733 slim_762225760 slim_762225756 slim_762225710 slim_762225753 slim_762225705 slim_762225728 slim_762225712 slim_762225716 slim_762225724 slim_762225704 slim_762225761 slim_762225744 slim_762225750 slim_762225737 slim_762225757 slim_762225723 slim_762225749 slim_762225709 slim_762225736 slim_762225742 slim_762225713 slim_762225731 slim_762225759 slim_762225702 slim_762225722 slim_762225719 slim_762225726 slim_762225746 slim_762225741 slim_762225732 slim_762225711 slim_762225714
10 1.85e-06 1.6e-06 2.1e-06 2.25e-06 1.85e-06 1.45e-06 1.85e-06 2.05e-06 1.75e-06 1.7e-06 2.6e-06 2e-06 2.15e-06 1.75e-06 1.85e-06 1.75e-06 2.4e-06 1.65e-06 2.05e-06 1.8e-06 2.1e-06 2.1e-06 2e-06 1.5e-06 2.35e-06 1.95e-06 2e-06 1.55e-06 1.8e-06 1.6e-06 1.5e-06 2.3e-06 1.5e-06 1.55e-06 1.65e-06 2.3e-06 1.7e-06 2.15e-06 1.7e-06 1.65e-06 2.2e-06 1.55e-06 1.95e-06 1.65e-06 1.65e-06 1.7e-06 1.7e-06 1.75e-06 1.7e-06 1.95e-06 1.55e-06 1.7e-06 2.05e-06 1.5e-06 2.15e-06 1.7e-06 2.25e-06 2.15e-06 2.2e-06 1.9e-06 1.7e-06 1.95e-06
11 2e-06 1.75e-06 2.4e-06 1.95e-06 1.95e-06 1.85e-06 2.05e-06 1.45e-06 1.85e-06 2.1e-06 2e-06 2.7e-06 2.3e-06 1.8e-06 1.8e-06 1.95e-06 2.6e-06 1.8e-06 2.1e-06 2e-06 1.95e-06 2.3e-06 2.05e-06 2.25e-06 2.6e-06 1.55e-06 1.75e-06 1.55e-06 1.65e-06 1.55e-06 1.9e-06 2.55e-06 1.7e-06 1.95e-06 1.9e-06 2.2e-06 1.55e-06 1.95e-06 1.75e-06 1.7e-06 2e-06 1.6e-06 2.25e-06 1.55e-06 1.9e-06 1.75e-06 1.65e-06 1.5e-06 1.65e-06 1.65e-06 1.95e-06 2.25e-06 2.2e-06 1.9e-06 1.95e-06 1.8e-06 2.4e-06 2.3e-06 2.15e-06 1.85e-06 1.75e-06 2.2e-06
12 2.3e-06 1.75e-06 1.05e-06 1.55e-06 1.65e-06 1.85e-06 2e-06 2.35e-06 2.1e-06 2.15e-06 2.15e-06 2.3e-06 9e-07 2.2e-06 1.35e-06 1.9e-06 2.2e-06 2.3e-06 1.15e-06 1.4e-06 2.3e-06 2.55e-06 2e-06 2.7e-06 1.85e-06 2.2e-06 2.3e-06 1.7e-06 2e-06 1.85e-06 1.9e-06 8.5e-07 1.6e-06 2.5e-06 2.1e-06 2.4e-06 1.9e-06 2.35e-06 2.2e-06 2.15e-06 2.4e-06 1.7e-06 1.15e-06 1.7e-06 2.1e-06 2.2e-06 1.95e-06 1.85e-06 2.05e-06 2.5e-06 1.95e-06 1.7e-06 2.2e-06 1.9e-06 2.05e-06 1.75e-06 1.3e-06 2.3e-06 2.35e-06 1.35e-06 2.2e-06 1.45e-06
13 2.1e-06 1.65e-06 2.25e-06 2e-06 1.8e-06 1.75e-06 1.95e-06 1.85e-06 1.9e-06 2e-06 1.75e-06 1.8e-06 2.2e-06 2.7e-06 1.95e-06 1.85e-06 2.5e-06 2.05e-06 2.2e-06 1.85e-06 2.3e-06 2.5e-06 2.15e-06 2.2e-06 2.55e-06 1.75e-06 2.05e-06 1.65e-06 1.95e-06 1.7e-06 1.8e-06 2.35e-06 1.6e-06 2.05e-06 2e-06 2.35e-06 1.85e-06 2.35e-06 2.05e-06 2e-06 2.4e-06 1.65e-06 2.1e-06 1.75e-06 2e-06 2.05e-06 1.8e-06 2e-06 1.8e-06 1.6e-06 1.85e-06 2.15e-06 2.25e-06 1.8e-06 2.15e-06 1.9e-06 2.35e-06 2.3e-06 2.5e-06 2.05e-06 2.05e-06 2.2e-06
14 1.55e-06 1.55e-06 1.65e-06 2.1e-06 1.25e-06 1.35e-06 1.75e-06 1.85e-06 1.45e-06 1.65e-06 1.85e-06 1.8e-06 1.35e-06 1.95e-06 1.9e-06 1.65e-06 2.15e-06 1.55e-06 1.5e-06 1.7e-06 1.8e-06 2.2e-06 1.9e-06 2.3e-06 1.95e-06 2.15e-06 1.65e-06 1e-06 1.45e-06 1.2e-06 1.4e-06 1.5e-06 1.35e-06 1.95e-06 1.75e-06 2.15e-06 1.35e-06 1.8e-06 1.4e-06 1.35e-06 1.85e-06 1.05e-06 1.5e-06 1e-06 1.75e-06 1.4e-06 1.45e-06 1.05e-06 1.6e-06 1.95e-06 1.45e-06 1.95e-06 1.7e-06 1.4e-06 1.4e-06 1.25e-06 1.8e-06 2.05e-06 2e-06 1.25e-06 1.4e-06 1.65e-06
15 2.05e-06 1.5e-06 1.85e-06 2.15e-06 1.6e-06 1.65e-06 1.2e-06 2e-06 1.5e-06 1.7e-06 1.75e-06 1.95e-06 1.9e-06 1.85e-06 1.65e-06 2.1e-06 2.05e-06 2.05e-06 1.7e-06 1.7e-06 2.15e-06 2.55e-06 1.5e-06 2.4e-06 2.4e-06 1.65e-06 1.95e-06 1.35e-06 1.4e-06 1.5e-06 1.7e-06 2.05e-06 1.05e-06 2.05e-06 1.65e-06 2.15e-06 1.3e-06 2.2e-06 1.95e-06 1.9e-06 2.25e-06 1.35e-06 1.7e-06 1.45e-06 1.65e-06 1.95e-06 1.5e-06 1.6e-06 1.65e-06 2.1e-06 1.75e-06 2.15e-06 2.25e-06 1.7e-06 1.95e-06 1.3e-06 1.95e-06 1.95e-06 2.55e-06 1.85e-06 1.95e-06 2.1e-06
16 2.8e-06 2.05e-06 1.6e-06 2.35e-06 2.1e-06 2.4e-06 2.15e-06 2.65e-06 2.5e-06 2.65e-06 2.4e-06 2.6e-06 2.2e-06 2.5e-06 2.15e-06 2.05e-06 2.3e-06 2.8e-06 2.15e-06 1.8e-06 2.95e-06 3.3e-06 1.45e-06 3e-06 2.85e-06 2.25e-06 2.25e-06 2.15e-06 2.15e-06 2.3e-06 2.45e-06 2.05e-06 1.8e-06 2.7e-06 2.35e-06 1.65e-06 2.05e-06 3e-06 2.7e-06 2.65e-06 3.05e-06 2.15e-06 1.45e-06 2.25e-06 2.35e-06 2.7e-06 2.2e-06 2.35e-06 2.2e-06 2.75e-06 2.5e-06 2.75e-06 2.7e-06 2.45e-06 2.45e-06 2.25e-06 1.5e-06 2.95e-06 3.25e-06 2.6e-06 2.7e-06 2.4e-06
17 1e-06 1.85e-06 2.6e-06 2.75e-06 1.9e-06 9.5e-07 2.15e-06 1.85e-06 1.25e-06 1.25e-06 1.65e-06 1.8e-06 2.3e-06 2.05e-06 1.55e-06 2.05e-06 2.8e-06 9e-07 2e-06 2.45e-06 1.8e-06 1.65e-06 2.3e-06 1.2e-06 2.55e-06 2.35e-06 1.55e-06 1.2e-06 1.55e-06 1.15e-06 1e-06 2.7e-06 1.75e-06 1.4e-06 1.25e-06 2.4e-06 1.45e-06 1.85e-06 7e-07 6.5e-07 1.9e-06 1.2e-06 2.45e-06 1e-06 1.25e-06 7e-07 1.4e-06 9e-07 1.65e-06 1.75e-06 1.05e-06 1.85e-06 1.45e-06 1e-06 1.7e-06 1.4e-06 2.65e-06 2.4e-06 1.4e-06 1.15e-06 7e-07 1.7e-06
18 2.2e-06 1.75e-06 1.4e-06 1.8e-06 1.75e-06 1.75e-06 1.8e-06 2.15e-06 2e-06 2.05e-06 2.05e-06 2.1e-06 1.15e-06 2.2e-06 1.5e-06 1.7e-06 2.15e-06 2e-06 2.3e-06 1.6e-06 2.15e-06 2.35e-06 1.65e-06 2.4e-06 2.1e-06 1.85e-06 2.05e-06 1.65e-06 1.65e-06 1.7e-06 1.8e-06 1.45e-06 1.4e-06 2.25e-06 1.7e-06 2.15e-06 1.55e-06 2.2e-06 1.95e-06 1.9e-06 2.25e-06 1.65e-06 1.4e-06 1.65e-06 1.7e-06 1.95e-06 1.8e-06 1.65e-06 1.9e-06 2.35e-06 1.85e-06 1.9e-06 2.1e-06 1.8e-06 2e-06 1.7e-06 1.55e-06 2.3e-06 2.1e-06 1.55e-06 1.95e-06 1.6e-06
19 2.4e-06 1.2e-06 1.25e-06 1.45e-06 1.75e-06 2e-06 1.8e-06 2.05e-06 2.05e-06 2.2e-06 1.8e-06 2e-06 1.4e-06 1.85e-06 1.7e-06 1.7e-06 1.8e-06 2.45e-06 1.6e-06 1.6e-06 2.3e-06 2.55e-06 1.75e-06 2.45e-06 2.05e-06 1.65e-06 2.05e-06 1.85e-06 2e-06 1.8e-06 2.05e-06 1.35e-06 1.5e-06 2.25e-06 2.1e-06 1.9e-06 1.9e-06 2.35e-06 2.45e-06 2.4e-06 2.4e-06 1.85e-06 1.1e-06 1.95e-06 2.1e-06 2.45e-06 1.7e-06 2.2e-06 1.5e-06 2.25e-06 2.1e-06 1.95e-06 2.4e-06 2.05e-06 2.25e-06 1.9e-06 1.5e-06 2.1e-06 2.55e-06 2e-06 2.45e-06 1.8e-06
20 2.05e-06 2e-06 2.6e-06 2.5e-06 1.85e-06 1.85e-06 2.25e-06 1.95e-06 1.9e-06 2.1e-06 2.1e-06 1.95e-06 2.3e-06 2.3e-06 1.8e-06 2.15e-06 2.95e-06 1.8e-06 2.15e-06 2.3e-06 2.8e-06 1.75e-06 2.4e-06 2.3e-06 1.9e-06 2.2e-06 1.95e-06 1.65e-06 1.9e-06 1.6e-06 1.9e-06 2.45e-06 1.9e-06 2e-06 2.05e-06 2.6e-06 1.8e-06 1.5e-06 1.8e-06 1.75e-06 1.55e-06 1.65e-06 2.45e-06 1.55e-06 2.05e-06 1.8e-06 1.85e-06 1.55e-06 1.9e-06 2.2e-06 1.95e-06 2.25e-06 2.05e-06 1.9e-06 1.8e-06 1.8e-06 2.65e-06 1.8e-06 1.65e-06 1.8e-06 1.8e-06 2.25e-06
21 2.2e-06 2.4e-06 2.85e-06 2.7e-06 2.4e-06 1.85e-06 2.65e-06 2.35e-06 2.3e-06 2.05e-06 2.1e-06 2.3e-06 2.55e-06 2.5e-06 2.2e-06 2.55e-06 3.3e-06 1.65e-06 2.35e-06 2.55e-06 1.75e-06 2.9e-06 2.65e-06 1.7e-06 2e-06 2.4e-06 2.4e-06 2.2e-06 2.3e-06 2.05e-06 1.9e-06 2.7e-06 2.3e-06 2.05e-06 1.9e-06 2.85e-06 2.2e-06 1.8e-06 1.75e-06 1.75e-06 1.85e-06 2.2e-06 2.7e-06 2.15e-06 1.9e-06 1.75e-06 2.3e-06 1.95e-06 2.3e-06 2.4e-06 1.9e-06 2.1e-06 2.05e-06 1.85e-06 2.4e-06 2.2e-06 2.9e-06 2.1e-06 1.45e-06 2.05e-06 1.75e-06 2.15e-06
22 2.6e-06 2e-06 1.6e-06 1.95e-06 1.95e-06 2.05e-06 1.6e-06 2.1e-06 2.3e-06 2.35e-06 2e-06 2.05e-06 2e-06 2.15e-06 1.9e-06 1.5e-06 1.45e-06 2.3e-06 1.65e-06 1.75e-06 2.4e-06 2.65e-06 1.3e-06 2.35e-06 2.45e-06 1.35e-06 1.9e-06 1.9e-06 1.4e-06 2.05e-06 2.1e-06 1.95e-06 1.2e-06 2.15e-06 1.5e-06 1.25e-06 1.3e-06 2.45e-06 2.2e-06 2.15e-06 2.5e-06 1.9e-06 1.45e-06 2e-06 1.5e-06 2.2e-06 2e-06 1.85e-06 2e-06 2.25e-06 2.15e-06 2.25e-06 2.3e-06 2.1e-06 2.15e-06 1.95e-06 1.2e-06 2.6e-06 2.65e-06 2.25e-06 2.2e-06 2.05e-06
23 1.8e-06 2.3e-06 2.7e-06 2.7e-06 2.65e-06 1.5e-06 2.5e-06 2.3e-06 2.2e-06 1.7e-06 1.5e-06 2.25e-06 2.7e-06 2.2e-06 2.3e-06 2.4e-06 3e-06 1.2e-06 2.4e-06 2.45e-06 2.3e-06 1.7e-06 2.35e-06 1.5e-06 2.7e-06 2.25e-06 2.25e-06 2.15e-06 2.1e-06 2.1e-06 1.55e-06 2.95e-06 2.15e-06 1.4e-06 1.4e-06 2.6e-06 2e-06 2.35e-06 1.35e-06 1.35e-06 2.4e-06 2.15e-06 2.55e-06 2.1e-06 1.4e-06 1.35e-06 2.2e-06 1.85e-06 2.15e-06 2.05e-06 1.55e-06 1.65e-06 1.95e-06 1.5e-06 2.6e-06 2.15e-06 2.75e-06 2.7e-06 1.8e-06 2.1e-06 1.35e-06 1.9e-06
24 2.85e-06 2.35e-06 2.15e-06 2.3e-06 1.75e-06 2.3e-06 2.5e-06 2.65e-06 2.5e-06 2.55e-06 2.35e-06 2.6e-06 1.85e-06 2.55e-06 1.95e-06 2.4e-06 2.85e-06 2.55e-06 2.1e-06 2.05e-06 1.9e-06 2e-06 2.45e-06 2.7e-06 2.2e-06 2.45e-06 2.7e-06 2.3e-06 2.5e-06 2.35e-06 2.35e-06 1.5e-06 2.15e-06 2.65e-06 2.45e-06 2.75e-06 2.4e-06 1.95e-06 2.6e-06 2.55e-06 2e-06 2.3e-06 2e-06 2.4e-06 2.45e-06 2.6e-06 2.6e-06 2.4e-06 2.5e-06 2.8e-06 2.4e-06 2.25e-06 2.1e-06 2.35e-06 2.1e-06 2.3e-06 2.25e-06 1.9e-06 2.15e-06 2.15e-06 2.6e-06 2.3e-06
25 2.7e-06 1.85e-06 2e-06 1.5e-06 2.2e-06 2.2e-06 1.75e-06 1.6e-06 2.35e-06 2.45e-06 1.95e-06 1.55e-06 2.2e-06 1.75e-06 2.15e-06 1.65e-06 2.25e-06 2.35e-06 1.85e-06 1.65e-06 2.2e-06 2.4e-06 1.35e-06 2.25e-06 2.45e-06 1.7e-06 2.05e-06 2.1e-06 1.6e-06 2.05e-06 2.25e-06 2.3e-06 1.4e-06 2.1e-06 1.65e-06 1.9e-06 1.5e-06 2.25e-06 2.35e-06 2.3e-06 2.3e-06 2.1e-06 1.85e-06 2.2e-06 1.65e-06 2.35e-06 2e-06 2.1e-06 1.85e-06 1.85e-06 2.3e-06 2.15e-06 2.5e-06 2.25e-06 2.4e-06 2.15e-06 1.95e-06 2.35e-06 2.45e-06 2.3e-06 2.35e-06 2.2e-06
26 1.7e-06 1.75e-06 2.25e-06 2.35e-06 1.65e-06 1.65e-06 2.05e-06 1.75e-06 1.65e-06 1.95e-06 2e-06 1.75e-06 2.3e-06 2.05e-06 1.65e-06 1.95e-06 2.25e-06 1.55e-06 2.05e-06 2.05e-06 1.95e-06 2.4e-06 1.9e-06 2.25e-06 2.7e-06 2.05e-06 2.1e-06 1.35e-06 1.6e-06 1.3e-06 1.7e-06 2.4e-06 1.65e-06 1.85e-06 1.85e-06 1.5e-06 1.5e-06 2.05e-06 1.55e-06 1.5e-06 2.1e-06 1.35e-06 2.1e-06 1.25e-06 1.85e-06 1.55e-06 1.4e-06 1.35e-06 1.6e-06 1.9e-06 1.75e-06 2.4e-06 1.9e-06 1.7e-06 1.55e-06 1.7e-06 2.15e-06 2.45e-06 2.15e-06 1.75e-06 1.55e-06 2.05e-06
27 1.1e-06 1.2e-06 1.95e-06 2.35e-06 1.05e-06 1e-06 1.45e-06 1.6e-06 9.5e-07 1.3e-06 1.55e-06 1.55e-06 1.7e-06 1.65e-06 1e-06 1.35e-06 2.15e-06 1.2e-06 1.65e-06 1.85e-06 1.65e-06 2.2e-06 1.9e-06 2.15e-06 2.3e-06 2.1e-06 1.35e-06 9e-07 1.15e-06 7e-07 1.05e-06 2e-06 1.05e-06 1.65e-06 1.6e-06 2.15e-06 1.05e-06 1.65e-06 1.05e-06 1e-06 1.7e-06 5e-07 1.8e-06 5e-07 1.6e-06 1.05e-06 9.5e-07 7e-07 1.25e-06 1.65e-06 1.1e-06 2e-06 1.65e-06 1.05e-06 1.2e-06 9e-07 2.1e-06 1.9e-06 1.95e-06 1.1e-06 1.05e-06 1.8e-06
28 1.7e-06 1.7e-06 2e-06 2.25e-06 1.65e-06 1.5e-06 1.45e-06 1.7e-06 1.6e-06 1.8e-06 1.8e-06 1.65e-06 2e-06 1.95e-06 1.45e-06 1.4e-06 2.15e-06 1.55e-06 1.65e-06 2e-06 1.9e-06 2.3e-06 1.4e-06 2.1e-06 2.5e-06 1.6e-06 1.6e-06 1.15e-06 1.9e-06 1.35e-06 1.55e-06 2.25e-06 1.1e-06 1.75e-06 1.35e-06 2e-06 9.5e-07 1.9e-06 1.4e-06 1.35e-06 1.95e-06 1.2e-06 1.85e-06 1.15e-06 1.35e-06 1.4e-06 1.45e-06 1.05e-06 1.6e-06 1.8e-06 1.6e-06 2.1e-06 1.95e-06 1.55e-06 1.65e-06 1.4e-06 2e-06 2.3e-06 2.15e-06 1.6e-06 1.4e-06 1.95e-06
29 1.2e-06 1.15e-06 2.1e-06 2.3e-06 1.2e-06 1.05e-06 1.6e-06 1.6e-06 1e-06 1.35e-06 1.6e-06 1.55e-06 1.85e-06 1.7e-06 1.2e-06 1.5e-06 2.3e-06 1.15e-06 1.7e-06 1.8e-06 1.6e-06 2.05e-06 2.05e-06 2.1e-06 2.35e-06 2.05e-06 1.3e-06 7e-07 1.35e-06 1.2e-06 1.1e-06 2.15e-06 1.2e-06 1.7e-06 1.65e-06 2.1e-06 1.25e-06 1.65e-06 1.15e-06 1.1e-06 1.7e-06 7e-07 1.95e-06 6.5e-07 1.65e-06 1.15e-06 9e-07 9e-07 1.2e-06 1.75e-06 1.15e-06 2.05e-06 1.7e-06 1.1e-06 1.35e-06 1.05e-06 2.25e-06 1.85e-06 1.75e-06 1.15e-06 1.15e-06 1.8e-06
