 slim_762180129 slim_762180122 slim_762180154 slim_762180114 slim_762180147 slim_762180145 slim_762180120 slim_762180151 slim_762180119 slim_762180118 slim_762180116 slim_762180123 slim_762180150 slim_762180140 slim_762180144 slim_762180131 slim_762180148 slim_762180138 slim_762180155 slim_762180153 slim_762180136 slim_762180139 slim_762180135 slim_762180127 slim_762180130 slim_762180117 slim_762180142 slim_762180133 slim_762180126 slim_762180115 slim_762180128 slim_762180124 slim_762180152 slim_762180113 slim_762180146 slim_762180149 slim_762180137 slim_762180143 slim_762180125 slim_762180134 slim_762180132 slim_762180141 slim_762180121
10 2.85e-06 2.8e-06 2.95e-06 2.85e-06 2.9e-06 3.25e-06 1.75e-06 2.8e-06 2.25e-06 1.4e-06 1e-07 2.85e-06 2.75e-06 3.15e-06 2.8e-06 1.55e-06 1.35e-06 2.85e-06 2.65e-06 8e-07 2.8e-06 1.9e-06 2.95e-06 3.1e-06 2.65e-06 1.95e-06 1.35e-06 3.15e-06 1.6e-06 1.4e-06 3.25e-06 2.4e-06 2.85e-06 1.4e-06 3.25e-06 1.75e-06 2.95e-06 2.4e-06 3.1e-06 2.7e-06 1e-07 2.9e-06 2.4e-06
11 1.7e-06 1.75e-06 1.9e-06 1.65e-06 1.7e-06 1.95e-06 2.6e-06 1.8e-06 2e-06 1.65e-06 2.85e-06 8e-07 1e-06 1.4e-06 1.05e-06 2.35e-06 2.4e-06 1.5e-06 1.6e-06 2.35e-06 1.65e-06 1.6e-06 1.2e-06 1.85e-06 2.1e-06 2.25e-06 2.2e-06 1.9e-06 2.6e-06 2.2e-06 1.95e-06 1.8e-06 1.65e-06 1.65e-06 1.9e-06 2.15e-06 1.75e-06 1.95e-06 1.95e-06 1.55e-06 2.9e-06 1.5e-06 1.65e-06
12 1.6e-06 1.25e-06 1.35e-06 1.5e-06 1.35e-06 1.95e-06 2.4e-06 1.65e-06 1.85e-06 1.75e-06 2.75e-06 1e-06 1.4e-06 1.35e-06 1.15e-06 2.3e-06 2.2e-06 1.6e-06 1.35e-06 2.2e-06 1.5e-06 1.7e-06 1.55e-06 1.8e-06 2.1e-06 1.85e-06 1.8e-06 1.85e-06 2.6e-06 2.05e-06 1.95e-06 1.8e-06 1.5e-06 1.75e-06 1.9e-06 2.15e-06 1.7e-06 1.9e-06 1.8e-06 1.4e-06 2.8e-06 1.65e-06 1.8e-06
13 2e-06 1.55e-06 1.65e-06 1.85e-06 1.85e-06 1.9e-06 2.9e-06 1.9e-06 2.15e-06 2.2e-06 3.15e-06 1.4e-06 1.35e-06 2.4e-06 1.6e-06 2.7e-06 2.45e-06 1.95e-06 1.7e-06 2.55e-06 1.85e-06 2.1e-06 1.9e-06 1.75e-06 2.1e-06 2.3e-06 2.3e-06 1.8e-06 2.55e-06 2.4e-06 1.9e-06 2.35e-06 1.85e-06 2.2e-06 1.4e-06 2.35e-06 2.1e-06 2.35e-06 1.8e-06 1.75e-06 3.2e-06 2e-06 2.15e-06
14 8.5e-07 1.35e-06 1.45e-06 1.15e-06 1.35e-06 1.75e-06 2.5e-06 1.4e-06 1.75e-06 1.85e-06 2.8e-06 1.05e-06 1.15e-06 1.6e-06 1.7e-06 2.05e-06 2.25e-06 1.1e-06 1.1e-06 2.2e-06 9.5e-07 1.75e-06 1.1e-06 1.5e-06 2.05e-06 2.1e-06 2.1e-06 1.55e-06 2.7e-06 1.9e-06 1.75e-06 1.55e-06 1.15e-06 1.85e-06 2.05e-06 1.95e-06 1.05e-06 1.4e-06 1.85e-06 8.5e-07 2.85e-06 1.3e-06 1.35e-06
15 1.75e-06 2.1e-06 2.2e-06 1.7e-06 1.9e-06 2.3e-06 2.25e-06 1.9e-06 2.05e-06 1.95e-06 1.55e-06 2.35e-06 2.3e-06 2.7e-06 2.05e-06 3.1e-06 1.9e-06 1.85e-06 1.85e-06 1.65e-06 1.8e-06 2.15e-06 2.05e-06 2.35e-06 2.45e-06 2.15e-06 1.85e-06 2.4e-06 2.3e-06 1.7e-06 2.35e-06 1.85e-06 1.75e-06 1.95e-06 2.85e-06 1.95e-06 1.65e-06 1.85e-06 2.6e-06 1.7e-06 1.6e-06 1.8e-06 1.8e-06
16 2.25e-06 2e-06 2.15e-06 2.25e-06 2.3e-06 2.45e-06 2.1e-06 1.85e-06 1.7e-06 1.8e-06 1.35e-06 2.4e-06 2.2e-06 2.45e-06 2.25e-06 1.9e-06 2.7e-06 2.3e-06 2.05e-06 1.55e-06 2.2e-06 2.05e-06 2.45e-06 2.3e-06 2.25e-06 2.05e-06 1.7e-06 2.35e-06 1.9e-06 1.75e-06 2.45e-06 2.2e-06 2.25e-06 1.8e-06 2.25e-06 2e-06 2.35e-06 2.2e-06 2.3e-06 2.1e-06 1.4e-06 2.35e-06 2.2e-06
17 5e-07 1.3e-06 1.4e-06 9e-07 1.15e-06 1.45e-06 2.55e-06 1.2e-06 1.75e-06 2.3e-06 2.85e-06 1.5e-06 1.6e-06 1.95e-06 1.1e-06 1.85e-06 2.3e-06 1e-06 1e-06 2.4e-06 7e-07 2.2e-06 8.5e-07 1.25e-06 1.95e-06 2.15e-06 2.15e-06 1.3e-06 2.7e-06 1.85e-06 1.45e-06 1.3e-06 9e-07 2.3e-06 1.9e-06 1.65e-06 6.5e-07 1.2e-06 1.8e-06 6e-07 2.9e-06 7e-07 9e-07
18 8e-07 1.1e-06 1.15e-06 8e-07 1.15e-06 1.55e-06 2.35e-06 1.15e-06 1.65e-06 2.05e-06 2.65e-06 1.6e-06 1.35e-06 1.7e-06 1.1e-06 1.85e-06 2.05e-06 1e-06 8e-07 2.05e-06 7e-07 1.9e-06 1.3e-06 1.4e-06 2e-06 1.9e-06 1.95e-06 1.45e-06 2.6e-06 1.6e-06 1.55e-06 1.5e-06 8e-07 2.05e-06 1.9e-06 1.85e-06 9e-07 1.4e-06 1.7e-06 6e-07 2.7e-06 1.15e-06 1.35e-06
19 2.3e-06 2.3e-06 2.4e-06 2.25e-06 2.4e-06 2.75e-06 1.9e-06 2.35e-06 1.85e-06 1.45e-06 8e-07 2.35e-06 2.2e-06 2.55e-06 2.2e-06 1.65e-06 1.55e-06 2.4e-06 2.05e-06 1.6e-06 2.2e-06 1.65e-06 2.5e-06 2.6e-06 2.2e-06 1.8e-06 1.5e-06 2.65e-06 1.75e-06 1.45e-06 2.75e-06 1.95e-06 2.25e-06 1.45e-06 2.8e-06 1.9e-06 2.4e-06 1.9e-06 2.65e-06 2.1e-06 8.5e-07 2.45e-06 1.95e-06
20 3.5e-07 1.15e-06 1.2e-06 7e-07 1.1e-06 1.5e-06 2.5e-06 1.1e-06 1.65e-06 2.2e-06 2.8e-06 1.65e-06 1.5e-06 1.85e-06 9.5e-07 1.8e-06 2.2e-06 7e-07 7e-07 2.2e-06 7e-07 2.05e-06 1e-06 1.25e-06 2e-06 2.05e-06 2.1e-06 1.3e-06 2.75e-06 1.65e-06 1.5e-06 1.35e-06 7e-07 2.2e-06 2.05e-06 1.75e-06 5.5e-07 1.1e-06 1.8e-06 3.5e-07 2.85e-06 9.5e-07 1.05e-06
21 2.15e-06 2.1e-06 2.2e-06 2.1e-06 2.2e-06 2.55e-06 2.35e-06 2.2e-06 2.05e-06 1.65e-06 1.9e-06 1.6e-06 1.7e-06 2.1e-06 1.75e-06 2.15e-06 2.05e-06 2.2e-06 1.9e-06 1.65e-06 2.05e-06 2.7e-06 2.1e-06 2.4e-06 2.35e-06 1.75e-06 1.95e-06 2.45e-06 2.35e-06 1.9e-06 2.55e-06 2.1e-06 2.1e-06 1.65e-06 2.55e-06 2.2e-06 2.25e-06 2.1e-06 2.45e-06 1.95e-06 1.95e-06 2.25e-06 2.05e-06
22 8e-07 1.55e-06 1.65e-06 1.2e-06 1.4e-06 1.7e-06 2.7e-06 1.45e-06 1.9e-06 2.2e-06 2.95e-06 1.2e-06 1.55e-06 1.9e-06 1.1e-06 2.05e-06 2.45e-06 8.5e-07 1.3e-06 2.5e-06 1e-06 2.1e-06 1.6e-06 1.5e-06 2.1e-06 2.3e-06 2.3e-06 1.55e-06 2.8e-06 2.05e-06 1.7e-06 1.5e-06 1.2e-06 2.2e-06 2.1e-06 1.9e-06 9.5e-07 1.4e-06 2e-06 9e-07 3e-06 1e-06 1.1e-06
23 1.15e-06 1.45e-06 1.55e-06 1.45e-06 1.65e-06 1.4e-06 2.8e-06 1.45e-06 1.85e-06 2.5e-06 3.1e-06 1.85e-06 1.8e-06 1.75e-06 1.5e-06 2.35e-06 2.3e-06 1.25e-06 1.4e-06 2.6e-06 1.25e-06 2.4e-06 1.5e-06 2.3e-06 1.8e-06 2.4e-06 2.4e-06 1.2e-06 2.45e-06 2.2e-06 1.4e-06 1.9e-06 1.45e-06 2.5e-06 1.15e-06 1.95e-06 1.35e-06 1.75e-06 1.55e-06 1.15e-06 3.15e-06 1.45e-06 1.55e-06
24 2e-06 1.95e-06 2.1e-06 2.05e-06 2.15e-06 1.95e-06 2.75e-06 1.95e-06 1.65e-06 2.4e-06 2.65e-06 2.1e-06 2.1e-06 2.1e-06 2.05e-06 2.45e-06 2.25e-06 1.95e-06 2e-06 2.2e-06 2e-06 2.35e-06 2.1e-06 1.8e-06 3e-06 2.4e-06 2.35e-06 1.85e-06 2.25e-06 2.3e-06 1.95e-06 1.75e-06 2.05e-06 2.4e-06 1.5e-06 2.25e-06 2.1e-06 1.75e-06 1.9e-06 1.9e-06 2.7e-06 2e-06 1.85e-06
25 2.1e-06 1.8e-06 1.95e-06 2.05e-06 1.9e-06 2.55e-06 2.35e-06 2.15e-06 2.05e-06 2.05e-06 1.95e-06 2.25e-06 1.85e-06 2.3e-06 2.1e-06 2.15e-06 2.05e-06 2.15e-06 1.9e-06 1.8e-06 2.05e-06 1.75e-06 2.3e-06 2.4e-06 2.4e-06 2.8e-06 1.7e-06 2.45e-06 2.45e-06 1.95e-06 2.55e-06 2.1e-06 2.05e-06 2.05e-06 2.6e-06 2.2e-06 2.2e-06 2.1e-06 2.45e-06 1.95e-06 2e-06 2.2e-06 2.05e-06
26 2.15e-06 1.8e-06 2e-06 2.1e-06 1.9e-06 2.55e-06 2e-06 2.15e-06 2e-06 1.7e-06 1.35e-06 2.2e-06 1.8e-06 2.3e-06 2.1e-06 1.85e-06 1.7e-06 2.15e-06 1.95e-06 1.5e-06 2.1e-06 1.95e-06 2.3e-06 2.4e-06 2.35e-06 1.7e-06 2.7e-06 2.45e-06 2.05e-06 1.7e-06 2.55e-06 2.05e-06 2.1e-06 1.7e-06 2.55e-06 1.9e-06 2.25e-06 2.1e-06 2.4e-06 2e-06 1.4e-06 2.2e-06 2.05e-06
27 1.2e-06 1.5e-06 1.6e-06 1.5e-06 1.7e-06 1.45e-06 2.85e-06 1.5e-06 1.9e-06 2.55e-06 3.15e-06 1.9e-06 1.85e-06 1.8e-06 1.55e-06 2.4e-06 2.35e-06 1.3e-06 1.45e-06 2.65e-06 1.3e-06 2.45e-06 1.55e-06 1.2e-06 1.85e-06 2.45e-06 2.45e-06 2.4e-06 2.5e-06 2.25e-06 1.45e-06 1.95e-06 1.5e-06 2.55e-06 1.2e-06 2e-06 1.4e-06 1.8e-06 1.6e-06 1.2e-06 3.2e-06 1.5e-06 1.6e-06
28 2.85e-06 2.55e-06 2.7e-06 2.8e-06 2.85e-06 2.6e-06 2.4e-06 2.6e-06 2.3e-06 2.05e-06 1.6e-06 2.6e-06 2.6e-06 2.55e-06 2.7e-06 2.3e-06 1.9e-06 2.7e-06 2.6e-06 1.75e-06 2.75e-06 2.35e-06 2.8e-06 2.45e-06 2.25e-06 2.45e-06 2.05e-06 2.5e-06 3.1e-06 2.15e-06 2.6e-06 2.6e-06 2.8e-06 2.05e-06 1.95e-06 2.25e-06 2.95e-06 2.65e-06 2.45e-06 2.65e-06 1.65e-06 2.75e-06 2.45e-06
29 1.75e-06 1.95e-06 2.05e-06 1.75e-06 2e-06 2.35e-06 2.1e-06 1.95e-06 1.95e-06 1.75e-06 1.4e-06 2.2e-06 2.05e-06 2.4e-06 1.9e-06 1.7e-06 1.75e-06 1.85e-06 1.6e-06 1.45e-06 1.65e-06 1.9e-06 2.05e-06 2.2e-06 2.3e-06 1.95e-06 1.7e-06 2.25e-06 2.15e-06 2.7e-06 2.35e-06 1.9e-06 1.75e-06 1.75e-06 2.55e-06 1.75e-06 1.85e-06 1.85e-06 2.4e-06 1.55e-06 1.45e-06 1.95e-06 1.8e-06
30 1.5e-06 1.6e-06 1.7e-06 1.45e-06 1.65e-06 1.4e-06 2.95e-06 1.45e-06 2e-06 2.65e-06 3.25e-06 1.95e-06 1.95e-06 1.9e-06 1.75e-06 2.35e-06 2.45e-06 1.45e-06 1.55e-06 2.75e-06 1.5e-06 2.55e-06 1.7e-06 1.4e-06 1.95e-06 2.55e-06 2.55e-06 1.45e-06 2.6e-06 2.35e-06 2.6e-06 1.95e-06 1.5e-06 2.65e-06 1.3e-06 2.2e-06 1.45e-06 2e-06 1.7e-06 1.4e-06 3.3e-06 1.45e-06 1.75e-06
31 1.25e-06 1.7e-06 1.85e-06 1.35e-06 1.5e-06 1.95e-06 2.45e-06 1.55e-06 1.45e-06 2.15e-06 2.4e-06 1.8e-06 1.8e-06 2.35e-06 1.55e-06 1.85e-06 2.2e-06 1.3e-06 1.5e-06 1.95e-06 1.35e-06 2.1e-06 1.5e-06 1.9e-06 1.75e-06 2.1e-06 2.05e-06 1.95e-06 2.6e-06 1.9e-06 1.95e-06 1.9e-06 1.4e-06 2.15e-06 2.45e-06 2.05e-06 1.25e-06 1.1e-06 2.2e-06 1.25e-06 2.45e-06 1.35e-06 1.25e-06
32 7e-07 1.2e-06 1.25e-06 5.5e-07 1e-06 1.45e-06 2.55e-06 1.1e-06 1.7e-06 2.25e-06 2.85e-06 1.65e-06 1.5e-06 1.85e-06 1.15e-06 1.75e-06 2.25e-06 9e-07 8e-07 2.25e-06 7e-07 2.1e-06 1.2e-06 1.45e-06 2.05e-06 2.05e-06 2.1e-06 1.5e-06 2.8e-06 1.75e-06 1.5e-06 1.4e-06 1e-06 2.25e-06 2.1e-06 1.95e-06 6.5e-07 1.3e-06 1.85e-06 6e-07 2.9e-06 9e-07 1.25e-06
33 2.3e-06 2.2e-06 2.35e-06 2.25e-06 2.3e-06 2.65e-06 2.1e-06 2.3e-06 2.1e-06 1.4e-06 1.4e-06 1.65e-06 1.75e-06 2.2e-06 1.85e-06 1.95e-06 1.8e-06 2.3e-06 2.05e-06 1.45e-06 2.2e-06 1.65e-06 2.2e-06 2.5e-06 2.4e-06 2.05e-06 1.7e-06 2.55e-06 2.05e-06 1.75e-06 2.65e-06 2.15e-06 2.25e-06 2.8e-06 2.6e-06 2e-06 2.4e-06 2.2e-06 2.5e-06 2.1e-06 1.45e-06 2.35e-06 2.15e-06
34 2.2e-06 1.65e-06 1.8e-06 2.1e-06 2.15e-06 1.3e-06 2.95e-06 1.75e-06 2e-06 2.6e-06 3.25e-06 1.9e-06 1.9e-06 1.4e-06 2.05e-06 2.85e-06 2.25e-06 1.9e-06 1.9e-06 2.8e-06 2.05e-06 2.55e-06 2.1e-06 1.15e-06 1.5e-06 2.6e-06 2.55e-06 1.2e-06 1.95e-06 2.55e-06 1.3e-06 2.45e-06 2.1e-06 2.6e-06 0.0 2.1e-06 2.3e-06 2.55e-06 1.15e-06 1.95e-06 3.3e-06 1.95e-06 2.15e-06
35 1.7e-06 2.1e-06 2.25e-06 1.95e-06 2.1e-06 2.2e-06 2.3e-06 2.1e-06 2.2e-06 2e-06 1.75e-06 2.15e-06 2.15e-06 2.35e-06 1.95e-06 1.95e-06 2e-06 1.65e-06 1.85e-06 1.9e-06 1.75e-06 2.2e-06 1.9e-06 1.95e-06 2.25e-06 2.2e-06 1.9e-06 2e-06 2.25e-06 1.75e-06 2.2e-06 2.05e-06 1.95e-06 2e-06 2.1e-06 2.8e-06 1.9e-06 2e-06 2.25e-06 1.65e-06 1.8e-06 1.85e-06 1.75e-06
36 3e-07 1.25e-06 1.3e-06 6e-07 9.5e-07 1.4e-06 2.65e-06 1e-06 1.7e-06 2.4e-06 2.95e-06 1.75e-06 1.7e-06 2.1e-06 1.05e-06 1.65e-06 2.35e-06 6.5e-07 9e-07 2.4e-06 5.5e-07 2.25e-06 9.5e-07 1.35e-06 2.1e-06 2.2e-06 2.25e-06 1.4e-06 2.95e-06 1.85e-06 1.45e-06 1.25e-06 6.5e-07 2.4e-06 2.3e-06 1.9e-06 6e-07 1.05e-06 1.95e-06 4.5e-07 3e-06 7.5e-07 1e-06
37 8.5e-07 1.65e-06 1.75e-06 1.3e-06 1.55e-06 2e-06 2.5e-06 1.55e-06 1.4e-06 2.2e-06 2.4e-06 1.95e-06 1.9e-06 2.35e-06 1.4e-06 1.85e-06 2.2e-06 1.2e-06 1.4e-06 1.9e-06 1.1e-06 2.1e-06 1.4e-06 1.75e-06 1.75e-06 2.1e-06 2.1e-06 1.8e-06 2.65e-06 1.85e-06 2e-06 1.1e-06 1.3e-06 2.2e-06 2.55e-06 2e-06 1.05e-06 1.7e-06 2.2e-06 1e-06 2.45e-06 1.4e-06 1.15e-06
38 1.85e-06 1.6e-06 1.75e-06 1.85e-06 1.9e-06 1.7e-06 2.45e-06 1.7e-06 1.95e-06 2.5e-06 3.1e-06 1.95e-06 1.8e-06 1.8e-06 1.85e-06 2.6e-06 2.3e-06 1.8e-06 1.7e-06 2.65e-06 1.8e-06 2.45e-06 2e-06 1.55e-06 1.9e-06 2.45e-06 2.4e-06 1.6e-06 2.45e-06 2.4e-06 1.7e-06 2.2e-06 1.85e-06 2.5e-06 1.15e-06 2.25e-06 1.95e-06 2.2e-06 2.3e-06 1.7e-06 3.15e-06 1.85e-06 2.05e-06
39 2.5e-07 1.05e-06 1.1e-06 6e-07 1e-06 1.4e-06 2.4e-06 1e-06 1.55e-06 2.1e-06 2.7e-06 1.55e-06 1.4e-06 1.75e-06 8.5e-07 1.7e-06 2.1e-06 6e-07 6e-07 2.1e-06 3.5e-07 1.95e-06 9e-07 1.15e-06 1.9e-06 1.95e-06 2e-06 1.2e-06 2.65e-06 1.55e-06 1.4e-06 1.25e-06 6e-07 2.1e-06 1.95e-06 1.65e-06 4.5e-07 1e-06 1.7e-06 5e-07 2.75e-06 8.5e-07 9.5e-07
40 2.9e-06 2.85e-06 3e-06 2.9e-06 2.95e-06 3.3e-06 1.8e-06 2.85e-06 2.3e-06 1.45e-06 1e-07 2.9e-06 2.8e-06 3.2e-06 2.85e-06 1.6e-06 1.4e-06 2.9e-06 2.7e-06 8.5e-07 2.85e-06 1.95e-06 3e-06 3.15e-06 2.7e-06 2e-06 1.4e-06 3.2e-06 1.65e-06 1.45e-06 3.3e-06 2.45e-06 2.9e-06 1.45e-06 3.3e-06 1.8e-06 3e-06 2.45e-06 3.15e-06 2.75e-06 2e-07 2.95e-06 2.45e-06
41 8.5e-07 1.4e-06 1.5e-06 9e-07 1.1e-06 1.4e-06 2.6e-06 1.2e-06 1.8e-06 2.35e-06 2.9e-06 1.5e-06 1.65e-06 2e-06 1.3e-06 1.8e-06 2.35e-06 7e-07 1.15e-06 2.45e-06 9.5e-07 2.25e-06 1e-06 1.45e-06 2e-06 2.2e-06 2.2e-06 1.5e-06 2.75e-06 1.95e-06 1.45e-06 1.35e-06 9e-07 2.35e-06 1.95e-06 1.85e-06 7.5e-07 1.4e-06 1.85e-06 8.5e-07 2.95e-06 1.1e-06 1.05e-06
42 8.5e-07 1.6e-06 1.7e-06 1.25e-06 1.45e-06 1.75e-06 2.45e-06 1.5e-06 1.65e-06 2.15e-06 2.4e-06 1.65e-06 1.8e-06 2.15e-06 1.35e-06 1.8e-06 2.2e-06 9e-07 1.35e-06 1.95e-06 1.05e-06 2.05e-06 1.1e-06 1.55e-06 1.85e-06 2.05e-06 2.05e-06 1.6e-06 2.45e-06 1.8e-06 1.75e-06 1.25e-06 1.25e-06 2.15e-06 2.15e-06 1.75e-06 1e-06 1.15e-06 2.05e-06 9.5e-07 2.45e-06 1.05e-06 1.7e-06
