 slim_761964978 slim_761964980 slim_761964989 slim_761964984 slim_761964992 slim_761965003 slim_761965004 slim_761965014 slim_761965006 slim_761964977 slim_761965001 slim_761964988 slim_761964975 slim_761964985 slim_761964998 slim_761964983 slim_761964995 slim_761964982 slim_761965010 slim_761965007 slim_761964991 slim_761965009 slim_761965012 slim_761965015 slim_761964976 slim_761965011 slim_761964999 slim_761964974 slim_761964990 slim_761964981 slim_761965013 slim_761964979 slim_761964996 slim_761964994 slim_761964997 slim_761964986 slim_761964993 slim_761965002 slim_761965005 slim_761964987 slim_761965008 slim_761965000
10 1.9e-06 1.65e-06 1.05e-06 1.85e-06 2.25e-06 1.25e-06 2.2e-06 2.1e-06 1.55e-06 1.6e-06 2e-06 1.6e-06 1.4e-06 1.65e-06 2.05e-06 2.15e-06 1.95e-06 1.6e-06 2.25e-06 1.85e-06 1.65e-06 1.65e-06 1.75e-06 1.75e-06 1.95e-06 1.85e-06 1.6e-06 1.8e-06 1.85e-06 2.25e-06 1.75e-06 1.75e-06 1.6e-06 2.3e-06 1.9e-06 1.7e-06 2.05e-06 1.75e-06 1.6e-06 1.45e-06 1.65e-06 2.25e-06
11 2.05e-06 1.8e-06 1.85e-06 2.1e-06 2.45e-06 1.7e-06 1.8e-06 2.1e-06 1.4e-06 1.65e-06 1.6e-06 2.4e-06 1.75e-06 1.55e-06 1.7e-06 2.1e-06 1.65e-06 1.55e-06 1.75e-06 1.75e-06 1.7e-06 1.55e-06 1.5e-06 1.7e-06 1.95e-06 1.55e-06 1.55e-06 1.4e-06 1.85e-06 1.75e-06 1.45e-06 1.7e-06 1.5e-06 1.6e-06 1.95e-06 1.75e-06 1.5e-06 1.7e-06 1.85e-06 1.65e-06 1.65e-06 1.8e-06
12 1.75e-06 1.3e-06 1.3e-06 2.05e-06 2.25e-06 1.45e-06 2.1e-06 1.85e-06 1.8e-06 1.7e-06 1.4e-06 1.75e-06 2.5e-06 1.35e-06 2.1e-06 2.25e-06 1.75e-06 1.45e-06 2.25e-06 1.75e-06 1.7e-06 1.35e-06 1.6e-06 1.85e-06 2.05e-06 1.65e-06 1.8e-06 1.9e-06 1.6e-06 2.25e-06 1.75e-06 1.5e-06 1.7e-06 2.35e-06 1.7e-06 1.9e-06 1.75e-06 1.8e-06 1.5e-06 1.7e-06 1.45e-06 2.3e-06
13 1.7e-06 1.05e-06 2.15e-06 2.05e-06 2.65e-06 1.6e-06 1.95e-06 1.6e-06 1.65e-06 1.1e-06 1.65e-06 1.55e-06 1.35e-06 1.2e-06 2.1e-06 2e-06 1.45e-06 7.5e-07 2.15e-06 1.25e-06 1.4e-06 6.5e-07 1.4e-06 2.25e-06 1.7e-06 1.35e-06 1.95e-06 1.95e-06 1e-06 2.15e-06 1.3e-06 8e-07 2.1e-06 2.35e-06 1.65e-06 1.65e-06 1.35e-06 1.85e-06 1.45e-06 1.45e-06 8.5e-07 2e-06
14 2.3e-06 2.3e-06 1.9e-06 1.95e-06 2.45e-06 1.85e-06 1.9e-06 2.5e-06 1.9e-06 2.05e-06 2.05e-06 1.7e-06 2.1e-06 2.1e-06 2.5e-06 2.1e-06 2e-06 2.15e-06 1.65e-06 2.4e-06 1.55e-06 2.1e-06 1.9e-06 1.75e-06 1.95e-06 1.85e-06 1.75e-06 1.55e-06 2.4e-06 1.65e-06 1.85e-06 2.2e-06 1.6e-06 1.7e-06 2.15e-06 2.05e-06 1.8e-06 1.75e-06 2.15e-06 2.25e-06 2e-06 2.2e-06
15 2.35e-06 2.05e-06 2.55e-06 2.1e-06 3e-06 2.1e-06 2.45e-06 2.55e-06 2.15e-06 1.85e-06 2.15e-06 2.1e-06 2.25e-06 2e-06 2.1e-06 3e-06 2.3e-06 1.85e-06 2.45e-06 2e-06 1.6e-06 2e-06 2.25e-06 2.7e-06 2.05e-06 2.4e-06 2.2e-06 2.5e-06 2.25e-06 2.45e-06 2.15e-06 2.15e-06 2.55e-06 2.8e-06 2.35e-06 2e-06 2.5e-06 2.4e-06 2.35e-06 2.15e-06 2e-06 2.1e-06
16 2e-06 1.55e-06 2.2e-06 2.3e-06 2.45e-06 1.95e-06 2e-06 2.05e-06 1.7e-06 1.8e-06 1.95e-06 1.65e-06 1.75e-06 1.45e-06 2e-06 2.3e-06 2.7e-06 1.55e-06 2.05e-06 1.75e-06 1.85e-06 1.45e-06 1.55e-06 2.1e-06 2.1e-06 1.5e-06 1.8e-06 1.75e-06 1.8e-06 2.05e-06 1.65e-06 1.6e-06 1.95e-06 1.95e-06 1.85e-06 2e-06 1.6e-06 1.85e-06 1.95e-06 1.9e-06 1.55e-06 2e-06
17 2e-06 1.05e-06 2.35e-06 2.05e-06 2.85e-06 1.65e-06 1.9e-06 1.95e-06 1.6e-06 8e-07 1.6e-06 1.55e-06 1.45e-06 7.5e-07 2.15e-06 1.85e-06 1.55e-06 6e-07 2.25e-06 1.35e-06 1.2e-06 8e-07 1.5e-06 2.5e-06 1.6e-06 1.7e-06 1.9e-06 2.2e-06 1.05e-06 2.25e-06 1.2e-06 8e-07 2.35e-06 2.6e-06 1.75e-06 1.45e-06 1.75e-06 2.1e-06 1.4e-06 1.35e-06 1.05e-06 2e-06
18 2.45e-06 2.45e-06 2.15e-06 2.35e-06 2.8e-06 2.1e-06 1.65e-06 2.55e-06 1.85e-06 2.25e-06 2.25e-06 1.75e-06 2.25e-06 2.15e-06 1.65e-06 2.45e-06 2.05e-06 2.25e-06 2.4e-06 2.5e-06 2e-06 2.15e-06 1.95e-06 1.85e-06 1.65e-06 1.75e-06 1.75e-06 1.5e-06 2.45e-06 1.2e-06 1.85e-06 2.3e-06 1.7e-06 1.55e-06 2.4e-06 1.7e-06 1.8e-06 1.9e-06 2.05e-06 2.4e-06 2.15e-06 2.1e-06
19 1.75e-06 1.45e-06 2.4e-06 2.35e-06 2.7e-06 1.95e-06 2.3e-06 1.7e-06 1.75e-06 1.6e-06 1.85e-06 1.75e-06 1.75e-06 1.25e-06 2.4e-06 2e-06 1.75e-06 1.35e-06 2.5e-06 2.3e-06 1.85e-06 1.25e-06 1.7e-06 2.5e-06 2.15e-06 1.65e-06 2.1e-06 2.2e-06 1.6e-06 2.5e-06 1.75e-06 1.4e-06 2.35e-06 2.5e-06 1.95e-06 1.95e-06 1.8e-06 2.15e-06 2e-06 1.7e-06 1.35e-06 1.9e-06
20 2.2e-06 1.5e-06 2.05e-06 1.6e-06 2.7e-06 1.55e-06 2e-06 2.35e-06 1.75e-06 1.2e-06 1.65e-06 1.7e-06 1.7e-06 1.4e-06 1.55e-06 1.6e-06 1.85e-06 1.2e-06 2e-06 1.85e-06 1.8e-06 1.4e-06 1.8e-06 2.3e-06 1.45e-06 1.95e-06 1.8e-06 2.1e-06 1.65e-06 2e-06 1.6e-06 1.5e-06 2.15e-06 2.5e-06 1.9e-06 1.45e-06 2.05e-06 1.95e-06 1.75e-06 1.6e-06 1.4e-06 2.2e-06
21 1.7e-06 1.05e-06 2.15e-06 2.05e-06 2.65e-06 1.65e-06 1.95e-06 1.6e-06 1.65e-06 1.15e-06 1.65e-06 1.55e-06 1.35e-06 6.5e-07 2.1e-06 2e-06 1.45e-06 8e-07 2.15e-06 1.25e-06 1.4e-06 1.2e-06 1.4e-06 2.25e-06 1.75e-06 1.35e-06 1.95e-06 1.95e-06 1.05e-06 2.15e-06 1.3e-06 8.5e-07 2.1e-06 2.35e-06 1.65e-06 1.65e-06 1.4e-06 1.85e-06 1.5e-06 1.45e-06 9e-07 2e-06
22 1.95e-06 1.4e-06 1.95e-06 2.2e-06 2.45e-06 1.8e-06 1.9e-06 2e-06 1.6e-06 1.75e-06 1.75e-06 1.5e-06 1.6e-06 1.4e-06 1.9e-06 2.25e-06 1.55e-06 1.5e-06 1.95e-06 1.7e-06 1.8e-06 1.4e-06 2.6e-06 1.9e-06 2.05e-06 1.45e-06 1.7e-06 1.5e-06 1.75e-06 1.95e-06 1.55e-06 1.55e-06 1.75e-06 1.85e-06 1.85e-06 1.9e-06 1.5e-06 1.85e-06 1.85e-06 1.8e-06 1.5e-06 2e-06
23 2.05e-06 2.5e-06 1.1e-06 2.35e-06 2.15e-06 1.7e-06 2.05e-06 2.2e-06 1.8e-06 2.5e-06 1.75e-06 1.7e-06 1.85e-06 2.25e-06 1.75e-06 2.7e-06 2.1e-06 2.5e-06 1.85e-06 2.5e-06 2.3e-06 2.25e-06 1.9e-06 2.1e-06 2.5e-06 1.75e-06 1.6e-06 1.3e-06 2.5e-06 1.85e-06 1.95e-06 2.4e-06 1.1e-06 1.35e-06 2.15e-06 2.45e-06 1.7e-06 1.55e-06 1.95e-06 2.3e-06 2.25e-06 2.15e-06
24 2.45e-06 1.95e-06 2.3e-06 1.9e-06 3.05e-06 1.6e-06 2e-06 2.55e-06 1.8e-06 1.35e-06 1.95e-06 1.95e-06 2.05e-06 1.7e-06 1.95e-06 2.05e-06 2.1e-06 1.6e-06 1.65e-06 2.15e-06 1.45e-06 1.75e-06 2.05e-06 2.5e-06 1.9e-06 1.95e-06 1.9e-06 2.15e-06 1.95e-06 1.65e-06 1.85e-06 1.8e-06 2.35e-06 2.45e-06 2.35e-06 1.2e-06 2.2e-06 2.2e-06 1.85e-06 1.85e-06 1.45e-06 2.3e-06
25 1.75e-06 1.75e-06 1.85e-06 2.2e-06 2.25e-06 1.75e-06 1.8e-06 1.65e-06 1.45e-06 1.85e-06 1.85e-06 1.55e-06 1.65e-06 1.35e-06 1.85e-06 2.4e-06 1.5e-06 1.7e-06 1.75e-06 1.65e-06 1.95e-06 1.35e-06 1.45e-06 1.75e-06 1.95e-06 2e-06 1.6e-06 1.35e-06 1.75e-06 1.75e-06 1.5e-06 1.5e-06 1.6e-06 1.45e-06 1.8e-06 1.95e-06 1.25e-06 1.55e-06 1.75e-06 1.85e-06 1.35e-06 1.75e-06
26 2.1e-06 1.9e-06 1.55e-06 2.05e-06 2.4e-06 1.65e-06 1.85e-06 2.4e-06 1.3e-06 1.9e-06 1.6e-06 1.55e-06 1.8e-06 1.95e-06 1.75e-06 2.2e-06 1.8e-06 1.9e-06 1.75e-06 2.1e-06 1.8e-06 1.95e-06 1.7e-06 1.6e-06 1.9e-06 1.6e-06 2.2e-06 1.45e-06 2.25e-06 1.75e-06 1.7e-06 2.05e-06 1.55e-06 1.5e-06 2.1e-06 1.75e-06 1.9e-06 1.8e-06 1.85e-06 1.85e-06 1.95e-06 1.75e-06
27 2.05e-06 2.35e-06 1.5e-06 2.2e-06 2.4e-06 1.75e-06 1.8e-06 2.1e-06 1.5e-06 2.2e-06 1.8e-06 1.4e-06 1.9e-06 1.95e-06 1.55e-06 2.5e-06 1.75e-06 2.2e-06 1.5e-06 2.2e-06 2.1e-06 1.95e-06 1.5e-06 1.3e-06 2.15e-06 1.35e-06 1.45e-06 1.1e-06 2.3e-06 1.5e-06 1.35e-06 2.1e-06 1.15e-06 1.1e-06 2.15e-06 2.1e-06 1.4e-06 1.45e-06 2e-06 2.05e-06 1.95e-06 1.85e-06
28 2.05e-06 1.4e-06 2.3e-06 2.25e-06 2.45e-06 1.8e-06 2.25e-06 1.9e-06 1.95e-06 1.4e-06 1.85e-06 1.85e-06 1.6e-06 1e-06 2.4e-06 2.25e-06 1.8e-06 1.05e-06 2.45e-06 1.6e-06 1.65e-06 1.05e-06 1.75e-06 2.5e-06 1.95e-06 1.75e-06 2.25e-06 2.3e-06 1.7e-06 2.45e-06 1.65e-06 1.2e-06 2.35e-06 2.7e-06 1.9e-06 1.9e-06 1.75e-06 2.1e-06 1.65e-06 1.65e-06 1.2e-06 2.3e-06
29 2.45e-06 2.45e-06 2.15e-06 2.35e-06 2.8e-06 2.1e-06 1.65e-06 2.55e-06 1.85e-06 2.25e-06 2.25e-06 1.75e-06 2.25e-06 2.15e-06 1.65e-06 2.45e-06 2.05e-06 2.25e-06 1.2e-06 2.5e-06 2e-06 2.15e-06 1.95e-06 1.85e-06 1.65e-06 1.75e-06 1.75e-06 1.5e-06 2.45e-06 2.4e-06 1.85e-06 2.3e-06 1.7e-06 1.55e-06 2.4e-06 1.7e-06 1.8e-06 1.9e-06 2.05e-06 2.4e-06 2.15e-06 2.1e-06
30 2.05e-06 1.8e-06 2.05e-06 2.15e-06 2.7e-06 1.75e-06 1.9e-06 1.95e-06 1.5e-06 1.35e-06 1.75e-06 1.45e-06 1.75e-06 1.3e-06 1.85e-06 2.15e-06 1.65e-06 1.2e-06 1.85e-06 1.75e-06 1.6e-06 1.3e-06 1.55e-06 1.95e-06 1.85e-06 1.5e-06 1.7e-06 1.35e-06 1.65e-06 1.85e-06 2e-06 1.35e-06 1.8e-06 1.8e-06 1.95e-06 1.75e-06 1.6e-06 1.7e-06 1.75e-06 1.65e-06 1.5e-06 1.8e-06
31 1.85e-06 1.2e-06 2.25e-06 2.15e-06 2.75e-06 1.7e-06 2.1e-06 1.75e-06 1.75e-06 1.1e-06 1.75e-06 1.7e-06 1.5e-06 8e-07 2.2e-06 2.15e-06 1.6e-06 8e-07 2.3e-06 1.4e-06 1.5e-06 8.5e-07 1.55e-06 2.4e-06 1.8e-06 1.5e-06 2.05e-06 2.1e-06 1.2e-06 2.3e-06 1.35e-06 1.6e-06 2.25e-06 2.5e-06 1.8e-06 1.75e-06 1.55e-06 2e-06 1.6e-06 1.55e-06 1e-06 2.15e-06
32 1.9e-06 2.35e-06 9.5e-07 2.2e-06 2e-06 1.55e-06 1.9e-06 2.05e-06 1.75e-06 2.35e-06 1.6e-06 1.5e-06 1.7e-06 2.1e-06 1.6e-06 2.55e-06 1.95e-06 2.35e-06 1.7e-06 2.35e-06 2.15e-06 2.1e-06 1.75e-06 1.1e-06 2.35e-06 1.6e-06 1.55e-06 1.15e-06 2.35e-06 1.7e-06 1.8e-06 2.25e-06 1.8e-06 1.35e-06 2e-06 2.3e-06 1.5e-06 1.4e-06 1.8e-06 2.15e-06 2.1e-06 2.1e-06
33 2.35e-06 2.8e-06 2e-06 2.65e-06 2.45e-06 2.2e-06 1.75e-06 2.35e-06 1.55e-06 2.6e-06 2.3e-06 1.6e-06 2.35e-06 2.35e-06 1.7e-06 2.8e-06 1.95e-06 2.6e-06 1.55e-06 2.5e-06 2.5e-06 2.35e-06 1.85e-06 1.35e-06 2.45e-06 1.45e-06 1.5e-06 1.1e-06 2.7e-06 1.55e-06 1.8e-06 2.5e-06 1.35e-06 1.3e-06 2.35e-06 2.45e-06 1.55e-06 1.65e-06 2.3e-06 2.5e-06 2.35e-06 1.7e-06
34 2.05e-06 1.75e-06 1.9e-06 2.3e-06 2.05e-06 1.9e-06 2.25e-06 2e-06 2e-06 2e-06 1.9e-06 1.95e-06 1.7e-06 1.65e-06 2.15e-06 2.35e-06 1.85e-06 1.75e-06 2.4e-06 1.95e-06 1.9e-06 1.65e-06 1.85e-06 2.15e-06 2.35e-06 1.8e-06 2.1e-06 2.15e-06 1.9e-06 2.4e-06 1.95e-06 1.8e-06 2e-06 2.35e-06 3.1e-06 2.25e-06 1.9e-06 1.65e-06 1.9e-06 2.05e-06 1.75e-06 2.3e-06
35 2.4e-06 1.7e-06 2.2e-06 1.95e-06 3e-06 1.75e-06 1.9e-06 2.55e-06 1.6e-06 1.45e-06 1.7e-06 1.75e-06 1.9e-06 1.65e-06 2.05e-06 2e-06 2e-06 1.45e-06 1.7e-06 1.95e-06 1.45e-06 1.65e-06 1.9e-06 2.45e-06 1.2e-06 1.95e-06 1.75e-06 2.1e-06 1.9e-06 1.7e-06 1.75e-06 1.75e-06 2.3e-06 2.45e-06 2.25e-06 2.1e-06 2.25e-06 2.2e-06 1.8e-06 1.65e-06 1.65e-06 2.2e-06
36 1.85e-06 1.85e-06 2e-06 2.4e-06 2.4e-06 1.9e-06 1.85e-06 1.75e-06 1.8e-06 2e-06 2.05e-06 1.5e-06 1.75e-06 1.35e-06 1.8e-06 2.5e-06 1.6e-06 1.75e-06 1.8e-06 1.8e-06 2.05e-06 1.4e-06 1.5e-06 1.7e-06 2.2e-06 1.25e-06 1.9e-06 1.4e-06 1.75e-06 1.8e-06 1.6e-06 1.55e-06 1.5e-06 1.55e-06 1.9e-06 2.25e-06 2.1e-06 1.65e-06 1.85e-06 2.1e-06 1.45e-06 2e-06
37 1.95e-06 2.4e-06 1.4e-06 2.05e-06 1.8e-06 1.65e-06 2.1e-06 1.85e-06 1.75e-06 2.1e-06 1.75e-06 1.7e-06 1.8e-06 1.85e-06 1.75e-06 2.4e-06 1.85e-06 2.1e-06 1.9e-06 2.15e-06 1.95e-06 1.85e-06 1.85e-06 1.55e-06 2.2e-06 1.55e-06 1.8e-06 1.45e-06 2.1e-06 1.9e-06 1.7e-06 2e-06 1.4e-06 1.65e-06 1.65e-06 2.2e-06 1.65e-06 2.1e-06 1.85e-06 1.95e-06 1.85e-06 2.05e-06
38 2e-06 1.7e-06 1.5e-06 2.2e-06 2.5e-06 1.55e-06 1.9e-06 2e-06 1.85e-06 1.7e-06 1.6e-06 1.85e-06 1.5e-06 1.45e-06 2.15e-06 2.35e-06 1.95e-06 1.4e-06 2.05e-06 2e-06 1.75e-06 1.5e-06 1.85e-06 1.95e-06 1.85e-06 1.75e-06 1.85e-06 2e-06 1.65e-06 2.05e-06 1.75e-06 1.6e-06 1.8e-06 2.3e-06 1.9e-06 1.8e-06 1.85e-06 1.85e-06 2.5e-06 1.85e-06 1.6e-06 2.25e-06
39 2.15e-06 1.7e-06 1.9e-06 1.5e-06 2.6e-06 1.55e-06 2.35e-06 1.95e-06 1.55e-06 1.35e-06 1.45e-06 1.65e-06 1.7e-06 1.45e-06 2.25e-06 2.15e-06 1.9e-06 1.35e-06 2.4e-06 1.7e-06 1.6e-06 1.45e-06 1.8e-06 2.3e-06 1.85e-06 1.85e-06 1.85e-06 2.05e-06 1.65e-06 2.4e-06 1.65e-06 1.55e-06 2.15e-06 2.5e-06 2.05e-06 1.65e-06 2.1e-06 1.95e-06 1.85e-06 1.7e-06 1.45e-06 2.2e-06
40 1.75e-06 1.25e-06 2.05e-06 1.85e-06 2.55e-06 1.35e-06 2.1e-06 1.65e-06 1.65e-06 1.05e-06 1.65e-06 1.65e-06 1.45e-06 8.5e-07 2e-06 2e-06 1.55e-06 1.05e-06 2.15e-06 1.35e-06 1.4e-06 9e-07 1.5e-06 2.25e-06 1.45e-06 1.35e-06 1.95e-06 1.95e-06 1.2e-06 2.15e-06 1.5e-06 1e-06 2.1e-06 2.35e-06 1.75e-06 1.65e-06 1.45e-06 1.85e-06 1.6e-06 1.45e-06 1.4e-06 2.1e-06
41 2.2e-06 2.35e-06 2.5e-06 2.65e-06 2.8e-06 2.25e-06 2.15e-06 2.15e-06 1.6e-06 2.1e-06 2.25e-06 1.8e-06 2.3e-06 2e-06 2.2e-06 2.1e-06 2e-06 2e-06 2.1e-06 1.9e-06 2.2e-06 2e-06 2e-06 2.15e-06 2.3e-06 1.75e-06 1.75e-06 1.85e-06 2.3e-06 2.1e-06 1.8e-06 2.15e-06 2.1e-06 1.7e-06 2.3e-06 2.2e-06 2e-06 2.05e-06 2.25e-06 2.2e-06 2.1e-06 2.7e-06
