 slim_762343338 slim_762343333 slim_762343358 slim_762343336 slim_762343342 slim_762343367 slim_762343330 slim_762343349 slim_762343328 slim_762343334 slim_762343369 slim_762343339 slim_762343337 slim_762343350 slim_762343341 slim_762343353 slim_762343370 slim_762343326 slim_762343352 slim_762343371 slim_762343331 slim_762343373 slim_762343364 slim_762343360 slim_762343329 slim_762343374 slim_762343372 slim_762343340 slim_762343357 slim_762343366 slim_762343332 slim_762343354 slim_762343327 slim_762343348 slim_762343362 slim_762343363 slim_762343351 slim_762343359 slim_762343344 slim_762343347 slim_762343355 slim_762343343 slim_762343365 slim_762343346 slim_762343368 slim_762343335 slim_762343345 slim_762343361 slim_762343356
10 1.95e-06 1.75e-06 1.85e-06 1.95e-06 1.8e-06 1.85e-06 1.8e-06 1.4e-06 1.9e-06 1.5e-06 2.6e-06 1.55e-06 1.95e-06 1.75e-06 2e-06 1.7e-06 1.65e-06 1.65e-06 1.75e-06 1.95e-06 1.55e-06 1.75e-06 1.95e-06 2.25e-06 1.3e-06 2.35e-06 1.85e-06 1.8e-06 1.75e-06 2e-06 1.35e-06 2e-06 1.65e-06 1.8e-06 1.65e-06 1.85e-06 1.55e-06 2e-06 2.35e-06 1.75e-06 1.55e-06 1.8e-06 1.85e-06 1.55e-06 1.6e-06 1.6e-06 1.75e-06 1.95e-06 2.2e-06
11 2.35e-06 1.95e-06 2.3e-06 2e-06 1.65e-06 2.3e-06 1.75e-06 1.8e-06 2.25e-06 1.4e-06 1.55e-06 2.1e-06 2.1e-06 1.45e-06 1.6e-06 1.35e-06 1.7e-06 1.95e-06 1.25e-06 1.95e-06 1.6e-06 1.5e-06 2.1e-06 2.2e-06 1.85e-06 2.3e-06 1.9e-06 2.05e-06 1.25e-06 1.8e-06 2.1e-06 2.05e-06 1.45e-06 1.9e-06 1.6e-06 2e-06 1.95e-06 2.35e-06 2.3e-06 1.85e-06 1.35e-06 1.95e-06 2.2e-06 1.9e-06 1.7e-06 2.2e-06 1.75e-06 2.25e-06 2.25e-06
12 1.7e-06 1.95e-06 1.65e-06 1.2e-06 1.7e-06 1.7e-06 1.65e-06 2.2e-06 1.6e-06 2.05e-06 1.95e-06 2.1e-06 2.4e-06 1.85e-06 2.1e-06 2.2e-06 2.1e-06 2.15e-06 2.3e-06 2.4e-06 2.15e-06 1.85e-06 1.2e-06 1.5e-06 1.8e-06 1.65e-06 2.3e-06 1.6e-06 2.25e-06 1.75e-06 2.15e-06 1.45e-06 2.2e-06 2.3e-06 2.05e-06 1.75e-06 1.85e-06 1.6e-06 1.65e-06 2.25e-06 1.75e-06 1.85e-06 1.5e-06 2.15e-06 2.25e-06 2.15e-06 2.05e-06 1.65e-06 1.45e-06
13 2.2e-06 1.95e-06 2.15e-06 1.7e-06 1.6e-06 2.15e-06 1.3e-06 1.9e-06 2.1e-06 1.45e-06 1.75e-06 1.45e-06 1.85e-06 2.4e-06 1.75e-06 1.5e-06 1.7e-06 1.95e-06 1.4e-06 1.95e-06 1.6e-06 1.8e-06 1.85e-06 2.15e-06 1.8e-06 2.25e-06 1.9e-06 1.9e-06 1.35e-06 1.75e-06 2.05e-06 1.8e-06 1.6e-06 1.85e-06 1.85e-06 2.05e-06 1.8e-06 2.15e-06 2.25e-06 1.8e-06 1.35e-06 1.95e-06 2.05e-06 1.9e-06 1.75e-06 2.05e-06 1.65e-06 2.1e-06 2.2e-06
14 1.95e-06 1.5e-06 1.9e-06 2e-06 1.15e-06 1.9e-06 2.05e-06 1.8e-06 1.8e-06 1.25e-06 2e-06 1.6e-06 2.1e-06 1.75e-06 1.7e-06 1.15e-06 1.5e-06 1.75e-06 1.1e-06 1.55e-06 1.5e-06 1.65e-06 2.1e-06 1.5e-06 1.65e-06 1.6e-06 1.7e-06 1.85e-06 1.1e-06 1.4e-06 2e-06 1.65e-06 1.25e-06 1.75e-06 1.25e-06 1.7e-06 1.75e-06 1.9e-06 1.6e-06 1.7e-06 1.7e-06 1.4e-06 1.75e-06 1.75e-06 1.55e-06 2.1e-06 1.6e-06 1.8e-06 1.45e-06
15 1.9e-06 1.55e-06 1.85e-06 2.2e-06 1.3e-06 1.85e-06 1.85e-06 1.25e-06 1.75e-06 8.5e-07 1.7e-06 1.35e-06 2.2e-06 1.5e-06 1.15e-06 6e-07 9.5e-07 1.05e-06 4.5e-07 1.25e-06 1e-06 1.75e-06 2.2e-06 1.85e-06 1.1e-06 1.95e-06 1e-06 1.9e-06 4.5e-07 1.4e-06 1.45e-06 1.7e-06 5.5e-07 1.2e-06 1.3e-06 1.65e-06 1.2e-06 1.85e-06 1.95e-06 1e-06 1.45e-06 1.45e-06 1.7e-06 1.05e-06 9e-07 1.55e-06 1.05e-06 1.85e-06 1.9e-06
16 1.6e-06 1.45e-06 1.55e-06 2.05e-06 1.4e-06 1.55e-06 1.8e-06 1.1e-06 1.45e-06 9e-07 1.65e-06 1.7e-06 2.1e-06 1.7e-06 1.5e-06 9.5e-07 1.5e-06 1.05e-06 1.05e-06 1.25e-06 1e-06 2.1e-06 2.1e-06 1.95e-06 7.5e-07 2.05e-06 1.15e-06 1.6e-06 1e-06 1.5e-06 1.1e-06 1.55e-06 1e-06 9.5e-07 1.5e-06 1.6e-06 9.5e-07 1.5e-06 2.05e-06 1.1e-06 1.6e-06 1.35e-06 1.4e-06 1.05e-06 1.1e-06 1.1e-06 8.5e-07 1.55e-06 1.9e-06
17 1.6e-06 1.45e-06 1.55e-06 2.2e-06 1.55e-06 1.55e-06 1.95e-06 9.5e-07 1.45e-06 1.1e-06 1.65e-06 1.95e-06 2.15e-06 1.95e-06 1.75e-06 1.05e-06 1.05e-06 1.2e-06 1.25e-06 1.25e-06 1.1e-06 2.15e-06 2.15e-06 2e-06 6e-07 2.1e-06 1e-06 1.7e-06 1.2e-06 1.75e-06 9.5e-07 1.7e-06 9.5e-07 1.25e-06 1.5e-06 1.6e-06 7e-07 1.45e-06 2.1e-06 1.05e-06 1.85e-06 1.3e-06 1.4e-06 7.5e-07 1.1e-06 8.5e-07 1.15e-06 1.65e-06 1.95e-06
18 1.95e-06 1.55e-06 1.9e-06 2.2e-06 1.25e-06 1.9e-06 1.8e-06 1.35e-06 1.85e-06 7.5e-07 1.75e-06 1.25e-06 2.3e-06 1.4e-06 1.1e-06 4.5e-07 1.05e-06 1.25e-06 6e-07 1.3e-06 9.5e-07 1.75e-06 2.3e-06 1.85e-06 1.3e-06 1.95e-06 1.05e-06 1.9e-06 3.5e-07 1.3e-06 1.55e-06 1.65e-06 6.5e-07 1.25e-06 1.3e-06 1.7e-06 1.4e-06 1.95e-06 1.95e-06 1.05e-06 1.35e-06 1.55e-06 1.8e-06 1.2e-06 8.5e-07 1.65e-06 1.1e-06 1.85e-06 2e-06
19 1.9e-06 1.75e-06 1.85e-06 2.35e-06 1.7e-06 1.85e-06 2.1e-06 1.4e-06 1.75e-06 1.15e-06 1.95e-06 1.95e-06 2.4e-06 1.95e-06 1.55e-06 1.25e-06 1.25e-06 1.25e-06 1.3e-06 2.1e-06 1.25e-06 2.4e-06 2.4e-06 2.25e-06 1.05e-06 2.35e-06 1.35e-06 1.9e-06 1.25e-06 1.75e-06 1.4e-06 1.85e-06 1.3e-06 1.45e-06 1.8e-06 1.9e-06 1.15e-06 1.75e-06 2.35e-06 1.4e-06 1.85e-06 1.6e-06 1.7e-06 1.35e-06 1.4e-06 1.3e-06 1.35e-06 1.85e-06 2.2e-06
20 1.45e-06 1.2e-06 1.45e-06 2.1e-06 1.35e-06 1.45e-06 1.75e-06 8e-07 1.5e-06 8e-07 1.55e-06 1.6e-06 2.15e-06 1.6e-06 1.5e-06 1e-06 1e-06 1.1e-06 9.5e-07 1.25e-06 1.4e-06 2.15e-06 2.15e-06 2e-06 8e-07 2.1e-06 1.2e-06 1.65e-06 9e-07 1.4e-06 8.5e-07 1.5e-06 1.05e-06 1e-06 1.3e-06 1.5e-06 1e-06 1.55e-06 2.1e-06 9.5e-07 1.5e-06 1.4e-06 1.45e-06 9e-07 1e-06 8.5e-07 1e-06 1.5e-06 1.95e-06
21 2.3e-06 1.95e-06 2.25e-06 1.75e-06 1.6e-06 2.25e-06 1.95e-06 2.2e-06 2.15e-06 1.9e-06 1.75e-06 1.5e-06 1.85e-06 1.8e-06 1.65e-06 1.75e-06 2.1e-06 2.15e-06 1.75e-06 2.4e-06 2.15e-06 2.1e-06 1.85e-06 1.55e-06 2.15e-06 1.65e-06 2.2e-06 1.95e-06 1.75e-06 1.9e-06 2.5e-06 2e-06 1.75e-06 2.35e-06 1.6e-06 1.95e-06 2.25e-06 2.25e-06 1.65e-06 2.2e-06 1.7e-06 1.85e-06 2.1e-06 2.15e-06 2.05e-06 2.6e-06 2.2e-06 2.15e-06 1.75e-06
22 1.7e-06 1.95e-06 1.65e-06 1.2e-06 1.7e-06 1.7e-06 1.65e-06 2.2e-06 1.6e-06 2.05e-06 1.95e-06 2.1e-06 1.2e-06 1.85e-06 2.1e-06 2.2e-06 2.1e-06 2.15e-06 2.3e-06 2.4e-06 2.15e-06 1.85e-06 2.4e-06 1.5e-06 1.8e-06 1.65e-06 2.3e-06 1.6e-06 2.25e-06 1.75e-06 2.15e-06 1.45e-06 2.2e-06 2.3e-06 2.05e-06 1.75e-06 1.85e-06 1.6e-06 1.65e-06 2.25e-06 1.75e-06 1.85e-06 1.5e-06 2.15e-06 2.25e-06 2.15e-06 2.05e-06 1.65e-06 1.45e-06
23 1.45e-06 1.55e-06 1.4e-06 1.4e-06 1.25e-06 1.45e-06 2.1e-06 2.15e-06 1.35e-06 1.8e-06 2.25e-06 2.2e-06 1.5e-06 2.15e-06 1.5e-06 1.85e-06 1.95e-06 2e-06 1.85e-06 2.25e-06 2e-06 1.55e-06 1.5e-06 1.3e-06 1.85e-06 8e-07 2.05e-06 1.5e-06 1.8e-06 1.3e-06 2.2e-06 1.15e-06 1.85e-06 2.15e-06 1.55e-06 1.4e-06 1.95e-06 1.35e-06 8e-07 2e-06 2.05e-06 1.45e-06 1.25e-06 2e-06 1.95e-06 2.2e-06 1.95e-06 1.3e-06 8.5e-07
24 1.1e-06 1.15e-06 1.05e-06 1.9e-06 1.4e-06 1.05e-06 1.75e-06 6.5e-07 9.5e-07 7.5e-07 1.3e-06 1.85e-06 1.8e-06 1.8e-06 1.65e-06 1.1e-06 7.5e-07 6e-07 1.3e-06 1.05e-06 8e-07 2.15e-06 1.8e-06 1.85e-06 0.0 1.95e-06 9.5e-07 1.2e-06 1.3e-06 1.5e-06 3.5e-07 1.4e-06 1e-06 1e-06 1.4e-06 1.35e-06 4e-07 1.05e-06 1.95e-06 9.5e-07 1.55e-06 1.05e-06 9e-07 6e-07 9e-07 4.5e-07 9.5e-07 1.15e-06 1.7e-06
25 1.6e-06 1.65e-06 1.55e-06 1.5e-06 1.35e-06 1.55e-06 2.2e-06 2.25e-06 1.35e-06 1.9e-06 2.35e-06 2.3e-06 1.65e-06 2.25e-06 1.6e-06 1.95e-06 2.05e-06 2.1e-06 1.95e-06 2.35e-06 2.1e-06 1.65e-06 1.65e-06 8e-07 1.95e-06 1.5e-06 2.15e-06 1.6e-06 1.9e-06 1.4e-06 2.3e-06 1.3e-06 1.95e-06 2.25e-06 1.65e-06 1.55e-06 2.05e-06 1.5e-06 8.5e-07 2.1e-06 2.15e-06 1.55e-06 1.4e-06 2.1e-06 2.05e-06 2.3e-06 2.05e-06 1.45e-06 1e-06
26 1.8e-06 1.65e-06 1.75e-06 2.25e-06 1.6e-06 1.75e-06 2e-06 1.3e-06 1.65e-06 1.1e-06 1.85e-06 1.9e-06 2.3e-06 1.9e-06 1.7e-06 1e-06 1.15e-06 1e-06 1.05e-06 1.35e-06 1.2e-06 2.2e-06 2.3e-06 2.05e-06 9.5e-07 2.15e-06 1.9e-06 1.8e-06 1.05e-06 1.7e-06 1.3e-06 1.75e-06 1.05e-06 1.35e-06 1.7e-06 1.8e-06 1.05e-06 1.65e-06 2.15e-06 1.15e-06 1.8e-06 1.5e-06 1.6e-06 1.1e-06 1.1e-06 1.2e-06 1.25e-06 1.75e-06 2.1e-06
27 1.45e-06 1.6e-06 1.4e-06 1.45e-06 1.5e-06 1.4e-06 1.75e-06 1.75e-06 1.3e-06 1.45e-06 1.8e-06 2.05e-06 1.6e-06 1.9e-06 1.85e-06 1.9e-06 1.6e-06 1.7e-06 1.9e-06 1.9e-06 1.65e-06 1.95e-06 1.6e-06 1.5e-06 1.2e-06 1.6e-06 1.8e-06 2e-06 1.85e-06 1.55e-06 1.55e-06 1.35e-06 1.85e-06 1.8e-06 1.85e-06 1.65e-06 1.45e-06 1.35e-06 1.6e-06 1.75e-06 1.7e-06 1.5e-06 1.25e-06 1.7e-06 1.7e-06 1.55e-06 1.65e-06 1.3e-06 1.55e-06
28 1.9e-06 1.5e-06 1.85e-06 2.1e-06 1.2e-06 1.85e-06 1.7e-06 1.3e-06 1.8e-06 7.5e-07 1.75e-06 1.25e-06 2.25e-06 1.35e-06 1.1e-06 4.5e-07 1e-06 1.2e-06 3.5e-07 1.25e-06 9e-07 1.75e-06 2.25e-06 1.8e-06 1.3e-06 1.9e-06 1.05e-06 1.85e-06 6e-07 1.25e-06 1.55e-06 1.55e-06 6.5e-07 1.15e-06 1.3e-06 1.65e-06 1.35e-06 1.85e-06 1.9e-06 9.5e-07 1.35e-06 1.5e-06 1.75e-06 1.15e-06 9e-07 1.55e-06 1e-06 1.8e-06 1.95e-06
29 1.5e-06 1.5e-06 1.45e-06 1.6e-06 1.25e-06 1.4e-06 1.85e-06 1.7e-06 1.4e-06 1.25e-06 2e-06 1.8e-06 1.75e-06 1.75e-06 1.4e-06 1.4e-06 1.5e-06 1.75e-06 1.3e-06 1.75e-06 1.4e-06 1.9e-06 1.75e-06 1.3e-06 1.5e-06 1.4e-06 1.7e-06 1.55e-06 1.25e-06 2.2e-06 1.75e-06 1.2e-06 1.5e-06 1.65e-06 1.5e-06 1.45e-06 1.6e-06 1.45e-06 1.4e-06 1.6e-06 1.65e-06 1.5e-06 1.35e-06 1.7e-06 1.55e-06 1.75e-06 1.45e-06 1.4e-06 1.35e-06
30 1.25e-06 1.2e-06 1.1e-06 2.25e-06 1.65e-06 1.1e-06 2e-06 6e-07 1.3e-06 1e-06 1.35e-06 2.1e-06 2.15e-06 2.05e-06 2e-06 1.45e-06 1.1e-06 9.5e-07 1.55e-06 1.4e-06 8.5e-07 2.5e-06 2.15e-06 2.2e-06 3.5e-07 2.3e-06 1.3e-06 1.55e-06 1.55e-06 1.75e-06 1e-07 1.65e-06 1.35e-06 1.15e-06 1.45e-06 1.5e-06 7.5e-07 1.4e-06 2.3e-06 1.1e-06 1.8e-06 1.4e-06 1.25e-06 7.5e-07 9.5e-07 5e-07 1.2e-06 1.4e-06 2.05e-06
31 1.25e-06 1.45e-06 1.2e-06 1.3e-06 1.1e-06 1.25e-06 1.5e-06 1.65e-06 1.2e-06 1.4e-06 2e-06 2.05e-06 1.45e-06 1.8e-06 1.65e-06 1.7e-06 1.55e-06 1.7e-06 1.65e-06 1.85e-06 1.5e-06 2e-06 1.45e-06 1.15e-06 1.4e-06 1.3e-06 1.75e-06 1.35e-06 1.55e-06 1.2e-06 1.65e-06 1.6e-06 1.7e-06 1.65e-06 1.6e-06 1.3e-06 1.4e-06 1.15e-06 1.3e-06 1.6e-06 1.75e-06 1.45e-06 1.1e-06 1.65e-06 1.65e-06 1.55e-06 1.4e-06 1.15e-06 1.2e-06
32 1.85e-06 1.5e-06 1.8e-06 2.2e-06 1.3e-06 1.8e-06 1.85e-06 1.15e-06 1.7e-06 9e-07 1.65e-06 1.45e-06 2.2e-06 1.6e-06 1.25e-06 5.5e-07 1e-06 9.5e-07 6.5e-07 1.3e-06 1.05e-06 1.75e-06 2.2e-06 1.85e-06 1e-06 1.95e-06 1.05e-06 1.85e-06 6.5e-07 1.5e-06 1.35e-06 1.7e-06 1e-06 1.25e-06 1.25e-06 1.6e-06 1.1e-06 1.8e-06 1.95e-06 1.05e-06 1.55e-06 1.4e-06 1.65e-06 9.5e-07 9.5e-07 1.45e-06 1.1e-06 1.8e-06 1.9e-06
33 1.65e-06 1.45e-06 1.65e-06 2.2e-06 1.55e-06 1.65e-06 1.9e-06 1.05e-06 1.65e-06 1.1e-06 1.8e-06 1.9e-06 2.3e-06 1.85e-06 1.75e-06 1.2e-06 9.5e-07 1.25e-06 1.25e-06 1.45e-06 1e-06 2.35e-06 2.3e-06 2.15e-06 1e-06 2.25e-06 1.35e-06 1.8e-06 1.15e-06 1.65e-06 1.15e-06 1.65e-06 1.25e-06 1.8e-06 1.6e-06 1.7e-06 1.15e-06 1.65e-06 2.25e-06 1.1e-06 1.8e-06 1.55e-06 1.6e-06 1.1e-06 1.25e-06 1.05e-06 9.5e-07 1.65e-06 2.1e-06
34 1.7e-06 1.15e-06 1.65e-06 2.05e-06 1.1e-06 1.65e-06 2e-06 1.15e-06 1.7e-06 1.3e-06 1.65e-06 1.6e-06 2.05e-06 1.85e-06 1.25e-06 1.3e-06 1.5e-06 1.5e-06 1.3e-06 1.8e-06 1.3e-06 1.6e-06 2.05e-06 1.55e-06 1.4e-06 1.65e-06 1.7e-06 1.85e-06 1.3e-06 1.5e-06 1.45e-06 1.6e-06 1.25e-06 1.6e-06 1.6e-06 1.35e-06 1.5e-06 1.8e-06 1.65e-06 1.55e-06 1.75e-06 1.3e-06 1.65e-06 1.35e-06 1.45e-06 1.6e-06 1.5e-06 1.75e-06 1.4e-06
35 1.4e-06 1.45e-06 1.35e-06 1.75e-06 1.4e-06 1.4e-06 2e-06 1.35e-06 1.4e-06 1.5e-06 1.85e-06 2e-06 1.75e-06 2.05e-06 1.7e-06 1.65e-06 1.6e-06 1.6e-06 1.7e-06 1.9e-06 1.5e-06 1.95e-06 1.75e-06 1.4e-06 1.35e-06 1.55e-06 1.8e-06 1.65e-06 1.65e-06 1.45e-06 1.5e-06 1.3e-06 1.6e-06 1.7e-06 1.35e-06 2.5e-06 1.45e-06 1.4e-06 1.55e-06 1.65e-06 1.9e-06 1.5e-06 1.3e-06 1.5e-06 1.65e-06 1.55e-06 1.55e-06 1.4e-06 1.35e-06
36 1.35e-06 1.35e-06 1.3e-06 1.9e-06 1.4e-06 1.3e-06 1.65e-06 8.5e-07 1.2e-06 1e-06 1.55e-06 1.95e-06 1.85e-06 1.8e-06 1.75e-06 1.2e-06 9.5e-07 7e-07 1.4e-06 1.15e-06 1e-06 2.25e-06 1.85e-06 1.95e-06 4e-07 2.05e-06 1.05e-06 1.45e-06 1.35e-06 1.6e-06 7.5e-07 1.4e-06 1.1e-06 1.15e-06 1.5e-06 1.45e-06 8e-07 1.2e-06 2.05e-06 1.1e-06 1.7e-06 1.2e-06 1.15e-06 8e-07 1.15e-06 6.5e-07 1e-06 1.4e-06 1.8e-06
37 1.2e-06 1.5e-06 1.15e-06 1.55e-06 1.5e-06 1.2e-06 1.95e-06 1.55e-06 1.1e-06 1.5e-06 2e-06 2.35e-06 1.6e-06 2.15e-06 1.9e-06 1.85e-06 1.5e-06 1.45e-06 1.95e-06 1.75e-06 1.55e-06 2.25e-06 1.6e-06 1.35e-06 1.05e-06 1.5e-06 1.65e-06 1.35e-06 1.85e-06 1.45e-06 1.4e-06 1.15e-06 1.8e-06 1.65e-06 1.8e-06 1.4e-06 1.2e-06 1.9e-06 1.5e-06 1.6e-06 2e-06 1.3e-06 1e-06 1.5e-06 1.7e-06 1.25e-06 1.5e-06 1.15e-06 1.3e-06
38 1.6e-06 1.65e-06 1.55e-06 1.5e-06 1.35e-06 1.55e-06 2.2e-06 2.25e-06 1.45e-06 1.9e-06 2.35e-06 2.3e-06 1.65e-06 2.25e-06 1.6e-06 1.95e-06 2.05e-06 2.1e-06 1.95e-06 2.35e-06 2.1e-06 1.65e-06 1.65e-06 8e-07 1.95e-06 8.5e-07 2.15e-06 1.6e-06 1.9e-06 1.4e-06 2.3e-06 1.3e-06 1.95e-06 2.25e-06 1.65e-06 1.55e-06 2.05e-06 1.5e-06 1.5e-06 2.1e-06 2.15e-06 1.55e-06 1.4e-06 2.1e-06 2.05e-06 2.3e-06 2.05e-06 1.45e-06 1e-06
