 slim_762475432 slim_762475471 slim_762475482 slim_762475481 slim_762475434 slim_762475449 slim_762475439 slim_762475440 slim_762475461 slim_762475441 slim_762475443 slim_762475462 slim_762475477 slim_762475433 slim_762475479 slim_762475445 slim_762475454 slim_762475430 slim_762475465 slim_762475448 slim_762475483 slim_762475438 slim_762475437 slim_762475446 slim_762475450 slim_762475452 slim_762475469 slim_762475453 slim_762475436 slim_762475455 slim_762475459 slim_762475466 slim_762475451 slim_762475458 slim_762475435 slim_762475442 slim_762475470 slim_762475480 slim_762475467 slim_762475456 slim_762475431 slim_762475478 slim_762475457 slim_762475444 slim_762475447 slim_762475473 slim_762475475 slim_762475463 slim_762475460 slim_762475468 slim_762475474 slim_762475472 slim_762475476 slim_762475464
10 1.05e-06 1.4e-06 1.3e-06 1.25e-06 9e-07 1.1e-06 1.35e-06 1.3e-06 1.25e-06 1.4e-06 1.6e-06 9e-07 1.5e-06 1e-06 1.2e-06 1.5e-06 1.4e-06 1e-06 1.35e-06 1.8e-06 1.4e-06 9.5e-07 1.3e-06 1.2e-06 1.1e-06 1.3e-06 1.05e-06 1.5e-06 1.05e-06 1.25e-06 1.4e-06 9e-07 9.5e-07 1.3e-06 1.2e-06 1.1e-06 1.3e-06 1.2e-06 1.05e-06 1.6e-06 1.25e-06 1.45e-06 1.25e-06 1.1e-06 1.35e-06 1.15e-06 1.25e-06 1e-06 1.2e-06 9.5e-07 1.1e-06 1.3e-06 1.15e-06 1.05e-06
11 1e-06 1.4e-06 1.25e-06 1.25e-06 9.5e-07 1.25e-06 1.25e-06 1.2e-06 1.15e-06 1.3e-06 9e-07 1.5e-06 1.5e-06 1e-06 1.25e-06 1.55e-06 1.35e-06 9.5e-07 1.3e-06 1.75e-06 1.3e-06 1.05e-06 1.25e-06 1.2e-06 1.05e-06 1.3e-06 1e-06 1.45e-06 1.05e-06 1.15e-06 1.35e-06 8.5e-07 9e-07 1.3e-06 1.15e-06 1.05e-06 1.35e-06 1.15e-06 9.5e-07 1.55e-06 1.1e-06 1.4e-06 1.15e-06 1.25e-06 1.3e-06 1e-06 1.2e-06 9.5e-07 1.25e-06 9e-07 1.05e-06 1.25e-06 1.1e-06 1e-06
12 1.5e-06 1.35e-06 1.7e-06 1.6e-06 1.6e-06 1.45e-06 1.8e-06 1.7e-06 1.35e-06 1.8e-06 1.5e-06 1.5e-06 2.3e-06 1.25e-06 1.55e-06 1.6e-06 1.85e-06 1.65e-06 1.55e-06 1.95e-06 1.85e-06 1.45e-06 1.75e-06 1.55e-06 1.6e-06 1.7e-06 1.4e-06 2e-06 1.35e-06 1.5e-06 1.45e-06 1.6e-06 1.45e-06 1.3e-06 1.65e-06 1.85e-06 1.65e-06 1.65e-06 1.55e-06 1.7e-06 1.6e-06 1.6e-06 1.35e-06 1.55e-06 1.85e-06 1.55e-06 1.4e-06 1.65e-06 1.35e-06 1.45e-06 1.6e-06 1.55e-06 1.6e-06 1.5e-06
13 1.15e-06 1.25e-06 1.25e-06 1e-06 9e-07 5e-07 1.3e-06 1.15e-06 1e-06 1.45e-06 1e-06 1e-06 1.25e-06 6e-07 8e-07 1.4e-06 1.5e-06 1.1e-06 1.3e-06 2.2e-06 1.35e-06 4.5e-07 1.25e-06 6e-07 1.1e-06 1.3e-06 7.5e-07 1.55e-06 7e-07 1e-06 1.85e-06 1.35e-06 7e-07 1.1e-06 9e-07 1.75e-06 8e-07 1.05e-06 5.5e-07 1.8e-06 9.5e-07 1.35e-06 1e-06 6.5e-07 1.55e-06 8e-07 1.15e-06 1.1e-06 1.15e-06 7e-07 1.1e-06 1.05e-06 5.5e-07 8.5e-07
14 1e-06 1e-06 1.25e-06 9.5e-07 1.25e-06 7.5e-07 1.4e-06 1.4e-06 1.25e-06 1.75e-06 1.2e-06 1.25e-06 1.55e-06 8e-07 9e-07 1.4e-06 1.7e-06 1.2e-06 1.55e-06 2.35e-06 1.45e-06 9e-07 1.4e-06 8.5e-07 1.3e-06 1.25e-06 8.5e-07 1.65e-06 1.1e-06 1.2e-06 1.85e-06 1.45e-06 1.05e-06 1.1e-06 1.2e-06 1.85e-06 4.5e-07 1.4e-06 1.05e-06 1.85e-06 1.25e-06 1.5e-06 1.25e-06 7e-07 1.8e-06 1.15e-06 1.4e-06 1.2e-06 1.4e-06 1.05e-06 1.3e-06 1.1e-06 9e-07 1.25e-06
15 1.65e-06 1.5e-06 1.8e-06 1.7e-06 1.6e-06 1.25e-06 1.9e-06 1.8e-06 1.5e-06 1.9e-06 1.5e-06 1.55e-06 1.6e-06 1.4e-06 1.4e-06 2.5e-06 1.95e-06 1.6e-06 1.55e-06 2.1e-06 1.95e-06 1.45e-06 1.85e-06 1.4e-06 1.7e-06 1.8e-06 1.5e-06 2.1e-06 1.55e-06 1.5e-06 1.3e-06 1.65e-06 1.5e-06 1.5e-06 1.7e-06 1.85e-06 1.25e-06 1.7e-06 1.6e-06 1.65e-06 1.7e-06 1.45e-06 1.35e-06 1.35e-06 1.95e-06 1.65e-06 1.3e-06 1.6e-06 1.25e-06 1.5e-06 1.7e-06 1.7e-06 1.55e-06 1.65e-06
16 1.35e-06 1.7e-06 1.65e-06 1.3e-06 1.6e-06 1.7e-06 1.4e-06 9.5e-07 1.65e-06 9.5e-07 1.4e-06 1.35e-06 1.85e-06 1.5e-06 1.7e-06 1.95e-06 1.8e-06 1.5e-06 1.6e-06 1.5e-06 1.45e-06 1.55e-06 9.5e-07 1.7e-06 1.1e-06 1.25e-06 1.45e-06 1.05e-06 1.5e-06 1.65e-06 1.75e-06 1.35e-06 1.4e-06 1.7e-06 1.3e-06 1.25e-06 1.8e-06 1.15e-06 1.4e-06 1.6e-06 1.3e-06 1.85e-06 1.6e-06 1.7e-06 1.25e-06 1.15e-06 1.65e-06 1.5e-06 1.65e-06 1.4e-06 1.1e-06 1.35e-06 1.65e-06 1.65e-06
17 1.1e-06 1.5e-06 1.35e-06 1.35e-06 1e-06 1.15e-06 1.45e-06 1.35e-06 1.35e-06 1.5e-06 1e-06 9.5e-07 1.65e-06 1.1e-06 1.2e-06 1.6e-06 1.5e-06 1.7e-06 1.45e-06 1.95e-06 1.5e-06 1.15e-06 1.35e-06 1.25e-06 1.2e-06 1.4e-06 1.1e-06 1.6e-06 1.2e-06 1.3e-06 1.5e-06 1e-06 1.05e-06 1.45e-06 1.25e-06 1.2e-06 1.25e-06 1.3e-06 1.1e-06 1.75e-06 1.35e-06 1.35e-06 1.35e-06 1.25e-06 1.5e-06 1.2e-06 1.35e-06 8.5e-07 1.4e-06 1.05e-06 1.2e-06 1.45e-06 1e-06 1.05e-06
18 1.45e-06 1.45e-06 1.45e-06 1.6e-06 1.4e-06 1.5e-06 1.6e-06 1.6e-06 1.3e-06 1.5e-06 1.35e-06 1.3e-06 1.55e-06 1.3e-06 1.55e-06 1.55e-06 1.6e-06 1.45e-06 2.2e-06 1.55e-06 1.65e-06 1.3e-06 1.7e-06 1.5e-06 1.45e-06 1.5e-06 1.3e-06 1.75e-06 1.4e-06 1.35e-06 1.35e-06 1.35e-06 1.15e-06 1.4e-06 1.5e-06 1.6e-06 1.6e-06 1.3e-06 1.1e-06 1.6e-06 1.5e-06 1.45e-06 1.15e-06 1.5e-06 1.5e-06 1.45e-06 1.2e-06 1.45e-06 1.25e-06 1.15e-06 1.45e-06 1.6e-06 1.4e-06 1.5e-06
19 1.75e-06 1.85e-06 1.8e-06 2.2e-06 2e-06 2.4e-06 1.7e-06 1.9e-06 1.95e-06 1.2e-06 1.8e-06 1.75e-06 1.95e-06 2.2e-06 2.35e-06 2.1e-06 1.5e-06 1.95e-06 1.55e-06 1.6e-06 1.75e-06 2.25e-06 1.95e-06 2.4e-06 1.8e-06 1.5e-06 2e-06 1.8e-06 1.9e-06 1.95e-06 1.55e-06 1.45e-06 1.8e-06 1.9e-06 2e-06 1.35e-06 2.5e-06 1.45e-06 1.9e-06 1.7e-06 1.95e-06 2.05e-06 1.85e-06 2.4e-06 1.25e-06 2.15e-06 1.8e-06 1.95e-06 1.8e-06 1.8e-06 1.8e-06 1.9e-06 2.4e-06 2.05e-06
20 1.25e-06 1.45e-06 1.4e-06 1.45e-06 1.45e-06 1.7e-06 1e-06 1.35e-06 1.6e-06 1.1e-06 1.4e-06 1.3e-06 1.85e-06 1.35e-06 1.45e-06 1.95e-06 1.45e-06 1.5e-06 1.65e-06 1.75e-06 2e-06 1.5e-06 1.45e-06 1.6e-06 1.45e-06 1.2e-06 1.3e-06 1.5e-06 1.35e-06 1.6e-06 1.85e-06 1.3e-06 1.3e-06 1.45e-06 1.35e-06 1.3e-06 1.7e-06 1.25e-06 1.3e-06 1.7e-06 1.3e-06 1.9e-06 1.6e-06 1.65e-06 1.35e-06 1.5e-06 1.65e-06 1.5e-06 1.7e-06 1.3e-06 1.45e-06 1.15e-06 1.6e-06 1.4e-06
21 1.3e-06 1.45e-06 1.35e-06 1.1e-06 8.5e-07 5.5e-07 1.45e-06 1.2e-06 1e-06 1.5e-06 9.5e-07 1.05e-06 1.45e-06 4.5e-07 9e-07 1.45e-06 1.55e-06 1.15e-06 1.3e-06 2.25e-06 1.5e-06 5e-07 1.3e-06 6.5e-07 1.15e-06 1.4e-06 8.5e-07 1.6e-06 9e-07 1e-06 1.9e-06 1.4e-06 7e-07 1.2e-06 8.5e-07 1.8e-06 8.5e-07 1.05e-06 5.5e-07 1.85e-06 1e-06 1.4e-06 1e-06 6e-07 1.6e-06 8.5e-07 1.15e-06 1.15e-06 1.15e-06 7e-07 1.15e-06 1.2e-06 5e-07 1.05e-06
22 1.2e-06 1.55e-06 1.65e-06 9.5e-07 1.5e-06 1.45e-06 1.4e-06 6.5e-07 1.4e-06 1.05e-06 1.3e-06 1.25e-06 1.75e-06 1.25e-06 1.4e-06 1.85e-06 9.5e-07 1.35e-06 1.7e-06 1.95e-06 1.45e-06 1.3e-06 1.1e-06 1.45e-06 1e-06 1.3e-06 1.25e-06 9.5e-07 1.45e-06 1.4e-06 1.7e-06 1.45e-06 1.35e-06 1.45e-06 1e-06 1.4e-06 1.55e-06 1.25e-06 1.35e-06 1.5e-06 1.05e-06 1.7e-06 1.4e-06 1.45e-06 1.55e-06 8.5e-07 1.55e-06 1.35e-06 1.55e-06 1.35e-06 1e-06 1.1e-06 1.35e-06 1.55e-06
23 1.4e-06 1.55e-06 1.5e-06 1.25e-06 1.1e-06 5e-07 1.55e-06 1.35e-06 1.2e-06 1.65e-06 1.2e-06 1.2e-06 1.55e-06 6e-07 8.5e-07 1.4e-06 1.7e-06 1.25e-06 1.5e-06 2.4e-06 1.6e-06 6.5e-07 1.45e-06 1e-06 1.3e-06 1.55e-06 1e-06 1.65e-06 1e-06 1.15e-06 2.05e-06 1.55e-06 9e-07 1.35e-06 1.1e-06 1.95e-06 6e-07 1.25e-06 7.5e-07 1.9e-06 1.05e-06 1.5e-06 1.2e-06 6.5e-07 1.75e-06 1e-06 1.35e-06 1.25e-06 1.35e-06 9e-07 1.3e-06 1.2e-06 7e-07 1.15e-06
24 1e-06 1.45e-06 1.4e-06 1.05e-06 1.2e-06 1.3e-06 1.4e-06 1e-06 1.35e-06 1.3e-06 1.1e-06 1.05e-06 1.6e-06 1.1e-06 1.3e-06 1.7e-06 1.1e-06 1.2e-06 1.45e-06 1.8e-06 1.45e-06 1.15e-06 1e-06 1.3e-06 1.6e-06 1.3e-06 1.1e-06 1.2e-06 1.05e-06 1.35e-06 1.6e-06 1e-06 9.5e-07 1.4e-06 1.2e-06 1.3e-06 1.4e-06 1.2e-06 1.1e-06 1.65e-06 1.2e-06 1.6e-06 1.35e-06 1.3e-06 1.25e-06 9e-07 1.4e-06 1.2e-06 1.4e-06 9.5e-07 8e-07 1.25e-06 1.25e-06 1.25e-06
25 1.05e-06 1.2e-06 1.25e-06 1.3e-06 1.4e-06 1.55e-06 1.15e-06 1.3e-06 1.55e-06 1e-06 1.3e-06 1.3e-06 1.7e-06 1.3e-06 1.25e-06 1.8e-06 1.25e-06 1.4e-06 1.5e-06 1.5e-06 1.2e-06 1.4e-06 1.3e-06 1.55e-06 1.3e-06 1.9e-06 1.15e-06 1.4e-06 1.25e-06 1.55e-06 1.7e-06 1.2e-06 1.2e-06 1.35e-06 1.25e-06 1.25e-06 1.55e-06 1.1e-06 1.3e-06 1.6e-06 1.3e-06 1.75e-06 1.5e-06 1.5e-06 1.15e-06 1.45e-06 1.55e-06 1.4e-06 1.55e-06 1.2e-06 1.3e-06 1.1e-06 1.5e-06 1.4e-06
26 8.5e-07 9.5e-07 1.15e-06 1e-06 1.05e-06 1.05e-06 1.25e-06 1.2e-06 1.15e-06 1.4e-06 1.05e-06 1e-06 1.4e-06 7.5e-07 8.5e-07 1.5e-06 1.45e-06 1.1e-06 1.3e-06 2e-06 1.3e-06 8.5e-07 1.25e-06 1e-06 1.1e-06 1.15e-06 1.3e-06 1.55e-06 9.5e-07 1.15e-06 1.55e-06 1.15e-06 8e-07 1.1e-06 1.05e-06 1.5e-06 1.05e-06 1.15e-06 8.5e-07 1.65e-06 1.1e-06 1.4e-06 1.15e-06 1e-06 1.45e-06 1e-06 1.2e-06 1.1e-06 1.25e-06 8e-07 1.1e-06 1.05e-06 9e-07 1.05e-06
27 1.4e-06 1.8e-06 1.75e-06 1.25e-06 1.75e-06 1.75e-06 1.45e-06 9.5e-07 1.65e-06 1.15e-06 1.5e-06 1.45e-06 2e-06 1.55e-06 1.65e-06 2.1e-06 1.05e-06 1.6e-06 1.75e-06 1.8e-06 1.5e-06 1.6e-06 9.5e-07 1.65e-06 1.2e-06 1.4e-06 1.55e-06 1.7e-06 1.65e-06 1.65e-06 1.95e-06 1.55e-06 1.55e-06 1.7e-06 1.35e-06 1.5e-06 1.75e-06 1.35e-06 1.45e-06 1.55e-06 1.15e-06 2e-06 1.65e-06 1.7e-06 1.55e-06 1.15e-06 1.8e-06 1.6e-06 1.8e-06 1.55e-06 1.2e-06 1.2e-06 1.7e-06 1.8e-06
28 1e-06 1.3e-06 1.25e-06 1.25e-06 1e-06 9e-07 1.3e-06 1.4e-06 1.3e-06 1.4e-06 1.05e-06 1.05e-06 1.35e-06 7e-07 1.1e-06 1.55e-06 1.5e-06 1.2e-06 1.4e-06 1.9e-06 1.35e-06 9e-07 1.45e-06 1e-06 1.05e-06 1.25e-06 9.5e-07 1.65e-06 1.2e-06 1.3e-06 1.75e-06 1e-06 7.5e-07 1.25e-06 1.2e-06 1.45e-06 1.2e-06 1.15e-06 9e-07 1.8e-06 1.2e-06 1.55e-06 1.3e-06 1.05e-06 1.2e-06 1.15e-06 1.35e-06 1.2e-06 1.3e-06 7.5e-07 1.05e-06 1.15e-06 1.05e-06 9e-07
29 1.35e-06 1.4e-06 1.45e-06 1.3e-06 1.3e-06 1.1e-06 1.55e-06 1.3e-06 1e-06 1.55e-06 1.25e-06 1.15e-06 1.5e-06 1e-06 1.2e-06 1.5e-06 1.65e-06 1.3e-06 1.35e-06 1.95e-06 1.6e-06 1e-06 1.4e-06 1.15e-06 1.35e-06 1.55e-06 1.15e-06 1.65e-06 1.3e-06 1.6e-06 1.45e-06 1.45e-06 1.1e-06 1.15e-06 1.2e-06 1.75e-06 1.2e-06 1.35e-06 1.05e-06 1.6e-06 1.15e-06 1.4e-06 1e-06 1.15e-06 1.75e-06 1.1e-06 1.2e-06 1.3e-06 1.25e-06 1.1e-06 1.35e-06 1.3e-06 1.05e-06 1.4e-06
30 1.4e-06 1.25e-06 1.65e-06 1.75e-06 1.65e-06 2.05e-06 1.8e-06 1.7e-06 1.4e-06 1.7e-06 1.4e-06 1.35e-06 1.45e-06 1.85e-06 1.85e-06 1.3e-06 1.75e-06 1.5e-06 1.35e-06 1.55e-06 1.85e-06 1.9e-06 1.7e-06 2.05e-06 1.6e-06 1.7e-06 1.55e-06 1.95e-06 1.75e-06 1.45e-06 5e-07 1.25e-06 1.65e-06 1.35e-06 1.8e-06 1.3e-06 2.05e-06 1.75e-06 1.95e-06 1.05e-06 1.75e-06 1.2e-06 1.25e-06 2e-06 1.75e-06 1.75e-06 1e-06 1.5e-06 1e-06 1.65e-06 1.6e-06 1.7e-06 2e-06 1.7e-06
31 8.5e-07 1.4e-06 1.2e-06 1.45e-06 1e-06 1.55e-06 1.25e-06 1.45e-06 1.45e-06 1.25e-06 9e-07 8.5e-07 1.6e-06 1.35e-06 1.45e-06 1.65e-06 1.35e-06 1e-06 1.35e-06 1.45e-06 1.3e-06 1.4e-06 1.45e-06 1.55e-06 1e-06 1.2e-06 1.15e-06 1.55e-06 1e-06 1.45e-06 1.25e-06 9e-07 9e-07 1.4e-06 1.4e-06 7.5e-07 1.65e-06 1.2e-06 1.25e-06 1.55e-06 1.4e-06 1.55e-06 1.45e-06 1.55e-06 9.5e-07 1.4e-06 1.35e-06 1e-06 1.35e-06 9e-07 1e-06 1.35e-06 1.5e-06 1.05e-06
32 1e-06 1.35e-06 1.15e-06 1.2e-06 8.5e-07 9e-07 1.25e-06 1.25e-06 1.1e-06 1.25e-06 9.5e-07 9e-07 1.45e-06 7e-07 1.05e-06 1.5e-06 1.4e-06 1.05e-06 1.15e-06 1.8e-06 1.3e-06 7e-07 1.35e-06 9e-07 9.5e-07 1.2e-06 8e-07 1.55e-06 7.5e-07 1.1e-06 1.65e-06 9e-07 1e-06 1.2e-06 1e-06 1.35e-06 1.1e-06 9.5e-07 6e-07 1.7e-06 1.05e-06 1.4e-06 1.1e-06 9.5e-07 1.1e-06 1e-06 1.15e-06 1.05e-06 1.2e-06 5e-07 9.5e-07 1.15e-06 8e-07 9.5e-07
33 1.15e-06 1e-06 1.3e-06 1.2e-06 1.4e-06 1.35e-06 1.4e-06 1.4e-06 9.5e-07 1.55e-06 1.3e-06 1.3e-06 1.3e-06 1.1e-06 1.1e-06 1.5e-06 1.7e-06 1.45e-06 1.4e-06 1.9e-06 1.45e-06 1.2e-06 1.45e-06 1.35e-06 1.4e-06 1.35e-06 1.1e-06 1.7e-06 1.25e-06 1.15e-06 1.35e-06 1.4e-06 1.2e-06 1.5e-06 1.3e-06 1.7e-06 1.35e-06 1.45e-06 1.3e-06 1.5e-06 1.3e-06 1.5e-06 1.1e-06 1.3e-06 1.7e-06 1.35e-06 1.25e-06 1.45e-06 1.25e-06 1.2e-06 1.4e-06 1.1e-06 1.35e-06 1.4e-06
34 1.25e-06 1.5e-06 1.45e-06 1.2e-06 1.2e-06 1.1e-06 1.3e-06 9.5e-07 1.2e-06 1.05e-06 1.2e-06 1.15e-06 1.65e-06 9e-07 1.2e-06 1.7e-06 1.3e-06 1.25e-06 1.5e-06 2e-06 1.35e-06 8.5e-07 1e-06 1.1e-06 1.2e-06 1.25e-06 1.05e-06 1.35e-06 1.2e-06 1.2e-06 1.8e-06 1.4e-06 1e-06 1.3e-06 1.4e-06 1.5e-06 1.3e-06 1.05e-06 9.5e-07 1.6e-06 9.5e-07 1.55e-06 1.2e-06 1.15e-06 1.45e-06 1e-06 1.35e-06 1.25e-06 1.4e-06 1e-06 1.2e-06 1.05e-06 9e-07 1.3e-06
