 slim_762472920 slim_762472957 slim_762472926 slim_762472912 slim_762472914 slim_762472941 slim_762472919 slim_762472936 slim_762472940 slim_762472942 slim_762472918 slim_762472949 slim_762472965 slim_762472932 slim_762472934 slim_762472916 slim_762472959 slim_762472922 slim_762472962 slim_762472956 slim_762472966 slim_762472930 slim_762472931 slim_762472935 slim_762472951 slim_762472961 slim_762472938 slim_762472950 slim_762472947 slim_762472937 slim_762472939 slim_762472928 slim_762472913 slim_762472924 slim_762472933 slim_762472923 slim_762472963 slim_762472915 slim_762472943 slim_762472929 slim_762472958 slim_762472952 slim_762472917 slim_762472944 slim_762472948 slim_762472953 slim_762472946 slim_762472925 slim_762472927 slim_762472945 slim_762472955 slim_762472954 slim_762472964 slim_762472960 slim_762472921
10 1.6e-06 1.9e-06 1.35e-06 2.2e-06 1.4e-06 2.2e-06 1.7e-06 2.05e-06 1.5e-06 1.75e-06 1.7e-06 2.1e-06 1.7e-06 2.05e-06 1.75e-06 1.35e-06 1.75e-06 1.75e-06 2.45e-06 1.3e-06 2.5e-06 2.45e-06 2.45e-06 1.55e-06 1.55e-06 2.35e-06 1.75e-06 1.9e-06 1.35e-06 2.75e-06 1.45e-06 2.6e-06 1.35e-06 2.05e-06 2e-06 1.6e-06 1.4e-06 2.15e-06 1.4e-06 1.65e-06 2.2e-06 1.95e-06 1.4e-06 1.65e-06 1.55e-06 1.85e-06 2.35e-06 1.9e-06 1.5e-06 2.25e-06 1.45e-06 1.6e-06 1.9e-06 2.1e-06 1.85e-06
11 1.5e-06 1.35e-06 1.45e-06 9.5e-07 2.1e-06 1.15e-06 1.85e-06 2e-06 1.6e-06 1.8e-06 2.1e-06 1.7e-06 1.85e-06 1.5e-06 2.3e-06 1.4e-06 2.15e-06 2.05e-06 1.65e-06 2.25e-06 1.3e-06 1.25e-06 1.65e-06 2.3e-06 2.1e-06 1.6e-06 2.05e-06 2.4e-06 2e-06 1.05e-06 1.55e-06 1.75e-06 1.25e-06 1.35e-06 1.45e-06 1.8e-06 1.3e-06 1.75e-06 1.45e-06 2.25e-06 1.8e-06 2.25e-06 1.3e-06 2.15e-06 2.25e-06 1.7e-06 1.75e-06 1.75e-06 2.3e-06 1.1e-06 2e-06 1.85e-06 1e-06 1.45e-06 2e-06
12 1.75e-06 1.85e-06 1.55e-06 1.95e-06 1.35e-06 2e-06 1.35e-06 2.05e-06 1.5e-06 1.7e-06 1.7e-06 1.85e-06 2.3e-06 1.8e-06 1.35e-06 1.4e-06 1.9e-06 2e-06 2.3e-06 1.5e-06 1.95e-06 2.45e-06 2.4e-06 1.95e-06 1.35e-06 2e-06 1.75e-06 1.55e-06 1.8e-06 2.45e-06 1.65e-06 2.05e-06 1.3e-06 2.05e-06 1.95e-06 1.8e-06 1.3e-06 1.8e-06 1.45e-06 1.95e-06 2.3e-06 2.4e-06 1.3e-06 1.9e-06 1.45e-06 1.9e-06 1.85e-06 2e-06 1.75e-06 1.95e-06 1.3e-06 1.75e-06 1.6e-06 2.25e-06 2.3e-06
13 1.8e-06 1.75e-06 1.6e-06 1.6e-06 1.95e-06 1.65e-06 1.65e-06 2.3e-06 1.45e-06 1.6e-06 2.05e-06 1.5e-06 1.8e-06 1.9e-06 2.05e-06 1.5e-06 2.45e-06 2.45e-06 2e-06 2.2e-06 1.6e-06 2.2e-06 2.15e-06 2.15e-06 1.85e-06 1.85e-06 2.3e-06 2.15e-06 2.05e-06 1.65e-06 1.55e-06 1.4e-06 1.25e-06 1.9e-06 1.7e-06 2.1e-06 1.3e-06 1.8e-06 1.4e-06 1.95e-06 2.4e-06 2.6e-06 1.3e-06 2.1e-06 2.1e-06 1.9e-06 2.15e-06 1.95e-06 2.2e-06 1.65e-06 1.75e-06 1.75e-06 1.25e-06 2.05e-06 2.45e-06
14 1.5e-06 1.95e-06 2.05e-06 2.4e-06 8e-07 2.05e-06 1.2e-06 1.55e-06 1.15e-06 1.3e-06 1.75e-06 2.3e-06 1.35e-06 2.05e-06 8e-07 1.55e-06 1.85e-06 1.85e-06 2.55e-06 1.35e-06 1.95e-06 2.55e-06 2.55e-06 1.75e-06 7.5e-07 1.9e-06 1.45e-06 6e-07 1.8e-06 2.7e-06 2e-06 2e-06 1.35e-06 2e-06 1.9e-06 1.7e-06 1.4e-06 1.35e-06 1.45e-06 1.4e-06 2.15e-06 2.4e-06 1.4e-06 1.75e-06 9.5e-07 1.6e-06 1.75e-06 1.5e-06 1.45e-06 2.35e-06 6.5e-07 1.6e-06 2.1e-06 2.55e-06 2.45e-06
15 1.3e-06 1.25e-06 1.15e-06 1.5e-06 1.15e-06 1.55e-06 1.5e-06 1.8e-06 1.1e-06 1.2e-06 1.35e-06 1.4e-06 1.4e-06 1.5e-06 1.55e-06 1.5e-06 1.85e-06 1.85e-06 1.95e-06 1.55e-06 1.8e-06 1.95e-06 2.05e-06 1.65e-06 1.4e-06 1.8e-06 1.75e-06 1.75e-06 1.2e-06 1.95e-06 1.35e-06 1.95e-06 9e-07 1.4e-06 1.45e-06 1.25e-06 9.5e-07 1.65e-06 9.5e-07 1.35e-06 1.75e-06 1.8e-06 9.5e-07 1.4e-06 1.3e-06 1.3e-06 1.95e-06 1.4e-06 1.45e-06 1.65e-06 1.3e-06 1.35e-06 1.2e-06 1.8e-06 1.85e-06
16 1.7e-06 1.95e-06 1.65e-06 2.25e-06 1.7e-06 2.35e-06 1.95e-06 1.9e-06 2.1e-06 2.3e-06 1.75e-06 2.15e-06 1.9e-06 2.45e-06 1.85e-06 1.85e-06 2.6e-06 1.55e-06 2.25e-06 1.7e-06 2.65e-06 2.1e-06 2.45e-06 2.15e-06 1.85e-06 2.55e-06 1.7e-06 2.05e-06 1.7e-06 2.7e-06 1.75e-06 2.75e-06 1.85e-06 2.15e-06 2.05e-06 1.55e-06 1.9e-06 2.4e-06 1.9e-06 2.2e-06 1.7e-06 1.85e-06 1.9e-06 2.1e-06 1.85e-06 1.95e-06 2.15e-06 2e-06 1.75e-06 2.3e-06 1.75e-06 2.05e-06 2.3e-06 2e-06 1.75e-06
17 1.55e-06 2e-06 1.65e-06 2.15e-06 1.75e-06 2.25e-06 2e-06 1.65e-06 2.05e-06 2.25e-06 1.75e-06 2.05e-06 2e-06 2.45e-06 1.85e-06 1.85e-06 1.55e-06 2.4e-06 2.35e-06 1.7e-06 2.45e-06 1.8e-06 2.35e-06 2.15e-06 1.85e-06 2.5e-06 1.55e-06 2.05e-06 1.7e-06 2.5e-06 1.75e-06 2.65e-06 1.8e-06 2.05e-06 2.1e-06 1.75e-06 1.85e-06 2.25e-06 1.9e-06 2.2e-06 1.95e-06 1.95e-06 1.85e-06 2.1e-06 1.9e-06 2.05e-06 2.15e-06 2e-06 1.7e-06 2.2e-06 1.75e-06 2e-06 2.2e-06 1.9e-06 1.55e-06
18 1.75e-06 1.9e-06 2.05e-06 1.75e-06 2.2e-06 1.8e-06 2.35e-06 2.25e-06 2.15e-06 2.3e-06 2.45e-06 1.65e-06 2.3e-06 2e-06 2.55e-06 1.95e-06 2.25e-06 2.35e-06 2.9e-06 2.55e-06 1.9e-06 1.6e-06 2.05e-06 2.45e-06 2.35e-06 2.25e-06 2.2e-06 2.65e-06 2.15e-06 1.45e-06 2.1e-06 2.15e-06 1.95e-06 1.7e-06 1.95e-06 1.7e-06 2e-06 2.3e-06 1.95e-06 2.25e-06 1.7e-06 2.25e-06 2e-06 2.3e-06 2.35e-06 1.9e-06 2e-06 2e-06 2.5e-06 1.9e-06 2.25e-06 2.1e-06 1.75e-06 1.85e-06 2.15e-06
19 1.75e-06 2.1e-06 1.55e-06 2.35e-06 1.25e-06 2.4e-06 1.5e-06 2e-06 1.75e-06 1.95e-06 1.3e-06 2.25e-06 1.5e-06 2.2e-06 1.35e-06 1.55e-06 1.7e-06 1.7e-06 2.55e-06 2.1e-06 2.35e-06 2.55e-06 2.55e-06 1.85e-06 1.35e-06 2.45e-06 1.6e-06 1.55e-06 1.55e-06 2.85e-06 1.65e-06 2.45e-06 1.55e-06 2.2e-06 2.2e-06 1.75e-06 1.6e-06 2.05e-06 1.6e-06 1.85e-06 2.35e-06 2.15e-06 1.6e-06 1.8e-06 1.3e-06 2.05e-06 2.1e-06 2.1e-06 1.5e-06 2.4e-06 1.3e-06 1.75e-06 2.05e-06 2.25e-06 2e-06
20 1.9e-06 2.1e-06 2.05e-06 1.4e-06 2.05e-06 1.35e-06 1.7e-06 2.2e-06 1.65e-06 1.8e-06 2.5e-06 1.3e-06 1.95e-06 1.6e-06 1.95e-06 1.8e-06 2.65e-06 2.45e-06 1.9e-06 2.35e-06 9e-07 1.8e-06 1.75e-06 2.25e-06 1.9e-06 1.4e-06 2.3e-06 1.95e-06 2.4e-06 9.5e-07 1.9e-06 1.25e-06 1.55e-06 1.6e-06 1.95e-06 2.4e-06 1.6e-06 1.2e-06 1.6e-06 1.95e-06 2.75e-06 3e-06 1.6e-06 2.2e-06 2.15e-06 2.15e-06 1.7e-06 2.2e-06 2.35e-06 1.45e-06 1.85e-06 1.85e-06 1e-06 1.9e-06 2.7e-06
21 1.3e-06 1.65e-06 2.1e-06 1.35e-06 2.25e-06 1.4e-06 2.4e-06 1.65e-06 2.1e-06 2.3e-06 2.45e-06 1.25e-06 2.45e-06 2.2e-06 2.55e-06 1.95e-06 2.1e-06 1.8e-06 1.6e-06 2.55e-06 1.8e-06 1.3e-06 1.7e-06 2.5e-06 2.35e-06 2.05e-06 1.75e-06 2.65e-06 2.2e-06 1.15e-06 2.15e-06 2.25e-06 1.9e-06 1.3e-06 1.7e-06 1.6e-06 1.95e-06 2.15e-06 1.95e-06 2.35e-06 1.35e-06 2.1e-06 1.95e-06 2.35e-06 2.4e-06 1.7e-06 1.75e-06 1.7e-06 2.55e-06 1.5e-06 2.25e-06 2.15e-06 1.75e-06 1.5e-06 1.7e-06
22 1.85e-06 2.15e-06 2.15e-06 1.75e-06 2.3e-06 1.75e-06 2.2e-06 2.35e-06 2.1e-06 2.25e-06 2.45e-06 1.65e-06 2.4e-06 2.15e-06 2.55e-06 2.05e-06 2.45e-06 2.35e-06 2.05e-06 2.55e-06 1.75e-06 1.7e-06 2.9e-06 1.9e-06 2.35e-06 2.1e-06 2.3e-06 2.55e-06 2.35e-06 1.6e-06 2.05e-06 2.3e-06 1.95e-06 1.8e-06 2.05e-06 2.1e-06 2e-06 2.15e-06 1.9e-06 2.05e-06 2.25e-06 2.6e-06 2e-06 1.85e-06 2.45e-06 2.15e-06 2.1e-06 2.25e-06 2.55e-06 1.8e-06 2.25e-06 1.85e-06 1.75e-06 1.95e-06 2.35e-06
23 1.65e-06 2.25e-06 1.95e-06 2.4e-06 1.45e-06 2.1e-06 1.75e-06 2.15e-06 1.45e-06 1.65e-06 1.55e-06 2.3e-06 1.95e-06 2.15e-06 1.75e-06 1.65e-06 2.15e-06 2.15e-06 2.45e-06 1.85e-06 2.25e-06 2.5e-06 1.9e-06 1.9e-06 1.55e-06 2.15e-06 2e-06 1.8e-06 1.75e-06 2.6e-06 1.85e-06 2.5e-06 1.6e-06 2.05e-06 2.15e-06 1.75e-06 1.65e-06 2e-06 1.5e-06 1.25e-06 2.4e-06 2.35e-06 1.65e-06 1.2e-06 1.6e-06 1.85e-06 2.3e-06 2e-06 1.8e-06 2.35e-06 1.45e-06 1.3e-06 2.05e-06 2.4e-06 2.3e-06
24 1.3e-06 1.8e-06 1.85e-06 2.2e-06 9e-07 1.85e-06 1.15e-06 1.55e-06 9.5e-07 1.15e-06 1.55e-06 2.1e-06 1.35e-06 1.85e-06 7.5e-07 1.4e-06 1.85e-06 1.85e-06 2.35e-06 1.35e-06 1.9e-06 2.35e-06 2.35e-06 1.55e-06 1.4e-06 1.8e-06 1.45e-06 9.5e-07 1.65e-06 2.5e-06 1.8e-06 1.95e-06 1.15e-06 1.85e-06 1.75e-06 1.55e-06 1.2e-06 1.35e-06 1.3e-06 1.3e-06 2e-06 2.25e-06 1.2e-06 1.6e-06 1e-06 1.45e-06 1.75e-06 1.35e-06 1.5e-06 2.15e-06 7e-07 1.4e-06 1.9e-06 2.35e-06 2.25e-06
25 1.75e-06 1.95e-06 2.2e-06 1.7e-06 2e-06 1.35e-06 1.85e-06 2.15e-06 1.25e-06 1.5e-06 2.35e-06 1.6e-06 2e-06 1.85e-06 1.9e-06 1.8e-06 2.55e-06 2.5e-06 2.25e-06 2.45e-06 1.4e-06 2.05e-06 2.1e-06 2.15e-06 1.8e-06 2.1e-06 2.35e-06 2e-06 2.45e-06 1.7e-06 2.1e-06 1.85e-06 1.45e-06 1.8e-06 1.85e-06 2.2e-06 1.5e-06 1.5e-06 1.65e-06 1.95e-06 2.4e-06 2.9e-06 1.5e-06 2.25e-06 2.15e-06 1.8e-06 1.95e-06 1.85e-06 2.4e-06 1.65e-06 1.7e-06 1.95e-06 1.55e-06 2.25e-06 2.8e-06
26 1.4e-06 1.95e-06 1.95e-06 2.15e-06 1.35e-06 2.1e-06 1.7e-06 1.6e-06 1.85e-06 2.05e-06 1.75e-06 2.05e-06 1.75e-06 2.3e-06 1.45e-06 1.75e-06 1.7e-06 1.55e-06 2.2e-06 1.6e-06 2.3e-06 1.75e-06 2.3e-06 2e-06 1.45e-06 2.35e-06 2.4e-06 1.6e-06 1.8e-06 2.4e-06 2e-06 2.4e-06 1.75e-06 1.85e-06 2e-06 1.5e-06 1.8e-06 2.05e-06 1.75e-06 1.9e-06 1.75e-06 2.05e-06 1.8e-06 1.95e-06 1.45e-06 1.75e-06 1.8e-06 1.8e-06 1.8e-06 2.2e-06 1.4e-06 1.9e-06 2.2e-06 2.1e-06 1.8e-06
27 1.7e-06 2.15e-06 2.25e-06 2.5e-06 1e-06 2.15e-06 1.3e-06 1.75e-06 1.35e-06 1.5e-06 1.9e-06 2.4e-06 1.55e-06 2.15e-06 6e-07 1.75e-06 2.05e-06 2.05e-06 2.65e-06 1.55e-06 1.95e-06 2.65e-06 2.55e-06 1.8e-06 9.5e-07 2e-06 1.6e-06 1.2e-06 2e-06 2.7e-06 2.1e-06 2.1e-06 1.55e-06 2.1e-06 2e-06 1.9e-06 1.6e-06 1.45e-06 1.55e-06 1.4e-06 2.35e-06 2.6e-06 1.6e-06 1.85e-06 1.15e-06 1.8e-06 1.85e-06 1.7e-06 1.65e-06 2.45e-06 8.5e-07 1.65e-06 2.2e-06 2.65e-06 2.65e-06
28 1.5e-06 1.65e-06 1.15e-06 2.1e-06 1.3e-06 2.15e-06 1.9e-06 1.9e-06 1.6e-06 1.65e-06 1.35e-06 2e-06 1.8e-06 2.05e-06 1.8e-06 1.2e-06 1.7e-06 1.7e-06 2.15e-06 1.55e-06 2.4e-06 2.2e-06 2.35e-06 1.75e-06 1.65e-06 2.45e-06 1.8e-06 2e-06 1.8e-06 2.45e-06 1.35e-06 2.5e-06 1.4e-06 1.75e-06 1.85e-06 1.3e-06 1.45e-06 2.15e-06 1.35e-06 1.4e-06 1.8e-06 1.45e-06 1.45e-06 1.5e-06 1.45e-06 1.6e-06 2.3e-06 1.65e-06 1.35e-06 2.25e-06 1.55e-06 1.55e-06 1.8e-06 1.75e-06 1.5e-06
29 1.75e-06 1.85e-06 2.1e-06 1.15e-06 2.5e-06 1.2e-06 2.3e-06 2.25e-06 2e-06 2.15e-06 2.75e-06 1.05e-06 2.45e-06 1.65e-06 2.7e-06 1.95e-06 2.7e-06 2.5e-06 1.45e-06 2.85e-06 9.5e-07 1.15e-06 1.6e-06 2.6e-06 2.5e-06 1.7e-06 2.4e-06 2.7e-06 2.45e-06 1e-06 2.05e-06 1.55e-06 1.8e-06 1.35e-06 1.8e-06 2.15e-06 1.85e-06 1.8e-06 1.85e-06 2.3e-06 2.1e-06 2.65e-06 1.85e-06 2.45e-06 2.65e-06 2e-06 1.8e-06 2.05e-06 2.75e-06 1.3e-06 2.4e-06 2.1e-06 1.15e-06 1.55e-06 2.35e-06
30 1.7e-06 1.65e-06 9e-07 1.65e-06 1.8e-06 1.9e-06 1.55e-06 2.1e-06 1.6e-06 1.75e-06 1.45e-06 1.55e-06 1.65e-06 1.55e-06 2e-06 1.35e-06 1.75e-06 1.75e-06 2.1e-06 1.65e-06 1.9e-06 2.15e-06 2.05e-06 1.85e-06 1.8e-06 2.1e-06 2e-06 2.1e-06 1.35e-06 2.05e-06 1.8e-06 2.15e-06 1.2e-06 1.95e-06 1.65e-06 1.85e-06 1.25e-06 1.95e-06 1.3e-06 1.8e-06 2.2e-06 1.85e-06 1.25e-06 1.8e-06 1.95e-06 1.95e-06 2.2e-06 1.95e-06 1.65e-06 1.7e-06 1.7e-06 1.6e-06 1.35e-06 1.55e-06 1.65e-06
31 2.05e-06 2.2e-06 2.2e-06 1.85e-06 2.1e-06 1.75e-06 1.9e-06 2.35e-06 1.75e-06 1.9e-06 2.6e-06 1.75e-06 2.05e-06 1.4e-06 2e-06 1.95e-06 2.75e-06 2.65e-06 2.15e-06 2.45e-06 1.25e-06 2.25e-06 2.3e-06 2.5e-06 1.95e-06 1.85e-06 2.4e-06 2.1e-06 2.5e-06 1.55e-06 2.15e-06 2.5e-06 1.7e-06 2e-06 2.15e-06 2.45e-06 1.75e-06 1.65e-06 1.85e-06 2.25e-06 2.75e-06 3.05e-06 1.75e-06 2.45e-06 2.2e-06 2.2e-06 2.05e-06 2.25e-06 2.45e-06 1.9e-06 1.9e-06 2.1e-06 1.5e-06 2.3e-06 2.85e-06
32 1.15e-06 1.15e-06 1.1e-06 1.35e-06 1.3e-06 1.3e-06 1.3e-06 1.6e-06 7e-07 9e-07 1.35e-06 1.25e-06 1.3e-06 1.25e-06 1.35e-06 9e-07 1.85e-06 1.8e-06 1.95e-06 1.55e-06 1.55e-06 1.9e-06 1.95e-06 1.6e-06 1.15e-06 1.45e-06 1.75e-06 1.55e-06 1.4e-06 1.8e-06 1.2e-06 1.7e-06 1.2e-06 1.5e-06 1.25e-06 1.5e-06 6.5e-07 1.3e-06 9.5e-07 1.5e-06 1.8e-06 2e-06 6.5e-07 1.55e-06 1.45e-06 1.3e-06 1.85e-06 1.15e-06 1.55e-06 1.4e-06 1.05e-06 1.2e-06 1.05e-06 1.75e-06 1.9e-06
33 1.3e-06 1.5e-06 1.9e-06 1.45e-06 1.6e-06 1.35e-06 2e-06 1.8e-06 1.55e-06 1.65e-06 2.05e-06 1.35e-06 2.05e-06 1.9e-06 2e-06 1.4e-06 2.15e-06 2.05e-06 1.7e-06 2.2e-06 1.6e-06 1.3e-06 1.8e-06 2.05e-06 1.85e-06 1.8e-06 1.85e-06 2.1e-06 1.75e-06 1.35e-06 1.95e-06 2e-06 1.5e-06 2.3e-06 1.55e-06 1.35e-06 1.55e-06 1.75e-06 1.4e-06 1.55e-06 1.5e-06 2e-06 1.55e-06 1.8e-06 1.75e-06 1.35e-06 1.75e-06 1.45e-06 2.05e-06 1.6e-06 1.75e-06 1.75e-06 1.5e-06 1.7e-06 2e-06
