 slim_762405221 slim_762405200 slim_762405216 slim_762405220 slim_762405193 slim_762405215 slim_762405212 slim_762405201 slim_762405206 slim_762405224 slim_762405208 slim_762405210 slim_762405217 slim_762405219 slim_762405207 slim_762405196 slim_762405209 slim_762405199 slim_762405226 slim_762405187 slim_762405195 slim_762405222 slim_762405197 slim_762405211 slim_762405189 slim_762405225 slim_762405190 slim_762405194 slim_762405218 slim_762405202 slim_762405205 slim_762405228 slim_762405214 slim_762405191 slim_762405188 slim_762405192 slim_762405213 slim_762405204 slim_762405227 slim_762405198 slim_762405223 slim_762405203
10 2.4e-06 1.2e-06 1.65e-06 1.9e-06 1.85e-06 2.05e-06 1.7e-06 2e-06 2.3e-06 2.75e-06 2.1e-06 1.9e-06 2.1e-06 2e-06 2.7e-06 2.2e-06 1.85e-06 1.8e-06 2.3e-06 2.05e-06 2.1e-06 2.4e-06 1.75e-06 1.6e-06 2e-06 2.1e-06 1.8e-06 1.55e-06 2.4e-06 2.5e-06 2.45e-06 2e-06 2.25e-06 2.1e-06 1.75e-06 2.85e-06 1.65e-06 2.4e-06 2.45e-06 2.15e-06 2.15e-06 2.5e-06
11 2.15e-06 1.75e-06 1.8e-06 2.05e-06 1.85e-06 1.9e-06 2.25e-06 1.95e-06 2.3e-06 2.7e-06 1.9e-06 2.9e-06 1.95e-06 2.25e-06 2.35e-06 2.15e-06 1.55e-06 2.1e-06 1.9e-06 1.9e-06 2.25e-06 2.55e-06 2.25e-06 2.3e-06 1.85e-06 2.35e-06 2.15e-06 2.15e-06 1.85e-06 2.45e-06 2.55e-06 2.05e-06 2.1e-06 2.2e-06 1.95e-06 2.25e-06 2.05e-06 2.5e-06 2.25e-06 2e-06 2.3e-06 2.35e-06
12 2.05e-06 2.05e-06 1.6e-06 2.25e-06 2e-06 1.65e-06 2e-06 1.5e-06 2.1e-06 2.3e-06 2.1e-06 1.95e-06 2.4e-06 2.05e-06 2.1e-06 2e-06 1.95e-06 2.05e-06 2e-06 1.65e-06 1.85e-06 2.15e-06 2.2e-06 1.9e-06 2.2e-06 1.75e-06 2.15e-06 1.85e-06 2e-06 2.25e-06 1.85e-06 2.2e-06 2.15e-06 1.95e-06 1.65e-06 2.15e-06 1.8e-06 2e-06 2.15e-06 1.75e-06 2.2e-06 2.1e-06
13 2.2e-06 1.9e-06 2.1e-06 2e-06 1.9e-06 2e-06 1.85e-06 1.95e-06 2.1e-06 2.1e-06 2e-06 2.25e-06 2.05e-06 2.8e-06 2.45e-06 2e-06 2.25e-06 1.95e-06 2e-06 2e-06 1.95e-06 1.9e-06 1.95e-06 1.85e-06 2.1e-06 1.9e-06 2.05e-06 1.7e-06 2.25e-06 2.1e-06 1.6e-06 2.15e-06 2.05e-06 1.95e-06 2.05e-06 2e-06 2e-06 1.65e-06 2.2e-06 2.1e-06 1.95e-06 1.75e-06
14 1.65e-06 2.75e-06 2.55e-06 1.95e-06 1.85e-06 1.7e-06 2.15e-06 1.55e-06 1.95e-06 2.15e-06 2.7e-06 2.35e-06 2.1e-06 2.45e-06 2.7e-06 1.6e-06 2.35e-06 2.2e-06 1.55e-06 1.7e-06 1.45e-06 2.5e-06 1.95e-06 1.7e-06 2.25e-06 1.65e-06 1.9e-06 1.75e-06 1.7e-06 2.1e-06 2.1e-06 2.1e-06 1.8e-06 1.65e-06 2e-06 2.3e-06 2.35e-06 2.25e-06 1.75e-06 1.8e-06 3.25e-06 2.2e-06
15 9e-07 2.2e-06 2.2e-06 1.5e-06 1.25e-06 1.2e-06 1.75e-06 9.5e-07 1.25e-06 1.95e-06 2.2e-06 2.15e-06 2e-06 2e-06 1.6e-06 9e-07 2.15e-06 1.6e-06 9.5e-07 1.2e-06 1.1e-06 1.95e-06 1e-06 1.35e-06 1.85e-06 1.15e-06 1.45e-06 1.3e-06 1.45e-06 1.65e-06 1.9e-06 1.8e-06 1e-06 8e-07 1.75e-06 2.15e-06 2.05e-06 1.8e-06 1.2e-06 1.3e-06 2.95e-06 1.85e-06
16 2.15e-06 1.85e-06 1.85e-06 2.05e-06 1.85e-06 1.9e-06 2.3e-06 1.95e-06 2.3e-06 2.7e-06 1.85e-06 1.55e-06 1.95e-06 2.25e-06 2.35e-06 2.15e-06 2.9e-06 2.1e-06 1.9e-06 1.9e-06 2.25e-06 2.55e-06 2.25e-06 2.35e-06 1.9e-06 2.35e-06 2.15e-06 2.2e-06 1.85e-06 2.45e-06 2.55e-06 2.1e-06 2.1e-06 2.2e-06 2e-06 2.25e-06 2.1e-06 2.5e-06 2.25e-06 2e-06 2.3e-06 2.35e-06
17 1.9e-06 1.6e-06 1.9e-06 1.65e-06 1.45e-06 1.45e-06 1.9e-06 1.45e-06 1.45e-06 2.55e-06 1.8e-06 2.1e-06 2.05e-06 1.95e-06 2.2e-06 1.6e-06 2.1e-06 1.9e-06 1.7e-06 1.45e-06 1.75e-06 2.2e-06 1.5e-06 1.6e-06 2e-06 1.35e-06 1.55e-06 1.4e-06 1.75e-06 2.3e-06 2.3e-06 1.5e-06 1.4e-06 1.6e-06 1.55e-06 2.5e-06 2.05e-06 2.25e-06 1.65e-06 1.55e-06 2.75e-06 2.3e-06
18 1.3e-06 2.3e-06 2.2e-06 1.25e-06 1.45e-06 1.2e-06 1.95e-06 1.05e-06 1.4e-06 1.9e-06 2.3e-06 1.9e-06 2e-06 2e-06 1.55e-06 9.5e-07 1.9e-06 1.7e-06 1.2e-06 1.2e-06 1.2e-06 1.95e-06 1.5e-06 1.6e-06 1.75e-06 1.4e-06 1.55e-06 1.55e-06 1.25e-06 1.65e-06 1.9e-06 1.75e-06 1.1e-06 1.1e-06 1.8e-06 1.8e-06 2.15e-06 1.85e-06 1.3e-06 1.3e-06 2.8e-06 1.7e-06
19 1.45e-06 2e-06 1.7e-06 1.5e-06 1.35e-06 7.5e-07 1.9e-06 8.5e-07 1.45e-06 2.25e-06 2.05e-06 1.9e-06 1.65e-06 2e-06 1.7e-06 1.2e-06 1.9e-06 1.45e-06 1.2e-06 1.5e-06 1.45e-06 2e-06 1.45e-06 1.5e-06 1.8e-06 1.3e-06 1.55e-06 1.4e-06 1.35e-06 2e-06 2.1e-06 1.75e-06 1.1e-06 1.25e-06 1.15e-06 2.1e-06 2.05e-06 2.05e-06 1.55e-06 8.5e-07 2.85e-06 2.1e-06
20 1.35e-06 2.25e-06 2.25e-06 1.5e-06 1.6e-06 1.45e-06 1.4e-06 1.15e-06 1.3e-06 1.85e-06 2.1e-06 2.25e-06 1.85e-06 1.95e-06 1.45e-06 1.1e-06 2.25e-06 1.75e-06 1.2e-06 1.45e-06 1.1e-06 1.9e-06 1.35e-06 9.5e-07 1.95e-06 1e-06 1.45e-06 1.05e-06 1.4e-06 1.8e-06 1.5e-06 1.9e-06 1.4e-06 1e-06 1.75e-06 2.15e-06 1.75e-06 1.65e-06 1.45e-06 1.55e-06 2.85e-06 1.5e-06
21 2.1e-06 2.45e-06 2.3e-06 2.15e-06 2.2e-06 2e-06 2.1e-06 1.8e-06 2.05e-06 2.1e-06 2.4e-06 2.55e-06 2.15e-06 1.9e-06 2.5e-06 1.95e-06 2.55e-06 2.2e-06 1.95e-06 2e-06 1.9e-06 2.9e-06 2.1e-06 2e-06 2.35e-06 1.9e-06 2.2e-06 2e-06 2.2e-06 1.85e-06 1.8e-06 2.45e-06 2.15e-06 1.75e-06 2.15e-06 2.1e-06 2.3e-06 1.6e-06 2.2e-06 2.1e-06 2.3e-06 1.85e-06
22 1.25e-06 1.8e-06 2.1e-06 1.5e-06 1.25e-06 1.45e-06 1.65e-06 1.3e-06 1.55e-06 2.3e-06 1.75e-06 2.25e-06 2.2e-06 1.95e-06 1.95e-06 1e-06 2.25e-06 1.5e-06 1.5e-06 1.45e-06 1.35e-06 2.1e-06 1.8e-06 1.2e-06 1.95e-06 1.35e-06 1.4e-06 1.15e-06 1.8e-06 2e-06 2.1e-06 1.8e-06 1.4e-06 1.15e-06 1.6e-06 2.55e-06 1.95e-06 2e-06 1.65e-06 1.55e-06 2.9e-06 2.15e-06
23 1.65e-06 1.8e-06 2e-06 1.5e-06 1.6e-06 1.5e-06 1.2e-06 1.25e-06 1.6e-06 2.1e-06 1.6e-06 2.3e-06 1.9e-06 1.85e-06 1.7e-06 1.35e-06 2.35e-06 1.6e-06 1.6e-06 1.5e-06 9.5e-07 2e-06 1.2e-06 1.2e-06 2e-06 1.05e-06 1.4e-06 8e-07 1.85e-06 2.05e-06 1.65e-06 1.9e-06 1.6e-06 1.2e-06 1.4e-06 2.55e-06 1.55e-06 1.8e-06 1.8e-06 1.6e-06 2.75e-06 2e-06
24 1.9e-06 1.95e-06 2.05e-06 1.9e-06 1.7e-06 1.8e-06 1.8e-06 1.8e-06 2e-06 2.55e-06 2e-06 1.85e-06 2.2e-06 2.1e-06 2.25e-06 1.85e-06 1.9e-06 2e-06 1.75e-06 1.8e-06 1.95e-06 2.35e-06 1.95e-06 2e-06 2.9e-06 2.1e-06 2e-06 1.9e-06 1.8e-06 2.25e-06 2.35e-06 2.05e-06 1.85e-06 1.9e-06 1.95e-06 2.2e-06 2.15e-06 2.25e-06 2.05e-06 1.9e-06 2.5e-06 2.15e-06
25 1.55e-06 2.05e-06 2.1e-06 1.65e-06 1.6e-06 1.3e-06 1.5e-06 1.1e-06 1.15e-06 2e-06 2.1e-06 2.35e-06 1.75e-06 1.9e-06 1.65e-06 1.15e-06 2.35e-06 1.35e-06 1.4e-06 1.3e-06 1e-06 1.9e-06 1.35e-06 1.05e-06 2.1e-06 1.4e-06 1.6e-06 1.05e-06 1.6e-06 1.95e-06 1.6e-06 2e-06 1.15e-06 1.1e-06 1.6e-06 2.3e-06 1.8e-06 1.75e-06 1.45e-06 1.4e-06 2.85e-06 1.9e-06
26 1.65e-06 1.85e-06 2.05e-06 1.55e-06 1.5e-06 1.55e-06 1.8e-06 1.4e-06 1.7e-06 2.25e-06 1.8e-06 2.15e-06 2.15e-06 2.05e-06 1.9e-06 1.45e-06 2.15e-06 1.55e-06 1.55e-06 1.55e-06 1.45e-06 2.2e-06 1.4e-06 1.4e-06 2e-06 1.6e-06 2.2e-06 1.35e-06 1.75e-06 2e-06 2.2e-06 1.35e-06 1.65e-06 1.45e-06 1.6e-06 2.5e-06 2e-06 2.15e-06 1.45e-06 1.65e-06 2.85e-06 2.15e-06
27 1.65e-06 1.6e-06 1.9e-06 1.45e-06 1.4e-06 1.4e-06 1.25e-06 1.25e-06 1.5e-06 2.1e-06 1.55e-06 2.15e-06 1.85e-06 1.7e-06 1.75e-06 1.3e-06 2.2e-06 1.4e-06 1.55e-06 1.4e-06 1.05e-06 2e-06 1.15e-06 8e-07 1.9e-06 1.05e-06 1.35e-06 1.5e-06 1.75e-06 2.05e-06 1.65e-06 1.7e-06 1.45e-06 1.2e-06 1.4e-06 2.4e-06 1.55e-06 1.8e-06 1.7e-06 1.5e-06 2.6e-06 1.95e-06
28 1.5e-06 2.35e-06 2.15e-06 1.65e-06 1.5e-06 1.35e-06 2.1e-06 1.3e-06 1.3e-06 2.4e-06 2.4e-06 1.85e-06 2e-06 2.25e-06 1.7e-06 1.45e-06 1.85e-06 1.75e-06 1.25e-06 1.35e-06 1.4e-06 2.2e-06 1.8e-06 1.85e-06 1.8e-06 1.6e-06 1.75e-06 1.75e-06 1.8e-06 2.15e-06 2.25e-06 1.85e-06 1.5e-06 1.5e-06 1.75e-06 2.05e-06 2.3e-06 2.2e-06 1.6e-06 1.45e-06 3e-06 1.95e-06
29 1.85e-06 2.55e-06 2.45e-06 2.05e-06 2.1e-06 2e-06 2.15e-06 1.75e-06 2.05e-06 1.85e-06 2.5e-06 2.45e-06 2.25e-06 2.1e-06 2.1e-06 1.65e-06 2.45e-06 2.3e-06 1.65e-06 2e-06 1.8e-06 1.85e-06 2e-06 2.05e-06 2.25e-06 1.95e-06 2e-06 2.05e-06 2.15e-06 2.9e-06 1.95e-06 2.2e-06 1.95e-06 1.6e-06 2.3e-06 2.15e-06 2.35e-06 1.75e-06 1.8e-06 2.1e-06 2.55e-06 1.9e-06
30 2.05e-06 2.5e-06 2.4e-06 2.15e-06 2.2e-06 2.1e-06 1.75e-06 1.85e-06 2.1e-06 1.75e-06 2.45e-06 2.55e-06 1.85e-06 1.6e-06 2.1e-06 1.9e-06 2.55e-06 2.3e-06 1.9e-06 2.1e-06 1.5e-06 1.8e-06 2.1e-06 1.65e-06 2.35e-06 1.6e-06 2.2e-06 1.65e-06 2.25e-06 1.95e-06 2.2e-06 2.45e-06 2.15e-06 1.8e-06 2.25e-06 1.85e-06 1.95e-06 1.35e-06 2.15e-06 2.2e-06 2.1e-06 1.5e-06
31 1.9e-06 1.9e-06 2.05e-06 1.8e-06 1.6e-06 1.75e-06 2.15e-06 1.7e-06 1.95e-06 2.45e-06 2e-06 2.05e-06 2.2e-06 2.15e-06 2.1e-06 1.8e-06 2.1e-06 1.5e-06 1.75e-06 1.75e-06 1.9e-06 2.45e-06 1.8e-06 1.9e-06 2.05e-06 2e-06 1.35e-06 1.7e-06 1.85e-06 2.2e-06 2.45e-06 1.9e-06 1.9e-06 1.85e-06 1.75e-06 2.45e-06 2.2e-06 2.4e-06 1.5e-06 1.85e-06 2.75e-06 2.3e-06
32 1.5e-06 2.05e-06 2.25e-06 1.55e-06 1.45e-06 1.1e-06 1.95e-06 1.2e-06 1.1e-06 2.25e-06 2.25e-06 2.1e-06 2.15e-06 2.05e-06 1.8e-06 1e-06 2.1e-06 1.4e-06 1.1e-06 1.1e-06 1.4e-06 2.15e-06 1.4e-06 1.6e-06 1.85e-06 1.15e-06 1.65e-06 1.45e-06 1.5e-06 1.95e-06 2.15e-06 1.9e-06 1.2e-06 1.1e-06 1.85e-06 2.2e-06 2.2e-06 2.05e-06 1.2e-06 1.2e-06 3e-06 2.05e-06
33 1.25e-06 2.15e-06 2.15e-06 1.5e-06 1.45e-06 1.25e-06 1.65e-06 1e-06 1.25e-06 2e-06 2.1e-06 2.2e-06 1.95e-06 1.95e-06 1.65e-06 8e-07 2.2e-06 1.6e-06 1.1e-06 1.25e-06 1e-06 1.75e-06 1.15e-06 1.2e-06 1.9e-06 1.1e-06 1.45e-06 1.2e-06 1.5e-06 1.6e-06 1.8e-06 1.85e-06 1.1e-06 1.2e-06 1.65e-06 2.2e-06 1.95e-06 1.6e-06 1.3e-06 1.35e-06 2.9e-06 1.8e-06
34 1.7e-06 1.8e-06 1.45e-06 1.7e-06 1.45e-06 1.15e-06 1.9e-06 1.05e-06 1.9e-06 2.55e-06 1.75e-06 1.95e-06 1.65e-06 2.05e-06 2e-06 1.75e-06 2e-06 1.55e-06 1.8e-06 1.15e-06 1.75e-06 2.15e-06 1.6e-06 1.4e-06 1.95e-06 1.6e-06 1.6e-06 1.4e-06 1.75e-06 2.3e-06 2.25e-06 1.75e-06 1.85e-06 1.65e-06 1.2e-06 2.4e-06 1.95e-06 2.2e-06 2e-06 1.25e-06 2.75e-06 2.4e-06
35 2.1e-06 2.75e-06 2.5e-06 2.25e-06 2.15e-06 2.1e-06 2.5e-06 2.05e-06 2.35e-06 2.15e-06 2.85e-06 2.25e-06 2.15e-06 2e-06 2.3e-06 2.15e-06 2.25e-06 2.5e-06 1.8e-06 2.1e-06 2.15e-06 2.1e-06 2.55e-06 2.55e-06 2.2e-06 2.3e-06 2.5e-06 2.4e-06 2.05e-06 2.15e-06 1.85e-06 2.45e-06 2.2e-06 2.2e-06 2.4e-06 3e-06 2.55e-06 1.9e-06 2.25e-06 2.2e-06 2.15e-06 1.8e-06
36 2.25e-06 1.7e-06 1.8e-06 2.1e-06 2.05e-06 2.05e-06 1.65e-06 1.9e-06 2.2e-06 2.4e-06 1.65e-06 2.05e-06 1.8e-06 2e-06 2.35e-06 2.05e-06 2.1e-06 2.05e-06 2.15e-06 2.05e-06 1.75e-06 2.3e-06 1.95e-06 1.55e-06 2.15e-06 1.8e-06 2e-06 1.55e-06 2.3e-06 2.35e-06 1.95e-06 2.2e-06 2.2e-06 1.95e-06 1.95e-06 2.55e-06 3e-06 2.1e-06 2.3e-06 2.15e-06 2.2e-06 2.2e-06
37 1.9e-06 2.45e-06 2.35e-06 2.1e-06 2.1e-06 2.05e-06 1.9e-06 1.8e-06 2e-06 1.9e-06 2.4e-06 2.5e-06 2e-06 1.65e-06 2.25e-06 1.8e-06 2.5e-06 2.25e-06 1.85e-06 2.05e-06 1.65e-06 1.6e-06 2e-06 1.8e-06 2.25e-06 1.75e-06 2.15e-06 1.8e-06 2.2e-06 1.75e-06 1.35e-06 2.4e-06 2.05e-06 1.6e-06 2.2e-06 1.9e-06 2.1e-06 2.5e-06 2.05e-06 2.15e-06 2.15e-06 1.55e-06
38 1.5e-06 2.35e-06 2.35e-06 1.8e-06 1.65e-06 1.55e-06 2.1e-06 1.35e-06 1.3e-06 2.1e-06 2.45e-06 2.25e-06 2.15e-06 2.2e-06 1.75e-06 1.2e-06 2.25e-06 1.65e-06 1.3e-06 1.55e-06 1.45e-06 2.2e-06 1.65e-06 1.8e-06 2.05e-06 1.45e-06 1.45e-06 1.7e-06 1.6e-06 1.8e-06 2.15e-06 1.5e-06 1.2e-06 1.3e-06 2e-06 2.25e-06 2.3e-06 2.05e-06 1.8e-06 1.65e-06 3e-06 2e-06
39 1.55e-06 2.1e-06 1.8e-06 1.6e-06 1.45e-06 8.5e-07 2e-06 9.5e-07 1.55e-06 2.35e-06 2.15e-06 2e-06 1.75e-06 2.1e-06 1.8e-06 1.3e-06 2e-06 1.55e-06 1.3e-06 8.5e-07 1.55e-06 2.1e-06 1.55e-06 1.6e-06 1.9e-06 1.4e-06 1.65e-06 1.5e-06 1.45e-06 2.1e-06 2.2e-06 1.85e-06 1.2e-06 1.35e-06 1.25e-06 2.2e-06 2.15e-06 2.15e-06 1.65e-06 1.7e-06 2.95e-06 2.2e-06
40 3e-06 2.1e-06 2.2e-06 2.8e-06 2.7e-06 2.85e-06 2.4e-06 2.8e-06 3e-06 2.55e-06 2.15e-06 2.3e-06 2.2e-06 1.95e-06 3.25e-06 2.95e-06 2.3e-06 2.75e-06 2.8e-06 2.85e-06 2.85e-06 2.3e-06 2.9e-06 2.75e-06 2.5e-06 2.85e-06 2.85e-06 2.6e-06 3e-06 2.55e-06 2.1e-06 2.75e-06 3e-06 2.9e-06 2.75e-06 2.15e-06 2.2e-06 2.15e-06 3e-06 2.95e-06 2.9e-06 2.2e-06
41 1.95e-06 2.5e-06 2.45e-06 2.05e-06 2.1e-06 2.1e-06 2e-06 1.9e-06 1.95e-06 1.9e-06 2.5e-06 2.35e-06 2.1e-06 1.75e-06 2.2e-06 1.85e-06 2.35e-06 2.3e-06 1.7e-06 2.1e-06 1.5e-06 1.85e-06 2.15e-06 2e-06 2.15e-06 1.9e-06 2.15e-06 1.95e-06 1.95e-06 1.9e-06 1.5e-06 2.3e-06 2.05e-06 1.8e-06 2.4e-06 1.8e-06 2.2e-06 1.55e-06 2e-06 2.2e-06 2.2e-06 2.7e-06
