 slim_762040634 slim_762040636 slim_762040621 slim_762040638 slim_762040615 slim_762040609 slim_762040630 slim_762040617 slim_762040608 slim_762040637 slim_762040625 slim_762040611 slim_762040632 slim_762040628 slim_762040612 slim_762040633 slim_762040607 slim_762040629 slim_762040620 slim_762040635 slim_762040626 slim_762040624 slim_762040623 slim_762040631 slim_762040619 slim_762040640 slim_762040627 slim_762040605 slim_762040641 slim_762040618 slim_762040613 slim_762040614 slim_762040610 slim_762040622 slim_762040639 slim_762040606 slim_762040616
10 1.85e-06 1.8e-06 1.8e-06 1.95e-06 1.65e-06 1.65e-06 2e-06 1.6e-06 2.15e-06 1.9e-06 3.1e-06 1.85e-06 1.6e-06 1.95e-06 1.6e-06 1.95e-06 1.9e-06 1.75e-06 1.7e-06 1.7e-06 1.85e-06 1.65e-06 1.75e-06 1.65e-06 1.75e-06 1.6e-06 1.75e-06 1.75e-06 1.7e-06 2e-06 1.95e-06 1.7e-06 1.8e-06 1.6e-06 1.7e-06 2.15e-06 2e-06
11 2e-06 7e-07 1.55e-06 1.6e-06 9e-07 1.3e-06 1.1e-06 1.75e-06 2.15e-06 5.5e-07 1.85e-06 1e-06 1.75e-06 1.8e-06 9e-07 1.25e-06 1.4e-06 1.1e-06 1.6e-06 7e-07 1.9e-06 1.5e-06 7e-07 1.1e-06 6e-07 1.25e-06 8.5e-07 2e-06 1.6e-06 2.2e-06 2.1e-06 5.5e-07 1.55e-06 1e-06 1.5e-06 2e-06 1.65e-06
12 1.8e-06 1.65e-06 1.75e-06 1.85e-06 1.6e-06 1.6e-06 1.9e-06 1.55e-06 2.05e-06 1.85e-06 1.6e-06 1.75e-06 3e-06 1.85e-06 1.5e-06 1.85e-06 1.85e-06 1.65e-06 1.6e-06 1.6e-06 1.8e-06 1.6e-06 1.65e-06 1.55e-06 1.7e-06 1.5e-06 1.65e-06 1.65e-06 1.6e-06 1.95e-06 1.85e-06 1.65e-06 1.7e-06 1.5e-06 1.6e-06 2.05e-06 1.95e-06
13 2e-06 1.75e-06 1.85e-06 1.6e-06 1.85e-06 2.05e-06 1.7e-06 1.9e-06 1.85e-06 1.9e-06 1.95e-06 1.8e-06 1.85e-06 2.3e-06 1.45e-06 1.9e-06 1.65e-06 1.7e-06 1.8e-06 1.7e-06 1.65e-06 1.5e-06 1.75e-06 1.55e-06 1.7e-06 2.05e-06 1.55e-06 1.65e-06 1.8e-06 2.2e-06 2.15e-06 1.65e-06 1.65e-06 1.8e-06 1.7e-06 2.05e-06 1.95e-06
14 1.75e-06 7.5e-07 1.3e-06 1.45e-06 9e-07 1.05e-06 1.3e-06 1.55e-06 1.9e-06 1e-06 1.6e-06 9e-07 1.5e-06 1.45e-06 1.1e-06 1.2e-06 1.5e-06 8e-07 1.4e-06 7e-07 1.55e-06 1.1e-06 8.5e-07 8.5e-07 8e-07 1.1e-06 7.5e-07 1.8e-06 1.4e-06 1.95e-06 1.95e-06 7.5e-07 1.3e-06 7.5e-07 1.4e-06 1.85e-06 1.75e-06
15 2.1e-06 1.15e-06 1.65e-06 1.8e-06 1.25e-06 1.4e-06 1.5e-06 1.9e-06 2.2e-06 1.35e-06 1.95e-06 1.25e-06 1.85e-06 1.9e-06 1.2e-06 2e-06 1.8e-06 1.4e-06 1.8e-06 1.1e-06 2.15e-06 1.9e-06 1.25e-06 1.3e-06 1.2e-06 1.25e-06 1.35e-06 2.35e-06 1.8e-06 2.15e-06 2.1e-06 1.15e-06 1.75e-06 1.15e-06 1.8e-06 2.1e-06 2.1e-06
16 1.8e-06 1.8e-06 1.6e-06 1.55e-06 1.5e-06 1.9e-06 1.45e-06 1.65e-06 2e-06 1.15e-06 1.9e-06 1.4e-06 1.85e-06 1.65e-06 1.5e-06 1.8e-06 2.2e-06 1.75e-06 1.7e-06 1.55e-06 1.5e-06 1.6e-06 1.5e-06 1.75e-06 1.2e-06 1.9e-06 1.5e-06 1.7e-06 1.7e-06 2e-06 1.95e-06 1.15e-06 1.8e-06 1.8e-06 1.6e-06 2e-06 1.45e-06
17 1.8e-06 9e-07 1.45e-06 1.7e-06 1e-06 1.05e-06 1.5e-06 1.7e-06 2.05e-06 1.2e-06 1.75e-06 1.1e-06 1.65e-06 1.7e-06 8e-07 1.4e-06 1.75e-06 1.5e-06 1.65e-06 9e-07 1.75e-06 1.3e-06 9.5e-07 9.5e-07 1e-06 1.2e-06 1e-06 2.1e-06 1.6e-06 2e-06 2.1e-06 9.5e-07 1.4e-06 8.5e-07 1.65e-06 2e-06 1.9e-06
18 2.05e-06 1.55e-06 1.85e-06 1.75e-06 1.7e-06 1.9e-06 1.75e-06 1.6e-06 2.1e-06 1.65e-06 1.7e-06 1.6e-06 1.6e-06 1.8e-06 1.4e-06 1.8e-06 1.7e-06 1.65e-06 2.8e-06 1.5e-06 1.85e-06 1.65e-06 1.65e-06 1.65e-06 1.55e-06 1.6e-06 1.55e-06 1.55e-06 1.45e-06 2.2e-06 1.9e-06 1.5e-06 1.8e-06 1.6e-06 1.45e-06 2.1e-06 1.95e-06
19 1.85e-06 6e-07 1.4e-06 1.55e-06 8e-07 1e-06 1.25e-06 1.65e-06 2.1e-06 8.5e-07 1.7e-06 7e-07 1.6e-06 1.7e-06 7e-07 1.1e-06 1.55e-06 9e-07 1.5e-06 1e-06 1.85e-06 1.4e-06 7.5e-07 9e-07 7e-07 1e-06 8e-07 2e-06 1.5e-06 2.05e-06 2e-06 6.5e-07 1.35e-06 7e-07 1.5e-06 1.95e-06 1.8e-06
20 1.35e-06 2.15e-06 1.4e-06 1.7e-06 1.7e-06 1.8e-06 1.75e-06 1.6e-06 1.75e-06 1.75e-06 1.85e-06 1.9e-06 1.8e-06 1.65e-06 1.55e-06 2.15e-06 1.5e-06 1.75e-06 1.85e-06 1.85e-06 2e-06 1.3e-06 1.8e-06 1.7e-06 1.65e-06 2.05e-06 1.6e-06 1.7e-06 1.85e-06 1.7e-06 1.75e-06 1.6e-06 1.75e-06 1.9e-06 1.75e-06 1.9e-06 1.4e-06
21 1.6e-06 1.5e-06 1.6e-06 1.6e-06 1.4e-06 1.5e-06 1.8e-06 1.6e-06 1.7e-06 1.55e-06 1.65e-06 1.5e-06 1.6e-06 1.5e-06 1.1e-06 1.9e-06 1.6e-06 1.3e-06 1.65e-06 1.4e-06 1.3e-06 1.6e-06 1.35e-06 1.3e-06 1.35e-06 1.75e-06 1.2e-06 1.5e-06 1.65e-06 1.75e-06 2e-06 1.3e-06 1.5e-06 1.4e-06 1.55e-06 1.75e-06 1.65e-06
22 1.8e-06 8e-07 1.45e-06 1.6e-06 8e-07 1.05e-06 1.2e-06 1.7e-06 2.05e-06 7e-07 1.75e-06 7e-07 1.65e-06 1.75e-06 8.5e-07 1.25e-06 1.5e-06 9.5e-07 1.65e-06 7.5e-07 1.8e-06 1.35e-06 1.1e-06 9.5e-07 6.5e-07 1.15e-06 9e-07 2.1e-06 1.65e-06 2e-06 2.05e-06 6e-07 1.4e-06 8.5e-07 1.55e-06 1.9e-06 1.65e-06
23 1.6e-06 1e-06 1.35e-06 1.7e-06 9e-07 8e-07 1.35e-06 1.55e-06 1.85e-06 1.15e-06 1.65e-06 1.1e-06 1.55e-06 1.55e-06 8.5e-07 1.3e-06 1.75e-06 9.5e-07 1.65e-06 9e-07 1.7e-06 1.3e-06 9.5e-07 1.4e-06 1e-06 1.1e-06 1.05e-06 2.15e-06 1.65e-06 1.8e-06 2.05e-06 9.5e-07 1.2e-06 7.5e-07 1.65e-06 1.95e-06 1.8e-06
24 1.75e-06 9.5e-07 1.3e-06 1.55e-06 6.5e-07 1e-06 1.1e-06 1.5e-06 2.1e-06 3.5e-07 1.75e-06 6e-07 1.7e-06 1.7e-06 8e-07 1.2e-06 1.2e-06 1e-06 1.55e-06 7e-07 1.65e-06 1.35e-06 6.5e-07 1e-06 6e-07 1.2e-06 8.5e-07 2.1e-06 1.55e-06 1.95e-06 2.1e-06 3e-07 1.45e-06 9e-07 1.45e-06 1.95e-06 1.45e-06
25 1.75e-06 1.05e-06 1.45e-06 1.9e-06 1e-06 9e-07 1.6e-06 1.55e-06 2.25e-06 1.35e-06 1.6e-06 1.25e-06 1.5e-06 2.05e-06 1.1e-06 1.25e-06 1.9e-06 1.2e-06 1.6e-06 1e-06 2.05e-06 1.75e-06 1.15e-06 1.1e-06 1.2e-06 1.6e-06 1.35e-06 2.25e-06 1.6e-06 1.9e-06 1.8e-06 1.15e-06 1.55e-06 8e-07 1.7e-06 2.1e-06 2e-06
26 1.9e-06 8.5e-07 1.45e-06 1.5e-06 1.05e-06 1.35e-06 1.3e-06 1.7e-06 1.95e-06 1e-06 1.75e-06 8.5e-07 1.65e-06 1.55e-06 7.5e-07 1.35e-06 1.5e-06 1e-06 1.55e-06 8e-07 1.6e-06 1.2e-06 9e-07 1.05e-06 8.5e-07 1.35e-06 1.3e-06 1.75e-06 1.55e-06 2.1e-06 2.05e-06 8e-07 1.5e-06 1.05e-06 1.45e-06 1.9e-06 1.75e-06
27 2.2e-06 1.95e-06 2.25e-06 1.7e-06 2.3e-06 2.7e-06 2.1e-06 1.8e-06 1.95e-06 2.25e-06 1.75e-06 2e-06 1.65e-06 1.65e-06 1.8e-06 2.35e-06 1.7e-06 2.1e-06 1.55e-06 2e-06 1.7e-06 1.5e-06 2.1e-06 2.15e-06 2.1e-06 2.25e-06 1.75e-06 1.4e-06 1.55e-06 2.35e-06 1.9e-06 2.05e-06 2.05e-06 2.3e-06 1.45e-06 2.05e-06 2e-06
28 2.05e-06 1.5e-06 1.85e-06 1.75e-06 1.7e-06 1.9e-06 1.75e-06 1.6e-06 2.1e-06 1.65e-06 1.7e-06 1.6e-06 1.6e-06 1.8e-06 1.4e-06 1.8e-06 1.7e-06 1.6e-06 1.45e-06 1.5e-06 1.85e-06 1.65e-06 1.65e-06 1.65e-06 1.55e-06 1.6e-06 1.55e-06 1.55e-06 2.8e-06 2.2e-06 1.9e-06 1.5e-06 1.8e-06 1.6e-06 1.45e-06 2.1e-06 1.95e-06
29 1.55e-06 2.35e-06 1.7e-06 2.2e-06 1.7e-06 1.5e-06 2.2e-06 1.75e-06 1.85e-06 2.05e-06 2e-06 2.2e-06 1.95e-06 2.2e-06 1.95e-06 2.15e-06 2e-06 2e-06 2.2e-06 2.05e-06 1.7e-06 1.75e-06 2e-06 1.8e-06 1.95e-06 1.9e-06 2.1e-06 2.35e-06 2.2e-06 2.8e-06 2.1e-06 1.9e-06 1.85e-06 1.8e-06 2.2e-06 1.9e-06 1.85e-06
30 1.8e-06 2.05e-06 1.85e-06 2e-06 2.05e-06 2.15e-06 1.95e-06 1.9e-06 2.15e-06 2.2e-06 1.95e-06 2.1e-06 1.85e-06 2.15e-06 1.95e-06 2.1e-06 1.95e-06 2.1e-06 1.9e-06 2e-06 1.75e-06 2e-06 2.05e-06 2.05e-06 2.1e-06 1.8e-06 2.05e-06 1.9e-06 1.9e-06 2.1e-06 3.1e-06 2.05e-06 2.1e-06 2e-06 1.9e-06 2.15e-06 1.9e-06
31 1.7e-06 9e-07 1.25e-06 1.5e-06 6e-07 9.5e-07 1.05e-06 1.45e-06 2.05e-06 3e-07 1.7e-06 5.5e-07 1.65e-06 1.65e-06 7.5e-07 1.15e-06 1.15e-06 9.5e-07 1.5e-06 6.5e-07 1.6e-06 1.3e-06 6e-07 9.5e-07 3e-07 1.15e-06 8e-07 2.05e-06 1.5e-06 1.9e-06 2.05e-06 5e-07 1.4e-06 8.5e-07 1.4e-06 1.9e-06 1.4e-06
32 1.65e-06 1.45e-06 1.6e-06 1.75e-06 1.35e-06 1.25e-06 1.7e-06 1.7e-06 1.95e-06 1.6e-06 1.8e-06 1.55e-06 1.7e-06 1.65e-06 1.3e-06 1.75e-06 1.8e-06 1.4e-06 1.8e-06 1.35e-06 1.75e-06 1.5e-06 1.4e-06 1.2e-06 1.45e-06 1.55e-06 1.5e-06 2.05e-06 1.8e-06 1.85e-06 2.1e-06 1.4e-06 2.3e-06 1.2e-06 1.8e-06 2e-06 1.85e-06
33 1.6e-06 7.5e-07 1.3e-06 1.75e-06 7e-07 5.5e-07 1.5e-06 1.55e-06 2.15e-06 1.1e-06 1.6e-06 1e-06 1.5e-06 1.8e-06 7.5e-07 1.15e-06 1.8e-06 8.5e-07 1.6e-06 7e-07 1.9e-06 1.4e-06 8.5e-07 7.5e-07 9e-07 8e-07 1.05e-06 2.3e-06 1.6e-06 1.8e-06 2e-06 8.5e-07 1.2e-06 9e-07 1.7e-06 2e-06 1.9e-06
34 2.05e-06 1.55e-06 1.85e-06 1.65e-06 1.7e-06 2e-06 1.65e-06 1.6e-06 2e-06 1.55e-06 1.7e-06 1.5e-06 1.6e-06 1.7e-06 1.4e-06 1.8e-06 1.6e-06 1.65e-06 1.45e-06 1.5e-06 1.75e-06 1.55e-06 1.55e-06 1.65e-06 1.45e-06 1.7e-06 1.45e-06 1.45e-06 1.45e-06 2.2e-06 1.9e-06 1.4e-06 1.8e-06 1.7e-06 2.6e-06 1.95e-06 1.85e-06
35 2.05e-06 2e-06 2.05e-06 2e-06 2e-06 2.15e-06 2.05e-06 2.1e-06 1.85e-06 2.1e-06 2.15e-06 2e-06 2.05e-06 2.05e-06 1.85e-06 2.1e-06 2e-06 2e-06 2.1e-06 1.95e-06 1.9e-06 1.75e-06 1.9e-06 1.95e-06 1.95e-06 2.1e-06 1.9e-06 2.05e-06 2.1e-06 1.9e-06 2.15e-06 1.9e-06 2e-06 2e-06 1.95e-06 3.5e-06 2.05e-06
36 1.55e-06 2.1e-06 1.55e-06 1.85e-06 1.6e-06 1.8e-06 1.55e-06 1.7e-06 2e-06 1.35e-06 2e-06 1.65e-06 1.95e-06 1.95e-06 1.75e-06 2.1e-06 1.45e-06 1.9e-06 1.95e-06 1.8e-06 1.4e-06 1.65e-06 1.65e-06 1.8e-06 1.45e-06 2e-06 1.75e-06 2e-06 1.95e-06 1.85e-06 1.9e-06 1.4e-06 1.85e-06 1.9e-06 1.85e-06 2.05e-06 2.6e-06
