 slim_762406967 slim_762406981 slim_762406975 slim_762406987 slim_762406970 slim_762406992 slim_762406985 slim_762406971 slim_762406972 slim_762406986 slim_762406991 slim_762406980 slim_762406983 slim_762406974 slim_762406984 slim_762406989 slim_762406982 slim_762406993 slim_762406968 slim_762406988 slim_762406995 slim_762406976 slim_762406979 slim_762406969 slim_762406978 slim_762406994 slim_762406990 slim_762406977 slim_762406973
15 2.3e-06 1e-06 2.1e-06 1.3e-06 1.25e-06 1.05e-06 2.2e-06 2.15e-06 2.45e-06 1.5e-06 1e-06 1.15e-06 2.15e-06 1e-06 1.65e-06 1.7e-06 2.5e-06 1.45e-06 1.35e-06 1.35e-06 1.4e-06 2.3e-06 1.4e-06 1.45e-06 1.1e-06 1.5e-06 2.35e-06 1.65e-06 2.5e-06
16 1.9e-06 2e-06 2.7e-06 2.3e-06 1.75e-06 2.15e-06 1.9e-06 1.9e-06 1.9e-06 2e-06 2.4e-06 2.1e-06 2.15e-06 1.95e-06 2.3e-06 2.5e-06 2.9e-06 2.3e-06 2.1e-06 1.95e-06 1.8e-06 1.95e-06 1.9e-06 1.9e-06 2.15e-06 2e-06 2.05e-06 2.25e-06 2.1e-06
17 2.35e-06 1.4e-06 2.15e-06 1.15e-06 1.45e-06 1.35e-06 2.3e-06 2.2e-06 2.35e-06 1.15e-06 1.5e-06 1.4e-06 2.25e-06 1.35e-06 2.05e-06 1.45e-06 2.3e-06 1.2e-06 1.35e-06 1.6e-06 1.55e-06 2.35e-06 1.6e-06 1.5e-06 1.4e-06 1.15e-06 1.9e-06 2e-06 2.5e-06
18 2.05e-06 9e-07 2.35e-06 1.15e-06 1.05e-06 9e-07 2.05e-06 1.7e-06 2.4e-06 1.3e-06 1.2e-06 1.05e-06 2.2e-06 8.5e-07 1.65e-06 1.35e-06 2.1e-06 1.35e-06 1.3e-06 1.35e-06 1.15e-06 2.15e-06 1.25e-06 1.3e-06 1.1e-06 1.3e-06 2.15e-06 1.6e-06 2.3e-06
19 1.95e-06 1.1e-06 2.4e-06 1.5e-06 1.25e-06 1.2e-06 1.75e-06 1.75e-06 2.3e-06 1.6e-06 1.55e-06 1.15e-06 2.1e-06 1.1e-06 1.35e-06 1.35e-06 1.95e-06 1.6e-06 1.35e-06 1.7e-06 1.4e-06 1.95e-06 1.4e-06 1.35e-06 1.1e-06 1.6e-06 2.1e-06 1.3e-06 2.05e-06
20 1.95e-06 8e-07 2.3e-06 1.2e-06 8e-07 1.05e-06 1.95e-06 1.95e-06 2.15e-06 1.15e-06 1.2e-06 1.05e-06 2.2e-06 7.5e-07 1.6e-06 1.4e-06 1.8e-06 1.55e-06 1.15e-06 1.4e-06 1.5e-06 2.05e-06 9e-07 1.05e-06 1.1e-06 1.15e-06 2.25e-06 1.6e-06 2.2e-06
21 1.7e-06 1.7e-06 2.6e-06 2.2e-06 1.95e-06 2e-06 1.8e-06 2.15e-06 2.3e-06 2.4e-06 2.05e-06 2.05e-06 2e-06 1.65e-06 1.95e-06 2.3e-06 1.95e-06 2.35e-06 2.15e-06 1.95e-06 2.05e-06 3.2e-06 2.1e-06 2.35e-06 2.05e-06 2.4e-06 2e-06 1.95e-06 2e-06
22 2.05e-06 8.5e-07 2.35e-06 1.35e-06 9e-07 1.05e-06 1.95e-06 2e-06 2.2e-06 1.2e-06 1.3e-06 1.15e-06 2.25e-06 8.5e-07 1.65e-06 1.4e-06 1.9e-06 1.6e-06 1.25e-06 1.4e-06 9e-07 2.1e-06 1.6e-06 1.1e-06 1.05e-06 1.2e-06 2.3e-06 1.65e-06 2.2e-06
23 2.35e-06 1.35e-06 2.55e-06 1.55e-06 1e-06 1.3e-06 2.3e-06 1.85e-06 2.15e-06 1.1e-06 1.7e-06 1.05e-06 2.5e-06 1.3e-06 2e-06 1.45e-06 1.9e-06 1.5e-06 1.3e-06 1.35e-06 1.05e-06 2.35e-06 1.1e-06 1.3e-06 1.05e-06 1.1e-06 2.35e-06 1.95e-06 2.55e-06
24 2e-06 7e-07 2.35e-06 1.2e-06 9.5e-07 9e-07 1.9e-06 1.95e-06 2.5e-06 1.4e-06 1.15e-06 7.5e-07 2.2e-06 7e-07 1.45e-06 1.1e-06 2.15e-06 1.4e-06 1.1e-06 1.1e-06 1.1e-06 2.05e-06 1.05e-06 1.05e-06 1.3e-06 1.4e-06 2.25e-06 1.45e-06 2.15e-06
25 2.4e-06 1.4e-06 2.25e-06 1.2e-06 1.15e-06 1.3e-06 2.35e-06 1.95e-06 2.05e-06 8e-07 1.55e-06 1.4e-06 2.35e-06 1.35e-06 2.1e-06 1.5e-06 2e-06 1.15e-06 1.3e-06 1.6e-06 1.15e-06 2.4e-06 1.2e-06 1.1e-06 1.4e-06 1.6e-06 2.05e-06 2.05e-06 2.6e-06
26 1.95e-06 2.1e-06 2.55e-06 2.05e-06 2.15e-06 2.15e-06 2.1e-06 2.15e-06 2.2e-06 2.05e-06 2.25e-06 2.25e-06 2.1e-06 2.05e-06 2.25e-06 2.35e-06 2.05e-06 1.9e-06 2.15e-06 2.1e-06 2.25e-06 2e-06 2.3e-06 2.35e-06 2.25e-06 2.05e-06 3.4e-06 2.2e-06 2.3e-06
27 1.8e-06 1.05e-06 2.6e-06 1.65e-06 1.5e-06 1.4e-06 1.85e-06 2.25e-06 2.7e-06 2.05e-06 1.5e-06 1.45e-06 2.25e-06 1.05e-06 1.1e-06 1.65e-06 2.25e-06 2e-06 1.6e-06 1.3e-06 1.6e-06 1.95e-06 1.65e-06 1.95e-06 1.45e-06 2.05e-06 2.2e-06 1.9e-06 2.2e-06
28 1.95e-06 1.75e-06 2.85e-06 2.35e-06 2.1e-06 2.1e-06 1.8e-06 2.4e-06 2.45e-06 2.6e-06 2.25e-06 2.2e-06 2.1e-06 1.75e-06 2.2e-06 2.5e-06 2.1e-06 2.5e-06 2.3e-06 2.05e-06 2.2e-06 2e-06 2.2e-06 2.55e-06 2.15e-06 2.6e-06 2.3e-06 2.2e-06 3e-06
