 slim_762444725 slim_762444744 slim_762444727 slim_762444745 slim_762444721 slim_762444735 slim_762444709 slim_762444705 slim_762444720 slim_762444726 slim_762444743 slim_762444714 slim_762444718 slim_762444712 slim_762444723 slim_762444707 slim_762444728 slim_762444740 slim_762444729 slim_762444741 slim_762444730 slim_762444737 slim_762444742 slim_762444722 slim_762444713 slim_762444731 slim_762444717 slim_762444733 slim_762444724 slim_762444719 slim_762444710 slim_762444736 slim_762444739 slim_762444708 slim_762444711 slim_762444734 slim_762444704 slim_762444706 slim_762444715 slim_762444732 slim_762444738 slim_762444716
14 2.1e-06 1.9e-06 2.6e-06 2.6e-06 2.05e-06 2.2e-06 2.65e-06 2e-06 1.95e-06 2.25e-06 1.8e-06 2.7e-06 1.75e-06 2.4e-06 2.3e-06 1.55e-06 2.85e-06 2.75e-06 1.85e-06 1.9e-06 2.1e-06 1.6e-06 1.95e-06 1.65e-06 1.95e-06 1.4e-06 1.95e-06 1.95e-06 1.9e-06 1.7e-06 2.05e-06 2.2e-06 1.45e-06 1.35e-06 1.6e-06 1.6e-06 1.8e-06 1.85e-06 2.85e-06 2.7e-06 1.9e-06 1.6e-06
15 1.8e-06 1.65e-06 2.3e-06 2.6e-06 2.35e-06 2.25e-06 2e-06 2.05e-06 1.85e-06 1.95e-06 1.85e-06 2.4e-06 1.3e-06 1.95e-06 1.55e-06 1.9e-06 2.55e-06 2.5e-06 1.7e-06 1.85e-06 1.8e-06 1.75e-06 1.8e-06 1.4e-06 1.65e-06 1.75e-06 2.1e-06 1.55e-06 1.85e-06 1.3e-06 2.05e-06 2.25e-06 1.75e-06 1.45e-06 1.5e-06 2e-06 1.95e-06 1.8e-06 2.55e-06 2.45e-06 1.75e-06 2.25e-06
16 1.25e-06 1.45e-06 7e-07 2.55e-06 2.8e-06 2.9e-06 1.6e-06 1.8e-06 2.25e-06 1.35e-06 2.65e-06 1.3e-06 1.95e-06 2.05e-06 2.85e-06 2.55e-06 1.1e-06 1.75e-06 1.9e-06 2.7e-06 1.25e-06 2.3e-06 2.45e-06 2e-06 2e-06 2.6e-06 3.2e-06 2.7e-06 2.1e-06 1.95e-06 2.85e-06 1.95e-06 2.5e-06 2.75e-06 2.7e-06 2.9e-06 2.85e-06 2.15e-06 1.45e-06 1e-06 2.3e-06 3.2e-06
17 1.85e-06 2e-06 1.95e-06 2.7e-06 2.9e-06 2.8e-06 2.35e-06 2.5e-06 2.6e-06 2.3e-06 2.95e-06 1.85e-06 2.15e-06 2.4e-06 2.75e-06 2.5e-06 1.75e-06 3.4e-06 2.25e-06 2.65e-06 1.85e-06 2.6e-06 2.35e-06 2.1e-06 1.95e-06 2.85e-06 2.9e-06 2.8e-06 2.4e-06 2.15e-06 2.8e-06 2.7e-06 2.6e-06 2.65e-06 2.75e-06 2.95e-06 2.9e-06 2.55e-06 2e-06 1.8e-06 2.25e-06 3.45e-06
18 1.3e-06 1.5e-06 1.6e-06 2.55e-06 1.7e-06 1.75e-06 2e-06 1.55e-06 5.5e-07 1.65e-06 1.35e-06 2e-06 1.25e-06 1.95e-06 1.85e-06 1.7e-06 1.9e-06 2.25e-06 1.1e-06 1.8e-06 1.3e-06 1.05e-06 1.3e-06 1.2e-06 1.4e-06 1.55e-06 1.85e-06 1.4e-06 8.5e-07 1.3e-06 1.85e-06 1.8e-06 1.45e-06 1.75e-06 1.6e-06 1.55e-06 1.5e-06 6.5e-07 2.15e-06 1.95e-06 1.15e-06 2e-06
19 1.8e-06 1.95e-06 2.6e-06 1.9e-06 1.6e-06 1.45e-06 2.55e-06 2.25e-06 1.9e-06 2.3e-06 1.95e-06 2.05e-06 1.65e-06 2.2e-06 1.9e-06 1.85e-06 2.7e-06 2.65e-06 1.8e-06 2.1e-06 1.8e-06 2e-06 1.4e-06 1.65e-06 1.15e-06 2.1e-06 2.3e-06 1.8e-06 1.95e-06 1.7e-06 1.3e-06 2.45e-06 1.65e-06 1.85e-06 1.75e-06 1.9e-06 1.85e-06 1.8e-06 2.2e-06 2.45e-06 1.5e-06 2.4e-06
20 7.5e-07 1.05e-06 9e-07 2.4e-06 2.15e-06 2.05e-06 1.9e-06 1.6e-06 1.65e-06 1.35e-06 2.05e-06 1.55e-06 1.2e-06 2e-06 2.1e-06 1.8e-06 1.25e-06 1.85e-06 1.3e-06 1.8e-06 1.5e-06 1.7e-06 1.4e-06 1.2e-06 1.05e-06 2e-06 2.5e-06 1.9e-06 1.5e-06 1.25e-06 1.9e-06 1.8e-06 1.6e-06 2e-06 1.85e-06 2.1e-06 2.05e-06 1.55e-06 1.7e-06 1.35e-06 1.35e-06 2.65e-06
21 1.7e-06 1.7e-06 2e-06 2.8e-06 2.05e-06 2.1e-06 2.25e-06 1.75e-06 1.05e-06 1.9e-06 1.5e-06 2.4e-06 1.5e-06 2.2e-06 1.6e-06 1.75e-06 2.3e-06 2.6e-06 1.05e-06 2e-06 1.7e-06 1.9e-06 1.6e-06 1.45e-06 1.8e-06 1.3e-06 2e-06 1.6e-06 1.15e-06 1.55e-06 2.15e-06 2e-06 1.45e-06 1.75e-06 1.7e-06 1.5e-06 1.65e-06 1e-06 2.55e-06 2.35e-06 1.5e-06 1.8e-06
22 1.4e-06 1.6e-06 2.15e-06 2.35e-06 2e-06 1.25e-06 2.55e-06 2.2e-06 1.4e-06 2.1e-06 1.9e-06 2.1e-06 1.4e-06 2.1e-06 1.95e-06 1.8e-06 2.45e-06 2.35e-06 1.3e-06 1.4e-06 1.4e-06 1.6e-06 1e-06 1.25e-06 1.05e-06 2.2e-06 2.25e-06 1.25e-06 1.4e-06 1.45e-06 1.65e-06 2.45e-06 1.65e-06 1.95e-06 1.65e-06 1.5e-06 1.45e-06 1.3e-06 2.25e-06 2.1e-06 7.5e-07 2.75e-06
23 1.2e-06 1.2e-06 1.7e-06 2.35e-06 2.05e-06 1.9e-06 2.1e-06 1.75e-06 1.55e-06 1.75e-06 1.8e-06 1.9e-06 9e-07 1.95e-06 1.65e-06 1.4e-06 2e-06 2.1e-06 1.2e-06 1.65e-06 1.2e-06 1.45e-06 1.25e-06 1.3e-06 1.1e-06 1.6e-06 2.2e-06 1.6e-06 1.4e-06 9.5e-07 1.8e-06 2e-06 1.45e-06 1.55e-06 1.2e-06 1.75e-06 1.7e-06 1.5e-06 2.05e-06 1.85e-06 1.15e-06 2.25e-06
24 1.05e-06 1.4e-06 1.9e-06 1.9e-06 1.75e-06 1.45e-06 2.2e-06 2.1e-06 1.75e-06 2.05e-06 2.15e-06 1.3e-06 1.15e-06 1.95e-06 1.95e-06 1.65e-06 2e-06 1.95e-06 1.4e-06 1.15e-06 1.05e-06 1.8e-06 1.05e-06 1.1e-06 7e-07 2.1e-06 2.4e-06 1.8e-06 1.6e-06 1.15e-06 1.25e-06 2.3e-06 1.45e-06 1.85e-06 1.7e-06 2e-06 1.95e-06 1.7e-06 1.45e-06 1.75e-06 1.05e-06 2.7e-06
25 2e-06 1.85e-06 2.3e-06 2.8e-06 1.85e-06 2.45e-06 2.45e-06 1.5e-06 1.65e-06 2e-06 1.45e-06 2.7e-06 1.65e-06 2.4e-06 1.4e-06 1.75e-06 2.6e-06 2.85e-06 1.55e-06 2.1e-06 2e-06 1.3e-06 2.2e-06 1.6e-06 2.1e-06 1.7e-06 1.85e-06 2e-06 1.5e-06 1.7e-06 2.2e-06 1.8e-06 1.4e-06 1.3e-06 1.65e-06 1.65e-06 1.6e-06 1.6e-06 2.85e-06 2.65e-06 2.05e-06 1.3e-06
26 2.5e-06 2.5e-06 2.95e-06 3e-06 1.8e-06 2.2e-06 2.95e-06 2.1e-06 1.6e-06 2.55e-06 1.6e-06 3.1e-06 2.3e-06 2.65e-06 1.95e-06 2.1e-06 3.2e-06 2.9e-06 1.85e-06 2.3e-06 2.5e-06 2e-06 2.25e-06 2.2e-06 2.4e-06 1.85e-06 2.6e-06 2e-06 1.8e-06 2.3e-06 2.45e-06 2.15e-06 2e-06 1.7e-06 2.05e-06 1.95e-06 1.75e-06 1.6e-06 3.25e-06 3.1e-06 2.15e-06 1.9e-06
27 1.9e-06 1.9e-06 2.4e-06 2.6e-06 2.05e-06 1.6e-06 2.25e-06 2.1e-06 1.2e-06 1.9e-06 1.5e-06 2.6e-06 1.55e-06 1.9e-06 1.95e-06 1.55e-06 2.7e-06 2.8e-06 1.4e-06 1.8e-06 1.9e-06 1.6e-06 1.25e-06 1.6e-06 1.8e-06 2e-06 2e-06 1.9e-06 1.55e-06 1.65e-06 2.05e-06 2.35e-06 1.8e-06 1.9e-06 1.55e-06 1.5e-06 1.45e-06 1.15e-06 2.75e-06 2.55e-06 1.3e-06 2.35e-06
28 1.5e-06 1.7e-06 1.8e-06 2.75e-06 1.7e-06 1.9e-06 2.2e-06 1.55e-06 8.5e-07 1.85e-06 1.3e-06 2.2e-06 1.45e-06 2.15e-06 1.9e-06 1.85e-06 2.1e-06 2.4e-06 8.5e-07 1.95e-06 1.5e-06 1.15e-06 1.4e-06 1.4e-06 1.6e-06 1.5e-06 1.8e-06 1.55e-06 1.5e-06 1.5e-06 2.15e-06 1.8e-06 1.6e-06 1.7e-06 1.8e-06 1.65e-06 1.45e-06 8e-07 2.35e-06 2.15e-06 1.3e-06 1.95e-06
29 1.25e-06 1.3e-06 1.7e-06 2.45e-06 2.15e-06 2.05e-06 1.95e-06 1.8e-06 1.65e-06 1.7e-06 1.9e-06 1.85e-06 8e-07 1.9e-06 1.7e-06 1.3e-06 1.95e-06 2.15e-06 1.3e-06 1.7e-06 1.25e-06 1.55e-06 1.45e-06 9.5e-07 1.15e-06 1.7e-06 2.3e-06 1.65e-06 1.5e-06 1.5e-06 1.85e-06 2e-06 1.55e-06 1.6e-06 1.55e-06 1.95e-06 1.9e-06 1.6e-06 2e-06 1.9e-06 1.35e-06 2.3e-06
30 1.9e-06 2.05e-06 2.75e-06 2.1e-06 1.75e-06 1.65e-06 2.75e-06 2.4e-06 1.95e-06 2.5e-06 2.2e-06 2.2e-06 1.85e-06 2.4e-06 2.05e-06 2.05e-06 2.85e-06 2.8e-06 1.85e-06 1.3e-06 1.9e-06 2.15e-06 1.65e-06 1.8e-06 1.25e-06 2.2e-06 2.45e-06 2.05e-06 2.15e-06 1.85e-06 2.4e-06 2.6e-06 1.7e-06 2e-06 1.9e-06 2.05e-06 2.05e-06 2e-06 2.35e-06 2.6e-06 1.7e-06 2.5e-06
31 1.8e-06 1.85e-06 1.55e-06 2.95e-06 2.1e-06 2.65e-06 2.35e-06 1.6e-06 1.9e-06 1.75e-06 1.85e-06 2.45e-06 2e-06 2.5e-06 2.2e-06 2.25e-06 1.95e-06 2.7e-06 1.8e-06 2.45e-06 1.8e-06 2e-06 2.45e-06 2e-06 2.3e-06 1.8e-06 2.15e-06 2.35e-06 1.8e-06 2e-06 2.6e-06 3e-06 2.05e-06 1.95e-06 2.2e-06 2.3e-06 2.1e-06 1.8e-06 2.6e-06 2.2e-06 2.3e-06 2.05e-06
32 1.6e-06 1.7e-06 2.2e-06 2.4e-06 1.7e-06 1.9e-06 2.45e-06 1.8e-06 1.55e-06 2e-06 1.65e-06 2.35e-06 1.5e-06 2.25e-06 1.45e-06 1.75e-06 2.5e-06 2.6e-06 1.45e-06 1.65e-06 1.6e-06 1.45e-06 1.65e-06 1.45e-06 1.45e-06 1.4e-06 2e-06 1.8e-06 1.6e-06 1.55e-06 1.7e-06 2.05e-06 2.3e-06 1.6e-06 1.55e-06 1.5e-06 1.7e-06 1.5e-06 2.5e-06 2.4e-06 1.6e-06 1.65e-06
33 2e-06 1.85e-06 2.5e-06 2.55e-06 1.8e-06 2.15e-06 2.55e-06 1.7e-06 1.85e-06 2.15e-06 1.6e-06 2.6e-06 1.65e-06 2.3e-06 1.35e-06 1.45e-06 2.75e-06 2.65e-06 1.75e-06 1.85e-06 2e-06 1.75e-06 1.95e-06 1.55e-06 1.85e-06 1.3e-06 1.7e-06 1.9e-06 1.7e-06 1.6e-06 2e-06 1.95e-06 1.6e-06 2.1e-06 1.55e-06 1.8e-06 1.55e-06 1.8e-06 2.75e-06 2.6e-06 1.85e-06 1.65e-06
34 1.85e-06 1.7e-06 2.4e-06 2.45e-06 1.95e-06 1.95e-06 2.4e-06 1.95e-06 1.65e-06 1.95e-06 1.6e-06 2.55e-06 1.5e-06 2.15e-06 1.6e-06 1.5e-06 2.7e-06 2.75e-06 1.6e-06 1.75e-06 1.85e-06 1.7e-06 1.65e-06 1.2e-06 1.7e-06 1.65e-06 2.05e-06 1.55e-06 1.8e-06 1.55e-06 1.9e-06 2.2e-06 1.55e-06 1.55e-06 1.7e-06 1.65e-06 1.65e-06 1.6e-06 2.7e-06 2.55e-06 1.6e-06 1.9e-06
35 2.1e-06 2.05e-06 2.6e-06 2.6e-06 1.85e-06 1.7e-06 2.75e-06 2.05e-06 1.4e-06 2.2e-06 1.6e-06 2.8e-06 1.9e-06 2.35e-06 1.6e-06 2e-06 2.9e-06 2.95e-06 1.55e-06 1.9e-06 2.1e-06 1.5e-06 1.5e-06 1.75e-06 2e-06 1.65e-06 1.95e-06 1.5e-06 1.65e-06 1.95e-06 2.05e-06 2.3e-06 1.5e-06 1.8e-06 1.65e-06 2.5e-06 1.45e-06 1.35e-06 2.95e-06 2.7e-06 1.5e-06 1.8e-06
36 2.05e-06 2.05e-06 2.55e-06 2.6e-06 1.65e-06 1.65e-06 2.7e-06 1.8e-06 1.35e-06 2.15e-06 1.4e-06 2.75e-06 1.85e-06 2.3e-06 1.8e-06 1.95e-06 2.85e-06 2.9e-06 1.5e-06 1.85e-06 2.05e-06 1.65e-06 1.45e-06 1.7e-06 1.95e-06 1.6e-06 1.75e-06 1.45e-06 1.45e-06 1.9e-06 2.05e-06 2.1e-06 1.7e-06 1.55e-06 1.65e-06 1.45e-06 2.4e-06 1.3e-06 2.9e-06 2.65e-06 1.45e-06 1.9e-06
37 1.55e-06 1.75e-06 1.8e-06 2.6e-06 1.5e-06 1.55e-06 2.1e-06 1.6e-06 3.5e-07 1.75e-06 1.05e-06 2.3e-06 1.55e-06 1.95e-06 1.85e-06 1.8e-06 2.15e-06 2.55e-06 6.5e-07 1.8e-06 1.55e-06 1e-06 1.3e-06 1.5e-06 1.7e-06 1.6e-06 1.6e-06 1.15e-06 8e-07 1.6e-06 2e-06 1.8e-06 1.5e-06 1.8e-06 1.6e-06 1.35e-06 1.3e-06 5e-07 2.45e-06 2.2e-06 1.2e-06 1.85e-06
38 1.7e-06 1.95e-06 1.85e-06 2.2e-06 2.55e-06 2.45e-06 2.05e-06 2.45e-06 2.5e-06 2.2e-06 2.9e-06 1.2e-06 2.05e-06 2.15e-06 2.85e-06 2.55e-06 1.45e-06 2e-06 2.15e-06 2.2e-06 1.7e-06 2.55e-06 2.25e-06 2.05e-06 1.45e-06 2.85e-06 3.25e-06 2.75e-06 2.35e-06 2e-06 2.35e-06 2.6e-06 2.5e-06 2.75e-06 2.7e-06 2.95e-06 2.9e-06 2.45e-06 2.4e-06 1.55e-06 2.15e-06 3.4e-06
39 1.35e-06 1.5e-06 1.15e-06 2.2e-06 2.7e-06 2.55e-06 1.9e-06 2.05e-06 2.3e-06 1.8e-06 2.7e-06 1.4e-06 1.9e-06 1.9e-06 2.7e-06 2.45e-06 1e-06 1.8e-06 1.95e-06 2.45e-06 1.35e-06 2.35e-06 2.1e-06 1.85e-06 1.75e-06 2.65e-06 3.1e-06 2.55e-06 2.15e-06 1.9e-06 2.6e-06 2.2e-06 2.4e-06 2.6e-06 2.55e-06 2.7e-06 2.65e-06 2.2e-06 1.55e-06 2e-06 1.95e-06 3.25e-06
40 1.35e-06 1.5e-06 2e-06 2.25e-06 1.9e-06 1.3e-06 2.45e-06 2.05e-06 1.25e-06 2e-06 1.85e-06 2e-06 1.3e-06 2e-06 1.9e-06 1.75e-06 2.3e-06 2.25e-06 1.15e-06 1.5e-06 1.35e-06 1.5e-06 7.5e-07 1.15e-06 1.05e-06 2.05e-06 2.15e-06 1.3e-06 1.3e-06 1.35e-06 1.7e-06 2.3e-06 1.6e-06 1.85e-06 1.6e-06 1.5e-06 1.45e-06 1.2e-06 2.15e-06 1.95e-06 1.3e-06 2.6e-06
41 2.65e-06 2.5e-06 2.95e-06 2.9e-06 1.85e-06 2.65e-06 2.95e-06 1.9e-06 1.9e-06 2.45e-06 1.6e-06 3.25e-06 2.3e-06 2.8e-06 1.6e-06 2.25e-06 3.2e-06 3.45e-06 2e-06 2.4e-06 2.65e-06 1.8e-06 2.75e-06 2.25e-06 2.7e-06 1.3e-06 1.9e-06 2.35e-06 1.95e-06 2.3e-06 2.5e-06 2.05e-06 1.65e-06 1.65e-06 1.9e-06 1.8e-06 1.9e-06 1.85e-06 3.4e-06 3.25e-06 2.6e-06 1.6e-06
