 slim_762356272 slim_762356278 slim_762356253 slim_762356275 slim_762356276 slim_762356268 slim_762356271 slim_762356262 slim_762356258 slim_762356266 slim_762356280 slim_762356261 slim_762356274 slim_762356255 slim_762356281 slim_762356250 slim_762356273 slim_762356260 slim_762356270 slim_762356252 slim_762356248 slim_762356282 slim_762356259 slim_762356285 slim_762356265 slim_762356284 slim_762356267 slim_762356247 slim_762356286 slim_762356249 slim_762356264 slim_762356279 slim_762356256 slim_762356283 slim_762356277 slim_762356251 slim_762356257 slim_762356263 slim_762356246 slim_762356269 slim_762356254
10 2.3e-06 2.65e-06 2.75e-06 1.6e-06 2.1e-06 1.75e-06 2.4e-06 2.3e-06 2.3e-06 2.15e-06 2.9e-06 2.15e-06 2.7e-06 1.8e-06 2e-06 2.1e-06 2.5e-06 2.65e-06 2.2e-06 2.1e-06 1.85e-06 2.1e-06 2.1e-06 2.1e-06 2.4e-06 2.25e-06 1.7e-06 2e-06 1.65e-06 2.1e-06 2.6e-06 2.1e-06 1.95e-06 2.5e-06 2.25e-06 1.65e-06 1.9e-06 2.1e-06 2.4e-06 2.6e-06 2.25e-06
11 2.7e-06 1.9e-06 2.55e-06 2.1e-06 5.5e-07 1.9e-06 2.45e-06 1.4e-06 2e-06 2.25e-06 2.15e-06 1.1e-06 1.2e-06 1.15e-06 2.55e-06 2.15e-06 1.65e-06 1.35e-06 1.85e-06 1.9e-06 1.85e-06 5.5e-07 1.4e-06 1.75e-06 2.55e-06 1.95e-06 2.05e-06 2.1e-06 2.25e-06 2.05e-06 1.6e-06 1.1e-06 1.45e-06 6e-07 2.35e-06 1.7e-06 1.4e-06 1.2e-06 2.25e-06 2.15e-06 1.95e-06
12 2.75e-06 1.75e-06 2.75e-06 2.7e-06 1.15e-06 2.8e-06 2.65e-06 1.45e-06 2.35e-06 2.65e-06 2.7e-06 1.2e-06 9e-07 1.9e-06 2.6e-06 2.7e-06 1.8e-06 1.4e-06 2.25e-06 1.85e-06 2.6e-06 1.15e-06 1.6e-06 1.7e-06 2.9e-06 2.3e-06 2.65e-06 2.5e-06 2.55e-06 2.25e-06 1.6e-06 1.9e-06 1.75e-06 9e-07 2.75e-06 2.45e-06 1.95e-06 1.8e-06 2.45e-06 1.8e-06 2.3e-06
13 2.45e-06 1.95e-06 2.7e-06 1.75e-06 1.1e-06 1.65e-06 2e-06 1.95e-06 1.85e-06 2.1e-06 1.8e-06 1.15e-06 1.9e-06 1.2e-06 2.3e-06 1.55e-06 1.75e-06 1.85e-06 1.7e-06 1.95e-06 1.3e-06 1.1e-06 1.5e-06 1.8e-06 2.4e-06 1.8e-06 1.7e-06 1.8e-06 1.8e-06 2e-06 1.9e-06 1.45e-06 1.75e-06 1.65e-06 2.2e-06 1.15e-06 1.45e-06 1.6e-06 2.15e-06 2.2e-06 1.8e-06
14 1.3e-06 2.25e-06 2.6e-06 2e-06 2.5e-06 3.15e-06 1.9e-06 1.95e-06 2.7e-06 2.1e-06 2e-06 2.55e-06 2.6e-06 2.3e-06 1.8e-06 2.1e-06 2.8e-06 2.5e-06 2.6e-06 1.85e-06 2.75e-06 2.5e-06 1.9e-06 1.85e-06 2.35e-06 2.65e-06 2.1e-06 1.9e-06 1.1e-06 2.3e-06 2.8e-06 2.15e-06 1.8e-06 2.75e-06 2.2e-06 2.6e-06 1.85e-06 2.9e-06 1.85e-06 1.85e-06 2.65e-06
15 2.25e-06 2.6e-06 2.4e-06 2.05e-06 2.1e-06 2.5e-06 2.3e-06 2.35e-06 2.65e-06 2.45e-06 2.1e-06 2.15e-06 2.7e-06 1.55e-06 2.1e-06 2.7e-06 2.15e-06 2.65e-06 2.5e-06 2.2e-06 2.1e-06 2.1e-06 2.1e-06 2.05e-06 2.75e-06 2.6e-06 2e-06 1.6e-06 1.55e-06 2.45e-06 2.25e-06 2.1e-06 2.05e-06 2.5e-06 2.55e-06 1.95e-06 1.85e-06 2.45e-06 2e-06 2.6e-06 2.6e-06
16 2.95e-06 2.1e-06 2.5e-06 2.5e-06 1.6e-06 2.4e-06 2.7e-06 2.15e-06 2.35e-06 2.65e-06 2.5e-06 1.65e-06 1.8e-06 1.75e-06 2.8e-06 2.15e-06 2.7e-06 2.05e-06 2.25e-06 2e-06 2.25e-06 1.6e-06 2.1e-06 1.9e-06 2.9e-06 2.3e-06 2.45e-06 2e-06 2.55e-06 2.55e-06 1.65e-06 2.1e-06 2.2e-06 1.8e-06 2.75e-06 2.1e-06 2.1e-06 2.05e-06 2.15e-06 2.5e-06 2.3e-06
17 2.65e-06 1.6e-06 2.75e-06 2.65e-06 1.3e-06 2.6e-06 2.45e-06 1.75e-06 1.9e-06 2.4e-06 2.65e-06 1.35e-06 1.4e-06 1.85e-06 2.5e-06 2.65e-06 2.05e-06 2.3e-06 1.85e-06 2.25e-06 2.45e-06 1.3e-06 1.95e-06 2.1e-06 2.65e-06 1.85e-06 2.6e-06 2.55e-06 2.65e-06 2.5e-06 2.05e-06 1.95e-06 1.95e-06 1.2e-06 2.5e-06 2.3e-06 1.85e-06 1.85e-06 2.3e-06 1.8e-06 1.85e-06
18 2.75e-06 1.75e-06 2.65e-06 2e-06 1.8e-06 1.3e-06 2.4e-06 2.4e-06 1.4e-06 1.8e-06 2.2e-06 1.85e-06 2.25e-06 1.7e-06 2.6e-06 2.5e-06 2.25e-06 1.85e-06 2.5e-06 2.55e-06 1.65e-06 1.8e-06 2.15e-06 2.4e-06 2.1e-06 1.35e-06 1.95e-06 2.55e-06 2.65e-06 2.05e-06 2.45e-06 2.25e-06 2.45e-06 2.2e-06 1.9e-06 1.5e-06 2.15e-06 1.7e-06 2.35e-06 2.15e-06 1.35e-06
19 2.15e-06 2.2e-06 2.55e-06 2.05e-06 1.85e-06 2.8e-06 2.4e-06 1.85e-06 2.7e-06 2.5e-06 2.1e-06 1.9e-06 1.85e-06 1.95e-06 1.85e-06 2.2e-06 2e-06 2.25e-06 2.55e-06 2.7e-06 2.45e-06 1.85e-06 2e-06 1.4e-06 2.8e-06 2.65e-06 2.15e-06 2.05e-06 1.55e-06 2.45e-06 2.2e-06 2e-06 1.6e-06 1.9e-06 2.6e-06 2.3e-06 1.75e-06 2.3e-06 2.35e-06 2.35e-06 2.65e-06
20 2.9e-06 2.4e-06 2.8e-06 1.65e-06 1.8e-06 1.05e-06 2.3e-06 2.6e-06 1.8e-06 2.05e-06 1.85e-06 1.85e-06 2.6e-06 1.3e-06 2.75e-06 2.1e-06 2.25e-06 2.45e-06 1.65e-06 2.45e-06 2e-06 1.8e-06 2.2e-06 2.3e-06 2.35e-06 1.75e-06 1.6e-06 2.2e-06 2.2e-06 2.05e-06 2.45e-06 2.15e-06 2.3e-06 2.35e-06 2.15e-06 1.05e-06 2e-06 1.65e-06 2.6e-06 2.8e-06 1.75e-06
21 2.65e-06 1.85e-06 2.5e-06 2.05e-06 5e-07 1.85e-06 2.4e-06 1.35e-06 1.95e-06 2.2e-06 2.1e-06 5.5e-07 1.15e-06 1.1e-06 2.5e-06 2.1e-06 1.6e-06 1.3e-06 1.8e-06 1.85e-06 1.8e-06 1e-06 1.35e-06 1.7e-06 2.5e-06 1.9e-06 2e-06 2.05e-06 2.2e-06 2e-06 1.55e-06 1.05e-06 1.4e-06 5.5e-07 2.3e-06 1.65e-06 1.35e-06 1.15e-06 2.2e-06 2.1e-06 1.9e-06
22 2.05e-06 2.2e-06 2.75e-06 2.1e-06 1.35e-06 2.35e-06 2.15e-06 1.55e-06 2.25e-06 2.1e-06 2.1e-06 1.4e-06 1.6e-06 1.5e-06 1.9e-06 2.1e-06 2.1e-06 1.95e-06 2.15e-06 2e-06 2.2e-06 1.35e-06 2e-06 1.85e-06 2.35e-06 2.2e-06 2.05e-06 2e-06 1.8e-06 1.7e-06 2.1e-06 1.35e-06 1.8e-06 1.75e-06 2.2e-06 2.05e-06 1.6e-06 2e-06 2e-06 1.6e-06 2.2e-06
23 1.95e-06 2e-06 2.4e-06 2.05e-06 1.7e-06 2.65e-06 2.25e-06 1.75e-06 2.55e-06 2.3e-06 2.1e-06 1.75e-06 1.7e-06 1.8e-06 1.85e-06 2.05e-06 1.9e-06 2.1e-06 2.4e-06 1.4e-06 2.3e-06 1.7e-06 1.85e-06 2.4e-06 2.65e-06 2.5e-06 1.95e-06 1.85e-06 1.3e-06 2.3e-06 2.05e-06 1.85e-06 1.6e-06 1.75e-06 2.4e-06 2.15e-06 1.55e-06 2.15e-06 2.15e-06 2.2e-06 2.5e-06
24 2.2e-06 2.45e-06 2.9e-06 2.25e-06 2.5e-06 2e-06 2.3e-06 2.6e-06 2.2e-06 2e-06 2.4e-06 2.55e-06 2.9e-06 2.4e-06 2.35e-06 2.75e-06 2.9e-06 2.65e-06 2.1e-06 2.8e-06 2.35e-06 2.5e-06 2.35e-06 2.65e-06 3.9e-06 2.15e-06 2.2e-06 2.65e-06 2.45e-06 2.25e-06 3e-06 2.45e-06 2.7e-06 2.9e-06 2.1e-06 2.2e-06 2.5e-06 2.4e-06 2.45e-06 2.45e-06 2.15e-06
25 2.8e-06 1.85e-06 2.75e-06 2.1e-06 1.9e-06 1.4e-06 2.45e-06 2.45e-06 1.4e-06 1.9e-06 2.25e-06 1.95e-06 2.3e-06 1.8e-06 2.65e-06 2.6e-06 2.3e-06 1.85e-06 1.35e-06 2.65e-06 1.75e-06 1.9e-06 2.2e-06 2.5e-06 2.15e-06 2.7e-06 2.05e-06 2.6e-06 2.75e-06 2.1e-06 2.5e-06 2.35e-06 2.55e-06 2.3e-06 2e-06 1.6e-06 2.25e-06 1.8e-06 2.4e-06 2.1e-06 1.35e-06
26 2.15e-06 2.5e-06 2.5e-06 1.5e-06 2e-06 1.4e-06 2.35e-06 2.3e-06 2.1e-06 1.85e-06 1.7e-06 2.05e-06 2.65e-06 1.7e-06 2.1e-06 2e-06 2.45e-06 2.6e-06 1.95e-06 2.15e-06 1.6e-06 2e-06 2.05e-06 1.95e-06 2.2e-06 2.05e-06 2.7e-06 1.85e-06 1.45e-06 1.9e-06 2.55e-06 2e-06 2e-06 2.4e-06 1.95e-06 1.45e-06 1.75e-06 1.85e-06 2.3e-06 2.6e-06 2.05e-06
27 1.95e-06 2.5e-06 2.35e-06 2e-06 2.05e-06 2.55e-06 2.25e-06 2.15e-06 2.65e-06 2.35e-06 2e-06 2.1e-06 2.5e-06 1.8e-06 1.9e-06 1.6e-06 2e-06 2.55e-06 2.55e-06 2.05e-06 2.2e-06 2.05e-06 2e-06 1.85e-06 2.65e-06 2.6e-06 1.85e-06 2.4e-06 1.3e-06 2.35e-06 1.95e-06 2.05e-06 1.9e-06 2.35e-06 2.45e-06 2.05e-06 1.75e-06 2.4e-06 1.65e-06 2.45e-06 2.6e-06
28 1.15e-06 2.45e-06 2.4e-06 1.6e-06 2.2e-06 2.75e-06 1.85e-06 1.9e-06 2.8e-06 2.05e-06 1.65e-06 2.25e-06 2.55e-06 1.8e-06 1.1e-06 1.55e-06 2.55e-06 2.65e-06 2.65e-06 1.55e-06 2.2e-06 2.2e-06 1.8e-06 1.3e-06 2.45e-06 2.75e-06 1.45e-06 1.3e-06 2e-07 2.15e-06 2.55e-06 1.85e-06 1.45e-06 2.45e-06 2.15e-06 2.05e-06 1.25e-06 2.55e-06 1.85e-06 2.2e-06 2.75e-06
29 2.45e-06 2.6e-06 2.8e-06 1.95e-06 2e-06 1.7e-06 2.55e-06 2.15e-06 2.15e-06 2e-06 2.1e-06 2.05e-06 2.25e-06 2e-06 2.3e-06 2.45e-06 2.55e-06 2.5e-06 2.05e-06 2.45e-06 2.05e-06 2e-06 1.7e-06 2.3e-06 2.25e-06 2.1e-06 1.9e-06 2.35e-06 2.15e-06 3.3e-06 2.6e-06 2e-06 2.3e-06 2.4e-06 2.1e-06 1.9e-06 2.1e-06 2e-06 2.4e-06 2.15e-06 2.1e-06
30 2.95e-06 2.2e-06 2.55e-06 2.6e-06 1.55e-06 2.6e-06 2.8e-06 2.05e-06 2.55e-06 2.75e-06 2.6e-06 1.6e-06 1.6e-06 1.9e-06 2.8e-06 2.25e-06 1.65e-06 2.05e-06 2.45e-06 2.2e-06 2.45e-06 1.55e-06 2.1e-06 2.05e-06 3e-06 2.5e-06 2.55e-06 1.95e-06 2.55e-06 2.6e-06 2.7e-06 2.1e-06 2.1e-06 1.6e-06 2.85e-06 2.3e-06 2.15e-06 2.05e-06 2.1e-06 2.55e-06 2.5e-06
31 2.25e-06 2.35e-06 2.65e-06 2.05e-06 1.05e-06 2.2e-06 2.35e-06 1.55e-06 2.4e-06 2.2e-06 2.1e-06 1.1e-06 1.9e-06 1.45e-06 2.15e-06 2.1e-06 2.1e-06 1.95e-06 2.25e-06 2e-06 2.15e-06 1.05e-06 1.35e-06 1.85e-06 2.45e-06 2.35e-06 2e-06 2.05e-06 1.85e-06 2e-06 2.1e-06 1.7e-06 1.6e-06 1.3e-06 2.3e-06 2e-06 1.45e-06 1.7e-06 2.2e-06 2.2e-06 2.35e-06
32 2.1e-06 2.3e-06 2.5e-06 1.9e-06 1.4e-06 2.6e-06 2.35e-06 1.55e-06 2.6e-06 2.4e-06 1.95e-06 1.45e-06 1.75e-06 1.75e-06 1.8e-06 2.05e-06 2.2e-06 1.95e-06 2.45e-06 1.6e-06 2.3e-06 1.4e-06 1.8e-06 1.6e-06 2.7e-06 2.55e-06 2e-06 1.9e-06 1.45e-06 2.3e-06 2.1e-06 1.6e-06 2.5e-06 1.3e-06 2.5e-06 2.15e-06 1.45e-06 1.9e-06 2.25e-06 2.3e-06 2.55e-06
33 2.9e-06 2e-06 2.55e-06 2.45e-06 5.5e-07 2.4e-06 2.8e-06 1.25e-06 2.35e-06 2.6e-06 2.5e-06 6e-07 9e-07 1.65e-06 2.75e-06 2.5e-06 1.8e-06 1.2e-06 2.2e-06 1.9e-06 2.35e-06 5.5e-07 1.75e-06 1.75e-06 2.9e-06 2.3e-06 2.4e-06 2.35e-06 2.45e-06 2.4e-06 1.6e-06 1.3e-06 1.3e-06 1e-07 2.7e-06 2.2e-06 1.5e-06 1.2e-06 2.5e-06 2.35e-06 2.3e-06
34 2.3e-06 2.15e-06 2.7e-06 2.05e-06 2.3e-06 1.8e-06 2.45e-06 2.45e-06 2.05e-06 1.75e-06 2.25e-06 2.35e-06 2.75e-06 2.2e-06 2.2e-06 2.55e-06 2.75e-06 2.5e-06 1.9e-06 2.6e-06 2.15e-06 2.3e-06 2.2e-06 2.4e-06 2.1e-06 2e-06 1.95e-06 2.45e-06 2.15e-06 2.1e-06 2.85e-06 2.3e-06 2.5e-06 2.7e-06 3.5e-06 2e-06 2.25e-06 2.2e-06 2.25e-06 2.35e-06 2e-06
35 2.75e-06 2.25e-06 2.65e-06 1.5e-06 1.65e-06 8.5e-07 2.3e-06 2.45e-06 1.65e-06 1.9e-06 1.65e-06 1.7e-06 2.45e-06 1.15e-06 2.6e-06 1.95e-06 2.1e-06 2.3e-06 1.5e-06 2.3e-06 1.05e-06 1.65e-06 2.05e-06 2.15e-06 2.2e-06 1.6e-06 1.45e-06 2.05e-06 2.05e-06 1.9e-06 2.3e-06 2e-06 2.15e-06 2.2e-06 2e-06 1.7e-06 1.85e-06 1.5e-06 2.45e-06 2.65e-06 1.6e-06
36 1.95e-06 2.15e-06 2.5e-06 1.85e-06 1.35e-06 2.3e-06 2.15e-06 1.65e-06 2.3e-06 2.15e-06 1.9e-06 1.4e-06 1.95e-06 1.45e-06 1.85e-06 1.85e-06 2.1e-06 1.85e-06 2.15e-06 1.75e-06 2e-06 1.35e-06 1.6e-06 1.55e-06 2.5e-06 2.25e-06 1.75e-06 1.75e-06 1.25e-06 2.1e-06 2.15e-06 1.45e-06 1.45e-06 1.5e-06 2.25e-06 1.85e-06 2.3e-06 1.85e-06 2.1e-06 2.1e-06 2.25e-06
37 3.05e-06 2.25e-06 2.55e-06 1.9e-06 1.15e-06 1.2e-06 2.8e-06 1.95e-06 1.85e-06 2.1e-06 2.1e-06 1.2e-06 1.8e-06 1.6e-06 2.9e-06 2.45e-06 2.05e-06 1.85e-06 1.7e-06 2.3e-06 1.65e-06 1.15e-06 2e-06 2.15e-06 2.4e-06 1.8e-06 1.85e-06 2.4e-06 2.55e-06 2e-06 2.05e-06 1.7e-06 1.9e-06 1.2e-06 2.2e-06 1.5e-06 1.85e-06 2.3e-06 2.6e-06 2.65e-06 1.8e-06
38 1.95e-06 2.05e-06 2.4e-06 2.4e-06 2.2e-06 2.8e-06 2.2e-06 2.15e-06 2.45e-06 2.15e-06 2.4e-06 2.25e-06 2.45e-06 2.15e-06 1.85e-06 2e-06 2.15e-06 2.3e-06 2.35e-06 2.35e-06 2.6e-06 2.2e-06 2e-06 2.15e-06 2.45e-06 2.4e-06 2.3e-06 1.65e-06 1.85e-06 2.4e-06 2.1e-06 2.2e-06 2.25e-06 2.5e-06 2.25e-06 2.45e-06 2.1e-06 2.6e-06 2.9e-06 2.05e-06 2.4e-06
39 2e-06 1.9e-06 2.95e-06 2.65e-06 2.1e-06 3.05e-06 2.15e-06 1.9e-06 2.15e-06 2.25e-06 2.6e-06 2.15e-06 1.8e-06 2.2e-06 1.85e-06 2.6e-06 2.5e-06 1.8e-06 2.15e-06 2.35e-06 2.8e-06 2.1e-06 1.6e-06 2.2e-06 2.45e-06 2.1e-06 2.6e-06 2.45e-06 2.2e-06 2.15e-06 2.55e-06 2.2e-06 2.3e-06 2.35e-06 2.35e-06 2.65e-06 2.1e-06 2.65e-06 2.05e-06 2.4e-06 2.1e-06
40 2.8e-06 1.85e-06 2.75e-06 2.1e-06 1.9e-06 1.4e-06 2.45e-06 2.45e-06 1.4e-06 1.9e-06 2.25e-06 1.95e-06 2.3e-06 1.8e-06 2.65e-06 2.6e-06 2.3e-06 1.85e-06 1.35e-06 2.65e-06 1.75e-06 1.9e-06 2.2e-06 2.5e-06 2.15e-06 1.35e-06 2.05e-06 2.6e-06 2.75e-06 2.1e-06 2.5e-06 2.35e-06 2.55e-06 2.3e-06 2e-06 1.6e-06 2.25e-06 1.8e-06 2.4e-06 2.1e-06 2.7e-06
