 slim_762408689 slim_762408641 slim_762408685 slim_762408645 slim_762408651 slim_762408676 slim_762408663 slim_762408643 slim_762408664 slim_762408671 slim_762408658 slim_762408673 slim_762408647 slim_762408662 slim_762408644 slim_762408652 slim_762408665 slim_762408696 slim_762408694 slim_762408655 slim_762408683 slim_762408698 slim_762408697 slim_762408675 slim_762408642 slim_762408654 slim_762408688 slim_762408679 slim_762408682 slim_762408639 slim_762408668 slim_762408669 slim_762408666 slim_762408637 slim_762408667 slim_762408678 slim_762408661 slim_762408659 slim_762408660 slim_762408657 slim_762408656 slim_762408672 slim_762408691 slim_762408695 slim_762408640 slim_762408670 slim_762408680 slim_762408692 slim_762408690 slim_762408677 slim_762408684 slim_762408686 slim_762408681 slim_762408646 slim_762408653 slim_762408650 slim_762408649 slim_762408693 slim_762408638 slim_762408674 slim_762408687 slim_762408648
0 1.2e-06 1.3e-06 9.5e-07 1.35e-06 7.5e-07 1.35e-06 1.8e-06 1.25e-06 1.8e-06 1.6e-06 1.85e-06 9e-07 1.05e-06 1.35e-06 1.55e-06 1.7e-06 9.5e-07 8.5e-07 2.05e-06 1e-06 2e-06 1.1e-06 1.3e-06 9.5e-07 7e-07 1.2e-06 1e-06 1.05e-06 1.8e-06 1.3e-06 1.85e-06 1.1e-06 1.55e-06 1.45e-06 1.95e-06 1.5e-06 1.25e-06 1.45e-06 1.45e-06 1.3e-06 1.15e-06 1.05e-06 1.3e-06 9.5e-07 1e-06 1.2e-06 1.35e-06 1.75e-06 1.55e-06 1.45e-06 1.75e-06 1.2e-06 1.6e-06 1.4e-06 1.65e-06 1.45e-06 1.65e-06 1.25e-06 1.35e-06 9.5e-07 1.15e-06 1.45e-06
1 1.3e-06 1.9e-06 1.15e-06 2e-06 1.4e-06 2.1e-06 2.4e-06 2e-06 2.45e-06 1.9e-06 2.25e-06 1.1e-06 1.75e-06 2.25e-06 2.2e-06 2.15e-06 1.55e-06 1.55e-06 2.3e-06 1.7e-06 2.15e-06 1.6e-06 1.95e-06 1.55e-06 1.05e-06 1.95e-06 1.7e-06 1.65e-06 2.25e-06 1.95e-06 1.9e-06 1.95e-06 2e-06 1.9e-06 2.4e-06 2.05e-06 1.7e-06 1.8e-06 2.1e-06 1.7e-06 1.9e-06 1.9e-06 2.05e-06 1.45e-06 1.5e-06 1.6e-06 1.5e-06 2.3e-06 2.25e-06 2e-06 2.45e-06 1.5e-06 9.5e-07 1.5e-06 2e-06 1.95e-06 2.05e-06 1.75e-06 2e-06 1.05e-06 1.7e-06 2.2e-06
2 9.5e-07 1.15e-06 1.1e-06 1.7e-06 1.1e-06 1.75e-06 2.15e-06 1.8e-06 2.15e-06 1.85e-06 1.9e-06 6e-07 1.55e-06 2e-06 1.9e-06 1.8e-06 1.2e-06 1.2e-06 2.5e-06 1.15e-06 2.4e-06 1.2e-06 1.65e-06 1.2e-06 6.5e-07 1.6e-06 1.25e-06 1.15e-06 1.9e-06 1.65e-06 2.15e-06 1.7e-06 1.6e-06 1.75e-06 2.2e-06 1.85e-06 1.45e-06 1.4e-06 1.8e-06 1.1e-06 1.75e-06 1.65e-06 1.7e-06 1.25e-06 1.3e-06 1.55e-06 1.75e-06 1.9e-06 2e-06 1.8e-06 2.15e-06 1.5e-06 1.75e-06 1.8e-06 1.85e-06 1.35e-06 1.7e-06 1.35e-06 1.7e-06 6.5e-07 1.35e-06 1.85e-06
3 1.35e-06 2e-06 1.7e-06 2.6e-06 1.45e-06 1.75e-06 1.55e-06 1.55e-06 1.95e-06 1.85e-06 1.95e-06 1.65e-06 1.6e-06 1.85e-06 2e-06 1.75e-06 1.55e-06 1.5e-06 2.55e-06 1.6e-06 2.05e-06 1.75e-06 1.6e-06 1.45e-06 1.45e-06 1.8e-06 1.6e-06 1.6e-06 2.1e-06 1.4e-06 2.05e-06 1.45e-06 1.8e-06 1.5e-06 2e-06 1.95e-06 1.7e-06 1.5e-06 1.9e-06 1.95e-06 1.5e-06 1.4e-06 1.7e-06 1.55e-06 1.6e-06 1.7e-06 1.9e-06 2.25e-06 1.75e-06 1.9e-06 1.9e-06 1.75e-06 2.2e-06 1.95e-06 2.15e-06 2.05e-06 1.95e-06 1.9e-06 1.45e-06 1.7e-06 1.6e-06 1.85e-06
4 7.5e-07 1.4e-06 1.1e-06 1.45e-06 1.5e-06 1.45e-06 1.85e-06 1.2e-06 1.85e-06 1.7e-06 1.9e-06 1.05e-06 1.15e-06 1.45e-06 1.55e-06 1.75e-06 1.1e-06 1e-06 2.15e-06 1.15e-06 2.1e-06 1.2e-06 1.4e-06 1.1e-06 8.5e-07 1.3e-06 1.15e-06 1.1e-06 1.85e-06 1.4e-06 1.9e-06 1.15e-06 1.65e-06 1.55e-06 2.05e-06 1.6e-06 1.35e-06 1.5e-06 1.5e-06 1.4e-06 1.3e-06 1.1e-06 1.4e-06 1.1e-06 1.15e-06 1.35e-06 1.45e-06 1.8e-06 1.6e-06 1.55e-06 1.8e-06 1.25e-06 1.65e-06 1.45e-06 1.75e-06 1.55e-06 1.7e-06 1.35e-06 1.45e-06 1.1e-06 1.15e-06 1.55e-06
5 1.35e-06 2.1e-06 1.75e-06 1.75e-06 1.45e-06 1.9e-06 2.25e-06 1.25e-06 2.05e-06 2.15e-06 2e-06 1.7e-06 1.4e-06 1.4e-06 1.65e-06 1.8e-06 1.3e-06 1.45e-06 2.25e-06 1.45e-06 2.2e-06 1.3e-06 1.85e-06 1.2e-06 1.5e-06 1.1e-06 1.45e-06 1.45e-06 2.35e-06 1.8e-06 2.3e-06 1.1e-06 2.25e-06 1.95e-06 1.85e-06 1.25e-06 1.45e-06 2e-06 1.55e-06 1.85e-06 1.2e-06 1.05e-06 9.5e-07 1.55e-06 1.6e-06 1.65e-06 1.8e-06 1.1e-06 1.8e-06 1.2e-06 1.45e-06 1.65e-06 2.35e-06 1.7e-06 1.45e-06 1.95e-06 2.35e-06 1.9e-06 1.85e-06 1.65e-06 1.25e-06 1.55e-06
6 1.8e-06 2.4e-06 2.15e-06 1.55e-06 1.85e-06 2.25e-06 2.1e-06 1.95e-06 1.75e-06 1.8e-06 1.9e-06 2.1e-06 2e-06 2.1e-06 2.3e-06 1.85e-06 1.9e-06 1.85e-06 2.8e-06 1.95e-06 2.1e-06 2.15e-06 1.5e-06 2e-06 1.9e-06 2.2e-06 1.95e-06 2e-06 1.95e-06 1.45e-06 1.95e-06 1.95e-06 1.8e-06 1.7e-06 2.05e-06 2.4e-06 2.15e-06 1.6e-06 2.2e-06 2.35e-06 2.1e-06 1.9e-06 2.2e-06 2.05e-06 2.1e-06 2.25e-06 2.2e-06 2.6e-06 1.75e-06 2.35e-06 1.75e-06 2.15e-06 2.55e-06 2.3e-06 2.45e-06 2.4e-06 1.8e-06 2.25e-06 1.5e-06 2.15e-06 1.95e-06 2.3e-06
7 1.25e-06 2e-06 1.8e-06 1.55e-06 1.2e-06 1.25e-06 1.95e-06 5e-07 1.85e-06 1.95e-06 1.95e-06 1.75e-06 1.25e-06 1.1e-06 1.3e-06 2.05e-06 1.15e-06 1.3e-06 1.95e-06 1.25e-06 1.9e-06 1.7e-06 1.65e-06 1.15e-06 1.6e-06 1.3e-06 1.25e-06 1e-06 2.4e-06 1.5e-06 1.9e-06 5.5e-07 2.3e-06 1.65e-06 1.85e-06 1.4e-06 1.3e-06 1.95e-06 1.6e-06 1.9e-06 9e-07 5e-07 1.2e-06 1.4e-06 1.45e-06 1.6e-06 1.45e-06 1.8e-06 1.55e-06 1.35e-06 1.55e-06 1.3e-06 2.05e-06 1.5e-06 1.7e-06 2e-06 2.4e-06 2e-06 1.55e-06 1.75e-06 9e-07 1.5e-06
8 1.8e-06 2.45e-06 2.15e-06 1.95e-06 1.85e-06 2.05e-06 1.75e-06 1.85e-06 2.8e-06 2e-06 1.95e-06 2.1e-06 1.9e-06 1.9e-06 1.85e-06 2.2e-06 1.85e-06 1.8e-06 2.35e-06 1.85e-06 2.25e-06 2.05e-06 1.7e-06 1.95e-06 1.95e-06 2.05e-06 1.85e-06 1.9e-06 1.85e-06 1.8e-06 2.15e-06 1.8e-06 2e-06 2.05e-06 2.15e-06 2.2e-06 1.95e-06 1.95e-06 1.55e-06 2.3e-06 1.95e-06 1.75e-06 2e-06 2e-06 2e-06 2.2e-06 2.15e-06 2.35e-06 1.9e-06 2.15e-06 1.8e-06 2.1e-06 2.6e-06 2.2e-06 2.25e-06 2e-06 1.6e-06 1.9e-06 1.85e-06 2.2e-06 1.75e-06 1.85e-06
9 1.6e-06 1.9e-06 1.85e-06 1.85e-06 1.7e-06 2.15e-06 1.8e-06 1.95e-06 2e-06 2.8e-06 2.15e-06 1.8e-06 2e-06 2.1e-06 2.15e-06 2.1e-06 1.75e-06 1.65e-06 2.4e-06 1.75e-06 2.05e-06 1.9e-06 1.7e-06 1.85e-06 1.6e-06 2.1e-06 1.75e-06 1.8e-06 2.1e-06 1.7e-06 1.7e-06 1.9e-06 1.85e-06 1.7e-06 2.05e-06 2.05e-06 1.75e-06 1.8e-06 2.1e-06 2.05e-06 1.8e-06 1.85e-06 2.1e-06 1.6e-06 1.65e-06 1.7e-06 1.8e-06 2.45e-06 2.1e-06 2e-06 2.05e-06 1.6e-06 1.8e-06 1.95e-06 2.1e-06 2.1e-06 1.9e-06 1.95e-06 1.75e-06 1.9e-06 1.8e-06 2.15e-06
