 slim_762265817 slim_762265813 slim_762265832 slim_762265820 slim_762265842 slim_762265811 slim_762265818 slim_762265807 slim_762265827 slim_762265806 slim_762265841 slim_762265826 slim_762265829 slim_762265819 slim_762265835 slim_762265823 slim_762265838 slim_762265828 slim_762265808 slim_762265805 slim_762265831 slim_762265840 slim_762265839 slim_762265837 slim_762265830 slim_762265815 slim_762265812 slim_762265833 slim_762265822 slim_762265814 slim_762265825 slim_762265816 slim_762265809 slim_762265810 slim_762265821 slim_762265824 slim_762265834 slim_762265836
11 1.05e-06 9e-07 1.3e-06 1.6e-06 7.5e-07 1.45e-06 1.2e-06 9.5e-07 8e-07 1.95e-06 1.05e-06 1.1e-06 2.15e-06 9e-07 7.5e-07 1.95e-06 2.1e-06 1.8e-06 8e-07 9e-07 1.25e-06 2.15e-06 1.55e-06 1.05e-06 2.15e-06 2e-06 2.7e-06 9e-07 3e-06 1.85e-06 9e-07 9e-07 3.2e-06 8.5e-07 2.1e-06 9.5e-07 1.35e-06 1.65e-06
12 2.1e-06 1.95e-06 2e-06 1.75e-06 1.95e-06 2.3e-06 2.2e-06 2e-06 1.85e-06 2.8e-06 1.75e-06 2.15e-06 3e-06 2.2e-06 2e-06 1.9e-06 2e-06 2.6e-06 2.05e-06 1.95e-06 2.3e-06 2.05e-06 2.6e-06 2.25e-06 2.95e-06 2.2e-06 2.4e-06 1.95e-06 2.1e-06 2.5e-06 2.25e-06 1.95e-06 2.25e-06 1.7e-06 1.95e-06 2.25e-06 2.35e-06 2.65e-06
13 1.35e-06 1.15e-06 1.4e-06 1.7e-06 8e-07 1.55e-06 1.15e-06 1.15e-06 1e-06 1.8e-06 1.2e-06 9e-07 2.2e-06 1.2e-06 1.1e-06 1.9e-06 2.15e-06 1.7e-06 1.2e-06 8.5e-07 1.35e-06 2.3e-06 2e-06 9e-07 2.25e-06 2.1e-06 2.7e-06 1.05e-06 2.9e-06 1.7e-06 1.4e-06 1.1e-06 3.25e-06 1e-06 2e-06 1.2e-06 1.4e-06 1.6e-06
14 9.5e-07 8.5e-07 1.4e-06 1.5e-06 7e-07 1.5e-06 1.45e-06 6.5e-07 6e-07 2.1e-06 8.5e-07 7.5e-07 2e-06 1.1e-06 6e-07 1.6e-06 1.9e-06 1.7e-06 6.5e-07 8e-07 1.35e-06 2.3e-06 1.5e-06 1.25e-06 2.25e-06 2.05e-06 2.95e-06 6.5e-07 3e-06 1.85e-06 7e-07 6e-07 3.45e-06 9.5e-07 2.15e-06 1e-06 1.2e-06 1.9e-06
15 2.1e-06 2e-06 1.95e-06 1.75e-06 1.55e-06 2.2e-06 2.15e-06 1.75e-06 1.7e-06 2.25e-06 1.65e-06 1.95e-06 1.9e-06 1.9e-06 1.6e-06 2.7e-06 1.9e-06 2.2e-06 1.95e-06 1.75e-06 2.05e-06 2.35e-06 2.35e-06 1.85e-06 2.55e-06 2.3e-06 2.55e-06 1.65e-06 1.85e-06 2.15e-06 1.8e-06 1.7e-06 2.55e-06 1.85e-06 1.95e-06 1.85e-06 1.85e-06 2.15e-06
16 2.1e-06 2.1e-06 2.15e-06 1.75e-06 1.8e-06 2.35e-06 1.95e-06 2e-06 1.85e-06 2.55e-06 1.9e-06 2.1e-06 2e-06 2.15e-06 1.9e-06 1.9e-06 3.5e-06 2.4e-06 2.1e-06 1.95e-06 2.25e-06 2.2e-06 2.35e-06 2.15e-06 2.65e-06 2.2e-06 2.45e-06 1.9e-06 2.1e-06 2.15e-06 2.1e-06 1.95e-06 2.25e-06 1.95e-06 2.05e-06 2.1e-06 2.15e-06 2.4e-06
17 1.65e-06 1.75e-06 1.75e-06 2.25e-06 1.45e-06 1.85e-06 1.75e-06 1.75e-06 1.55e-06 1.9e-06 1.65e-06 1.8e-06 2.6e-06 1.7e-06 1.7e-06 2.2e-06 2.4e-06 2.8e-06 1.8e-06 1.55e-06 1.75e-06 2.75e-06 2e-06 1.7e-06 1.65e-06 2.5e-06 2.85e-06 1.6e-06 2.95e-06 1.8e-06 1.7e-06 1.7e-06 3.45e-06 1.7e-06 2.5e-06 1.65e-06 1.75e-06 1.75e-06
18 8.5e-07 6e-07 1.25e-06 1.6e-06 8e-07 1.25e-06 1.4e-06 7.5e-07 6e-07 2.15e-06 8.5e-07 8e-07 2.05e-06 1.2e-06 6.5e-07 1.95e-06 2.1e-06 1.8e-06 9e-07 8e-07 1.1e-06 2.05e-06 1.55e-06 1.35e-06 2.2e-06 1.9e-06 2.7e-06 7e-07 3.1e-06 1.95e-06 7.5e-07 7e-07 3.3e-06 8e-07 2.25e-06 1e-06 1.4e-06 1.85e-06
19 9e-07 6e-07 1.15e-06 1.5e-06 6.5e-07 1.1e-06 1.15e-06 7e-07 6e-07 1.8e-06 8e-07 9e-07 1.95e-06 8.5e-07 8e-07 1.75e-06 1.95e-06 1.55e-06 8e-07 1e-06 1.1e-06 1.95e-06 1.75e-06 1.05e-06 2.1e-06 1.75e-06 2.5e-06 6.5e-07 2.85e-06 1.6e-06 1.1e-06 6.5e-07 3.15e-06 7.5e-07 2e-06 1.05e-06 1.25e-06 1.6e-06
20 1.3e-06 1e-06 1.05e-06 1.95e-06 1e-06 1.15e-06 1.15e-06 1.25e-06 1.05e-06 1.45e-06 1.2e-06 1.25e-06 2.3e-06 1.35e-06 1.35e-06 2.05e-06 2.25e-06 1.75e-06 1.1e-06 1.1e-06 1.7e-06 2.1e-06 1.9e-06 1.3e-06 1.7e-06 2.05e-06 2.25e-06 1.1e-06 2.8e-06 1.45e-06 1.25e-06 1.2e-06 3.05e-06 1.05e-06 2.2e-06 1.1e-06 1.35e-06 1.1e-06
21 2e-06 1.65e-06 2e-06 2.05e-06 2e-06 1.95e-06 2.05e-06 2e-06 1.9e-06 2.7e-06 1.9e-06 2.15e-06 2.05e-06 2.3e-06 2.3e-06 2.35e-06 2.2e-06 2.75e-06 2.05e-06 1.95e-06 2.1e-06 3.2e-06 2.45e-06 2.25e-06 2.8e-06 2.1e-06 1.95e-06 1.95e-06 2.4e-06 2.4e-06 2.3e-06 1.95e-06 2.05e-06 1.8e-06 2.25e-06 2.2e-06 2.45e-06 2.45e-06
22 1.7e-06 1.65e-06 1.95e-06 2.15e-06 1.55e-06 2e-06 1.9e-06 1.7e-06 1.5e-06 2.4e-06 1.7e-06 1.55e-06 2.6e-06 2e-06 1.5e-06 2.35e-06 2.35e-06 2e-06 1.55e-06 1.75e-06 1.9e-06 2.45e-06 2.6e-06 1.95e-06 2.1e-06 2.5e-06 2.8e-06 1.6e-06 3.1e-06 2.15e-06 1.45e-06 1.65e-06 3.2e-06 1.75e-06 2.6e-06 1.65e-06 1.95e-06 2.15e-06
23 1.5e-06 1.3e-06 1.35e-06 1.85e-06 8.5e-07 1.5e-06 1.15e-06 1.3e-06 1.15e-06 1.55e-06 1.25e-06 1.05e-06 2.25e-06 9e-07 1.25e-06 1.85e-06 2.15e-06 1.7e-06 1.35e-06 1.05e-06 1.3e-06 2.25e-06 1.95e-06 1.5e-06 2e-06 2.05e-06 2.45e-06 1.15e-06 2.55e-06 1.5e-06 1.35e-06 1.25e-06 2.9e-06 1.15e-06 1.85e-06 1.15e-06 1.35e-06 1.35e-06
24 2e-06 2.1e-06 1.7e-06 2.7e-06 1.8e-06 1.7e-06 1.75e-06 2.25e-06 2e-06 1.15e-06 2.05e-06 2.15e-06 2.95e-06 2.25e-06 2.25e-06 2.55e-06 2.65e-06 1.65e-06 2.2e-06 2.1e-06 1.7e-06 2.8e-06 2.1e-06 2e-06 1.9e-06 2.75e-06 2.4e-06 2.05e-06 2.95e-06 1.5e-06 1.85e-06 2.2e-06 3.3e-06 2e-06 2.7e-06 1.7e-06 1.6e-06 1.05e-06
25 1.75e-06 1.6e-06 1.95e-06 1.85e-06 1.8e-06 2.05e-06 2.05e-06 1.85e-06 1.7e-06 2.75e-06 1.8e-06 2e-06 2.2e-06 2.1e-06 2.05e-06 2.3e-06 2.2e-06 2.5e-06 1.9e-06 1.75e-06 2.05e-06 2.1e-06 2.5e-06 2.05e-06 2.75e-06 3.1e-06 2.6e-06 1.85e-06 2.1e-06 2.55e-06 2.1e-06 1.8e-06 2.15e-06 1.65e-06 2.25e-06 2e-06 2.35e-06 2.45e-06
26 2.75e-06 2.4e-06 2.15e-06 2.6e-06 2.45e-06 1.9e-06 2.15e-06 2.75e-06 2.55e-06 2.05e-06 2.45e-06 2.7e-06 2.4e-06 2.7e-06 2.95e-06 2.55e-06 2.45e-06 2.85e-06 2.7e-06 2.5e-06 2.25e-06 1.95e-06 2.8e-06 2.45e-06 2.4e-06 2.6e-06 2.9e-06 2.55e-06 2.3e-06 2e-06 2.65e-06 2.7e-06 2e-06 2.35e-06 2.4e-06 2.45e-06 2.45e-06 1.95e-06
27 8.5e-07 5.5e-07 1.15e-06 1.5e-06 6e-07 1.15e-06 1.3e-06 6e-07 5e-07 1.9e-06 6.5e-07 9e-07 1.95e-06 1.05e-06 6.5e-07 1.65e-06 1.9e-06 1.6e-06 7e-07 6.5e-07 1.1e-06 1.95e-06 1.6e-06 1.15e-06 2.05e-06 1.85e-06 2.55e-06 8e-07 2.85e-06 1.7e-06 9.5e-07 5.5e-07 3.15e-06 7.5e-07 2.05e-06 1e-06 1.2e-06 1.7e-06
28 3.05e-06 3.05e-06 2.55e-06 2.05e-06 2.55e-06 2.95e-06 2.75e-06 3.05e-06 2.85e-06 2.8e-06 2.6e-06 3e-06 2.1e-06 2.9e-06 3e-06 1.85e-06 2.1e-06 2.95e-06 3.1e-06 2.85e-06 2.8e-06 2.4e-06 3.1e-06 2.55e-06 2.95e-06 2.1e-06 2.3e-06 2.85e-06 1.6e-06 2.75e-06 2.8e-06 3e-06 1.3e-06 2.65e-06 1.95e-06 2.65e-06 2.85e-06 2.6e-06
29 2.1e-06 1.9e-06 1.5e-06 2.4e-06 1.4e-06 1.5e-06 1.1e-06 1.9e-06 1.75e-06 9.5e-07 1.75e-06 1.85e-06 2.5e-06 1.7e-06 1.85e-06 2.15e-06 2.15e-06 1.8e-06 1.95e-06 1.6e-06 1.45e-06 2.4e-06 2.15e-06 1.5e-06 1.5e-06 2.55e-06 2e-06 1.7e-06 2.75e-06 1.5e-06 1.65e-06 1.85e-06 2.95e-06 1.8e-06 2.15e-06 1.5e-06 1.35e-06 9e-07
30 1.2e-06 1.05e-06 1.3e-06 1.85e-06 9e-07 1.4e-06 1.45e-06 1.05e-06 9.5e-07 1.8e-06 1.05e-06 9e-07 2.25e-06 1.4e-06 7e-07 1.8e-06 2.1e-06 1.7e-06 7.5e-07 1.1e-06 1.25e-06 2.3e-06 1.45e-06 1.35e-06 1.85e-06 2.1e-06 2.65e-06 9.5e-07 2.8e-06 1.65e-06 8e-07 1e-06 3.25e-06 1.15e-06 2.25e-06 8e-07 1.3e-06 1.5e-06
31 7.5e-07 5e-07 1.25e-06 1.5e-06 7e-07 1.2e-06 1.4e-06 5e-07 5e-07 2.05e-06 7.5e-07 9e-07 1.95e-06 1.1e-06 6e-07 1.7e-06 1.95e-06 1.7e-06 7e-07 6.5e-07 1.2e-06 1.95e-06 1.65e-06 1.25e-06 2.2e-06 1.8e-06 2.7e-06 5.5e-07 3e-06 1.85e-06 1e-06 9e-07 3.3e-06 8e-07 2.15e-06 1.1e-06 1.25e-06 1.85e-06
32 3.2e-06 3.1e-06 2.8e-06 2.3e-06 2.95e-06 3.05e-06 2.75e-06 3.35e-06 3.1e-06 3.25e-06 2.9e-06 3.2e-06 2.25e-06 3.25e-06 3.45e-06 2.55e-06 2.25e-06 3.45e-06 3.3e-06 3.15e-06 3.05e-06 2.05e-06 3.2e-06 2.9e-06 3.3e-06 2.15e-06 2e-06 3.15e-06 1.3e-06 2.95e-06 3.25e-06 3.3e-06 1.9e-06 2.8e-06 2.2e-06 3.05e-06 3.3e-06 3e-06
33 8.5e-07 6e-07 9e-07 1.4e-06 7e-07 1.15e-06 1.1e-06 8.5e-07 6.5e-07 1.85e-06 7e-07 8.5e-07 1.7e-06 1e-06 9.5e-07 1.85e-06 1.95e-06 1.7e-06 8e-07 7.5e-07 1.05e-06 1.8e-06 1.75e-06 1.15e-06 2e-06 1.65e-06 2.35e-06 7.5e-07 2.65e-06 1.8e-06 1.15e-06 8e-07 2.8e-06 9e-07 1.9e-06 1e-06 1.35e-06 1.55e-06
34 2.35e-06 2.2e-06 2.1e-06 1.9e-06 1.75e-06 2.35e-06 1.85e-06 2.2e-06 2.05e-06 2.35e-06 2e-06 2.1e-06 1.95e-06 2e-06 2.15e-06 1.95e-06 2.05e-06 2.5e-06 2.25e-06 2e-06 2.2e-06 2.25e-06 2.6e-06 1.85e-06 2.7e-06 2.25e-06 2.4e-06 2.05e-06 1.95e-06 2.15e-06 2.25e-06 2.15e-06 2.2e-06 1.9e-06 3.3e-06 2e-06 2.2e-06 2.2e-06
35 1.25e-06 1.05e-06 1.15e-06 1.8e-06 8e-07 1.3e-06 1.15e-06 1.15e-06 1e-06 1.5e-06 1.1e-06 9.5e-07 2.25e-06 1.2e-06 1e-06 1.85e-06 2.1e-06 1.65e-06 1e-06 1.05e-06 1.1e-06 2.2e-06 1.65e-06 1.15e-06 1.7e-06 2e-06 2.45e-06 1e-06 2.65e-06 1.5e-06 8e-07 1.1e-06 3.05e-06 1e-06 2e-06 1.4e-06 1.25e-06 1.2e-06
36 1.55e-06 1.4e-06 1.4e-06 2e-06 1.05e-06 1.4e-06 1.35e-06 1.3e-06 1.2e-06 1.15e-06 1.35e-06 1.35e-06 2.35e-06 1.4e-06 1.2e-06 1.85e-06 2.15e-06 1.75e-06 1.4e-06 1.25e-06 1.35e-06 2.45e-06 1.95e-06 1.35e-06 1.6e-06 2.35e-06 2.45e-06 1.2e-06 2.85e-06 1.35e-06 1.3e-06 1.25e-06 3.3e-06 1.35e-06 2.2e-06 1.25e-06 2.1e-06 1.1e-06
37 1.95e-06 1.75e-06 1.15e-06 2.4e-06 1.3e-06 1.25e-06 1.05e-06 1.9e-06 1.7e-06 5e-07 1.75e-06 1.65e-06 2.65e-06 1.6e-06 1.9e-06 2.15e-06 2.4e-06 1.75e-06 1.85e-06 1.6e-06 1.1e-06 2.45e-06 2.15e-06 1.35e-06 1.05e-06 2.45e-06 1.95e-06 1.7e-06 2.6e-06 9e-07 1.5e-06 1.85e-06 3e-06 1.55e-06 2.2e-06 1.2e-06 1.1e-06 6e-07
