 slim_762389011 slim_762389018 slim_762389002 slim_762389036 slim_762389037 slim_762389034 slim_762389005 slim_762389016 slim_762389004 slim_762389024 slim_762389013 slim_762389039 slim_762389009 slim_762389007 slim_762389014 slim_762389026 slim_762389028 slim_762389020 slim_762389022 slim_762389027 slim_762389038 slim_762389035 slim_762389015 slim_762389017 slim_762389012 slim_762389021 slim_762389006 slim_762389008 slim_762389025 slim_762389030 slim_762389033 slim_762389003 slim_762389031 slim_762389001 slim_762389019 slim_762389010 slim_762389032 slim_762389023 slim_762389040 slim_762389029 slim_762389041
11 2.25e-06 1.95e-06 2.25e-06 1.7e-06 1.8e-06 1.4e-06 2.05e-06 1.7e-06 1.95e-06 1.6e-06 1.75e-06 2.6e-06 1.95e-06 2.25e-06 1.85e-06 1.7e-06 2.1e-06 1.75e-06 2.4e-06 1.95e-06 1.85e-06 1.9e-06 1.7e-06 2.05e-06 2e-06 2.05e-06 2.1e-06 2e-06 1.5e-06 2.15e-06 1.65e-06 1.8e-06 2.3e-06 2.2e-06 1.8e-06 2.1e-06 1.75e-06 2.1e-06 1.65e-06 2.15e-06 1.75e-06
12 1.5e-06 1.35e-06 1.9e-06 1.4e-06 2.05e-06 1.9e-06 1.95e-06 1.95e-06 1.7e-06 1.4e-06 2e-06 1.95e-06 2.1e-06 2.2e-06 1.3e-06 1.45e-06 1.7e-06 1.65e-06 2.05e-06 1.25e-06 1.45e-06 1.6e-06 1.45e-06 1.3e-06 1.35e-06 1.9e-06 1.45e-06 1.3e-06 1.35e-06 2.2e-06 1.45e-06 1.45e-06 1.7e-06 1.65e-06 1.75e-06 1.55e-06 1.7e-06 1.5e-06 1.4e-06 1.55e-06 1.15e-06
13 2.05e-06 1.95e-06 2.4e-06 2.3e-06 2.35e-06 2.15e-06 2.05e-06 2.3e-06 1.9e-06 2.35e-06 2.3e-06 2.25e-06 2.2e-06 3.3e-06 2e-06 2.35e-06 1.9e-06 2.3e-06 2.3e-06 2.1e-06 2.1e-06 1.95e-06 2.2e-06 2.05e-06 2.15e-06 2.3e-06 1.75e-06 2.05e-06 2.3e-06 2e-06 2.35e-06 2e-06 2.05e-06 2.45e-06 2.35e-06 2.2e-06 2.3e-06 2.4e-06 2.35e-06 2.05e-06 2.2e-06
14 1.45e-06 8.5e-07 1.25e-06 1.3e-06 1.55e-06 1.85e-06 1.45e-06 1.5e-06 1.25e-06 1.55e-06 1.5e-06 1.85e-06 1.3e-06 2e-06 1.2e-06 1.4e-06 1.6e-06 1.3e-06 1.4e-06 7.5e-07 1e-06 1.55e-06 1.3e-06 1e-06 1.25e-06 1.2e-06 9.5e-07 9.5e-07 1.5e-06 1.7e-06 1.35e-06 9.5e-07 1.25e-06 1.05e-06 1.5e-06 1.15e-06 1.45e-06 1e-06 1.55e-06 9.5e-07 1.05e-06
15 1.85e-06 1.8e-06 1.7e-06 9.5e-07 2.1e-06 1.75e-06 1.45e-06 1.9e-06 1.65e-06 9.5e-07 2.05e-06 1.7e-06 1.45e-06 2.35e-06 1.4e-06 1.6e-06 1.9e-06 1.2e-06 1.75e-06 1.05e-06 1.05e-06 1.65e-06 9.5e-07 1.45e-06 1.6e-06 1.4e-06 1.8e-06 1.5e-06 8.5e-07 1.95e-06 8.5e-07 1.15e-06 1.95e-06 1.35e-06 1.2e-06 1.3e-06 1.15e-06 1.25e-06 1e-06 1.85e-06 9e-07
16 1.7e-06 1.55e-06 2.2e-06 1.85e-06 2.35e-06 2e-06 1.8e-06 2.25e-06 1.55e-06 1.85e-06 2.3e-06 2.1e-06 1.7e-06 1.9e-06 1.6e-06 1.9e-06 2.5e-06 1.85e-06 2e-06 1.7e-06 1.7e-06 1.5e-06 1.8e-06 1.65e-06 1.7e-06 1.95e-06 1.35e-06 1.65e-06 1.8e-06 2.2e-06 1.9e-06 1.55e-06 1.75e-06 2.05e-06 2e-06 1.9e-06 1.95e-06 2.1e-06 1.85e-06 1.65e-06 1.75e-06
17 1.9e-06 1.55e-06 1.55e-06 1.2e-06 1.95e-06 1.85e-06 1.4e-06 1.85e-06 1.45e-06 1.2e-06 1.9e-06 1.75e-06 1.65e-06 2.3e-06 1.3e-06 1.2e-06 1.85e-06 2.1e-06 1.65e-06 1.25e-06 1.15e-06 1.65e-06 1.2e-06 1.5e-06 1.6e-06 1.1e-06 1.65e-06 1.5e-06 1.1e-06 1.75e-06 1.15e-06 1.25e-06 1.75e-06 1.4e-06 1.25e-06 1.4e-06 1.2e-06 1.3e-06 1.25e-06 1.45e-06 1.25e-06
18 1.75e-06 1.8e-06 1.35e-06 1.65e-06 2.05e-06 2.4e-06 1.25e-06 2.1e-06 1.7e-06 1.85e-06 2e-06 2.4e-06 2.05e-06 2.3e-06 1.4e-06 1.75e-06 2e-06 1.65e-06 2.1e-06 1.3e-06 1.35e-06 2.05e-06 1.65e-06 1.7e-06 1.9e-06 1.5e-06 1.65e-06 1.65e-06 1.8e-06 1.85e-06 1.7e-06 1.4e-06 1.7e-06 1.2e-06 1.6e-06 1.2e-06 1.55e-06 1.3e-06 1.85e-06 1.65e-06 1.6e-06
19 1.45e-06 1.25e-06 1.2e-06 1.05e-06 1.75e-06 1.9e-06 1.3e-06 1.6e-06 1.35e-06 1.3e-06 1.7e-06 1.95e-06 1.25e-06 2.1e-06 7.5e-07 1.05e-06 1.7e-06 1.25e-06 1.3e-06 9e-07 8e-07 1.6e-06 1.05e-06 9.5e-07 1.3e-06 1.2e-06 1.05e-06 1e-06 1.25e-06 1.7e-06 1.1e-06 7.5e-07 1.4e-06 9e-07 1.35e-06 9.5e-07 1.3e-06 8.5e-07 1.3e-06 1.2e-06 7e-07
20 1.6e-06 1.4e-06 1.4e-06 1.05e-06 1.9e-06 1.85e-06 1.2e-06 1.75e-06 1.3e-06 1.25e-06 1.85e-06 1.85e-06 1.45e-06 2.1e-06 1e-06 1.05e-06 1.7e-06 1.15e-06 1.35e-06 8e-07 1.4e-06 1.55e-06 1.05e-06 1.2e-06 1.45e-06 1.1e-06 1.3e-06 1.2e-06 1.15e-06 1.7e-06 1.05e-06 8e-07 1.55e-06 1.05e-06 1.25e-06 1.1e-06 1.2e-06 1.05e-06 1.25e-06 1.35e-06 1e-06
21 1.7e-06 1.5e-06 2.05e-06 1.5e-06 2.25e-06 1.7e-06 1.65e-06 2.1e-06 1.35e-06 1.6e-06 2.2e-06 1.9e-06 1.6e-06 1.95e-06 1.55e-06 1.65e-06 1.5e-06 1.65e-06 2.05e-06 1.6e-06 1.55e-06 2.4e-06 1.45e-06 1.55e-06 1.6e-06 1.75e-06 1.3e-06 1.55e-06 1.55e-06 2.25e-06 1.65e-06 1.45e-06 1.65e-06 2e-06 1.75e-06 1.85e-06 1.7e-06 1.95e-06 1.5e-06 1.6e-06 1.55e-06
22 1.8e-06 1.65e-06 1.55e-06 8.5e-07 1.95e-06 1.55e-06 1.35e-06 1.75e-06 1.55e-06 9.5e-07 1.9e-06 1.7e-06 1.45e-06 2.2e-06 1.3e-06 9.5e-07 1.8e-06 1.2e-06 1.65e-06 1.05e-06 1.05e-06 1.45e-06 1.5e-06 1.4e-06 1.5e-06 1.4e-06 1.7e-06 1.45e-06 9e-07 1.8e-06 1e-06 1.2e-06 1.8e-06 1.35e-06 1.2e-06 1.25e-06 1.15e-06 1.2e-06 8.5e-07 1.7e-06 8.5e-07
23 1.45e-06 1e-06 1.6e-06 1.45e-06 1.9e-06 2e-06 1.6e-06 1.75e-06 1.25e-06 1.65e-06 1.85e-06 2.05e-06 1.3e-06 2.05e-06 1e-06 1.45e-06 1.65e-06 1.5e-06 1.7e-06 9.5e-07 1.2e-06 1.55e-06 1.4e-06 1.9e-06 1.3e-06 1.4e-06 1.1e-06 1.05e-06 1.6e-06 1.95e-06 1.5e-06 1.2e-06 1.4e-06 1.4e-06 1.7e-06 1.35e-06 1.65e-06 1.3e-06 1.65e-06 1.1e-06 1.15e-06
24 1.65e-06 1.25e-06 1.7e-06 1.55e-06 1.95e-06 1.95e-06 1.75e-06 1.85e-06 1.5e-06 1.5e-06 1.9e-06 2e-06 1.35e-06 2.15e-06 1.25e-06 1.6e-06 1.7e-06 1.6e-06 1.9e-06 1.3e-06 1.45e-06 1.6e-06 1.5e-06 1.3e-06 2.3e-06 1.7e-06 1.35e-06 1.25e-06 1.45e-06 2.1e-06 1.6e-06 1.5e-06 1.55e-06 1.7e-06 1.7e-06 1.55e-06 1.65e-06 1.5e-06 1.45e-06 1.3e-06 1.3e-06
25 1.9e-06 1.4e-06 1.45e-06 1.45e-06 2e-06 2.15e-06 1.25e-06 1.9e-06 1.2e-06 1.6e-06 1.95e-06 2.05e-06 1.9e-06 2.3e-06 1.2e-06 1.4e-06 1.95e-06 1.1e-06 1.5e-06 1.2e-06 1.1e-06 1.75e-06 1.4e-06 1.4e-06 1.7e-06 1.5e-06 1.45e-06 1.45e-06 1.5e-06 1.7e-06 1.35e-06 1.2e-06 1.6e-06 1.35e-06 1.4e-06 1.4e-06 1.35e-06 1.3e-06 1.65e-06 1.2e-06 1.5e-06
26 1.35e-06 1e-06 1.6e-06 1.75e-06 1.95e-06 2e-06 1.5e-06 1.85e-06 1.05e-06 1.95e-06 1.9e-06 2.1e-06 1.45e-06 1.75e-06 9.5e-07 1.8e-06 1.35e-06 1.65e-06 1.65e-06 1.05e-06 1.3e-06 1.3e-06 1.7e-06 1.1e-06 1.35e-06 1.45e-06 1.2e-06 1.1e-06 1.9e-06 2.05e-06 1.8e-06 1.05e-06 1.15e-06 1.6e-06 1.85e-06 1.55e-06 1.8e-06 1.6e-06 1.95e-06 1e-06 1.45e-06
27 1.45e-06 1e-06 1.5e-06 1.4e-06 1.8e-06 2e-06 1.6e-06 1.75e-06 1.3e-06 1.65e-06 1.75e-06 2e-06 1.3e-06 2.05e-06 9.5e-07 1.5e-06 1.65e-06 1.5e-06 1.65e-06 1e-06 1.2e-06 1.55e-06 1.45e-06 1.05e-06 1.25e-06 1.45e-06 1.1e-06 1.9e-06 1.6e-06 1.95e-06 1.45e-06 1.2e-06 1.35e-06 1.3e-06 1.65e-06 1.3e-06 1.6e-06 1.2e-06 1.65e-06 1.05e-06 1.2e-06
28 1.9e-06 1.85e-06 1.65e-06 9e-07 2e-06 1.55e-06 1.45e-06 1.85e-06 1.7e-06 6.5e-07 1.95e-06 1.5e-06 1.35e-06 2.3e-06 1.5e-06 8.5e-07 1.8e-06 1.1e-06 1.8e-06 1.25e-06 1.15e-06 1.55e-06 9e-07 1.6e-06 1.45e-06 1.5e-06 1.9e-06 1.6e-06 1.1e-06 1.9e-06 8.5e-07 1.3e-06 1.95e-06 1.5e-06 1.05e-06 1.35e-06 1e-06 1.3e-06 7e-07 1.9e-06 9e-07
29 2.2e-06 1.95e-06 1.85e-06 1.85e-06 2e-06 2.15e-06 1.8e-06 2e-06 2e-06 1.95e-06 1.95e-06 2.15e-06 2.2e-06 2e-06 1.7e-06 1.95e-06 2.2e-06 1.75e-06 1.85e-06 1.7e-06 1.7e-06 2.25e-06 1.8e-06 1.95e-06 2.1e-06 1.7e-06 2.05e-06 1.95e-06 1.9e-06 2.9e-06 1.9e-06 1.8e-06 2.1e-06 1.8e-06 1.9e-06 1.7e-06 1.85e-06 1.7e-06 1.95e-06 1.85e-06 1.8e-06
30 1.85e-06 1.75e-06 1.6e-06 9e-07 2e-06 1.75e-06 1.45e-06 1.9e-06 1.65e-06 9.5e-07 1.95e-06 1.65e-06 1.45e-06 2.35e-06 1.35e-06 8.5e-07 1.9e-06 1.15e-06 1.7e-06 1.1e-06 1.05e-06 1.65e-06 1e-06 1.5e-06 1.6e-06 1.35e-06 1.8e-06 1.45e-06 8.5e-07 1.9e-06 1.6e-06 1.15e-06 1.9e-06 1.25e-06 1.15e-06 1.25e-06 1.1e-06 1.15e-06 1e-06 1.8e-06 9.5e-07
31 1.5e-06 1.4e-06 1.5e-06 1.15e-06 2e-06 1.75e-06 1.25e-06 1.85e-06 1.2e-06 1.4e-06 1.95e-06 1.8e-06 1.45e-06 2e-06 9.5e-07 1.15e-06 1.55e-06 1.25e-06 1.4e-06 7.5e-07 8e-07 1.45e-06 1.2e-06 1.2e-06 1.5e-06 1.2e-06 1.05e-06 1.2e-06 1.3e-06 1.8e-06 1.15e-06 1e-06 1.6e-06 1.15e-06 1.4e-06 1.25e-06 1.35e-06 1.3e-06 1.4e-06 1.35e-06 1.05e-06
32 1.6e-06 1.25e-06 1.3e-06 1.85e-06 1.8e-06 2.3e-06 1.6e-06 1.85e-06 1.45e-06 2e-06 1.75e-06 2.3e-06 1.7e-06 2.05e-06 1.25e-06 1.95e-06 1.75e-06 1.75e-06 1.7e-06 1.4e-06 1.55e-06 1.65e-06 1.8e-06 1.4e-06 1.55e-06 1.6e-06 1.15e-06 1.35e-06 1.95e-06 2.1e-06 1.9e-06 1.6e-06 2.2e-06 1.7e-06 1.7e-06 1.5e-06 1.65e-06 1.35e-06 2e-06 1.25e-06 1.65e-06
33 1.95e-06 1.55e-06 1.35e-06 1.2e-06 1.9e-06 2.3e-06 1.65e-06 1.9e-06 1.75e-06 1.55e-06 1.85e-06 2.2e-06 1.65e-06 2.45e-06 1.05e-06 1.35e-06 2.05e-06 1.4e-06 1.2e-06 9e-07 1.05e-06 2e-06 1.35e-06 1.4e-06 1.7e-06 1.35e-06 1.6e-06 1.3e-06 1.5e-06 1.8e-06 1.25e-06 1.15e-06 1.7e-06 1.2e-06 1.5e-06 1.2e-06 1.45e-06 9e-07 1.55e-06 1.5e-06 1.15e-06
34 1.9e-06 1.85e-06 1.25e-06 1.2e-06 1.85e-06 1.9e-06 1.3e-06 1.85e-06 1.65e-06 1.15e-06 1.8e-06 1.8e-06 1.75e-06 2.35e-06 1.5e-06 1.2e-06 2e-06 1.25e-06 1.6e-06 1.35e-06 1.25e-06 1.75e-06 1.2e-06 1.7e-06 1.7e-06 1.4e-06 1.85e-06 1.65e-06 1.05e-06 1.9e-06 1.15e-06 1.4e-06 1.7e-06 1.5e-06 2e-06 1.3e-06 1e-06 1.15e-06 1.2e-06 1.8e-06 1.25e-06
35 1.4e-06 1.55e-06 1.1e-06 1.2e-06 1.75e-06 2.1e-06 1.1e-06 1.8e-06 1.65e-06 1.4e-06 1.7e-06 2.1e-06 1.55e-06 2.2e-06 1.15e-06 1.3e-06 1.9e-06 1.4e-06 1.2e-06 9.5e-07 1.1e-06 1.85e-06 1.25e-06 1.35e-06 1.55e-06 1.4e-06 1.55e-06 1.3e-06 1.35e-06 1.7e-06 1.25e-06 1.25e-06 1.5e-06 1.2e-06 1.3e-06 1.5e-06 1.25e-06 8.5e-07 1.4e-06 1.5e-06 1.05e-06
36 1.85e-06 1.8e-06 1.2e-06 1.15e-06 1.8e-06 1.85e-06 1.25e-06 1.8e-06 1.6e-06 1.1e-06 1.75e-06 1.75e-06 1.7e-06 2.3e-06 1.45e-06 1.15e-06 1.95e-06 1.2e-06 1.55e-06 1.3e-06 1.2e-06 1.7e-06 1.15e-06 1.65e-06 1.65e-06 1.35e-06 1.8e-06 1.6e-06 1e-06 1.85e-06 1.1e-06 1.35e-06 1.65e-06 1.45e-06 1e-06 1.25e-06 1.9e-06 1.1e-06 1.15e-06 1.75e-06 1.2e-06
37 1.7e-06 1.45e-06 8e-07 1.1e-06 1.5e-06 2.2e-06 1.4e-06 1.6e-06 1.75e-06 1.35e-06 1.45e-06 2.1e-06 1.5e-06 2.4e-06 1e-06 1.25e-06 2.1e-06 1.3e-06 1.3e-06 8.5e-07 1.05e-06 1.95e-06 1.2e-06 1.3e-06 1.5e-06 1.3e-06 1.6e-06 1.2e-06 1.3e-06 1.7e-06 1.15e-06 1.3e-06 1.35e-06 9e-07 1.15e-06 8.5e-07 1.1e-06 9e-07 1.35e-06 1.4e-06 9.5e-07
38 1.95e-06 1.9e-06 1.7e-06 8.5e-07 2.05e-06 1.5e-06 1.55e-06 1.9e-06 1.8e-06 7.5e-07 2e-06 1.65e-06 1.4e-06 2.35e-06 1.55e-06 1e-06 1.85e-06 1.25e-06 1.85e-06 1.3e-06 1.25e-06 1.5e-06 8.5e-07 1.65e-06 1.45e-06 1.65e-06 1.95e-06 1.65e-06 7e-07 1.95e-06 1e-06 1.4e-06 2e-06 1.55e-06 1.2e-06 1.4e-06 1.15e-06 1.35e-06 1.2e-06 1.95e-06 9e-07
39 1.55e-06 8.5e-07 1.5e-06 1.75e-06 1.8e-06 2.15e-06 1.6e-06 1.75e-06 1.15e-06 1.95e-06 1.75e-06 2.15e-06 1.55e-06 2.05e-06 9.5e-07 1.85e-06 1.65e-06 1.45e-06 1.65e-06 1.2e-06 1.35e-06 1.6e-06 1.7e-06 1.1e-06 1.3e-06 1.2e-06 1e-06 1.05e-06 1.9e-06 1.85e-06 1.8e-06 1.35e-06 1.25e-06 1.5e-06 1.8e-06 1.5e-06 1.75e-06 1.4e-06 1.95e-06 1.5e-06 1.55e-06
40 1.6e-06 1.5e-06 1.35e-06 8.5e-07 1.8e-06 1.65e-06 1.5e-06 1.65e-06 1.65e-06 9.5e-07 1.75e-06 1.75e-06 1.15e-06 2.2e-06 1.05e-06 9e-07 1.75e-06 1.25e-06 1.6e-06 7e-07 1e-06 1.55e-06 8.5e-07 1.15e-06 1.3e-06 1.5e-06 1.45e-06 1.2e-06 9e-07 1.8e-06 9.5e-07 1.05e-06 1.65e-06 1.15e-06 1.25e-06 1.05e-06 1.2e-06 9.5e-07 9e-07 1.55e-06 1e-06
