 slim_762082321 slim_762082337 slim_762082333 slim_762082338 slim_762082330 slim_762082339 slim_762082325 slim_762082326 slim_762082342 slim_762082335 slim_762082331 slim_762082348 slim_762082314 slim_762082336 slim_762082328 slim_762082317 slim_762082350 slim_762082322 slim_762082316 slim_762082324 slim_762082332 slim_762082341 slim_762082327 slim_762082344 slim_762082320 slim_762082343 slim_762082340 slim_762082319 slim_762082347 slim_762082334 slim_762082318 slim_762082329 slim_762082346 slim_762082315 slim_762082345 slim_762082323 slim_762082349
18 1.1e-06 1.95e-06 2e-06 1.75e-06 1.7e-06 1.9e-06 1.35e-06 1.4e-06 1.35e-06 1.8e-06 1.9e-06 1.95e-06 1.5e-06 1.7e-06 1.85e-06 1.75e-06 1.45e-06 1.3e-06 2e-06 1.25e-06 1.8e-06 1.7e-06 1.8e-06 1.55e-06 1.45e-06 1.4e-06 1.35e-06 1.05e-06 1.95e-06 1.45e-06 1.6e-06 1.85e-06 1.75e-06 1e-06 1.9e-06 1.4e-06 1.8e-06
19 9.5e-07 9.5e-07 1.1e-06 7e-07 8e-07 1.2e-06 7.5e-07 5e-07 7.5e-07 1.1e-06 9e-07 1.05e-06 1.75e-06 9e-07 1.6e-06 1e-06 8.5e-07 6.5e-07 1.25e-06 5e-07 8e-07 6e-07 7.5e-07 9e-07 8.5e-07 1.2e-06 7e-07 6.5e-07 1.05e-06 1.2e-06 5.5e-07 1.4e-06 8.5e-07 1.6e-06 1e-06 1.45e-06 9e-07
20 1.5e-06 4.5e-07 8e-07 4e-07 7e-07 9e-07 1.05e-06 6e-07 1.05e-06 1e-06 8e-07 7.5e-07 1.85e-06 8e-07 1.45e-06 7e-07 1.15e-06 9.5e-07 1.8e-06 8e-07 5e-07 5e-07 3.5e-07 1e-06 9.5e-07 1.2e-06 1e-06 1.35e-06 6.5e-07 1.15e-06 5.5e-07 9e-07 5.5e-07 2e-06 5.5e-07 1.6e-06 1e-06
21 1.4e-06 6e-07 8.5e-07 4.5e-07 6e-07 8.5e-07 8.5e-07 6e-07 8.5e-07 8.5e-07 6.5e-07 8e-07 1.85e-06 8.5e-07 1.35e-06 7.5e-07 9.5e-07 8e-07 1.7e-06 6e-07 5e-07 5e-07 3.5e-07 9e-07 9.5e-07 1.25e-06 8.5e-07 1.15e-06 8e-07 1.25e-06 5e-07 1.1e-06 6e-07 2e-06 6.5e-07 1.55e-06 9e-07
22 1.5e-06 3.5e-07 7.5e-07 3.5e-07 6.5e-07 8e-07 1e-06 5.5e-07 1e-06 9e-07 7e-07 7e-07 1.9e-06 7.5e-07 1.45e-06 6.5e-07 1.1e-06 9e-07 1.8e-06 7.5e-07 3.5e-07 3.5e-07 4e-07 9.5e-07 9e-07 1.25e-06 9.5e-07 1.3e-06 7e-07 1.15e-06 5.5e-07 9.5e-07 5e-07 2.05e-06 5e-07 1.6e-06 1e-06
23 1.4e-06 1.1e-06 1.05e-06 8.5e-07 7.5e-07 1.15e-06 9.5e-07 9e-07 9.5e-07 9.5e-07 9e-07 1e-06 1.9e-06 9e-07 1.55e-06 1e-06 1.05e-06 8.5e-07 1.55e-06 9e-07 1e-06 9e-07 9.5e-07 1.3e-06 1.1e-06 1.4e-06 9e-07 1.1e-06 1.1e-06 1.45e-06 9.5e-07 1.55e-06 8e-07 1.9e-06 1.1e-06 1.4e-06 1.1e-06
24 1.45e-06 1e-06 1.1e-06 9e-07 1e-06 1.1e-06 9e-07 8e-07 9e-07 1.15e-06 1.25e-06 1.1e-06 2.15e-06 1.1e-06 1.6e-06 8.5e-07 1e-06 8.5e-07 1.45e-06 8.5e-07 9.5e-07 9.5e-07 9e-07 1.1e-06 1.6e-06 1.55e-06 9e-07 8.5e-07 1.25e-06 1.45e-06 1e-06 1.55e-06 9e-07 2.05e-06 1.15e-06 1.6e-06 1.25e-06
25 1.1e-06 1.35e-06 1.65e-06 1.25e-06 1.4e-06 1.65e-06 1.5e-06 1.2e-06 1.5e-06 1.6e-06 1.4e-06 1.6e-06 1.05e-06 1.35e-06 1.7e-06 1.55e-06 1.6e-06 1.4e-06 1.4e-06 1.2e-06 1.2e-06 1.25e-06 1.25e-06 1.4e-06 1.55e-06 1.7e-06 1.45e-06 1.55e-06 1.2e-06 1.15e-06 1.05e-06 1.1e-06 1.4e-06 1e-06 1.15e-06 1.35e-06 1.55e-06
26 1.3e-06 1.15e-06 1.1e-06 8.5e-07 8e-07 1.15e-06 8e-07 8e-07 8e-07 1.05e-06 1.1e-06 1.05e-06 2e-06 1.1e-06 1.5e-06 9.5e-07 9e-07 6.5e-07 1.35e-06 7e-07 1e-06 8.5e-07 9.5e-07 9e-07 9e-07 1.45e-06 1.3e-06 8e-07 1.25e-06 1.45e-06 9e-07 1.6e-06 8.5e-07 1.9e-06 1.2e-06 1.45e-06 1.05e-06
27 1.1e-06 1.5e-06 1.5e-06 1.25e-06 1.2e-06 1.4e-06 7.5e-07 8.5e-07 7.5e-07 1.3e-06 1.45e-06 1.45e-06 2.1e-06 1.25e-06 1.75e-06 1.2e-06 8e-07 7.5e-07 1.05e-06 6.5e-07 1.35e-06 1.15e-06 1.3e-06 1.1e-06 8.5e-07 1.55e-06 8e-07 6e-07 1.6e-06 1.55e-06 1.15e-06 1.95e-06 1.25e-06 1.75e-06 1.55e-06 1.55e-06 1.35e-06
28 1.65e-06 7e-07 1.1e-06 7e-07 9.5e-07 1.05e-06 1.25e-06 9e-07 1.25e-06 1e-06 8.5e-07 1.05e-06 1.85e-06 9.5e-07 1.6e-06 9.5e-07 1.35e-06 1.2e-06 1.95e-06 1.05e-06 6.5e-07 8e-07 7e-07 1.1e-06 1.25e-06 1.2e-06 1.25e-06 1.6e-06 8e-07 1.35e-06 6.5e-07 1e-06 8.5e-07 2.05e-06 6e-07 1.6e-06 1.2e-06
29 1.2e-06 1.2e-06 1.55e-06 1.15e-06 1.4e-06 1.6e-06 1.5e-06 1.1e-06 1.5e-06 1.65e-06 1.45e-06 1.5e-06 1.3e-06 1.3e-06 1.75e-06 1.45e-06 1.6e-06 1.4e-06 1.45e-06 1.2e-06 1.15e-06 1.25e-06 1.15e-06 1.45e-06 1.45e-06 1.15e-06 1.45e-06 1.55e-06 1.35e-06 2.1e-06 1.2e-06 1.2e-06 1.3e-06 1.1e-06 1.25e-06 1.45e-06 1.6e-06
30 1.3e-06 7e-07 9.5e-07 5.5e-07 7e-07 1e-06 9.5e-07 6.5e-07 9.5e-07 9.5e-07 7.5e-07 9e-07 1.7e-06 9e-07 1.45e-06 8.5e-07 1.05e-06 8.5e-07 1.6e-06 5.5e-07 5.5e-07 5e-07 5.5e-07 9.5e-07 1e-06 1.05e-06 9e-07 1.15e-06 6.5e-07 1.2e-06 7e-07 1e-06 7e-07 1.8e-06 6e-07 1.45e-06 8.5e-07
31 1.55e-06 1e-06 1.4e-06 1e-06 1.3e-06 1.45e-06 1.65e-06 1.2e-06 1.65e-06 1.55e-06 1.35e-06 1.35e-06 1.3e-06 1.35e-06 1.6e-06 1.3e-06 1.75e-06 1.55e-06 1.85e-06 1.4e-06 9e-07 1.1e-06 9.5e-07 1.55e-06 1.55e-06 1.1e-06 1.6e-06 1.95e-06 1e-06 1.2e-06 1e-06 1.5e-06 1.15e-06 1.5e-06 9.5e-07 1.6e-06 1.5e-06
32 1.6e-06 6e-07 6.5e-07 4.5e-07 5e-07 8.5e-07 9.5e-07 7e-07 9.5e-07 9e-07 8.5e-07 6e-07 2e-06 9e-07 1.35e-06 6.5e-07 1.05e-06 8e-07 1.75e-06 8.5e-07 5.5e-07 6e-07 5e-07 8e-07 9e-07 1.4e-06 8.5e-07 1.25e-06 8.5e-07 1.3e-06 7e-07 1.15e-06 8e-07 2.15e-06 7.5e-07 1.55e-06 8.5e-07
33 8.5e-07 2.15e-06 2.4e-06 2e-06 2.1e-06 2.4e-06 1.95e-06 1.7e-06 1.95e-06 2.3e-06 2.1e-06 2.35e-06 6.5e-07 1.9e-06 2e-06 2.3e-06 2.05e-06 1.85e-06 1e-06 1.6e-06 2e-06 2e-06 2.05e-06 1.9e-06 2.05e-06 1e-06 1.9e-06 1.75e-06 2.05e-06 1.1e-06 1.8e-06 1.5e-06 2.15e-06 1e-07 2e-06 1.25e-06 2.15e-06
34 1.6e-06 4e-07 1e-06 6e-07 9e-07 8.5e-07 1.25e-06 8e-07 1.25e-06 9.5e-07 7.5e-07 9.5e-07 1.85e-06 9e-07 1.65e-06 9e-07 1.35e-06 1.15e-06 1.9e-06 1e-06 5.5e-07 6.5e-07 5e-07 1.1e-06 1.15e-06 1.15e-06 1.2e-06 1.55e-06 6e-07 1.25e-06 6e-07 9.5e-07 7.5e-07 2e-06 7e-07 1.6e-06 1.2e-06
35 1.4e-06 1.7e-06 1.8e-06 1.55e-06 1.5e-06 1.65e-06 1.45e-06 1.5e-06 1.45e-06 1.45e-06 1.55e-06 1.75e-06 1.4e-06 1.55e-06 1.65e-06 1.55e-06 1.55e-06 1.4e-06 1.4e-06 1.45e-06 1.6e-06 1.55e-06 1.6e-06 1.4e-06 1.6e-06 1.35e-06 1.45e-06 1.55e-06 1.6e-06 1.45e-06 1.45e-06 1.6e-06 1.55e-06 1.25e-06 1.6e-06 2.4e-06 1.7e-06
36 1.65e-06 1.2e-06 9e-07 9e-07 8e-07 1.3e-06 1.15e-06 1.05e-06 1.15e-06 1.2e-06 1.15e-06 8.5e-07 2.05e-06 1.35e-06 1.6e-06 1.1e-06 1.25e-06 1e-06 1.8e-06 9e-07 1e-06 9e-07 1e-06 1.1e-06 1.25e-06 1.55e-06 1.05e-06 1.35e-06 1.2e-06 1.6e-06 8.5e-07 1.5e-06 8.5e-07 2.15e-06 1.2e-06 1.7e-06 1.4e-06
