 slim_762408640 slim_762408635 slim_762408663 slim_762408681 slim_762408677 slim_762408638 slim_762408673 slim_762408637 slim_762408666 slim_762408665 slim_762408647 slim_762408645 slim_762408636 slim_762408634 slim_762408664 slim_762408671 slim_762408632 slim_762408652 slim_762408631 slim_762408657 slim_762408668 slim_762408667 slim_762408633 slim_762408670 slim_762408658 slim_762408679 slim_762408649 slim_762408656 slim_762408639 slim_762408646 slim_762408675 slim_762408672 slim_762408644 slim_762408659 slim_762408650 slim_762408662 slim_762408680 slim_762408651 slim_762408674 slim_762408669 slim_762408660 slim_762408682 slim_762408643 slim_762408676 slim_762408641 slim_762408678 slim_762408653 slim_762408654 slim_762408648 slim_762408661 slim_762408655 slim_762408642
10 8.5e-07 1.65e-06 1.1e-06 1e-06 1.05e-06 1.15e-06 1.05e-06 1.45e-06 6.5e-07 1.2e-06 1e-07 1.6e-06 1.2e-06 9e-07 1.05e-06 1.1e-06 1.05e-06 1.2e-06 1.25e-06 1.4e-06 1e-06 7e-07 1.05e-06 1.1e-06 5.5e-07 1.35e-06 1.25e-06 1.2e-06 1.05e-06 9e-07 1.55e-06 1.55e-06 1.25e-06 1.35e-06 1.35e-06 8.5e-07 1.15e-06 1e-06 1.5e-06 5.5e-07 1e-06 1e-06 1.3e-06 1.4e-06 1.4e-06 1.35e-06 1.7e-06 1.15e-06 1.25e-06 1.1e-06 1.25e-06 1e-06
11 1.25e-06 1.35e-06 1.25e-06 1.05e-06 1.5e-06 1.75e-06 1.3e-06 1.45e-06 1.25e-06 1.05e-06 1.6e-06 1.1e-06 1.15e-06 1.3e-06 9e-07 1.45e-06 1.5e-06 1.25e-06 1.7e-06 1.9e-06 1.1e-06 1.15e-06 1.4e-06 1.25e-06 1.25e-06 1.4e-06 1.2e-06 1.15e-06 1.2e-06 1.65e-06 1.45e-06 1.15e-06 1.6e-06 9e-07 1.95e-06 1.1e-06 1.2e-06 1.05e-06 1.6e-06 1.45e-06 1.6e-06 1.1e-06 1.35e-06 1.6e-06 1.25e-06 1.45e-06 1.8e-06 1.45e-06 1.3e-06 1.75e-06 1.2e-06 1.8e-06
12 1.15e-06 1.45e-06 1.45e-06 1.1e-06 1.05e-06 1.25e-06 8e-07 7.5e-07 9e-07 1.3e-06 1.2e-06 1.15e-06 1.3e-06 1.1e-06 1.15e-06 8.5e-07 1.25e-06 1.35e-06 1.1e-06 1.3e-06 9.5e-07 8e-07 8e-07 1.45e-06 1.3e-06 1.4e-06 1.55e-06 1.5e-06 8.5e-07 1.1e-06 1.55e-06 1.05e-06 1.55e-06 1.1e-06 1.5e-06 1.1e-06 1.25e-06 1.2e-06 1e-06 1.25e-06 1.15e-06 1.1e-06 1e-06 1.35e-06 1.15e-06 1.45e-06 1.4e-06 9.5e-07 1.15e-06 1.15e-06 7e-07 1.3e-06
13 7.5e-07 1.65e-06 9e-07 1e-06 9.5e-07 1.1e-06 1.15e-06 1.35e-06 6.5e-07 8e-07 9e-07 1.3e-06 1.1e-06 9e-07 1.05e-06 1.2e-06 8e-07 1.2e-06 1.2e-06 1.35e-06 6.5e-07 8e-07 9.5e-07 9e-07 1.05e-06 1.35e-06 1e-06 1e-06 9.5e-07 1.3e-06 1.55e-06 1.35e-06 1.3e-06 1.35e-06 1.15e-06 8.5e-07 1.15e-06 1e-06 1.4e-06 7e-07 9.5e-07 1e-06 1e-06 1.5e-06 1.2e-06 1.35e-06 1.4e-06 1.05e-06 9e-07 1.1e-06 1.15e-06 1.15e-06
14 8.5e-07 1.4e-06 1.05e-06 7.5e-07 1.2e-06 1.4e-06 1.2e-06 1.6e-06 8e-07 9e-07 1.05e-06 9e-07 1.15e-06 1.05e-06 1e-06 1.35e-06 1.3e-06 9.5e-07 1.5e-06 1.65e-06 8.5e-07 8.5e-07 1.2e-06 1.05e-06 8.5e-07 1.2e-06 1e-06 9.5e-07 9.5e-07 1.5e-06 1.35e-06 1.25e-06 1.3e-06 9e-07 1.55e-06 8e-07 8.5e-07 7.5e-07 1.65e-06 1.1e-06 1.25e-06 9.5e-07 1.45e-06 1.3e-06 1.05e-06 1.2e-06 1.85e-06 1.15e-06 1.05e-06 1.45e-06 1.2e-06 1.35e-06
15 1.25e-06 1.4e-06 1.5e-06 1.3e-06 1e-06 1.05e-06 8e-07 7.5e-07 9.5e-07 1.5e-06 1.1e-06 1.45e-06 8.5e-07 1.2e-06 1.35e-06 1.3e-06 1.2e-06 1.3e-06 1e-06 1.2e-06 1.2e-06 8.5e-07 7e-07 1.5e-06 1.3e-06 1.35e-06 1.65e-06 1.6e-06 1.1e-06 1.05e-06 1.5e-06 1.2e-06 1.45e-06 1.35e-06 1.45e-06 1.15e-06 1.45e-06 1.3e-06 9e-07 1.25e-06 1.1e-06 1.15e-06 1.05e-06 1.35e-06 1.3e-06 1.4e-06 1.3e-06 1.05e-06 1.3e-06 1.05e-06 9e-07 1e-06
16 9.5e-07 1.65e-06 1.1e-06 1.25e-06 9.5e-07 9e-07 1.3e-06 1.4e-06 1e-06 1e-06 1.05e-06 1.5e-06 1.25e-06 8e-07 1.3e-06 1.2e-06 1.2e-06 1.3e-06 1.1e-06 1.2e-06 9e-07 1.05e-06 1e-06 1.1e-06 1.25e-06 1.35e-06 1.25e-06 1.2e-06 1.2e-06 1.45e-06 1.55e-06 1.5e-06 1.25e-06 1.6e-06 1.1e-06 1.1e-06 1.4e-06 1.25e-06 1.3e-06 8.5e-07 9e-07 1.25e-06 1.1e-06 1.5e-06 1.4e-06 1.35e-06 1.3e-06 1.2e-06 1.05e-06 8.5e-07 1.3e-06 9.5e-07
17 1.15e-06 1.5e-06 1.25e-06 1.05e-06 1.2e-06 1.2e-06 1.35e-06 1.65e-06 1e-06 1.2e-06 1.2e-06 1.25e-06 1.35e-06 1.2e-06 9.5e-07 1.3e-06 1.3e-06 1.7e-06 1.45e-06 1.6e-06 1.1e-06 1.05e-06 1.15e-06 1.25e-06 1.1e-06 1.3e-06 1.15e-06 1.1e-06 1.25e-06 1.6e-06 1.45e-06 1.5e-06 1.35e-06 1.25e-06 1.6e-06 1e-06 1.2e-06 8.5e-07 1.6e-06 1.25e-06 1.25e-06 1.15e-06 1.55e-06 1.45e-06 1.35e-06 1.3e-06 1.8e-06 1.35e-06 1.2e-06 1.4e-06 1.4e-06 1.2e-06
18 1.35e-06 1.5e-06 1.55e-06 1.4e-06 8.5e-07 7.5e-07 1.15e-06 1e-06 1.1e-06 1.5e-06 1.25e-06 1.7e-06 1.1e-06 1.2e-06 1.5e-06 1e-06 1.1e-06 1.45e-06 1.4e-06 9.5e-07 1.25e-06 1e-06 7.5e-07 1.55e-06 1.5e-06 1.3e-06 1.75e-06 1.7e-06 1.15e-06 1.2e-06 1.45e-06 1.45e-06 1.2e-06 1.65e-06 1.05e-06 1.25e-06 1.55e-06 1.45e-06 9.5e-07 1.3e-06 8e-07 1.25e-06 1.25e-06 1.4e-06 1.25e-06 1.35e-06 1.15e-06 1.15e-06 1.35e-06 8.5e-07 1.15e-06 8e-07
19 1.5e-06 1.75e-06 1.7e-06 1.55e-06 1e-06 9e-07 1.35e-06 1.3e-06 1.25e-06 1.65e-06 1.4e-06 1.9e-06 1.3e-06 1.35e-06 1.65e-06 1.2e-06 1.2e-06 1.6e-06 9.5e-07 1.7e-06 1.4e-06 1.25e-06 1e-06 1.7e-06 1.65e-06 1.45e-06 1.9e-06 1.85e-06 1.4e-06 1.45e-06 1.7e-06 1.65e-06 1.35e-06 1.9e-06 1.2e-06 1.4e-06 1.7e-06 1.6e-06 1.15e-06 1.45e-06 9.5e-07 1.5e-06 1.45e-06 1.65e-06 1.5e-06 1.5e-06 1.4e-06 1.1e-06 1.5e-06 9.5e-07 1.35e-06 9.5e-07
20 7e-07 1.55e-06 9e-07 8e-07 9.5e-07 1.15e-06 1.1e-06 1.35e-06 7e-07 7.5e-07 1e-06 1.1e-06 9.5e-07 6.5e-07 8.5e-07 1.2e-06 9e-07 1.1e-06 1.25e-06 1.4e-06 9e-07 7.5e-07 9.5e-07 9e-07 1e-06 1.25e-06 1e-06 9.5e-07 8e-07 1.35e-06 1.45e-06 1.25e-06 1.3e-06 1.1e-06 1.2e-06 8e-07 9.5e-07 9e-07 1.4e-06 8e-07 1e-06 9.5e-07 1.05e-06 1.35e-06 1.1e-06 1.25e-06 1.45e-06 1e-06 7.5e-07 1.2e-06 9.5e-07 1.2e-06
21 8e-07 1.3e-06 1.05e-06 8e-07 8e-07 1.05e-06 7.5e-07 9.5e-07 4.5e-07 1.05e-06 7e-07 1.15e-06 8e-07 8e-07 8.5e-07 8.5e-07 1.05e-06 1.05e-06 1e-06 1.25e-06 7.5e-07 7e-07 7e-07 1.05e-06 8.5e-07 1.1e-06 1.2e-06 1.15e-06 6.5e-07 1e-06 1.25e-06 1.15e-06 1.2e-06 1e-06 1.25e-06 7e-07 9.5e-07 8.5e-07 1.1e-06 8.5e-07 9e-07 7e-07 1.05e-06 1.1e-06 1.05e-06 1.15e-06 1.45e-06 9e-07 1e-06 1.1e-06 8.5e-07 1e-06
22 1.1e-06 1.4e-06 1.35e-06 1.15e-06 7.5e-07 8e-07 8.5e-07 7e-07 8e-07 1.25e-06 1.05e-06 1.4e-06 8e-07 9.5e-07 1.2e-06 7e-07 1e-06 1.15e-06 7.5e-07 1e-06 9.5e-07 7e-07 8e-07 1.35e-06 1.25e-06 1.2e-06 1.5e-06 1.45e-06 8.5e-07 1.05e-06 1.35e-06 1.15e-06 1.3e-06 1.35e-06 1.2e-06 1e-06 1.3e-06 1.15e-06 8.5e-07 1.1e-06 8.5e-07 1e-06 1e-06 1.2e-06 1.05e-06 1.25e-06 1.2e-06 8.5e-07 1.05e-06 8.5e-07 8.5e-07 8.5e-07
23 9e-07 1.65e-06 7e-07 8.5e-07 1.3e-06 1.45e-06 1.4e-06 1.75e-06 1e-06 8.5e-07 1.1e-06 1.25e-06 1.45e-06 9e-07 1.05e-06 1.5e-06 1.1e-06 1.25e-06 1.55e-06 1.7e-06 9e-07 1.05e-06 1.35e-06 1.3e-06 1e-06 1.35e-06 1e-06 9.5e-07 1.3e-06 1.55e-06 1.5e-06 1.5e-06 1.15e-06 1.35e-06 1.45e-06 7.5e-07 1e-06 1.05e-06 1.75e-06 9e-07 1.3e-06 9e-07 1.3e-06 1.65e-06 1.3e-06 1.35e-06 1.65e-06 1.45e-06 1.1e-06 1.45e-06 1.5e-06 1.4e-06
24 9e-07 1.55e-06 1e-06 8.5e-07 1.25e-06 1.4e-06 1.2e-06 1.65e-06 8e-07 1.05e-06 5.5e-07 1.25e-06 1.3e-06 1.05e-06 8.5e-07 1.3e-06 1.25e-06 1.1e-06 1.5e-06 1.65e-06 1e-06 8.5e-07 1.25e-06 1e-06 1.1e-06 1.25e-06 1.1e-06 1.05e-06 1.15e-06 1.25e-06 1.35e-06 1.45e-06 1.25e-06 1.15e-06 1.6e-06 8e-07 1e-06 9e-07 1.7e-06 8.5e-07 1.25e-06 9.5e-07 1.45e-06 1.4e-06 1.3e-06 1.2e-06 1.85e-06 1.3e-06 1.2e-06 1.4e-06 1.35e-06 1.25e-06
25 1.25e-06 1.3e-06 1.35e-06 1.15e-06 9.5e-07 1.2e-06 1.4e-06 1.6e-06 1.15e-06 1.35e-06 1.35e-06 1.4e-06 1.4e-06 1.35e-06 1.2e-06 1.35e-06 1.35e-06 1.3e-06 1.3e-06 1.45e-06 1.25e-06 1.1e-06 1.2e-06 1.35e-06 1.25e-06 1.8e-06 1.5e-06 1.45e-06 1.3e-06 1.55e-06 1.3e-06 1.55e-06 1.25e-06 1.4e-06 1.45e-06 1.1e-06 1.3e-06 1.25e-06 1.3e-06 1.4e-06 1.2e-06 1.15e-06 1.6e-06 1.35e-06 1.4e-06 1.05e-06 1.65e-06 1.4e-06 1.35e-06 1.35e-06 1.45e-06 1.15e-06
26 1e-06 1.7e-06 1e-06 1.1e-06 1.5e-06 1.65e-06 1.55e-06 1.9e-06 1.15e-06 9.5e-07 1.25e-06 1.2e-06 1.55e-06 1e-06 1e-06 1.65e-06 1.25e-06 1.15e-06 1.75e-06 1.9e-06 1e-06 1.2e-06 1.5e-06 1e-06 1.1e-06 1.5e-06 1.6e-06 8.5e-07 1.4e-06 1.75e-06 1.65e-06 1.6e-06 1.5e-06 1.3e-06 1.7e-06 1.05e-06 1.25e-06 9.5e-07 1.95e-06 1.05e-06 1.5e-06 1.2e-06 1.45e-06 1.75e-06 1.45e-06 1.5e-06 1.85e-06 1.55e-06 1.2e-06 1.65e-06 1.6e-06 1.6e-06
27 9.5e-07 1.65e-06 9.5e-07 1.05e-06 1.45e-06 1.6e-06 1.5e-06 1.85e-06 1.1e-06 9e-07 1.2e-06 1.15e-06 1.5e-06 1e-06 9.5e-07 1.6e-06 1.2e-06 1.1e-06 1.7e-06 1.85e-06 9.5e-07 1.15e-06 1.45e-06 9.5e-07 1.05e-06 1.45e-06 8.5e-07 1.5e-06 1.35e-06 1.7e-06 1.6e-06 1.55e-06 1.45e-06 1.25e-06 1.65e-06 1e-06 1.2e-06 9e-07 1.9e-06 1e-06 1.45e-06 1.15e-06 1.4e-06 1.7e-06 1.4e-06 1.45e-06 1.8e-06 1.5e-06 1.15e-06 1.6e-06 1.55e-06 1.55e-06
28 9.5e-07 1.5e-06 1.3e-06 9.5e-07 9.5e-07 1.2e-06 1e-06 1.1e-06 7.5e-07 1.05e-06 1.05e-06 1.2e-06 8.5e-07 9.5e-07 9.5e-07 1.1e-06 1.2e-06 1.25e-06 1.15e-06 1.4e-06 8e-07 6.5e-07 8.5e-07 1.3e-06 1.15e-06 1.3e-06 1.4e-06 1.35e-06 1e-06 1.25e-06 1.45e-06 1.15e-06 1.45e-06 1.1e-06 1.35e-06 9.5e-07 9.5e-07 1.05e-06 1.25e-06 1.1e-06 1.05e-06 9.5e-07 1.2e-06 1.1e-06 1e-06 1.35e-06 1.6e-06 1e-06 1.05e-06 1.25e-06 9e-07 1.25e-06
29 1.35e-06 1.6e-06 1.55e-06 1.4e-06 1.2e-06 1.35e-06 1.05e-06 1.05e-06 1.1e-06 1.6e-06 9e-07 1.65e-06 1.1e-06 1.3e-06 1.5e-06 1.05e-06 1.45e-06 1.6e-06 1.2e-06 1.45e-06 1.35e-06 1e-06 1.05e-06 1.55e-06 1.25e-06 1.55e-06 1.75e-06 1.7e-06 1.25e-06 1.8e-06 1.7e-06 1.45e-06 1.55e-06 1.5e-06 1.5e-06 1.25e-06 1.55e-06 1.45e-06 1.2e-06 1.2e-06 1.25e-06 1.25e-06 1.25e-06 1.65e-06 1.4e-06 1.6e-06 1.45e-06 1.3e-06 1.55e-06 1.2e-06 1.15e-06 1.3e-06
30 1.5e-06 1.5e-06 1.5e-06 1.3e-06 1.3e-06 1.4e-06 1.55e-06 1.7e-06 1.35e-06 1.5e-06 1.55e-06 1.45e-06 1.55e-06 1.55e-06 1.35e-06 1.5e-06 1.55e-06 1.45e-06 1.45e-06 1.7e-06 1.45e-06 1.25e-06 1.35e-06 1.5e-06 1.35e-06 1.3e-06 1.65e-06 1.6e-06 1.45e-06 1.7e-06 2.2e-06 1.65e-06 1.4e-06 1.5e-06 1.65e-06 1.25e-06 1.45e-06 1.4e-06 1.55e-06 1.6e-06 1.4e-06 1.25e-06 1.75e-06 1.45e-06 1.45e-06 1.25e-06 1.8e-06 1.65e-06 1.55e-06 1.55e-06 1.6e-06 1.35e-06
31 1.35e-06 1.6e-06 1.5e-06 1.3e-06 1.4e-06 1.6e-06 1.15e-06 1.1e-06 1.25e-06 1.2e-06 1.55e-06 1.15e-06 1.05e-06 1.35e-06 1.25e-06 1.2e-06 1.5e-06 1.5e-06 1.45e-06 1.65e-06 1.25e-06 1.15e-06 1.15e-06 1.5e-06 1.45e-06 1.55e-06 1.6e-06 1.55e-06 1.15e-06 1.45e-06 1.65e-06 2e-06 1.7e-06 1.3e-06 1.8e-06 1.25e-06 1.35e-06 1.35e-06 1.35e-06 1.5e-06 1.5e-06 1.25e-06 1.25e-06 1.55e-06 1.1e-06 1.6e-06 1.65e-06 1.3e-06 1.4e-06 1.5e-06 1.1e-06 1.65e-06
32 1.3e-06 1.55e-06 1.15e-06 1.05e-06 1.1e-06 1e-06 1.5e-06 1.8e-06 1.15e-06 1.35e-06 1.25e-06 1.6e-06 1.55e-06 1.3e-06 1.3e-06 1.45e-06 1.25e-06 1.35e-06 1.2e-06 1.35e-06 1.3e-06 1.2e-06 1.3e-06 1.15e-06 1.25e-06 1.25e-06 1.5e-06 1.45e-06 1.45e-06 1.55e-06 1.4e-06 1.7e-06 1.8e-06 1.6e-06 1.2e-06 9.5e-07 1.2e-06 1.3e-06 1.5e-06 1.3e-06 1e-06 1.1e-06 1.65e-06 1.55e-06 1.4e-06 1.25e-06 1.55e-06 1.55e-06 1.4e-06 1.2e-06 1.6e-06 9.5e-07
33 1.2e-06 1.35e-06 1.35e-06 1e-06 1.45e-06 1.7e-06 1.2e-06 1.45e-06 1.1e-06 1.25e-06 1.35e-06 9e-07 1.1e-06 1.35e-06 9e-07 1.35e-06 1.6e-06 1.25e-06 1.65e-06 1.9e-06 1.1e-06 1e-06 1.35e-06 1.35e-06 1.15e-06 1.4e-06 1.3e-06 1.25e-06 1.1e-06 1.5e-06 1.5e-06 1.3e-06 1.6e-06 1.6e-06 1.9e-06 1.1e-06 1.15e-06 1.05e-06 1.6e-06 1.4e-06 1.55e-06 1.1e-06 1.45e-06 1.45e-06 1.35e-06 1.45e-06 1.85e-06 1.45e-06 1.3e-06 1.75e-06 1.15e-06 1.65e-06
34 1.25e-06 1.75e-06 1.45e-06 1.45e-06 9.5e-07 8.5e-07 1.55e-06 1.7e-06 1.2e-06 1.4e-06 1.35e-06 1.95e-06 1.5e-06 1.15e-06 1.55e-06 1.45e-06 1.1e-06 1.6e-06 1.05e-06 1.2e-06 1.2e-06 1.25e-06 1.2e-06 1.45e-06 1.6e-06 1.45e-06 1.7e-06 1.65e-06 1.35e-06 1.5e-06 1.65e-06 1.8e-06 1.2e-06 1.9e-06 1.4e-06 1.3e-06 1.55e-06 1.55e-06 1.35e-06 1.25e-06 8.5e-07 1.45e-06 1.5e-06 1.65e-06 1.4e-06 1.45e-06 1.35e-06 1.45e-06 1.35e-06 1.05e-06 1.55e-06 9e-07
35 8.5e-07 1.4e-06 7.5e-07 6e-07 9.5e-07 1.15e-06 1.05e-06 1.4e-06 6.5e-07 9e-07 8.5e-07 1.1e-06 1.1e-06 8.5e-07 8e-07 1.15e-06 1.1e-06 1e-06 1.25e-06 1.4e-06 8e-07 7e-07 1e-06 7.5e-07 8e-07 1.1e-06 1.05e-06 1e-06 9.5e-07 1.25e-06 1.25e-06 1.25e-06 9.5e-07 1.1e-06 1.3e-06 1e-06 7.5e-07 8e-07 1.4e-06 9e-07 1e-06 6.5e-07 1.25e-06 1.3e-06 1.05e-06 1.1e-06 1.6e-06 1.1e-06 1e-06 1.2e-06 1.15e-06 1.1e-06
36 1e-06 1.6e-06 1e-06 7e-07 1.25e-06 1.45e-06 1.3e-06 1.7e-06 9e-07 1e-06 1.15e-06 1.2e-06 1.25e-06 1.15e-06 8.5e-07 1.45e-06 1.4e-06 1.2e-06 1.55e-06 1.7e-06 9.5e-07 9.5e-07 1.3e-06 1e-06 1e-06 1.3e-06 1.25e-06 1.2e-06 9.5e-07 1.55e-06 1.45e-06 1.35e-06 1.2e-06 1.15e-06 1.55e-06 7.5e-07 1.4e-06 1e-06 1.7e-06 1.2e-06 1.3e-06 9e-07 1.55e-06 1.3e-06 1.1e-06 1.3e-06 1.9e-06 1.35e-06 1.15e-06 1.5e-06 1.3e-06 1.4e-06
