 slim_762052980 slim_762052966 slim_762052929 slim_762052995 slim_762052975 slim_762052941 slim_762052959 slim_762052956 slim_762052996 slim_762052937 slim_762052931 slim_762052993 slim_762052926 slim_762052986 slim_762052962 slim_762052932 slim_762052979 slim_762052990 slim_762052930 slim_762052953 slim_762052928 slim_762052945 slim_762052984 slim_762052973 slim_762052981 slim_762052989 slim_762052961 slim_762052988 slim_762052951 slim_762052982 slim_762052940 slim_762052957 slim_762052923 slim_762052949 slim_762052972 slim_762052933 slim_762052927 slim_762052994 slim_762052970 slim_762052958 slim_762052950 slim_762052976 slim_762052963 slim_762052947 slim_762052925 slim_762052955 slim_762052977 slim_762052991 slim_762052938 slim_762052943 slim_762052954 slim_762052944 slim_762052952 slim_762052936 slim_762052948 slim_762052939 slim_762052983 slim_762052992 slim_762052968 slim_762052985 slim_762052969 slim_762052978 slim_762052974 slim_762052924 slim_762052964 slim_762052960 slim_762052967 slim_762052971 slim_762052946 slim_762052942 slim_762052965 slim_762052987 slim_762052935 slim_762052934
10 1.5e-06 1.65e-06 1.5e-06 1.4e-06 2.1e-06 1.65e-06 1.85e-06 1.55e-06 1.05e-06 1.9e-06 2.1e-06 1.6e-06 2.15e-06 1.45e-06 1.2e-06 1.4e-06 1.5e-06 2.15e-06 1.25e-06 2.1e-06 1.75e-06 1.3e-06 1.65e-06 1.85e-06 1.95e-06 1.8e-06 1.95e-06 1.75e-06 2e-06 1.3e-06 2.35e-06 2e-06 2.1e-06 1.05e-06 1.5e-06 1.6e-06 1.7e-06 1.4e-06 1.6e-06 1.65e-06 2e-06 1.55e-06 1.55e-06 2.35e-06 1.55e-06 1.5e-06 1.55e-06 1.5e-06 1.45e-06 1.9e-06 2.5e-06 1.3e-06 1.9e-06 2e-06 2.2e-06 1.9e-06 2e-06 1.85e-06 1.35e-06 1.7e-06 1.8e-06 1.5e-06 2.1e-06 1.1e-06 1.85e-06 1.7e-06 1.75e-06 1.55e-06 1.55e-06 1.65e-06 1.45e-06 1.7e-06 1.3e-06 1.4e-06
11 1.95e-06 1.65e-06 2.05e-06 1.75e-06 2.3e-06 2e-06 1.55e-06 2.1e-06 1.6e-06 1.9e-06 1.6e-06 2.7e-06 1.95e-06 1.65e-06 1.65e-06 1.55e-06 2.05e-06 2.05e-06 1.95e-06 2.4e-06 2e-06 1.8e-06 1.8e-06 1.9e-06 1.9e-06 1.8e-06 2.1e-06 1.65e-06 2.25e-06 1.9e-06 2.6e-06 2.45e-06 2e-06 1.75e-06 1.8e-06 2.15e-06 1.95e-06 1.6e-06 1.75e-06 1.65e-06 1.8e-06 1.4e-06 1.7e-06 2.55e-06 1.9e-06 2e-06 1.5e-06 1.5e-06 1.6e-06 2.05e-06 2.6e-06 1.65e-06 2e-06 2.4e-06 2.45e-06 2.1e-06 2.3e-06 1.4e-06 1.9e-06 1.55e-06 2.15e-06 2e-06 2.3e-06 1.6e-06 2.05e-06 1.85e-06 2.1e-06 1.55e-06 2.1e-06 2e-06 1.55e-06 1.65e-06 1.5e-06 1.65e-06
12 2.3e-06 1.85e-06 2.05e-06 2.35e-06 2.05e-06 2.15e-06 1.25e-06 2.1e-06 2.15e-06 1.45e-06 2.15e-06 1.95e-06 2.1e-06 1.85e-06 2e-06 2.1e-06 2.05e-06 1.25e-06 2.55e-06 1.45e-06 1.3e-06 2.45e-06 1.75e-06 1.45e-06 1.2e-06 2e-06 1.4e-06 1.85e-06 1.85e-06 2e-06 1.3e-06 1.6e-06 1.35e-06 2.35e-06 2.55e-06 2.15e-06 1.5e-06 1.65e-06 1.95e-06 1.5e-06 1.4e-06 1.1e-06 2.2e-06 1.5e-06 2.1e-06 2.65e-06 2.05e-06 2.05e-06 2.35e-06 1.85e-06 1.1e-06 2.25e-06 1.7e-06 1.45e-06 1.65e-06 1.4e-06 1.35e-06 1.15e-06 2.2e-06 1.2e-06 2.2e-06 2e-06 1.7e-06 2.15e-06 1.55e-06 1.8e-06 2.15e-06 1.55e-06 1.85e-06 1.7e-06 1.45e-06 1.85e-06 2.35e-06 1.85e-06
13 1.3e-06 1.2e-06 1.5e-06 1.6e-06 2.1e-06 1.8e-06 1.25e-06 1.55e-06 1.45e-06 1.7e-06 1.45e-06 1.65e-06 1.85e-06 8e-07 7.5e-07 1.45e-06 1.5e-06 2.05e-06 1.2e-06 2e-06 1.6e-06 1.05e-06 9.5e-07 1.65e-06 1.6e-06 1.35e-06 1.45e-06 1.3e-06 1.75e-06 1.25e-06 2.15e-06 1.95e-06 1.75e-06 1e-06 1.35e-06 1.6e-06 1.65e-06 1.45e-06 1.15e-06 1.1e-06 1.8e-06 1.25e-06 1.45e-06 2.3e-06 1.3e-06 1.25e-06 1.55e-06 1.55e-06 1.2e-06 1.6e-06 2.35e-06 1.5e-06 1.85e-06 2.05e-06 2.15e-06 1.55e-06 1.9e-06 1.4e-06 1e-06 1.1e-06 1.6e-06 1.45e-06 1.65e-06 1.55e-06 1.5e-06 1e-06 1.55e-06 1.1e-06 1.4e-06 1.9e-06 8e-07 1.25e-06 1.35e-06 1.1e-06
14 9.5e-07 1.35e-06 1.25e-06 1.55e-06 1.95e-06 1.7e-06 1.6e-06 1.3e-06 1.2e-06 1.8e-06 1.2e-06 1.65e-06 2e-06 7.5e-07 1.2e-06 1.45e-06 1.25e-06 2.05e-06 8e-07 2e-06 1.65e-06 8.5e-07 1e-06 1.75e-06 1.8e-06 1.5e-06 1.5e-06 1.45e-06 1.7e-06 1.05e-06 2.2e-06 1.9e-06 1.95e-06 6e-07 1.1e-06 1.35e-06 1.65e-06 1.6e-06 1.3e-06 1.3e-06 1.9e-06 1.45e-06 1.5e-06 2.25e-06 1.05e-06 1.05e-06 1.6e-06 1.55e-06 1.25e-06 1.6e-06 2.35e-06 1.45e-06 1.9e-06 1.9e-06 1.9e-06 1.75e-06 1.9e-06 1.7e-06 8.5e-07 1.45e-06 1.55e-06 1.25e-06 1.75e-06 1.25e-06 1.65e-06 1.05e-06 1.5e-06 1.2e-06 1.25e-06 1.95e-06 1e-06 1.4e-06 1.15e-06 1.15e-06
15 1.75e-06 1.55e-06 1.85e-06 1.5e-06 2.15e-06 1.75e-06 1.65e-06 1.9e-06 1.4e-06 1.9e-06 1.4e-06 1.55e-06 2.1e-06 1.45e-06 1.45e-06 2.5e-06 1.85e-06 2.25e-06 1.75e-06 2.3e-06 1.8e-06 1.55e-06 1.7e-06 1.85e-06 1.95e-06 1.7e-06 2e-06 1.65e-06 2.15e-06 1.7e-06 2.5e-06 2.25e-06 2.1e-06 1.55e-06 1.55e-06 1.95e-06 1.8e-06 1.4e-06 1.45e-06 1.65e-06 2e-06 1.45e-06 1.45e-06 2.5e-06 1.8e-06 1.75e-06 1.5e-06 1.4e-06 1.4e-06 2e-06 2.6e-06 1.4e-06 1.95e-06 2.3e-06 2.45e-06 1.85e-06 2.2e-06 1.65e-06 1.7e-06 1.5e-06 1.9e-06 1.8e-06 2.15e-06 1.4e-06 1.85e-06 1.75e-06 1.85e-06 1.45e-06 1.9e-06 1.8e-06 1.3e-06 1.6e-06 1.35e-06 1.4e-06
16 1.25e-06 1.85e-06 1.05e-06 1.95e-06 2.05e-06 1.9e-06 1.95e-06 1.1e-06 1.5e-06 1.55e-06 1.5e-06 2.05e-06 2.05e-06 1.5e-06 1.25e-06 1.85e-06 2.1e-06 2.05e-06 1.25e-06 1.6e-06 1.75e-06 1.4e-06 1.7e-06 1.5e-06 1.95e-06 2e-06 1.8e-06 1.95e-06 1.55e-06 1.1e-06 2.05e-06 1.45e-06 2.1e-06 1.05e-06 1.65e-06 1.25e-06 1.35e-06 1.85e-06 1.8e-06 1.75e-06 1.65e-06 1.75e-06 1.9e-06 1.7e-06 1.55e-06 1.6e-06 2e-06 1.95e-06 1.85e-06 1.9e-06 2.1e-06 1.85e-06 2.1e-06 1.8e-06 1.8e-06 1.9e-06 1.6e-06 2.05e-06 1.35e-06 1.8e-06 1.45e-06 1.05e-06 1.9e-06 1.55e-06 1.5e-06 1.75e-06 1.4e-06 1.7e-06 1.45e-06 2e-06 1.6e-06 1.9e-06 1.7e-06 1.6e-06
17 2.3e-06 2.05e-06 2.05e-06 2.5e-06 2.2e-06 2.3e-06 1.4e-06 2.1e-06 2.15e-06 1.6e-06 2.15e-06 2.05e-06 1.25e-06 2.05e-06 2.05e-06 2.25e-06 2.05e-06 2.5e-06 2.45e-06 1.6e-06 1.5e-06 2.5e-06 1.95e-06 1.6e-06 1.4e-06 2.2e-06 1.6e-06 2.05e-06 2e-06 2e-06 1.5e-06 1.7e-06 1.5e-06 2.25e-06 2.65e-06 2.15e-06 1.65e-06 1.8e-06 2.15e-06 1.7e-06 1.5e-06 1.3e-06 2.35e-06 1.65e-06 2.15e-06 2.7e-06 2.2e-06 2.2e-06 2.5e-06 2.05e-06 1.3e-06 2.4e-06 1.8e-06 1.5e-06 1.7e-06 1.6e-06 1.5e-06 1.3e-06 2.25e-06 1.4e-06 2.35e-06 2.05e-06 1.9e-06 2.15e-06 1.7e-06 2e-06 2.3e-06 1.7e-06 1.9e-06 1.85e-06 1.65e-06 2.05e-06 2.45e-06 2.05e-06
18 8e-07 1.7e-06 1.25e-06 1.85e-06 2.2e-06 1.9e-06 2.2e-06 1.3e-06 1.25e-06 2.3e-06 1.25e-06 1.95e-06 2.55e-06 1.2e-06 8e-07 1.75e-06 1.25e-06 2.45e-06 4e-07 2.4e-06 2.15e-06 7e-07 1.6e-06 2.25e-06 2.3e-06 1.85e-06 2.15e-06 1.8e-06 2.1e-06 1e-06 2.65e-06 2.25e-06 2.45e-06 2e-07 1.15e-06 1.3e-06 2.1e-06 2.15e-06 1.65e-06 1.65e-06 2.4e-06 2e-06 1.8e-06 2.7e-06 1.1e-06 8.5e-07 1.85e-06 1.85e-06 1.5e-06 1.9e-06 2.85e-06 1.75e-06 2.2e-06 2.1e-06 2e-06 2.25e-06 2.3e-06 2.3e-06 7e-07 2.05e-06 1.8e-06 1.3e-06 2.05e-06 1.35e-06 2.15e-06 1.65e-06 1.75e-06 1.8e-06 1.25e-06 2.35e-06 1.7e-06 1.75e-06 1.45e-06 1.45e-06
19 2.2e-06 2.2e-06 1.6e-06 2.35e-06 1.9e-06 1.9e-06 1.9e-06 1.65e-06 2.1e-06 1.5e-06 2.1e-06 2.4e-06 1.45e-06 2e-06 2e-06 2.3e-06 1.6e-06 1.6e-06 2.4e-06 1.8e-06 1.35e-06 2.35e-06 1.85e-06 1.45e-06 1.5e-06 2.35e-06 1.35e-06 2.3e-06 1.5e-06 1.6e-06 1.05e-06 1.05e-06 1.65e-06 2.2e-06 2.5e-06 1.8e-06 1.35e-06 1.85e-06 2.2e-06 1.85e-06 1.55e-06 1.75e-06 2.3e-06 1.1e-06 2.1e-06 2.55e-06 2.4e-06 2.35e-06 2.5e-06 1.8e-06 9e-07 2.25e-06 2.05e-06 1.2e-06 1.5e-06 1.5e-06 9.5e-07 2e-06 2.05e-06 1.75e-06 1.8e-06 1.55e-06 1.65e-06 2.15e-06 1.45e-06 1.9e-06 1.75e-06 1.9e-06 1.6e-06 1.65e-06 1.8e-06 2.25e-06 2.3e-06 2e-06
20 2.05e-06 1.75e-06 1.75e-06 2e-06 1.95e-06 1.7e-06 1.3e-06 1.8e-06 1.75e-06 1.45e-06 1.75e-06 2e-06 1.3e-06 1.6e-06 1.65e-06 1.8e-06 1.75e-06 1.5e-06 2.15e-06 1.35e-06 1.5e-06 2.1e-06 1.5e-06 1.4e-06 1.1e-06 1.9e-06 1.35e-06 1.85e-06 1.65e-06 1.6e-06 1.15e-06 1.25e-06 1.25e-06 1.95e-06 2.2e-06 1.85e-06 1.25e-06 1.35e-06 1.7e-06 1.4e-06 1.55e-06 1.05e-06 1.9e-06 1.55e-06 1.75e-06 2.3e-06 2e-06 1.9e-06 2.1e-06 1.6e-06 1.3e-06 1.9e-06 1.55e-06 1.05e-06 1.85e-06 1.05e-06 1.25e-06 1.35e-06 1.8e-06 1.15e-06 1.95e-06 1.7e-06 1.6e-06 1.7e-06 1.35e-06 1.55e-06 1.9e-06 1.4e-06 1.4e-06 1.25e-06 1.2e-06 1.8e-06 2.05e-06 1.5e-06
21 9.5e-07 1.3e-06 1.4e-06 1.4e-06 2.1e-06 1.7e-06 2.1e-06 1.45e-06 1.3e-06 2.25e-06 1.3e-06 1.8e-06 2.45e-06 1.05e-06 8.5e-07 1.55e-06 1.4e-06 2.5e-06 7e-07 2.35e-06 2.1e-06 1e-06 1.45e-06 2.2e-06 2.2e-06 1.45e-06 2e-06 1.4e-06 2.05e-06 1.15e-06 2.55e-06 2.25e-06 2.35e-06 5e-07 1.05e-06 1.5e-06 2.1e-06 2e-06 1.25e-06 1.6e-06 2.35e-06 1.95e-06 1.6e-06 2.65e-06 1.2e-06 7e-07 1.65e-06 1.65e-06 1.3e-06 1.55e-06 2.75e-06 1.3e-06 2e-06 2.2e-06 2.1e-06 2.15e-06 2.25e-06 2.2e-06 8.5e-07 1.95e-06 1.45e-06 1.4e-06 1.85e-06 1.4e-06 2.1e-06 1.5e-06 1.4e-06 1.7e-06 1.35e-06 2.25e-06 1.55e-06 1.35e-06 1.3e-06 1.1e-06
22 1.5e-06 1.55e-06 1.7e-06 1.8e-06 1.9e-06 1.75e-06 1.65e-06 1.75e-06 1.65e-06 1.85e-06 1.65e-06 1.8e-06 1.75e-06 9.5e-07 1e-06 1.7e-06 1.7e-06 1.95e-06 1.6e-06 1.85e-06 1.5e-06 1.45e-06 1.2e-06 1.8e-06 1.65e-06 1.7e-06 1.25e-06 1.65e-06 1.35e-06 1.55e-06 1.8e-06 1.85e-06 1.8e-06 1.4e-06 1.5e-06 1.8e-06 1.75e-06 1.7e-06 1.55e-06 1.25e-06 1.9e-06 1.5e-06 1.75e-06 2.05e-06 1e-06 1.65e-06 1.85e-06 1.75e-06 1.55e-06 1.55e-06 1.85e-06 1.7e-06 2.05e-06 1.8e-06 1.9e-06 1.65e-06 1.75e-06 1.7e-06 1.2e-06 1.5e-06 1.8e-06 1.65e-06 1.65e-06 1.65e-06 1.75e-06 6.5e-07 1.75e-06 1.25e-06 1.5e-06 1.9e-06 1.05e-06 1.6e-06 1.35e-06 1.4e-06
23 2e-06 1.7e-06 1.5e-06 2.1e-06 2.25e-06 2.2e-06 1.25e-06 1.55e-06 1.85e-06 1.05e-06 1.85e-06 1.9e-06 1.45e-06 1.65e-06 1.75e-06 1.85e-06 1.5e-06 1.6e-06 2.25e-06 1.45e-06 1.4e-06 2.2e-06 1.8e-06 1.9e-06 1.45e-06 1.85e-06 1.65e-06 1.8e-06 1.6e-06 1.6e-06 1.85e-06 1.4e-06 1.6e-06 2.05e-06 2.3e-06 1.7e-06 1.05e-06 1.45e-06 1.75e-06 1.55e-06 1.1e-06 1.05e-06 2e-06 1.5e-06 2.1e-06 2.4e-06 1.95e-06 1.85e-06 2.15e-06 2e-06 1.8e-06 2e-06 1.75e-06 1.8e-06 2.05e-06 1.5e-06 1.45e-06 1.15e-06 2.1e-06 1.1e-06 1.7e-06 1.45e-06 1.95e-06 1.85e-06 1.2e-06 1.85e-06 1.65e-06 1.3e-06 1.9e-06 1.75e-06 1.25e-06 1.75e-06 2.1e-06 1.65e-06
24 2.25e-06 1.7e-06 1.95e-06 2.15e-06 2.15e-06 1.9e-06 1.15e-06 2e-06 1.95e-06 1.45e-06 1.95e-06 1.9e-06 1.2e-06 1.6e-06 1.8e-06 1.95e-06 1.95e-06 1.4e-06 2.3e-06 1.5e-06 1.1e-06 2.2e-06 1.65e-06 1.45e-06 2e-06 1.85e-06 1.5e-06 1.7e-06 1.85e-06 1.75e-06 1.3e-06 1.45e-06 1.15e-06 2.1e-06 2.4e-06 2.05e-06 1.45e-06 1.5e-06 1.75e-06 1.35e-06 1.45e-06 1e-06 2.05e-06 1.7e-06 2e-06 2.4e-06 1.9e-06 1.95e-06 2.15e-06 1.65e-06 1.45e-06 2.05e-06 1.5e-06 1.2e-06 2e-06 1.15e-06 1.4e-06 1.1e-06 1.95e-06 1.1e-06 2.1e-06 1.9e-06 1.75e-06 2e-06 1.5e-06 1.7e-06 2.05e-06 1.45e-06 1.55e-06 1.45e-06 1.3e-06 1.7e-06 2.25e-06 1.65e-06
