 slim_762319758 slim_762319761 slim_762319772 slim_762319779 slim_762319792 slim_762319788 slim_762319764 slim_762319785 slim_762319780 slim_762319749 slim_762319783 slim_762319789 slim_762319756 slim_762319759 slim_762319768 slim_762319751 slim_762319776 slim_762319762 slim_762319763 slim_762319778 slim_762319765 slim_762319787 slim_762319791 slim_762319784 slim_762319767 slim_762319750 slim_762319790 slim_762319754 slim_762319773 slim_762319782 slim_762319757 slim_762319786 slim_762319771 slim_762319774 slim_762319769 slim_762319793 slim_762319770 slim_762319775 slim_762319760 slim_762319781 slim_762319777 slim_762319753 slim_762319752 slim_762319766 slim_762319755
10 2.35e-06 2.3e-06 2.55e-06 2.05e-06 2.25e-06 2.55e-06 2.5e-06 2.2e-06 2.2e-06 1.7e-06 2.1e-06 2.25e-06 2.1e-06 1.95e-06 2.15e-06 2.05e-06 1.65e-06 2.5e-06 2.15e-06 1.7e-06 3e-06 2.35e-06 2.1e-06 1.8e-06 1.7e-06 2.4e-06 2e-06 2.5e-06 2.5e-06 3.1e-06 2.2e-06 2.5e-06 2.35e-06 1.85e-06 1.55e-06 2e-06 1.95e-06 2.55e-06 2.1e-06 2.25e-06 2e-06 2.25e-06 2.25e-06 1.7e-06 2.1e-06
11 2.5e-06 2.75e-06 1.95e-06 1.75e-06 1.55e-06 1.9e-06 1.85e-06 1.45e-06 1.35e-06 1.75e-06 2.25e-06 2.6e-06 1.8e-06 1.6e-06 1.85e-06 1.7e-06 1.8e-06 1.95e-06 1.65e-06 1.6e-06 2.8e-06 1.5e-06 1.8e-06 1.95e-06 1.75e-06 1.7e-06 1.8e-06 1.75e-06 1.45e-06 2.65e-06 2.4e-06 2.1e-06 1.7e-06 2.1e-06 1.9e-06 1.85e-06 1.75e-06 1.75e-06 1.95e-06 2e-06 1.75e-06 1.75e-06 1.75e-06 1.75e-06 1.65e-06
12 2.6e-06 2.9e-06 1.5e-06 7.5e-07 1.15e-06 1.7e-06 1.75e-06 1.1e-06 1.25e-06 1.3e-06 2.1e-06 1.8e-06 1.5e-06 9.5e-07 1.45e-06 1.5e-06 9.5e-07 1.25e-06 8.5e-07 1.65e-06 2.85e-06 2.4e-06 8e-07 1.95e-06 1.35e-06 1.95e-06 1.4e-06 1.9e-06 1.5e-06 3.15e-06 2.1e-06 2.6e-06 1.8e-06 1.55e-06 1.8e-06 1.6e-06 1.4e-06 1.35e-06 1.35e-06 1.95e-06 8e-07 2.2e-06 1.1e-06 1.35e-06 1.55e-06
13 2.5e-06 2.8e-06 1.55e-06 9e-07 1e-06 1.85e-06 1.8e-06 9e-07 1.05e-06 1.25e-06 1.95e-06 1.6e-06 9.5e-07 1.3e-06 1.45e-06 1.25e-06 1.05e-06 1.35e-06 8e-07 1.25e-06 3e-06 2.35e-06 9.5e-07 1.55e-06 1.15e-06 1.95e-06 1.15e-06 2e-06 1.45e-06 3.35e-06 2.1e-06 2.8e-06 1.6e-06 1.5e-06 1.35e-06 1.55e-06 1.1e-06 1.25e-06 1.5e-06 2.15e-06 8.5e-07 2.2e-06 1.15e-06 1.15e-06 1.65e-06
14 2.65e-06 2.7e-06 1.85e-06 1.4e-06 1.65e-06 1.95e-06 1.85e-06 1.5e-06 1.7e-06 1.7e-06 2.15e-06 1.85e-06 1.45e-06 1.45e-06 2.4e-06 1.7e-06 1.45e-06 1.6e-06 1.3e-06 1.85e-06 2.85e-06 2.15e-06 1.45e-06 2.15e-06 1.55e-06 2e-06 1.65e-06 1.9e-06 1.6e-06 2.95e-06 2.35e-06 2.45e-06 1.95e-06 1.85e-06 1.95e-06 1.75e-06 1.55e-06 1.7e-06 1.7e-06 2.05e-06 1.4e-06 1.6e-06 1.6e-06 1.55e-06 1.8e-06
15 2.25e-06 2.6e-06 1.75e-06 1.45e-06 1.5e-06 2e-06 1.95e-06 1.4e-06 1.55e-06 1.7e-06 2.05e-06 1.7e-06 1.5e-06 1.25e-06 1.7e-06 2.4e-06 1.55e-06 1.85e-06 1.35e-06 1.5e-06 3.1e-06 2.1e-06 1.5e-06 1.4e-06 1.4e-06 2.05e-06 1.45e-06 2.1e-06 1.6e-06 3.05e-06 2.4e-06 2.55e-06 1.3e-06 1.95e-06 1.5e-06 1.75e-06 1.4e-06 1.45e-06 1.9e-06 2.2e-06 1.4e-06 2.05e-06 1.65e-06 1.4e-06 1.8e-06
16 2.2e-06 2.5e-06 1.5e-06 9e-07 1.25e-06 1.9e-06 1.85e-06 1.25e-06 1.25e-06 8.5e-07 1.65e-06 1.8e-06 9.5e-07 1.05e-06 1.45e-06 1.55e-06 9e-07 1.35e-06 1.15e-06 1.35e-06 2.5e-06 2.35e-06 9.5e-07 1.5e-06 1.4e-06 1.9e-06 1.5e-06 1.85e-06 1.9e-06 2.9e-06 1.6e-06 2.3e-06 1.85e-06 1.55e-06 1.35e-06 1.45e-06 1.45e-06 1.5e-06 1.15e-06 1.7e-06 8.5e-07 2.05e-06 1.25e-06 1.4e-06 1.45e-06
17 2.95e-06 3.25e-06 1.3e-06 1.2e-06 1.4e-06 1.95e-06 1.85e-06 1.3e-06 1.5e-06 1.5e-06 2.5e-06 1.95e-06 1.25e-06 1.35e-06 1.6e-06 1.85e-06 1.35e-06 2e-06 1.05e-06 2e-06 3e-06 2.5e-06 1.25e-06 2.4e-06 1.7e-06 2e-06 1.8e-06 1.65e-06 1.7e-06 3.15e-06 2.4e-06 2.65e-06 2e-06 1.8e-06 2.25e-06 1.45e-06 1.7e-06 1.45e-06 1.35e-06 2e-06 1.2e-06 2.3e-06 1.3e-06 1.7e-06 1.9e-06
18 2.7e-06 3e-06 1.35e-06 8e-07 1.05e-06 1.6e-06 1.5e-06 8.5e-07 1.25e-06 1.35e-06 2.15e-06 1.65e-06 8.5e-07 8e-07 1.3e-06 1.35e-06 1.15e-06 1.05e-06 8e-07 1.65e-06 2.9e-06 2.25e-06 8.5e-07 2e-06 1.2e-06 1.85e-06 1.3e-06 1.8e-06 1.25e-06 3.15e-06 2.2e-06 2.55e-06 1.65e-06 1.35e-06 1.85e-06 1.45e-06 1.2e-06 1.1e-06 1.15e-06 1.85e-06 7.5e-07 2.15e-06 1e-06 1.2e-06 1.75e-06
19 2.3e-06 2.5e-06 2e-06 1.6e-06 1.35e-06 2.3e-06 2.25e-06 1.3e-06 1.1e-06 1.3e-06 1.7e-06 1.6e-06 1.65e-06 1.25e-06 1.85e-06 1.5e-06 1.35e-06 2e-06 1.65e-06 1.5e-06 3.05e-06 2.2e-06 1.65e-06 1.2e-06 1.5e-06 2.1e-06 1.35e-06 2.25e-06 2.15e-06 3.15e-06 2.25e-06 2.6e-06 1.65e-06 2.05e-06 9e-07 1.5e-06 1.3e-06 1.95e-06 1.85e-06 2.2e-06 1.6e-06 2.2e-06 1.7e-06 1.5e-06 1.75e-06
20 2.7e-06 2.7e-06 3e-06 2.8e-06 3.05e-06 2.7e-06 2.55e-06 3.05e-06 3.05e-06 2.65e-06 3e-06 2.8e-06 2.85e-06 3e-06 2.85e-06 3.1e-06 2.5e-06 3e-06 2.9e-06 3.05e-06 4e-06 2.55e-06 2.85e-06 3.25e-06 3.05e-06 2.75e-06 3.15e-06 2.7e-06 2.85e-06 2.2e-06 2.45e-06 2.2e-06 3.1e-06 3.05e-06 3.15e-06 2.9e-06 3.1e-06 3.05e-06 2.4e-06 2.35e-06 2.8e-06 2.65e-06 2.9e-06 3.05e-06 2.6e-06
21 2.45e-06 2.6e-06 2.45e-06 2.35e-06 2.4e-06 1.8e-06 1.8e-06 2.3e-06 2.25e-06 2.25e-06 2.35e-06 1.5e-06 2.4e-06 2.35e-06 2.15e-06 2.1e-06 2.35e-06 2.5e-06 2.25e-06 2.2e-06 2.55e-06 1.4e-06 2.4e-06 2.4e-06 2.2e-06 1.6e-06 2.25e-06 1.65e-06 1.5e-06 2e-06 2.6e-06 1.25e-06 2.05e-06 2.5e-06 2.35e-06 2.15e-06 2.2e-06 2.35e-06 2.3e-06 1.75e-06 2.35e-06 1.4e-06 2.3e-06 2.2e-06 1.55e-06
22 2.6e-06 2.9e-06 1.5e-06 7.5e-07 1.1e-06 1.75e-06 1.75e-06 1.1e-06 1.25e-06 1.3e-06 2.1e-06 1.8e-06 8e-07 9.5e-07 1.45e-06 1.5e-06 9.5e-07 1.25e-06 8.5e-07 1.65e-06 2.85e-06 2.4e-06 1.5e-06 1.95e-06 1.35e-06 1.95e-06 1.35e-06 1.9e-06 1.5e-06 3.15e-06 2.1e-06 2.6e-06 1.8e-06 1.55e-06 1.8e-06 1.6e-06 1.4e-06 1.3e-06 1.35e-06 1.95e-06 8e-07 2.2e-06 1.05e-06 1.35e-06 1.55e-06
23 2.05e-06 2.5e-06 2.1e-06 1.9e-06 1.8e-06 2.55e-06 2.5e-06 1.75e-06 1.7e-06 1.6e-06 1.8e-06 1.95e-06 1.95e-06 1.55e-06 2.15e-06 1.4e-06 1.5e-06 2.4e-06 2e-06 1.2e-06 3.25e-06 2.4e-06 1.95e-06 1.4e-06 1.7e-06 2.4e-06 1.7e-06 2.55e-06 2.4e-06 3.3e-06 2.35e-06 2.75e-06 1.45e-06 2.3e-06 9e-07 1.85e-06 1.65e-06 2e-06 2.2e-06 2.45e-06 1.8e-06 2.4e-06 2.1e-06 1.7e-06 2e-06
24 2.55e-06 2.4e-06 1.85e-06 1.3e-06 1.45e-06 1.95e-06 1.9e-06 1.35e-06 1.55e-06 1.6e-06 1.7e-06 1.75e-06 1.35e-06 1.15e-06 1.55e-06 1.4e-06 1.4e-06 1.7e-06 1.2e-06 1.5e-06 3.05e-06 2.2e-06 1.35e-06 1.7e-06 2.1e-06 2.05e-06 1.35e-06 2.05e-06 1.55e-06 3.15e-06 2.35e-06 2.6e-06 1.7e-06 1.8e-06 1.5e-06 1.65e-06 1.3e-06 1.55e-06 1.75e-06 2.15e-06 1.25e-06 2e-06 1.55e-06 1.05e-06 1.8e-06
25 2.65e-06 2.9e-06 2.05e-06 1.9e-06 2e-06 2e-06 1.95e-06 1.9e-06 1.85e-06 1.7e-06 2.4e-06 1.7e-06 1.95e-06 1.95e-06 2e-06 2.05e-06 1.9e-06 2e-06 1.85e-06 2.1e-06 2.75e-06 1.6e-06 1.95e-06 2.4e-06 2.05e-06 2.9e-06 2.1e-06 1.75e-06 1.65e-06 2.6e-06 2.45e-06 2.05e-06 2e-06 2.2e-06 2.3e-06 1.95e-06 2.05e-06 2e-06 1.85e-06 1.95e-06 1.9e-06 1.85e-06 1.7e-06 2.05e-06 1.75e-06
26 2.6e-06 2.7e-06 1.95e-06 1.35e-06 1.45e-06 2e-06 2e-06 1.4e-06 1.55e-06 1.65e-06 2e-06 1.8e-06 1.4e-06 1.15e-06 1.65e-06 1.45e-06 1.5e-06 1.8e-06 1.3e-06 1.35e-06 3.15e-06 2.25e-06 1.35e-06 1.7e-06 1.35e-06 2.1e-06 2.3e-06 2.15e-06 1.6e-06 3.25e-06 2.45e-06 2.7e-06 1.75e-06 1.9e-06 1.35e-06 1.7e-06 1.2e-06 1.6e-06 1.85e-06 2.25e-06 1.35e-06 2.1e-06 1.5e-06 1.35e-06 1.85e-06
27 2.75e-06 2.95e-06 1.7e-06 1.85e-06 2e-06 1.9e-06 1.85e-06 1.95e-06 2e-06 1.9e-06 2.5e-06 1.75e-06 1.9e-06 2e-06 1.9e-06 2.1e-06 1.85e-06 1.65e-06 1.8e-06 2.25e-06 2.7e-06 1.65e-06 1.9e-06 2.55e-06 2.05e-06 1.75e-06 2.15e-06 2.8e-06 1.6e-06 2.45e-06 2.5e-06 1.9e-06 2.1e-06 2.25e-06 2.45e-06 1.7e-06 2.1e-06 1.9e-06 1.75e-06 1.8e-06 1.85e-06 1.75e-06 1.85e-06 2.05e-06 1.8e-06
28 2.75e-06 2.9e-06 1.85e-06 1.45e-06 1.65e-06 1.55e-06 1.55e-06 1.5e-06 1.75e-06 2.05e-06 2.5e-06 1.45e-06 1.5e-06 1.45e-06 1.6e-06 1.6e-06 1.9e-06 1.7e-06 1.25e-06 2.15e-06 2.85e-06 1.5e-06 1.5e-06 2.4e-06 1.55e-06 1.65e-06 1.6e-06 1.6e-06 1.7e-06 2.7e-06 2.55e-06 2.15e-06 1.75e-06 1.9e-06 2.3e-06 2e-06 1.6e-06 1.4e-06 1.9e-06 2e-06 1.45e-06 1.6e-06 1.55e-06 1.55e-06 1.7e-06
29 2.6e-06 2.4e-06 3e-06 3.1e-06 3.25e-06 2.5e-06 2.45e-06 3.3e-06 3.3e-06 3e-06 3.1e-06 2.65e-06 3.15e-06 3.35e-06 2.95e-06 3.05e-06 2.9e-06 3.15e-06 3.15e-06 3.15e-06 2.2e-06 2e-06 3.15e-06 3.3e-06 3.15e-06 2.6e-06 3.25e-06 2.45e-06 2.7e-06 2.7e-06 2.75e-06 1.55e-06 2.8e-06 3.35e-06 3.3e-06 2.8e-06 3.2e-06 3.1e-06 2.65e-06 2.05e-06 3.1e-06 2.35e-06 3.15e-06 3.15e-06 2.5e-06
30 1.95e-06 2.45e-06 2.4e-06 2.05e-06 2.3e-06 2.65e-06 2.6e-06 2.25e-06 2.2e-06 1.7e-06 2.2e-06 2.4e-06 2.1e-06 2.1e-06 2.35e-06 2.4e-06 1.6e-06 2.4e-06 2.2e-06 2.25e-06 2.45e-06 2.6e-06 2.1e-06 2.35e-06 2.35e-06 2.45e-06 2.45e-06 2.5e-06 2.55e-06 2.75e-06 2.8e-06 2.75e-06 2.55e-06 2.2e-06 2.25e-06 2.4e-06 2.4e-06 2.35e-06 2.1e-06 2.4e-06 2.05e-06 2.55e-06 2.2e-06 2.35e-06 2.2e-06
31 2.65e-06 2.8e-06 2.55e-06 2.55e-06 2.75e-06 1.5e-06 1.65e-06 2.8e-06 2.85e-06 2.45e-06 2.5e-06 2.1e-06 2.6e-06 2.8e-06 2.45e-06 2.55e-06 2.3e-06 2.65e-06 2.55e-06 2.6e-06 2.2e-06 1.25e-06 2.6e-06 2.75e-06 2.6e-06 2.05e-06 2.7e-06 1.9e-06 2.15e-06 1.55e-06 2.75e-06 1e-07 2.45e-06 2.8e-06 2.7e-06 2.25e-06 2.65e-06 2.65e-06 1.8e-06 1.15e-06 2.5e-06 1.8e-06 2.65e-06 2.6e-06 1.85e-06
32 2.15e-06 2.65e-06 1.5e-06 1.75e-06 1.65e-06 2.1e-06 2.05e-06 1.55e-06 1.65e-06 1.85e-06 2.35e-06 1.7e-06 1.8e-06 1.6e-06 1.95e-06 1.3e-06 1.85e-06 2e-06 1.65e-06 1.65e-06 3.1e-06 2.05e-06 1.8e-06 1.45e-06 1.7e-06 2e-06 1.75e-06 2.1e-06 1.75e-06 2.8e-06 2.55e-06 2.45e-06 1.4e-06 2.25e-06 1.75e-06 1.8e-06 1.7e-06 1.25e-06 2e-06 2.2e-06 1.75e-06 2.15e-06 1.75e-06 1.7e-06 1.9e-06
33 2.7e-06 3.1e-06 2.05e-06 1.5e-06 1.75e-06 2.2e-06 2.1e-06 1.6e-06 1.8e-06 1.65e-06 1.85e-06 2.1e-06 1.55e-06 1.5e-06 1.85e-06 1.95e-06 1.55e-06 1.8e-06 1.35e-06 2.05e-06 3.05e-06 2.5e-06 1.55e-06 2.3e-06 1.8e-06 2.2e-06 1.9e-06 2.25e-06 1.9e-06 3.35e-06 2.2e-06 2.8e-06 2.25e-06 2.7e-06 2.1e-06 2.05e-06 1.8e-06 1.85e-06 1.75e-06 2.25e-06 1.45e-06 2.4e-06 1.65e-06 1.8e-06 2.05e-06
34 2.2e-06 2.4e-06 2.2e-06 1.75e-06 1.7e-06 2.45e-06 2.4e-06 1.65e-06 1.6e-06 1.45e-06 1.55e-06 1.9e-06 1.8e-06 1.35e-06 1.95e-06 1.5e-06 1.35e-06 2.25e-06 1.85e-06 9e-07 3.15e-06 2.35e-06 1.8e-06 9e-07 1.5e-06 2.3e-06 1.35e-06 2.45e-06 2.3e-06 3.3e-06 2.25e-06 2.7e-06 1.75e-06 2.1e-06 1.1e-06 1.65e-06 1.3e-06 2.1e-06 2e-06 2.3e-06 1.65e-06 2.25e-06 1.95e-06 1.5e-06 1.9e-06
35 2.6e-06 2.75e-06 1.5e-06 1.55e-06 1.6e-06 2.05e-06 2e-06 1.55e-06 1.6e-06 1.4e-06 2e-06 1.85e-06 1.6e-06 1.55e-06 1.75e-06 1.75e-06 1.45e-06 1.45e-06 1.45e-06 1.5e-06 2.9e-06 2.15e-06 1.6e-06 1.85e-06 1.65e-06 1.95e-06 1.7e-06 1.7e-06 2e-06 2.8e-06 2.4e-06 2.25e-06 1.8e-06 2.05e-06 1.65e-06 2.2e-06 1.65e-06 1.8e-06 1.4e-06 1.8e-06 1.55e-06 2.1e-06 1.55e-06 1.65e-06 1.85e-06
36 2.55e-06 2.65e-06 1.9e-06 1.35e-06 1.45e-06 2e-06 1.9e-06 1.3e-06 1.5e-06 1.6e-06 1.95e-06 1.75e-06 1.4e-06 1.1e-06 1.55e-06 1.4e-06 1.45e-06 1.7e-06 1.2e-06 1.3e-06 3.1e-06 2.2e-06 1.4e-06 1.65e-06 1.3e-06 2.05e-06 1.2e-06 2.1e-06 1.6e-06 3.2e-06 2.4e-06 2.65e-06 1.7e-06 1.8e-06 1.3e-06 1.65e-06 2.2e-06 1.6e-06 1.8e-06 2.2e-06 1.3e-06 2.05e-06 1.55e-06 1.3e-06 1.8e-06
37 2.65e-06 3.1e-06 1.25e-06 1.3e-06 1.25e-06 1.85e-06 1.8e-06 1.25e-06 1.5e-06 1.65e-06 2.55e-06 1.75e-06 1.35e-06 1.25e-06 1.7e-06 1.45e-06 1.5e-06 1.45e-06 1.1e-06 1.95e-06 3.05e-06 2.35e-06 1.3e-06 2e-06 1.55e-06 2e-06 1.6e-06 1.9e-06 1.4e-06 3.1e-06 2.35e-06 2.65e-06 1.25e-06 1.85e-06 2.1e-06 1.8e-06 1.6e-06 1.2e-06 1.55e-06 2.05e-06 1.25e-06 2.25e-06 1.35e-06 1.55e-06 1.95e-06
38 2.65e-06 3e-06 1.45e-06 1.3e-06 1.55e-06 1.7e-06 1.65e-06 1.5e-06 1.65e-06 1.2e-06 2.1e-06 1.95e-06 1.35e-06 1.5e-06 1.7e-06 1.9e-06 1.15e-06 1.35e-06 1.15e-06 1.85e-06 2.4e-06 2.3e-06 1.35e-06 2.2e-06 1.75e-06 1.85e-06 1.85e-06 1.75e-06 1.9e-06 2.65e-06 2.1e-06 1.8e-06 2e-06 1.75e-06 2e-06 1.4e-06 1.8e-06 1.55e-06 1.1e-06 1.3e-06 1.25e-06 2.2e-06 1.3e-06 1.75e-06 1.9e-06
39 2.6e-06 2.85e-06 2e-06 1.9e-06 2.05e-06 1.7e-06 1.65e-06 2.15e-06 2.25e-06 1.85e-06 2.25e-06 2e-06 1.95e-06 2.15e-06 2.05e-06 2.2e-06 1.7e-06 2e-06 1.85e-06 2.2e-06 2.35e-06 1.75e-06 1.95e-06 2.45e-06 2.15e-06 1.95e-06 2.25e-06 1.8e-06 2e-06 2.05e-06 2.4e-06 1.15e-06 2.2e-06 2.25e-06 2.3e-06 1.8e-06 2.2e-06 2.05e-06 1.3e-06 1.9e-06 1.85e-06 1.95e-06 2e-06 2.15e-06 1.85e-06
40 2.55e-06 2.85e-06 1.45e-06 7.5e-07 1.1e-06 1.7e-06 1.65e-06 1.05e-06 1.25e-06 1.25e-06 2e-06 1.75e-06 8e-07 8.5e-07 1.4e-06 1.4e-06 8.5e-07 1.2e-06 7.5e-07 1.6e-06 2.8e-06 2.35e-06 8e-07 1.8e-06 1.25e-06 1.9e-06 1.35e-06 1.85e-06 1.45e-06 3.1e-06 2.05e-06 2.5e-06 1.75e-06 1.45e-06 1.65e-06 1.55e-06 1.3e-06 1.25e-06 1.25e-06 1.85e-06 1.3e-06 2.15e-06 1.1e-06 1.25e-06 1.55e-06
41 2.55e-06 2.5e-06 2.35e-06 2.15e-06 2.35e-06 2e-06 1.95e-06 2.25e-06 2.3e-06 2.2e-06 2.25e-06 1.75e-06 2.2e-06 2.2e-06 1.6e-06 2.05e-06 2.05e-06 2.3e-06 2.15e-06 2.2e-06 2.65e-06 1.4e-06 2.2e-06 2.4e-06 2e-06 1.85e-06 2.1e-06 1.75e-06 1.6e-06 2.35e-06 2.55e-06 1.8e-06 2.15e-06 2.4e-06 2.25e-06 2.1e-06 2.05e-06 2.25e-06 2.2e-06 1.95e-06 2.15e-06 2.2e-06 2.25e-06 2e-06 1.8e-06
