 slim_762112878 slim_762112910 slim_762112871 slim_762112888 slim_762112889 slim_762112915 slim_762112873 slim_762112899 slim_762112885 slim_762112931 slim_762112929 slim_762112905 slim_762112896 slim_762112913 slim_762112934 slim_762112880 slim_762112874 slim_762112916 slim_762112877 slim_762112927 slim_762112924 slim_762112886 slim_762112867 slim_762112939 slim_762112868 slim_762112917 slim_762112906 slim_762112922 slim_762112911 slim_762112930 slim_762112865 slim_762112901 slim_762112870 slim_762112898 slim_762112932 slim_762112904 slim_762112891 slim_762112890 slim_762112914 slim_762112926 slim_762112938 slim_762112935 slim_762112903 slim_762112933 slim_762112882 slim_762112908 slim_762112907 slim_762112920 slim_762112866 slim_762112872 slim_762112919 slim_762112883 slim_762112879 slim_762112918 slim_762112937 slim_762112902 slim_762112869 slim_762112863 slim_762112923 slim_762112884 slim_762112864 slim_762112921 slim_762112895 slim_762112875 slim_762112887 slim_762112909 slim_762112936 slim_762112893 slim_762112876 slim_762112912 slim_762112928 slim_762112892 slim_762112897 slim_762112925 slim_762112900 slim_762112881 slim_762112894
0 2.2e-06 2.05e-06 2.05e-06 1.75e-06 1.9e-06 1.55e-06 1.4e-06 2.25e-06 2.05e-06 2.05e-06 1.8e-06 1.95e-06 2.4e-06 1.8e-06 1.95e-06 2.05e-06 1.65e-06 1.4e-06 1.6e-06 1.8e-06 1.85e-06 1.65e-06 1.8e-06 1.45e-06 2e-06 1.7e-06 1.45e-06 1.75e-06 1.55e-06 1.95e-06 2.4e-06 1.35e-06 1.9e-06 2.35e-06 1.35e-06 2.35e-06 1.55e-06 2.15e-06 1.35e-06 1.7e-06 1.4e-06 1.85e-06 2.5e-06 1.55e-06 1.85e-06 1.3e-06 1.9e-06 1.3e-06 1.4e-06 1.85e-06 1.85e-06 1.9e-06 1.5e-06 1.75e-06 1.7e-06 1.7e-06 1.75e-06 1.85e-06 1.85e-06 1.7e-06 2.2e-06 1.55e-06 1.75e-06 1.5e-06 2e-06 1.4e-06 1.35e-06 1.9e-06 2.05e-06 1.6e-06 1.55e-06 2e-06 1.8e-06 1.8e-06 1.85e-06 1.85e-06 1.55e-06
1 2.05e-06 2.4e-06 1.9e-06 1.9e-06 2e-06 2.15e-06 2.25e-06 1.85e-06 1.9e-06 1.95e-06 1.85e-06 1.85e-06 1.35e-06 2.3e-06 1.85e-06 1.8e-06 1.9e-06 1.85e-06 1.9e-06 2.3e-06 2.4e-06 1.95e-06 1.7e-06 2.05e-06 2.35e-06 2e-06 1.9e-06 1.85e-06 1.5e-06 1.85e-06 1.4e-06 2.2e-06 2.1e-06 1.45e-06 2.25e-06 1.5e-06 2.45e-06 1.8e-06 1.95e-06 1.8e-06 2.05e-06 2.1e-06 1.3e-06 1.75e-06 1.8e-06 2e-06 2e-06 2.05e-06 2.1e-06 1.95e-06 1.85e-06 2.35e-06 2.1e-06 1.5e-06 1.6e-06 2.35e-06 1.4e-06 1.8e-06 1.85e-06 1.55e-06 1.4e-06 2.1e-06 1.5e-06 2.45e-06 1.85e-06 1.6e-06 1.4e-06 1.85e-06 1.95e-06 2.3e-06 1.95e-06 1.6e-06 1.75e-06 1.9e-06 2.35e-06 2.35e-06 1.9e-06
2 2.05e-06 1.9e-06 2.9e-06 1.55e-06 2.25e-06 1.8e-06 1.45e-06 2e-06 1.8e-06 1.9e-06 2.1e-06 1.75e-06 1.75e-06 2.45e-06 1.95e-06 2.05e-06 1.9e-06 1.8e-06 1.9e-06 2.25e-06 2.45e-06 1.95e-06 2e-06 1.6e-06 2.1e-06 1.7e-06 2.2e-06 2e-06 1.8e-06 2.05e-06 2e-06 1.75e-06 1.6e-06 2.1e-06 1.8e-06 1.55e-06 1.85e-06 2.05e-06 1.8e-06 2.05e-06 1.6e-06 1.95e-06 1.45e-06 1.85e-06 1.9e-06 1.65e-06 1.75e-06 1.6e-06 1.55e-06 1.55e-06 1.5e-06 1.75e-06 2.2e-06 1.75e-06 1.65e-06 1.6e-06 1.65e-06 2.1e-06 1.65e-06 1.7e-06 2.05e-06 2e-06 2e-06 2e-06 1.45e-06 1.8e-06 1.55e-06 1.5e-06 1.85e-06 1.85e-06 2.1e-06 1.8e-06 1.75e-06 1.85e-06 1.75e-06 1.7e-06 2.2e-06
3 1.75e-06 1.9e-06 1.55e-06 2e-06 2e-06 1.75e-06 1.15e-06 2.05e-06 1.85e-06 1.75e-06 2.25e-06 1.85e-06 2e-06 2.2e-06 1.65e-06 2.05e-06 1.7e-06 1.6e-06 1.65e-06 1.95e-06 2.3e-06 1.75e-06 1.9e-06 1.4e-06 2.05e-06 1.5e-06 1.9e-06 1.85e-06 1.6e-06 1.65e-06 1.9e-06 1.3e-06 1.2e-06 2.35e-06 1.45e-06 1.35e-06 1.65e-06 1.95e-06 1.45e-06 1.8e-06 1.45e-06 1.95e-06 1.7e-06 1.85e-06 1.55e-06 1.35e-06 1.35e-06 1.35e-06 1.35e-06 1.25e-06 1.35e-06 1.65e-06 2e-06 1.6e-06 1.3e-06 1.45e-06 1.45e-06 2.1e-06 1.3e-06 1.5e-06 2.1e-06 1.9e-06 2e-06 1.7e-06 1.5e-06 1.55e-06 1.3e-06 1.4e-06 1.9e-06 1.7e-06 1.95e-06 1.85e-06 1.65e-06 1.65e-06 1.55e-06 1.55e-06 2.05e-06
4 1.9e-06 2e-06 2.25e-06 2e-06 2.5e-06 2e-06 2e-06 2e-06 2.25e-06 1.55e-06 2.25e-06 2.15e-06 2.2e-06 1.75e-06 2.05e-06 1.95e-06 2.1e-06 1.95e-06 1.95e-06 1.8e-06 1.9e-06 1.65e-06 1.65e-06 2e-06 2.1e-06 1.7e-06 1.55e-06 1.6e-06 1.75e-06 1.75e-06 2.25e-06 1.9e-06 2.2e-06 2.2e-06 2e-06 2.2e-06 2.2e-06 1.9e-06 1.85e-06 1.25e-06 1.85e-06 2.15e-06 2.25e-06 1.95e-06 1.95e-06 1.85e-06 2.15e-06 1.9e-06 1.95e-06 2.1e-06 2.05e-06 1.95e-06 2e-06 1.85e-06 1.85e-06 2.25e-06 1.4e-06 2.15e-06 2.05e-06 1.8e-06 1.8e-06 2.05e-06 1.9e-06 2.2e-06 2.2e-06 1.75e-06 1.6e-06 2.1e-06 2.3e-06 2.1e-06 1.95e-06 2.1e-06 2e-06 1.6e-06 2e-06 2e-06 1.8e-06
5 1.55e-06 2.15e-06 1.8e-06 1.75e-06 2e-06 1.9e-06 9.5e-07 1.95e-06 2.1e-06 2.05e-06 1.8e-06 1.6e-06 2.3e-06 1.4e-06 1.8e-06 1.9e-06 1.55e-06 1.25e-06 1.85e-06 1.4e-06 1.55e-06 1.85e-06 1.85e-06 1.4e-06 1.6e-06 1.65e-06 1.45e-06 1.65e-06 1.75e-06 2.05e-06 2.45e-06 1.15e-06 1.8e-06 2.1e-06 1.25e-06 2.55e-06 1.3e-06 2e-06 1.25e-06 1.8e-06 1.35e-06 1.55e-06 2.55e-06 1.7e-06 1.75e-06 1.4e-06 1.95e-06 1.35e-06 1.3e-06 1.75e-06 1.8e-06 1.45e-06 1.45e-06 2e-06 2.1e-06 1.15e-06 2.1e-06 1.8e-06 2.1e-06 1.85e-06 2.25e-06 1.55e-06 1.7e-06 1.45e-06 1.75e-06 1.65e-06 1.8e-06 1.8e-06 2.15e-06 1e-06 1.4e-06 2.1e-06 1.5e-06 1.65e-06 1.45e-06 1.4e-06 1.4e-06
6 1.4e-06 2.25e-06 1.45e-06 1.15e-06 2e-06 9.5e-07 3e-07 1.95e-06 2e-06 1.75e-06 2.05e-06 1.4e-06 2.55e-06 1.8e-06 2e-06 2e-06 1.2e-06 1e-06 1.6e-06 1.5e-06 1.8e-06 1.6e-06 1.85e-06 8.5e-07 1.55e-06 1.15e-06 1.5e-06 1.8e-06 1.6e-06 2.05e-06 2.55e-06 6e-07 1.2e-06 2.5e-06 7e-07 2.4e-06 7.5e-07 1.85e-06 8e-07 1.8e-06 8e-07 1.7e-06 2.65e-06 1.6e-06 1.9e-06 8.5e-07 1.5e-06 7.5e-07 6.5e-07 1.25e-06 1.3e-06 9e-07 1.45e-06 1.85e-06 1.8e-06 5e-07 1.9e-06 1.85e-06 1.65e-06 1.9e-06 2.35e-06 1.5e-06 1.85e-06 9.5e-07 1.4e-06 1.45e-06 1.5e-06 1.35e-06 2.05e-06 9e-07 1.45e-06 2.1e-06 1.3e-06 1.55e-06 8.5e-07 8e-07 1.65e-06
7 2.25e-06 1.85e-06 2e-06 2.05e-06 2e-06 1.95e-06 1.95e-06 2.3e-06 2.1e-06 1.35e-06 2.2e-06 1.55e-06 1.55e-06 2.2e-06 2.1e-06 1.85e-06 1.95e-06 1.85e-06 2.1e-06 2.15e-06 2.2e-06 1.85e-06 1.75e-06 2.15e-06 1.55e-06 1.8e-06 2.05e-06 1.65e-06 2.1e-06 2.25e-06 1.95e-06 2e-06 2.2e-06 1.3e-06 2.05e-06 2.05e-06 2.2e-06 1.35e-06 1.95e-06 1.8e-06 2.2e-06 2.15e-06 1.85e-06 2.05e-06 2.05e-06 2.1e-06 2.2e-06 2.15e-06 2.1e-06 2.15e-06 2e-06 1.65e-06 2.05e-06 1.95e-06 2.25e-06 1.95e-06 1.65e-06 1.8e-06 2.3e-06 2e-06 1.55e-06 2.15e-06 1.55e-06 2.2e-06 1.95e-06 2.15e-06 2.15e-06 2e-06 2.15e-06 2e-06 2.05e-06 2e-06 1.55e-06 1.7e-06 1.6e-06 1.6e-06 1.95e-06
8 2.05e-06 1.9e-06 1.8e-06 1.85e-06 2.25e-06 2.1e-06 2e-06 2.1e-06 3e-06 2e-06 2.2e-06 2.05e-06 1.8e-06 2.45e-06 2e-06 2.2e-06 2.1e-06 2.05e-06 1.65e-06 2.25e-06 2.5e-06 1.7e-06 2.15e-06 2e-06 2.25e-06 2e-06 2.3e-06 2.05e-06 1.95e-06 2.05e-06 2.05e-06 1.85e-06 2e-06 2.15e-06 1.75e-06 1.65e-06 1.9e-06 2.15e-06 2.15e-06 2.05e-06 2e-06 2e-06 1.5e-06 2.1e-06 1.95e-06 1.95e-06 1.95e-06 2e-06 1.95e-06 1.9e-06 1.8e-06 2.1e-06 2.4e-06 1.9e-06 1.8e-06 2.1e-06 1.7e-06 1.85e-06 1.9e-06 1.75e-06 2.1e-06 2.2e-06 2.15e-06 1.9e-06 1.8e-06 2e-06 1.65e-06 1.8e-06 1.6e-06 2.2e-06 2.05e-06 1.95e-06 2e-06 1.9e-06 2.1e-06 2.1e-06 2.3e-06
9 2.05e-06 1.95e-06 1.9e-06 1.75e-06 1.55e-06 2.05e-06 1.75e-06 1.35e-06 2e-06 1.1e-06 2.4e-06 1.95e-06 2e-06 2.45e-06 2.1e-06 2.25e-06 2.05e-06 2e-06 1.85e-06 2.2e-06 2.45e-06 1.25e-06 1.45e-06 1.85e-06 1.45e-06 1.2e-06 2.2e-06 1.4e-06 1.9e-06 2.1e-06 2.15e-06 1.8e-06 1.9e-06 2.2e-06 1.85e-06 1.85e-06 2e-06 1.3e-06 1.95e-06 1.35e-06 1.85e-06 2.1e-06 1.85e-06 2.1e-06 2e-06 1.75e-06 1.9e-06 1.8e-06 1.75e-06 1.85e-06 1.75e-06 1.25e-06 2.25e-06 1.9e-06 1.8e-06 1.9e-06 1e-06 2.1e-06 1.85e-06 1.85e-06 1.45e-06 2.1e-06 2.1e-06 2e-06 1.85e-06 2e-06 1.6e-06 1.8e-06 2.05e-06 2.1e-06 2.15e-06 2.1e-06 1.9e-06 1.2e-06 1.2e-06 1.2e-06 2.3e-06
10 1.8e-06 1.85e-06 2.1e-06 2.25e-06 2.25e-06 1.8e-06 2.05e-06 2.2e-06 2.2e-06 2.4e-06 2.1e-06 1.85e-06 1.85e-06 2.05e-06 2.05e-06 1.9e-06 2.15e-06 1.45e-06 2.2e-06 2.15e-06 1.9e-06 2.2e-06 1.65e-06 1.75e-06 2.05e-06 2.15e-06 1.65e-06 1.95e-06 1.6e-06 2.25e-06 2.2e-06 2.15e-06 2.4e-06 1.8e-06 2.15e-06 2.25e-06 2.3e-06 2.35e-06 1.65e-06 2.05e-06 1.8e-06 1.5e-06 1.95e-06 1.3e-06 2e-06 1.75e-06 2.3e-06 1.8e-06 1.85e-06 2.25e-06 2.15e-06 2.4e-06 1.5e-06 1.7e-06 1.9e-06 1.95e-06 2e-06 2.05e-06 2.15e-06 1.7e-06 2.05e-06 1.5e-06 1.45e-06 2.3e-06 2.05e-06 1.4e-06 1.55e-06 2.15e-06 2.25e-06 1.95e-06 1.65e-06 1.7e-06 1.85e-06 2.05e-06 2.4e-06 2.4e-06 1.5e-06
11 1.95e-06 1.85e-06 1.75e-06 1.85e-06 2.15e-06 1.6e-06 1.4e-06 1.55e-06 2.05e-06 1.95e-06 1.85e-06 2.3e-06 1.6e-06 2.05e-06 2.1e-06 1.7e-06 1.65e-06 1.5e-06 2e-06 2e-06 1.9e-06 2e-06 1.85e-06 1.7e-06 1.7e-06 1.75e-06 1.75e-06 1.85e-06 1.9e-06 2.2e-06 2e-06 1.65e-06 1.95e-06 1.3e-06 1.7e-06 2.15e-06 1.8e-06 1.65e-06 1.5e-06 1.95e-06 1.7e-06 1.9e-06 1.95e-06 1.65e-06 2.05e-06 1.7e-06 2.05e-06 1.65e-06 1.6e-06 1.9e-06 1.7e-06 1.7e-06 1.6e-06 1.75e-06 2.1e-06 1.35e-06 1.9e-06 1.7e-06 2.1e-06 1.95e-06 1.8e-06 1.75e-06 1.35e-06 1.9e-06 1.7e-06 1.8e-06 1.95e-06 1.7e-06 2.1e-06 1.65e-06 1.8e-06 1.85e-06 1.3e-06 1.9e-06 1.65e-06 1.65e-06 1.7e-06
