 slim_762399333 slim_762399357 slim_762399335 slim_762399334 slim_762399353 slim_762399336 slim_762399341 slim_762399347 slim_762399356 slim_762399338 slim_762399344 slim_762399343 slim_762399346 slim_762399349 slim_762399351 slim_762399332 slim_762399331 slim_762399361 slim_762399339 slim_762399345 slim_762399360 slim_762399362 slim_762399358 slim_762399355 slim_762399328 slim_762399342 slim_762399348 slim_762399350 slim_762399340 slim_762399329 slim_762399359 slim_762399337 slim_762399352 slim_762399354 slim_762399330
16 1.3e-06 1.5e-06 1.3e-06 1.95e-06 1.95e-06 1.65e-06 1.8e-06 1.1e-06 1.4e-06 1.8e-06 1.35e-06 1.1e-06 1.35e-06 1.8e-06 1.4e-06 1.6e-06 2e-06 2.1e-06 1.6e-06 1.6e-06 1.45e-06 1.35e-06 1.65e-06 1.85e-06 2.2e-06 2e-06 2.05e-06 1.5e-06 1.5e-06 1.65e-06 1.9e-06 1.85e-06 1.3e-06 1.95e-06 1.4e-06
17 1.8e-06 1.75e-06 1.8e-06 1.45e-06 1.9e-06 1.7e-06 1.95e-06 1.85e-06 1.75e-06 2.45e-06 1.85e-06 1.9e-06 1.85e-06 2e-06 2e-06 1.95e-06 2.1e-06 2.2e-06 1.4e-06 1.55e-06 1.75e-06 1.65e-06 2e-06 1.55e-06 1.4e-06 1.7e-06 1.8e-06 2e-06 1.95e-06 1.6e-06 2.35e-06 1.6e-06 1.85e-06 1.9e-06 1.95e-06
18 1.4e-06 1.6e-06 1.55e-06 1.6e-06 1.75e-06 1.35e-06 1.7e-06 1.3e-06 1.3e-06 1.95e-06 1.6e-06 1.5e-06 1.6e-06 1.9e-06 1.6e-06 1.65e-06 1.6e-06 1.4e-06 2e-06 1.35e-06 1.55e-06 1.45e-06 1.7e-06 1.45e-06 1.6e-06 1.7e-06 1.8e-06 1.7e-06 1.7e-06 1.7e-06 1.95e-06 1.45e-06 1.55e-06 1.9e-06 1.65e-06
19 1.3e-06 7.5e-07 9e-07 1.6e-06 1.95e-06 1.55e-06 2.4e-06 1.2e-06 1.2e-06 1.75e-06 9e-07 1.05e-06 1e-06 2.2e-06 1.35e-06 1e-06 1.6e-06 1.55e-06 1.35e-06 1.2e-06 6.5e-07 6e-07 1.05e-06 1.15e-06 1.95e-06 1.8e-06 1.8e-06 1.55e-06 1.05e-06 1.65e-06 1.65e-06 1.4e-06 1.05e-06 1.8e-06 9.5e-07
20 1e-06 2e-07 5e-07 1.5e-06 2e-06 1.4e-06 2.35e-06 9.5e-07 1.05e-06 1.65e-06 4.5e-07 7e-07 6.5e-07 2.05e-06 1.3e-06 8e-07 1.45e-06 1.75e-06 1.55e-06 6.5e-07 1e-07 1e-07 8e-07 1.05e-06 1.85e-06 1.85e-06 1.8e-06 1.2e-06 8e-07 1.4e-06 1.4e-06 1.25e-06 6.5e-07 1.5e-06 5e-07
21 9.5e-07 2e-07 4e-07 1.4e-06 1.9e-06 1.3e-06 2.25e-06 8.5e-07 9.5e-07 1.55e-06 4e-07 6e-07 5.5e-07 1.95e-06 1.2e-06 7.5e-07 1.35e-06 1.65e-06 1.45e-06 6e-07 1e-07 1e-07 8e-07 1e-06 1.75e-06 1.75e-06 1.7e-06 1.1e-06 8e-07 1.35e-06 1.4e-06 1.15e-06 6e-07 1.45e-06 4.5e-07
22 1.45e-06 9e-07 9.5e-07 1.8e-06 1.7e-06 1.65e-06 2.45e-06 1.2e-06 1.3e-06 1.75e-06 9.5e-07 9.5e-07 1.05e-06 2.15e-06 1.05e-06 8.5e-07 1.65e-06 2e-06 1.7e-06 1.05e-06 8e-07 8e-07 1.6e-06 1.3e-06 2.15e-06 1.65e-06 1.65e-06 1.45e-06 1.1e-06 1.75e-06 1.75e-06 1.5e-06 1.1e-06 1.9e-06 1e-06
23 1.45e-06 1.15e-06 1.3e-06 1.4e-06 1.75e-06 1.4e-06 2.2e-06 1.6e-06 1.4e-06 2.15e-06 1.3e-06 1.4e-06 1.4e-06 2e-06 1.4e-06 1.25e-06 1.85e-06 1.55e-06 1.45e-06 1.15e-06 1.05e-06 1e-06 1.3e-06 1.6e-06 1.35e-06 1.6e-06 1.65e-06 1.55e-06 1.35e-06 1.65e-06 1.95e-06 9e-07 1.25e-06 1.8e-06 1.35e-06
24 1.8e-06 1.9e-06 2e-06 1.25e-06 1.75e-06 1.45e-06 1.85e-06 2.1e-06 1.8e-06 2.75e-06 2.05e-06 2.05e-06 2.1e-06 1.85e-06 2.05e-06 2.1e-06 2.2e-06 1.4e-06 1.6e-06 1.95e-06 1.85e-06 1.75e-06 2.15e-06 1.35e-06 1.4e-06 1.55e-06 1.75e-06 1.8e-06 2.2e-06 1.6e-06 2.5e-06 1.05e-06 1.85e-06 1.85e-06 2.1e-06
25 1.85e-06 1.9e-06 1.8e-06 1.65e-06 1.5e-06 1.75e-06 2e-06 1.75e-06 1.75e-06 2.35e-06 1.85e-06 1.7e-06 1.85e-06 1.95e-06 1.55e-06 1.65e-06 2e-06 1.7e-06 1.7e-06 1.8e-06 1.85e-06 1.75e-06 1.65e-06 1.6e-06 1.55e-06 2.8e-06 1.6e-06 1.8e-06 1.9e-06 1.75e-06 2.4e-06 1.65e-06 1.8e-06 2e-06 1.9e-06
26 1.85e-06 1.85e-06 1.8e-06 1.65e-06 1.65e-06 1.8e-06 1.95e-06 1.8e-06 1.75e-06 2.4e-06 1.85e-06 1.75e-06 1.9e-06 1.95e-06 1.6e-06 1.65e-06 2.05e-06 1.8e-06 1.8e-06 1.8e-06 1.8e-06 1.7e-06 1.65e-06 1.65e-06 1.75e-06 1.6e-06 2.9e-06 1.95e-06 1.95e-06 1.8e-06 2.4e-06 1.65e-06 1.8e-06 1.9e-06 1.9e-06
27 1.45e-06 1.25e-06 1e-06 1.95e-06 1.75e-06 1.55e-06 2.05e-06 1.1e-06 1.6e-06 1.7e-06 1.05e-06 6e-07 9.5e-07 1.65e-06 1.25e-06 1.4e-06 1.5e-06 2e-06 1.7e-06 1.55e-06 1.2e-06 1.1e-06 1.45e-06 1.55e-06 1.8e-06 1.8e-06 1.95e-06 1.1e-06 1.45e-06 1.6e-06 1.9e-06 1.6e-06 1.1e-06 1.75e-06 1.1e-06
28 1.45e-06 9e-07 9.5e-07 1.85e-06 2e-06 1.75e-06 2.45e-06 1.2e-06 1.4e-06 1.8e-06 9.5e-07 9.5e-07 1e-06 2.15e-06 1.3e-06 1.1e-06 1.5e-06 1.95e-06 1.7e-06 1.05e-06 8e-07 8e-07 1.1e-06 1.35e-06 2.2e-06 1.9e-06 1.95e-06 1.45e-06 1.4e-06 1.5e-06 1.8e-06 1.7e-06 1.1e-06 1.9e-06 1e-06
29 1.6e-06 1.45e-06 1.45e-06 1.5e-06 1.9e-06 1.7e-06 1.85e-06 1.5e-06 1.65e-06 2.2e-06 1.5e-06 1.4e-06 1.5e-06 1.75e-06 1.75e-06 1.75e-06 1.65e-06 1.6e-06 1.7e-06 1.65e-06 1.4e-06 1.35e-06 1.75e-06 1.65e-06 1.6e-06 1.75e-06 1.8e-06 1.6e-06 1.5e-06 2.4e-06 2.15e-06 1.7e-06 1.5e-06 1.7e-06 1.55e-06
30 1.65e-06 1.5e-06 1.55e-06 2.25e-06 2.45e-06 2.05e-06 2.2e-06 1.65e-06 1.8e-06 1.55e-06 1.55e-06 1.5e-06 1.65e-06 2.05e-06 1.75e-06 1.75e-06 1.9e-06 2.35e-06 1.95e-06 1.65e-06 1.4e-06 1.4e-06 1.75e-06 1.95e-06 2.5e-06 2.4e-06 2.4e-06 1.9e-06 1.8e-06 2.15e-06 2.8e-06 1.95e-06 1.5e-06 2e-06 1.6e-06
31 1.4e-06 1.3e-06 1.45e-06 1.2e-06 1.8e-06 1.2e-06 2.05e-06 1.75e-06 1.3e-06 2.25e-06 1.5e-06 1.55e-06 1.6e-06 1.9e-06 1.45e-06 1.45e-06 1.85e-06 1.6e-06 1.45e-06 1.4e-06 1.25e-06 1.15e-06 1.5e-06 9e-07 1.05e-06 1.65e-06 1.65e-06 1.6e-06 1.7e-06 1.7e-06 1.95e-06 8e-07 1.3e-06 1.85e-06 1.55e-06
32 1.05e-06 7.5e-07 7.5e-07 1.6e-06 1.85e-06 1.5e-06 2e-06 1.05e-06 1.25e-06 1.6e-06 7.5e-07 7e-07 8.5e-07 1.6e-06 1e-06 1.05e-06 1.3e-06 1.85e-06 1.55e-06 1.05e-06 6.5e-07 6e-07 1.1e-06 1.25e-06 1.85e-06 1.8e-06 1.8e-06 1.1e-06 1.1e-06 1.5e-06 1.5e-06 1.3e-06 1.2e-06 1.6e-06 8e-07
33 1.7e-06 1.6e-06 1.6e-06 1.75e-06 2.05e-06 1.85e-06 1.65e-06 1.65e-06 1.8e-06 2.05e-06 1.6e-06 1.55e-06 1.7e-06 1.6e-06 1.9e-06 1.85e-06 1.95e-06 1.9e-06 1.9e-06 1.8e-06 1.5e-06 1.45e-06 1.9e-06 1.8e-06 1.85e-06 2e-06 1.9e-06 1.75e-06 1.9e-06 1.7e-06 2e-06 1.85e-06 1.6e-06 2.9e-06 1.65e-06
34 1.2e-06 6e-07 6e-07 1.75e-06 1.95e-06 1.55e-06 2.3e-06 9e-07 1.2e-06 1.55e-06 6e-07 6e-07 7e-07 1.95e-06 1.2e-06 9.5e-07 1.4e-06 1.95e-06 1.65e-06 9.5e-07 5e-07 4.5e-07 1e-06 1.35e-06 2.1e-06 1.9e-06 1.9e-06 1.1e-06 1e-06 1.55e-06 1.6e-06 1.55e-06 8e-07 1.65e-06 9e-07
