 slim_762242190 slim_762242145 slim_762242187 slim_762242147 slim_762242136 slim_762242138 slim_762242157 slim_762242130 slim_762242177 slim_762242161 slim_762242192 slim_762242170 slim_762242140 slim_762242193 slim_762242194 slim_762242165 slim_762242148 slim_762242171 slim_762242172 slim_762242188 slim_762242185 slim_762242168 slim_762242141 slim_762242178 slim_762242155 slim_762242173 slim_762242181 slim_762242169 slim_762242179 slim_762242184 slim_762242143 slim_762242180 slim_762242137 slim_762242152 slim_762242176 slim_762242153 slim_762242166 slim_762242162 slim_762242159 slim_762242183 slim_762242158 slim_762242134 slim_762242197 slim_762242164 slim_762242151 slim_762242189 slim_762242186 slim_762242174 slim_762242131 slim_762242196 slim_762242149 slim_762242146 slim_762242195 slim_762242133 slim_762242182 slim_762242150 slim_762242156 slim_762242191 slim_762242132 slim_762242135 slim_762242129 slim_762242167 slim_762242199 slim_762242163 slim_762242144 slim_762242198 slim_762242139 slim_762242160 slim_762242128 slim_762242142 slim_762242175 slim_762242154
10 1.95e-06 2.45e-06 2e-06 2e-06 2.3e-06 2.15e-06 2.25e-06 2.5e-06 2.15e-06 1.65e-06 2.3e-06 1.55e-06 1.3e-06 2.25e-06 1.45e-06 2.6e-06 1.85e-06 1.3e-06 1.65e-06 1.9e-06 2.6e-06 2.35e-06 1.7e-06 1.75e-06 2.3e-06 1.4e-06 1.7e-06 1.8e-06 1.8e-06 1.85e-06 1.85e-06 1.75e-06 2.95e-06 2.3e-06 1.65e-06 2.8e-06 2.85e-06 2.3e-06 1.7e-06 1.85e-06 2.85e-06 1.65e-06 2.05e-06 2.05e-06 1.65e-06 1.7e-06 1.95e-06 2e-06 1.9e-06 2.1e-06 1.25e-06 2.1e-06 2.3e-06 2.15e-06 1.25e-06 1.4e-06 2.3e-06 2.4e-06 1.5e-06 2.3e-06 2.35e-06 1.8e-06 1.25e-06 2.25e-06 1.6e-06 2.2e-06 1.65e-06 1.9e-06 2.35e-06 1.85e-06 1.6e-06 1.85e-06
11 1.9e-06 2.25e-06 2.35e-06 1.8e-06 2.4e-06 2.1e-06 2.2e-06 2.65e-06 2.25e-06 1.45e-06 1.55e-06 1.5e-06 1e-06 2.35e-06 1.75e-06 2.65e-06 2e-06 1.5e-06 2.2e-06 2.25e-06 2.4e-06 2.5e-06 1.9e-06 2.3e-06 2.45e-06 1.35e-06 2.25e-06 1.8e-06 2.5e-06 1.8e-06 1.95e-06 1.65e-06 2.9e-06 2.45e-06 2.15e-06 3.1e-06 3.2e-06 2.25e-06 1.5e-06 1.8e-06 3e-06 1.6e-06 2e-06 2.2e-06 1.45e-06 1.5e-06 1.75e-06 1.9e-06 1.65e-06 1.95e-06 1.05e-06 2.05e-06 2.55e-06 1.95e-06 1.05e-06 1.75e-06 2.55e-06 2.45e-06 1.25e-06 2.1e-06 2.3e-06 1.7e-06 1e-06 2.1e-06 1.65e-06 2.3e-06 1.55e-06 1.85e-06 2.45e-06 1.95e-06 1.55e-06 1.6e-06
12 1.65e-06 2.5e-06 2.45e-06 1.45e-06 2.2e-06 2.2e-06 1.95e-06 2e-06 2.35e-06 8.5e-07 1.3e-06 1e-06 1e-07 2.3e-06 1.45e-06 2.55e-06 1.9e-06 1.25e-06 2.4e-06 2.2e-06 2.25e-06 1.85e-06 2.05e-06 2.3e-06 2.65e-06 6e-07 2.3e-06 1.05e-06 2.45e-06 1.3e-06 1.35e-06 1.25e-06 2.85e-06 1.8e-06 2.4e-06 2.9e-06 2.75e-06 1.75e-06 9e-07 1.3e-06 2.55e-06 1.25e-06 2.25e-06 1.65e-06 8.5e-07 9e-07 1.4e-06 1.95e-06 1.95e-06 1.45e-06 2.5e-07 2.3e-06 2.45e-06 1.95e-06 2.5e-07 1.5e-06 2.4e-06 2.15e-06 6e-07 1.95e-06 2e-06 1.25e-06 1.5e-07 1.8e-06 9.5e-07 2.25e-06 1.15e-06 1.35e-06 2.05e-06 1.35e-06 1.2e-06 1.15e-06
13 1.4e-06 2.15e-06 1.55e-06 2.25e-06 5e-07 6.5e-07 1.15e-06 2.7e-06 6.5e-07 1.85e-06 2.25e-06 2.35e-06 2.3e-06 9e-07 2.05e-06 2.45e-06 2.45e-06 2.3e-06 1.45e-06 1.7e-06 2.05e-06 2.55e-06 2.2e-06 2.1e-06 1.1e-06 1.8e-06 1.5e-06 1.75e-06 2e-06 1.35e-06 2.05e-06 1.5e-06 1.9e-06 2.5e-06 1.5e-06 1.7e-06 1.95e-06 1.55e-06 1.9e-06 1.35e-06 2.25e-06 1.35e-06 1.25e-06 1.85e-06 1.85e-06 1.9e-06 2.2e-06 1.2e-06 1.1e-06 1.55e-06 2.25e-06 1.25e-06 2.55e-06 1.35e-06 2.25e-06 2e-06 1.2e-06 2.5e-06 2e-06 1.25e-06 1.05e-06 1.5e-06 2.25e-06 2.2e-06 1.4e-06 4.5e-07 1.35e-06 1.4e-06 1.65e-06 2.05e-06 1.3e-06 1.6e-06
14 1.9e-06 2.4e-06 2.05e-06 2.1e-06 2.05e-06 2e-06 2.1e-06 2.6e-06 2e-06 1.8e-06 1.45e-06 1.75e-06 1.45e-06 2.05e-06 2.8e-06 2.65e-06 2.15e-06 1.55e-06 1.7e-06 1.8e-06 2.6e-06 2.45e-06 1.95e-06 1.9e-06 2.15e-06 1.45e-06 1.75e-06 1.85e-06 1.95e-06 1.85e-06 1.95e-06 1.75e-06 2.8e-06 2.4e-06 1.75e-06 2.65e-06 2.8e-06 2.3e-06 1.85e-06 1.85e-06 2.85e-06 1.65e-06 1.95e-06 2.05e-06 1.8e-06 1.85e-06 2.05e-06 2e-06 1.75e-06 2.15e-06 1.5e-06 1.95e-06 2.55e-06 2.15e-06 1.5e-06 1.4e-06 2.15e-06 2.5e-06 1.75e-06 2.25e-06 2.25e-06 1.75e-06 1.45e-06 2.25e-06 1.6e-06 2e-06 1.6e-06 1.9e-06 2.35e-06 1.95e-06 1.6e-06 1.85e-06
15 2.5e-06 2.35e-06 2.75e-06 2.4e-06 2.35e-06 2.25e-06 2.7e-06 2.25e-06 2.5e-06 2.5e-06 2.6e-06 2.65e-06 2.55e-06 2.45e-06 2.65e-06 3.6e-06 3.05e-06 2.6e-06 2.65e-06 2.7e-06 2.6e-06 2.15e-06 2.7e-06 2.7e-06 2.4e-06 2.25e-06 2.55e-06 2.5e-06 2.5e-06 2.5e-06 2.3e-06 2.55e-06 2.9e-06 2.1e-06 2.6e-06 2.1e-06 1.9e-06 2.45e-06 2.55e-06 2.5e-06 2.25e-06 2.45e-06 2.35e-06 2.35e-06 2.5e-06 2.55e-06 2.35e-06 2.4e-06 2.55e-06 2.55e-06 2.5e-06 2.4e-06 2.85e-06 2.35e-06 2.5e-06 2.6e-06 2.3e-06 2.35e-06 2.55e-06 2.45e-06 2.6e-06 2.6e-06 2.5e-06 2.45e-06 2.25e-06 2.4e-06 2.45e-06 2.55e-06 2.45e-06 2.3e-06 2.4e-06 2.4e-06
16 2.35e-06 2.75e-06 2.25e-06 2.35e-06 2.5e-06 2.35e-06 2.35e-06 3e-06 2.35e-06 1.95e-06 1.85e-06 2e-06 1.9e-06 2.45e-06 2.15e-06 3.05e-06 3.3e-06 1.8e-06 2.15e-06 2.3e-06 2.55e-06 2.85e-06 2.1e-06 2.4e-06 2.35e-06 2.05e-06 2.2e-06 2.25e-06 2.25e-06 2.25e-06 2.3e-06 2.15e-06 3.2e-06 2.8e-06 2.1e-06 3.1e-06 3.15e-06 2.4e-06 2e-06 2.25e-06 3.05e-06 2.05e-06 2.4e-06 2.45e-06 1.95e-06 2e-06 2.3e-06 2.3e-06 2.3e-06 2.2e-06 1.85e-06 2.45e-06 2.7e-06 2.5e-06 1.85e-06 2.1e-06 2.55e-06 2.85e-06 1.75e-06 2.4e-06 2.45e-06 2.2e-06 1.85e-06 2.65e-06 2.05e-06 2.4e-06 2.05e-06 2.25e-06 2.4e-06 2.3e-06 2e-06 2.25e-06
17 1.95e-06 2.4e-06 1.95e-06 2e-06 2.35e-06 2.2e-06 2.3e-06 2.55e-06 2.2e-06 1.7e-06 1.3e-06 1.5e-06 1.25e-06 2.3e-06 1.55e-06 2.6e-06 1.8e-06 2.4e-06 1.8e-06 2.05e-06 2.6e-06 2.4e-06 1.65e-06 1.9e-06 2.25e-06 1.45e-06 1.85e-06 1.8e-06 1.95e-06 1.9e-06 1.9e-06 1.75e-06 2.95e-06 2.35e-06 1.75e-06 2.85e-06 2.9e-06 2.35e-06 1.75e-06 1.9e-06 2.9e-06 1.7e-06 2.05e-06 2.1e-06 1.7e-06 1.75e-06 1.95e-06 2e-06 1.95e-06 2.15e-06 1.3e-06 2.1e-06 2.3e-06 2.2e-06 1.3e-06 1.55e-06 2.35e-06 2.45e-06 1.55e-06 2.35e-06 2.4e-06 1.8e-06 1.25e-06 2.25e-06 1.65e-06 2.25e-06 1.65e-06 1.95e-06 2.4e-06 1.9e-06 1.65e-06 1.85e-06
18 1.85e-06 2.3e-06 1.65e-06 2.5e-06 1.6e-06 1.4e-06 1.85e-06 2.95e-06 1.25e-06 2.25e-06 1.65e-06 2.2e-06 2.4e-06 1.45e-06 1.7e-06 2.65e-06 2.15e-06 1.8e-06 2.1e-06 1.65e-06 2.6e-06 2.8e-06 1.8e-06 1.6e-06 1.45e-06 2.1e-06 1.3e-06 2.2e-06 1.6e-06 2.05e-06 2.3e-06 1.85e-06 2.6e-06 2.75e-06 1.15e-06 2.2e-06 2.55e-06 2.3e-06 2.3e-06 2.05e-06 2.8e-06 1.7e-06 1.5e-06 2.25e-06 2.25e-06 2.3e-06 2.45e-06 1.65e-06 1.4e-06 2.25e-06 2.35e-06 1.5e-06 2.45e-06 1.95e-06 2.35e-06 1.65e-06 1.7e-06 2.6e-06 2.3e-06 2.05e-06 2.05e-06 1.85e-06 2.35e-06 2.55e-06 1.9e-06 1.4e-06 1.7e-06 2.1e-06 2.25e-06 2.3e-06 1.65e-06 2.1e-06
19 1.75e-06 2.35e-06 2.05e-06 2.35e-06 1.7e-06 1.65e-06 1.65e-06 2.85e-06 1.65e-06 1.75e-06 1.9e-06 2.25e-06 2.2e-06 1.7e-06 1.8e-06 2.7e-06 2.3e-06 2.05e-06 1.65e-06 2.9e-06 2.15e-06 2.7e-06 2.2e-06 2e-06 1.8e-06 1.9e-06 1.7e-06 2e-06 1.85e-06 2e-06 2.15e-06 1.95e-06 2.6e-06 2.65e-06 1.7e-06 2.4e-06 2.55e-06 1.75e-06 1.8e-06 2e-06 2.4e-06 1.8e-06 1.8e-06 1.85e-06 1.75e-06 1.8e-06 2.3e-06 1.9e-06 1.6e-06 1.5e-06 2.15e-06 1.8e-06 2.65e-06 2.05e-06 2.15e-06 1.75e-06 1.85e-06 2.7e-06 2e-06 1.7e-06 1.7e-06 1.95e-06 2.15e-06 2.2e-06 1.8e-06 1.65e-06 1.8e-06 2e-06 1.75e-06 2.15e-06 1.75e-06 2.05e-06
20 1.95e-06 1.55e-06 2.7e-06 1.65e-06 1.95e-06 1.95e-06 1.9e-06 2.7e-06 2.1e-06 1.7e-06 2.6e-06 2.4e-06 2.25e-06 2.05e-06 2.6e-06 2.6e-06 2.55e-06 2.6e-06 2.6e-06 2.15e-06 2.2e-06 2.55e-06 2.8e-06 2.55e-06 2.1e-06 2.05e-06 2.5e-06 2.1e-06 2.45e-06 2.15e-06 2e-06 2.2e-06 2.35e-06 2.5e-06 2.55e-06 2.5e-06 2.2e-06 1.4e-06 1.75e-06 2.15e-06 2.15e-06 2.1e-06 1.95e-06 1.8e-06 1.7e-06 1.75e-06 1.6e-06 2.15e-06 2.05e-06 1.35e-06 2.2e-06 2e-06 2.9e-06 2.2e-06 2.2e-06 2.55e-06 1.95e-06 2.7e-06 1.95e-06 1.7e-06 1.75e-06 2.25e-06 2.2e-06 1.5e-06 1.95e-06 2e-06 2.1e-06 2.15e-06 1.6e-06 2e-06 2.05e-06 2.15e-06
21 2.3e-06 2.55e-06 2.9e-06 2.1e-06 2.45e-06 2.45e-06 2.55e-06 1.85e-06 2.6e-06 2e-06 2.35e-06 2.5e-06 1.85e-06 2.55e-06 2.45e-06 2.15e-06 2.85e-06 2.4e-06 2.8e-06 2.7e-06 2.55e-06 3.4e-06 2.85e-06 2.65e-06 2.55e-06 1.8e-06 2.7e-06 2.1e-06 2.55e-06 2.2e-06 1.9e-06 2.25e-06 3.05e-06 1.7e-06 2.8e-06 2.15e-06 1.8e-06 2.15e-06 2e-06 2.15e-06 2.05e-06 2.1e-06 2.5e-06 2e-06 2e-06 2e-06 2.1e-06 2.55e-06 2.55e-06 2.2e-06 1.7e-06 2.55e-06 3e-06 2.55e-06 1.7e-06 2.4e-06 2.3e-06 2e-06 1.9e-06 2.45e-06 2.5e-06 2.3e-06 1.8e-06 2.25e-06 1.85e-06 2.5e-06 2.15e-06 2.2e-06 2.25e-06 1.9e-06 2.1e-06 2.2e-06
22 2.2e-06 2.55e-06 1.85e-06 2.4e-06 2.2e-06 2.05e-06 2.45e-06 3e-06 2.1e-06 2.2e-06 1.7e-06 1.9e-06 2.05e-06 2.2e-06 1.95e-06 2.7e-06 2.1e-06 1.65e-06 1.8e-06 2.2e-06 2.8e-06 2.85e-06 2.6e-06 2.1e-06 2.2e-06 1.95e-06 1.8e-06 2.25e-06 2.05e-06 2.2e-06 2.3e-06 2.1e-06 2.9e-06 2.8e-06 1.75e-06 2.9e-06 3.05e-06 2.65e-06 2.25e-06 2.2e-06 3.15e-06 2e-06 2.1e-06 2.45e-06 2.2e-06 2.25e-06 2.35e-06 1.65e-06 2.05e-06 2.5e-06 2e-06 2.15e-06 2.05e-06 1.8e-06 2e-06 1.9e-06 2.35e-06 2.8e-06 2.1e-06 2.4e-06 2.5e-06 2.15e-06 2e-06 2.6e-06 2.05e-06 2.15e-06 2e-06 2.25e-06 2.6e-06 2.3e-06 1.95e-06 2.15e-06
23 2.1e-06 2e-06 2.15e-06 2.3e-06 2.3e-06 2e-06 2.35e-06 2.8e-06 1.85e-06 2.3e-06 1.75e-06 2.3e-06 2.3e-06 2.1e-06 1.9e-06 2.7e-06 2.4e-06 1.9e-06 1.6e-06 2e-06 2.55e-06 2.65e-06 2.1e-06 2.7e-06 1.8e-06 2.1e-06 1.75e-06 2.3e-06 1.65e-06 2.35e-06 2.15e-06 2.1e-06 2.8e-06 2.6e-06 1.55e-06 2.45e-06 2.45e-06 2.25e-06 2.35e-06 2.35e-06 2.8e-06 2e-06 1.65e-06 2.15e-06 2.3e-06 2.35e-06 2.25e-06 2.1e-06 1.8e-06 2.4e-06 2.25e-06 1.7e-06 2.75e-06 2.4e-06 2.25e-06 1.85e-06 1.95e-06 2.55e-06 2.35e-06 2.45e-06 2.5e-06 2.15e-06 2.25e-06 2.35e-06 2.1e-06 2.05e-06 2e-06 2.4e-06 2.3e-06 2.15e-06 1.95e-06 2.35e-06
24 1.65e-06 1.75e-06 1.8e-06 2.3e-06 1.25e-06 1.05e-06 1.5e-06 2.7e-06 9e-07 2.2e-06 2.3e-06 2.45e-06 2.65e-06 1.1e-06 2.15e-06 2.4e-06 2.35e-06 2.25e-06 1.45e-06 1.8e-06 2.1e-06 2.55e-06 2.2e-06 1.8e-06 1.4e-06 2.2e-06 1.65e-06 2.2e-06 1.7e-06 2e-06 2.1e-06 1.8e-06 2.15e-06 2.5e-06 1.45e-06 1.65e-06 1.8e-06 1.7e-06 2.25e-06 2e-06 2.25e-06 1.65e-06 1.1e-06 1.85e-06 2.2e-06 2.25e-06 2.25e-06 1.5e-06 1.25e-06 1.9e-06 2.6e-06 1.1e-06 2.8e-06 1.85e-06 2.6e-06 2.1e-06 1.2e-06 2.35e-06 2.35e-06 1.7e-06 1.7e-06 1.8e-06 2.6e-06 2.25e-06 1.85e-06 1.05e-06 1.65e-06 2.05e-06 1.65e-06 2.1e-06 1.6e-06 2.05e-06
25 1.35e-06 2.2e-06 2.2e-06 1.45e-06 1.7e-06 1.7e-06 1.65e-06 1.95e-06 1.85e-06 9.5e-07 1.4e-06 1.35e-06 6e-07 1.8e-06 1.45e-06 2.25e-06 2.05e-06 1.45e-06 2.1e-06 1.9e-06 2.05e-06 1.8e-06 1.95e-06 2.1e-06 2.2e-06 9e-07 2e-06 1.1e-06 2.2e-06 1.15e-06 1.3e-06 1.25e-06 2.45e-06 1.75e-06 2.1e-06 2.45e-06 2.35e-06 1.55e-06 1e-06 1.2e-06 2.3e-06 1.15e-06 1.85e-06 1.4e-06 9.5e-07 1e-06 1.4e-06 1.6e-06 1.6e-06 1.35e-06 5.5e-07 1.9e-06 2.3e-06 1.6e-06 5.5e-07 1.4e-06 1.95e-06 2.1e-06 9e-07 1.65e-06 1.7e-06 1.3e-06 5e-07 1.6e-06 8.5e-07 1.75e-06 1.15e-06 1.25e-06 1.8e-06 1.3e-06 1.1e-06 1.2e-06
