 slim_762263120 slim_762263124 slim_762263113 slim_762263130 slim_762263126 slim_762263091 slim_762263098 slim_762263114 slim_762263087 slim_762263097 slim_762263118 slim_762263107 slim_762263115 slim_762263108 slim_762263110 slim_762263129 slim_762263111 slim_762263103 slim_762263096 slim_762263090 slim_762263088 slim_762263092 slim_762263094 slim_762263102 slim_762263093 slim_762263100 slim_762263123 slim_762263101 slim_762263105 slim_762263119 slim_762263104 slim_762263128 slim_762263117 slim_762263132 slim_762263121 slim_762263131 slim_762263089 slim_762263125 slim_762263116 slim_762263122 slim_762263109 slim_762263106 slim_762263095 slim_762263099 slim_762263127 slim_762263112
10 2.1e-06 1.9e-06 1.85e-06 1.8e-06 2.35e-06 2.4e-06 2.3e-06 1.4e-06 1.75e-06 1.75e-06 2.5e-06 2.1e-06 1.6e-06 1.45e-06 1.85e-06 2.3e-06 2.15e-06 1.95e-06 2.1e-06 1.75e-06 1.5e-06 1.95e-06 2.2e-06 2e-06 2.35e-06 1.85e-06 2.1e-06 1.95e-06 2.2e-06 1.9e-06 2.15e-06 2e-06 2.1e-06 2.1e-06 2.35e-06 1.35e-06 1.95e-06 1.85e-06 1.95e-06 1.6e-06 1.65e-06 1.9e-06 1.75e-06 1.9e-06 2.15e-06 2e-06
11 1.3e-06 1.15e-06 1.85e-06 1.9e-06 1.2e-06 2.2e-06 2e-06 2.95e-06 2.8e-06 2.85e-06 2.1e-06 1.4e-06 2.15e-06 2.8e-06 2.25e-06 1.65e-06 1.1e-06 2e-06 2.55e-06 3e-06 2.85e-06 2.9e-06 2.55e-06 2.8e-06 1.2e-06 2.65e-06 1.9e-06 1.95e-06 2.1e-06 1.8e-06 9e-07 2.85e-06 1.2e-06 1.45e-06 1.15e-06 2.75e-06 2.05e-06 2.15e-06 1.95e-06 1.45e-06 1.85e-06 1.75e-06 1.8e-06 1.9e-06 2.05e-06 1.8e-06
12 1.75e-06 1.7e-06 1.95e-06 1.85e-06 2e-06 2.25e-06 2.2e-06 1.6e-06 1.8e-06 1.95e-06 1.6e-06 2.15e-06 2.9e-06 1.65e-06 1.8e-06 2.35e-06 2.25e-06 2.05e-06 2.25e-06 1.9e-06 1.7e-06 2.1e-06 2.4e-06 2.3e-06 2.15e-06 2.15e-06 2.1e-06 1.95e-06 2.05e-06 2e-06 2e-06 2.05e-06 1.85e-06 1.95e-06 2.15e-06 1.65e-06 1.8e-06 1.95e-06 2e-06 1.6e-06 1.65e-06 2e-06 1.85e-06 1.95e-06 2e-06 2.1e-06
13 2.7e-06 2.5e-06 1.95e-06 1.8e-06 2.95e-06 2.3e-06 2.2e-06 9e-07 9e-07 1.25e-06 1.45e-06 2.8e-06 1.65e-06 1.5e-06 1.85e-06 2.25e-06 2.85e-06 1.95e-06 1.45e-06 1.1e-06 8e-07 1.4e-06 1.3e-06 1.25e-06 2.95e-06 1.45e-06 2.3e-06 1.8e-06 2.1e-06 1.9e-06 2.8e-06 1.5e-06 2.7e-06 2.45e-06 2.95e-06 8e-07 2e-06 1.75e-06 2e-06 2.35e-06 1.7e-06 1.8e-06 1.75e-06 1.95e-06 2.05e-06 1.95e-06
14 1.6e-06 1.6e-06 2.3e-06 2.15e-06 1.85e-06 2e-06 1.95e-06 2.45e-06 1.4e-06 2.75e-06 1.85e-06 2.25e-06 1.8e-06 1.85e-06 2.6e-06 2e-06 2e-06 1.55e-06 2.35e-06 2e-06 1.9e-06 1.65e-06 1.95e-06 1.65e-06 2e-06 2.25e-06 2.35e-06 1.65e-06 1.8e-06 1.65e-06 2.1e-06 2.2e-06 1.95e-06 1.8e-06 2e-06 1.8e-06 2.1e-06 1.6e-06 2.35e-06 1.35e-06 2e-06 1.7e-06 1.5e-06 2.3e-06 1.75e-06 1.95e-06
15 1.8e-06 1.65e-06 2.05e-06 2e-06 1.7e-06 1.95e-06 1.7e-06 2.85e-06 1.8e-06 2.75e-06 2.3e-06 1.65e-06 2.35e-06 2.25e-06 2e-06 2.4e-06 1.6e-06 1.75e-06 1.85e-06 2.3e-06 2.3e-06 2.1e-06 1.55e-06 1.8e-06 1.7e-06 2.3e-06 2.25e-06 1.7e-06 1.85e-06 1.6e-06 1.8e-06 2.45e-06 2.05e-06 1.65e-06 1.65e-06 2.25e-06 2.25e-06 1.85e-06 2.1e-06 1.95e-06 2.05e-06 1.55e-06 1.6e-06 2.05e-06 1.8e-06 1.8e-06
16 1.05e-06 9.5e-07 2.1e-06 2.1e-06 9.5e-07 1.95e-06 1.85e-06 3.35e-06 2.5e-06 3.25e-06 2.15e-06 1.1e-06 2.25e-06 2.85e-06 2e-06 1.6e-06 1.4e-06 1.75e-06 2.65e-06 3.1e-06 2.9e-06 2.6e-06 2.25e-06 2.5e-06 9.5e-07 2.7e-06 2e-06 1.65e-06 1.8e-06 1.55e-06 1.1e-06 2.9e-06 1.35e-06 1.35e-06 9.5e-07 2.8e-06 2.15e-06 1.9e-06 2.15e-06 1.2e-06 1.95e-06 1.7e-06 1.55e-06 2.1e-06 1.75e-06 2e-06
17 1.7e-06 1.45e-06 2.25e-06 2.05e-06 1.65e-06 1.95e-06 1.9e-06 2.55e-06 1.5e-06 2.65e-06 1.95e-06 2e-06 2.05e-06 1.95e-06 1.55e-06 1.75e-06 1.75e-06 2.8e-06 2.05e-06 2.1e-06 2e-06 1.75e-06 1.65e-06 1.55e-06 1.65e-06 2.15e-06 2.2e-06 1.6e-06 1.7e-06 1.6e-06 1.95e-06 2.25e-06 2.05e-06 1.65e-06 1.65e-06 1.9e-06 2.15e-06 1.6e-06 2.3e-06 1.6e-06 1.9e-06 1.6e-06 1.4e-06 2.25e-06 1.65e-06 1.9e-06
18 2.9e-06 2.65e-06 2.15e-06 1.9e-06 2.65e-06 2.45e-06 2.3e-06 1.6e-06 1.5e-06 1.35e-06 2.1e-06 2.55e-06 2.25e-06 1.45e-06 2.35e-06 1.85e-06 2.65e-06 2.05e-06 1.9e-06 1.6e-06 1.45e-06 1.95e-06 1.1e-06 1.4e-06 2.65e-06 1.6e-06 2.35e-06 2.1e-06 2.2e-06 2.1e-06 2.6e-06 1.95e-06 2.9e-06 2.5e-06 2.65e-06 1.45e-06 2e-06 2.1e-06 2.2e-06 2.9e-06 1.9e-06 1.95e-06 1.9e-06 2.15e-06 2.15e-06 2.05e-06
19 2.9e-06 2.7e-06 2.15e-06 2e-06 3.15e-06 2.5e-06 2.35e-06 1.05e-06 1.2e-06 1.4e-06 1.75e-06 3e-06 1.9e-06 1.1e-06 2e-06 2.3e-06 3.1e-06 2.1e-06 1.6e-06 2.1e-06 1.15e-06 1.65e-06 1.7e-06 1.5e-06 3.15e-06 1.75e-06 2.55e-06 2.1e-06 2.3e-06 2.15e-06 3.05e-06 1.75e-06 2.95e-06 2.6e-06 3.15e-06 1.1e-06 2.25e-06 2e-06 2.2e-06 2.6e-06 1.95e-06 2.05e-06 2e-06 2.15e-06 2.25e-06 2.05e-06
20 2.75e-06 2.55e-06 2e-06 1.85e-06 3e-06 2.35e-06 2.25e-06 9.5e-07 9.5e-07 1.25e-06 1.5e-06 2.85e-06 1.7e-06 8e-07 1.9e-06 2.3e-06 2.9e-06 2e-06 1.45e-06 1.15e-06 1.6e-06 1.45e-06 1.35e-06 1.3e-06 3e-06 1.5e-06 2.35e-06 1.85e-06 2.15e-06 1.95e-06 2.85e-06 1.55e-06 2.75e-06 2.5e-06 3e-06 8.5e-07 2e-06 1.8e-06 2.05e-06 2.4e-06 1.75e-06 1.85e-06 1.8e-06 2e-06 2.1e-06 2e-06
21 2.4e-06 2.25e-06 2.45e-06 2.2e-06 2.65e-06 1.9e-06 1.85e-06 2.1e-06 8.5e-07 2.4e-06 1.95e-06 2.9e-06 2.1e-06 1.4e-06 1.65e-06 2.1e-06 2.6e-06 1.75e-06 1.95e-06 1.65e-06 1.45e-06 1.5e-06 1.4e-06 1.25e-06 2.65e-06 1.6e-06 2.55e-06 1.7e-06 1.8e-06 1.7e-06 2.85e-06 1.8e-06 2.75e-06 2.15e-06 2.65e-06 1.35e-06 2.4e-06 1.55e-06 2.5e-06 2.1e-06 2.15e-06 1.75e-06 1.55e-06 2.45e-06 1.75e-06 2.1e-06
22 2.6e-06 2.35e-06 2.35e-06 2.1e-06 2.35e-06 2e-06 1.9e-06 2.2e-06 8e-07 2e-06 2.2e-06 2.55e-06 2.4e-06 1.3e-06 1.95e-06 1.55e-06 2.25e-06 1.65e-06 1.1e-06 1.7e-06 1.35e-06 1.4e-06 1e-07 6.5e-07 2.35e-06 1.55e-06 2.45e-06 1.5e-06 1.8e-06 1.6e-06 2.5e-06 1.95e-06 2.75e-06 2.25e-06 2.35e-06 1.45e-06 2.2e-06 1.65e-06 2.35e-06 2.55e-06 2.05e-06 1.45e-06 1.45e-06 2.3e-06 1.75e-06 1.9e-06
23 2.7e-06 2.5e-06 2.4e-06 2.2e-06 2.7e-06 2.15e-06 2.05e-06 2.05e-06 8e-07 2.1e-06 2e-06 2.8e-06 2.3e-06 1.25e-06 1.65e-06 1.8e-06 2.5e-06 1.55e-06 1.4e-06 1.5e-06 1.3e-06 1.25e-06 6.5e-07 1.2e-06 2.7e-06 1.6e-06 2.6e-06 1.65e-06 1.95e-06 1.65e-06 2.8e-06 1.9e-06 2.9e-06 2.4e-06 2.7e-06 1.25e-06 2.35e-06 1.6e-06 2.45e-06 2.4e-06 2.15e-06 1.6e-06 1.5e-06 2.4e-06 1.9e-06 1.9e-06
24 8.5e-07 5.5e-07 2.3e-06 2.05e-06 4.5e-07 1.85e-06 1.85e-06 3.45e-06 2.45e-06 3.35e-06 2.35e-06 1.2e-06 2.15e-06 2.95e-06 2e-06 1.7e-06 9.5e-07 1.65e-06 2.65e-06 3.15e-06 3e-06 2.65e-06 2.35e-06 2.7e-06 6e-07 2.9e-06 1.9e-06 1.65e-06 1.4e-06 1.75e-06 1.05e-06 2.9e-06 1.3e-06 1e-06 5.5e-07 3e-06 2.05e-06 1.85e-06 2.3e-06 1.2e-06 1.8e-06 1.7e-06 1.5e-06 2.25e-06 1.35e-06 2.15e-06
25 2.9e-06 2.7e-06 2.2e-06 2e-06 2.9e-06 2.6e-06 2.5e-06 1.55e-06 1.6e-06 1.6e-06 1.85e-06 2.65e-06 2.15e-06 1.45e-06 2.25e-06 2.3e-06 2.7e-06 2.15e-06 1.6e-06 1.75e-06 1.5e-06 1.6e-06 1.55e-06 1.6e-06 2.9e-06 2.6e-06 2.4e-06 2.2e-06 2.4e-06 2.1e-06 2.7e-06 1.95e-06 2.85e-06 2.55e-06 2.9e-06 1.35e-06 2.2e-06 2.05e-06 2.3e-06 2.6e-06 2e-06 2.1e-06 1.95e-06 2.25e-06 2.35e-06 2.2e-06
26 1.9e-06 1.75e-06 2.2e-06 2.05e-06 1.9e-06 2.4e-06 2.35e-06 2.35e-06 2.35e-06 2.4e-06 2.1e-06 1.9e-06 2.1e-06 2.3e-06 2.35e-06 2.25e-06 2e-06 2.2e-06 2.35e-06 2.55e-06 2.35e-06 2.55e-06 2.45e-06 2.6e-06 1.9e-06 2.4e-06 3.2e-06 2.1e-06 2.2e-06 2.15e-06 1.85e-06 2e-06 2e-06 2e-06 1.9e-06 2.3e-06 2.15e-06 2.25e-06 2.25e-06 2e-06 1.9e-06 2.15e-06 2e-06 2.2e-06 2.15e-06 2.25e-06
27 1.4e-06 1.4e-06 2.15e-06 2e-06 1.65e-06 1.75e-06 1.7e-06 2.5e-06 1.3e-06 2.65e-06 1.95e-06 1.95e-06 1.95e-06 1.8e-06 1.65e-06 1.7e-06 1.65e-06 1.6e-06 2.1e-06 2.1e-06 1.85e-06 1.7e-06 1.5e-06 1.65e-06 1.65e-06 2.2e-06 2.1e-06 2.5e-06 1.6e-06 1.5e-06 1.85e-06 2.1e-06 1.85e-06 1.6e-06 1.65e-06 1.9e-06 2.1e-06 1.55e-06 2.15e-06 1.55e-06 1.85e-06 1.5e-06 1.4e-06 2.1e-06 1.55e-06 1.85e-06
28 1.55e-06 1.35e-06 2.35e-06 2.1e-06 1.5e-06 1.75e-06 1.75e-06 2.7e-06 1.5e-06 2.8e-06 2.2e-06 2.1e-06 2.05e-06 2.1e-06 1.8e-06 1.85e-06 1.8e-06 1.7e-06 2.2e-06 2.3e-06 2.15e-06 1.8e-06 1.8e-06 1.95e-06 1.4e-06 2.4e-06 2.2e-06 1.6e-06 2.5e-06 1.7e-06 1.95e-06 2.2e-06 2e-06 1.6e-06 1.55e-06 2.15e-06 2.15e-06 1.7e-06 2.35e-06 1.7e-06 1.9e-06 1.7e-06 1.5e-06 2.3e-06 1.25e-06 2.1e-06
29 1.6e-06 1.5e-06 2e-06 2e-06 1.75e-06 1.75e-06 1.65e-06 2.5e-06 1.45e-06 2.6e-06 1.9e-06 1.8e-06 2e-06 1.9e-06 1.65e-06 1.6e-06 1.55e-06 1.6e-06 2.1e-06 2.15e-06 1.95e-06 1.7e-06 1.6e-06 1.65e-06 1.75e-06 2.1e-06 2.15e-06 1.5e-06 1.7e-06 2.7e-06 1.8e-06 2.15e-06 1.85e-06 1.65e-06 1.7e-06 1.85e-06 2.1e-06 1.55e-06 2.05e-06 1.55e-06 1.9e-06 1.55e-06 1.4e-06 2e-06 1.65e-06 1.8e-06
30 1.05e-06 1e-06 2e-06 2e-06 9.5e-07 2.05e-06 2e-06 3e-06 2.7e-06 2.9e-06 2.15e-06 9e-07 2e-06 2.8e-06 2.1e-06 1.8e-06 1.1e-06 1.95e-06 2.6e-06 3.05e-06 2.85e-06 2.85e-06 2.5e-06 2.8e-06 1.05e-06 2.7e-06 1.85e-06 1.85e-06 1.95e-06 1.8e-06 1.5e-06 2.8e-06 1e-06 1.45e-06 1e-06 2.8e-06 1.9e-06 2.1e-06 2.05e-06 1.3e-06 1.8e-06 1.9e-06 1.75e-06 2e-06 1.9e-06 1.85e-06
31 2.65e-06 2.55e-06 2.3e-06 2.15e-06 2.9e-06 2.35e-06 2.35e-06 1.65e-06 1.4e-06 1.9e-06 2e-06 2.85e-06 2.05e-06 1.5e-06 2.2e-06 2.45e-06 2.9e-06 2.25e-06 1.95e-06 1.75e-06 1.55e-06 1.8e-06 1.95e-06 1.9e-06 2.9e-06 1.95e-06 2e-06 2.1e-06 2.2e-06 2.15e-06 2.8e-06 2.6e-06 2.75e-06 2.55e-06 2.9e-06 1.5e-06 2.3e-06 2.1e-06 2.35e-06 2.55e-06 2.05e-06 2.2e-06 2.05e-06 2.3e-06 2.15e-06 2.25e-06
32 1e-06 1.05e-06 2.1e-06 2.1e-06 1.15e-06 2.05e-06 2e-06 2.95e-06 2.55e-06 3.05e-06 2.1e-06 1.2e-06 1.85e-06 2.7e-06 1.95e-06 2.05e-06 1.35e-06 2.05e-06 2.9e-06 2.95e-06 2.75e-06 2.75e-06 2.75e-06 2.9e-06 1.3e-06 2.85e-06 2e-06 1.85e-06 2e-06 1.85e-06 1e-06 2.75e-06 1.8e-06 1.5e-06 1.25e-06 2.75e-06 1.95e-06 2.1e-06 2.1e-06 1.15e-06 1.9e-06 2e-06 1.85e-06 2.05e-06 1.95e-06 1.9e-06
33 1.1e-06 8.5e-07 2.1e-06 1.75e-06 1e-06 1.85e-06 1.7e-06 2.95e-06 2e-06 3.05e-06 2.1e-06 1.45e-06 1.95e-06 2.45e-06 1.8e-06 1.65e-06 1.35e-06 1.65e-06 2.5e-06 2.6e-06 2.5e-06 2.15e-06 2.25e-06 2.4e-06 1e-06 2.55e-06 2e-06 1.6e-06 1.6e-06 1.65e-06 1.45e-06 2.55e-06 1.5e-06 1.6e-06 1.05e-06 2.5e-06 2.05e-06 1.65e-06 2.1e-06 1.25e-06 1.8e-06 1.55e-06 1.5e-06 2.05e-06 1.55e-06 2e-06
34 8.5e-07 5.5e-07 2.25e-06 2.05e-06 5.5e-07 1.8e-06 1.8e-06 3.45e-06 2.45e-06 3.35e-06 2.35e-06 1.15e-06 2.15e-06 2.95e-06 2e-06 1.65e-06 9.5e-07 1.65e-06 2.65e-06 3.15e-06 3e-06 2.65e-06 2.35e-06 2.7e-06 5.5e-07 2.9e-06 1.9e-06 1.65e-06 1.55e-06 1.7e-06 1e-06 2.9e-06 1.25e-06 1.05e-06 6e-07 3e-06 2.05e-06 1.9e-06 2.25e-06 1.2e-06 1.8e-06 1.7e-06 1.5e-06 2.2e-06 1.5e-06 2.1e-06
35 2.75e-06 2.55e-06 1.9e-06 1.8e-06 3e-06 2.35e-06 2.25e-06 8.5e-07 1e-06 1.2e-06 1.35e-06 2.75e-06 1.65e-06 8e-07 1.8e-06 2.25e-06 2.8e-06 1.9e-06 1.45e-06 1.1e-06 8.5e-07 1.35e-06 1.45e-06 1.25e-06 3e-06 1.35e-06 2.3e-06 1.9e-06 2.15e-06 1.85e-06 2.8e-06 1.5e-06 2.75e-06 2.5e-06 3e-06 1.4e-06 2e-06 1.7e-06 2e-06 2.3e-06 1.7e-06 1.85e-06 1.7e-06 1.95e-06 2.1e-06 1.95e-06
36 1.9e-06 1.85e-06 2.1e-06 1.95e-06 1.9e-06 2.35e-06 2.3e-06 2e-06 2.1e-06 1.95e-06 1.95e-06 2.05e-06 1.8e-06 2e-06 2.1e-06 2.25e-06 2.15e-06 2.15e-06 2e-06 2.25e-06 2e-06 2.4e-06 2.2e-06 2.35e-06 2.05e-06 2.2e-06 2.15e-06 2.1e-06 2.15e-06 2.1e-06 1.9e-06 2.3e-06 1.95e-06 2.05e-06 2.05e-06 2e-06 3.5e-06 2.15e-06 2.15e-06 1.9e-06 1.8e-06 2.1e-06 1.95e-06 2.1e-06 2.1e-06 2.2e-06
37 1.75e-06 1.6e-06 2.2e-06 2.05e-06 1.85e-06 1.9e-06 1.85e-06 2.35e-06 1.3e-06 2.55e-06 1.85e-06 2.15e-06 1.95e-06 1.75e-06 1.6e-06 1.85e-06 1.9e-06 1.6e-06 2.1e-06 2e-06 1.8e-06 1.55e-06 1.65e-06 1.6e-06 1.85e-06 2.05e-06 2.25e-06 1.55e-06 1.7e-06 1.55e-06 2.1e-06 2.1e-06 2.1e-06 1.65e-06 1.9e-06 1.7e-06 2.15e-06 2.4e-06 2.25e-06 1.6e-06 1.9e-06 1.6e-06 1.4e-06 2.2e-06 1.65e-06 1.95e-06
38 2.15e-06 2e-06 1.9e-06 1.95e-06 2.3e-06 2.4e-06 2.15e-06 1.95e-06 2.2e-06 2.1e-06 1.95e-06 1.95e-06 2e-06 2e-06 2.35e-06 2.1e-06 2.15e-06 2.3e-06 2.2e-06 2.2e-06 2.05e-06 2.5e-06 2.35e-06 2.45e-06 2.3e-06 2.3e-06 2.25e-06 2.15e-06 2.35e-06 2.05e-06 2.05e-06 2.35e-06 2.1e-06 2.1e-06 2.25e-06 2e-06 2.15e-06 2.25e-06 3.6e-06 2.15e-06 1.9e-06 2.1e-06 2.1e-06 1.85e-06 2.3e-06 2.1e-06
39 8e-07 8e-07 2.1e-06 2e-06 1.05e-06 1.9e-06 1.85e-06 2.85e-06 2e-06 3.15e-06 1.6e-06 1.45e-06 1.6e-06 2.35e-06 1.35e-06 1.95e-06 1.2e-06 1.6e-06 2.9e-06 2.6e-06 2.4e-06 2.1e-06 2.55e-06 2.4e-06 1.2e-06 2.6e-06 2e-06 1.55e-06 1.7e-06 1.55e-06 1.3e-06 2.55e-06 1.15e-06 1.25e-06 1.2e-06 2.3e-06 1.9e-06 1.6e-06 2.15e-06 1e-06 1.8e-06 1.6e-06 1.4e-06 2.1e-06 1.65e-06 1.95e-06
40 1.8e-06 1.55e-06 1.85e-06 1.7e-06 1.8e-06 2.15e-06 2.1e-06 1.65e-06 1.85e-06 1.8e-06 1.65e-06 1.85e-06 1.65e-06 1.7e-06 2e-06 2.05e-06 1.95e-06 1.9e-06 1.9e-06 1.95e-06 1.75e-06 2.15e-06 2.05e-06 2.15e-06 1.8e-06 2e-06 1.9e-06 1.85e-06 1.9e-06 1.9e-06 1.8e-06 2.05e-06 1.9e-06 1.8e-06 1.8e-06 1.7e-06 1.8e-06 1.9e-06 1.9e-06 1.8e-06 3e-06 1.85e-06 1.7e-06 1.85e-06 1.85e-06 2e-06
41 1.7e-06 1.5e-06 2.05e-06 1.85e-06 1.7e-06 1.95e-06 1.75e-06 2.45e-06 1.4e-06 2.55e-06 1.9e-06 1.75e-06 2e-06 1.8e-06 1.7e-06 1.55e-06 1.7e-06 1.6e-06 1.95e-06 2.05e-06 1.85e-06 1.75e-06 1.45e-06 1.6e-06 1.7e-06 2.1e-06 2.15e-06 1.5e-06 1.7e-06 1.55e-06 1.9e-06 2.2e-06 2e-06 1.55e-06 1.7e-06 1.85e-06 2.1e-06 1.6e-06 2.1e-06 1.6e-06 1.85e-06 2.6e-06 1.4e-06 2.05e-06 1.65e-06 1.85e-06
