 slim_762028579 slim_762028597 slim_762028581 slim_762028592 slim_762028594 slim_762028582 slim_762028603 slim_762028602 slim_762028586 slim_762028600 slim_762028587 slim_762028584 slim_762028580 slim_762028590 slim_762028593 slim_762028588 slim_762028578 slim_762028599 slim_762028577 slim_762028595 slim_762028598 slim_762028583 slim_762028591 slim_762028585 slim_762028589 slim_762028596 slim_762028576 slim_762028604 slim_762028601 slim_762028575
14 9e-07 1.85e-06 1.9e-06 1.15e-06 2.65e-06 1.6e-06 2.3e-06 7.5e-07 1e-06 2.7e-06 2.65e-06 2.5e-06 1.8e-06 2.65e-06 1.2e-06 2.45e-06 1.65e-06 1.4e-06 1.45e-06 1.3e-06 1.55e-06 1.5e-06 1.35e-06 2.65e-06 1e-06 1.45e-06 1.75e-06 2.15e-06 2.6e-06 1.55e-06
15 2.5e-06 2.4e-06 1.85e-06 2.3e-06 1.4e-06 1.8e-06 1.9e-06 2.4e-06 2.7e-06 2.1e-06 1.9e-06 2.25e-06 2.35e-06 2.05e-06 2.45e-06 2.7e-06 2.55e-06 2.3e-06 2.4e-06 2.45e-06 2.65e-06 1.9e-06 2.35e-06 1.9e-06 2.35e-06 2.45e-06 2.2e-06 1.95e-06 2.25e-06 1.85e-06
16 1.55e-06 7.5e-07 1.85e-06 1.85e-06 2.15e-06 2.75e-06 2.1e-06 1.55e-06 1.55e-06 1.75e-06 1.6e-06 2.05e-06 1.55e-06 1.55e-06 1.65e-06 2.55e-06 1.4e-06 2.05e-06 1.1e-06 2e-06 2.1e-06 2.6e-06 2.2e-06 1.6e-06 1.95e-06 1.75e-06 2.4e-06 2.7e-06 2.8e-06 2.45e-06
17 1.35e-06 2.05e-06 1.8e-06 1.25e-06 2.35e-06 1.95e-06 2.4e-06 1e-06 1.7e-06 2.6e-06 2.5e-06 2.15e-06 1.95e-06 2.55e-06 1.4e-06 2.3e-06 2.05e-06 1.9e-06 1.65e-06 1.45e-06 1.9e-06 2.05e-06 1.55e-06 2.5e-06 1.6e-06 1.65e-06 1.45e-06 1.95e-06 2.55e-06 1.7e-06
18 1.3e-06 1e-06 1.6e-06 1.6e-06 2.1e-06 2.4e-06 2.1e-06 1.05e-06 1.55e-06 1.9e-06 1.7e-06 2.05e-06 1.55e-06 1.7e-06 1.45e-06 2.4e-06 1.1e-06 1.65e-06 2e-06 1.6e-06 1.95e-06 2.4e-06 1.85e-06 1.7e-06 1.75e-06 1.45e-06 2e-06 2.5e-06 2.7e-06 2.05e-06
19 1.05e-06 2.05e-06 1.75e-06 1.3e-06 2.25e-06 1.85e-06 2.45e-06 8e-07 1.4e-06 2.55e-06 2.55e-06 2.45e-06 1.6e-06 2.55e-06 1.3e-06 2.45e-06 2e-06 1.45e-06 1.6e-06 1.5e-06 1.1e-06 2.05e-06 1.3e-06 2.55e-06 1.25e-06 1.4e-06 1.6e-06 1.9e-06 2.15e-06 1.6e-06
20 1.1e-06 2.25e-06 2.05e-06 1.6e-06 2.35e-06 2.05e-06 2.6e-06 1.35e-06 1.05e-06 2.65e-06 2.7e-06 2.6e-06 1.75e-06 2.65e-06 1.55e-06 2.65e-06 2.1e-06 1.9e-06 1.95e-06 1.1e-06 1.8e-06 2.2e-06 1.6e-06 2.7e-06 1.4e-06 1.7e-06 1.95e-06 1.9e-06 2.2e-06 1.95e-06
21 1.9e-06 2.65e-06 2.3e-06 2.05e-06 2.45e-06 1.15e-06 2.05e-06 1.85e-06 2e-06 3e-06 2.8e-06 2.65e-06 2.45e-06 2.95e-06 1.5e-06 1.9e-06 2.6e-06 2.05e-06 2.4e-06 2.05e-06 2.2e-06 2.2e-06 1.8e-06 2.8e-06 1.5e-06 2.2e-06 2.05e-06 2e-06 2.5e-06 1.45e-06
22 1.35e-06 2.25e-06 1.9e-06 1.5e-06 2.45e-06 1.6e-06 2.35e-06 1.15e-06 1.65e-06 2.8e-06 2.7e-06 2.45e-06 1.85e-06 2.75e-06 1.35e-06 2.35e-06 2.2e-06 1.55e-06 1.85e-06 1.3e-06 1.6e-06 1.8e-06 2e-06 2.7e-06 1.3e-06 1.7e-06 1.7e-06 2e-06 2.25e-06 1.6e-06
23 2.45e-06 1.3e-06 1.7e-06 2.5e-06 1.4e-06 2.75e-06 1.9e-06 2.4e-06 2.6e-06 1.45e-06 9.5e-07 1.85e-06 1.9e-06 1.25e-06 2.65e-06 1.9e-06 1.6e-06 2.5e-06 1.7e-06 2.55e-06 2.7e-06 2.8e-06 2.7e-06 1.9e-06 2.65e-06 2.1e-06 2.5e-06 2.45e-06 2.55e-06 2.55e-06
24 1.15e-06 2.1e-06 1.95e-06 1.5e-06 2.4e-06 1.55e-06 2.3e-06 1.1e-06 1.25e-06 2.7e-06 2.65e-06 2.45e-06 1.7e-06 2.65e-06 1e-06 2.35e-06 1.95e-06 1.6e-06 1.75e-06 1.25e-06 1.4e-06 1.5e-06 1.3e-06 2.65e-06 1.7e-06 1.55e-06 1.75e-06 1.9e-06 2.3e-06 1.6e-06
25 1.2e-06 1.85e-06 1.7e-06 1.6e-06 2.25e-06 2.05e-06 2.3e-06 1e-06 1.5e-06 2.35e-06 2.1e-06 2.3e-06 1.7e-06 2.25e-06 1.45e-06 2.45e-06 1.75e-06 1.65e-06 1.45e-06 1.4e-06 1.7e-06 2.2e-06 1.7e-06 2.1e-06 1.55e-06 1.9e-06 1.8e-06 2.05e-06 2.6e-06 1.8e-06
26 1.6e-06 2.4e-06 1.85e-06 1.7e-06 2.1e-06 1.85e-06 2.4e-06 1.35e-06 1.95e-06 2.65e-06 2.5e-06 2e-06 2.1e-06 2.6e-06 1.75e-06 2.2e-06 2.4e-06 1.45e-06 2e-06 1.6e-06 1.95e-06 2.05e-06 1.7e-06 2.5e-06 1.75e-06 1.8e-06 2.6e-06 1.5e-06 2.4e-06 1.7e-06
27 1.9e-06 2.8e-06 1.95e-06 2e-06 1.7e-06 1.8e-06 2.35e-06 2e-06 2e-06 2.6e-06 2.45e-06 2.05e-06 2.25e-06 2.55e-06 2.15e-06 1.95e-06 2.7e-06 1.95e-06 2.5e-06 1.9e-06 1.9e-06 2e-06 2e-06 2.45e-06 1.9e-06 2.05e-06 1.5e-06 1.9e-06 2.15e-06 1.8e-06
28 2.5e-06 2.75e-06 2.25e-06 2.5e-06 1.85e-06 2.3e-06 2.6e-06 2.55e-06 2.65e-06 2.2e-06 2.55e-06 2.6e-06 2.2e-06 2.35e-06 2.6e-06 2.25e-06 2.8e-06 2.55e-06 2.7e-06 2.15e-06 2.2e-06 2.5e-06 2.25e-06 2.55e-06 2.3e-06 2.6e-06 2.4e-06 2.15e-06 3.4e-06 2.4e-06
29 1.55e-06 2.45e-06 1.9e-06 1.65e-06 2.15e-06 1.25e-06 2.05e-06 1.3e-06 1.9e-06 2.8e-06 2.55e-06 2.5e-06 2.2e-06 2.75e-06 1.55e-06 1.85e-06 2.45e-06 1.7e-06 2.05e-06 1.6e-06 1.95e-06 1.45e-06 1.6e-06 2.55e-06 1.6e-06 1.8e-06 1.7e-06 1.8e-06 2.4e-06 2.5e-06
