 slim_762563897 slim_762563900 slim_762563905 slim_762563902 slim_762563881 slim_762563886 slim_762563891 slim_762563906 slim_762563894 slim_762563890 slim_762563883 slim_762563912 slim_762563903 slim_762563904 slim_762563896 slim_762563895 slim_762563911 slim_762563913 slim_762563884 slim_762563908 slim_762563899 slim_762563887 slim_762563892 slim_762563885 slim_762563882 slim_762563893 slim_762563914 slim_762563898 slim_762563889 slim_762563901 slim_762563910 slim_762563888 slim_762563909 slim_762563907 slim_762563880
12 2.05e-06 2.1e-06 2.1e-06 1.95e-06 2.15e-06 2.4e-06 1.85e-06 2.05e-06 2.1e-06 2.2e-06 2.05e-06 1.95e-06 3.5e-06 2.05e-06 2.15e-06 2.15e-06 2.15e-06 2e-06 2e-06 2.05e-06 1.85e-06 2.6e-06 2.1e-06 1.9e-06 1.9e-06 2.3e-06 2.15e-06 2.1e-06 1.85e-06 2.25e-06 2e-06 1.8e-06 2e-06 2.15e-06 2.05e-06
13 1.3e-06 1.6e-06 2.4e-06 2.4e-06 2.6e-06 2.2e-06 1.8e-06 1.55e-06 1.5e-06 1.75e-06 1.95e-06 2.1e-06 2.05e-06 2.6e-06 1.7e-06 1.65e-06 1.55e-06 2e-06 1.9e-06 2.25e-06 1.8e-06 2.45e-06 2.1e-06 1.35e-06 2.05e-06 2.1e-06 2.35e-06 2.2e-06 1.55e-06 2.05e-06 1.85e-06 1.65e-06 1.85e-06 2.7e-06 2.5e-06
14 1.7e-06 1.5e-06 2.15e-06 2.15e-06 2.2e-06 2.1e-06 1.55e-06 1.45e-06 1.7e-06 1.65e-06 2.05e-06 1.7e-06 2.15e-06 1.7e-06 2.7e-06 1.6e-06 1.6e-06 1.75e-06 2e-06 1.8e-06 1.65e-06 2.15e-06 2.2e-06 2.1e-06 1.8e-06 1.8e-06 2.1e-06 1.8e-06 1.8e-06 1.8e-06 1.8e-06 1.75e-06 1.75e-06 2.15e-06 2.25e-06
15 1.65e-06 9.5e-07 1.3e-06 1.3e-06 1.5e-06 1.85e-06 1.8e-06 1.6e-06 1.7e-06 1.05e-06 2.05e-06 1.15e-06 2.15e-06 1.65e-06 1.6e-06 1.4e-06 9e-07 1.3e-06 2e-06 2e-06 1.75e-06 1.65e-06 2.2e-06 2.65e-06 1.85e-06 1.25e-06 1.45e-06 1.35e-06 2.55e-06 1.2e-06 9e-07 2.65e-06 1.15e-06 1.6e-06 1.4e-06
16 1.55e-06 7.5e-07 1.3e-06 1.4e-06 1.5e-06 1.7e-06 1.55e-06 1.35e-06 1.75e-06 9e-07 2.1e-06 1.15e-06 2.15e-06 1.55e-06 1.6e-06 9e-07 1.1e-06 1.05e-06 2.05e-06 2e-06 1.55e-06 1.65e-06 2.2e-06 2.6e-06 1.7e-06 1.2e-06 1.35e-06 1.25e-06 2.4e-06 1.15e-06 9e-07 2.5e-06 7.5e-07 1.7e-06 1.45e-06
17 2.1e-06 7.5e-07 1.55e-06 1.55e-06 1.55e-06 1.25e-06 1.05e-06 1.4e-06 2.2e-06 8e-07 2e-06 5e-07 2e-06 2e-06 1.75e-06 1.3e-06 1.05e-06 5e-07 1.95e-06 1.45e-06 1.4e-06 1.5e-06 2.25e-06 3e-06 1.75e-06 1.4e-06 1.3e-06 7e-07 2.45e-06 1.35e-06 1.05e-06 2.25e-06 5.5e-07 1.35e-06 1.65e-06
18 1.9e-06 2e-06 2.3e-06 2.3e-06 2.3e-06 2.3e-06 1.8e-06 1.95e-06 1.95e-06 2.05e-06 1.75e-06 1.9e-06 2e-06 1.9e-06 2e-06 2e-06 2.05e-06 1.95e-06 3.4e-06 1.8e-06 1.85e-06 2.3e-06 2.05e-06 1.75e-06 2e-06 2.25e-06 2.2e-06 2.05e-06 1.75e-06 2.2e-06 1.9e-06 1.7e-06 1.95e-06 2.25e-06 2.4e-06
19 2.35e-06 1.8e-06 2.05e-06 2.1e-06 2.05e-06 1.95e-06 1.4e-06 1.65e-06 2.25e-06 1.85e-06 1.85e-06 1.35e-06 2.05e-06 2.25e-06 1.8e-06 2e-06 2e-06 1.45e-06 1.8e-06 2.2e-06 1.5e-06 2e-06 2.25e-06 2.55e-06 1.8e-06 2.1e-06 2e-06 1.6e-06 2e-06 2.05e-06 1.75e-06 1.8e-06 1.6e-06 1.85e-06 2.2e-06
20 1.8e-06 1.5e-06 1.9e-06 1.9e-06 2e-06 1.85e-06 1.25e-06 1.45e-06 1.95e-06 1.65e-06 1.9e-06 1.5e-06 1.85e-06 1.8e-06 1.65e-06 1.75e-06 1.55e-06 1.4e-06 1.85e-06 1.5e-06 2.3e-06 2.15e-06 2.05e-06 2e-06 1.55e-06 1.9e-06 1.7e-06 1.6e-06 1.6e-06 1.85e-06 1.6e-06 1.55e-06 1.4e-06 1.95e-06 2e-06
21 2.45e-06 1.5e-06 2.05e-06 2.05e-06 1.95e-06 2e-06 2e-06 2.1e-06 2.5e-06 1.65e-06 2.35e-06 1.45e-06 2.6e-06 2.45e-06 2.15e-06 1.65e-06 1.65e-06 1.5e-06 2.3e-06 2e-06 2.15e-06 2.5e-06 2.65e-06 3.4e-06 2.3e-06 1.75e-06 1.85e-06 1.6e-06 3e-06 1.7e-06 1.7e-06 2.85e-06 1.6e-06 1.8e-06 2.15e-06
22 2e-06 2.2e-06 2.05e-06 2.1e-06 1.95e-06 2.6e-06 2e-06 2.25e-06 2.15e-06 2.35e-06 2.05e-06 2.2e-06 2.1e-06 2.1e-06 2.2e-06 2.2e-06 2.2e-06 2.25e-06 2.05e-06 2.25e-06 2.05e-06 2.65e-06 3.6e-06 1.85e-06 1.95e-06 2.05e-06 2e-06 2.1e-06 1.8e-06 2e-06 2.15e-06 1.8e-06 2.2e-06 1.8e-06 2.2e-06
23 1.25e-06 2.7e-06 3.25e-06 3.25e-06 3.35e-06 2.85e-06 2.05e-06 2.05e-06 1.55e-06 2.8e-06 1.8e-06 3.15e-06 1.9e-06 1.35e-06 2.1e-06 2.65e-06 2.6e-06 3e-06 1.75e-06 2.55e-06 2e-06 3.4e-06 1.85e-06 1e-07 2.15e-06 3.05e-06 3.1e-06 3.15e-06 6.5e-07 3e-06 2.75e-06 7.5e-07 2.85e-06 3.45e-06 3.35e-06
24 1.95e-06 1.75e-06 1.65e-06 1.7e-06 1.5e-06 2.25e-06 1.5e-06 1.8e-06 2.1e-06 2e-06 2.05e-06 1.7e-06 1.9e-06 2.05e-06 1.8e-06 1.85e-06 1.7e-06 1.75e-06 2e-06 1.8e-06 1.55e-06 2.3e-06 1.95e-06 2.15e-06 2.6e-06 1.8e-06 1.7e-06 1.75e-06 1.75e-06 1.75e-06 1.7e-06 1.7e-06 1.65e-06 1.65e-06 1.7e-06
25 2e-06 1.15e-06 1.25e-06 1.3e-06 1.15e-06 2.1e-06 1.8e-06 1.9e-06 2.1e-06 1.45e-06 2.3e-06 1.3e-06 2.3e-06 2.1e-06 1.8e-06 1.25e-06 1.2e-06 1.4e-06 2.25e-06 2.1e-06 1.9e-06 1.75e-06 2.05e-06 3.05e-06 1.8e-06 2e-06 1.2e-06 1.2e-06 2.7e-06 1e-06 1.4e-06 2.65e-06 1.35e-06 1e-06 1.4e-06
26 2.25e-06 1.35e-06 1.1e-06 1.1e-06 1e-06 2.1e-06 1.75e-06 2.1e-06 2.4e-06 1.55e-06 2.25e-06 1.25e-06 2.15e-06 2.35e-06 2.1e-06 1.45e-06 1.35e-06 1.3e-06 2.2e-06 2e-06 1.7e-06 1.85e-06 2e-06 3.1e-06 1.7e-06 1.2e-06 1.7e-06 1.15e-06 2.7e-06 1.15e-06 1.3e-06 2.65e-06 1.25e-06 8.5e-07 1.2e-06
27 2.2e-06 9e-07 1.35e-06 1.35e-06 1.25e-06 1.55e-06 1.25e-06 1.7e-06 2.25e-06 1.15e-06 2.1e-06 6e-07 2.1e-06 2.2e-06 1.8e-06 1.35e-06 1.25e-06 7e-07 2.05e-06 1.6e-06 1.6e-06 1.6e-06 2.1e-06 3.15e-06 1.75e-06 1.2e-06 1.15e-06 1e-06 2.6e-06 1.15e-06 1.25e-06 2.4e-06 8.5e-07 9e-07 1.45e-06
28 1.45e-06 2.35e-06 3e-06 3e-06 2.95e-06 2.5e-06 1.5e-06 1.7e-06 1.75e-06 2.55e-06 1.75e-06 2.6e-06 1.85e-06 1.55e-06 1.8e-06 2.55e-06 2.4e-06 2.45e-06 1.75e-06 2e-06 1.6e-06 3e-06 1.8e-06 6.5e-07 1.75e-06 2.7e-06 2.7e-06 2.6e-06 1.2e-06 2.65e-06 2.6e-06 6e-07 2.45e-06 2.9e-06 3.1e-06
29 1.95e-06 1.1e-06 1.2e-06 1.25e-06 1.1e-06 2.05e-06 1.75e-06 1.85e-06 2.1e-06 1.4e-06 2.25e-06 1.25e-06 2.25e-06 2.05e-06 1.8e-06 1.2e-06 1.15e-06 1.35e-06 2.2e-06 2.05e-06 1.85e-06 1.7e-06 2e-06 3e-06 1.75e-06 1e-06 1.15e-06 1.15e-06 2.65e-06 1.9e-06 1.35e-06 2.6e-06 1.3e-06 9.5e-07 1.35e-06
30 1.95e-06 1.1e-06 9.5e-07 1.05e-06 1.25e-06 1.7e-06 1.7e-06 1.65e-06 1.9e-06 1e-06 1.95e-06 9.5e-07 2e-06 1.85e-06 1.8e-06 9e-07 9e-07 1.05e-06 1.9e-06 1.75e-06 1.6e-06 1.7e-06 2.15e-06 2.75e-06 1.7e-06 1.4e-06 1.3e-06 1.25e-06 2.6e-06 1.35e-06 1e-06 2.7e-06 8e-07 1.45e-06 1.1e-06
31 1.55e-06 2.3e-06 3.1e-06 3.1e-06 2.9e-06 2.35e-06 1.3e-06 1.65e-06 1.85e-06 2.5e-06 1.75e-06 2.4e-06 1.8e-06 1.65e-06 1.75e-06 2.65e-06 2.5e-06 2.25e-06 1.7e-06 1.8e-06 1.55e-06 2.85e-06 1.8e-06 7.5e-07 1.7e-06 2.65e-06 2.65e-06 2.4e-06 6e-07 2.6e-06 2.7e-06 8e-07 2.4e-06 2.7e-06 3.2e-06
32 1.95e-06 7.5e-07 1.25e-06 1.35e-06 1.4e-06 1.35e-06 1.2e-06 1.35e-06 2.05e-06 8e-07 2e-06 6.5e-07 2e-06 1.85e-06 1.75e-06 1.15e-06 7.5e-07 5.5e-07 1.95e-06 1.6e-06 1.4e-06 1.6e-06 2.2e-06 2.85e-06 1.65e-06 1.35e-06 1.25e-06 8.5e-07 2.45e-06 1.3e-06 8e-07 2.4e-06 8e-07 1.45e-06 1.4e-06
33 2.6e-06 1.55e-06 8e-07 8.5e-07 5.5e-07 2.2e-06 1.8e-06 2.3e-06 2.6e-06 1.75e-06 2.3e-06 1.1e-06 2.15e-06 2.7e-06 2.15e-06 1.6e-06 1.7e-06 1.35e-06 2.25e-06 1.85e-06 1.95e-06 1.8e-06 1.8e-06 3.45e-06 1.65e-06 1e-06 8.5e-07 9e-07 2.9e-06 9.5e-07 1.45e-06 2.7e-06 1.45e-06 2e-07 9.5e-07
34 2.5e-06 1.65e-06 6.5e-07 6e-07 8e-07 2.4e-06 2.2e-06 2.3e-06 2.4e-06 1.75e-06 2.45e-06 1.4e-06 2.05e-06 2.5e-06 2.25e-06 1.4e-06 1.45e-06 1.65e-06 2.4e-06 2.2e-06 2e-06 2.15e-06 2.2e-06 3.35e-06 1.7e-06 1.4e-06 1.2e-06 1.45e-06 3.1e-06 1.35e-06 1.1e-06 3.2e-06 1.4e-06 9.5e-07 1.2e-06
