 slim_761982427 slim_761982404 slim_761982413 slim_761982406 slim_761982407 slim_761982394 slim_761982410 slim_761982425 slim_761982418 slim_761982426 slim_761982395 slim_761982421 slim_761982431 slim_761982414 slim_761982423 slim_761982405 slim_761982408 slim_761982393 slim_761982420 slim_761982429 slim_761982433 slim_761982392 slim_761982396 slim_761982409 slim_761982403 slim_761982432 slim_761982397 slim_761982416 slim_761982419 slim_761982401 slim_761982399 slim_761982412 slim_761982422 slim_761982415 slim_761982400 slim_761982434 slim_761982424 slim_761982402 slim_761982428 slim_761982411 slim_761982417 slim_761982398 slim_761982430
15 8.91e-05 2.64e-05 8.215e-05 4.51e-05 1.89e-05 5.9e-05 1.595e-05 1.67e-05 1.725e-05 3.97e-05 3.53e-05 2.6e-05 1.56e-05 1.83e-05 5.38e-05 1.36e-05 5.905e-05 4.21e-05 1.325e-05 6.85e-06 8.02e-05 1.695e-05 5.975e-05 2.62e-05 2.45e-05 5.325e-05 1.56e-05 3.435e-05 1.29e-05 5.46e-05 3.815e-05 4.065e-05 4.49e-05 4.37e-05 8.325e-05 2.17e-05 5.375e-05 6.87e-05 0.0001017 4.595e-05 2.675e-05 1.035e-05 8.325e-05
16 0.00010295 7.63e-05 6.795e-05 7.25e-05 5.575e-05 0.00011395 5.285e-05 6.4e-05 4.745e-05 9.135e-05 7.655e-05 4.865e-05 5.92e-05 5.685e-05 7.76e-05 5.905e-05 7.65e-05 8.335e-05 6.195e-05 6.54e-05 6.98e-05 6.02e-05 8.095e-05 4.88e-05 5.31e-05 8.845e-05 5.92e-05 6.915e-05 6.195e-05 5.705e-05 7.935e-05 6.93e-05 7.23e-05 7.115e-05 7.54e-05 6.21e-05 7.775e-05 4.285e-05 7.665e-05 9.98e-05 7.63e-05 5.26e-05 7.545e-05
17 9.785e-05 3.41e-05 7.595e-05 4.665e-05 4.145e-05 4.735e-05 4.1e-05 3.775e-05 4.87e-05 5.94e-05 2.87e-05 4.145e-05 3.67e-05 3.91e-05 4.885e-05 4.21e-05 8.335e-05 4.33e-05 4.18e-05 3.78e-05 7.615e-05 3.575e-05 6.73e-05 4.16e-05 3.575e-05 7.87e-05 3.67e-05 3.395e-05 4.18e-05 7.905e-05 2.915e-05 2.9e-05 4.645e-05 4.355e-05 7.09e-05 3.64e-05 4.885e-05 9.615e-05 9.105e-05 2.17e-05 3.405e-05 4.83e-05 7.095e-05
18 8.445e-05 2.92e-05 8.275e-05 4.76e-05 1.82e-05 5.725e-05 1.84e-05 1.98e-05 2.08e-05 4.18e-05 3.5e-05 2.47e-05 1.895e-05 2.13e-05 5.485e-05 1.325e-05 6.195e-05 4.18e-05 2.43e-05 1.33e-05 8.24e-05 1.89e-05 5.44e-05 2.465e-05 2.47e-05 5.535e-05 1.895e-05 3.505e-05 1.27e-05 5.585e-05 3.47e-05 3.575e-05 4.74e-05 4.45e-05 8.28e-05 1.84e-05 5.51e-05 7.46e-05 0.00010295 4.51e-05 2.865e-05 1.445e-05 8.285e-05
19 8.685e-05 2.87e-05 8.395e-05 4.705e-05 1.895e-05 5.555e-05 1.6e-05 1.04e-05 2.36e-05 3.995e-05 3.105e-05 2.63e-05 9.1e-06 1.665e-05 4.945e-05 6.85e-06 6.54e-05 3.78e-05 1.33e-05 1e-07 8.2e-05 1.07e-05 5.55e-05 2.645e-05 1.825e-05 5.965e-05 9.1e-06 3.63e-05 1.32e-05 5.465e-05 3.39e-05 3.44e-05 4.685e-05 4.575e-05 7.885e-05 1.545e-05 4.94e-05 7.495e-05 9.72e-05 4.37e-05 2.88e-05 1.68e-05 7.885e-05
20 9.965e-05 7.815e-05 6.835e-05 7.46e-05 7.67e-05 0.00010185 7.63e-05 7.915e-05 7.62e-05 0.0001026 7.63e-05 7.3e-05 7.825e-05 7.61e-05 7.435e-05 8.02e-05 6.98e-05 7.615e-05 8.24e-05 8.2e-05 0.0001335 7.845e-05 8.755e-05 7.315e-05 7.455e-05 0.00010875 7.825e-05 7.405e-05 8.25e-05 7.525e-05 7.66e-05 7.465e-05 7.44e-05 7.615e-05 7.065e-05 8.055e-05 7.45e-05 6.915e-05 6.895e-05 7.78e-05 7.805e-05 8.04e-05 7.075e-05
21 8.905e-05 3.65e-05 7.825e-05 4.9e-05 1.865e-05 6.11e-05 1.55e-05 1.025e-05 2.54e-05 4.725e-05 2.885e-05 1.86e-05 9.25e-06 1.63e-05 4.905e-05 1.695e-05 6.02e-05 3.575e-05 1.89e-05 1.07e-05 7.845e-05 1.57e-05 5.165e-05 1.875e-05 8e-06 6.72e-05 9.25e-06 3.645e-05 1.895e-05 5.615e-05 3.195e-05 2.46e-05 4.88e-05 4.585e-05 7.09e-05 1.125e-05 4.915e-05 7.285e-05 9.11e-05 4.97e-05 3.645e-05 2.5e-05 7.085e-05
22 4.445e-05 6.755e-05 8.575e-05 7.9e-05 5.4e-05 8.885e-05 5.67e-05 5.485e-05 6.36e-05 8.505e-05 6.055e-05 5.27e-05 5.265e-05 5.505e-05 7.54e-05 5.975e-05 8.095e-05 6.73e-05 5.44e-05 5.55e-05 8.755e-05 5.165e-05 8.89e-05 5.26e-05 4.985e-05 9.065e-05 5.265e-05 6.57e-05 5.455e-05 7.62e-05 5.775e-05 5.61e-05 7.88e-05 7.43e-05 8.065e-05 4.745e-05 7.555e-05 9.545e-05 9.575e-05 7.1e-05 6.74e-05 6.335e-05 8.075e-05
23 9.43e-05 4.215e-05 7.08e-05 4.895e-05 1.845e-05 7.08e-05 1.86e-05 2.285e-05 2.1e-05 5.48e-05 3.48e-05 1.08e-05 1.875e-05 2.11e-05 5.64e-05 2.62e-05 4.88e-05 4.16e-05 2.465e-05 2.645e-05 7.315e-05 1.875e-05 5.26e-05 2.16e-05 1.115e-05 6.72e-05 1.875e-05 3.485e-05 2.455e-05 5.755e-05 3.455e-05 2.22e-05 4.875e-05 4.425e-05 7.085e-05 1.71e-05 5.65e-05 6.41e-05 9.26e-05 5.825e-05 4.225e-05 2.685e-05 7.09e-05
24 9.31e-05 4.4e-05 7.22e-05 5.055e-05 1.85e-05 6.85e-05 1.535e-05 1.245e-05 2.535e-05 5.46e-05 2.895e-05 1.1e-05 9.35e-06 1.62e-05 5.05e-05 2.45e-05 5.31e-05 3.575e-05 2.47e-05 1.825e-05 7.455e-05 8e-06 4.985e-05 1.115e-05 4e-07 7.295e-05 9.35e-06 3.635e-05 2.48e-05 5.765e-05 3.185e-05 1.695e-05 5.035e-05 4.585e-05 6.475e-05 9.65e-06 5.065e-05 6.85e-05 8.665e-05 5.715e-05 4.39e-05 3.135e-05 6.495e-05
25 0.0001053 6.265e-05 0.0001091 7.84e-05 6.11e-05 7.715e-05 5.96e-05 6.71e-05 5.22e-05 6.25e-05 7.575e-05 6.705e-05 6.625e-05 6.4e-05 8.9e-05 5.325e-05 8.845e-05 7.87e-05 5.535e-05 5.965e-05 0.00010875 6.72e-05 9.065e-05 6.72e-05 7.295e-05 9.26e-05 6.625e-05 6.86e-05 5.565e-05 9.145e-05 7.715e-05 7.99e-05 7.82e-05 7.53e-05 0.00011635 6.865e-05 8.92e-05 9.835e-05 0.00012985 7.835e-05 6.235e-05 4.65e-05 0.0001164
26 8.995e-05 3.63e-05 7.805e-05 4.875e-05 1.87e-05 6.2e-05 1.57e-05 1.14e-05 2.44e-05 4.73e-05 2.985e-05 1.86e-05 9.05e-06 1.64e-05 4.995e-05 1.56e-05 5.92e-05 3.67e-05 1.895e-05 9.1e-06 7.825e-05 9.25e-06 5.265e-05 1.875e-05 9.35e-06 6.625e-05 1.81e-05 3.63e-05 1.895e-05 5.61e-05 3.285e-05 2.565e-05 4.855e-05 4.575e-05 7.185e-05 1.24e-05 5e-05 7.165e-05 9.19e-05 5.04e-05 3.63e-05 2.4e-05 7.175e-05
27 9.415e-05 3.205e-05 7.385e-05 4.46e-05 3.47e-05 5.59e-05 3.43e-05 3.835e-05 3.47e-05 5.675e-05 3.41e-05 3.47e-05 3.63e-05 3.395e-05 5.41e-05 3.435e-05 6.915e-05 3.395e-05 3.505e-05 3.63e-05 7.405e-05 3.645e-05 6.57e-05 3.485e-05 3.635e-05 6.86e-05 3.63e-05 6.31e-05 3.505e-05 7.23e-05 3.44e-05 3.64e-05 4.44e-05 4.15e-05 7.625e-05 3.7e-05 5.415e-05 8.215e-05 9.64e-05 3.16e-05 3.205e-05 3.43e-05 7.635e-05
28 8.455e-05 2.885e-05 8.285e-05 4.755e-05 1.855e-05 5.745e-05 1.87e-05 1.995e-05 2.11e-05 4.165e-05 3.5e-05 2.455e-05 1.895e-05 2.13e-05 5.5e-05 1.29e-05 6.195e-05 4.18e-05 1.27e-05 1.32e-05 8.25e-05 1.895e-05 5.455e-05 2.455e-05 2.48e-05 5.565e-05 1.895e-05 3.505e-05 2.53e-05 5.605e-05 3.475e-05 3.585e-05 4.735e-05 4.445e-05 8.29e-05 1.87e-05 5.51e-05 7.455e-05 0.00010305 4.5e-05 2.89e-05 1.47e-05 8.295e-05
29 9.5e-05 7.065e-05 7.665e-05 7.255e-05 5.57e-05 9.9e-05 5.585e-05 5.625e-05 5.77e-05 8.33e-05 7.225e-05 5.76e-05 5.61e-05 5.855e-05 7.035e-05 5.46e-05 5.705e-05 7.905e-05 5.585e-05 5.465e-05 7.525e-05 5.615e-05 7.62e-05 5.755e-05 5.765e-05 9.145e-05 5.61e-05 7.23e-05 5.605e-05 0.0001082 7.2e-05 6.875e-05 7.235e-05 7.41e-05 7.67e-05 5.755e-05 7.055e-05 5.61e-05 7.505e-05 8.665e-05 7.045e-05 5.645e-05 7.675e-05
30 8.885e-05 3.455e-05 7.64e-05 4.71e-05 3.435e-05 4.925e-05 3.7e-05 3.365e-05 4.465e-05 5.685e-05 2.93e-05 3.46e-05 3.285e-05 3.52e-05 4.935e-05 3.815e-05 7.935e-05 2.915e-05 3.47e-05 3.39e-05 7.66e-05 3.195e-05 5.775e-05 3.455e-05 3.185e-05 7.715e-05 3.285e-05 3.44e-05 3.475e-05 7.2e-05 5.31e-05 2.68e-05 4.69e-05 4.4e-05 7.14e-05 2.945e-05 4.935e-05 9.215e-05 9.155e-05 2.66e-05 3.445e-05 4.425e-05 7.15e-05
31 9.965e-05 4.405e-05 7.23e-05 5.065e-05 2.95e-05 5.715e-05 3.175e-05 2.88e-05 4.155e-05 5.94e-05 2.915e-05 2.2e-05 2.565e-05 3.255e-05 5.065e-05 4.065e-05 6.93e-05 2.9e-05 3.575e-05 3.44e-05 7.465e-05 2.46e-05 5.61e-05 2.22e-05 1.695e-05 7.99e-05 2.565e-05 3.64e-05 3.585e-05 6.875e-05 2.68e-05 2.41e-05 5.045e-05 4.595e-05 6.51e-05 2.085e-05 5.08e-05 8.475e-05 8.685e-05 4.11e-05 4.395e-05 4.755e-05 6.52e-05
32 0.0001063 4.28e-05 7.58e-05 4.27e-05 4.71e-05 6.6e-05 4.665e-05 4.84e-05 4.44e-05 6.67e-05 4.655e-05 4.86e-05 4.855e-05 4.65e-05 5.49e-05 4.49e-05 7.23e-05 4.645e-05 4.74e-05 4.685e-05 7.44e-05 4.88e-05 7.88e-05 4.875e-05 5.035e-05 7.82e-05 4.855e-05 4.44e-05 4.735e-05 7.235e-05 4.69e-05 5.045e-05 8.5e-05 4.425e-05 7.805e-05 5.1e-05 5.495e-05 6.94e-05 8.65e-05 4.255e-05 4.285e-05 4.44e-05 7.81e-05
33 0.0001018 4.15e-05 7.595e-05 4.445e-05 4.42e-05 6.47e-05 4.375e-05 4.71e-05 4.15e-05 6.54e-05 4.365e-05 4.41e-05 4.575e-05 4.36e-05 5.665e-05 4.37e-05 7.115e-05 4.355e-05 4.45e-05 4.575e-05 7.615e-05 4.585e-05 7.43e-05 4.425e-05 4.585e-05 7.53e-05 4.575e-05 4.15e-05 4.445e-05 7.41e-05 4.4e-05 4.595e-05 4.425e-05 8.24e-05 7.82e-05 4.65e-05 5.67e-05 7.42e-05 9.13e-05 4.125e-05 4.155e-05 4.2e-05 7.825e-05
34 9.54e-05 8.235e-05 6.99e-05 7.825e-05 7.655e-05 9.955e-05 7.605e-05 7.355e-05 8.33e-05 0.00010455 7.105e-05 7.07e-05 7.185e-05 7.435e-05 7.07e-05 8.325e-05 7.54e-05 7.09e-05 8.28e-05 7.885e-05 7.065e-05 7.09e-05 8.065e-05 7.085e-05 6.475e-05 0.00011635 7.185e-05 7.625e-05 8.29e-05 7.67e-05 7.14e-05 6.51e-05 7.805e-05 7.82e-05 0.0001292 7.15e-05 7.085e-05 7.73e-05 6.465e-05 7.695e-05 8.225e-05 8.855e-05 6.485e-05
35 8.54e-05 3.875e-05 7.875e-05 5.12e-05 1.835e-05 6.045e-05 1.845e-05 1.465e-05 2.825e-05 4.925e-05 2.955e-05 1.715e-05 1.24e-05 1.94e-05 5.115e-05 2.17e-05 6.21e-05 3.64e-05 1.84e-05 1.545e-05 8.055e-05 1.125e-05 4.745e-05 1.71e-05 9.65e-06 6.865e-05 1.24e-05 3.7e-05 1.87e-05 5.755e-05 2.945e-05 2.085e-05 5.1e-05 4.65e-05 7.15e-05 1.88e-05 5.135e-05 7.75e-05 9.325e-05 4.945e-05 3.845e-05 2.835e-05 7.145e-05
36 9.945e-05 5.27e-05 7.59e-05 5.515e-05 5.475e-05 7.005e-05 5.43e-05 4.945e-05 6.2e-05 7.52e-05 4.9e-05 5.635e-05 5e-05 5.245e-05 4.72e-05 5.375e-05 7.775e-05 4.885e-05 5.51e-05 4.94e-05 7.45e-05 4.915e-05 7.555e-05 5.65e-05 5.065e-05 8.92e-05 5e-05 5.415e-05 5.51e-05 7.055e-05 4.935e-05 5.08e-05 5.495e-05 5.67e-05 7.085e-05 5.135e-05 9.43e-05 7.755e-05 6.915e-05 4.72e-05 5.265e-05 6.085e-05 7.095e-05
37 0.0001165 8.625e-05 7e-05 6.96e-05 6.845e-05 0.00012325 6.55e-05 7.325e-05 5.745e-05 0.0001005 8.93e-05 6.395e-05 7.165e-05 6.97e-05 7.74e-05 6.87e-05 4.285e-05 9.615e-05 7.46e-05 7.495e-05 6.915e-05 7.285e-05 9.545e-05 6.41e-05 6.85e-05 9.835e-05 7.165e-05 8.215e-05 7.455e-05 5.61e-05 9.215e-05 8.475e-05 6.94e-05 7.42e-05 7.73e-05 7.75e-05 7.755e-05 5.78e-05 6.555e-05 0.00010995 8.63e-05 6.3e-05 7.73e-05
38 0.00010385 0.0001009 6.98e-05 8.67e-05 9.67e-05 0.0001181 9.625e-05 9.21e-05 0.00010345 0.00012315 9.12e-05 9.245e-05 9.19e-05 9.455e-05 6.9e-05 0.0001017 7.665e-05 9.105e-05 0.00010295 9.72e-05 6.895e-05 9.11e-05 9.575e-05 9.26e-05 8.665e-05 0.00012985 9.19e-05 9.64e-05 0.00010305 7.505e-05 9.155e-05 8.685e-05 8.65e-05 9.13e-05 6.465e-05 9.325e-05 6.915e-05 6.555e-05 8.53e-05 9.55e-05 0.0001008 0.00010795 6.47e-05
39 8.885e-05 2.415e-05 7.975e-05 4.27e-05 5.065e-05 3.445e-05 5.27e-05 4.93e-05 5.82e-05 5.855e-05 2.875e-05 5.81e-05 5.04e-05 4.825e-05 4.725e-05 4.595e-05 9.98e-05 2.17e-05 4.51e-05 4.37e-05 7.78e-05 4.97e-05 7.1e-05 5.825e-05 5.715e-05 7.835e-05 5.04e-05 3.16e-05 4.5e-05 8.665e-05 2.66e-05 4.11e-05 4.255e-05 4.125e-05 7.695e-05 4.945e-05 4.72e-05 0.00010995 9.55e-05 1e-07 2.43e-05 5.14e-05 7.705e-05
40 9.005e-05 2.455e-05 8e-05 4.305e-05 3.445e-05 4.83e-05 3.405e-05 3.605e-05 3.43e-05 4.92e-05 3.415e-05 4.21e-05 3.63e-05 3.415e-05 5.26e-05 2.675e-05 7.63e-05 3.405e-05 2.865e-05 2.88e-05 7.805e-05 3.645e-05 6.74e-05 4.225e-05 4.39e-05 6.235e-05 3.63e-05 3.205e-05 2.89e-05 7.045e-05 3.445e-05 4.395e-05 4.285e-05 4.155e-05 8.225e-05 3.845e-05 5.265e-05 8.63e-05 0.0001008 2.43e-05 4.85e-05 2.745e-05 8.23e-05
41 8.955e-05 2.77e-05 8.125e-05 4.46e-05 2.03e-05 6.525e-05 1.74e-05 2.575e-05 1.1e-05 4.265e-05 4.145e-05 2.67e-05 2.4e-05 2.185e-05 6.065e-05 1.035e-05 5.26e-05 4.83e-05 1.445e-05 1.68e-05 8.04e-05 2.5e-05 6.335e-05 2.685e-05 3.135e-05 4.65e-05 2.4e-05 3.43e-05 1.47e-05 5.645e-05 4.425e-05 4.755e-05 4.44e-05 4.2e-05 8.855e-05 2.835e-05 6.085e-05 6.3e-05 0.00010795 5.14e-05 2.745e-05 6.9e-06 8.855e-05
42 9.55e-05 8.24e-05 7e-05 7.83e-05 7.665e-05 9.965e-05 7.615e-05 7.365e-05 8.33e-05 0.0001047 7.1e-05 7.075e-05 7.175e-05 7.445e-05 7.08e-05 8.325e-05 7.545e-05 7.095e-05 8.285e-05 7.885e-05 7.075e-05 7.085e-05 8.075e-05 7.09e-05 6.495e-05 0.0001164 7.175e-05 7.635e-05 8.295e-05 7.675e-05 7.15e-05 6.52e-05 7.81e-05 7.825e-05 6.485e-05 7.145e-05 7.095e-05 7.73e-05 6.47e-05 7.705e-05 8.23e-05 8.855e-05 0.0001294
