 slim_762280371 slim_762280362 slim_762280347 slim_762280351 slim_762280363 slim_762280354 slim_762280346 slim_762280369 slim_762280374 slim_762280352 slim_762280344 slim_762280353 slim_762280348 slim_762280366 slim_762280368 slim_762280364 slim_762280357 slim_762280375 slim_762280343 slim_762280350 slim_762280355 slim_762280370 slim_762280360 slim_762280365 slim_762280373 slim_762280376 slim_762280367 slim_762280372 slim_762280349 slim_762280359 slim_762280361 slim_762280342 slim_762280356 slim_762280345 slim_762280358
11 1.55e-06 1.25e-06 1.5e-06 9.5e-07 1.35e-06 1.45e-06 1.15e-06 1.25e-06 1e-06 1.3e-06 1.45e-06 9e-07 1.35e-06 1.2e-06 1.35e-06 9.5e-07 8.5e-07 1.25e-06 1.55e-06 8e-07 1.05e-06 1.2e-06 8e-07 1.05e-06 1.25e-06 1.45e-06 1.4e-06 1.15e-06 1.05e-06 1.35e-06 1.5e-06 1.3e-06 1.15e-06 1e-06 1.3e-06
12 1.25e-06 1.35e-06 1.35e-06 1.35e-06 1.65e-06 1.3e-06 1.2e-06 1.4e-06 1.65e-06 1.75e-06 1.4e-06 1.35e-06 2e-06 1.4e-06 1.2e-06 1.55e-06 1.6e-06 1e-06 1.5e-06 1.55e-06 1.2e-06 1.35e-06 1.65e-06 1.2e-06 1.35e-06 1.55e-06 1.25e-06 1.45e-06 1.45e-06 1.1e-06 1.7e-06 1.4e-06 1.3e-06 1.55e-06 1.25e-06
13 1.7e-06 1.15e-06 1.95e-06 1.55e-06 1e-06 1.35e-06 1.1e-06 1.55e-06 1.7e-06 9e-07 1.85e-06 1.2e-06 1.4e-06 1.7e-06 1.35e-06 1.5e-06 9.5e-07 1.4e-06 1.55e-06 1.1e-06 1.1e-06 1.25e-06 1.5e-06 1.7e-06 1.65e-06 1.55e-06 1e-06 1.2e-06 1.35e-06 1.45e-06 1.6e-06 1.6e-06 1.2e-06 1.2e-06 1.35e-06
14 1.55e-06 1.3e-06 1.65e-06 1.35e-06 1.65e-06 1.45e-06 1.25e-06 1.4e-06 1.75e-06 1.75e-06 1e-06 1.35e-06 1.2e-06 1.35e-06 1.9e-06 1.7e-06 1.5e-06 1.2e-06 1.3e-06 1.6e-06 1.25e-06 1.45e-06 1.6e-06 1.5e-06 1.5e-06 1.75e-06 1.25e-06 1.35e-06 1.45e-06 1.3e-06 1.7e-06 1.1e-06 1.4e-06 1.65e-06 1.15e-06
15 1.5e-06 1.5e-06 1.3e-06 1.15e-06 1.45e-06 1.45e-06 1.15e-06 1.1e-06 1e-06 1.4e-06 1.7e-06 9.5e-07 1.55e-06 1.5e-06 1.7e-06 1.2e-06 1.25e-06 1.45e-06 1.7e-06 1e-06 1.05e-06 1e-06 1.2e-06 1.15e-06 1.1e-06 1.5e-06 1.65e-06 1.35e-06 1.3e-06 1.4e-06 1.65e-06 1.65e-06 9.5e-07 1.2e-06 1.6e-06
16 1.8e-06 1.2e-06 1.9e-06 1.3e-06 1e-06 1.45e-06 1.25e-06 1.4e-06 1.45e-06 7.5e-07 1.7e-06 8.5e-07 1.6e-06 9.5e-07 1.5e-06 1.25e-06 1.2e-06 1.5e-06 1.6e-06 8e-07 1.15e-06 1.3e-06 1.15e-06 1.5e-06 1.55e-06 1.4e-06 1.35e-06 1e-06 1.3e-06 1.55e-06 1.45e-06 1.45e-06 1.25e-06 1e-06 1.4e-06
17 1.15e-06 1.25e-06 1.25e-06 1.25e-06 1.55e-06 1.2e-06 1.2e-06 1.3e-06 1.55e-06 1.65e-06 1.3e-06 1.25e-06 1e-06 1.4e-06 1.2e-06 1.45e-06 1.5e-06 1.8e-06 1.4e-06 1.45e-06 1.1e-06 1.25e-06 1.55e-06 1.1e-06 1.25e-06 1.45e-06 1.25e-06 1.35e-06 1.35e-06 1e-06 1.6e-06 1.3e-06 1.2e-06 1.45e-06 1.15e-06
18 1.5e-06 1.25e-06 1.7e-06 1.4e-06 1.4e-06 1.35e-06 1.55e-06 1.45e-06 1.9e-06 1.65e-06 1.2e-06 1.55e-06 1.5e-06 1.55e-06 1.3e-06 1.7e-06 1.6e-06 1.4e-06 2.3e-06 1.6e-06 1.45e-06 1.4e-06 1.85e-06 1.55e-06 1.6e-06 1.75e-06 1.3e-06 1.45e-06 1.7e-06 1.5e-06 1.75e-06 1.3e-06 1.4e-06 1.65e-06 1.3e-06
19 1.65e-06 1.45e-06 1.55e-06 9.5e-07 1.05e-06 1.35e-06 1.35e-06 1.2e-06 1.15e-06 7e-07 1.55e-06 8e-07 1.55e-06 1.1e-06 1.6e-06 1e-06 8e-07 1.45e-06 1.6e-06 1.1e-06 1.25e-06 1.3e-06 1.15e-06 1.05e-06 1.25e-06 1.15e-06 1.6e-06 1e-06 1.4e-06 1.55e-06 1.25e-06 1.55e-06 1.25e-06 7.5e-07 1.45e-06
20 1.35e-06 1.05e-06 1.6e-06 1.4e-06 1.25e-06 1.3e-06 7.5e-07 1.15e-06 1.4e-06 1.35e-06 1.65e-06 1.05e-06 1.2e-06 1.1e-06 1.25e-06 1.05e-06 1.15e-06 1.1e-06 1.45e-06 1.25e-06 1.3e-06 8e-07 1.35e-06 1.45e-06 1.2e-06 1.6e-06 1e-06 1.3e-06 1.15e-06 1.05e-06 1.7e-06 1.4e-06 7.5e-07 1.35e-06 1.2e-06
21 1.25e-06 1.05e-06 1.6e-06 1.45e-06 1.15e-06 1.25e-06 9e-07 1.2e-06 1.5e-06 1.4e-06 1.8e-06 1.2e-06 1.35e-06 1.25e-06 1.45e-06 1e-06 1.3e-06 1.25e-06 1.4e-06 1.3e-06 8e-07 1.4e-06 1.55e-06 1.5e-06 1.25e-06 1.65e-06 1e-06 1.45e-06 1.35e-06 1.2e-06 1.8e-06 1.6e-06 7e-07 1.4e-06 1.35e-06
22 1.9e-06 1.55e-06 1.65e-06 1.3e-06 1.7e-06 1.8e-06 1.45e-06 1.6e-06 1.15e-06 1.65e-06 1.7e-06 8e-07 1.65e-06 1.5e-06 1.6e-06 1.2e-06 1.15e-06 1.55e-06 1.85e-06 1.15e-06 1.35e-06 1.55e-06 1.4e-06 1.4e-06 1.6e-06 1.8e-06 1.7e-06 1.45e-06 1.15e-06 1.65e-06 1.8e-06 1.55e-06 1.5e-06 1.35e-06 1.6e-06
23 1.25e-06 1.7e-06 1e-06 7.5e-07 1.7e-06 1.3e-06 1.55e-06 1.05e-06 1.2e-06 1.55e-06 1.1e-06 1.05e-06 1.2e-06 1.7e-06 1.5e-06 1.15e-06 1.5e-06 1.1e-06 1.55e-06 1.05e-06 1.45e-06 1.5e-06 1.4e-06 1e-06 1e-06 1.15e-06 1.9e-06 1.25e-06 1.6e-06 1.25e-06 1.35e-06 1.4e-06 1.45e-06 1.1e-06 1.35e-06
24 1.45e-06 1.6e-06 1.25e-06 1.05e-06 1.7e-06 1.35e-06 1.3e-06 1e-06 1.35e-06 1.55e-06 1.25e-06 1.25e-06 1.35e-06 1.65e-06 1.5e-06 1.1e-06 1.55e-06 1.25e-06 1.6e-06 1.25e-06 1.2e-06 1.25e-06 1.6e-06 1e-06 1.5e-06 1.4e-06 1.8e-06 1.3e-06 1.65e-06 1.25e-06 1.5e-06 1.4e-06 1.2e-06 1.3e-06 1.4e-06
25 1.6e-06 1.75e-06 1.5e-06 1.25e-06 1.5e-06 1.45e-06 1.7e-06 1.35e-06 1.7e-06 1.1e-06 1.5e-06 1.45e-06 1.55e-06 1.55e-06 1.75e-06 1.5e-06 1.4e-06 1.45e-06 1.75e-06 1.15e-06 1.6e-06 1.65e-06 1.8e-06 1.15e-06 1.4e-06 2.2e-06 1.95e-06 1.25e-06 1.9e-06 1.55e-06 1.45e-06 1.65e-06 1.6e-06 1.25e-06 1.6e-06
26 1.4e-06 8e-07 1.95e-06 1.8e-06 1e-06 1.2e-06 1e-06 1.75e-06 1.9e-06 1.5e-06 2.05e-06 1.4e-06 1.25e-06 1e-06 1.25e-06 1.65e-06 1.35e-06 1.25e-06 1.3e-06 1.6e-06 1e-06 1e-06 1.7e-06 1.9e-06 1.8e-06 1.95e-06 9e-07 1.6e-06 1.25e-06 1.3e-06 2e-06 1.7e-06 1e-06 1.6e-06 1.25e-06
27 1.65e-06 1.35e-06 1.55e-06 1.1e-06 1.25e-06 1.3e-06 1.4e-06 1.15e-06 1.5e-06 9.5e-07 1.15e-06 1.15e-06 1.45e-06 1.2e-06 1.35e-06 1.35e-06 1e-06 1.35e-06 1.45e-06 1e-06 1.3e-06 1.45e-06 1.45e-06 1.25e-06 1.3e-06 1.25e-06 1.6e-06 1.7e-06 1.5e-06 1.4e-06 1.3e-06 1.2e-06 1.4e-06 1.15e-06 1.25e-06
28 1.7e-06 1.3e-06 1.6e-06 1.55e-06 1.55e-06 1.55e-06 1.25e-06 1.7e-06 1.15e-06 1.7e-06 1.85e-06 1.05e-06 1.45e-06 1.35e-06 1.45e-06 1.3e-06 1.3e-06 1.35e-06 1.7e-06 1.4e-06 1.15e-06 1.35e-06 1.15e-06 1.6e-06 1.65e-06 1.9e-06 1.25e-06 1.5e-06 1.7e-06 1.4e-06 1.9e-06 1.6e-06 1.3e-06 1.5e-06 1.45e-06
29 1.25e-06 1.3e-06 1.35e-06 1.4e-06 1.6e-06 1.25e-06 1.15e-06 1.3e-06 1.65e-06 1.7e-06 1.45e-06 1.35e-06 1.1e-06 1.45e-06 1.3e-06 1.4e-06 1.55e-06 1e-06 1.5e-06 1.55e-06 1.05e-06 1.2e-06 1.65e-06 1.25e-06 1.25e-06 1.55e-06 1.3e-06 1.4e-06 1.4e-06 1.9e-06 1.7e-06 1.4e-06 1.15e-06 1.55e-06 1.25e-06
30 1.85e-06 1.8e-06 1.65e-06 1.35e-06 1.6e-06 1.55e-06 1.8e-06 1.5e-06 1.75e-06 1.25e-06 1.4e-06 1.5e-06 1.7e-06 1.6e-06 1.7e-06 1.65e-06 1.45e-06 1.6e-06 1.75e-06 1.25e-06 1.7e-06 1.8e-06 1.8e-06 1.35e-06 1.5e-06 1.45e-06 2e-06 1.3e-06 1.9e-06 1.7e-06 2.4e-06 1.6e-06 1.75e-06 1.35e-06 1.65e-06
31 1.65e-06 1.3e-06 1.55e-06 1.2e-06 1.8e-06 1.55e-06 1.5e-06 1.25e-06 1.7e-06 1.75e-06 7.5e-07 1.3e-06 1.4e-06 1.6e-06 1.1e-06 1.65e-06 1.45e-06 1.3e-06 1.3e-06 1.55e-06 1.4e-06 1.6e-06 1.55e-06 1.4e-06 1.4e-06 1.65e-06 1.7e-06 1.2e-06 1.6e-06 1.4e-06 1.6e-06 1.4e-06 1.55e-06 1.7e-06 1.2e-06
32 1.25e-06 1.05e-06 1.55e-06 1.4e-06 1.15e-06 1.2e-06 8.5e-07 1.15e-06 1.45e-06 1.35e-06 1.75e-06 1.15e-06 1.3e-06 1.2e-06 1.4e-06 9.5e-07 1.25e-06 1.2e-06 1.4e-06 1.25e-06 7.5e-07 7e-07 1.5e-06 1.45e-06 1.2e-06 1.6e-06 1e-06 1.4e-06 1.3e-06 1.15e-06 1.75e-06 1.55e-06 1.3e-06 1.35e-06 1.3e-06
33 1.65e-06 1.55e-06 1.6e-06 1.1e-06 1.15e-06 1.35e-06 1.45e-06 1.35e-06 1.35e-06 8.5e-07 1.65e-06 1e-06 1.55e-06 1.2e-06 1.65e-06 1.2e-06 1e-06 1.45e-06 1.65e-06 7.5e-07 1.35e-06 1.4e-06 1.35e-06 1.1e-06 1.3e-06 1.25e-06 1.6e-06 1.15e-06 1.5e-06 1.55e-06 1.35e-06 1.7e-06 1.35e-06 1.5e-06 1.5e-06
34 1.45e-06 1.2e-06 1.6e-06 1.15e-06 1.45e-06 1.3e-06 1.3e-06 1.2e-06 1.7e-06 1.55e-06 1.15e-06 1.3e-06 1.25e-06 1.35e-06 1.15e-06 1.6e-06 1.4e-06 1.15e-06 1.3e-06 1.45e-06 1.2e-06 1.35e-06 1.6e-06 1.35e-06 1.4e-06 1.6e-06 1.25e-06 1.25e-06 1.45e-06 1.25e-06 1.65e-06 1.2e-06 1.3e-06 1.5e-06 1.9e-06
