 slim_762183104 slim_762183096 slim_762183098 slim_762183093 slim_762183105 slim_762183106 slim_762183085 slim_762183086 slim_762183100 slim_762183089 slim_762183101 slim_762183095 slim_762183103 slim_762183088 slim_762183083 slim_762183109 slim_762183080 slim_762183110 slim_762183081 slim_762183107 slim_762183099 slim_762183092 slim_762183094 slim_762183090 slim_762183102 slim_762183087 slim_762183097 slim_762183084 slim_762183108 slim_762183082 slim_762183091
13 1.65e-06 1.55e-06 1.55e-06 1.25e-06 1.45e-06 1.55e-06 1.7e-06 1.3e-06 1.15e-06 1.45e-06 1.9e-06 1.4e-06 1.9e-06 2.1e-06 1.6e-06 1.4e-06 1.3e-06 1.5e-06 1.35e-06 1.35e-06 1.45e-06 1.45e-06 1.7e-06 1.55e-06 1.45e-06 1.4e-06 1.45e-06 1.75e-06 1.75e-06 1.25e-06 1.35e-06
14 1.55e-06 1.5e-06 1.3e-06 1.8e-06 1.9e-06 1.65e-06 1.95e-06 1.25e-06 9.5e-07 1.7e-06 1.6e-06 1.85e-06 1.95e-06 1.6e-06 1.6e-06 1.45e-06 1.7e-06 1.6e-06 1.2e-06 1.55e-06 1.25e-06 1.45e-06 2.3e-06 1.75e-06 1.3e-06 1.5e-06 1.3e-06 2e-06 1.8e-06 1.6e-06 1.55e-06
15 1.45e-06 9e-07 1.2e-06 1.1e-06 1.1e-06 1.2e-06 1.45e-06 1.15e-06 8e-07 1.35e-06 1.05e-06 1.5e-06 1.3e-06 1.4e-06 1.45e-06 1e-06 1.45e-06 1e-06 1.1e-06 9e-07 1.15e-06 8.5e-07 1.85e-06 1.2e-06 9.5e-07 1.4e-06 9.5e-07 1.5e-06 1.35e-06 1.05e-06 9e-07
16 1.75e-06 1.55e-06 1.8e-06 1.3e-06 1.45e-06 1.6e-06 1.7e-06 1.55e-06 1.25e-06 1.75e-06 1.95e-06 1.7e-06 1.95e-06 1.3e-06 1.7e-06 1.45e-06 2.1e-06 1.55e-06 1.55e-06 1.4e-06 1.7e-06 1.55e-06 1.7e-06 1.7e-06 1.4e-06 1.6e-06 1.4e-06 1.75e-06 1.75e-06 1.25e-06 1.4e-06
17 1.6e-06 1.25e-06 1.5e-06 1.2e-06 1.25e-06 1.05e-06 1.35e-06 1.3e-06 1.05e-06 1.4e-06 1.2e-06 1.35e-06 1.5e-06 1.5e-06 1.6e-06 1e-06 1.55e-06 1.5e-06 1.3e-06 8.5e-07 1.35e-06 1.1e-06 1.75e-06 1.25e-06 1.4e-06 1.35e-06 1.4e-06 1.4e-06 1.65e-06 1.1e-06 8.5e-07
18 1.4e-06 1.25e-06 1.2e-06 1.5e-06 1.65e-06 1.45e-06 1.7e-06 7.5e-07 7e-07 1.4e-06 1.45e-06 1.55e-06 1.75e-06 1.35e-06 1.2e-06 1.1e-06 1.55e-06 1.3e-06 1.3e-06 1.2e-06 1.05e-06 1.05e-06 2.1e-06 1.45e-06 1.2e-06 1.3e-06 1.2e-06 1.75e-06 1.65e-06 1.3e-06 1.2e-06
19 1.5e-06 1.05e-06 1.45e-06 1.1e-06 1.15e-06 1e-06 1.25e-06 1.2e-06 8.5e-07 1.25e-06 1.25e-06 1.2e-06 1.4e-06 1.35e-06 1.55e-06 9e-07 1.4e-06 8.5e-07 1.2e-06 1.2e-06 1.35e-06 9e-07 1.65e-06 1.15e-06 1.25e-06 1.2e-06 1.25e-06 1.3e-06 1.55e-06 9e-07 6e-07
20 1.5e-06 1.25e-06 1.05e-06 1.65e-06 1.6e-06 1.5e-06 1.75e-06 1.05e-06 9e-07 1.5e-06 1.15e-06 1.65e-06 1.65e-06 1.45e-06 1.25e-06 1.15e-06 1.7e-06 1.35e-06 1.05e-06 1.35e-06 1.7e-06 1.25e-06 2.15e-06 1.6e-06 1.2e-06 1.45e-06 1.2e-06 1.8e-06 1.6e-06 1.45e-06 1.35e-06
21 1.55e-06 1.05e-06 1.35e-06 1.25e-06 1.45e-06 1.25e-06 1.65e-06 1.1e-06 7.5e-07 1.35e-06 1.35e-06 1.5e-06 1.6e-06 1.45e-06 1.45e-06 8.5e-07 1.55e-06 1.1e-06 1.05e-06 9e-07 1.25e-06 1.2e-06 2.05e-06 1.3e-06 1.15e-06 1.45e-06 1.15e-06 1.7e-06 1.55e-06 1.15e-06 9e-07
22 1.6e-06 1.85e-06 2.2e-06 1.65e-06 1.6e-06 1.8e-06 1.2e-06 2.05e-06 1.8e-06 2.15e-06 2.2e-06 2e-06 1.6e-06 1.7e-06 2.3e-06 1.85e-06 1.7e-06 1.75e-06 2.1e-06 1.65e-06 2.15e-06 2.05e-06 2.3e-06 2.05e-06 1.9e-06 1.9e-06 1.9e-06 1.25e-06 1.8e-06 1.45e-06 1.65e-06
23 1.7e-06 1.55e-06 1.7e-06 1.35e-06 1.6e-06 1.4e-06 1.7e-06 1.45e-06 1.15e-06 1.45e-06 1.65e-06 1.4e-06 1.8e-06 1.55e-06 1.75e-06 1.2e-06 1.7e-06 1.25e-06 1.45e-06 1.15e-06 1.6e-06 1.3e-06 2.05e-06 2e-06 1.55e-06 1.15e-06 1.55e-06 1.75e-06 1.95e-06 1.4e-06 1.15e-06
24 1.45e-06 8.5e-07 1.25e-06 1.45e-06 1.25e-06 1.45e-06 1.55e-06 1.25e-06 9e-07 1.6e-06 1.3e-06 1.75e-06 1.5e-06 1.45e-06 1.3e-06 9.5e-07 1.4e-06 1.4e-06 1.2e-06 1.25e-06 1.2e-06 1.15e-06 1.9e-06 1.55e-06 1.4e-06 1.45e-06 7e-07 1.6e-06 1.2e-06 1.2e-06 1.25e-06
25 1.5e-06 1.45e-06 1.55e-06 1.55e-06 1.55e-06 1.4e-06 1.55e-06 1.3e-06 1e-06 1.45e-06 1.7e-06 1.4e-06 1.75e-06 1.4e-06 1.5e-06 1.4e-06 1.6e-06 1.35e-06 1.3e-06 1.2e-06 1.45e-06 1.45e-06 1.9e-06 1.15e-06 1.45e-06 1.4e-06 1.45e-06 1.6e-06 1.8e-06 1.3e-06 1.2e-06
26 1.45e-06 8.5e-07 1.25e-06 1.45e-06 1.25e-06 1.45e-06 1.55e-06 1.25e-06 9e-07 1.6e-06 1.3e-06 1.75e-06 1.5e-06 1.45e-06 1.3e-06 9.5e-07 1.4e-06 1.4e-06 1.2e-06 1.25e-06 1.2e-06 1.15e-06 1.9e-06 1.55e-06 7e-07 1.45e-06 1.4e-06 1.6e-06 1.2e-06 1.2e-06 1.25e-06
27 1.2e-06 1.5e-06 1.8e-06 1.7e-06 1.45e-06 1.5e-06 7.5e-07 1.7e-06 1.45e-06 1.85e-06 1.8e-06 1.7e-06 1.25e-06 1.75e-06 2e-06 1.5e-06 1.75e-06 1.4e-06 1.75e-06 1.3e-06 1.8e-06 1.7e-06 1.25e-06 1.75e-06 1.6e-06 1.6e-06 1.6e-06 1.5e-06 1.65e-06 1.25e-06 1.3e-06
28 1.65e-06 1.15e-06 1.65e-06 1.7e-06 1.45e-06 1.7e-06 1.6e-06 1.7e-06 1.35e-06 2.05e-06 1.55e-06 2.2e-06 1.55e-06 1.75e-06 1.8e-06 1.35e-06 1.75e-06 1.65e-06 1.65e-06 1.55e-06 1.6e-06 1.55e-06 1.8e-06 1.95e-06 1.2e-06 1.8e-06 1.2e-06 1.65e-06 2e-06 1.4e-06 1.55e-06
29 1.5e-06 1e-06 1.5e-06 1.15e-06 1e-06 1.2e-06 1.2e-06 1.3e-06 9.5e-07 1.5e-06 1.5e-06 1.45e-06 1.5e-06 1.25e-06 1.6e-06 1.05e-06 1.25e-06 1.1e-06 1.3e-06 9e-07 1.45e-06 1.15e-06 1.45e-06 1.4e-06 1.2e-06 1.3e-06 1.2e-06 1.25e-06 1.4e-06 1.4e-06 9e-07
30 1.5e-06 1.05e-06 1.45e-06 1.1e-06 1.15e-06 1e-06 1.25e-06 1.2e-06 8.5e-07 1.25e-06 1.25e-06 1.2e-06 1.4e-06 1.35e-06 1.55e-06 9e-07 1.4e-06 8.5e-07 1.2e-06 6e-07 1.35e-06 9e-07 1.65e-06 1.15e-06 1.25e-06 1.2e-06 1.25e-06 1.3e-06 1.55e-06 9e-07 1.2e-06
