 slim_762136569 slim_762136562 slim_762136566 slim_762136579 slim_762136574 slim_762136561 slim_762136572 slim_762136559 slim_762136551 slim_762136554 slim_762136570 slim_762136543 slim_762136560 slim_762136547 slim_762136550 slim_762136556 slim_762136545 slim_762136540 slim_762136576 slim_762136577 slim_762136581 slim_762136573 slim_762136568 slim_762136565 slim_762136553 slim_762136549 slim_762136580 slim_762136548 slim_762136546 slim_762136575 slim_762136544 slim_762136552 slim_762136567 slim_762136541 slim_762136578 slim_762136563 slim_762136571 slim_762136564 slim_762136542 slim_762136555 slim_762136557 slim_762136558
10 5.5e-07 1e-06 7.5e-07 8e-07 1.1e-06 7.5e-07 9e-07 7.5e-07 9e-07 1.3e-06 7e-07 8e-07 6.5e-07 1.85e-06 1.05e-06 8.5e-07 8.5e-07 6.5e-07 7e-07 8.5e-07 1.2e-06 7e-07 1e-06 6.5e-07 9.5e-07 4e-07 1.65e-06 6.5e-07 1.15e-06 1e-06 9e-07 7.5e-07 1.7e-06 8.5e-07 2.2e-06 7e-07 1.3e-06 3.5e-07 7e-07 1.15e-06 1e-06 9.5e-07
11 7.5e-07 6e-07 7.5e-07 1.1e-06 8e-07 7.5e-07 6e-07 7e-07 5.5e-07 1.25e-06 8e-07 1.1e-06 7e-07 2.1e-06 7.5e-07 8.5e-07 5.5e-07 6e-07 7e-07 8.5e-07 9e-07 7.5e-07 7e-07 7.5e-07 6.5e-07 6e-07 1.9e-06 7e-07 8.5e-07 7e-07 6e-07 8.5e-07 1.7e-06 8.5e-07 2.05e-06 6.5e-07 1.25e-06 5.5e-07 7e-07 1.35e-06 7e-07 6.5e-07
12 7.5e-07 5.5e-07 7e-07 1.15e-06 6.5e-07 7e-07 4.5e-07 6e-07 4.5e-07 1.15e-06 6.5e-07 7e-07 8e-07 2.05e-06 6e-07 8e-07 4e-07 5.5e-07 6.5e-07 8e-07 7.5e-07 5e-07 5.5e-07 7e-07 5e-07 6e-07 1.95e-06 4.5e-07 7e-07 5.5e-07 4.5e-07 8e-07 1.65e-06 8e-07 1.9e-06 6e-07 1.15e-06 6e-07 6.5e-07 1.3e-06 5.5e-07 5e-07
13 1.95e-06 2.2e-06 2.05e-06 2.05e-06 2.3e-06 2.05e-06 2.1e-06 2.05e-06 2.1e-06 2.5e-06 1.85e-06 2.1e-06 2.05e-06 3.5e-06 2.25e-06 2.15e-06 2.05e-06 1.95e-06 2e-06 2.15e-06 2.4e-06 2.1e-06 2.2e-06 1.95e-06 2.15e-06 1.8e-06 1.8e-06 2.05e-06 2.35e-06 2.2e-06 2.1e-06 2.05e-06 2.8e-06 2.1e-06 2e-06 2e-06 2.55e-06 1.75e-06 2e-06 2.45e-06 2.2e-06 2.15e-06
14 1.05e-06 3e-07 7.5e-07 1.4e-06 3.5e-07 7.5e-07 2.5e-07 7e-07 2.5e-07 1.2e-06 1.05e-06 7.5e-07 6e-07 2.25e-06 4e-07 6e-07 2e-07 6e-07 7e-07 7e-07 3e-07 6e-07 3.5e-07 7.5e-07 2.5e-07 9e-07 2.25e-06 5.5e-07 2e-07 2.5e-07 2.5e-07 8.5e-07 1.55e-06 8.5e-07 1.8e-06 6.5e-07 1.15e-06 9e-07 7e-07 1.6e-06 2.5e-07 3e-07
15 8.5e-07 7e-07 8e-07 1e-06 7.5e-07 8e-07 7e-07 8e-07 7e-07 1.35e-06 8.5e-07 8.5e-07 8e-07 2.15e-06 6e-07 9e-07 6.5e-07 7e-07 7.5e-07 6.5e-07 6e-07 7.5e-07 8e-07 8e-07 6.5e-07 7e-07 1.95e-06 7e-07 4.5e-07 6.5e-07 7e-07 9e-07 1.5e-06 9e-07 2.1e-06 7.5e-07 1.3e-06 6.5e-07 7.5e-07 1.45e-06 6e-07 7.5e-07
16 8.5e-07 1.5e-07 5.5e-07 1.25e-06 2.5e-07 5.5e-07 5e-08 5e-07 5e-08 1e-06 8.5e-07 5.5e-07 4e-07 2.05e-06 2e-07 6.5e-07 0.0 4e-07 5e-07 6.5e-07 3.5e-07 4.5e-07 1.5e-07 5.5e-07 1e-07 7e-07 2.05e-06 4e-07 3e-07 1.5e-07 5e-08 6.5e-07 1.5e-06 6.5e-07 1.65e-06 4.5e-07 1e-06 7e-07 5e-07 1.4e-06 1.5e-07 1e-07
17 6e-07 5.5e-07 6e-07 9.5e-07 6.5e-07 6e-07 4.5e-07 5.5e-07 4.5e-07 1.1e-06 6.5e-07 6e-07 5.5e-07 1.95e-06 6e-07 7e-07 4e-07 8e-07 5.5e-07 7e-07 7.5e-07 6e-07 5.5e-07 6e-07 5e-07 4.5e-07 1.75e-06 5.5e-07 7e-07 5.5e-07 4.5e-07 7e-07 1.55e-06 7e-07 1.9e-06 5e-07 1.1e-06 4e-07 5.5e-07 1.2e-06 5.5e-07 5e-07
18 7e-07 6.5e-07 6.5e-07 9.5e-07 7.5e-07 6e-07 5.5e-07 6.5e-07 5.5e-07 1.2e-06 7e-07 7e-07 6.5e-07 2e-06 7e-07 7.5e-07 5e-07 5.5e-07 1e-06 6.5e-07 8.5e-07 7e-07 6.5e-07 6.5e-07 6e-07 5.5e-07 1.8e-06 6.5e-07 8e-07 6.5e-07 5.5e-07 7.5e-07 1.6e-06 7.5e-07 2e-06 6e-07 1.2e-06 5e-07 5.5e-07 1.3e-06 6.5e-07 6e-07
19 8.5e-07 7.5e-07 8e-07 1.05e-06 8e-07 7.5e-07 7e-07 8e-07 7e-07 1.35e-06 8.5e-07 8.5e-07 8e-07 2.15e-06 7e-07 6.5e-07 6.5e-07 7e-07 6.5e-07 1.3e-06 7.5e-07 8e-07 8e-07 8e-07 7e-07 7e-07 1.95e-06 7.5e-07 6.5e-07 7e-07 7e-07 9e-07 1.6e-06 9e-07 2.1e-06 7.5e-07 1.3e-06 6.5e-07 7e-07 1.45e-06 7e-07 7.5e-07
20 1.2e-06 4e-07 9e-07 1.5e-06 3e-07 9e-07 4e-07 8.5e-07 4e-07 1.35e-06 1.2e-06 9e-07 7.5e-07 2.4e-06 3e-07 6e-07 3.5e-07 7.5e-07 8.5e-07 7.5e-07 3e-07 6.5e-07 5e-07 9e-07 3.5e-07 1.05e-06 2.4e-06 6.5e-07 1.5e-07 2.5e-07 4e-07 1e-06 1.6e-06 1e-06 1.85e-06 8e-07 1.15e-06 1.05e-06 8.5e-07 1.75e-06 3.5e-07 4.5e-07
21 8e-07 5.5e-07 7.5e-07 1.15e-06 6e-07 7.5e-07 5e-07 7e-07 5e-07 1.2e-06 7e-07 7.5e-07 5e-07 2.1e-06 6e-07 7.5e-07 4.5e-07 6e-07 7e-07 8e-07 6.5e-07 9e-07 6e-07 7.5e-07 5e-07 6.5e-07 2e-06 4.5e-07 6.5e-07 5.5e-07 5e-07 8.5e-07 1.65e-06 8.5e-07 1.95e-06 6.5e-07 1.15e-06 6.5e-07 7e-07 1.35e-06 5.5e-07 5.5e-07
22 9.5e-07 3e-07 7e-07 1.4e-06 4e-07 6.5e-07 1.5e-07 6e-07 2e-07 1.15e-06 1e-06 7e-07 5.5e-07 2.2e-06 3.5e-07 8e-07 1.5e-07 5.5e-07 6.5e-07 8e-07 5e-07 6e-07 3e-07 6.5e-07 2e-07 8e-07 2.15e-06 5.5e-07 4.5e-07 3e-07 2e-07 7.5e-07 1.65e-06 8e-07 1.8e-06 5e-07 1.15e-06 8.5e-07 6e-07 1.45e-06 2.5e-07 1.5e-07
23 7.5e-07 7e-07 7e-07 1e-06 8e-07 7e-07 5.5e-07 7e-07 6e-07 1.25e-06 6.5e-07 7.5e-07 7e-07 1.95e-06 7.5e-07 8e-07 5.5e-07 6e-07 6.5e-07 8e-07 9e-07 7.5e-07 6.5e-07 1.1e-06 6e-07 6e-07 1.85e-06 7e-07 8.5e-07 7e-07 6e-07 6.5e-07 1.65e-06 8e-07 2.05e-06 6e-07 1.25e-06 5.5e-07 6.5e-07 1.3e-06 6.5e-07 6e-07
24 9.5e-07 2e-07 6.5e-07 1.3e-06 3e-07 6.5e-07 1e-07 6e-07 1.5e-07 1.1e-06 9.5e-07 6.5e-07 5e-07 2.15e-06 2.5e-07 6.5e-07 1e-07 5e-07 6e-07 7e-07 3.5e-07 5e-07 2e-07 6e-07 2e-07 8e-07 2.15e-06 4.5e-07 3e-07 2e-07 1.5e-07 7e-07 1.55e-06 7.5e-07 1.75e-06 5e-07 1.1e-06 8e-07 6e-07 1.45e-06 1.5e-07 1.5e-07
25 2.5e-07 8.5e-07 6e-07 6.5e-07 9.5e-07 5.5e-07 7.5e-07 5e-07 7.5e-07 1.1e-06 4e-07 6e-07 6e-07 1.8e-06 9e-07 7e-07 7e-07 4.5e-07 5.5e-07 7e-07 1.05e-06 6.5e-07 8e-07 6e-07 8e-07 2e-07 1.4e-06 6e-07 1e-06 8.5e-07 7.5e-07 7e-07 1.55e-06 7e-07 2.05e-06 5e-07 1.1e-06 1e-07 5e-07 9e-07 8.5e-07 8e-07
26 1.55e-06 2.2e-06 1.85e-06 1.65e-06 2.3e-06 1.8e-06 2.1e-06 1.8e-06 2.1e-06 2.35e-06 1.65e-06 1.9e-06 1.95e-06 1.8e-06 2.25e-06 1.95e-06 2.05e-06 1.75e-06 1.8e-06 1.95e-06 2.4e-06 2e-06 2.15e-06 1.85e-06 2.15e-06 1.4e-06 2.7e-06 1.95e-06 2.35e-06 2.2e-06 2.1e-06 1.95e-06 2.6e-06 1.9e-06 2.15e-06 1.8e-06 2.4e-06 1.35e-06 1.75e-06 2.15e-06 2.2e-06 2.15e-06
27 7.5e-07 5e-07 7e-07 1.1e-06 6e-07 7e-07 4.5e-07 6.5e-07 4.5e-07 1.15e-06 6.5e-07 7e-07 4.5e-07 2.05e-06 5.5e-07 7e-07 4e-07 5.5e-07 6.5e-07 7.5e-07 6.5e-07 4.5e-07 5.5e-07 7e-07 4.5e-07 6e-07 1.95e-06 8e-07 6e-07 5e-07 4.5e-07 8e-07 1.6e-06 8e-07 1.9e-06 6e-07 1.15e-06 6e-07 6.5e-07 1.3e-06 5e-07 5e-07
28 1.15e-06 3.5e-07 8.5e-07 1.45e-06 3.5e-07 8.5e-07 3.5e-07 8e-07 3.5e-07 1.3e-06 1.15e-06 8.5e-07 7e-07 2.35e-06 2e-07 4.5e-07 3e-07 7e-07 8e-07 6.5e-07 1.5e-07 6.5e-07 4.5e-07 8.5e-07 3e-07 1e-06 2.35e-06 6e-07 0.0 2.5e-07 3.5e-07 9.5e-07 1.5e-06 9.5e-07 1.85e-06 7.5e-07 1.2e-06 1e-06 8e-07 1.7e-06 2.5e-07 4e-07
29 1e-06 2.5e-07 7e-07 1.35e-06 2.5e-07 7e-07 2e-07 6.5e-07 2e-07 1.15e-06 1e-06 7e-07 5.5e-07 2.2e-06 2.5e-07 6.5e-07 1.5e-07 5.5e-07 6.5e-07 7e-07 2.5e-07 5.5e-07 3e-07 7e-07 2e-07 8.5e-07 2.2e-06 5e-07 2.5e-07 3e-07 2e-07 8e-07 1.55e-06 8e-07 1.7e-06 6e-07 1.05e-06 8.5e-07 6.5e-07 1.55e-06 2.5e-07 2.5e-07
30 9e-07 2e-07 6e-07 1.3e-06 3e-07 6e-07 1e-07 5.5e-07 1e-07 1.05e-06 9e-07 6e-07 4.5e-07 2.1e-06 2.5e-07 7e-07 5e-08 4.5e-07 5.5e-07 7e-07 4e-07 5e-07 2e-07 6e-07 1.5e-07 7.5e-07 2.1e-06 4.5e-07 3.5e-07 2e-07 1e-07 7e-07 1.55e-06 7e-07 1.7e-06 5e-07 1.05e-06 7.5e-07 5.5e-07 1.45e-06 2e-07 1.5e-07
31 8.5e-07 8e-07 8e-07 1.1e-06 9e-07 8e-07 6.5e-07 8e-07 7e-07 1.35e-06 7.5e-07 8.5e-07 8e-07 2.05e-06 8.5e-07 9e-07 6.5e-07 7e-07 7.5e-07 9e-07 1e-06 8.5e-07 7.5e-07 6.5e-07 7e-07 7e-07 1.95e-06 8e-07 9.5e-07 8e-07 7e-07 1.3e-06 1.75e-06 9e-07 2.15e-06 7e-07 1.35e-06 6.5e-07 7.5e-07 1.4e-06 7.5e-07 7e-07
32 1.7e-06 1.6e-06 1.65e-06 1.5e-06 1.65e-06 1.65e-06 1.55e-06 1.65e-06 1.55e-06 1.5e-06 1.7e-06 1.7e-06 1.65e-06 2.8e-06 1.55e-06 1.5e-06 1.5e-06 1.55e-06 1.6e-06 1.6e-06 1.6e-06 1.65e-06 1.65e-06 1.65e-06 1.55e-06 1.55e-06 2.6e-06 1.6e-06 1.5e-06 1.55e-06 1.55e-06 1.75e-06 3e-06 1.7e-06 2.75e-06 1.6e-06 1.7e-06 1.5e-06 1.6e-06 1.6e-06 1.55e-06 1.6e-06
33 8.5e-07 8e-07 8e-07 1.05e-06 9e-07 8e-07 7e-07 8e-07 7e-07 1.35e-06 8.5e-07 8.5e-07 8e-07 2.1e-06 8.5e-07 9e-07 6.5e-07 7e-07 7.5e-07 9e-07 1e-06 8.5e-07 8e-07 8e-07 7.5e-07 7e-07 1.9e-06 8e-07 9.5e-07 8e-07 7e-07 9e-07 1.7e-06 1.3e-06 2.1e-06 7.5e-07 1.35e-06 6.5e-07 7.5e-07 1.45e-06 8e-07 7.5e-07
34 2.2e-06 1.8e-06 2.05e-06 2.45e-06 1.8e-06 2.05e-06 1.7e-06 2e-06 1.7e-06 2.4e-06 2.2e-06 2.05e-06 1.9e-06 2e-06 1.8e-06 2.1e-06 1.65e-06 1.9e-06 2e-06 2.1e-06 1.85e-06 1.95e-06 1.8e-06 2.05e-06 1.75e-06 2.05e-06 2.15e-06 1.9e-06 1.85e-06 1.7e-06 1.7e-06 2.15e-06 2.75e-06 2.1e-06 3.3e-06 1.95e-06 2.35e-06 2.05e-06 2e-06 2.65e-06 1.8e-06 1.75e-06
35 6.5e-07 6e-07 6.5e-07 1e-06 7e-07 6.5e-07 4.5e-07 6e-07 5e-07 1.15e-06 7e-07 6.5e-07 6e-07 2e-06 6.5e-07 7.5e-07 4.5e-07 5e-07 6e-07 7.5e-07 8e-07 6.5e-07 5e-07 6e-07 5e-07 5e-07 1.8e-06 6e-07 7.5e-07 6e-07 5e-07 7e-07 1.6e-06 7.5e-07 1.95e-06 9e-07 1.15e-06 4.5e-07 6e-07 1.15e-06 5.5e-07 4.5e-07
36 1.15e-06 1.15e-06 1.25e-06 1.65e-06 1.1e-06 1.25e-06 1.05e-06 1.2e-06 1.05e-06 1.25e-06 1.3e-06 1.25e-06 1.15e-06 2.55e-06 1.15e-06 1.3e-06 1e-06 1.1e-06 1.2e-06 1.3e-06 1.15e-06 1.15e-06 1.15e-06 1.25e-06 1.1e-06 1.1e-06 2.4e-06 1.15e-06 1.2e-06 1.05e-06 1.05e-06 1.35e-06 1.7e-06 1.35e-06 2.35e-06 1.15e-06 2e-06 1.1e-06 1.2e-06 1.35e-06 1.15e-06 1.1e-06
37 2.5e-07 8.5e-07 5.5e-07 5.5e-07 9.5e-07 5.5e-07 7.5e-07 5e-07 7.5e-07 1.1e-06 3.5e-07 5.5e-07 6e-07 1.75e-06 9e-07 6.5e-07 7e-07 4e-07 5e-07 6.5e-07 1.05e-06 6.5e-07 8.5e-07 5.5e-07 8e-07 1e-07 1.35e-06 6e-07 1e-06 8.5e-07 7.5e-07 6.5e-07 1.5e-06 6.5e-07 2.05e-06 4.5e-07 1.1e-06 0.0 5e-07 9e-07 8.5e-07 8e-07
38 6.5e-07 6.5e-07 6.5e-07 9.5e-07 7.5e-07 6e-07 5.5e-07 6e-07 5.5e-07 1.2e-06 7e-07 7e-07 6.5e-07 2e-06 7e-07 7.5e-07 5e-07 5.5e-07 5.5e-07 7e-07 8.5e-07 7e-07 6e-07 6.5e-07 6e-07 5e-07 1.75e-06 6.5e-07 8e-07 6.5e-07 5.5e-07 7.5e-07 1.6e-06 7.5e-07 2e-06 6e-07 1.2e-06 5e-07 1e-06 1.3e-06 6.5e-07 6e-07
39 1.05e-06 1.55e-06 1.35e-06 1.2e-06 1.65e-06 1.35e-06 1.4e-06 1.3e-06 1.45e-06 1.1e-06 1.15e-06 1.35e-06 1.3e-06 2.45e-06 1.6e-06 1.45e-06 1.4e-06 1.2e-06 1.3e-06 1.45e-06 1.75e-06 1.35e-06 1.45e-06 1.3e-06 1.45e-06 9e-07 2.15e-06 1.3e-06 1.7e-06 1.55e-06 1.45e-06 1.4e-06 1.6e-06 1.45e-06 2.65e-06 1.15e-06 1.35e-06 9e-07 1.3e-06 1.6e-06 1.5e-06 1.4e-06
40 1e-06 2.5e-07 7e-07 1.35e-06 3.5e-07 7e-07 1.5e-07 6.5e-07 2e-07 1.15e-06 1e-06 7e-07 5.5e-07 2.2e-06 2.5e-07 6e-07 1.5e-07 5.5e-07 6.5e-07 7e-07 3.5e-07 5.5e-07 2.5e-07 6.5e-07 1.5e-07 8.5e-07 2.2e-06 5e-07 2.5e-07 2.5e-07 2e-07 7.5e-07 1.55e-06 8e-07 1.8e-06 5.5e-07 1.15e-06 8.5e-07 6.5e-07 1.5e-06 3e-07 2e-07
41 9.5e-07 2.5e-07 6.5e-07 1.35e-06 3.5e-07 6.5e-07 1e-07 6e-07 1.5e-07 1.1e-06 9.5e-07 6.5e-07 5e-07 2.15e-06 3e-07 7.5e-07 1e-07 5e-07 6e-07 7.5e-07 4.5e-07 5.5e-07 1.5e-07 6e-07 1.5e-07 8e-07 2.15e-06 5e-07 4e-07 2.5e-07 1.5e-07 7e-07 1.6e-06 7.5e-07 1.75e-06 4.5e-07 1.1e-06 8e-07 6e-07 1.4e-06 2e-07 2e-07
