 slim_762195615 slim_762195574 slim_762195592 slim_762195619 slim_762195600 slim_762195584 slim_762195611 slim_762195610 slim_762195589 slim_762195597 slim_762195580 slim_762195605 slim_762195579 slim_762195607 slim_762195613 slim_762195588 slim_762195593 slim_762195575 slim_762195585 slim_762195603 slim_762195586 slim_762195602 slim_762195581 slim_762195598 slim_762195582 slim_762195599 slim_762195612 slim_762195590 slim_762195608 slim_762195620 slim_762195583 slim_762195601 slim_762195595 slim_762195576 slim_762195616 slim_762195577 slim_762195604 slim_762195587 slim_762195618 slim_762195594 slim_762195596 slim_762195621 slim_762195606 slim_762195591 slim_762195578 slim_762195617 slim_762195614 slim_762195609
10 1e-06 1.35e-06 7.5e-07 1.5e-06 1.45e-06 1.25e-06 1.05e-06 1.35e-06 1.45e-06 1.15e-06 1.2e-06 8.5e-07 2e-06 8.5e-07 1.45e-06 8.5e-07 8e-07 1.85e-06 1e-06 1.05e-06 1.35e-06 2e-06 1.6e-06 7.5e-07 9.5e-07 2.15e-06 1.1e-06 9.5e-07 1.6e-06 1.75e-06 1.05e-06 1.45e-06 9.5e-07 1.65e-06 1.15e-06 8.5e-07 1.4e-06 1.3e-06 1.05e-06 1.65e-06 1e-06 1e-06 1.4e-06 1.2e-06 1.65e-06 1.6e-06 1.35e-06 1.2e-06
11 1e-06 1.2e-06 5.5e-07 1.2e-06 1.35e-06 1.2e-06 8e-07 1.05e-06 1.15e-06 9e-07 8.5e-07 9e-07 2e-06 7.5e-07 1.15e-06 6.5e-07 5.5e-07 1.9e-06 7.5e-07 7e-07 1e-06 1.9e-06 1.65e-06 6.5e-07 1.05e-06 2.3e-06 9.5e-07 6.5e-07 1.75e-06 1.7e-06 8.5e-07 1.3e-06 6.5e-07 1.75e-06 9e-07 9e-07 1.15e-06 1.1e-06 7.5e-07 1.55e-06 9.5e-07 7e-07 1.55e-06 9e-07 1.8e-06 1.7e-06 1e-06 1.15e-06
12 2.2e-06 2.35e-06 1.9e-06 1.6e-06 1.15e-06 2.35e-06 2.2e-06 2.05e-06 2.2e-06 1.85e-06 2e-06 2e-06 8e-07 2.1e-06 2.15e-06 1.95e-06 1.9e-06 5.5e-07 2.1e-06 2.05e-06 1.95e-06 1.45e-06 1.6e-06 1.9e-06 2.2e-06 6.5e-07 2.25e-06 2e-06 1.4e-06 1.55e-06 2.1e-06 2.2e-06 2e-06 1.45e-06 1.85e-06 2.1e-06 2.45e-06 1.4e-06 2.15e-06 1.75e-06 1.5e-06 2e-06 2.5e-06 1.95e-06 1.45e-06 1.5e-06 1.95e-06 2.3e-06
13 1e-06 1.25e-06 7e-07 1.2e-06 1.35e-06 1.1e-06 8.5e-07 1.05e-06 1.15e-06 1.05e-06 8.5e-07 7.5e-07 2.1e-06 7e-07 1.15e-06 5e-07 7e-07 1.85e-06 4e-07 8.5e-07 1.15e-06 2.15e-06 1.65e-06 7e-07 1.05e-06 2.4e-06 8.5e-07 8e-07 1.8e-06 1.65e-06 8.5e-07 1.5e-06 7e-07 1.8e-06 1.05e-06 1.1e-06 1.05e-06 1.15e-06 7.5e-07 1.75e-06 1.1e-06 5.5e-07 1.65e-06 1.1e-06 1.85e-06 1.75e-06 1.15e-06 1e-06
14 1.65e-06 1.65e-06 1.25e-06 1.35e-06 1.6e-06 1.6e-06 1.05e-06 9.5e-07 1.15e-06 1e-06 1.45e-06 1.15e-06 2.15e-06 1.15e-06 1.7e-06 1.05e-06 1.05e-06 2.1e-06 9.5e-07 1.05e-06 9.5e-07 1.8e-06 2.05e-06 1.2e-06 1.25e-06 2.4e-06 1.1e-06 1.2e-06 2.15e-06 1.8e-06 1.3e-06 1.5e-06 1.2e-06 2.15e-06 1e-06 1.4e-06 1.25e-06 1.45e-06 1.05e-06 1.9e-06 1.65e-06 9.5e-07 2.15e-06 1.1e-06 2.2e-06 2e-06 9.5e-07 1.55e-06
15 9.5e-07 1.1e-06 5.5e-07 1.05e-06 1.2e-06 1e-06 7.5e-07 9.5e-07 1.05e-06 9e-07 8.5e-07 6.5e-07 1.95e-06 5e-07 1.05e-06 6e-07 5e-07 1.75e-06 3.5e-07 7e-07 1e-06 2e-06 1.55e-06 5.5e-07 9.5e-07 2.25e-06 7.5e-07 7e-07 1.65e-06 1.5e-06 7.5e-07 1.35e-06 6e-07 1.65e-06 8.5e-07 9.5e-07 9.5e-07 1.05e-06 6e-07 1.6e-06 1e-06 4e-07 1.5e-06 1e-06 1.7e-06 1.7e-06 1e-06 9.5e-07
16 9.5e-07 1.1e-06 5e-07 1.05e-06 1.25e-06 1.1e-06 7.5e-07 9.5e-07 1.05e-06 8e-07 8e-07 5.5e-07 1.9e-06 7e-07 1.05e-06 5e-07 7e-07 1.8e-06 6.5e-07 5.5e-07 9e-07 1.8e-06 1.55e-06 5.5e-07 9.5e-07 2.2e-06 8.5e-07 6.5e-07 1.65e-06 1.6e-06 8e-07 1.2e-06 6.5e-07 1.65e-06 7.5e-07 7.5e-07 1.05e-06 9.5e-07 6e-07 1.4e-06 9.5e-07 6e-07 1.45e-06 9e-07 1.7e-06 1.65e-06 9e-07 1.05e-06
17 1.95e-06 2.25e-06 1.75e-06 1.55e-06 1.05e-06 2.2e-06 2.1e-06 2e-06 2.1e-06 1.75e-06 1.85e-06 1.9e-06 5.5e-07 1.85e-06 2.1e-06 1.75e-06 1.8e-06 5e-07 1.95e-06 2.05e-06 1.95e-06 1.45e-06 1.3e-06 1.65e-06 2.15e-06 6e-07 2.05e-06 1.95e-06 1.25e-06 1.5e-06 1.95e-06 2.1e-06 1.85e-06 1.3e-06 1.75e-06 2.05e-06 2.35e-06 1.5e-06 2.1e-06 1.7e-06 1.45e-06 1.9e-06 2.35e-06 1.85e-06 1.3e-06 1.35e-06 1.95e-06 2.15e-06
18 1.15e-06 1.2e-06 8e-07 9.5e-07 1.3e-06 1e-06 7.5e-07 8.5e-07 9.5e-07 1e-06 1e-06 7.5e-07 2.1e-06 4e-07 9.5e-07 3.5e-07 6.5e-07 1.95e-06 2e-07 7e-07 1e-06 2.1e-06 1.75e-06 7e-07 9.5e-07 2.45e-06 7e-07 8e-07 1.85e-06 1.5e-06 8e-07 1.45e-06 7e-07 1.85e-06 1e-06 1.05e-06 8.5e-07 1.05e-06 5e-07 1.7e-06 1.2e-06 3e-07 1.7e-06 1.1e-06 1.9e-06 1.85e-06 1e-06 9e-07
19 1.2e-06 1.2e-06 8e-07 1.1e-06 1.3e-06 1.25e-06 9e-07 9.5e-07 1.1e-06 9e-07 1.05e-06 7e-07 2.05e-06 8.5e-07 1.05e-06 7e-07 5.5e-07 2.05e-06 7e-07 8e-07 8e-07 1.95e-06 1.8e-06 7.5e-07 1.1e-06 2.45e-06 9.5e-07 7.5e-07 1.9e-06 1.75e-06 8.5e-07 1.35e-06 7e-07 1.9e-06 9e-07 9e-07 1.1e-06 1e-06 6.5e-07 1.55e-06 1.2e-06 6e-07 1.7e-06 1e-06 1.95e-06 1.85e-06 7.5e-07 1.2e-06
20 1.5e-06 1.45e-06 1.1e-06 1.3e-06 1.35e-06 1.55e-06 1.2e-06 8.5e-07 1.1e-06 8e-07 1.35e-06 1e-06 1.95e-06 1.15e-06 9.5e-07 1e-06 9e-07 1.95e-06 1e-06 8e-07 1.2e-06 1.65e-06 1.9e-06 1.05e-06 1.4e-06 2.25e-06 1.25e-06 1e-06 2e-06 1.75e-06 1.1e-06 1.35e-06 9.5e-07 2e-06 8e-07 1.25e-06 1.4e-06 1.3e-06 1e-06 1.75e-06 1.5e-06 8.5e-07 2e-06 9e-07 2.05e-06 1.85e-06 6.5e-07 1.5e-06
21 2.3e-06 2.45e-06 1.9e-06 1.8e-06 1.7e-06 2.4e-06 2.1e-06 1.7e-06 1.65e-06 1.55e-06 2e-06 1.9e-06 1.45e-06 2.15e-06 1.8e-06 2e-06 1.8e-06 1.45e-06 2.1e-06 1.95e-06 1.65e-06 1.8e-06 2.05e-06 1.9e-06 2.15e-06 1.15e-06 2.2e-06 2e-06 1.95e-06 1.55e-06 2.15e-06 1.7e-06 2.1e-06 2e-06 1.55e-06 2e-06 2.45e-06 1.85e-06 2e-06 2e-06 1.85e-06 2.05e-06 2.6e-06 1.65e-06 2e-06 1.5e-06 1.65e-06 2.35e-06
22 1.35e-06 1.65e-06 1.55e-06 1.8e-06 1.5e-06 1.65e-06 1.85e-06 1.95e-06 2.05e-06 1.7e-06 1.6e-06 1.65e-06 1.6e-06 1.65e-06 2.05e-06 1.55e-06 1.55e-06 1.3e-06 1.75e-06 1.8e-06 1.9e-06 2.05e-06 2.5e-06 1.4e-06 1.9e-06 1.7e-06 1.8e-06 1.75e-06 1.3e-06 1.95e-06 1.75e-06 1.65e-06 1.65e-06 1.35e-06 1.7e-06 1.7e-06 1.8e-06 1.7e-06 1.85e-06 1.6e-06 1.55e-06 1.7e-06 1.25e-06 1.8e-06 1.3e-06 1.8e-06 1.9e-06 1.5e-06
23 8.5e-07 1.05e-06 6e-07 1.25e-06 1.15e-06 1e-06 8.5e-07 1.1e-06 1.2e-06 9e-07 7.5e-07 6.5e-07 1.9e-06 7e-07 1.2e-06 5.5e-07 5.5e-07 1.65e-06 7e-07 7.5e-07 1.05e-06 1.9e-06 1.4e-06 6e-07 9.5e-07 2.05e-06 6.5e-07 7.5e-07 1.4e-06 1.6e-06 6.5e-07 1.25e-06 6.5e-07 1.45e-06 9e-07 8e-07 1.1e-06 1.15e-06 8e-07 1.45e-06 9e-07 6.5e-07 1.2e-06 1e-06 1.45e-06 1.45e-06 1.05e-06 9.5e-07
24 1.35e-06 1.5e-06 1.05e-06 1.5e-06 1.6e-06 1.35e-06 9.5e-07 1.35e-06 1.45e-06 1.3e-06 9.5e-07 1.05e-06 2.2e-06 1.05e-06 1.25e-06 9.5e-07 9.5e-07 2.15e-06 9.5e-07 1.1e-06 1.4e-06 2.15e-06 1.9e-06 9.5e-07 1.7e-06 2.4e-06 9.5e-07 1.15e-06 1.85e-06 1.85e-06 1.2e-06 1.6e-06 1.15e-06 1.9e-06 1.3e-06 1e-06 1.2e-06 1.4e-06 1.05e-06 1.8e-06 1.3e-06 1e-06 1.65e-06 1.4e-06 1.9e-06 1.9e-06 1.4e-06 1.3e-06
25 2.4e-06 2.65e-06 2.15e-06 1.95e-06 1.35e-06 2.55e-06 2.5e-06 2.3e-06 2.35e-06 2.05e-06 2.15e-06 2.3e-06 6.5e-07 2.4e-06 2.4e-06 2.25e-06 2.2e-06 6e-07 2.45e-06 2.45e-06 2.25e-06 1.15e-06 1.7e-06 2.05e-06 2.4e-06 7e-07 2.45e-06 2.35e-06 1.4e-06 1.45e-06 2.35e-06 2.25e-06 2.35e-06 1.5e-06 2.05e-06 2.3e-06 2.8e-06 1.8e-06 2.5e-06 1.95e-06 1.65e-06 2.4e-06 2.55e-06 2.15e-06 1.45e-06 1.25e-06 2.25e-06 2.5e-06
26 1.25e-06 1.35e-06 1e-06 1.35e-06 1.45e-06 1.2e-06 8.5e-07 1.2e-06 1.3e-06 1.2e-06 1.1e-06 9.5e-07 2.25e-06 8.5e-07 1.1e-06 7.5e-07 8.5e-07 2.05e-06 7e-07 9.5e-07 1.25e-06 2.2e-06 1.8e-06 6.5e-07 9.5e-07 2.45e-06 1.2e-06 1.05e-06 1.8e-06 1.8e-06 9e-07 1.55e-06 9.5e-07 1.85e-06 1.2e-06 1.1e-06 1e-06 1.35e-06 9e-07 1.75e-06 1.3e-06 7.5e-07 1.6e-06 1.3e-06 1.85e-06 1.8e-06 1.25e-06 1.15e-06
27 1.1e-06 1.25e-06 6e-07 1.3e-06 1.35e-06 1.3e-06 9e-07 1.1e-06 1.25e-06 9.5e-07 9.5e-07 6.5e-07 2e-06 8e-07 1.2e-06 7e-07 6.5e-07 1.95e-06 8e-07 7.5e-07 1e-06 2e-06 1.75e-06 7.5e-07 1.15e-06 2.35e-06 1.05e-06 1e-06 1.85e-06 1.75e-06 8.5e-07 1.45e-06 6.5e-07 1.85e-06 9.5e-07 1.05e-06 1.25e-06 1.15e-06 8.5e-07 1.7e-06 1e-06 7e-07 1.7e-06 9.5e-07 1.9e-06 1.75e-06 1e-06 1.25e-06
28 1.4e-06 1.65e-06 1.65e-06 1.9e-06 1.4e-06 1.6e-06 1.95e-06 2.05e-06 2.15e-06 1.8e-06 1.6e-06 1.75e-06 1.4e-06 1.8e-06 2.15e-06 1.65e-06 1.65e-06 1.25e-06 1.85e-06 1.9e-06 2e-06 1.95e-06 1.3e-06 1.4e-06 1.85e-06 1.4e-06 1.8e-06 1.85e-06 2.1e-06 1.85e-06 1.75e-06 1.65e-06 1.75e-06 1.15e-06 1.8e-06 1.65e-06 1.9e-06 1.7e-06 1.95e-06 1.55e-06 1.45e-06 1.8e-06 1.15e-06 1.9e-06 1.1e-06 1.65e-06 2e-06 1.5e-06
29 2e-06 2.15e-06 1.65e-06 1.55e-06 1.55e-06 2e-06 1.8e-06 1.7e-06 1.75e-06 1.65e-06 1.75e-06 1.7e-06 1.55e-06 1.65e-06 1.8e-06 1.5e-06 1.6e-06 1.5e-06 1.5e-06 1.75e-06 1.75e-06 1.55e-06 1.95e-06 1.6e-06 1.85e-06 1.45e-06 1.8e-06 1.75e-06 1.85e-06 2.9e-06 1.8e-06 1.95e-06 1.75e-06 1.9e-06 1.65e-06 1.85e-06 2.05e-06 1.6e-06 1.6e-06 2e-06 1.6e-06 1.55e-06 2.35e-06 1.75e-06 1.9e-06 1.6e-06 1.75e-06 1.95e-06
30 1.15e-06 1.2e-06 8.5e-07 1.4e-06 1.3e-06 1.25e-06 1.1e-06 1.2e-06 1.35e-06 1.1e-06 1.05e-06 8.5e-07 2.1e-06 8.5e-07 1.3e-06 7.5e-07 8e-07 1.95e-06 8e-07 8.5e-07 1.1e-06 2.15e-06 1.75e-06 6.5e-07 1.2e-06 2.35e-06 9e-07 8.5e-07 1.75e-06 1.8e-06 1e-06 1.55e-06 7.5e-07 1.8e-06 1.1e-06 1.1e-06 1.25e-06 1.3e-06 9.5e-07 1.75e-06 1.15e-06 6.5e-07 1.6e-06 1.15e-06 1.8e-06 1.65e-06 1.1e-06 1.2e-06
31 1.25e-06 1.4e-06 1.35e-06 1.7e-06 1.75e-06 1.45e-06 1.5e-06 1.4e-06 1.4e-06 1.25e-06 1.45e-06 1.3e-06 2.2e-06 1.5e-06 1.5e-06 1.35e-06 1.2e-06 2.1e-06 1.45e-06 1.35e-06 1.35e-06 1.7e-06 1.65e-06 1.25e-06 1.6e-06 2.25e-06 1.55e-06 1.45e-06 1.65e-06 1.95e-06 1.55e-06 2.1e-06 1.45e-06 1.65e-06 1.25e-06 1.35e-06 1.5e-06 1.7e-06 1.4e-06 1.6e-06 1.65e-06 1.4e-06 1.25e-06 1.35e-06 1.7e-06 1.95e-06 1.35e-06 1.35e-06
32 1e-06 1.15e-06 6e-07 1.3e-06 1.2e-06 1.2e-06 9e-07 1.1e-06 1.25e-06 9.5e-07 9.5e-07 6.5e-07 2e-06 7e-07 1.2e-06 6e-07 6.5e-07 1.85e-06 7e-07 7e-07 9.5e-07 2.1e-06 1.65e-06 6.5e-07 1.15e-06 2.35e-06 9.5e-07 6.5e-07 1.75e-06 1.75e-06 7.5e-07 1.45e-06 8e-07 1.75e-06 9.5e-07 1.05e-06 1.15e-06 1.15e-06 8.5e-07 1.7e-06 9.5e-07 6e-07 1.6e-06 9.5e-07 1.8e-06 1.75e-06 9.5e-07 1.15e-06
33 1.35e-06 1.65e-06 1.65e-06 1.9e-06 1.45e-06 1.65e-06 1.95e-06 2.05e-06 2.15e-06 1.8e-06 1.65e-06 1.75e-06 1.45e-06 1.8e-06 2.15e-06 1.65e-06 1.65e-06 1.3e-06 1.85e-06 1.9e-06 2e-06 2e-06 1.35e-06 1.45e-06 1.9e-06 1.5e-06 1.85e-06 1.85e-06 1.15e-06 1.9e-06 1.8e-06 1.65e-06 1.75e-06 2.3e-06 1.8e-06 1.7e-06 1.9e-06 1.7e-06 1.95e-06 1.6e-06 1.5e-06 1.8e-06 1.25e-06 1.9e-06 1.2e-06 1.75e-06 2e-06 1.55e-06
34 1.3e-06 1.4e-06 8.5e-07 1.3e-06 1.35e-06 1.45e-06 1.1e-06 9e-07 1.1e-06 7.5e-07 1.15e-06 9e-07 1.85e-06 1.05e-06 1e-06 8.5e-07 7.5e-07 1.75e-06 1e-06 9e-07 8e-07 1.55e-06 1.7e-06 9e-07 1.3e-06 2.05e-06 1.2e-06 9.5e-07 1.8e-06 1.65e-06 1.1e-06 1.25e-06 9.5e-07 1.8e-06 1.4e-06 1.15e-06 1.4e-06 1.3e-06 1e-06 1.65e-06 1.3e-06 9e-07 1.8e-06 8.5e-07 1.85e-06 1.7e-06 8e-07 1.4e-06
35 1.15e-06 1.3e-06 9.5e-07 1.4e-06 1.5e-06 1.3e-06 1.1e-06 1.3e-06 1.4e-06 1.15e-06 8.5e-07 9e-07 2.1e-06 1.1e-06 1.4e-06 9.5e-07 7.5e-07 2.05e-06 1.05e-06 9e-07 1.25e-06 2e-06 1.7e-06 8e-07 1e-06 2.3e-06 1.1e-06 1.05e-06 1.65e-06 1.85e-06 1.1e-06 1.35e-06 1.05e-06 1.7e-06 1.15e-06 1.3e-06 1.3e-06 1.25e-06 9.5e-07 1.55e-06 1.2e-06 1e-06 1.35e-06 1.25e-06 1.7e-06 1.8e-06 1.25e-06 1.2e-06
36 1.25e-06 1.3e-06 1.25e-06 1.5e-06 1.7e-06 1.25e-06 1.05e-06 1.35e-06 1.45e-06 1.4e-06 1.4e-06 1.15e-06 2.45e-06 1.05e-06 1.25e-06 9.5e-07 1.05e-06 2.35e-06 8.5e-07 1.1e-06 1.4e-06 2.45e-06 1.8e-06 1.1e-06 1.2e-06 2.8e-06 1e-06 1.25e-06 1.9e-06 2.05e-06 1.25e-06 1.5e-06 1.15e-06 1.9e-06 1.4e-06 1.3e-06 1.5e-06 1.45e-06 1.05e-06 1.8e-06 1.6e-06 9e-07 1.35e-06 1.5e-06 1.9e-06 2.25e-06 1.4e-06 1.1e-06
37 1.5e-06 1.55e-06 1.15e-06 1.15e-06 1.25e-06 1.55e-06 1.25e-06 1.35e-06 1.5e-06 1.3e-06 1.3e-06 1.1e-06 1.4e-06 1.15e-06 1.45e-06 1.05e-06 9.5e-07 1.5e-06 1.05e-06 1e-06 1.3e-06 1.85e-06 1.7e-06 1.15e-06 1.4e-06 1.8e-06 1.35e-06 1.15e-06 1.7e-06 1.6e-06 1.3e-06 1.7e-06 1.15e-06 1.7e-06 1.3e-06 1.25e-06 1.45e-06 1.7e-06 1.05e-06 1.55e-06 1.2e-06 1e-06 1.95e-06 1.4e-06 1.75e-06 1.75e-06 1.3e-06 1.5e-06
38 1.25e-06 1.3e-06 8.5e-07 9.5e-07 1.45e-06 1.2e-06 8.5e-07 9.5e-07 1.05e-06 1e-06 1.05e-06 7.5e-07 2.15e-06 7.5e-07 1.05e-06 6e-07 6e-07 2.1e-06 5e-07 6.5e-07 1e-06 2e-06 1.85e-06 8e-07 1.05e-06 2.5e-06 9e-07 8.5e-07 1.95e-06 1.6e-06 9.5e-07 1.4e-06 8.5e-07 1.95e-06 1e-06 9.5e-07 1.05e-06 1.05e-06 9e-07 1.6e-06 1.25e-06 5.5e-07 1.75e-06 1.1e-06 2e-06 1.9e-06 1e-06 1.15e-06
39 1.55e-06 1.7e-06 1.6e-06 1.55e-06 1.65e-06 1.55e-06 1.75e-06 1.8e-06 1.9e-06 1.65e-06 1.65e-06 1.55e-06 1.75e-06 1.75e-06 1.9e-06 1.6e-06 1.4e-06 1.7e-06 1.7e-06 1.55e-06 1.75e-06 2e-06 1.6e-06 1.45e-06 1.8e-06 1.95e-06 1.75e-06 1.7e-06 1.55e-06 2e-06 1.75e-06 1.6e-06 1.7e-06 1.6e-06 1.65e-06 1.55e-06 1.8e-06 1.55e-06 1.6e-06 2.6e-06 1.65e-06 1.65e-06 1.5e-06 1.75e-06 1.6e-06 1.95e-06 1.75e-06 1.6e-06
40 1.2e-06 1.5e-06 8e-07 1.5e-06 1.25e-06 1.45e-06 1.2e-06 1.55e-06 1.65e-06 1.3e-06 1e-06 9.5e-07 1.5e-06 1.1e-06 1.65e-06 1e-06 9.5e-07 1.45e-06 1.2e-06 1.2e-06 1.5e-06 1.85e-06 1.55e-06 9e-07 1.3e-06 1.65e-06 1.3e-06 1e-06 1.45e-06 1.6e-06 1.15e-06 1.65e-06 9.5e-07 1.5e-06 1.3e-06 1.2e-06 1.6e-06 1.2e-06 1.25e-06 1.65e-06 1.4e-06 1.15e-06 1.6e-06 1.3e-06 1.5e-06 1.45e-06 1.5e-06 1.4e-06
