 slim_762192205 slim_762192184 slim_762192201 slim_762192183 slim_762192167 slim_762192150 slim_762192155 slim_762192185 slim_762192171 slim_762192187 slim_762192153 slim_762192151 slim_762192177 slim_762192186 slim_762192170 slim_762192154 slim_762192161 slim_762192200 slim_762192166 slim_762192173 slim_762192149 slim_762192163 slim_762192176 slim_762192147 slim_762192194 slim_762192189 slim_762192159 slim_762192168 slim_762192182 slim_762192148 slim_762192179 slim_762192164 slim_762192180 slim_762192152 slim_762192165 slim_762192178 slim_762192206 slim_762192188 slim_762192204 slim_762192156 slim_762192157 slim_762192160 slim_762192198 slim_762192203 slim_762192191 slim_762192158 slim_762192175 slim_762192199 slim_762192190 slim_762192197 slim_762192202 slim_762192192 slim_762192195 slim_762192172 slim_762192181 slim_762192169 slim_762192193 slim_762192174 slim_762192162 slim_762192196
12 2.2e-06 2.05e-06 2.25e-06 1.35e-06 2.75e-06 1.2e-06 2.1e-06 2.3e-06 2.3e-06 1.6e-06 2.35e-06 2.05e-06 1.9e-06 2.4e-06 2.3e-06 1.4e-06 2.05e-06 2.5e-06 1.8e-06 9.5e-07 1.7e-06 2.3e-06 2.25e-06 2.1e-06 2.25e-06 2e-06 1.5e-06 1.7e-06 2.05e-06 1.4e-06 1.9e-06 2.3e-06 2.1e-06 1.75e-06 1.95e-06 2.75e-06 1.8e-06 1.35e-06 1.9e-06 2.1e-06 1.9e-06 1.5e-06 1.65e-06 1.85e-06 2.65e-06 1.55e-06 1.8e-06 2.2e-06 1.5e-06 2.3e-06 2.2e-06 2.35e-06 1.6e-06 1.9e-06 2.3e-06 2.1e-06 2.45e-06 2e-06 2.1e-06 1.75e-06
13 2.75e-06 2.45e-06 2.65e-06 2.45e-06 3.2e-06 2.65e-06 2.4e-06 2.45e-06 2.65e-06 2.05e-06 3e-06 2.95e-06 2.4e-06 3e-06 2.5e-06 2.1e-06 1.9e-06 3e-06 1.95e-06 2.4e-06 2e-06 2.7e-06 2.05e-06 1.7e-06 1.95e-06 2.15e-06 2.3e-06 2.8e-06 2.55e-06 2.6e-06 2.25e-06 2.6e-06 1.95e-06 1.95e-06 1.85e-06 1.6e-06 1.95e-06 2.5e-06 2.8e-06 2.1e-06 1.9e-06 2.4e-06 2.35e-06 2.15e-06 1.85e-06 2.05e-06 2.15e-06 2.3e-06 2.15e-06 2.95e-06 2.25e-06 2.7e-06 2.1e-06 2.8e-06 2.4e-06 2.75e-06 1.8e-06 2.35e-06 1.9e-06 1.95e-06
14 1.9e-06 2.05e-06 1.45e-06 2e-06 1.55e-06 2.2e-06 1.95e-06 2.05e-06 1.45e-06 1.7e-06 1.4e-06 2.1e-06 2.3e-06 2.5e-06 2.7e-06 2.15e-06 2.5e-06 1.45e-06 1.65e-06 2.3e-06 2.2e-06 1.5e-06 1.8e-06 2.05e-06 1.75e-06 2e-06 1.9e-06 2.25e-06 2e-06 2.45e-06 2.05e-06 1.75e-06 1.9e-06 1.8e-06 1.75e-06 2.25e-06 1.65e-06 2.35e-06 1.95e-06 2.5e-06 1.45e-06 1.9e-06 1.6e-06 2.35e-06 2.15e-06 1.65e-06 2.15e-06 1.5e-06 1.9e-06 1.35e-06 1.8e-06 1.5e-06 1.7e-06 1.95e-06 1.45e-06 1.55e-06 2.05e-06 2.15e-06 1.65e-06 1.65e-06
15 2.25e-06 1.4e-06 2.35e-06 1.55e-06 2.95e-06 1.85e-06 1.9e-06 1.7e-06 2.45e-06 1.4e-06 2.7e-06 2.1e-06 1.4e-06 2.1e-06 2.15e-06 1.4e-06 1.55e-06 2.7e-06 1.25e-06 1.4e-06 1.55e-06 2.5e-06 2e-06 1.7e-06 1.8e-06 1.6e-06 1.9e-06 2.05e-06 2.05e-06 1.9e-06 1.85e-06 2.35e-06 1.2e-06 1.35e-06 1.7e-06 2.1e-06 1.25e-06 1.3e-06 1.9e-06 2.25e-06 1.8e-06 1.75e-06 1.6e-06 2.05e-06 2.25e-06 1.45e-06 1.9e-06 2.1e-06 1.05e-06 2.65e-06 2e-06 2.5e-06 1.6e-06 1.9e-06 2.2e-06 2.4e-06 2.15e-06 1.95e-06 1.85e-06 1.25e-06
16 2.6e-06 2.05e-06 2.65e-06 2.25e-06 3.15e-06 2.55e-06 2.25e-06 2.4e-06 2.65e-06 1.9e-06 3e-06 2.55e-06 2.05e-06 1.9e-06 2.5e-06 1.55e-06 2.6e-06 3e-06 1.85e-06 2.05e-06 2.1e-06 2.7e-06 2.3e-06 2.1e-06 2.05e-06 2.15e-06 2.3e-06 2.5e-06 2.4e-06 2.45e-06 2.1e-06 2.55e-06 1.95e-06 2e-06 1.8e-06 1.75e-06 1.85e-06 1.95e-06 2.35e-06 2.15e-06 1.9e-06 2.3e-06 2.2e-06 2.2e-06 1.85e-06 1.95e-06 2.4e-06 2.3e-06 1.95e-06 2.95e-06 2.2e-06 2.7e-06 2e-06 2.35e-06 2.45e-06 2.75e-06 1.7e-06 2.2e-06 2.1e-06 1.85e-06
17 1.8e-06 2.25e-06 6e-07 2.05e-06 1.05e-06 2.3e-06 1.75e-06 2.2e-06 1.15e-06 2.05e-06 6.5e-07 2e-06 2.5e-06 3e-06 1.45e-06 2.7e-06 3e-06 1.2e-06 2.05e-06 2.5e-06 2.45e-06 1.2e-06 2.2e-06 2.65e-06 2.3e-06 2.5e-06 2.05e-06 2.2e-06 1.85e-06 2.75e-06 2.35e-06 1.55e-06 2.7e-06 2.45e-06 2e-06 3e-06 2.05e-06 2.6e-06 1.8e-06 2.9e-06 1.6e-06 1.85e-06 1.5e-06 2.7e-06 2.55e-06 1.9e-06 2.7e-06 1.1e-06 2.25e-06 6e-07 1.5e-06 1.2e-06 1.8e-06 1.8e-06 1.2e-06 1.1e-06 2.4e-06 2.45e-06 2.1e-06 2.05e-06
18 2.1e-06 1.65e-06 1.7e-06 1.3e-06 2.6e-06 1.75e-06 1.65e-06 1.75e-06 1.65e-06 1.05e-06 2.15e-06 2.25e-06 1.8e-06 1.95e-06 1.65e-06 1.25e-06 1.85e-06 2.05e-06 1.5e-06 1.8e-06 1.5e-06 1.75e-06 1.65e-06 1.6e-06 1.2e-06 1.3e-06 1.35e-06 2.25e-06 1.8e-06 2e-06 1.45e-06 2.1e-06 1.1e-06 1.25e-06 1.2e-06 1.7e-06 7.5e-07 1.75e-06 2.15e-06 2e-06 8e-07 1.5e-06 1.45e-06 1.85e-06 1.5e-06 1e-06 1.7e-06 1.2e-06 9e-07 2.1e-06 1.65e-06 1.7e-06 9.5e-07 2.15e-06 1.3e-06 1.95e-06 1.45e-06 1.55e-06 1.15e-06 8e-07
19 2.2e-06 2.05e-06 2.25e-06 1.35e-06 2.75e-06 1.2e-06 2.1e-06 2.3e-06 2.3e-06 1.6e-06 2.35e-06 2.05e-06 9.5e-07 2.4e-06 2.3e-06 1.4e-06 2.05e-06 2.5e-06 1.8e-06 1.9e-06 1.7e-06 2.3e-06 2.25e-06 2.1e-06 2.25e-06 2e-06 1.5e-06 1.7e-06 2.05e-06 1.4e-06 1.9e-06 2.3e-06 2.1e-06 1.75e-06 1.95e-06 2.75e-06 1.8e-06 1.35e-06 1.9e-06 2.1e-06 1.9e-06 1.5e-06 1.65e-06 1.85e-06 2.65e-06 1.55e-06 1.8e-06 2.2e-06 1.5e-06 2.3e-06 2.2e-06 2.35e-06 1.6e-06 1.9e-06 2.3e-06 2.1e-06 2.45e-06 2e-06 2.1e-06 1.75e-06
20 2.3e-06 2.1e-06 2.1e-06 1.3e-06 2.85e-06 1.7e-06 1.95e-06 2.05e-06 2.2e-06 1.45e-06 2.45e-06 2.35e-06 1.7e-06 2e-06 2.2e-06 1.55e-06 2.1e-06 2.45e-06 1.5e-06 1.7e-06 2.1e-06 2.2e-06 1.85e-06 1.4e-06 1.7e-06 1.5e-06 1.7e-06 2.3e-06 1.95e-06 1.85e-06 1.75e-06 2.25e-06 1.65e-06 1.55e-06 1.6e-06 2.15e-06 1.5e-06 1.7e-06 2.25e-06 2.3e-06 1.5e-06 1.55e-06 1.7e-06 1.85e-06 2.25e-06 1.5e-06 1.8e-06 1.85e-06 1.25e-06 2.4e-06 1.9e-06 2.25e-06 1.25e-06 2.25e-06 2e-06 2.15e-06 2.05e-06 1.85e-06 1.65e-06 1.45e-06
21 1.9e-06 2.35e-06 1.2e-06 1.8e-06 1.5e-06 2.05e-06 2e-06 2.4e-06 1.15e-06 1.7e-06 1.15e-06 2.1e-06 2.3e-06 2.7e-06 1.5e-06 2.5e-06 2.7e-06 1.2e-06 1.75e-06 2.3e-06 2.2e-06 2.2e-06 1.95e-06 2.4e-06 1.85e-06 2.15e-06 1.7e-06 2.25e-06 1.95e-06 2.45e-06 2e-06 1.7e-06 2.4e-06 2.2e-06 1.7e-06 2.6e-06 1.75e-06 2.4e-06 1.9e-06 2.55e-06 1.15e-06 1.7e-06 1.65e-06 2.35e-06 2.15e-06 1.65e-06 2.35e-06 1.25e-06 2e-06 1.1e-06 1.75e-06 1.25e-06 1.4e-06 1.9e-06 1.25e-06 1.25e-06 1.9e-06 2.1e-06 1.65e-06 1.7e-06
22 2.3e-06 2.3e-06 2.05e-06 2.05e-06 2.4e-06 2.35e-06 2.2e-06 2.2e-06 1.9e-06 1.7e-06 2.15e-06 2.5e-06 2.25e-06 2.05e-06 1.8e-06 2e-06 2.3e-06 2.2e-06 1.65e-06 2.25e-06 1.85e-06 1.95e-06 2.5e-06 1.5e-06 1.55e-06 1.8e-06 2e-06 2.65e-06 2.3e-06 2.55e-06 2.05e-06 2.05e-06 1.7e-06 1.6e-06 1.6e-06 1.85e-06 1.65e-06 2.25e-06 2.25e-06 2.45e-06 1.45e-06 1.85e-06 1.9e-06 2.2e-06 2.05e-06 1.65e-06 1.9e-06 1.8e-06 1.9e-06 2.1e-06 1.95e-06 1.95e-06 1.7e-06 2.25e-06 1.85e-06 1.9e-06 2e-06 2.15e-06 1.45e-06 1.65e-06
23 2.55e-06 2.1e-06 2.3e-06 2.1e-06 2.95e-06 2.4e-06 2.2e-06 1.85e-06 2.35e-06 1.7e-06 2.65e-06 2.65e-06 2.1e-06 1.7e-06 2.05e-06 1.7e-06 2.1e-06 2.65e-06 1.6e-06 2.1e-06 1.4e-06 2.4e-06 1.5e-06 1.5e-06 1.35e-06 1.5e-06 2.1e-06 2.6e-06 2.3e-06 2.45e-06 2.05e-06 2.4e-06 1.25e-06 1.2e-06 1.7e-06 1.6e-06 1.6e-06 2.15e-06 2.45e-06 2.5e-06 1.65e-06 2.05e-06 1.95e-06 1.9e-06 2.15e-06 1.65e-06 1.7e-06 2e-06 1.75e-06 2.6e-06 2.05e-06 2.4e-06 1.8e-06 2.45e-06 2.1e-06 2.4e-06 2.05e-06 2.15e-06 1.25e-06 1.6e-06
24 2.55e-06 2.05e-06 1.95e-06 1.8e-06 2.85e-06 2.25e-06 2.1e-06 1.9e-06 1.85e-06 1.35e-06 2.4e-06 2.55e-06 2.25e-06 1.95e-06 1.75e-06 1.8e-06 2.05e-06 2.3e-06 1.2e-06 2.25e-06 1.7e-06 1.85e-06 1.55e-06 1.35e-06 1.6e-06 1.2e-06 1.65e-06 2.5e-06 2.15e-06 2.45e-06 1.75e-06 2.4e-06 1.15e-06 1.35e-06 1.45e-06 1.5e-06 1.2e-06 2.2e-06 2.45e-06 2.25e-06 8.5e-07 1.95e-06 1.9e-06 1.9e-06 1.6e-06 1.4e-06 1.7e-06 1.4e-06 1.5e-06 2.35e-06 1.95e-06 1.9e-06 1.15e-06 2.45e-06 1.5e-06 2.25e-06 1.45e-06 1.85e-06 9e-07 1.15e-06
25 2.5e-06 2.05e-06 2.15e-06 1.45e-06 3.05e-06 1.95e-06 2.05e-06 1.9e-06 2.15e-06 1.4e-06 2.6e-06 2.5e-06 2e-06 2.15e-06 2e-06 1.6e-06 2.15e-06 2.5e-06 1.3e-06 2e-06 1.5e-06 2.15e-06 1.8e-06 1.5e-06 1.2e-06 2.2e-06 1.7e-06 2.45e-06 2.1e-06 2.15e-06 1.8e-06 2.55e-06 1.2e-06 1.35e-06 1.7e-06 1.85e-06 1.3e-06 1.95e-06 2.45e-06 2.3e-06 1.25e-06 1.85e-06 1.85e-06 1.95e-06 2e-06 1.45e-06 1.7e-06 1.7e-06 1.2e-06 2.55e-06 2.1e-06 2.2e-06 1.15e-06 2.45e-06 1.8e-06 2.4e-06 1.85e-06 1.9e-06 1.25e-06 1.25e-06
26 2.15e-06 2.25e-06 1.8e-06 1.2e-06 2.5e-06 1.2e-06 1.95e-06 2.3e-06 1.65e-06 1.3e-06 2e-06 2.2e-06 1.5e-06 2.3e-06 1.9e-06 1.9e-06 2.3e-06 2.05e-06 1.35e-06 1.5e-06 1.7e-06 1.7e-06 2e-06 2.1e-06 1.65e-06 1.7e-06 2e-06 1.9e-06 1.9e-06 1.55e-06 1.55e-06 2.15e-06 1.95e-06 1.75e-06 1.5e-06 2.35e-06 1.35e-06 1.8e-06 2.2e-06 1.85e-06 1e-06 1.4e-06 1.6e-06 1.65e-06 1.95e-06 1.25e-06 1.65e-06 1.45e-06 1.4e-06 1.95e-06 1.95e-06 1.7e-06 1.05e-06 2.2e-06 1.55e-06 1.85e-06 1.8e-06 1.65e-06 1.55e-06 1.35e-06
27 2.25e-06 1.9e-06 2e-06 1.95e-06 2.25e-06 1.7e-06 2.25e-06 2.25e-06 2.25e-06 2e-06 2e-06 1.85e-06 1.7e-06 2.8e-06 2.25e-06 2.05e-06 2.5e-06 2.2e-06 2.25e-06 1.7e-06 2.3e-06 2.25e-06 2.65e-06 2.6e-06 2.5e-06 2.45e-06 1.9e-06 2.9e-06 2.15e-06 1.85e-06 2.25e-06 2.3e-06 2.5e-06 2.25e-06 2.3e-06 3e-06 2.25e-06 1.95e-06 2.05e-06 2.45e-06 2.2e-06 2.05e-06 1.75e-06 2.2e-06 2.9e-06 2.05e-06 2.2e-06 2.25e-06 2.15e-06 1.95e-06 2.3e-06 2.3e-06 2.1e-06 2.05e-06 2.35e-06 2.2e-06 2.7e-06 2.35e-06 2.5e-06 2.2e-06
28 2e-06 2.1e-06 1.55e-06 1.65e-06 2.1e-06 1.9e-06 1.75e-06 2.15e-06 1.95e-06 1.7e-06 1.8e-06 2.2e-06 2.05e-06 2.55e-06 2e-06 2.05e-06 2.4e-06 1.85e-06 1.8e-06 2.05e-06 1.95e-06 1.95e-06 2.3e-06 2.3e-06 2.15e-06 2.1e-06 1.9e-06 2.15e-06 2.9e-06 1.7e-06 1.6e-06 1.95e-06 2.2e-06 2e-06 1.75e-06 2.5e-06 1.8e-06 2.1e-06 2.2e-06 2.4e-06 1.7e-06 1.8e-06 1.55e-06 2.3e-06 2.35e-06 1.7e-06 2.25e-06 1.7e-06 1.7e-06 1.75e-06 1.7e-06 2e-06 1.6e-06 2.2e-06 1.85e-06 1.95e-06 2.15e-06 1.7e-06 2.05e-06 1.75e-06
29 2.1e-06 2.4e-06 2.55e-06 1.35e-06 2.65e-06 1.1e-06 2.1e-06 2.4e-06 2.5e-06 1.65e-06 2.55e-06 2.25e-06 1.4e-06 2.6e-06 2.45e-06 1.9e-06 2.45e-06 2.75e-06 2e-06 1.4e-06 1.85e-06 2.45e-06 2.55e-06 2.45e-06 2.45e-06 2.15e-06 1.55e-06 1.85e-06 1.7e-06 1.6e-06 1.5e-06 2.3e-06 2.3e-06 1.95e-06 2e-06 2.8e-06 2e-06 1.75e-06 2.4e-06 2e-06 2.1e-06 1.7e-06 1.75e-06 1.9e-06 2.75e-06 1.75e-06 1.8e-06 2.5e-06 1.6e-06 2.5e-06 2.3e-06 2.55e-06 1.7e-06 2.4e-06 2.6e-06 2.4e-06 2.5e-06 1.6e-06 2.4e-06 1.9e-06
30 2.15e-06 2.2e-06 2.05e-06 1.45e-06 2.55e-06 1.7e-06 1.9e-06 2.25e-06 1.95e-06 1.4e-06 2.3e-06 2.3e-06 1.9e-06 2.25e-06 2.05e-06 1.85e-06 2.1e-06 2.35e-06 1.45e-06 1.9e-06 1.75e-06 2e-06 2.05e-06 2.05e-06 1.75e-06 1.8e-06 1.55e-06 2.25e-06 1.6e-06 1.5e-06 2.5e-06 2.1e-06 1.9e-06 1.75e-06 1.4e-06 2.1e-06 1.45e-06 1.9e-06 2.35e-06 2.1e-06 1.25e-06 1.65e-06 1.7e-06 2e-06 1.9e-06 1.4e-06 1.95e-06 1.7e-06 1.5e-06 2.25e-06 1.85e-06 2e-06 1.3e-06 2.35e-06 1.85e-06 2.15e-06 1.75e-06 1.35e-06 1.7e-06 1.45e-06
