 slim_762445961 slim_762445965 slim_762445937 slim_762445945 slim_762445958 slim_762445939 slim_762445959 slim_762445982 slim_762445983 slim_762445975 slim_762445943 slim_762445974 slim_762445978 slim_762445941 slim_762445950 slim_762445940 slim_762445946 slim_762445985 slim_762445951 slim_762445963 slim_762445971 slim_762445952 slim_762445962 slim_762445955 slim_762445964 slim_762445967 slim_762445942 slim_762445980 slim_762445972 slim_762445984 slim_762445949 slim_762445986 slim_762445973 slim_762445981 slim_762445935 slim_762445947 slim_762445936 slim_762445948 slim_762445954 slim_762445977 slim_762445957 slim_762445968 slim_762445966 slim_762445953 slim_762445938 slim_762445970 slim_762445956 slim_762445960 slim_762445976 slim_762445944 slim_762445969 slim_762445979
15 2.1e-06 1.85e-06 2.5e-06 2.1e-06 1.85e-06 2.2e-06 2.15e-06 2.6e-06 2.1e-06 2e-06 2.15e-06 2e-06 2.2e-06 2.15e-06 2.6e-06 3.5e-06 2.15e-06 1.95e-06 2.45e-06 2.05e-06 2.25e-06 2.3e-06 3.1e-06 2.25e-06 1.95e-06 1.95e-06 2.2e-06 1.95e-06 2.35e-06 2.1e-06 2.15e-06 2.25e-06 2.15e-06 2.35e-06 2.2e-06 2.1e-06 2.05e-06 2.45e-06 2.2e-06 2.05e-06 2.25e-06 2.35e-06 1.85e-06 2.2e-06 1.95e-06 2e-06 2.1e-06 2.15e-06 2.1e-06 2.1e-06 2.15e-06 2.35e-06
16 2.35e-06 2.4e-06 2.2e-06 2.2e-06 2.4e-06 2.45e-06 2.45e-06 2.55e-06 2e-06 2.2e-06 2.55e-06 2.4e-06 2.2e-06 2e-06 2.55e-06 2.15e-06 3.2e-06 1.95e-06 2.25e-06 2.15e-06 2.45e-06 2.25e-06 2.95e-06 2.45e-06 2.5e-06 2.3e-06 2.05e-06 2.05e-06 2.75e-06 1.85e-06 2.45e-06 1.65e-06 1.9e-06 2.4e-06 2.25e-06 2.4e-06 1.95e-06 2.5e-06 2.3e-06 1.95e-06 2.25e-06 2.35e-06 2.15e-06 2.05e-06 2.2e-06 1.95e-06 2.3e-06 2.35e-06 2.1e-06 2e-06 2.05e-06 2.15e-06
17 1.25e-06 2.2e-06 1.75e-06 4.5e-07 1.7e-06 1.4e-06 9.5e-07 1.75e-06 2.35e-06 1.1e-06 1.55e-06 1.2e-06 5e-07 1.6e-06 1.75e-06 1.95e-06 1.95e-06 3e-07 1.9e-06 7.5e-07 1.7e-06 1.2e-06 3.25e-06 1.45e-06 2.3e-06 1.45e-06 1e-06 2.4e-06 1.9e-06 1.75e-06 1.25e-06 1.3e-06 1e-06 1.6e-06 1.45e-06 1e-06 1.3e-06 2.75e-06 1.7e-06 1.9e-06 2e-06 2.85e-06 9e-07 2.85e-06 9.5e-07 1.7e-06 7.5e-07 6e-07 1.3e-06 1.3e-06 1.9e-06 2.1e-06
18 2.35e-06 2.3e-06 2.5e-06 2e-06 2.35e-06 2.5e-06 2.1e-06 2.5e-06 2.5e-06 2.15e-06 2.25e-06 2.25e-06 2.15e-06 2.25e-06 2.5e-06 2.45e-06 2.25e-06 1.9e-06 3.4e-06 1.95e-06 2.15e-06 2.5e-06 3.15e-06 2e-06 2.4e-06 2.4e-06 1.95e-06 2.65e-06 2.25e-06 1.9e-06 2.35e-06 1.75e-06 2.05e-06 2.3e-06 2.15e-06 2.25e-06 2e-06 2.4e-06 2.45e-06 2.3e-06 2.45e-06 2.7e-06 2.1e-06 2.6e-06 2.15e-06 2.4e-06 2.1e-06 2.05e-06 2.15e-06 2e-06 2.5e-06 2.8e-06
19 1.5e-06 2.15e-06 2.2e-06 5e-07 1.65e-06 1.65e-06 7e-07 2.25e-06 2.75e-06 1.45e-06 1.4e-06 1.05e-06 1.05e-06 1.45e-06 2.25e-06 2.05e-06 2.15e-06 7.5e-07 1.95e-06 6e-07 1.5e-06 1.75e-06 3.6e-06 1.1e-06 2.25e-06 1.7e-06 1.1e-06 2.5e-06 1.9e-06 1.7e-06 1.5e-06 1.45e-06 1.35e-06 1.2e-06 2e-06 1.3e-06 1.35e-06 3.3e-06 2.25e-06 1.9e-06 1.9e-06 3e-06 1.15e-06 3.25e-06 1.25e-06 1.9e-06 1.05e-06 4.5e-07 1.5e-06 1.35e-06 1.8e-06 2.5e-06
20 2.1e-06 2.1e-06 2.5e-06 1.7e-06 2.15e-06 2.25e-06 1.75e-06 2.05e-06 2.55e-06 1.85e-06 1.85e-06 1.9e-06 2e-06 2e-06 2.05e-06 2.25e-06 2.45e-06 1.7e-06 2.15e-06 1.5e-06 2.6e-06 2.35e-06 2.8e-06 1.5e-06 2.2e-06 2.2e-06 1.95e-06 2.55e-06 1.6e-06 1.85e-06 2.15e-06 2.05e-06 2.1e-06 1.95e-06 2.1e-06 2e-06 2.1e-06 2.55e-06 2.25e-06 2.2e-06 1.8e-06 2.1e-06 1.9e-06 2.65e-06 1.95e-06 2.15e-06 1.9e-06 1.6e-06 2.25e-06 2.1e-06 2.3e-06 2.65e-06
21 1.2e-06 2.1e-06 2.25e-06 1.6e-06 1.65e-06 1.3e-06 1.9e-06 2.4e-06 2.15e-06 2.05e-06 2.4e-06 1.65e-06 1.4e-06 2.45e-06 2.4e-06 2.3e-06 2.25e-06 1.2e-06 2.5e-06 1.75e-06 2.35e-06 1.5e-06 3.5e-06 2.4e-06 2.2e-06 1.75e-06 1.7e-06 2.25e-06 2.45e-06 2.6e-06 1.95e-06 2.1e-06 1.75e-06 2.6e-06 1.95e-06 1.55e-06 1.65e-06 2.65e-06 2.1e-06 2.25e-06 2.5e-06 2.95e-06 1.45e-06 2.65e-06 1.4e-06 2.1e-06 1.55e-06 1.65e-06 1.75e-06 1.7e-06 2.35e-06 1.8e-06
22 3.5e-06 3.45e-06 2.35e-06 3.55e-06 3.95e-06 3.65e-06 3.7e-06 2.35e-06 2.95e-06 3e-06 3.35e-06 3.9e-06 3.35e-06 2.7e-06 2.35e-06 3.1e-06 2.95e-06 3.25e-06 3.15e-06 3.6e-06 2.8e-06 3.5e-06 3e-06 3.1e-06 3.55e-06 3.6e-06 3.6e-06 3.3e-06 2.9e-06 2.6e-06 3.6e-06 2.95e-06 3.25e-06 3.1e-06 3.05e-06 3.7e-06 3.65e-06 2.8e-06 2.55e-06 3e-06 2.8e-06 2.4e-06 3.6e-06 2.65e-06 3.6e-06 3.05e-06 3.6e-06 3.7e-06 3.75e-06 3.65e-06 3.2e-06 3e-06
23 2.1e-06 2.1e-06 2.5e-06 1.2e-06 2.15e-06 2.25e-06 1.35e-06 2.2e-06 2.7e-06 1.65e-06 1.45e-06 1.65e-06 1.75e-06 1.85e-06 2.2e-06 2.25e-06 2.45e-06 1.45e-06 2e-06 1.1e-06 1.5e-06 2.4e-06 3.1e-06 2e-06 2.2e-06 2.15e-06 1.85e-06 2.65e-06 1.8e-06 1.6e-06 2.05e-06 1.85e-06 1.95e-06 1.5e-06 2e-06 2e-06 2e-06 2.6e-06 2.15e-06 2.15e-06 2e-06 2.45e-06 1.75e-06 2.8e-06 1.85e-06 2.15e-06 1.75e-06 1.15e-06 2.15e-06 2e-06 2.05e-06 2.75e-06
24 1.8e-06 7.5e-07 3.15e-06 2.3e-06 9e-07 1.85e-06 2.15e-06 2.85e-06 1.9e-06 2.5e-06 1.9e-06 1.55e-06 2.55e-06 2.8e-06 2.85e-06 1.95e-06 2.5e-06 2.3e-06 2.4e-06 2.25e-06 2.2e-06 2.2e-06 3.55e-06 2.2e-06 1.5e-06 1.85e-06 2.35e-06 1.55e-06 2.05e-06 2.55e-06 2.45e-06 2.8e-06 2.8e-06 2.65e-06 2.05e-06 2.05e-06 1.8e-06 1.85e-06 2.85e-06 2.2e-06 2.4e-06 2.25e-06 1.5e-06 2e-06 1.7e-06 2.15e-06 2.2e-06 2.25e-06 1.85e-06 1.9e-06 2.3e-06 2.6e-06
25 1.55e-06 1.75e-06 2.55e-06 1.65e-06 1.25e-06 1.6e-06 1.65e-06 2.55e-06 2.15e-06 1.8e-06 2.05e-06 1.5e-06 1.7e-06 2.35e-06 2.55e-06 1.95e-06 2.3e-06 1.45e-06 2.4e-06 1.7e-06 2.2e-06 1.75e-06 3.6e-06 2.15e-06 1.85e-06 2.4e-06 1.7e-06 1.95e-06 2.15e-06 2.45e-06 1.45e-06 2.3e-06 1.55e-06 2.35e-06 2.05e-06 1.45e-06 1.6e-06 2.65e-06 2.3e-06 2.15e-06 2.45e-06 2.75e-06 1.35e-06 2.6e-06 1.4e-06 2.05e-06 1.55e-06 1.65e-06 1.7e-06 1.65e-06 2.25e-06 2.4e-06
26 1.55e-06 2.25e-06 2.15e-06 1.15e-06 1.7e-06 1.7e-06 1.2e-06 2.35e-06 2.7e-06 1.75e-06 2e-06 1.45e-06 1.3e-06 1.9e-06 2.35e-06 2.2e-06 2.05e-06 1e-06 1.95e-06 1.1e-06 1.95e-06 1.7e-06 3.6e-06 1.85e-06 2.35e-06 1.7e-06 1.7e-06 2.55e-06 2e-06 1.9e-06 1.45e-06 1.3e-06 1.25e-06 1.95e-06 2.1e-06 9.5e-07 1.25e-06 3.2e-06 2.35e-06 2.2e-06 2.3e-06 3.15e-06 1.35e-06 3.2e-06 1.35e-06 2.15e-06 1.1e-06 1.15e-06 1.4e-06 1.25e-06 2.3e-06 2.55e-06
27 2.1e-06 1.45e-06 2.85e-06 2.55e-06 1.4e-06 2.1e-06 2.55e-06 2.9e-06 1.65e-06 2.55e-06 2.45e-06 2.05e-06 2.65e-06 2.55e-06 2.9e-06 1.95e-06 2.05e-06 2.4e-06 2.65e-06 2.5e-06 2.55e-06 2.25e-06 3.3e-06 2.65e-06 1.55e-06 1.95e-06 2.55e-06 2.6e-06 2.55e-06 2.55e-06 2.55e-06 2.75e-06 2.65e-06 2.75e-06 2.25e-06 2.35e-06 2.05e-06 2.1e-06 2.75e-06 1.95e-06 2.4e-06 2.1e-06 1.85e-06 1.7e-06 2e-06 1.9e-06 2.45e-06 2.6e-06 2.15e-06 2.15e-06 2.05e-06 2.2e-06
28 2.1e-06 1.95e-06 2.7e-06 1.95e-06 1.95e-06 2.25e-06 1.75e-06 2.2e-06 2.65e-06 2.05e-06 2e-06 1.95e-06 2.2e-06 2.4e-06 2.2e-06 2.35e-06 2.75e-06 1.9e-06 2.25e-06 1.9e-06 1.6e-06 2.45e-06 2.9e-06 1.8e-06 2.05e-06 2.15e-06 2e-06 2.55e-06 2.8e-06 2.2e-06 2e-06 2.45e-06 2.35e-06 2.25e-06 2.2e-06 1.7e-06 2.2e-06 2.55e-06 2.45e-06 2.35e-06 2.2e-06 2.25e-06 1.9e-06 2.75e-06 1.95e-06 2.35e-06 1.8e-06 1.85e-06 2.3e-06 2.2e-06 2.55e-06 2.85e-06
29 2.5e-06 2.45e-06 2e-06 1.8e-06 2.8e-06 2.65e-06 1.95e-06 2.3e-06 2.65e-06 1.5e-06 1.9e-06 2.35e-06 2e-06 1.5e-06 2.3e-06 2.1e-06 1.85e-06 1.75e-06 1.9e-06 1.7e-06 1.85e-06 2.6e-06 2.6e-06 1.6e-06 2.55e-06 2.45e-06 1.9e-06 2.55e-06 2.2e-06 1.3e-06 2.25e-06 1.05e-06 1.75e-06 1.55e-06 2.1e-06 2.3e-06 2.15e-06 2.45e-06 1.45e-06 1.95e-06 2.15e-06 2.2e-06 2.25e-06 2.3e-06 2.3e-06 2e-06 2.1e-06 1.85e-06 2.35e-06 2.15e-06 2.05e-06 2.4e-06
30 1.75e-06 2.35e-06 2.4e-06 1.45e-06 1.85e-06 1.9e-06 1.35e-06 2.5e-06 2.55e-06 1.6e-06 2.1e-06 1.7e-06 1.5e-06 2.15e-06 2.5e-06 2.15e-06 2.45e-06 1.25e-06 2.35e-06 1.5e-06 2.15e-06 1.95e-06 3.6e-06 2.05e-06 2.45e-06 1.45e-06 1.45e-06 2.55e-06 2e-06 2.25e-06 2e-06 2.1e-06 1.35e-06 2.15e-06 2.1e-06 1.05e-06 1.8e-06 2.95e-06 2.15e-06 2.25e-06 2.55e-06 3.05e-06 1.55e-06 3e-06 1.55e-06 2.2e-06 1.1e-06 1.45e-06 1.9e-06 1.8e-06 2.4e-06 2.6e-06
31 2.15e-06 2.7e-06 1.8e-06 1.5e-06 2.6e-06 2.3e-06 1.8e-06 2.2e-06 2.7e-06 1.7e-06 2.15e-06 2.15e-06 1.55e-06 1.65e-06 2.2e-06 2.25e-06 1.65e-06 1.3e-06 1.75e-06 1.45e-06 2.05e-06 2.1e-06 2.95e-06 1.85e-06 2.8e-06 2.3e-06 1.3e-06 2.75e-06 2.45e-06 1.05e-06 2.1e-06 9e-07 1.2e-06 1.9e-06 2.1e-06 1.95e-06 1.55e-06 2.85e-06 1.8e-06 2.15e-06 2.15e-06 2.85e-06 1.95e-06 2.8e-06 1.95e-06 2.2e-06 1.75e-06 1.65e-06 1.75e-06 1.55e-06 2.25e-06 2.45e-06
32 1.8e-06 2.7e-06 1.9e-06 1.3e-06 2.25e-06 1.95e-06 1.55e-06 2.2e-06 2.5e-06 1.45e-06 2.15e-06 1.85e-06 1.25e-06 1.8e-06 2.2e-06 2.15e-06 1.9e-06 1e-06 2.05e-06 1.35e-06 2.1e-06 1.75e-06 3.25e-06 1.95e-06 2.8e-06 1.55e-06 1.25e-06 2.65e-06 2.35e-06 1.75e-06 1.35e-06 1.2e-06 1.6e-06 2e-06 2.05e-06 1.5e-06 1.55e-06 3.05e-06 1.85e-06 2.15e-06 2.3e-06 3e-06 1.65e-06 2.95e-06 1.6e-06 2.1e-06 1.4e-06 1.4e-06 1.7e-06 1.55e-06 2.25e-06 2.35e-06
33 2.35e-06 2.55e-06 2.4e-06 1.35e-06 2.5e-06 2.5e-06 1.5e-06 2.4e-06 3e-06 1.75e-06 1.8e-06 1.9e-06 1.9e-06 1.45e-06 2.4e-06 2.35e-06 2.4e-06 1.6e-06 2.3e-06 1.2e-06 1.95e-06 2.6e-06 3.1e-06 1.5e-06 2.65e-06 2.35e-06 1.95e-06 2.75e-06 2.25e-06 1.55e-06 2.15e-06 1.9e-06 2e-06 2.3e-06 2.4e-06 2.15e-06 2.2e-06 3.25e-06 2.25e-06 2.1e-06 2.35e-06 2.8e-06 2e-06 3.05e-06 2.1e-06 2.15e-06 1.9e-06 1.25e-06 2.35e-06 2.2e-06 2.05e-06 2.75e-06
34 1.95e-06 1.95e-06 2.4e-06 1.75e-06 2e-06 2.1e-06 2.1e-06 2.2e-06 1.85e-06 1.85e-06 2e-06 2e-06 1.75e-06 2.35e-06 2.2e-06 2.2e-06 2.25e-06 1.45e-06 2.15e-06 2e-06 2.1e-06 1.95e-06 3.05e-06 2e-06 2.05e-06 2.05e-06 2.1e-06 2.25e-06 2.2e-06 2.1e-06 2.1e-06 2.1e-06 2.05e-06 2.4e-06 2.9e-06 1.9e-06 2.05e-06 1.55e-06 2.05e-06 2.2e-06 2.3e-06 2.35e-06 1.7e-06 1.95e-06 1.75e-06 2.05e-06 1.8e-06 1.9e-06 2.1e-06 2.05e-06 2.25e-06 2.35e-06
35 1.35e-06 1.95e-06 2.35e-06 1.25e-06 1.35e-06 1.5e-06 1.1e-06 2.35e-06 2.45e-06 1.75e-06 2e-06 1.3e-06 1.35e-06 2.15e-06 2.35e-06 2.1e-06 2.4e-06 1e-06 2.25e-06 1.3e-06 2e-06 1.55e-06 3.7e-06 2e-06 2.05e-06 1.45e-06 9.5e-07 2.35e-06 1.7e-06 2.3e-06 1.05e-06 1.95e-06 1.5e-06 2.15e-06 1.9e-06 6e-07 1.45e-06 2.8e-06 2.35e-06 2.25e-06 2.45e-06 3.05e-06 1.2e-06 2.95e-06 1.15e-06 2.1e-06 7.5e-07 1.2e-06 1.55e-06 1.45e-06 2.35e-06 2.5e-06
