 slim_762405176 slim_762405212 slim_762405216 slim_762405218 slim_762405181 slim_762405184 slim_762405198 slim_762405219 slim_762405223 slim_762405224 slim_762405220 slim_762405205 slim_762405178 slim_762405201 slim_762405190 slim_762405186 slim_762405206 slim_762405173 slim_762405170 slim_762405209 slim_762405172 slim_762405188 slim_762405189 slim_762405174 slim_762405166 slim_762405187 slim_762405195 slim_762405199 slim_762405221 slim_762405210 slim_762405197 slim_762405222 slim_762405179 slim_762405196 slim_762405202 slim_762405183 slim_762405200 slim_762405171 slim_762405164 slim_762405177 slim_762405192 slim_762405208 slim_762405175 slim_762405217 slim_762405191 slim_762405194 slim_762405207 slim_762405203 slim_762405169 slim_762405193 slim_762405213 slim_762405165 slim_762405163 slim_762405211 slim_762405168 slim_762405204 slim_762405185 slim_762405214 slim_762405215 slim_762405182 slim_762405180 slim_762405167
0 1.8e-06 1.75e-06 1.55e-06 1.95e-06 1.8e-06 2.1e-06 1.25e-06 2.4e-06 1.55e-06 2.05e-06 1.9e-06 1.55e-06 2.35e-06 2.3e-06 1.9e-06 2.25e-06 1.95e-06 1.95e-06 2.35e-06 1.8e-06 1.35e-06 2.05e-06 2.8e-06 1.5e-06 1.8e-06 2e-06 2.05e-06 1.4e-06 1.8e-06 1.15e-06 1.6e-06 1.85e-06 1.5e-06 2.1e-06 1.75e-06 1.85e-06 1.4e-06 2.2e-06 2.05e-06 1.75e-06 1.55e-06 1.85e-06 1.45e-06 2.1e-06 2.25e-06 2.3e-06 2e-06 2e-06 2.2e-06 1.35e-06 2.6e-06 1.6e-06 2.15e-06 2.05e-06 1.6e-06 2.5e-06 1.45e-06 1.95e-06 2.15e-06 1.5e-06 1.8e-06 1.7e-06
1 1.75e-06 2.1e-06 1.85e-06 1.9e-06 2.25e-06 1.8e-06 2.15e-06 2e-06 1.25e-06 1.65e-06 1.75e-06 1.7e-06 2.25e-06 1.35e-06 1.6e-06 2.3e-06 1.65e-06 2.2e-06 2.05e-06 1.65e-06 1.85e-06 2.1e-06 1.75e-06 1.5e-06 2.15e-06 2.35e-06 1.75e-06 1.65e-06 1.65e-06 1.8e-06 2.35e-06 1.45e-06 1.45e-06 2.1e-06 1.75e-06 1.4e-06 1.6e-06 1.3e-06 2.1e-06 1.15e-06 1.95e-06 2.2e-06 1.7e-06 1.95e-06 1.55e-06 1.6e-06 1.9e-06 1.7e-06 1.6e-06 1.6e-06 1.55e-06 1.95e-06 2.15e-06 1.7e-06 1.65e-06 1.95e-06 1.65e-06 1.8e-06 1.75e-06 1.85e-06 1.8e-06 1.7e-06
2 1.55e-06 1.85e-06 2.1e-06 1.7e-06 1.6e-06 1.8e-06 1.5e-06 2.3e-06 1.6e-06 2.05e-06 1.75e-06 1.5e-06 2e-06 2.25e-06 1.9e-06 2.1e-06 2.1e-06 1.75e-06 2.2e-06 1.9e-06 1.45e-06 2.15e-06 2.45e-06 1.5e-06 1.7e-06 1.9e-06 1.9e-06 1.35e-06 1.95e-06 1.5e-06 1.4e-06 1.8e-06 1.6e-06 2e-06 1.4e-06 1.6e-06 1.35e-06 2.25e-06 1.75e-06 1.9e-06 1.8e-06 1.65e-06 1.65e-06 1.8e-06 1.95e-06 2.25e-06 2.15e-06 2e-06 1.85e-06 1.35e-06 2.35e-06 1.15e-06 2.05e-06 2.05e-06 1.05e-06 2e-06 1.45e-06 1.8e-06 1.75e-06 1.25e-06 1.7e-06 1.35e-06
3 1.95e-06 1.9e-06 1.7e-06 2.2e-06 1.65e-06 2e-06 2.05e-06 1.9e-06 1.75e-06 2.1e-06 2.05e-06 1.8e-06 2.1e-06 2.5e-06 2.1e-06 1.95e-06 2.4e-06 1.65e-06 2.05e-06 1.55e-06 1.9e-06 2.25e-06 2.4e-06 1.8e-06 2e-06 2.25e-06 2.3e-06 1.75e-06 2.3e-06 2.05e-06 1.95e-06 2.1e-06 1.95e-06 2.35e-06 1.6e-06 1.7e-06 1.45e-06 2.3e-06 2.35e-06 1.95e-06 1.75e-06 1.55e-06 1.85e-06 2.55e-06 2.05e-06 1.95e-06 2.15e-06 1.8e-06 1.85e-06 1.95e-06 2.5e-06 1.5e-06 2.4e-06 1.85e-06 1.2e-06 1.7e-06 1.5e-06 2.1e-06 1.9e-06 1.6e-06 1.6e-06 1.55e-06
4 1.8e-06 2.25e-06 1.6e-06 1.65e-06 2.4e-06 2.25e-06 1.65e-06 2.2e-06 2.05e-06 2.45e-06 1.9e-06 1.65e-06 1.85e-06 2.7e-06 2.15e-06 1.95e-06 2.55e-06 1.55e-06 2.05e-06 1.8e-06 1.7e-06 2.1e-06 2.6e-06 1.95e-06 2e-06 2.15e-06 2.4e-06 1.55e-06 2.25e-06 1.9e-06 1.45e-06 2.25e-06 2.1e-06 2.25e-06 1.95e-06 2e-06 1.8e-06 2.6e-06 2.05e-06 2.25e-06 1.65e-06 1.35e-06 2.05e-06 2.4e-06 2.4e-06 2.25e-06 2.2e-06 1.85e-06 2.3e-06 1.95e-06 2.75e-06 1.35e-06 2.3e-06 1.9e-06 1.5e-06 2.1e-06 1.85e-06 1.95e-06 2.15e-06 1.55e-06 1.6e-06 1.9e-06
5 2.1e-06 1.8e-06 1.8e-06 2e-06 2.25e-06 2.3e-06 2.35e-06 2.15e-06 1.5e-06 1.95e-06 2.05e-06 1.9e-06 2.3e-06 1.95e-06 2.15e-06 1.8e-06 2.1e-06 2.25e-06 2.25e-06 1.95e-06 2e-06 2.4e-06 2.15e-06 1.45e-06 2.1e-06 1.85e-06 1.95e-06 1.9e-06 2.2e-06 2.1e-06 2.3e-06 1.7e-06 1.75e-06 2.3e-06 1.8e-06 1.65e-06 1.7e-06 1.95e-06 2.15e-06 1.7e-06 2.15e-06 2.2e-06 1.75e-06 2.25e-06 1.45e-06 2.05e-06 2.15e-06 2.05e-06 1.9e-06 1.7e-06 2.05e-06 1.8e-06 2.35e-06 2.1e-06 1.45e-06 2.05e-06 1.8e-06 2.1e-06 1.8e-06 1.85e-06 1.85e-06 1.75e-06
6 1.25e-06 2.15e-06 1.5e-06 2.05e-06 1.65e-06 2.35e-06 1.3e-06 2.55e-06 1.95e-06 2.4e-06 1.95e-06 1.6e-06 2.25e-06 2.55e-06 1.95e-06 2.35e-06 2.45e-06 1.75e-06 2.45e-06 2.05e-06 1.55e-06 1.95e-06 3.05e-06 2.05e-06 1.7e-06 1.85e-06 2.45e-06 1.4e-06 1.8e-06 1.4e-06 1e-06 2.4e-06 2.05e-06 1.95e-06 2.1e-06 2.1e-06 1.85e-06 2.65e-06 2.2e-06 2.2e-06 2e-06 1.7e-06 2.05e-06 2.35e-06 2.5e-06 2.55e-06 2.55e-06 2.25e-06 2.35e-06 2e-06 2.85e-06 1.45e-06 2e-06 2.3e-06 1.65e-06 2.6e-06 1.95e-06 2e-06 2.25e-06 1.35e-06 2e-06 2.05e-06
7 2.4e-06 2e-06 2.3e-06 1.9e-06 2.2e-06 2.15e-06 2.55e-06 2.9e-06 2e-06 2.1e-06 2.3e-06 2.25e-06 2.1e-06 1.75e-06 2.1e-06 2.15e-06 2.45e-06 1.9e-06 1.65e-06 1.8e-06 2.2e-06 2.05e-06 1.9e-06 2.15e-06 2.35e-06 2.55e-06 1.95e-06 2.25e-06 2.35e-06 2.5e-06 2.65e-06 2.15e-06 2.25e-06 2.05e-06 2.4e-06 1.95e-06 2.2e-06 2.05e-06 2.45e-06 1.9e-06 2.15e-06 2.1e-06 2.15e-06 2.65e-06 2.05e-06 1.8e-06 2e-06 1.85e-06 2.05e-06 2.4e-06 1.8e-06 2.25e-06 2.1e-06 1.9e-06 1.95e-06 1.9e-06 2.3e-06 2.35e-06 1.7e-06 2.05e-06 1.95e-06 2.35e-06
8 1.55e-06 1.25e-06 1.6e-06 1.75e-06 2.05e-06 1.5e-06 1.95e-06 2e-06 1e-06 1.55e-06 1.7e-06 1.35e-06 2.4e-06 2e-06 1.55e-06 2.15e-06 1.45e-06 1.9e-06 2.1e-06 1.05e-06 1.65e-06 2.25e-06 1.85e-06 1e-06 2e-06 2.2e-06 1.7e-06 1.75e-06 1.6e-06 1.55e-06 2.15e-06 1.25e-06 8.5e-07 2.15e-06 1.55e-06 1.35e-06 1.45e-06 1.25e-06 2.05e-06 8e-07 1.6e-06 1.9e-06 1.55e-06 1.65e-06 1.35e-06 1.55e-06 1.9e-06 1.5e-06 2e-06 1.05e-06 1.75e-06 1.9e-06 2.2e-06 1.5e-06 1.6e-06 2.2e-06 1.55e-06 1.75e-06 1.95e-06 1.7e-06 1.2e-06 1.5e-06
9 2.05e-06 1.65e-06 2.05e-06 2.1e-06 2.45e-06 1.95e-06 2.4e-06 2.1e-06 1.55e-06 2.4e-06 1.9e-06 1.85e-06 2.4e-06 1.8e-06 1.9e-06 2.35e-06 1.9e-06 2.4e-06 2.2e-06 1.85e-06 2.05e-06 2.4e-06 2.05e-06 1.8e-06 1.85e-06 2.3e-06 2e-06 2.1e-06 2.1e-06 2.25e-06 2.45e-06 1.6e-06 1.75e-06 2.15e-06 2.1e-06 1.45e-06 1.8e-06 1.4e-06 2.3e-06 1.25e-06 2.2e-06 2.4e-06 1.5e-06 2.3e-06 1.8e-06 1.65e-06 2.1e-06 1.85e-06 1.95e-06 2.05e-06 1.8e-06 2e-06 2.2e-06 1.9e-06 1.6e-06 2.15e-06 1.9e-06 1.95e-06 1.75e-06 1.9e-06 2.15e-06 2.05e-06
