 slim_762139187 slim_762139168 slim_762139174 slim_762139192 slim_762139162 slim_762139150 slim_762139181 slim_762139160 slim_762139173 slim_762139170 slim_762139182 slim_762139180 slim_762139154 slim_762139172 slim_762139190 slim_762139194 slim_762139158 slim_762139191 slim_762139156 slim_762139183 slim_762139146 slim_762139193 slim_762139152 slim_762139145 slim_762139177 slim_762139165 slim_762139153 slim_762139161 slim_762139157 slim_762139147 slim_762139186 slim_762139148 slim_762139164 slim_762139189 slim_762139167 slim_762139188 slim_762139151 slim_762139178 slim_762139166 slim_762139185 slim_762139163 slim_762139179 slim_762139144 slim_762139159 slim_762139184 slim_762139155 slim_762139169 slim_762139176 slim_762139175 slim_762139171 slim_762139149
10 2.45e-06 3.2e-06 2.55e-06 2.95e-06 3e-06 2.35e-06 2.15e-06 2.7e-06 2.95e-06 3e-06 2.6e-06 2.2e-06 2.7e-06 2.65e-06 2.5e-06 2.3e-06 2.65e-06 2.8e-06 2.35e-06 1.85e-06 2.75e-06 2.95e-06 2.7e-06 2.7e-06 2.1e-06 2.85e-06 2.45e-06 2.55e-06 2.15e-06 2.3e-06 2.5e-06 2.7e-06 3.05e-06 3.1e-06 2.9e-06 2.1e-06 2.8e-06 2.2e-06 2.5e-06 2.7e-06 2.55e-06 3e-06 2.6e-06 2.6e-06 2.6e-06 2.55e-06 2.45e-06 2.4e-06 2.25e-06 2.55e-06 3.15e-06
11 1.6e-06 2e-06 2e-06 1.8e-06 2.25e-06 1.75e-06 2.25e-06 2.45e-06 1.95e-06 1.9e-06 2.2e-06 2.2e-06 2.1e-06 1.85e-06 1.55e-06 2e-06 2.05e-06 1.9e-06 1.8e-06 1.9e-06 1.7e-06 2.3e-06 1.4e-06 1.9e-06 2.25e-06 1.9e-06 1.4e-06 2.2e-06 1.55e-06 1.3e-06 1.8e-06 1.65e-06 2.05e-06 1.5e-06 1.45e-06 1.7e-06 1.65e-06 2.05e-06 1.45e-06 1.45e-06 2.05e-06 2.4e-06 1.45e-06 1.55e-06 2.25e-06 1.7e-06 1.9e-06 2.45e-06 1.65e-06 2e-06 1.55e-06
12 1.6e-06 2.8e-06 2.25e-06 1.7e-06 2.75e-06 1.7e-06 2.25e-06 1.95e-06 2.2e-06 2.75e-06 2.7e-06 2.1e-06 2.5e-06 2.8e-06 2.4e-06 2.3e-06 1.3e-06 2.7e-06 1.6e-06 2.65e-06 2.2e-06 2e-06 2.25e-06 2.9e-06 2.65e-06 2.45e-06 2.2e-06 1.55e-06 2.4e-06 2.15e-06 2.35e-06 1.9e-06 1.55e-06 2.45e-06 2.05e-06 2.45e-06 2.2e-06 1.95e-06 1.85e-06 2.05e-06 2.65e-06 2.75e-06 1.85e-06 1.85e-06 1.55e-06 2.35e-06 2.45e-06 3e-06 1.65e-06 2.25e-06 2.5e-06
13 1.95e-06 1.65e-06 1.75e-06 2.3e-06 1.8e-06 2.55e-06 2e-06 2.4e-06 1.8e-06 1.3e-06 2.65e-06 1.85e-06 2.8e-06 1.4e-06 9.5e-07 2.2e-06 2.75e-06 1.65e-06 2.45e-06 1.85e-06 1.5e-06 2.1e-06 1.5e-06 8e-07 2e-06 1.1e-06 1.3e-06 2.5e-06 1.75e-06 1.85e-06 1.75e-06 2.25e-06 2.25e-06 1.65e-06 1.75e-06 1.9e-06 2.15e-06 2.2e-06 1.9e-06 1.5e-06 1.3e-06 2.7e-06 2.25e-06 1.8e-06 2.55e-06 1.55e-06 1.45e-06 2.05e-06 2.45e-06 1.7e-06 1.7e-06
14 1.55e-06 1.6e-06 1.75e-06 1.9e-06 1.8e-06 2.15e-06 2e-06 2.4e-06 1.7e-06 1.4e-06 2.5e-06 1.55e-06 2.4e-06 9.5e-07 1.3e-06 1.9e-06 2.35e-06 1.65e-06 2.2e-06 1.95e-06 1e-06 1.85e-06 1e-06 1.05e-06 1.7e-06 1.2e-06 8.5e-07 2.15e-06 1.6e-06 1.6e-06 1.7e-06 1.85e-06 1.9e-06 1.45e-06 1.3e-06 1.65e-06 1.8e-06 2.15e-06 1.65e-06 1.15e-06 1.3e-06 2.4e-06 1.8e-06 1.35e-06 2.2e-06 1.45e-06 1.5e-06 2.05e-06 2.05e-06 1.75e-06 1.5e-06
15 1.55e-06 2.45e-06 2.1e-06 2.35e-06 2.4e-06 2e-06 2.35e-06 2.7e-06 2.4e-06 2.35e-06 2.3e-06 2e-06 2.3e-06 2.2e-06 1.9e-06 2.4e-06 2.25e-06 2.35e-06 2.45e-06 2.1e-06 1.8e-06 2.65e-06 1.9e-06 2.15e-06 2.3e-06 1.95e-06 1.85e-06 2.45e-06 1.65e-06 2.1e-06 2.2e-06 2e-06 2.2e-06 2.05e-06 1.8e-06 2e-06 2.25e-06 2.1e-06 1.65e-06 1.75e-06 2.2e-06 2.1e-06 1.9e-06 1.55e-06 2.5e-06 2.1e-06 2.2e-06 2.5e-06 1.9e-06 2.1e-06 2.1e-06
16 1.6e-06 2.75e-06 2.2e-06 1.65e-06 2.7e-06 1.65e-06 2.2e-06 1.9e-06 2.15e-06 2.7e-06 2.65e-06 2.05e-06 1.3e-06 2.75e-06 2.35e-06 2.25e-06 2.4e-06 2.65e-06 1.6e-06 2.6e-06 2.15e-06 2e-06 2.2e-06 2.85e-06 2.6e-06 2.4e-06 2.2e-06 1.5e-06 2.35e-06 2.1e-06 2.3e-06 1.85e-06 1.55e-06 2.4e-06 2.05e-06 2.4e-06 2.15e-06 1.9e-06 1.85e-06 2.05e-06 2.6e-06 2.7e-06 1.8e-06 1.8e-06 1.55e-06 2.3e-06 2.4e-06 2.95e-06 1.65e-06 2.2e-06 2.45e-06
17 1.95e-06 1.8e-06 1.95e-06 2.2e-06 2e-06 2.2e-06 2.2e-06 2.6e-06 2.25e-06 1.4e-06 2.8e-06 1.9e-06 2.7e-06 1.65e-06 1.65e-06 2.35e-06 2.65e-06 2.7e-06 2.65e-06 2.05e-06 1.7e-06 2.35e-06 1.5e-06 1.65e-06 2.15e-06 1.6e-06 1.65e-06 2.55e-06 2.15e-06 1.85e-06 1.8e-06 1.85e-06 2.4e-06 1.35e-06 1.7e-06 2.4e-06 1.65e-06 2.25e-06 1.75e-06 1.85e-06 1.5e-06 2.55e-06 2e-06 1.75e-06 2.6e-06 1.9e-06 1.75e-06 2.35e-06 2.1e-06 1.95e-06 1.4e-06
18 2.05e-06 2.75e-06 2.45e-06 1.75e-06 2.7e-06 2.05e-06 2.2e-06 1.85e-06 2e-06 2.7e-06 2.35e-06 1.8e-06 1.6e-06 2.45e-06 2.2e-06 2.45e-06 1.6e-06 2.65e-06 2.5e-06 2.2e-06 2.45e-06 2e-06 2.35e-06 2.55e-06 2.7e-06 2.55e-06 2.1e-06 1.6e-06 2e-06 1.85e-06 2.3e-06 2.25e-06 1.75e-06 2.5e-06 2.35e-06 2.05e-06 2.3e-06 2.15e-06 2.1e-06 2.1e-06 2.6e-06 2.75e-06 2.2e-06 2.25e-06 1.6e-06 2.15e-06 2.3e-06 2.85e-06 1.95e-06 2.45e-06 2.55e-06
19 2.2e-06 2.65e-06 2.05e-06 2.75e-06 2.4e-06 2.25e-06 1.85e-06 2.4e-06 2.5e-06 2.35e-06 1.85e-06 1.9e-06 2.65e-06 1.85e-06 1.95e-06 2.1e-06 2.6e-06 2.05e-06 2.2e-06 2.5e-06 2.3e-06 2.7e-06 2.3e-06 1.8e-06 2.25e-06 2.15e-06 2e-06 2.5e-06 1.75e-06 2e-06 2.05e-06 2.5e-06 2.8e-06 2.5e-06 2.5e-06 1.9e-06 2.55e-06 1.9e-06 2.05e-06 2.25e-06 1.75e-06 2.6e-06 2.4e-06 2.15e-06 2.55e-06 2.05e-06 1.9e-06 2.25e-06 2.15e-06 2.05e-06 2.55e-06
20 1.1e-06 1.75e-06 1.65e-06 1.85e-06 1.85e-06 1.95e-06 2.2e-06 2.6e-06 2.15e-06 1.5e-06 2.75e-06 1.7e-06 2.2e-06 1.5e-06 1e-06 1.8e-06 2.15e-06 1.7e-06 2.45e-06 2.3e-06 1e-06 1.9e-06 8.5e-07 1.55e-06 1.65e-06 1.15e-06 8.5e-07 2.2e-06 1.9e-06 1.8e-06 1.8e-06 1.6e-06 1.75e-06 1.4e-06 1e-06 2.05e-06 1.8e-06 2.1e-06 1.4e-06 1e-06 1.4e-06 2.4e-06 1.5e-06 8e-07 2.25e-06 1.9e-06 1.75e-06 2.15e-06 1.85e-06 1.65e-06 1.45e-06
21 2.1e-06 2.4e-06 2.35e-06 1.75e-06 2.3e-06 2.45e-06 2.3e-06 2.05e-06 2.1e-06 2.15e-06 2.95e-06 2.3e-06 2e-06 2.1e-06 1.85e-06 2.65e-06 2e-06 2.35e-06 2e-06 2.7e-06 1.9e-06 3e-06 1.85e-06 2.25e-06 2.15e-06 2e-06 1.8e-06 1.75e-06 2.55e-06 2.3e-06 2.25e-06 2.35e-06 1.7e-06 2.25e-06 2.1e-06 2.5e-06 2.25e-06 2.5e-06 2.3e-06 2e-06 2.1e-06 2.9e-06 2.35e-06 2.15e-06 1.75e-06 2.3e-06 2.15e-06 2.75e-06 2.35e-06 2.35e-06 2.3e-06
22 1.4e-06 1.5e-06 1.8e-06 1.55e-06 1.75e-06 1.9e-06 2.25e-06 2.55e-06 1.9e-06 1.3e-06 2.7e-06 1.4e-06 2.25e-06 1.5e-06 1e-06 1.9e-06 2.2e-06 1.5e-06 2.35e-06 2.3e-06 8.5e-07 1.85e-06 1.1e-06 1.55e-06 1.7e-06 1.3e-06 8.5e-07 2.15e-06 1.85e-06 1.55e-06 1.6e-06 1.5e-06 1.8e-06 1e-06 9e-07 1.95e-06 1.4e-06 2.25e-06 1.35e-06 1.15e-06 1.45e-06 2.25e-06 1.35e-06 1.15e-06 2.2e-06 1.7e-06 1.7e-06 2.25e-06 1.8e-06 1.8e-06 1.05e-06
23 2.05e-06 1.7e-06 1.75e-06 2.4e-06 1.8e-06 2.65e-06 2.05e-06 2.45e-06 1.85e-06 1.4e-06 2.7e-06 1.9e-06 2.9e-06 8e-07 1.05e-06 2.15e-06 2.85e-06 1.65e-06 2.55e-06 1.8e-06 1.55e-06 2.25e-06 1.55e-06 1.3e-06 2.1e-06 1.2e-06 1.35e-06 2.65e-06 1.7e-06 1.95e-06 1.75e-06 2.35e-06 2.4e-06 1.65e-06 1.8e-06 2e-06 2.3e-06 2.2e-06 1.85e-06 1.6e-06 1.3e-06 2.65e-06 2.3e-06 1.85e-06 2.7e-06 1.6e-06 1.5e-06 2.05e-06 2.55e-06 1.75e-06 1.7e-06
24 1.95e-06 2.5e-06 2.05e-06 2.55e-06 2.3e-06 2.25e-06 1.9e-06 2.6e-06 2.7e-06 2.1e-06 2.1e-06 2.25e-06 2.65e-06 2e-06 1.7e-06 2.3e-06 2.6e-06 2.15e-06 2.7e-06 2.25e-06 1.65e-06 2.15e-06 1.7e-06 2.1e-06 2.4e-06 1.9e-06 1.65e-06 2.3e-06 2.3e-06 2.3e-06 2.1e-06 2.3e-06 2.55e-06 2.35e-06 2.15e-06 2.4e-06 2.3e-06 2.15e-06 2.15e-06 2.1e-06 1.7e-06 2.8e-06 2.25e-06 1.95e-06 2.35e-06 2.3e-06 1.95e-06 1.95e-06 2.15e-06 2.05e-06 2.4e-06
25 1.35e-06 1.6e-06 1.55e-06 2.1e-06 1.75e-06 2.2e-06 2.1e-06 2.45e-06 2.05e-06 1.25e-06 2.85e-06 1.9e-06 2.45e-06 1.1e-06 1.2e-06 1.95e-06 2.4e-06 1.6e-06 2.55e-06 2.15e-06 1.15e-06 2e-06 1.3e-06 1.2e-06 1.9e-06 1.7e-06 1.25e-06 2.4e-06 1.95e-06 1.9e-06 1.75e-06 1.85e-06 1.85e-06 1.45e-06 1.35e-06 2.2e-06 1.95e-06 2.05e-06 1.55e-06 1.2e-06 1.35e-06 2.6e-06 1.85e-06 1.25e-06 2.45e-06 1.8e-06 1.55e-06 2.15e-06 2.1e-06 1.5e-06 1.5e-06
26 1.35e-06 1.65e-06 1.75e-06 1.75e-06 1.8e-06 2.05e-06 2.2e-06 2.5e-06 1.95e-06 1.45e-06 2.45e-06 1.4e-06 2.2e-06 1.3e-06 8.5e-07 1.85e-06 2.2e-06 1.65e-06 2.1e-06 2e-06 8.5e-07 1.8e-06 8.5e-07 1.35e-06 1.65e-06 1.25e-06 1.1e-06 2.15e-06 1.55e-06 1.5e-06 1.75e-06 1.7e-06 1.8e-06 1.35e-06 1.05e-06 1.7e-06 1.75e-06 2.2e-06 1.45e-06 8.5e-07 1.4e-06 2.3e-06 1.6e-06 1.15e-06 2.2e-06 1.7e-06 1.6e-06 2.1e-06 1.9e-06 1.75e-06 1.4e-06
27 1.95e-06 2.7e-06 2.35e-06 1.65e-06 2.6e-06 1.95e-06 1.45e-06 1.45e-06 2e-06 2.55e-06 2.55e-06 2.2e-06 1.55e-06 2.5e-06 2.15e-06 2.45e-06 1.5e-06 2.55e-06 1.6e-06 2.5e-06 2.2e-06 1.75e-06 2.15e-06 2.65e-06 2.3e-06 2.4e-06 2.15e-06 2.1e-06 2.45e-06 2.2e-06 2e-06 2.2e-06 1.65e-06 2.5e-06 2.35e-06 2.3e-06 2.15e-06 1.85e-06 2.15e-06 2.3e-06 2.25e-06 2.8e-06 2.2e-06 2.2e-06 1.1e-06 2.2e-06 2.2e-06 2.75e-06 1.85e-06 2.35e-06 2.55e-06
28 1.85e-06 2.25e-06 2.05e-06 2.3e-06 2.3e-06 2.1e-06 2.25e-06 2.55e-06 2.15e-06 2.15e-06 2.15e-06 1.55e-06 2.4e-06 1.75e-06 1.6e-06 1.65e-06 2.35e-06 2.15e-06 2e-06 1.75e-06 1.9e-06 2.55e-06 1.85e-06 1.7e-06 2.3e-06 1.95e-06 1.55e-06 2.45e-06 2.3e-06 1.65e-06 2.05e-06 2.1e-06 2.35e-06 1.95e-06 1.9e-06 1.75e-06 2.2e-06 2.1e-06 1.7e-06 1.65e-06 2.05e-06 2.15e-06 2e-06 1.8e-06 2.5e-06 1.8e-06 1.9e-06 2.3e-06 2e-06 2.05e-06 2e-06
29 1.65e-06 1.9e-06 2.05e-06 1.85e-06 2.3e-06 1.8e-06 2.25e-06 2.45e-06 1.95e-06 1.8e-06 2.3e-06 1.3e-06 2.15e-06 1.85e-06 1.6e-06 2.1e-06 2.1e-06 1.85e-06 1.85e-06 2e-06 1.8e-06 2.3e-06 1.55e-06 1.95e-06 2.3e-06 1.9e-06 1.5e-06 2.2e-06 1.65e-06 2.4e-06 1.85e-06 1.6e-06 2.05e-06 1.45e-06 1.55e-06 1.8e-06 1.55e-06 2.1e-06 1.55e-06 1.5e-06 2.1e-06 2.5e-06 1.65e-06 1.65e-06 2.25e-06 1.7e-06 1.9e-06 2.5e-06 1.7e-06 2.05e-06 1.5e-06
30 1.85e-06 2e-06 1.9e-06 2.05e-06 2.15e-06 2e-06 1.45e-06 2e-06 2.05e-06 1.75e-06 2.5e-06 1.8e-06 2.35e-06 1.75e-06 1.7e-06 2.2e-06 2.3e-06 1.8e-06 2.3e-06 2.05e-06 1.8e-06 2.25e-06 1.6e-06 1.75e-06 2.1e-06 1.75e-06 1.75e-06 2e-06 2.05e-06 1.85e-06 2.9e-06 1.95e-06 2.25e-06 1.65e-06 1.8e-06 2.2e-06 1.85e-06 1.7e-06 1.65e-06 1.95e-06 1.7e-06 2.65e-06 1.9e-06 1.85e-06 2.05e-06 1.85e-06 1.8e-06 2.35e-06 1.9e-06 1.9e-06 1.7e-06
31 1.3e-06 2e-06 1.9e-06 1.85e-06 2.4e-06 1.5e-06 2.35e-06 2.6e-06 2.2e-06 1.8e-06 2.7e-06 1.65e-06 1.9e-06 2.25e-06 1.85e-06 2e-06 1.85e-06 1.85e-06 2.25e-06 2.5e-06 1.6e-06 2.35e-06 1.5e-06 2.35e-06 2.3e-06 1.85e-06 1.7e-06 2.2e-06 2.1e-06 1.6e-06 1.95e-06 2.3e-06 1.9e-06 1.35e-06 1.35e-06 2.25e-06 1.4e-06 1.95e-06 1.4e-06 1.55e-06 2.2e-06 2.55e-06 1.35e-06 1.3e-06 2.25e-06 1.95e-06 2.1e-06 2.7e-06 1.5e-06 1.9e-06 1.4e-06
32 1.5e-06 2.25e-06 2.25e-06 1.45e-06 2.35e-06 2.05e-06 2.5e-06 2.05e-06 1.9e-06 2.2e-06 3.05e-06 2.05e-06 1.55e-06 2.25e-06 1.9e-06 2.2e-06 1.55e-06 2.4e-06 1.75e-06 2.8e-06 1.75e-06 1.7e-06 1.8e-06 2.4e-06 2.55e-06 1.85e-06 1.8e-06 1.65e-06 2.35e-06 2.05e-06 2.25e-06 1.9e-06 2.4e-06 1.95e-06 1.65e-06 2.35e-06 2e-06 2.35e-06 1.85e-06 1.55e-06 2.35e-06 2.65e-06 1.9e-06 1.6e-06 1.65e-06 2.15e-06 2.25e-06 2.9e-06 1.95e-06 2.25e-06 2e-06
33 1.65e-06 1.3e-06 2e-06 1.6e-06 1.85e-06 2.05e-06 2.6e-06 2.7e-06 1.8e-06 1.1e-06 3.1e-06 1.5e-06 2.45e-06 1.65e-06 1.45e-06 2.05e-06 2.4e-06 1.35e-06 2.5e-06 2.5e-06 1.4e-06 2.25e-06 1e-06 1.65e-06 2.35e-06 1.45e-06 1.35e-06 2.5e-06 1.95e-06 1.45e-06 1.65e-06 1.35e-06 1.95e-06 1e-06 1e-06 2.25e-06 1.15e-06 2.45e-06 1.25e-06 1.35e-06 1.85e-06 2.3e-06 1.5e-06 1.45e-06 2.55e-06 1.7e-06 1.9e-06 2.55e-06 1.95e-06 2e-06 5.5e-07
34 1.1e-06 1.6e-06 1.85e-06 1.55e-06 1.95e-06 1.8e-06 2.65e-06 2.75e-06 1.95e-06 1.5e-06 2.9e-06 1.45e-06 2.05e-06 1.75e-06 1.3e-06 1.8e-06 2.05e-06 1.7e-06 2.35e-06 2.5e-06 1e-06 2.1e-06 9e-07 1.8e-06 2.15e-06 1.35e-06 1.05e-06 2.35e-06 1.9e-06 1.55e-06 1.8e-06 1.35e-06 1.65e-06 1e-06 1.1e-06 2.1e-06 1.45e-06 2.3e-06 1.15e-06 9.5e-07 1.85e-06 2.3e-06 1.25e-06 9e-07 2.4e-06 1.8e-06 1.95e-06 2.55e-06 1.65e-06 1.85e-06 1.05e-06
35 2e-06 2.5e-06 2.35e-06 2.3e-06 2.6e-06 2.25e-06 2.25e-06 2.55e-06 2.15e-06 2.35e-06 2.1e-06 1.7e-06 2.45e-06 1.9e-06 1.65e-06 2e-06 2.4e-06 2.4e-06 2.05e-06 1.9e-06 2.05e-06 2.5e-06 1.95e-06 2e-06 2.4e-06 2.2e-06 1.7e-06 2.3e-06 1.75e-06 1.8e-06 2.2e-06 2.25e-06 2.35e-06 2.25e-06 2.1e-06 2.6e-06 2.25e-06 2.3e-06 2.1e-06 1.8e-06 2.2e-06 2.7e-06 2.15e-06 2e-06 2.35e-06 1.9e-06 2.05e-06 2.5e-06 2.15e-06 2.35e-06 2.3e-06
36 1.7e-06 1.8e-06 2.2e-06 1.7e-06 2.25e-06 1.45e-06 2.35e-06 2.55e-06 2e-06 1.6e-06 2.8e-06 1.65e-06 2.2e-06 2.15e-06 1.8e-06 2.25e-06 2.15e-06 1.65e-06 2.3e-06 2.55e-06 1.8e-06 2.25e-06 1.4e-06 2.3e-06 2.3e-06 1.95e-06 1.75e-06 2.15e-06 2.2e-06 1.55e-06 1.85e-06 1.4e-06 2e-06 1.15e-06 1.45e-06 2.25e-06 1.7e-06 2.3e-06 1.6e-06 1.75e-06 2.1e-06 2.4e-06 1.6e-06 1.7e-06 2.2e-06 1.5e-06 1.75e-06 2.65e-06 1.35e-06 2.2e-06 1.2e-06
