 slim_337507476 slim_337507521 slim_337507605 slim_337507599 slim_337507555 slim_337507573 slim_337507463 slim_337507388 slim_337507492 slim_337507453 slim_337507297 slim_337507552 slim_337507582 slim_337507581 slim_337507424 slim_337507493 slim_337507567 slim_337507464 slim_337507607 slim_337507503 slim_337507374 slim_337507575 slim_337507546 slim_337507452 slim_337507590 slim_337507496 slim_337507577 slim_337507558 slim_337507589 slim_337507420 slim_337507531 slim_337507574 slim_337507547 slim_337507600 slim_337507431 slim_337507091 slim_337507530 slim_337507497 slim_337507270 slim_337507465 slim_337507442 slim_337507076 slim_337507317 slim_337507597 slim_337507467 slim_337507514 slim_337507517 slim_337507580 slim_337507596 slim_337507448 slim_337507473 slim_337507553 slim_337507592 slim_337507524 slim_337507060 slim_337507542 slim_337507400 slim_337507588 slim_337507412 slim_337507570 slim_337507565 slim_337507569 slim_337507593 slim_337507323 slim_337507534 slim_337507586 slim_337507583 slim_337507525 slim_337507560 slim_337507516 slim_337507472 slim_337507603 slim_337507563 slim_337507548 slim_337507595 slim_337507505 slim_337507509 slim_337507470 slim_337507395 slim_337507608
43 5.39e-05 5.3e-05 5.375e-05 6.32e-05 6.285e-05 5.61e-05 6.33e-05 5.255e-05 3.575e-05 5.27e-05 5.39e-05 1.665e-05 1.79e-05 1.72e-05 2.755e-05 1.54e-05 8.965e-05 5.365e-05 9.08e-05 1.68e-05 5.16e-05 5.335e-05 2.755e-05 5.455e-05 5.395e-05 5.315e-05 1.655e-05 8.96e-05 1.825e-05 5.265e-05 2.635e-05 2.645e-05 8.85e-05 3.145e-05 2.535e-05 5.25e-05 1.705e-05 5.32e-05 5.325e-05 1.69e-05 1.685e-05 5.375e-05 5.52e-05 2.91e-05 6.295e-05 1.86e-05 5.495e-05 5.34e-05 2.615e-05 5.26e-05 5.335e-05 5.285e-05 1.72e-05 5.295e-05 2.835e-05 1.7e-05 1.74e-05 2.71e-05 2.62e-05 1.86e-05 1.61e-05 5.245e-05 5.31e-05 8.89e-05 8.9e-05 8.965e-05 1.605e-05 1.915e-05 8.96e-05 6.22e-05 1.69e-05 1.715e-05 1.775e-05 1.655e-05 2.755e-05 1.63e-05 5.315e-05 2.675e-05 1.73e-05 1.67e-05
44 5.475e-05 5.605e-05 5.49e-05 4.69e-05 4.675e-05 5.62e-05 4.715e-05 5.46e-05 4.77e-05 5.565e-05 5.455e-05 6.47e-05 6.39e-05 6.525e-05 5.72e-05 6.445e-05 4.555e-05 5.545e-05 4.695e-05 6.41e-05 5.435e-05 5.61e-05 5.72e-05 5.605e-05 5.475e-05 5.53e-05 6.485e-05 4.615e-05 6.49e-05 5.375e-05 5.635e-05 5.645e-05 4.565e-05 5.44e-05 5.59e-05 5.57e-05 6.505e-05 5.595e-05 5.595e-05 6.375e-05 6.49e-05 5.565e-05 5.555e-05 6.295e-05 8.76e-05 6.52e-05 5.635e-05 5.545e-05 5.62e-05 5.39e-05 5.605e-05 5.6e-05 6.52e-05 5.41e-05 5.41e-05 6.505e-05 6.435e-05 5.51e-05 5.625e-05 6.435e-05 6.365e-05 5.475e-05 5.665e-05 4.68e-05 4.69e-05 4.555e-05 6.395e-05 6.465e-05 4.78e-05 4.62e-05 6.5e-05 6.525e-05 6.45e-05 6.46e-05 5.445e-05 6.46e-05 5.6e-05 5.665e-05 6.525e-05 6.41e-05
45 5.355e-05 5.11e-05 5.485e-05 6.35e-05 6.34e-05 5.355e-05 6.37e-05 5.04e-05 3.81e-05 5.52e-05 5.38e-05 1.11e-05 1.865e-05 1.155e-05 2.49e-05 1.77e-05 8.975e-05 5.095e-05 8.81e-05 1.325e-05 5.2e-05 4.915e-05 2.465e-05 5.05e-05 5.35e-05 5.06e-05 1.61e-05 8.955e-05 1.465e-05 5.405e-05 2.44e-05 2.515e-05 9.02e-05 2.79e-05 2.605e-05 5.15e-05 1.125e-05 4.915e-05 4.96e-05 1.34e-05 1.12e-05 5.105e-05 5.325e-05 1.86e-05 6.52e-05 2.16e-05 5.03e-05 5.515e-05 2.55e-05 5.415e-05 4.905e-05 5.105e-05 1.165e-05 5.435e-05 2.925e-05 1.08e-05 1.58e-05 2.855e-05 2.455e-05 1.805e-05 1.615e-05 5.49e-05 4.785e-05 8.87e-05 8.88e-05 8.975e-05 1.63e-05 1.84e-05 8.735e-05 6.325e-05 1.15e-05 1.175e-05 1.475e-05 1.115e-05 2.59e-05 1.635e-05 5.12e-05 2.445e-05 1.21e-05 1.96e-05
46 5.39e-05 5.145e-05 5.48e-05 5.495e-05 5.485e-05 5.32e-05 5.475e-05 5.125e-05 6.43e-05 5.495e-05 5.375e-05 5.02e-05 6.26e-05 5.02e-05 5.455e-05 5.56e-05 4.57e-05 4.56e-05 4.445e-05 5.08e-05 4.615e-05 5.06e-05 6.055e-05 5.065e-05 5.385e-05 4.425e-05 6.07e-05 4.59e-05 5.285e-05 5.405e-05 6.045e-05 5.395e-05 4.62e-05 4.765e-05 5.53e-05 4.58e-05 5.07e-05 5.045e-05 4.45e-05 4.525e-05 5.04e-05 4.52e-05 5.355e-05 5.495e-05 5.635e-05 5.03e-05 8.72e-05 5.53e-05 5.49e-05 5.415e-05 5.07e-05 5.135e-05 5.095e-05 5.435e-05 6.44e-05 5.665e-05 5.405e-05 6.36e-05 5.46e-05 6.2e-05 5.43e-05 5.44e-05 5.05e-05 4.54e-05 4.55e-05 4.57e-05 5.445e-05 6.23e-05 4.575e-05 5.41e-05 5.075e-05 5.1e-05 5.3e-05 5.01e-05 6.19e-05 5.435e-05 5.395e-05 6.05e-05 5.685e-05 6.355e-05
47 5.3e-05 5.43e-05 5.47e-05 5.37e-05 5.335e-05 5.565e-05 5.555e-05 5.435e-05 5.545e-05 5.33e-05 5.49e-05 5.405e-05 5.4e-05 5.46e-05 5.595e-05 5.23e-05 5.515e-05 5.315e-05 5.49e-05 5.32e-05 5.345e-05 5.445e-05 5.575e-05 5.495e-05 5.305e-05 5.455e-05 5.32e-05 5.295e-05 5.485e-05 5.42e-05 5.49e-05 5.5e-05 5.42e-05 5.57e-05 5.395e-05 5.395e-05 5.45e-05 5.43e-05 5.44e-05 5.425e-05 5.425e-05 5.42e-05 5.38e-05 5.34e-05 5.545e-05 5.515e-05 5.53e-05 0.0001037 5.485e-05 5.43e-05 5.45e-05 5.415e-05 5.465e-05 5.45e-05 5.565e-05 5.44e-05 5.39e-05 5.53e-05 5.48e-05 5.495e-05 5.45e-05 5.295e-05 5.45e-05 5.395e-05 5.405e-05 5.515e-05 5.345e-05 5.47e-05 5.465e-05 5.46e-05 5.44e-05 5.465e-05 5.435e-05 5.395e-05 5.565e-05 5.295e-05 5.445e-05 5.53e-05 5.475e-05 5.31e-05
48 5.57e-05 5.235e-05 5.505e-05 5.28e-05 5.315e-05 5.82e-05 5.29e-05 5.31e-05 2.04e-05 5.275e-05 5.64e-05 2.18e-05 2.715e-05 2.235e-05 2.255e-05 2.415e-05 8.48e-05 5.27e-05 8.335e-05 2.57e-05 5.385e-05 5.1e-05 2.275e-05 5.44e-05 5.57e-05 5.285e-05 2.34e-05 8.42e-05 2.535e-05 5.515e-05 2.135e-05 2.13e-05 8.315e-05 2.875e-05 2.205e-05 5.115e-05 2.22e-05 5.085e-05 5.08e-05 2.45e-05 2.2e-05 5.495e-05 5.7e-05 2.615e-05 5.62e-05 2.55e-05 5.49e-05 5.485e-05 4.04e-05 5.525e-05 5.1e-05 5.225e-05 2.22e-05 5.545e-05 2.835e-05 2.225e-05 2.385e-05 2.405e-05 2.095e-05 2.775e-05 2.45e-05 5.4e-05 4.99e-05 8.07e-05 8.08e-05 8.48e-05 2.515e-05 2.84e-05 8.035e-05 5.19e-05 2.18e-05 2.205e-05 2.495e-05 2.17e-05 2.55e-05 2.305e-05 5.17e-05 2.18e-05 2.225e-05 2.55e-05
49 5.07e-05 5.525e-05 5.385e-05 5.4e-05 5.39e-05 5.275e-05 5.475e-05 5.225e-05 5.6e-05 5.535e-05 5.12e-05 5.445e-05 5.055e-05 5.5e-05 5.665e-05 5.615e-05 5.185e-05 5.33e-05 5.34e-05 5.355e-05 5.295e-05 5.455e-05 5.655e-05 5.355e-05 5.105e-05 5.34e-05 5.56e-05 5.29e-05 5.365e-05 4.965e-05 5.53e-05 5.555e-05 5.28e-05 5.645e-05 5.58e-05 5.49e-05 5.485e-05 5.44e-05 5.46e-05 5.41e-05 5.465e-05 5.38e-05 5.23e-05 5.26e-05 5.39e-05 5.415e-05 5.415e-05 5.43e-05 5.525e-05 9.9e-05 5.455e-05 5.515e-05 5.5e-05 4.995e-05 5.485e-05 5.465e-05 5.29e-05 5.39e-05 5.53e-05 5.115e-05 5.24e-05 5.33e-05 5.485e-05 5.475e-05 5.485e-05 5.185e-05 5.27e-05 5.21e-05 5.57e-05 5.295e-05 5.46e-05 5.485e-05 5.315e-05 5.435e-05 5.645e-05 5.55e-05 5.21e-05 5.57e-05 5.49e-05 5.345e-05
50 5.525e-05 4.735e-05 5.39e-05 5.385e-05 5.385e-05 5.715e-05 5.335e-05 4.825e-05 5.445e-05 5.13e-05 5.555e-05 4.54e-05 5.815e-05 4.58e-05 5.12e-05 5.215e-05 5.21e-05 5.045e-05 4.955e-05 5.025e-05 5.015e-05 4.515e-05 5.07e-05 5.025e-05 5.525e-05 4.865e-05 5.025e-05 5.18e-05 5.295e-05 5.445e-05 4.955e-05 5.06e-05 5.05e-05 5.115e-05 5.15e-05 4.825e-05 4.54e-05 4.515e-05 4.565e-05 4.95e-05 4.55e-05 5.115e-05 5.64e-05 5.335e-05 5.605e-05 4.905e-05 5.07e-05 5.45e-05 5.1e-05 5.455e-05 8.95e-05 4.73e-05 4.555e-05 5.475e-05 5.98e-05 4.475e-05 5.31e-05 5.635e-05 4.98e-05 5.855e-05 5.21e-05 5.33e-05 4.595e-05 4.685e-05 4.695e-05 5.21e-05 5.31e-05 5.925e-05 4.805e-05 5.265e-05 4.58e-05 4.605e-05 5.265e-05 4.545e-05 5.285e-05 5.085e-05 5.18e-05 4.98e-05 4.595e-05 5.625e-05
51 5.59e-05 4.685e-05 5.345e-05 5.465e-05 5.44e-05 5.76e-05 5.405e-05 4.96e-05 5.58e-05 5.115e-05 5.615e-05 4.74e-05 5.92e-05 4.795e-05 5.245e-05 5.12e-05 5.22e-05 5.115e-05 5.06e-05 5.055e-05 4.975e-05 4.75e-05 5.265e-05 5.075e-05 5.59e-05 4.94e-05 5.105e-05 5.11e-05 5.42e-05 5.505e-05 5.16e-05 5.2e-05 4.96e-05 5.16e-05 5.17e-05 4.785e-05 4.725e-05 4.735e-05 4.75e-05 5.01e-05 4.76e-05 5.05e-05 5.705e-05 5.285e-05 5.6e-05 5.105e-05 5.135e-05 5.415e-05 5.225e-05 5.515e-05 4.73e-05 9.3e-05 4.715e-05 5.535e-05 6.02e-05 4.745e-05 5.42e-05 5.755e-05 5.165e-05 5.96e-05 5.265e-05 5.275e-05 4.715e-05 4.695e-05 4.705e-05 5.22e-05 5.315e-05 6.03e-05 4.79e-05 5.325e-05 4.78e-05 4.805e-05 5.39e-05 4.73e-05 5.4e-05 5.11e-05 5.29e-05 5.19e-05 4.7e-05 5.65e-05
52 5.53e-05 4.725e-05 5.425e-05 6.29e-05 6.29e-05 5.75e-05 6.27e-05 4.875e-05 3.495e-05 5.185e-05 5.6e-05 7.85e-06 2.065e-05 8.4e-06 2.23e-05 1.475e-05 9.04e-05 5.02e-05 8.8e-05 1.285e-05 5.06e-05 4.58e-05 2.225e-05 5.035e-05 5.53e-05 4.89e-05 1.29e-05 8.975e-05 1.535e-05 5.49e-05 2.12e-05 2.2e-05 8.88e-05 2.615e-05 2.3e-05 4.835e-05 7.55e-06 4.565e-05 4.615e-05 1.18e-05 8.05e-06 5.13e-05 5.645e-05 1.72e-05 6.52e-05 1.165e-05 5.095e-05 5.465e-05 2.22e-05 5.5e-05 4.555e-05 4.715e-05 1.43e-05 5.52e-05 3.1e-05 7.5e-06 1.53e-05 2.785e-05 2.095e-05 2.105e-05 1.425e-05 5.375e-05 4.395e-05 8.53e-05 8.54e-05 9.04e-05 1.56e-05 2.175e-05 8.46e-05 6.2e-05 8.25e-06 8.5e-06 1.505e-05 7.85e-06 2.41e-05 1.335e-05 5.005e-05 2.15e-05 7.75e-06 1.885e-05
53 5.09e-05 5.545e-05 5.405e-05 5.42e-05 5.41e-05 5.295e-05 5.495e-05 5.22e-05 5.62e-05 5.555e-05 5.14e-05 5.465e-05 5.06e-05 5.52e-05 5.685e-05 5.635e-05 5.18e-05 5.35e-05 5.36e-05 5.375e-05 5.315e-05 5.475e-05 5.675e-05 5.375e-05 5.125e-05 5.36e-05 5.58e-05 5.31e-05 5.385e-05 4.985e-05 5.55e-05 5.575e-05 5.3e-05 5.665e-05 5.6e-05 5.51e-05 5.505e-05 5.46e-05 5.48e-05 5.43e-05 5.485e-05 5.4e-05 5.25e-05 5.295e-05 5.41e-05 5.435e-05 5.435e-05 5.45e-05 5.545e-05 4.995e-05 5.475e-05 5.535e-05 5.52e-05 9.94e-05 5.505e-05 5.485e-05 5.31e-05 5.41e-05 5.55e-05 5.135e-05 5.275e-05 5.35e-05 5.505e-05 5.495e-05 5.505e-05 5.205e-05 5.29e-05 5.23e-05 5.59e-05 5.315e-05 5.48e-05 5.505e-05 5.335e-05 5.455e-05 5.665e-05 5.57e-05 5.23e-05 5.59e-05 5.51e-05 5.365e-05
54 5.375e-05 6.025e-05 5.505e-05 5.59e-05 5.57e-05 5.34e-05 5.675e-05 5.95e-05 1.985e-05 5.73e-05 5.445e-05 3.05e-05 1.575e-05 3.105e-05 2.83e-05 2.775e-05 9.395e-05 6.445e-05 9.285e-05 2.945e-05 6.51e-05 5.985e-05 2.25e-05 5.83e-05 5.375e-05 6.53e-05 2.215e-05 9.335e-05 2.57e-05 5.475e-05 2.245e-05 2.83e-05 9.47e-05 3.865e-05 2.8e-05 6.595e-05 3.085e-05 5.97e-05 6.545e-05 3.55e-05 3.07e-05 6.37e-05 5.35e-05 2.835e-05 5.41e-05 2.925e-05 6.44e-05 5.565e-05 2.835e-05 5.485e-05 5.98e-05 6.02e-05 3.1e-05 5.505e-05 2.85e-05 2.51e-05 2.62e-05 1.715e-05 2.81e-05 1.545e-05 2.745e-05 5.585e-05 5.84e-05 9.47e-05 9.48e-05 9.395e-05 2.605e-05 1.545e-05 9.355e-05 5.61e-05 3.085e-05 3.11e-05 2.52e-05 3.04e-05 1.985e-05 2.765e-05 5.375e-05 2.27e-05 2.535e-05 1.755e-05
55 5.495e-05 4.755e-05 5.405e-05 6.265e-05 6.265e-05 5.725e-05 6.255e-05 4.785e-05 2.905e-05 5.19e-05 5.575e-05 7.15e-06 1.455e-05 7.55e-06 2.275e-05 1.465e-05 9.59e-05 5.59e-05 9.365e-05 1.32e-05 5.61e-05 4.485e-05 1.58e-05 5.02e-05 5.495e-05 5.46e-05 6.4e-06 9.53e-05 1.53e-05 5.455e-05 1.455e-05 2.195e-05 9.425e-05 3.19e-05 2.285e-05 5.405e-05 7.25e-06 4.485e-05 5.2e-05 1.76e-05 7.25e-06 5.69e-05 5.62e-05 1.7e-05 6.505e-05 1.08e-05 5.665e-05 5.44e-05 2.225e-05 5.465e-05 4.475e-05 4.745e-05 7.5e-06 5.485e-05 2.51e-05 3e-07 1.525e-05 2.195e-05 2.07e-05 1.505e-05 1.45e-05 5.355e-05 4.43e-05 9.095e-05 9.105e-05 9.59e-05 1.535e-05 1.575e-05 9.01e-05 6.175e-05 7.45e-06 7.7e-06 1.49e-05 7.35e-06 1.765e-05 1.335e-05 4.975e-05 1.49e-05 2.45e-06 1.27e-05
56 5.215e-05 5.43e-05 5.44e-05 6.225e-05 6.225e-05 5.42e-05 6.375e-05 5.325e-05 3.45e-05 5.48e-05 5.35e-05 1.485e-05 1.405e-05 1.54e-05 2.585e-05 1.725e-05 9.23e-05 5.17e-05 9.15e-05 1.51e-05 5.4e-05 5.305e-05 2.575e-05 5.37e-05 5.205e-05 5.36e-05 1.65e-05 9.14e-05 1.525e-05 5.28e-05 2.485e-05 2.49e-05 9.225e-05 2.975e-05 2.555e-05 5.315e-05 1.53e-05 5.29e-05 5.295e-05 1.61e-05 1.505e-05 5.395e-05 5.28e-05 1.74e-05 6.435e-05 1.58e-05 5.405e-05 5.39e-05 2.385e-05 5.29e-05 5.31e-05 5.42e-05 1.53e-05 5.31e-05 2.62e-05 1.525e-05 2.66e-05 2.495e-05 2.455e-05 1.515e-05 1.555e-05 5.42e-05 5.13e-05 9.175e-05 9.185e-05 9.23e-05 1.565e-05 1.475e-05 9.095e-05 6.25e-05 1.51e-05 1.535e-05 1.485e-05 1.475e-05 2.65e-05 1.62e-05 5.08e-05 2.525e-05 1.55e-05 1.605e-05
57 5.38e-05 5.76e-05 5.375e-05 5.345e-05 5.36e-05 5.53e-05 5.39e-05 5.715e-05 1.45e-05 5.505e-05 5.46e-05 2.735e-05 1.595e-05 2.79e-05 2.49e-05 2.655e-05 9.3e-05 6.305e-05 9.195e-05 2.92e-05 6.37e-05 5.64e-05 1.92e-05 5.745e-05 5.38e-05 6.28e-05 2e-05 9.265e-05 2.505e-05 5.38e-05 1.82e-05 2.405e-05 9.285e-05 3.88e-05 2.47e-05 6.325e-05 2.77e-05 5.625e-05 6.2e-05 3.445e-05 2.755e-05 6.375e-05 5.465e-05 2.71e-05 5.51e-05 2.855e-05 6.36e-05 5.53e-05 2.405e-05 5.39e-05 5.635e-05 5.755e-05 2.785e-05 5.41e-05 1.715e-05 2.195e-05 2.495e-05 2.84e-05 2.385e-05 1.62e-05 2.54e-05 5.445e-05 5.525e-05 9.175e-05 9.185e-05 9.3e-05 2.525e-05 1.675e-05 9.125e-05 5.26e-05 2.75e-05 2.775e-05 2.475e-05 2.725e-05 2.005e-05 2.55e-05 5.175e-05 1.855e-05 2.195e-05 1.675e-05
58 5.565e-05 5.175e-05 5.48e-05 5.28e-05 5.305e-05 5.8e-05 5.275e-05 5.25e-05 2.035e-05 5.245e-05 5.645e-05 2.08e-05 2.7e-05 2.135e-05 2.21e-05 2.39e-05 8.49e-05 5.345e-05 8.285e-05 2.55e-05 5.39e-05 4.985e-05 2.185e-05 5.405e-05 5.565e-05 5.255e-05 2.25e-05 8.425e-05 2.5e-05 5.52e-05 2.05e-05 2.105e-05 8.32e-05 2.925e-05 2.185e-05 5.165e-05 2.105e-05 4.97e-05 5.015e-05 2.42e-05 2.1e-05 5.47e-05 5.695e-05 2.62e-05 5.625e-05 2.455e-05 5.46e-05 5.48e-05 2.095e-05 5.53e-05 4.98e-05 5.165e-05 2.095e-05 5.55e-05 2.81e-05 2.07e-05 2.455e-05 2.385e-05 4.01e-05 2.75e-05 2.43e-05 5.385e-05 4.92e-05 8.015e-05 8.025e-05 8.49e-05 2.49e-05 2.825e-05 7.98e-05 5.18e-05 2.09e-05 2.115e-05 2.46e-05 2.08e-05 2.46e-05 2.27e-05 5.13e-05 2.095e-05 2.15e-05 2.505e-05
59 5.015e-05 5.965e-05 5.42e-05 6.345e-05 6.33e-05 5.01e-05 6.445e-05 5.76e-05 2.85e-05 5.72e-05 5.115e-05 2.055e-05 2.8e-06 2.11e-05 2.77e-05 1.975e-05 0.00010045 6.275e-05 9.975e-05 1.925e-05 6.415e-05 5.86e-05 2.195e-05 5.635e-05 5.045e-05 6.345e-05 1.32e-05 0.00010045 1.425e-05 5.105e-05 2.175e-05 2.77e-05 0.00010225 4.08e-05 2.825e-05 6.545e-05 2.09e-05 5.845e-05 6.43e-05 2.615e-05 2.075e-05 6.24e-05 5.02e-05 1.86e-05 6.435e-05 1.805e-05 6.2e-05 5.495e-05 2.775e-05 5.115e-05 5.855e-05 5.96e-05 2.105e-05 5.135e-05 1.545e-05 1.505e-05 1.515e-05 1.62e-05 2.75e-05 4e-06 1.67e-05 5.47e-05 5.68e-05 0.0001029 0.000103 0.00010045 1.515e-05 2.9e-06 0.0001015 6.32e-05 2.08e-05 2.105e-05 1.435e-05 2.045e-05 2.195e-05 1.88e-05 5.02e-05 2.185e-05 1.525e-05 7.15e-06
60 5.35e-05 5.27e-05 5.42e-05 6.3e-05 6.295e-05 5.58e-05 6.315e-05 5.2e-05 3.435e-05 5.345e-05 5.36e-05 1.41e-05 1.61e-05 1.47e-05 2.48e-05 1.675e-05 9.09e-05 5.32e-05 9.15e-05 1.62e-05 5.305e-05 5.23e-05 2.55e-05 5.4e-05 5.355e-05 5.245e-05 1.585e-05 9.14e-05 1.595e-05 5.245e-05 2.44e-05 2.45e-05 9.065e-05 3.05e-05 2.525e-05 5.3e-05 1.385e-05 5.215e-05 5.195e-05 1.575e-05 1.43e-05 5.445e-05 5.47e-05 1.61e-05 6.365e-05 1.615e-05 5.43e-05 5.45e-05 2.45e-05 5.24e-05 5.21e-05 5.265e-05 1.425e-05 5.275e-05 2.745e-05 1.45e-05 1.555e-05 2.54e-05 2.43e-05 1.67e-05 2.67e-05 5.37e-05 5.005e-05 9.045e-05 9.055e-05 9.09e-05 1.595e-05 1.725e-05 8.98e-05 6.22e-05 1.45e-05 1.475e-05 1.555e-05 1.4e-05 2.63e-05 1.555e-05 5.1e-05 2.47e-05 1.43e-05 1.635e-05
61 5.4e-05 5.295e-05 5.35e-05 5.455e-05 5.43e-05 5.545e-05 5.45e-05 5.33e-05 5.44e-05 5.2e-05 5.44e-05 5.32e-05 5.425e-05 5.375e-05 5.51e-05 5.135e-05 5.4e-05 5.42e-05 5.38e-05 5.335e-05 5.24e-05 5.33e-05 5.515e-05 5.41e-05 5.405e-05 5.325e-05 5.225e-05 5.34e-05 5.455e-05 5.32e-05 5.395e-05 5.405e-05 5.27e-05 5.53e-05 5.3e-05 5.275e-05 5.36e-05 5.315e-05 5.32e-05 5.325e-05 5.34e-05 5.355e-05 5.525e-05 5.245e-05 5.475e-05 5.49e-05 5.44e-05 5.295e-05 5.4e-05 5.33e-05 5.33e-05 5.275e-05 5.375e-05 5.35e-05 5.585e-05 5.355e-05 5.42e-05 5.445e-05 5.385e-05 5.47e-05 5.37e-05 0.000102 5.355e-05 5.235e-05 5.245e-05 5.4e-05 5.265e-05 5.545e-05 5.335e-05 5.27e-05 5.345e-05 5.37e-05 5.42e-05 5.31e-05 5.515e-05 5.2e-05 5.345e-05 5.43e-05 5.375e-05 5.22e-05
62 5.515e-05 4.705e-05 5.4e-05 5.44e-05 5.44e-05 5.73e-05 5.415e-05 4.91e-05 5.405e-05 5.165e-05 5.58e-05 4.38e-05 5.64e-05 4.445e-05 4.97e-05 5.06e-05 5.425e-05 5.03e-05 5.195e-05 4.86e-05 5.055e-05 4.585e-05 5.015e-05 5.035e-05 5.515e-05 4.845e-05 4.915e-05 5.36e-05 5.075e-05 5.475e-05 4.915e-05 4.92e-05 5.265e-05 4.97e-05 5.055e-05 4.835e-05 4.385e-05 4.57e-05 4.56e-05 4.755e-05 4.4e-05 5.135e-05 5.625e-05 5.31e-05 5.665e-05 4.785e-05 5.05e-05 5.45e-05 4.99e-05 5.485e-05 4.595e-05 4.715e-05 4.395e-05 5.505e-05 5.84e-05 4.43e-05 5.13e-05 5.525e-05 4.92e-05 5.68e-05 5.005e-05 5.355e-05 8.63e-05 4.925e-05 4.935e-05 5.425e-05 5.15e-05 5.745e-05 4.86e-05 5.35e-05 4.45e-05 4.475e-05 5.05e-05 4.37e-05 5.2e-05 4.875e-05 5.005e-05 4.94e-05 4.38e-05 5.48e-05
63 5.59e-05 4.7e-05 5.31e-05 4.555e-05 4.53e-05 5.74e-05 4.465e-05 4.93e-05 8.09e-05 5.055e-05 5.575e-05 8.505e-05 0.0001025 8.56e-05 8.12e-05 8.845e-05 8.2e-06 4.54e-05 6.55e-06 8.745e-05 4.35e-05 4.72e-05 8.695e-05 5.085e-05 5.59e-05 4.335e-05 9.425e-05 7.4e-06 9.175e-05 5.465e-05 8.59e-05 8.045e-05 5.55e-06 7.065e-05 8.005e-05 4.175e-05 8.52e-05 4.705e-05 4.12e-05 8.18e-05 8.525e-05 4.46e-05 5.705e-05 8.89e-05 4.68e-05 8.87e-05 4.54e-05 5.395e-05 8.07e-05 5.475e-05 4.685e-05 4.695e-05 8.53e-05 5.495e-05 9.47e-05 9.095e-05 9.175e-05 9.175e-05 8.015e-05 0.0001029 9.045e-05 5.235e-05 4.925e-05 5.2e-06 2.7e-06 8.2e-06 9.06e-05 0.0001036 5.5e-06 4.395e-05 8.545e-05 8.57e-05 9.145e-05 8.495e-05 8.86e-05 8.845e-05 5.49e-05 8.62e-05 9.11e-05 9.96e-05
64 5.6e-05 4.71e-05 5.32e-05 4.565e-05 4.54e-05 5.75e-05 4.475e-05 4.94e-05 8.1e-05 5.065e-05 5.585e-05 8.515e-05 0.0001026 8.57e-05 8.13e-05 8.855e-05 8.3e-06 4.55e-05 6.65e-06 8.755e-05 4.36e-05 4.73e-05 8.705e-05 5.095e-05 5.6e-05 4.345e-05 9.435e-05 7.5e-06 9.185e-05 5.475e-05 8.6e-05 8.055e-05 5.65e-06 7.075e-05 8.015e-05 4.185e-05 8.53e-05 4.715e-05 4.13e-05 8.19e-05 8.535e-05 4.47e-05 5.715e-05 8.9e-05 4.69e-05 8.88e-05 4.55e-05 5.405e-05 8.08e-05 5.485e-05 4.695e-05 4.705e-05 8.54e-05 5.505e-05 9.48e-05 9.105e-05 9.185e-05 9.185e-05 8.025e-05 0.000103 9.055e-05 5.245e-05 4.935e-05 2.7e-06 5.4e-06 8.3e-06 9.07e-05 0.0001037 5.6e-06 4.405e-05 8.555e-05 8.58e-05 9.155e-05 8.505e-05 8.87e-05 8.855e-05 5.5e-05 8.63e-05 9.12e-05 9.97e-05
65 5.345e-05 5.225e-05 5.47e-05 4.615e-05 4.6e-05 5.37e-05 4.43e-05 4.965e-05 8.545e-05 5.5e-05 5.185e-05 8.99e-05 0.00010045 9.045e-05 8.525e-05 9.42e-05 3.4e-06 4.555e-05 7.3e-06 8.915e-05 4.44e-05 5.215e-05 9.045e-05 5.125e-05 5.345e-05 4.41e-05 9.96e-05 7.1e-06 9.245e-05 5.175e-05 9.065e-05 8.51e-05 5.95e-06 7.335e-05 8.52e-05 4.62e-05 9.025e-05 5.2e-05 4.635e-05 8.41e-05 9.01e-05 4.56e-05 5.37e-05 8.965e-05 4.555e-05 8.975e-05 4.57e-05 5.515e-05 8.48e-05 5.185e-05 5.21e-05 5.22e-05 9.04e-05 5.205e-05 9.395e-05 9.59e-05 9.23e-05 9.3e-05 8.49e-05 0.00010045 9.09e-05 5.4e-05 5.425e-05 8.2e-06 8.3e-06 6.1e-06 9.27e-05 0.00010065 1.035e-05 4.5e-05 9.02e-05 9.045e-05 9.22e-05 8.98e-05 9.195e-05 9.37e-05 5.655e-05 9.07e-05 9.615e-05 0.0001017
