 slim_762540664 slim_762540638 slim_762540650 slim_762540656 slim_762540667 slim_762540643 slim_762540655 slim_762540663 slim_762540636 slim_762540672 slim_762540653 slim_762540652 slim_762540634 slim_762540654 slim_762540649 slim_762540662 slim_762540668 slim_762540639 slim_762540641 slim_762540661 slim_762540671 slim_762540644 slim_762540665 slim_762540657 slim_762540651 slim_762540648 slim_762540637 slim_762540640 slim_762540647 slim_762540642 slim_762540646 slim_762540673 slim_762540674 slim_762540666 slim_762540660 slim_762540659 slim_762540676 slim_762540669 slim_762540670 slim_762540658 slim_762540645 slim_762540675 slim_762540635
10 1.05e-06 1.4e-06 1.1e-06 1.9e-06 1.1e-06 1.3e-06 1.1e-06 1.2e-06 1.2e-06 1e-06 1.6e-06 1.25e-06 1.05e-06 1.9e-06 1.35e-06 1.35e-06 1.1e-06 2.45e-06 2.05e-06 1.15e-06 9e-07 1.15e-06 1.2e-06 1.95e-06 1.95e-06 1e-06 1.15e-06 1.25e-06 1.7e-06 1.15e-06 2.85e-06 2e-06 1.15e-06 1.3e-06 1.05e-06 1.05e-06 1.05e-06 1.9e-06 1.9e-06 1.25e-06 1.1e-06 1.4e-06 1.35e-06
11 1e-06 8e-07 1e-06 1.8e-06 8e-07 1.05e-06 8.5e-07 5.5e-07 1e-06 8e-07 1.25e-06 1.1e-06 7.5e-07 1.65e-06 1.15e-06 1.55e-06 9.5e-07 2.15e-06 1.65e-06 9e-07 1.2e-06 1e-06 9.5e-07 1.7e-06 1.85e-06 8e-07 8e-07 9e-07 1.75e-06 1e-06 2.5e-06 1.85e-06 7.5e-07 9e-07 9e-07 8e-07 1.3e-06 1.65e-06 1.95e-06 7.5e-07 9.5e-07 1.1e-06 1.45e-06
12 5.5e-07 9.5e-07 8.5e-07 1.65e-06 6e-07 1e-06 6.5e-07 5.5e-07 6.5e-07 7e-07 1.05e-06 7.5e-07 7e-07 1.55e-06 1.15e-06 1.4e-06 9.5e-07 1.95e-06 1.4e-06 8e-07 1.2e-06 6.5e-07 9.5e-07 1.5e-06 1.7e-06 6.5e-07 7.5e-07 8.5e-07 1.7e-06 1e-06 2.3e-06 1.7e-06 7.5e-07 8.5e-07 6e-07 8e-07 1.25e-06 1.55e-06 1.8e-06 7e-07 6.5e-07 1.05e-06 1.3e-06
13 1.65e-06 1.6e-06 1.4e-06 1.65e-06 1.55e-06 1.4e-06 1.55e-06 1.65e-06 1.7e-06 1.55e-06 1.9e-06 1.65e-06 1.55e-06 2.3e-06 1.6e-06 1.8e-06 1.25e-06 1.6e-06 1.45e-06 1.45e-06 1.65e-06 1.75e-06 1.45e-06 1.65e-06 1.7e-06 1.4e-06 1.45e-06 1.65e-06 2e-06 1.35e-06 1.6e-06 1.7e-06 1.45e-06 1.5e-06 1.45e-06 1.2e-06 1.9e-06 1.3e-06 1.75e-06 1.45e-06 1.55e-06 1.4e-06 2e-06
14 1.3e-06 1.05e-06 1.05e-06 1.75e-06 1e-06 1.05e-06 1.1e-06 1.25e-06 1.35e-06 9.5e-07 1.35e-06 1.15e-06 1.15e-06 1.6e-06 1.3e-06 1.55e-06 8.5e-07 2.1e-06 1.7e-06 1e-06 1.2e-06 1.4e-06 9e-07 1.7e-06 1.8e-06 9.5e-07 9e-07 1.25e-06 1.75e-06 1e-06 2.5e-06 1.85e-06 1.05e-06 9e-07 1.1e-06 8e-07 1.45e-06 1.6e-06 1.8e-06 1.15e-06 1.15e-06 1.05e-06 1.55e-06
15 1.45e-06 1.65e-06 1.3e-06 1.95e-06 1.4e-06 1.5e-06 1.45e-06 1.5e-06 1.6e-06 1.45e-06 1.35e-06 1.55e-06 1.4e-06 1.8e-06 1.55e-06 2.2e-06 1.2e-06 2.4e-06 1.95e-06 1.35e-06 1.25e-06 1.55e-06 1.4e-06 1.95e-06 2e-06 1.3e-06 1.45e-06 1.5e-06 1.7e-06 1.4e-06 2.55e-06 2.1e-06 1.35e-06 1.55e-06 1.45e-06 1.35e-06 1.35e-06 1.8e-06 2.05e-06 1.5e-06 1.45e-06 1.55e-06 1.7e-06
16 9.5e-07 9.5e-07 5e-07 1.55e-06 8e-07 7e-07 8.5e-07 1.1e-06 1.15e-06 7.5e-07 1.1e-06 9.5e-07 9.5e-07 1.25e-06 8.5e-07 1.2e-06 2e-07 2.1e-06 1.65e-06 6.5e-07 9.5e-07 1.15e-06 5e-07 1.6e-06 1.6e-06 6e-07 8e-07 9.5e-07 1.65e-06 5.5e-07 2.45e-06 1.75e-06 6.5e-07 8.5e-07 8.5e-07 5e-07 1.2e-06 1.15e-06 1.4e-06 9.5e-07 7.5e-07 7.5e-07 1.35e-06
17 2.15e-06 2.05e-06 2.1e-06 1.75e-06 2.1e-06 2e-06 2.1e-06 2e-06 1.85e-06 2.15e-06 2.45e-06 2.15e-06 1.95e-06 1.6e-06 2.1e-06 2.4e-06 2.1e-06 1.6e-06 1.25e-06 1.9e-06 2.2e-06 1.95e-06 2.2e-06 1.7e-06 1.8e-06 2e-06 1.9e-06 2.15e-06 2.45e-06 2.05e-06 9.5e-07 1.7e-06 2.05e-06 1.95e-06 1.95e-06 1.8e-06 2.15e-06 1.6e-06 2e-06 1.85e-06 2.15e-06 2.05e-06 2.2e-06
18 1.6e-06 1.55e-06 1.65e-06 1.6e-06 1.5e-06 1.6e-06 1.5e-06 1.55e-06 1.65e-06 1.6e-06 2.05e-06 1.65e-06 1.4e-06 1.45e-06 1.7e-06 1.95e-06 1.65e-06 1.25e-06 1.9e-06 1.6e-06 1.9e-06 1.65e-06 1.7e-06 1.45e-06 1.65e-06 1.5e-06 1.4e-06 1.7e-06 2.15e-06 1.65e-06 1.1e-06 1.6e-06 1.6e-06 1.45e-06 1.45e-06 1.4e-06 2.05e-06 1.45e-06 1.85e-06 1.45e-06 1.6e-06 1.6e-06 2.1e-06
19 9e-07 1e-06 7.5e-07 1.65e-06 8e-07 9e-07 8.5e-07 8.5e-07 9e-07 8e-07 1.15e-06 9e-07 8e-07 1.45e-06 1e-06 1.35e-06 6.5e-07 1.9e-06 1.6e-06 1.1e-06 1.05e-06 9e-07 8e-07 1.65e-06 1.7e-06 7e-07 8e-07 9e-07 1.65e-06 8e-07 2.4e-06 1.75e-06 7.5e-07 9e-07 8.5e-07 7e-07 1.1e-06 1.45e-06 1.75e-06 8.5e-07 8.5e-07 9.5e-07 1.25e-06
20 1.25e-06 1.3e-06 1.05e-06 1.75e-06 1.15e-06 1e-06 1.15e-06 1.15e-06 1.25e-06 1.1e-06 9e-07 1.2e-06 1.2e-06 1.65e-06 1.2e-06 1.25e-06 9.5e-07 2.2e-06 1.9e-06 1.05e-06 1.1e-06 1.25e-06 1.1e-06 1.85e-06 1.8e-06 1e-06 1.05e-06 1.15e-06 1.35e-06 8.5e-07 2.5e-06 1.75e-06 1.05e-06 1.2e-06 1e-06 7.5e-07 8.5e-07 1.65e-06 1.8e-06 1e-06 1.2e-06 1.25e-06 1.2e-06
21 7e-07 1.25e-06 1e-06 1.8e-06 8.5e-07 1.2e-06 9e-07 7.5e-07 7e-07 9.5e-07 1.15e-06 1e-06 6.5e-07 1.75e-06 1.4e-06 1.55e-06 1.15e-06 1.95e-06 1.65e-06 9e-07 1.25e-06 1.1e-06 1.2e-06 1.75e-06 1.85e-06 8.5e-07 1e-06 9e-07 1.75e-06 1.15e-06 2.5e-06 1.85e-06 9.5e-07 1.15e-06 8e-07 1e-06 1.05e-06 1.75e-06 1.95e-06 9e-07 8.5e-07 1.3e-06 1.2e-06
22 1.05e-06 9.5e-07 7.5e-07 1.7e-06 7.5e-07 8.5e-07 8.5e-07 1.1e-06 1.2e-06 7e-07 1.2e-06 9.5e-07 9.5e-07 1.45e-06 9e-07 1.4e-06 5e-07 2.2e-06 1.7e-06 8e-07 1.1e-06 1.2e-06 8e-07 1.65e-06 1.75e-06 7e-07 8e-07 1.05e-06 1.75e-06 7.5e-07 2.55e-06 1.85e-06 8e-07 8e-07 9e-07 5.5e-07 1.35e-06 1.45e-06 1.7e-06 1e-06 7.5e-07 9e-07 1.45e-06
23 1.65e-06 1.65e-06 1.65e-06 1.55e-06 1.4e-06 1.65e-06 1.5e-06 1.7e-06 1.75e-06 1.5e-06 1.95e-06 1.7e-06 1.5e-06 1.65e-06 1.7e-06 1.95e-06 1.6e-06 1.7e-06 1.45e-06 1.65e-06 1.85e-06 1.75e-06 1.65e-06 2.6e-06 1.6e-06 1.5e-06 1.5e-06 1.8e-06 2.15e-06 1.65e-06 1.65e-06 1.6e-06 1.65e-06 1.5e-06 1.5e-06 1.4e-06 2.05e-06 1.65e-06 1.7e-06 1.6e-06 1.6e-06 1.7e-06 2.05e-06
24 1.6e-06 1.85e-06 1.5e-06 1.4e-06 1.7e-06 1.65e-06 1.75e-06 1.8e-06 1.85e-06 1.7e-06 1.95e-06 1.85e-06 1.7e-06 1.7e-06 1.8e-06 2e-06 1.6e-06 1.8e-06 1.65e-06 1.7e-06 1.8e-06 1.85e-06 1.75e-06 1.6e-06 2.8e-06 1.45e-06 1.65e-06 1.75e-06 2.15e-06 1.6e-06 1.75e-06 1.45e-06 1.7e-06 1.75e-06 1.65e-06 1.5e-06 2e-06 1.7e-06 1.65e-06 1.7e-06 1.75e-06 1.8e-06 2.1e-06
25 5.5e-07 9e-07 5e-07 1.4e-06 6e-07 7.5e-07 6.5e-07 8e-07 9e-07 6e-07 1e-06 8e-07 6.5e-07 1.4e-06 9.5e-07 1.3e-06 6e-07 2e-06 1.5e-06 7e-07 1e-06 8.5e-07 7e-07 1.5e-06 1.45e-06 8e-07 7e-07 7.5e-07 1.6e-06 7e-07 2.35e-06 1.55e-06 7e-07 8e-07 7e-07 6e-07 1.15e-06 1.4e-06 1.65e-06 8e-07 7e-07 9e-07 1.25e-06
26 9.5e-07 6e-07 9e-07 1.6e-06 7e-07 9e-07 7.5e-07 8e-07 1e-06 7e-07 1.15e-06 8e-07 7.5e-07 1.45e-06 9e-07 1.45e-06 8e-07 1.9e-06 1.4e-06 8e-07 1.05e-06 1e-06 8e-07 1.5e-06 1.65e-06 7e-07 8e-07 9e-07 1.6e-06 8.5e-07 2.25e-06 1.65e-06 8e-07 5e-07 8e-07 6.5e-07 1.25e-06 1.45e-06 1.7e-06 8e-07 8.5e-07 7e-07 1.35e-06
27 8.5e-07 1.15e-06 8.5e-07 1.7e-06 9e-07 9.5e-07 9.5e-07 6.5e-07 1.05e-06 9.5e-07 1.25e-06 9e-07 8.5e-07 1.65e-06 1.25e-06 1.5e-06 9.5e-07 2.15e-06 1.7e-06 9e-07 1.15e-06 9e-07 1.05e-06 1.8e-06 1.75e-06 7.5e-07 9e-07 9e-07 1.7e-06 1e-06 2.5e-06 1.8e-06 8e-07 1.05e-06 9.5e-07 9e-07 1.15e-06 1.65e-06 1.95e-06 8e-07 1e-06 1.15e-06 1.45e-06
28 1.8e-06 1.85e-06 1.7e-06 2.1e-06 1.7e-06 1.6e-06 1.7e-06 1.65e-06 1.75e-06 1.7e-06 1.7e-06 1.75e-06 1.7e-06 2e-06 1.75e-06 1.7e-06 1.65e-06 2.45e-06 2.15e-06 1.65e-06 1.35e-06 1.75e-06 1.75e-06 2.15e-06 2.15e-06 1.6e-06 1.6e-06 1.7e-06 2.3e-06 1.5e-06 2.5e-06 2e-06 1.65e-06 1.75e-06 1.55e-06 1.35e-06 1.6e-06 2e-06 2.2e-06 1.5e-06 1.75e-06 1.85e-06 1.55e-06
29 1e-06 1.05e-06 7e-07 1.55e-06 9e-07 7.5e-07 9e-07 1.05e-06 1.15e-06 8.5e-07 1.15e-06 1e-06 1e-06 1.35e-06 1e-06 1.4e-06 5.5e-07 2.05e-06 1.65e-06 8e-07 8.5e-07 1.15e-06 7.5e-07 1.65e-06 1.6e-06 7e-07 8.5e-07 1e-06 1.5e-06 9e-07 2.3e-06 1.6e-06 7.5e-07 9.5e-07 8e-07 5e-07 1.2e-06 1.35e-06 1.6e-06 8.5e-07 9e-07 9.5e-07 1.35e-06
30 2.5e-06 2.4e-06 2.45e-06 1.7e-06 2.45e-06 2.25e-06 2.4e-06 2.35e-06 2.4e-06 2.5e-06 2.85e-06 2.5e-06 2.3e-06 1.6e-06 2.5e-06 2.55e-06 2.45e-06 9.5e-07 1.1e-06 2.4e-06 2.5e-06 2.5e-06 2.55e-06 1.65e-06 1.75e-06 2.35e-06 2.25e-06 2.5e-06 2.5e-06 2.3e-06 3e-07 1.6e-06 2.4e-06 2.3e-06 2.2e-06 2.05e-06 2.75e-06 1.6e-06 1.95e-06 2.1e-06 2.5e-06 2.4e-06 2.8e-06
31 1.7e-06 1.85e-06 1.65e-06 1.45e-06 1.75e-06 1.65e-06 1.8e-06 1.75e-06 1.8e-06 1.75e-06 2e-06 1.85e-06 1.7e-06 1.7e-06 1.85e-06 2.1e-06 1.75e-06 1.7e-06 1.6e-06 1.75e-06 1.75e-06 1.85e-06 1.85e-06 1.6e-06 1.45e-06 1.55e-06 1.65e-06 1.8e-06 2e-06 1.6e-06 1.6e-06 2.5e-06 1.75e-06 1.75e-06 1.6e-06 1.45e-06 2e-06 1.7e-06 1.7e-06 1.6e-06 1.8e-06 1.85e-06 2.05e-06
32 9e-07 1e-06 7.5e-07 1.65e-06 8e-07 9e-07 8.5e-07 5.5e-07 9.5e-07 8e-07 1.15e-06 7.5e-07 7.5e-07 1.45e-06 1.05e-06 1.35e-06 6.5e-07 2.05e-06 1.6e-06 7.5e-07 1.05e-06 9.5e-07 8e-07 1.65e-06 1.7e-06 7e-07 8e-07 8e-07 1.65e-06 7.5e-07 2.4e-06 1.75e-06 1.1e-06 9e-07 8.5e-07 7e-07 1.15e-06 1.45e-06 1.75e-06 7e-07 8.5e-07 9.5e-07 1.35e-06
33 1.1e-06 6.5e-07 1e-06 1.7e-06 7e-07 9.5e-07 8.5e-07 9.5e-07 1.1e-06 7e-07 1.3e-06 9e-07 8.5e-07 1.5e-06 9e-07 1.55e-06 8.5e-07 1.95e-06 1.45e-06 9e-07 1.2e-06 1.15e-06 8e-07 1.5e-06 1.75e-06 8e-07 5e-07 1.05e-06 1.75e-06 9.5e-07 2.3e-06 1.75e-06 9e-07 9e-07 9e-07 7e-07 1.4e-06 1.5e-06 1.8e-06 9e-07 9.5e-07 7.5e-07 1.45e-06
34 7e-07 1e-06 8.5e-07 1.6e-06 7e-07 8.5e-07 7e-07 8.5e-07 8.5e-07 7.5e-07 1.05e-06 9e-07 6e-07 1.45e-06 1.1e-06 1.45e-06 8.5e-07 1.95e-06 1.45e-06 8.5e-07 1e-06 8e-07 9e-07 1.5e-06 1.65e-06 7e-07 8e-07 9.5e-07 1.55e-06 8e-07 2.2e-06 1.6e-06 8.5e-07 9e-07 1.1e-06 6e-07 1.25e-06 1.45e-06 1.65e-06 7.5e-07 7e-07 1.05e-06 1.3e-06
35 9.5e-07 8e-07 7e-07 1.45e-06 7e-07 5.5e-07 7e-07 9e-07 9.5e-07 6.5e-07 1.05e-06 8e-07 8e-07 1.2e-06 8e-07 1.35e-06 5e-07 1.8e-06 1.4e-06 7e-07 7.5e-07 1e-06 5.5e-07 1.4e-06 1.5e-06 6e-07 6.5e-07 9e-07 1.35e-06 5e-07 2.05e-06 1.45e-06 7e-07 7e-07 6e-07 4e-07 1.1e-06 1.2e-06 1.5e-06 6.5e-07 7e-07 8e-07 1.15e-06
36 1.3e-06 1.5e-06 1.2e-06 1.95e-06 1.3e-06 1.3e-06 1.35e-06 1.1e-06 1.1e-06 1.3e-06 1.05e-06 1.3e-06 1.25e-06 1.9e-06 1.45e-06 1.35e-06 1.2e-06 2.15e-06 2.05e-06 1.1e-06 8.5e-07 1.05e-06 1.35e-06 2.05e-06 2e-06 1.15e-06 1.25e-06 1.15e-06 1.6e-06 1.2e-06 2.75e-06 2e-06 1.15e-06 1.4e-06 1.25e-06 1.1e-06 1.4e-06 1.9e-06 2.1e-06 1.15e-06 1.35e-06 1.45e-06 1.1e-06
37 1.65e-06 1.6e-06 1.4e-06 1.65e-06 1.55e-06 1.4e-06 1.55e-06 1.65e-06 1.7e-06 1.55e-06 1.9e-06 1.65e-06 1.55e-06 1.3e-06 1.6e-06 1.8e-06 1.15e-06 1.6e-06 1.45e-06 1.45e-06 1.65e-06 1.75e-06 1.45e-06 1.65e-06 1.7e-06 1.4e-06 1.45e-06 1.65e-06 2e-06 1.35e-06 1.6e-06 1.7e-06 1.45e-06 1.5e-06 1.45e-06 1.2e-06 1.9e-06 2.3e-06 1.65e-06 1.45e-06 1.55e-06 1.5e-06 2e-06
38 1.8e-06 1.9e-06 1.65e-06 1.6e-06 1.8e-06 1.75e-06 1.85e-06 2e-06 1.95e-06 1.75e-06 1.9e-06 1.95e-06 1.8e-06 1.75e-06 1.8e-06 2.05e-06 1.4e-06 2e-06 1.85e-06 1.75e-06 1.8e-06 1.95e-06 1.7e-06 1.7e-06 1.65e-06 1.65e-06 1.7e-06 1.95e-06 2.2e-06 1.6e-06 1.95e-06 1.7e-06 1.75e-06 1.8e-06 1.65e-06 1.5e-06 2.1e-06 1.65e-06 2.8e-06 1.85e-06 1.7e-06 1.8e-06 2.2e-06
39 9.5e-07 1e-06 9.5e-07 1.65e-06 8.5e-07 8.5e-07 8.5e-07 4.5e-07 8.5e-07 9e-07 1.25e-06 7.5e-07 7e-07 1.45e-06 1.15e-06 1.5e-06 9.5e-07 1.85e-06 1.45e-06 8.5e-07 1e-06 9e-07 1e-06 1.6e-06 1.7e-06 8e-07 8e-07 8e-07 1.5e-06 8.5e-07 2.1e-06 1.6e-06 7e-07 9e-07 7.5e-07 6.5e-07 1.15e-06 1.45e-06 1.85e-06 9e-07 9.5e-07 1.05e-06 1.3e-06
40 7e-07 1.05e-06 8e-07 1.7e-06 7e-07 1e-06 7.5e-07 9.5e-07 9.5e-07 7.5e-07 1.1e-06 9.5e-07 6.5e-07 1.55e-06 1.15e-06 1.45e-06 7.5e-07 2.15e-06 1.6e-06 8.5e-07 1.2e-06 8.5e-07 7.5e-07 1.6e-06 1.75e-06 7e-07 8.5e-07 1e-06 1.75e-06 9e-07 2.5e-06 1.8e-06 8.5e-07 9.5e-07 7e-07 7e-07 1.35e-06 1.55e-06 1.7e-06 9.5e-07 1.1e-06 1.05e-06 1.4e-06
41 1.2e-06 8.5e-07 9.5e-07 1.75e-06 1e-06 1e-06 1.05e-06 1.15e-06 1.25e-06 1e-06 1.4e-06 1.1e-06 1.05e-06 1.4e-06 1.05e-06 1.55e-06 7.5e-07 2.05e-06 1.6e-06 9.5e-07 1.25e-06 1.3e-06 9e-07 1.7e-06 1.8e-06 9e-07 7e-07 1.15e-06 1.85e-06 9.5e-07 2.4e-06 1.85e-06 9.5e-07 7.5e-07 1.05e-06 8e-07 1.45e-06 1.5e-06 1.8e-06 1.05e-06 1.05e-06 1.3e-06 1.55e-06
42 1.4e-06 1.55e-06 1.35e-06 2.05e-06 1.35e-06 1.4e-06 1.4e-06 1.35e-06 1.15e-06 1.35e-06 1.35e-06 1.45e-06 1.3e-06 2e-06 1.55e-06 1.7e-06 1.35e-06 2.2e-06 2.1e-06 1.25e-06 1.2e-06 1.2e-06 1.45e-06 2.05e-06 2.1e-06 1.25e-06 1.35e-06 1.45e-06 1.55e-06 1.35e-06 2.8e-06 2.05e-06 1.35e-06 1.45e-06 1.3e-06 1.15e-06 1.1e-06 2e-06 2.2e-06 1.3e-06 1.4e-06 1.55e-06 1.7e-06
