 slim_762043526 slim_762043541 slim_762043527 slim_762043534 slim_762043543 slim_762043538 slim_762043510 slim_762043506 slim_762043515 slim_762043524 slim_762043529 slim_762043531 slim_762043508 slim_762043539 slim_762043500 slim_762043520 slim_762043513 slim_762043522 slim_762043523 slim_762043501 slim_762043544 slim_762043532 slim_762043519 slim_762043537 slim_762043540 slim_762043507 slim_762043517 slim_762043530 slim_762043505 slim_762043512 slim_762043533 slim_762043514 slim_762043542 slim_762043525 slim_762043509 slim_762043516 slim_762043518 slim_762043536 slim_762043503 slim_762043528 slim_762043504 slim_762043521 slim_762043502 slim_762043511 slim_762043535
11 2.6e-06 2.35e-06 2e-06 2.45e-06 1.9e-06 2.45e-06 2.1e-06 1.85e-06 2.7e-06 2.3e-06 2.9e-06 3.5e-06 2.4e-06 2.3e-06 1.8e-06 2.55e-06 2.1e-06 2.2e-06 2.85e-06 1.9e-06 2.5e-06 1.8e-06 2.3e-06 2.45e-06 3.05e-06 2.5e-06 2.4e-06 2e-06 2.35e-06 2.65e-06 2.7e-06 2.5e-06 2.2e-06 2.25e-06 2.35e-06 2.25e-06 2.7e-06 2.05e-06 2.15e-06 2.5e-06 2.35e-06 2.65e-06 2e-06 2.45e-06 2.1e-06
12 1.8e-06 1.65e-06 1.45e-06 2.45e-06 1.6e-06 1.55e-06 1.05e-06 1.2e-06 2.15e-06 2.45e-06 2.15e-06 2.4e-06 2e-06 1.45e-06 1.85e-06 2.45e-06 1.6e-06 1.65e-06 2.1e-06 1.85e-06 1.7e-06 1.3e-06 2.55e-06 1.8e-06 2.25e-06 2.15e-06 2e-06 1.25e-06 1.95e-06 1.6e-06 1.9e-06 1.75e-06 1.55e-06 2.5e-06 2e-06 2.3e-06 2.15e-06 1.2e-06 2.05e-06 1.75e-06 1.3e-06 2.1e-06 1.2e-06 2e-06 1.3e-06
13 1.7e-06 1.65e-06 1.55e-06 2.05e-06 1.8e-06 1.55e-06 1.45e-06 1.15e-06 1.8e-06 2.5e-06 1.6e-06 2.3e-06 1.45e-06 1.8e-06 1.85e-06 2.1e-06 1.65e-06 1.35e-06 1.6e-06 1.6e-06 1.45e-06 1.35e-06 2.25e-06 1.55e-06 1.8e-06 1.85e-06 1.75e-06 1.5e-06 1.65e-06 1.55e-06 1.55e-06 1.65e-06 1.6e-06 2.3e-06 1.65e-06 2.05e-06 1.75e-06 1.5e-06 2.05e-06 1.35e-06 1.1e-06 1.75e-06 1.3e-06 1.85e-06 1.35e-06
14 2.15e-06 1.55e-06 1.15e-06 2.25e-06 1.45e-06 2e-06 1.25e-06 1.05e-06 2.1e-06 2.15e-06 2.65e-06 1.8e-06 1.85e-06 1.85e-06 1.9e-06 1.95e-06 1.35e-06 1.45e-06 2.75e-06 1.05e-06 1.9e-06 1.1e-06 1.6e-06 1.85e-06 2.95e-06 1.85e-06 1.75e-06 1.2e-06 1.9e-06 2.35e-06 2.25e-06 2.05e-06 1.45e-06 1.95e-06 1.75e-06 1.6e-06 2.3e-06 1.25e-06 1.35e-06 2.05e-06 1.9e-06 2.05e-06 1.2e-06 2e-06 1.35e-06
15 2.3e-06 1.95e-06 2.1e-06 2.3e-06 2.15e-06 2.2e-06 2.2e-06 2.05e-06 1.75e-06 2.55e-06 2.1e-06 2.55e-06 2.45e-06 2.1e-06 1.95e-06 3.3e-06 2.25e-06 1.8e-06 2.15e-06 1.85e-06 2e-06 2.2e-06 1.95e-06 2.05e-06 2.3e-06 1.95e-06 1.95e-06 2.25e-06 2.1e-06 2.4e-06 2.3e-06 2e-06 1.9e-06 1.9e-06 2e-06 1.85e-06 1.95e-06 2.25e-06 2.2e-06 2.15e-06 2.25e-06 1.7e-06 2.15e-06 2.2e-06 2.25e-06
16 2.05e-06 1.55e-06 1.05e-06 2.5e-06 1.3e-06 1.95e-06 1.1e-06 9.5e-07 2.3e-06 2.45e-06 2.65e-06 2.1e-06 1.6e-06 1.65e-06 1.35e-06 2.25e-06 1.6e-06 1.4e-06 2.8e-06 1.3e-06 1.7e-06 1.05e-06 1.95e-06 1.9e-06 3e-06 1.95e-06 1.85e-06 1.15e-06 1.95e-06 2.2e-06 2.15e-06 2.1e-06 1.45e-06 2.1e-06 1.75e-06 1.8e-06 2.4e-06 1.05e-06 1.55e-06 1.95e-06 1.6e-06 2.25e-06 1.05e-06 1.85e-06 9e-07
17 1.7e-06 9.5e-07 1.35e-06 2.3e-06 1.65e-06 1.6e-06 1.15e-06 9e-07 1.3e-06 2.6e-06 1.85e-06 2.2e-06 1.65e-06 1.35e-06 1.45e-06 1.8e-06 1.4e-06 1.4e-06 2e-06 1.25e-06 1.4e-06 1.05e-06 1.45e-06 1.45e-06 2.15e-06 1.5e-06 1.75e-06 1.2e-06 1.8e-06 1.8e-06 1.6e-06 1.7e-06 9e-07 2.55e-06 1.6e-06 2.25e-06 1.4e-06 1.2e-06 1.65e-06 1.45e-06 1.45e-06 1.25e-06 1e-06 1.9e-06 1.1e-06
18 1.5e-06 2.15e-06 2.85e-06 1.65e-06 2.75e-06 1.4e-06 2.6e-06 2.45e-06 1.15e-06 2.9e-06 5e-07 2.85e-06 2.1e-06 1.6e-06 2.75e-06 2.15e-06 2.8e-06 2e-06 2e-07 2.7e-06 1.5e-06 2.5e-06 2.55e-06 1.6e-06 3.5e-07 2.1e-06 1.9e-06 2.65e-06 1.65e-06 1.25e-06 1.55e-06 1.55e-06 2.05e-06 2.85e-06 1.85e-06 2.9e-06 8.5e-07 2.6e-06 3.05e-06 1.4e-06 1.75e-06 1.1e-06 2.5e-06 1.7e-06 2.5e-06
19 2.2e-06 1.5e-06 1.15e-06 2.2e-06 1.55e-06 2.05e-06 1.3e-06 1.05e-06 2.1e-06 2.2e-06 2.55e-06 1.9e-06 1.85e-06 1.6e-06 1.05e-06 1.85e-06 1.3e-06 1.25e-06 2.7e-06 1.6e-06 1.8e-06 1.3e-06 1.45e-06 1.9e-06 2.9e-06 1.85e-06 1.8e-06 1.35e-06 1.9e-06 2.25e-06 2.05e-06 2.05e-06 1.5e-06 1.9e-06 1.7e-06 1.55e-06 2.25e-06 1.4e-06 1.2e-06 1.85e-06 1.7e-06 2.05e-06 1.2e-06 2.05e-06 1.3e-06
20 1.7e-06 1.55e-06 1.8e-06 2.15e-06 1.85e-06 1.55e-06 1.55e-06 1.4e-06 1.4e-06 2.5e-06 1.45e-06 2.5e-06 1.7e-06 1.45e-06 1.9e-06 2e-06 1.7e-06 1.4e-06 1.5e-06 1.8e-06 2.4e-06 1.5e-06 2.05e-06 1.4e-06 1.7e-06 1.9e-06 1.7e-06 1.6e-06 1.8e-06 1.7e-06 1.7e-06 1.4e-06 1.5e-06 2.35e-06 1.7e-06 2.3e-06 1.55e-06 1.6e-06 2.05e-06 1.5e-06 1.5e-06 1.35e-06 1.45e-06 1.85e-06 1.4e-06
21 1.75e-06 1.2e-06 1e-06 2.5e-06 1.2e-06 1.6e-06 7.5e-07 4e-07 1.9e-06 2.4e-06 2.3e-06 1.8e-06 1.3e-06 1.35e-06 1.1e-06 2.2e-06 1.05e-06 1.05e-06 2.5e-06 1.3e-06 1.5e-06 4e-07 1.95e-06 1.3e-06 2.7e-06 1.8e-06 1.75e-06 5.5e-07 1.85e-06 1.95e-06 1.85e-06 1.75e-06 1.05e-06 2.35e-06 1.65e-06 2.05e-06 2.05e-06 7e-07 1.6e-06 1.65e-06 1.3e-06 1.85e-06 5e-07 1.9e-06 7.5e-07
22 2.4e-06 1.65e-06 1.9e-06 2.3e-06 2.2e-06 2.3e-06 2e-06 1.8e-06 1.8e-06 2.65e-06 2.45e-06 2.3e-06 2.55e-06 2.25e-06 1.6e-06 1.95e-06 1.95e-06 1.45e-06 2.55e-06 1.45e-06 2.05e-06 1.95e-06 2.5e-06 2.15e-06 2.7e-06 1.9e-06 2.1e-06 2.05e-06 2.2e-06 2.55e-06 2.35e-06 2.35e-06 1.6e-06 2.55e-06 2e-06 2.25e-06 1.95e-06 2.05e-06 1.65e-06 2.2e-06 2.4e-06 1.75e-06 1.9e-06 2.3e-06 1.95e-06
23 1.75e-06 1.6e-06 1.85e-06 2.25e-06 1.85e-06 1.6e-06 1.6e-06 1.35e-06 1.4e-06 2.55e-06 1.5e-06 2.45e-06 1.8e-06 1.55e-06 1.85e-06 2.05e-06 1.9e-06 1.45e-06 1.6e-06 1.9e-06 1.4e-06 1.3e-06 2.15e-06 2.4e-06 1.8e-06 1.9e-06 1.7e-06 1.55e-06 1.85e-06 1.85e-06 1.8e-06 1.45e-06 1.5e-06 2.4e-06 1.7e-06 2.35e-06 1.6e-06 1.6e-06 2.2e-06 1.6e-06 1.6e-06 1.35e-06 1.4e-06 1.9e-06 1.6e-06
24 1.5e-06 2.3e-06 3.05e-06 1.85e-06 2.95e-06 1.55e-06 2.8e-06 2.65e-06 1.3e-06 3.1e-06 7e-07 3.05e-06 2.25e-06 1.8e-06 2.95e-06 2.3e-06 3e-06 2.15e-06 3.5e-07 2.9e-06 1.7e-06 2.7e-06 2.7e-06 1.8e-06 6e-07 2.25e-06 2.1e-06 2.85e-06 1.85e-06 1.4e-06 1.55e-06 1.75e-06 2.2e-06 3.05e-06 2.05e-06 3.1e-06 1.05e-06 2.8e-06 3.25e-06 1.55e-06 1.9e-06 1.25e-06 2.7e-06 1.85e-06 2.7e-06
25 2.05e-06 1.65e-06 1.75e-06 2.4e-06 1.95e-06 1.95e-06 1.85e-06 1.7e-06 1.6e-06 2.5e-06 1.95e-06 2.5e-06 2.15e-06 1.85e-06 1.85e-06 1.95e-06 1.95e-06 1.5e-06 2.1e-06 1.85e-06 1.9e-06 1.8e-06 1.9e-06 1.9e-06 2.25e-06 2.6e-06 1.75e-06 1.9e-06 1.85e-06 2.3e-06 2.15e-06 2e-06 1.5e-06 2.4e-06 1.7e-06 2.1e-06 1.75e-06 1.8e-06 2.2e-06 2e-06 2e-06 1.55e-06 1.85e-06 2e-06 1.9e-06
26 1.95e-06 1.85e-06 1.6e-06 2.15e-06 1.75e-06 1.8e-06 1.75e-06 1.65e-06 1.65e-06 2.3e-06 1.85e-06 2.4e-06 2e-06 1.75e-06 1.75e-06 1.95e-06 1.85e-06 1.75e-06 1.9e-06 1.8e-06 1.7e-06 1.75e-06 2.1e-06 1.7e-06 2.1e-06 1.75e-06 2.8e-06 1.8e-06 1.7e-06 2.15e-06 2.1e-06 1.65e-06 1.7e-06 2e-06 1.55e-06 1.75e-06 1.9e-06 1.7e-06 2.1e-06 1.9e-06 1.9e-06 1.6e-06 1.8e-06 1.8e-06 1.85e-06
27 1.85e-06 1.15e-06 8.5e-07 2.6e-06 1.15e-06 1.7e-06 6.5e-07 6e-07 2e-06 2.3e-06 2.5e-06 2e-06 1.25e-06 1.5e-06 1.2e-06 2.25e-06 1.15e-06 1.2e-06 2.65e-06 1.35e-06 1.6e-06 5.5e-07 2.05e-06 1.55e-06 2.85e-06 1.9e-06 1.8e-06 9e-07 1.95e-06 1.95e-06 2e-06 1.65e-06 1.05e-06 2.35e-06 1.8e-06 2.05e-06 2.2e-06 6.5e-07 1.5e-06 1.8e-06 1.35e-06 1.95e-06 5.5e-07 2e-06 8.5e-07
28 1.9e-06 1.95e-06 1.8e-06 2e-06 1.95e-06 1.75e-06 1.9e-06 1.75e-06 1.8e-06 2.5e-06 1.75e-06 2.35e-06 1.95e-06 1.65e-06 1.9e-06 2.1e-06 1.95e-06 1.8e-06 1.65e-06 1.9e-06 1.8e-06 1.85e-06 2.2e-06 1.85e-06 1.85e-06 1.85e-06 1.7e-06 1.95e-06 3.1e-06 1.9e-06 2e-06 1.9e-06 1.8e-06 2.25e-06 1.7e-06 2e-06 1.8e-06 1.85e-06 2.25e-06 1.8e-06 1.8e-06 1.75e-06 1.9e-06 1.8e-06 1.9e-06
29 1.75e-06 1.85e-06 2.15e-06 2.05e-06 2.25e-06 1.65e-06 1.9e-06 1.85e-06 1.8e-06 2.9e-06 1.55e-06 2.65e-06 1.6e-06 1.55e-06 2.35e-06 2.4e-06 2.2e-06 1.8e-06 1.25e-06 2.25e-06 1.7e-06 1.95e-06 2.55e-06 1.85e-06 1.4e-06 2.3e-06 2.15e-06 1.95e-06 1.9e-06 2.3e-06 1.75e-06 1.8e-06 1.8e-06 2.85e-06 2.15e-06 2.75e-06 1.6e-06 1.95e-06 2.5e-06 1.6e-06 1.5e-06 1.75e-06 1.8e-06 1.95e-06 1.9e-06
30 1.7e-06 1.85e-06 2.15e-06 2.3e-06 2.3e-06 1.8e-06 1.95e-06 1.7e-06 1.75e-06 2.9e-06 1.6e-06 2.7e-06 1.9e-06 1.55e-06 2.25e-06 2.3e-06 2.15e-06 1.6e-06 1.55e-06 2.05e-06 1.7e-06 1.85e-06 2.35e-06 1.8e-06 1.55e-06 2.15e-06 2.1e-06 2e-06 2e-06 1.75e-06 3e-06 1.9e-06 1.8e-06 2.8e-06 1.95e-06 2.65e-06 1.65e-06 2e-06 2.45e-06 1.65e-06 1.65e-06 1.7e-06 1.8e-06 2.1e-06 1.85e-06
31 1.8e-06 1.65e-06 1.85e-06 2.25e-06 1.6e-06 1.65e-06 1.6e-06 1.65e-06 1.4e-06 2.15e-06 1.5e-06 2.5e-06 1.75e-06 1.65e-06 2.05e-06 2e-06 2.1e-06 1.7e-06 1.55e-06 2.05e-06 1.4e-06 1.75e-06 2.35e-06 1.45e-06 1.75e-06 2e-06 1.65e-06 1.65e-06 1.9e-06 1.8e-06 1.9e-06 1.9e-06 1.6e-06 2e-06 1.8e-06 2.25e-06 1.7e-06 1.65e-06 2.2e-06 1.7e-06 1.6e-06 1.35e-06 1.6e-06 1.95e-06 1.8e-06
32 1.65e-06 9e-07 1.25e-06 2.35e-06 1.45e-06 1.55e-06 1e-06 1e-06 1.3e-06 2.45e-06 1.95e-06 2.2e-06 1.55e-06 1.6e-06 1.45e-06 1.9e-06 1.45e-06 9e-07 2.05e-06 1.5e-06 1.5e-06 1.05e-06 1.6e-06 1.5e-06 2.2e-06 1.5e-06 1.7e-06 1.05e-06 1.8e-06 1.8e-06 1.8e-06 1.6e-06 1.5e-06 2.6e-06 1.65e-06 2.3e-06 1.45e-06 9.5e-07 1.7e-06 1.65e-06 1.55e-06 1.25e-06 1e-06 1.85e-06 1.15e-06
33 2.75e-06 2.65e-06 1.95e-06 2.45e-06 1.55e-06 2.6e-06 2.3e-06 2.2e-06 2.65e-06 2.05e-06 2.75e-06 2.25e-06 2.5e-06 2.3e-06 1.95e-06 1.9e-06 2.1e-06 2.55e-06 2.85e-06 1.9e-06 2.35e-06 2.35e-06 2.55e-06 2.4e-06 3.05e-06 2.4e-06 2e-06 2.35e-06 2.25e-06 2.85e-06 2.8e-06 2e-06 2.6e-06 1.7e-06 2.15e-06 1.25e-06 2.95e-06 2.35e-06 2.2e-06 2.6e-06 2.35e-06 2.6e-06 2.3e-06 2.3e-06 2.4e-06
34 1.9e-06 1.8e-06 1.6e-06 2.2e-06 1.8e-06 1.8e-06 1.75e-06 1.55e-06 1.7e-06 2.35e-06 1.7e-06 2.35e-06 2e-06 1.65e-06 1.75e-06 2e-06 1.75e-06 1.6e-06 1.85e-06 1.7e-06 1.7e-06 1.65e-06 2e-06 1.7e-06 2.05e-06 1.7e-06 1.55e-06 1.8e-06 1.7e-06 2.15e-06 1.95e-06 1.8e-06 1.65e-06 2.15e-06 2.8e-06 1.85e-06 1.8e-06 1.7e-06 2.05e-06 1.8e-06 1.8e-06 1.65e-06 1.7e-06 1.8e-06 1.75e-06
35 2.6e-06 2.4e-06 1.5e-06 2.35e-06 1.7e-06 2.45e-06 2e-06 1.85e-06 2.6e-06 2.15e-06 2.8e-06 2.25e-06 2.3e-06 2.05e-06 1.6e-06 1.85e-06 1.8e-06 2.25e-06 2.9e-06 1.55e-06 2.3e-06 2.05e-06 2.25e-06 2.35e-06 3.1e-06 2.1e-06 1.75e-06 2.05e-06 2e-06 2.75e-06 2.65e-06 2.25e-06 2.3e-06 1.25e-06 1.85e-06 2e-06 2.85e-06 2e-06 1.9e-06 2.45e-06 2.2e-06 2.55e-06 2.05e-06 2.15e-06 2.1e-06
36 1.6e-06 1.55e-06 2.4e-06 2e-06 2.45e-06 1.55e-06 2.15e-06 2e-06 1e-06 2.95e-06 1.05e-06 2.7e-06 2.15e-06 1.75e-06 2.3e-06 1.95e-06 2.4e-06 1.4e-06 8.5e-07 2.25e-06 1.55e-06 2.05e-06 1.95e-06 1.6e-06 1.05e-06 1.75e-06 1.9e-06 2.2e-06 1.8e-06 1.6e-06 1.65e-06 1.7e-06 1.45e-06 2.95e-06 1.8e-06 2.85e-06 1.7e-06 2.15e-06 2.6e-06 1.55e-06 1.9e-06 9.5e-07 2.05e-06 1.85e-06 2.1e-06
37 1.7e-06 1.15e-06 8.5e-07 2.55e-06 1.05e-06 1.6e-06 6e-07 6.5e-07 1.95e-06 2.2e-06 2.45e-06 2.05e-06 1.2e-06 1.5e-06 1.25e-06 2.25e-06 1.05e-06 1.2e-06 2.6e-06 1.4e-06 1.6e-06 7e-07 2.05e-06 1.6e-06 2.8e-06 1.8e-06 1.7e-06 6.5e-07 1.85e-06 1.95e-06 2e-06 1.65e-06 9.5e-07 2.35e-06 1.7e-06 2e-06 2.15e-06 6e-07 1.55e-06 1.8e-06 1.35e-06 1.9e-06 7e-07 1.85e-06 6.5e-07
38 2.5e-06 1.65e-06 1.35e-06 2.45e-06 1.7e-06 2.35e-06 1.4e-06 1.4e-06 2.4e-06 2.3e-06 2.9e-06 2.15e-06 2.05e-06 2.05e-06 1.35e-06 2.2e-06 1.55e-06 1.65e-06 3.05e-06 1.2e-06 2.05e-06 1.6e-06 1.65e-06 2.2e-06 3.25e-06 2.2e-06 2.1e-06 1.5e-06 2.25e-06 2.5e-06 2.45e-06 2.2e-06 1.7e-06 2.2e-06 2.05e-06 1.9e-06 2.6e-06 1.55e-06 2.3e-06 2.25e-06 2e-06 2.35e-06 1.4e-06 2.35e-06 1.55e-06
39 1.75e-06 1.7e-06 1.95e-06 2.1e-06 2.1e-06 1.55e-06 1.75e-06 1.5e-06 1.6e-06 2.7e-06 1.45e-06 2.5e-06 1.75e-06 1.35e-06 2.05e-06 2.15e-06 1.95e-06 1.45e-06 1.4e-06 1.85e-06 1.5e-06 1.65e-06 2.2e-06 1.6e-06 1.55e-06 2e-06 1.9e-06 1.8e-06 1.8e-06 1.6e-06 1.65e-06 1.7e-06 1.65e-06 2.6e-06 1.8e-06 2.45e-06 1.55e-06 1.8e-06 2.25e-06 2.6e-06 1.4e-06 1.55e-06 1.6e-06 1.85e-06 1.65e-06
40 1.75e-06 1.6e-06 1.5e-06 2.2e-06 1.65e-06 1.55e-06 1.3e-06 1.15e-06 1.95e-06 2.45e-06 1.75e-06 2.35e-06 1.3e-06 1.1e-06 1.9e-06 2.25e-06 1.6e-06 1.45e-06 1.75e-06 1.7e-06 1.5e-06 1.3e-06 2.4e-06 1.6e-06 1.9e-06 2e-06 1.9e-06 1.35e-06 1.8e-06 1.5e-06 1.65e-06 1.6e-06 1.55e-06 2.35e-06 1.8e-06 2.2e-06 1.9e-06 1.35e-06 2e-06 1.4e-06 1.9e-06 1.9e-06 1.15e-06 1.85e-06 1.3e-06
41 1.6e-06 1.35e-06 2.15e-06 2.05e-06 2.15e-06 1.5e-06 1.9e-06 1.8e-06 7.5e-07 2.65e-06 1.1e-06 2.65e-06 2.1e-06 1.75e-06 2.05e-06 1.7e-06 2.25e-06 1.25e-06 1.1e-06 2.05e-06 1.35e-06 1.85e-06 1.75e-06 1.35e-06 1.25e-06 1.55e-06 1.6e-06 1.95e-06 1.75e-06 1.75e-06 1.7e-06 1.35e-06 1.25e-06 2.6e-06 1.65e-06 2.55e-06 9.5e-07 1.9e-06 2.35e-06 1.55e-06 1.9e-06 1.4e-06 1.85e-06 1.8e-06 1.95e-06
