 slim_762307799 slim_762307811 slim_762307790 slim_762307804 slim_762307810 slim_762307820 slim_762307803 slim_762307795 slim_762307801 slim_762307809 slim_762307792 slim_762307806 slim_762307812 slim_762307821 slim_762307789 slim_762307800 slim_762307805 slim_762307816 slim_762307802 slim_762307794 slim_762307817 slim_762307813 slim_762307791 slim_762307814 slim_762307819 slim_762307807 slim_762307822 slim_762307798 slim_762307818 slim_762307796 slim_762307815 slim_762307808 slim_762307797 slim_762307793
10 1.55e-06 2.25e-06 5.5e-07 1.85e-06 2.65e-06 1.35e-06 1e-06 1.75e-06 1.55e-06 4.5e-07 7e-07 1.7e-06 1.65e-06 1.55e-06 3.5e-07 1.7e-06 1.5e-06 1.5e-06 1.9e-06 1.75e-06 1.9e-06 1.55e-06 1.95e-06 1.05e-06 1.35e-06 1.2e-06 2.2e-06 2.25e-06 2.5e-06 2.5e-06 1.6e-06 5.5e-07 1.8e-06 1.6e-06
11 2.05e-06 2.05e-06 1.75e-06 1.55e-06 2.45e-06 1.8e-06 1.65e-06 2.3e-06 1.85e-06 1.65e-06 1.7e-06 2.1e-06 1.05e-06 2.3e-06 1.55e-06 1.2e-06 1.75e-06 1.75e-06 1.85e-06 1.4e-06 2.35e-06 2e-06 2.3e-06 1.7e-06 1.85e-06 1.5e-06 2.2e-06 2.25e-06 2.2e-06 2.1e-06 1.4e-06 1.75e-06 1.5e-06 1.8e-06
12 2e-06 2e-06 1.7e-06 1.5e-06 2.4e-06 1.75e-06 1.6e-06 2.25e-06 1.8e-06 1.6e-06 1.65e-06 1.05e-06 2e-06 2.25e-06 1.5e-06 1.15e-06 1.7e-06 1.7e-06 1.8e-06 1.35e-06 2.3e-06 1.95e-06 2.25e-06 1.65e-06 1.8e-06 1.45e-06 2.15e-06 2.2e-06 2.15e-06 2.1e-06 1.35e-06 1.7e-06 1.45e-06 1.75e-06
13 1.9e-06 2.45e-06 1.7e-06 2.5e-06 2.75e-06 1.25e-06 2.05e-06 2.15e-06 1.4e-06 1.6e-06 1.55e-06 2.3e-06 2.25e-06 8e-07 1.5e-06 2.25e-06 2.25e-06 2.3e-06 1.55e-06 2.5e-06 2.2e-06 2.2e-06 2.2e-06 2.05e-06 2.25e-06 2.1e-06 2.45e-06 2.5e-06 2.6e-06 2.6e-06 2.35e-06 1.7e-06 2.45e-06 2.35e-06
14 1.35e-06 2.35e-06 2e-07 1.75e-06 2.65e-06 1.35e-06 6.5e-07 1.55e-06 1.55e-06 1e-07 3.5e-07 1.55e-06 1.5e-06 1.5e-06 0.0 1.75e-06 1.35e-06 1.35e-06 1.9e-06 1.7e-06 1.7e-06 1.35e-06 1.9e-06 7e-07 1.2e-06 8.5e-07 2.05e-06 2.1e-06 2.35e-06 2.5e-06 1.3e-06 2e-07 1.7e-06 1.45e-06
15 2.1e-06 1.9e-06 1.95e-06 1.3e-06 2.35e-06 1.55e-06 1.85e-06 2.35e-06 1.6e-06 1.85e-06 1.7e-06 1.2e-06 1.15e-06 2.25e-06 1.75e-06 1.3e-06 1.65e-06 1.6e-06 1.55e-06 1.3e-06 2.5e-06 2.15e-06 2.2e-06 1.9e-06 1.75e-06 1.75e-06 2.2e-06 2.25e-06 2.2e-06 2.05e-06 1.55e-06 1.95e-06 1.25e-06 1.65e-06
16 1.9e-06 2.3e-06 1.5e-06 1.8e-06 2.5e-06 1.95e-06 1.75e-06 2.1e-06 1.85e-06 1.4e-06 1.5e-06 1.75e-06 1.7e-06 2.25e-06 1.35e-06 1.65e-06 2.7e-06 1.6e-06 1.9e-06 1.65e-06 2.15e-06 1.95e-06 2.1e-06 1.75e-06 1.75e-06 1.55e-06 2.4e-06 2.45e-06 2.15e-06 2.55e-06 1.65e-06 1.5e-06 1.75e-06 1.75e-06
17 1.95e-06 2.35e-06 1.4e-06 1.7e-06 2.6e-06 2e-06 1.65e-06 2.1e-06 1.9e-06 1.35e-06 1.5e-06 1.75e-06 1.7e-06 2.3e-06 1.35e-06 1.6e-06 1.6e-06 2.7e-06 1.75e-06 1.65e-06 2.35e-06 2e-06 2.3e-06 1.7e-06 1.75e-06 1.45e-06 2.45e-06 2.5e-06 2.25e-06 2.6e-06 1.7e-06 1.4e-06 1.65e-06 1.7e-06
18 1.95e-06 2.15e-06 2.1e-06 1.85e-06 2.4e-06 1.75e-06 2.3e-06 2.25e-06 1.6e-06 2e-06 1.9e-06 1.85e-06 1.8e-06 1.55e-06 1.9e-06 1.55e-06 1.9e-06 1.75e-06 2.4e-06 1.75e-06 2.4e-06 2.2e-06 2.25e-06 2.35e-06 2.05e-06 1.95e-06 2.4e-06 2.45e-06 2.05e-06 2.4e-06 1.95e-06 2.1e-06 1.8e-06 1.85e-06
19 2e-06 1.9e-06 1.9e-06 1.6e-06 2.4e-06 2.1e-06 1.95e-06 2.15e-06 1.6e-06 1.8e-06 1.75e-06 1.4e-06 1.35e-06 2.5e-06 1.7e-06 1.3e-06 1.65e-06 1.65e-06 1.75e-06 1.4e-06 2.35e-06 2e-06 2.3e-06 2e-06 1.75e-06 1.45e-06 2.25e-06 2.25e-06 1.8e-06 2.35e-06 1.45e-06 1.9e-06 1.55e-06 1.6e-06
20 1.85e-06 2.25e-06 1.9e-06 2.55e-06 2e-06 2.3e-06 2.2e-06 1.85e-06 2.2e-06 1.8e-06 1.9e-06 2.35e-06 2.3e-06 2.2e-06 1.7e-06 2.5e-06 2.15e-06 2.35e-06 2.4e-06 2.35e-06 3.4e-06 1.7e-06 2e-06 2.2e-06 2.3e-06 2.1e-06 2.1e-06 2.15e-06 1.95e-06 2.3e-06 2.2e-06 1.9e-06 2.5e-06 2.35e-06
21 1.7e-06 2.1e-06 1.55e-06 2.2e-06 1.85e-06 2.15e-06 1.85e-06 1.7e-06 2.05e-06 1.45e-06 1.55e-06 2e-06 1.95e-06 2.2e-06 1.35e-06 2.15e-06 1.95e-06 2e-06 2.2e-06 2e-06 1.7e-06 2.7e-06 2e-06 1.9e-06 1.95e-06 1.75e-06 1.95e-06 2e-06 1.8e-06 2.15e-06 1.85e-06 1.55e-06 2.15e-06 2e-06
22 1.9e-06 2.05e-06 2.1e-06 2.5e-06 2.2e-06 2.15e-06 2.4e-06 2.1e-06 2.05e-06 2e-06 1.95e-06 2.3e-06 2.25e-06 2.2e-06 1.9e-06 2.2e-06 2.1e-06 2.3e-06 2.25e-06 2.3e-06 2e-06 2e-06 3.4e-06 2.4e-06 2.25e-06 2.3e-06 2.4e-06 2.45e-06 2.25e-06 2.35e-06 2.4e-06 2.1e-06 2.45e-06 2.3e-06
23 1.9e-06 2.65e-06 7.5e-07 1.85e-06 3.05e-06 1.55e-06 7e-07 2e-06 1.95e-06 7e-07 1.05e-06 1.7e-06 1.65e-06 2.05e-06 7e-07 1.9e-06 1.75e-06 1.7e-06 2.35e-06 2e-06 2.2e-06 1.9e-06 2.4e-06 1.4e-06 1.7e-06 1.2e-06 2.2e-06 2.25e-06 2.7e-06 2.7e-06 1.3e-06 7.5e-07 1.8e-06 1.95e-06
24 2e-06 2.35e-06 1.4e-06 1.9e-06 2.6e-06 1.85e-06 1.65e-06 2.15e-06 1.8e-06 1.3e-06 1.35e-06 1.85e-06 1.8e-06 2.25e-06 1.2e-06 1.75e-06 1.75e-06 1.75e-06 2.05e-06 1.75e-06 2.3e-06 1.95e-06 2.25e-06 1.7e-06 2.4e-06 1.65e-06 2.4e-06 2.45e-06 2.4e-06 2.6e-06 1.75e-06 1.4e-06 1.85e-06 1.45e-06
25 1.7e-06 2.4e-06 9e-07 1.8e-06 2.75e-06 1.95e-06 1.15e-06 1.85e-06 1.85e-06 8.5e-07 1.2e-06 1.5e-06 1.45e-06 2.1e-06 8.5e-07 1.75e-06 1.55e-06 1.45e-06 1.95e-06 1.45e-06 2.1e-06 1.75e-06 2.3e-06 1.2e-06 1.65e-06 1.7e-06 2.25e-06 2.3e-06 2.15e-06 2.65e-06 1.35e-06 9e-07 1.75e-06 1.65e-06
26 2e-06 2.2e-06 2.25e-06 2.15e-06 2e-06 2.15e-06 2.15e-06 2e-06 2.25e-06 2.15e-06 2.2e-06 2.2e-06 2.15e-06 2.45e-06 2.05e-06 2.2e-06 2.4e-06 2.45e-06 2.4e-06 2.25e-06 2.1e-06 1.95e-06 2.4e-06 2.2e-06 2.4e-06 2.25e-06 3.3e-06 1.8e-06 1.8e-06 2.15e-06 1.9e-06 2.25e-06 2.15e-06 2.45e-06
27 2.05e-06 2.25e-06 2.3e-06 2.2e-06 2.05e-06 2.2e-06 2.2e-06 2e-06 2.25e-06 2.2e-06 2.25e-06 2.25e-06 2.2e-06 2.5e-06 2.1e-06 2.25e-06 2.45e-06 2.5e-06 2.45e-06 2.25e-06 2.15e-06 2e-06 2.45e-06 2.25e-06 2.45e-06 2.3e-06 1.8e-06 3.4e-06 1.85e-06 2.05e-06 1.95e-06 2.3e-06 2.2e-06 2.5e-06
28 1.8e-06 1.95e-06 2.55e-06 2.2e-06 1.5e-06 2.65e-06 2.65e-06 1.8e-06 2.2e-06 2.45e-06 2.5e-06 2.2e-06 2.15e-06 2.6e-06 2.35e-06 2.2e-06 2.15e-06 2.25e-06 2.05e-06 1.8e-06 1.95e-06 1.8e-06 2.25e-06 2.7e-06 2.4e-06 2.15e-06 1.8e-06 1.85e-06 2.1e-06 2.05e-06 1.85e-06 2.55e-06 2.15e-06 2.2e-06
29 2.3e-06 2.1e-06 2.7e-06 2.4e-06 1.85e-06 2.3e-06 2.65e-06 2.25e-06 2.3e-06 2.6e-06 2.5e-06 2.1e-06 2.1e-06 2.6e-06 2.5e-06 2.05e-06 2.55e-06 2.6e-06 2.4e-06 2.35e-06 2.3e-06 2.15e-06 2.35e-06 2.7e-06 2.6e-06 2.65e-06 2.15e-06 2.05e-06 2.05e-06 3.6e-06 2.35e-06 2.7e-06 2.35e-06 2.6e-06
30 1.8e-06 2.2e-06 1.5e-06 1.45e-06 2.5e-06 1.85e-06 1.25e-06 2.05e-06 1.95e-06 1.4e-06 1.6e-06 1.4e-06 1.35e-06 2.35e-06 1.3e-06 1.55e-06 1.65e-06 1.7e-06 1.95e-06 1.45e-06 2.2e-06 1.85e-06 2.4e-06 1.3e-06 1.75e-06 1.35e-06 1.9e-06 1.95e-06 1.85e-06 2.35e-06 1.8e-06 1.5e-06 1.4e-06 1.75e-06
31 1.55e-06 2.55e-06 2e-07 1.95e-06 2.85e-06 1.55e-06 7e-07 1.65e-06 1.75e-06 2e-07 5.5e-07 1.75e-06 1.7e-06 1.7e-06 2e-07 1.95e-06 1.5e-06 1.4e-06 2.1e-06 1.9e-06 1.9e-06 1.55e-06 2.1e-06 7.5e-07 1.4e-06 9e-07 2.25e-06 2.3e-06 2.55e-06 2.7e-06 1.5e-06 4e-07 1.9e-06 1.65e-06
32 2.1e-06 2.2e-06 1.9e-06 1.25e-06 2.55e-06 1.8e-06 1.75e-06 2.35e-06 1.9e-06 1.8e-06 1.8e-06 1.5e-06 1.45e-06 2.45e-06 1.7e-06 1.25e-06 1.75e-06 1.65e-06 1.8e-06 1.55e-06 2.5e-06 2.15e-06 2.45e-06 1.8e-06 1.85e-06 1.75e-06 2.15e-06 2.2e-06 2.15e-06 2.35e-06 1.4e-06 1.9e-06 2.4e-06 1.8e-06
33 2e-06 2.35e-06 1.65e-06 1.85e-06 2.6e-06 2.1e-06 1.9e-06 2.2e-06 1.9e-06 1.55e-06 1.6e-06 1.8e-06 1.75e-06 2.35e-06 1.45e-06 1.65e-06 1.75e-06 1.7e-06 1.85e-06 1.6e-06 2.35e-06 2e-06 2.3e-06 1.95e-06 1.45e-06 1.65e-06 2.45e-06 2.5e-06 2.2e-06 2.6e-06 1.75e-06 1.65e-06 1.8e-06 2.7e-06
