 slim_762077753 slim_762077802 slim_762077761 slim_762077785 slim_762077763 slim_762077794 slim_762077760 slim_762077791 slim_762077750 slim_762077782 slim_762077815 slim_762077808 slim_762077764 slim_762077777 slim_762077805 slim_762077749 slim_762077792 slim_762077766 slim_762077790 slim_762077795 slim_762077793 slim_762077799 slim_762077801 slim_762077806 slim_762077804 slim_762077768 slim_762077775 slim_762077751 slim_762077769 slim_762077747 slim_762077748 slim_762077755 slim_762077817 slim_762077809 slim_762077770 slim_762077816 slim_762077797 slim_762077807 slim_762077774 slim_762077798 slim_762077765 slim_762077767 slim_762077789 slim_762077803 slim_762077752 slim_762077745 slim_762077742 slim_762077779 slim_762077776 slim_762077758 slim_762077756 slim_762077744 slim_762077812 slim_762077786 slim_762077818 slim_762077746 slim_762077780 slim_762077820 slim_762077762 slim_762077759 slim_762077787 slim_762077757 slim_762077773 slim_762077771 slim_762077810 slim_762077772 slim_762077819 slim_762077784 slim_762077788 slim_762077754 slim_762077814 slim_762077796 slim_762077811 slim_762077741 slim_762077781 slim_762077783 slim_762077778 slim_762077813 slim_762077743 slim_762077800
10 2.8e-06 2.55e-06 2e-06 2e-06 2.65e-06 2.65e-06 2.1e-06 2.1e-06 2.8e-06 2.25e-06 2.3e-06 1.95e-06 2.15e-06 2.1e-06 2.3e-06 2.35e-06 1.95e-06 2.1e-06 2.25e-06 2.3e-06 1.75e-06 1.95e-06 2.6e-06 2.05e-06 1.9e-06 2.35e-06 2.9e-06 2.85e-06 1.85e-06 2.95e-06 1.65e-06 1.7e-06 2.1e-06 2.5e-06 2.55e-06 1.9e-06 1.85e-06 2e-06 2.65e-06 2.3e-06 2.5e-06 2.35e-06 1.35e-06 2.5e-06 1.95e-06 2.05e-06 2.5e-06 2.05e-06 1.55e-06 1.95e-06 1.75e-06 1.6e-06 2.7e-06 2.7e-06 2.4e-06 1.9e-06 1.75e-06 1.9e-06 1.85e-06 2.3e-06 1.5e-06 2.05e-06 1.55e-06 2e-06 2.5e-06 1.55e-06 2.45e-06 2.25e-06 1.65e-06 2.7e-06 2.1e-06 2.8e-06 2.1e-06 1.95e-06 2.25e-06 2.25e-06 2.25e-06 2.35e-06 2.75e-06 1.9e-06
11 2.65e-06 1.65e-06 2.1e-06 1.55e-06 1.95e-06 2.2e-06 1.9e-06 2e-06 1.9e-06 1.85e-06 1.95e-06 2.1e-06 2e-06 1.25e-06 2.25e-06 2.3e-06 1.75e-06 2.05e-06 1.85e-06 1.7e-06 2.15e-06 2.25e-06 2.3e-06 1.55e-06 1.35e-06 1.85e-06 2e-06 2.35e-06 2.3e-06 2.35e-06 2e-06 2e-06 1.3e-06 1.85e-06 1.9e-06 2.1e-06 1.6e-06 1.35e-06 2.6e-06 2.2e-06 1.85e-06 1.9e-06 1.4e-06 1.85e-06 2.3e-06 2.15e-06 2.2e-06 2.1e-06 1.45e-06 2.6e-06 1.55e-06 2.55e-06 1.8e-06 1.9e-06 2e-06 1.6e-06 2.2e-06 2.15e-06 1.65e-06 1.75e-06 2.6e-06 1.85e-06 1.9e-06 1.45e-06 2.95e-06 2e-06 1.8e-06 1.55e-06 1.95e-06 2.2e-06 1.9e-06 2.25e-06 2.15e-06 1.7e-06 1.6e-06 1.9e-06 2.05e-06 2.05e-06 2.6e-06 2.6e-06
12 2.7e-06 2.45e-06 2.4e-06 2e-06 1.65e-06 2.35e-06 2.1e-06 2.1e-06 2.45e-06 1.4e-06 2.15e-06 2e-06 1.7e-06 2.15e-06 1.8e-06 2.2e-06 1.25e-06 1.95e-06 2.1e-06 2.25e-06 2.15e-06 2.35e-06 2.75e-06 2e-06 1.95e-06 2.7e-06 2.55e-06 1.7e-06 1.4e-06 2.5e-06 1.95e-06 1.85e-06 2.25e-06 2.7e-06 1.75e-06 2.3e-06 1.75e-06 2.15e-06 2.2e-06 2.35e-06 1.75e-06 9.5e-07 1.55e-06 1.7e-06 1.55e-06 2.35e-06 2.7e-06 1.1e-06 1.65e-06 2.1e-06 1.7e-06 2e-06 2.45e-06 2.15e-06 9e-07 1.25e-06 1.3e-06 2.2e-06 1.15e-06 2.25e-06 2.3e-06 1.35e-06 1.6e-06 2.05e-06 2.4e-06 1.75e-06 1.65e-06 1.7e-06 1.8e-06 2.25e-06 2.1e-06 2.5e-06 1.15e-06 1.3e-06 1.6e-06 1.45e-06 2.1e-06 2.6e-06 2.75e-06 2.6e-06
13 2.5e-06 1.45e-06 2.1e-06 1.5e-06 2.1e-06 2e-06 2.05e-06 2e-06 1.85e-06 1.8e-06 2.1e-06 1.25e-06 2.15e-06 2.4e-06 2.25e-06 2.3e-06 1.9e-06 2.2e-06 1.9e-06 1.45e-06 2.1e-06 2.4e-06 2.3e-06 1.5e-06 1.4e-06 1.8e-06 1.95e-06 2.35e-06 2.45e-06 2.45e-06 2e-06 2e-06 1.5e-06 1.85e-06 1.9e-06 2.1e-06 1.55e-06 1.5e-06 2.6e-06 2.2e-06 1.8e-06 2.05e-06 1.6e-06 1.8e-06 2.3e-06 2e-06 2.05e-06 2.2e-06 1.4e-06 2.6e-06 1.7e-06 2.55e-06 1.95e-06 1.9e-06 2.15e-06 1.8e-06 2.35e-06 2.35e-06 1.8e-06 1.7e-06 2.6e-06 2e-06 2.05e-06 1.5e-06 2.95e-06 2.15e-06 1.75e-06 1.7e-06 1.9e-06 2e-06 2.05e-06 2.25e-06 2.25e-06 1.65e-06 1.75e-06 1.85e-06 2.15e-06 2e-06 2.45e-06 2.6e-06
14 2.2e-06 2.05e-06 2.05e-06 2.1e-06 2.3e-06 2.55e-06 2.4e-06 2.3e-06 2.45e-06 1.8e-06 2.3e-06 2.25e-06 1.8e-06 2.25e-06 2.9e-06 2.4e-06 2.1e-06 2.4e-06 2.55e-06 2.15e-06 2.1e-06 2.25e-06 2.25e-06 2.15e-06 2.1e-06 2.35e-06 2.55e-06 2.2e-06 2.4e-06 2.7e-06 1.95e-06 1.85e-06 2e-06 1.95e-06 1.85e-06 2e-06 2.2e-06 2.3e-06 2.75e-06 1.95e-06 1.85e-06 1.7e-06 2.05e-06 1.8e-06 1.6e-06 1.9e-06 1.85e-06 1.8e-06 2.2e-06 1.9e-06 2.3e-06 2.15e-06 2.55e-06 2.6e-06 1.5e-06 1.85e-06 2.2e-06 2.4e-06 2e-06 2.2e-06 1.9e-06 2.2e-06 2.35e-06 2.15e-06 2.2e-06 2.5e-06 1.75e-06 2.05e-06 2.4e-06 2.5e-06 2.4e-06 2.65e-06 1.85e-06 1.8e-06 1.8e-06 1.85e-06 2.35e-06 1.85e-06 2.2e-06 1.8e-06
15 2.4e-06 2.55e-06 2.45e-06 2.3e-06 1.9e-06 2.1e-06 2.7e-06 2.6e-06 2.2e-06 2.15e-06 2.35e-06 2.3e-06 2.2e-06 2.3e-06 2.4e-06 3.5e-06 2.15e-06 2.55e-06 2e-06 2.4e-06 2.25e-06 2.5e-06 2.35e-06 2.3e-06 2.3e-06 2.7e-06 2.3e-06 2.15e-06 2.5e-06 1.8e-06 2.15e-06 2.05e-06 2.65e-06 2.7e-06 2.45e-06 2.5e-06 2.1e-06 2.4e-06 2.4e-06 2.55e-06 2.45e-06 2.15e-06 2.05e-06 2.4e-06 2.15e-06 2.35e-06 2.7e-06 2.2e-06 2e-06 2.4e-06 2.2e-06 2.4e-06 2.3e-06 1.9e-06 2.2e-06 2.15e-06 2.4e-06 2.05e-06 2.05e-06 2.45e-06 2.25e-06 2.25e-06 2.3e-06 2.35e-06 2.3e-06 2.45e-06 2.35e-06 2.4e-06 2.35e-06 2.1e-06 2.7e-06 2.3e-06 2.25e-06 2.05e-06 2.4e-06 2.2e-06 2.7e-06 2.7e-06 2.35e-06 2.55e-06
16 2.8e-06 2e-06 2.2e-06 1.6e-06 1.95e-06 2.1e-06 1.85e-06 1.9e-06 2.25e-06 1.45e-06 1.95e-06 1.75e-06 1.25e-06 1.9e-06 2.1e-06 2.15e-06 1.7e-06 1.7e-06 1.95e-06 1.7e-06 1.85e-06 2.15e-06 2.75e-06 1.55e-06 1.5e-06 2.25e-06 2.35e-06 2.25e-06 1.4e-06 2.6e-06 1.7e-06 1.55e-06 1.85e-06 2.6e-06 1.9e-06 2.05e-06 1.25e-06 1.9e-06 2.35e-06 2e-06 1.85e-06 1.55e-06 1.15e-06 1.8e-06 1.9e-06 2.15e-06 2.45e-06 1.45e-06 1.25e-06 2.35e-06 1.2e-06 2.05e-06 2.25e-06 2.1e-06 1.6e-06 1.4e-06 1.35e-06 2.15e-06 8.5e-07 1.95e-06 2.3e-06 1e-06 1.45e-06 1.65e-06 2.8e-06 1.6e-06 1.75e-06 1.75e-06 1.6e-06 2.1e-06 1.85e-06 2.35e-06 1.5e-06 1.45e-06 1.7e-06 1.5e-06 1.9e-06 2.3e-06 2.75e-06 2.55e-06
17 2.95e-06 2.2e-06 2.25e-06 2.05e-06 2.55e-06 2.65e-06 1.8e-06 2.05e-06 2.6e-06 2.15e-06 2.1e-06 2.05e-06 1.95e-06 2.2e-06 2.4e-06 2.55e-06 1.7e-06 3.1e-06 2.45e-06 2.15e-06 2.15e-06 2.1e-06 2.8e-06 2e-06 1.9e-06 2.1e-06 2.7e-06 2.8e-06 1.85e-06 2.9e-06 2.1e-06 1.95e-06 2e-06 2.55e-06 2.35e-06 2.35e-06 1.95e-06 2.15e-06 2.4e-06 2.35e-06 2.3e-06 2.25e-06 1.75e-06 2.25e-06 2.25e-06 2.25e-06 2.5e-06 1.9e-06 1.9e-06 2.4e-06 1.95e-06 2.1e-06 2.55e-06 2.65e-06 2.3e-06 2.05e-06 1.75e-06 2.45e-06 1.6e-06 2.2e-06 2.25e-06 1.8e-06 1.85e-06 2.05e-06 2.9e-06 2e-06 2.2e-06 2.05e-06 1.95e-06 2.65e-06 1.8e-06 2.55e-06 1.95e-06 2.1e-06 2.1e-06 2.2e-06 1.85e-06 2.35e-06 2.9e-06 2.45e-06
18 2.45e-06 2.1e-06 2.4e-06 1.9e-06 1.65e-06 1.65e-06 2.55e-06 2.4e-06 1.9e-06 1.85e-06 2.25e-06 1.85e-06 2.1e-06 1.9e-06 2.55e-06 2e-06 1.95e-06 2.45e-06 2.7e-06 2e-06 2.25e-06 2.5e-06 2.45e-06 1.9e-06 1.8e-06 2.45e-06 2e-06 1.85e-06 2.55e-06 1.6e-06 2.2e-06 2.1e-06 2.15e-06 2.8e-06 2.1e-06 2.5e-06 1.7e-06 2.05e-06 2.3e-06 2.6e-06 2.15e-06 1.9e-06 1.6e-06 2.1e-06 2.3e-06 2.35e-06 2.7e-06 2.25e-06 1.55e-06 2.75e-06 1.75e-06 2.7e-06 1.95e-06 1.55e-06 2e-06 1.75e-06 2.45e-06 1.95e-06 1.85e-06 1.95e-06 2.7e-06 2.05e-06 2.15e-06 1.8e-06 2.65e-06 2.25e-06 2.05e-06 2e-06 2.15e-06 1.7e-06 2.55e-06 1.85e-06 2.3e-06 1.7e-06 2.05e-06 1.9e-06 2.55e-06 2.75e-06 2.35e-06 3e-06
19 2.4e-06 8e-07 1.9e-06 1.2e-06 2.4e-06 1.35e-06 1.95e-06 2e-06 1.45e-06 1.35e-06 2.3e-06 1.7e-06 2.25e-06 1.45e-06 2.15e-06 2.4e-06 1.7e-06 2.15e-06 2e-06 8e-07 1.6e-06 2.2e-06 2.45e-06 1.2e-06 1.25e-06 1.2e-06 1.55e-06 2.35e-06 2.8e-06 2.55e-06 2e-06 1.6e-06 1.25e-06 2e-06 1.65e-06 2.15e-06 1.2e-06 1.75e-06 2.8e-06 1.8e-06 1.3e-06 2.25e-06 1.6e-06 1.4e-06 2.2e-06 1.65e-06 1.7e-06 2.35e-06 1.5e-06 2.6e-06 1.55e-06 2.7e-06 1.75e-06 2e-06 2.15e-06 2e-06 2.6e-06 2.7e-06 1.6e-06 1.35e-06 2.55e-06 1.8e-06 2.4e-06 1.45e-06 3.05e-06 2.55e-06 1.35e-06 1.75e-06 2.15e-06 1.55e-06 1.95e-06 1.9e-06 2.4e-06 1.65e-06 1.45e-06 1.3e-06 2.2e-06 1.55e-06 2.25e-06 2.55e-06
20 2.55e-06 2e-06 1.7e-06 1.9e-06 2.6e-06 2.05e-06 2.2e-06 2.25e-06 2.35e-06 1.75e-06 1.75e-06 2.15e-06 2.15e-06 2.1e-06 2.1e-06 2.25e-06 1.85e-06 2.15e-06 2.25e-06 1.6e-06 2.6e-06 1.7e-06 2.5e-06 1.9e-06 1.85e-06 1.95e-06 2.45e-06 2.55e-06 2.35e-06 2.7e-06 1.75e-06 1.4e-06 2.05e-06 2.4e-06 2.2e-06 2.15e-06 1.65e-06 2.15e-06 2.7e-06 2e-06 2.05e-06 2.3e-06 1.55e-06 2.05e-06 1.75e-06 1.75e-06 2.2e-06 2.1e-06 1.75e-06 1.7e-06 1.85e-06 1.9e-06 2.45e-06 2.45e-06 2.15e-06 2e-06 2.15e-06 2.15e-06 1.75e-06 1.95e-06 1.35e-06 1.95e-06 2.1e-06 2e-06 2.35e-06 2.25e-06 2e-06 2.25e-06 2.05e-06 2.15e-06 2.2e-06 2.4e-06 2.15e-06 1.85e-06 2e-06 1.75e-06 2.35e-06 2.1e-06 2.45e-06 1.75e-06
21 2.75e-06 2.2e-06 1.75e-06 2.2e-06 2.7e-06 2.6e-06 2.4e-06 2.5e-06 2.5e-06 2.2e-06 1.95e-06 2.25e-06 2.35e-06 2.4e-06 2.25e-06 2.5e-06 2.15e-06 2.1e-06 2.5e-06 2.2e-06 1.7e-06 2.5e-06 2.6e-06 2.15e-06 2.05e-06 1.9e-06 2.6e-06 2.75e-06 2.6e-06 2.7e-06 2.05e-06 1.65e-06 2e-06 2.45e-06 2.35e-06 2.35e-06 2.15e-06 2.15e-06 3e-06 2.25e-06 2.3e-06 2.5e-06 1.75e-06 2.25e-06 1.9e-06 1.9e-06 2.35e-06 2.35e-06 2.2e-06 1.85e-06 2.15e-06 2.1e-06 2.45e-06 2.7e-06 2.3e-06 2.2e-06 2.4e-06 2.3e-06 2.05e-06 2e-06 1.4e-06 2.25e-06 2.35e-06 2.2e-06 2.55e-06 2.5e-06 2.2e-06 2.3e-06 2.55e-06 2.65e-06 2.4e-06 2.1e-06 2.4e-06 2.25e-06 2.1e-06 2.25e-06 2.5e-06 2.2e-06 2.65e-06 1.8e-06
22 2.25e-06 2.3e-06 2.4e-06 2.45e-06 2.4e-06 2.45e-06 2.75e-06 2.7e-06 2.25e-06 2.5e-06 2.6e-06 2.3e-06 2.75e-06 2.3e-06 2.25e-06 2.35e-06 2.75e-06 2.8e-06 2.45e-06 2.45e-06 2.5e-06 2.6e-06 4e-06 2.5e-06 2.4e-06 2.4e-06 2.35e-06 2.5e-06 3.1e-06 2.1e-06 2.45e-06 2.35e-06 2.25e-06 2.1e-06 2.5e-06 2.5e-06 2.6e-06 2.35e-06 2.8e-06 2.45e-06 2.5e-06 2.65e-06 2.45e-06 2.45e-06 2.4e-06 2.3e-06 2.25e-06 2.65e-06 2.6e-06 2.55e-06 2.75e-06 2.7e-06 2.3e-06 2.4e-06 2.55e-06 2.55e-06 2.9e-06 2.4e-06 2.65e-06 2.45e-06 2.4e-06 2.85e-06 2.85e-06 2.45e-06 2.45e-06 3e-06 2.4e-06 2.5e-06 2.85e-06 2.45e-06 2.75e-06 2.5e-06 2.7e-06 2.5e-06 2.4e-06 2.55e-06 2.75e-06 2.25e-06 2.2e-06 2.3e-06
