 slim_762134208 slim_762134140 slim_762134182 slim_762134184 slim_762134205 slim_762134171 slim_762134147 slim_762134201 slim_762134207 slim_762134176 slim_762134181 slim_762134206 slim_762134190 slim_762134172 slim_762134200 slim_762134199 slim_762134143 slim_762134153 slim_762134159 slim_762134148 slim_762134193 slim_762134169 slim_762134158 slim_762134170 slim_762134177 slim_762134173 slim_762134203 slim_762134163 slim_762134185 slim_762134142 slim_762134155 slim_762134168 slim_762134166 slim_762134195 slim_762134204 slim_762134152 slim_762134145 slim_762134149 slim_762134161 slim_762134189 slim_762134192 slim_762134146 slim_762134180 slim_762134197 slim_762134187 slim_762134198 slim_762134150 slim_762134179 slim_762134202 slim_762134156 slim_762134141 slim_762134157 slim_762134154 slim_762134151 slim_762134164 slim_762134188 slim_762134160 slim_762134194 slim_762134174 slim_762134186 slim_762134196 slim_762134175 slim_762134191 slim_762134165 slim_762134167 slim_762134162 slim_762134183 slim_762134144 slim_762134178
10 1.75e-06 1.3e-06 2.05e-06 1.9e-06 1.6e-06 1.05e-06 2e-06 9e-07 1.7e-06 1.8e-06 6e-07 1.45e-06 1.2e-06 1.15e-06 1.9e-06 1.75e-06 1.5e-06 1.75e-06 1.9e-06 1.65e-06 1.4e-06 2.05e-06 1.6e-06 1.75e-06 1.85e-06 1.95e-06 1.65e-06 1.5e-06 2.1e-06 1.45e-06 1.8e-06 1.75e-06 1.75e-06 1.65e-06 1.35e-06 1.85e-06 1.8e-06 1.55e-06 1.4e-06 1.5e-06 1e-06 1.85e-06 1e-06 1.6e-06 1.95e-06 1.55e-06 1.55e-06 1.4e-06 8.5e-07 1.85e-06 1.7e-06 1.45e-06 1.5e-06 1.75e-06 2e-06 1.9e-06 1.1e-06 1.6e-06 1.75e-06 1.5e-06 1.55e-06 1.8e-06 1.2e-06 1.9e-06 1.9e-06 1.2e-06 1.7e-06 1.6e-06 1.7e-06
11 9.5e-07 1.3e-06 1.5e-06 1.35e-06 8e-07 1.7e-06 1.45e-06 1.35e-06 1.2e-06 1.7e-06 1.45e-06 1.6e-06 1.65e-06 1.65e-06 1.65e-06 1.35e-06 1.15e-06 1.8e-06 1.85e-06 1.85e-06 1.45e-06 1.7e-06 1.2e-06 1.3e-06 1.6e-06 1.6e-06 1.55e-06 1.1e-06 1.7e-06 1.85e-06 1.6e-06 1e-06 1.6e-06 1e-06 1.55e-06 1.1e-06 1.2e-06 1.35e-06 1.55e-06 1.8e-06 1.5e-06 1.3e-06 1.5e-06 1.7e-06 1.9e-06 1.5e-06 1.35e-06 9.5e-07 1.55e-06 1.65e-06 9e-07 1.75e-06 1.5e-06 1.15e-06 1.45e-06 1.85e-06 1.1e-06 1.3e-06 1.7e-06 1.45e-06 1.25e-06 1e-06 1.3e-06 1.95e-06 1.7e-06 1.25e-06 9e-07 1.6e-06 1.25e-06
12 1.85e-06 1.4e-06 2.05e-06 1.95e-06 1.65e-06 1.45e-06 2.05e-06 1.35e-06 1.85e-06 1.8e-06 1.2e-06 1.65e-06 1.9e-06 1.7e-06 1.9e-06 1.85e-06 1.6e-06 2e-06 2.05e-06 1.55e-06 1.7e-06 2e-06 1.7e-06 1.55e-06 1.5e-06 1.9e-06 1.5e-06 1.75e-06 2.05e-06 1.65e-06 1.5e-06 1.8e-06 1.45e-06 1.8e-06 1.8e-06 1.95e-06 1.8e-06 1.65e-06 1.75e-06 1.55e-06 1.1e-06 1.85e-06 1.1e-06 1.85e-06 2.1e-06 1.75e-06 1.65e-06 1.7e-06 1.35e-06 1.55e-06 1.8e-06 1.5e-06 1.2e-06 1.6e-06 2e-06 2.05e-06 1.6e-06 1.65e-06 1.45e-06 1.85e-06 1.35e-06 1.9e-06 1.35e-06 2.1e-06 1.55e-06 1.6e-06 1.8e-06 1.55e-06 1.55e-06
13 1.85e-06 1.85e-06 1.65e-06 1.8e-06 1.7e-06 1.05e-06 1.9e-06 1.3e-06 1.7e-06 1.7e-06 1.15e-06 1.65e-06 1.7e-06 1.8e-06 1.8e-06 1.7e-06 1.65e-06 1.8e-06 1.3e-06 1.95e-06 1.6e-06 1.6e-06 1.7e-06 1.95e-06 1.75e-06 1.55e-06 1.75e-06 1.8e-06 1.55e-06 1.95e-06 1.65e-06 1.7e-06 1.95e-06 1.8e-06 1.5e-06 1.7e-06 1.6e-06 1.5e-06 1.3e-06 1.55e-06 1.55e-06 1.75e-06 1.55e-06 1.55e-06 1.3e-06 1.7e-06 1.5e-06 1.4e-06 1.15e-06 1.85e-06 1.8e-06 1.5e-06 1.75e-06 1.7e-06 1.65e-06 1.3e-06 1.4e-06 1.6e-06 1.85e-06 1.75e-06 1.8e-06 1.9e-06 1.6e-06 1.8e-06 1.9e-06 1.3e-06 1.8e-06 1.8e-06 1.75e-06
14 1.9e-06 2e-06 1.4e-06 1.3e-06 1.55e-06 1.75e-06 1.4e-06 2e-06 1.75e-06 1.5e-06 1.9e-06 1.65e-06 1.9e-06 1.8e-06 9e-07 1e-06 1.75e-06 2.15e-06 1.45e-06 2e-06 2e-06 8.5e-07 1.5e-06 1.9e-06 1.4e-06 7.5e-07 1.45e-06 1.9e-06 1.25e-06 2.15e-06 1.35e-06 1.5e-06 1.05e-06 1.65e-06 1.95e-06 1.7e-06 1.35e-06 1.4e-06 1.65e-06 1.8e-06 1.75e-06 1.05e-06 1.75e-06 1.85e-06 1.5e-06 2e-06 1.4e-06 1.6e-06 1.6e-06 1.05e-06 1.85e-06 1.75e-06 1.55e-06 1.4e-06 1.35e-06 1.45e-06 1.9e-06 1.45e-06 1.6e-06 2e-06 1.55e-06 1.95e-06 1.9e-06 1.85e-06 1.1e-06 1.65e-06 1.85e-06 1.15e-06 1.65e-06
15 1.7e-06 1.8e-06 1.25e-06 1.45e-06 1.3e-06 1.75e-06 1.55e-06 1.85e-06 1.55e-06 1.45e-06 1.75e-06 1.35e-06 1.85e-06 1.7e-06 1e-06 1.8e-06 1.65e-06 2.1e-06 1.5e-06 2.05e-06 1.9e-06 1.05e-06 1.4e-06 1.75e-06 1.45e-06 1e-06 1.45e-06 1.5e-06 1.25e-06 2.05e-06 1.35e-06 1.25e-06 1.4e-06 1.2e-06 1.9e-06 1.5e-06 1.25e-06 1.15e-06 1.45e-06 1.7e-06 1.7e-06 1.15e-06 1.7e-06 1.65e-06 1.55e-06 1.9e-06 1.15e-06 1.4e-06 1.55e-06 1.2e-06 1.65e-06 1.65e-06 1.55e-06 1.3e-06 1.2e-06 1.5e-06 1.6e-06 1.25e-06 1.6e-06 1.9e-06 1.25e-06 1.75e-06 1.7e-06 1.9e-06 1.35e-06 1.3e-06 1.65e-06 1.25e-06 1.45e-06
16 1e-06 1.25e-06 1.5e-06 1.35e-06 9e-07 1.6e-06 1.45e-06 1.4e-06 1.25e-06 1.45e-06 1.5e-06 1.15e-06 1.6e-06 1.65e-06 1.75e-06 1.65e-06 1.8e-06 1.75e-06 1.65e-06 1.8e-06 1.5e-06 1.6e-06 1.15e-06 1.25e-06 1.45e-06 1.5e-06 1.4e-06 1.35e-06 1.5e-06 1.85e-06 1.45e-06 1.15e-06 1.65e-06 1.35e-06 1.6e-06 1.2e-06 1.15e-06 1.25e-06 1.55e-06 1.7e-06 1.5e-06 1.35e-06 1.5e-06 1.65e-06 1.7e-06 1.35e-06 1.25e-06 1.3e-06 1.65e-06 1.6e-06 9.5e-07 1.65e-06 1.2e-06 1.2e-06 1.45e-06 1.65e-06 1.45e-06 1.15e-06 1.5e-06 1.7e-06 1.5e-06 1.05e-06 1.4e-06 1.85e-06 1.65e-06 1.45e-06 1e-06 1.6e-06 1.15e-06
17 1.75e-06 1.75e-06 2.05e-06 1.8e-06 1.9e-06 1.7e-06 1.85e-06 1.7e-06 1.55e-06 2.15e-06 1.75e-06 1.8e-06 2e-06 1.8e-06 2.15e-06 2.1e-06 1.75e-06 2.6e-06 2e-06 1.95e-06 1.55e-06 2.05e-06 2.1e-06 1.9e-06 2.1e-06 1.95e-06 2e-06 1.85e-06 2.1e-06 1.95e-06 2.1e-06 1.9e-06 2.25e-06 2.15e-06 1.6e-06 1.6e-06 1.95e-06 1.95e-06 1.95e-06 2.05e-06 1.95e-06 2e-06 1.95e-06 1.7e-06 2.05e-06 1.75e-06 1.95e-06 1.45e-06 1.65e-06 2.15e-06 1.75e-06 2e-06 2.1e-06 1.9e-06 2e-06 2e-06 1.65e-06 1.95e-06 2.25e-06 1.65e-06 2.15e-06 1.8e-06 1.95e-06 1.95e-06 2.15e-06 1.75e-06 1.75e-06 2.05e-06 2.15e-06
18 1.9e-06 2.2e-06 9e-07 1.6e-06 1.6e-06 1.2e-06 1.7e-06 1.85e-06 1.75e-06 1.1e-06 1.9e-06 1.85e-06 2.05e-06 1.3e-06 1.45e-06 1.5e-06 1.65e-06 2e-06 8e-07 2.2e-06 1.95e-06 7.5e-07 1.55e-06 1.95e-06 1.3e-06 8e-07 1.45e-06 2.15e-06 5.5e-07 2.3e-06 1.1e-06 1.45e-06 1.9e-06 1.85e-06 1.85e-06 1.6e-06 1.1e-06 1.2e-06 1.2e-06 1.35e-06 1.95e-06 1.4e-06 1.95e-06 1.5e-06 5.5e-07 1.8e-06 1.2e-06 1.6e-06 1.5e-06 1.45e-06 1.85e-06 1.3e-06 1.65e-06 1.4e-06 9.5e-07 5e-07 2.1e-06 1.25e-06 1.55e-06 2.2e-06 1.9e-06 1.95e-06 1.95e-06 1.6e-06 1.6e-06 1.5e-06 1.85e-06 1.6e-06 1.45e-06
19 2.05e-06 1.95e-06 2.25e-06 2.1e-06 1.9e-06 1.9e-06 2.2e-06 1.85e-06 2.1e-06 2.05e-06 1.65e-06 1.85e-06 1.55e-06 1.95e-06 2e-06 2.05e-06 1.8e-06 1.95e-06 2.2e-06 2.2e-06 1.6e-06 2.15e-06 1.9e-06 1.7e-06 1.65e-06 2.05e-06 1.75e-06 2e-06 2.2e-06 1.55e-06 1.65e-06 2.05e-06 1.55e-06 2.05e-06 1.65e-06 2.15e-06 2e-06 1.95e-06 2e-06 2.15e-06 1.4e-06 2.05e-06 1.4e-06 1.9e-06 2.25e-06 1.75e-06 1.95e-06 1.8e-06 1.9e-06 1.7e-06 2e-06 2.1e-06 1.4e-06 1.8e-06 2.2e-06 2.2e-06 1.8e-06 1.9e-06 1.65e-06 1.4e-06 1.55e-06 2.1e-06 1.95e-06 1.7e-06 1.7e-06 2e-06 2e-06 2.05e-06 1.75e-06
20 1.8e-06 1.6e-06 2.1e-06 1.9e-06 1.85e-06 1.55e-06 2e-06 1.55e-06 1.75e-06 1.95e-06 1.4e-06 1.45e-06 1.7e-06 1.6e-06 2e-06 1.9e-06 1.5e-06 1.55e-06 1.95e-06 1.6e-06 1.9e-06 2.1e-06 1.75e-06 1.8e-06 1.9e-06 2e-06 1.85e-06 1.55e-06 2.05e-06 1.65e-06 1.9e-06 1.95e-06 1.85e-06 1.85e-06 1.05e-06 1.85e-06 1.9e-06 1.8e-06 1.75e-06 1.9e-06 1.6e-06 2.05e-06 1.6e-06 1.55e-06 2e-06 1.45e-06 1.8e-06 1.15e-06 1.6e-06 2.05e-06 1.75e-06 1.85e-06 1.65e-06 1.9e-06 2.05e-06 1.95e-06 1.25e-06 1.75e-06 1.85e-06 1.15e-06 1.7e-06 1.85e-06 1.75e-06 1.75e-06 2.05e-06 1.75e-06 1.75e-06 2e-06 1.85e-06
21 1.75e-06 2.05e-06 8e-07 1.25e-06 1.35e-06 1.5e-06 1.35e-06 2e-06 1.6e-06 1.05e-06 2.05e-06 1.7e-06 2e-06 1.6e-06 8.5e-07 1.05e-06 1.6e-06 2.05e-06 7.5e-07 2.15e-06 2.1e-06 9e-07 1.4e-06 1.8e-06 1.15e-06 4.5e-07 1.25e-06 2e-06 5.5e-07 2.25e-06 1e-06 1.2e-06 1.5e-06 1.6e-06 2.05e-06 1.45e-06 9.5e-07 1.05e-06 1.35e-06 1.45e-06 1.9e-06 9.5e-07 1.9e-06 1.55e-06 8e-07 1.85e-06 1.05e-06 1.6e-06 1.55e-06 1e-06 1.7e-06 1.4e-06 1.5e-06 1.15e-06 8e-07 7.5e-07 2.15e-06 1.1e-06 1.45e-06 2.25e-06 1.65e-06 1.8e-06 1.9e-06 1.65e-06 1.15e-06 1.45e-06 1.7e-06 1.15e-06 1.35e-06
22 1.2e-06 1.45e-06 1.3e-06 1.55e-06 7.5e-07 1.7e-06 1.65e-06 1.55e-06 1.4e-06 1.25e-06 1.6e-06 1.2e-06 1.7e-06 1.7e-06 1.5e-06 1.4e-06 1.15e-06 2.1e-06 1.55e-06 1.9e-06 1.75e-06 1.4e-06 1.5e-06 1.45e-06 1.3e-06 1.3e-06 1.35e-06 1.45e-06 1.25e-06 1.85e-06 1.3e-06 1e-06 1.5e-06 1.1e-06 1.75e-06 1.35e-06 9e-07 1.1e-06 1.45e-06 1.65e-06 1.55e-06 1.15e-06 1.55e-06 1.65e-06 1.6e-06 1.4e-06 1.1e-06 1.6e-06 1.75e-06 1.45e-06 1.15e-06 1.6e-06 1.2e-06 1.15e-06 1.25e-06 1.55e-06 1.6e-06 1.05e-06 1.4e-06 1.9e-06 1.35e-06 1.25e-06 1.35e-06 1.8e-06 1.6e-06 1.4e-06 1.15e-06 1.45e-06 1e-06
23 1.1e-06 1.45e-06 1.7e-06 1.5e-06 1.05e-06 1.9e-06 1.55e-06 1.6e-06 1.35e-06 1.75e-06 1.75e-06 1.3e-06 1.55e-06 1.95e-06 1.9e-06 1.75e-06 1.25e-06 1.9e-06 1.95e-06 1.7e-06 1.8e-06 1.8e-06 1.45e-06 2.1e-06 1.45e-06 1.75e-06 1.55e-06 1.45e-06 1.8e-06 2.05e-06 1.4e-06 1.3e-06 1.55e-06 1.45e-06 1.9e-06 1.3e-06 1.4e-06 1.55e-06 1.8e-06 1.95e-06 1.45e-06 1.5e-06 1.45e-06 1.9e-06 2e-06 1.65e-06 1.55e-06 1.45e-06 1.85e-06 1.45e-06 1.1e-06 1.9e-06 1.3e-06 1.25e-06 1.65e-06 1.95e-06 1.6e-06 1.45e-06 1.5e-06 1.85e-06 1.35e-06 1.15e-06 1.6e-06 2.1e-06 1.55e-06 1.6e-06 1.1e-06 1.8e-06 1.2e-06
24 1.7e-06 1.8e-06 1.25e-06 1.6e-06 1.35e-06 1.65e-06 1.7e-06 1.9e-06 1.65e-06 1.25e-06 1.85e-06 1.6e-06 1.5e-06 1.75e-06 1.4e-06 1.45e-06 1.45e-06 2.1e-06 1.3e-06 1.65e-06 1.9e-06 1.15e-06 1.3e-06 1.45e-06 1.7e-06 1.05e-06 1.15e-06 1.85e-06 1.05e-06 2.05e-06 9.5e-07 1.35e-06 1.2e-06 1.6e-06 1.95e-06 1.6e-06 1.15e-06 1.2e-06 1.55e-06 1.65e-06 1.4e-06 1.35e-06 1.35e-06 1.7e-06 1.35e-06 1.75e-06 1.2e-06 1.65e-06 1.75e-06 1.1e-06 1.65e-06 1.6e-06 1e-06 1.15e-06 1.2e-06 1.3e-06 1.95e-06 1.2e-06 1.15e-06 2.05e-06 1.25e-06 1.75e-06 1.8e-06 1.75e-06 1.1e-06 1.6e-06 1.65e-06 1.45e-06 1.2e-06
25 1.65e-06 1.95e-06 8e-07 1.15e-06 1.25e-06 1.45e-06 1.25e-06 1.9e-06 1.5e-06 1.05e-06 1.95e-06 1.6e-06 1.9e-06 1.55e-06 7.5e-07 1e-06 1.5e-06 1.95e-06 8e-07 2.05e-06 2e-06 4.5e-07 1.3e-06 1.75e-06 1.05e-06 7e-07 1.15e-06 1.95e-06 5.5e-07 2.15e-06 1e-06 1.1e-06 1.4e-06 1.55e-06 1.95e-06 1.35e-06 8.5e-07 1e-06 1.35e-06 1.45e-06 1.8e-06 8.5e-07 1.8e-06 1.5e-06 8.5e-07 1.75e-06 1e-06 1.5e-06 1.45e-06 9.5e-07 1.6e-06 1.4e-06 1.4e-06 1.05e-06 7.5e-07 8e-07 2.05e-06 1.05e-06 1.45e-06 2.15e-06 1.6e-06 1.7e-06 1.8e-06 1.55e-06 1.05e-06 1.4e-06 1.6e-06 1.05e-06 1.35e-06
26 1.65e-06 1.6e-06 1.3e-06 1.6e-06 1.3e-06 1.6e-06 1.7e-06 1.75e-06 1.6e-06 1.05e-06 1.65e-06 1.55e-06 1.5e-06 1.75e-06 1.45e-06 1.45e-06 1.4e-06 2e-06 1.45e-06 1.75e-06 1.85e-06 1.25e-06 1.35e-06 1.55e-06 1.15e-06 1.15e-06 1.6e-06 1.75e-06 1.2e-06 1.9e-06 1.15e-06 1.3e-06 1.4e-06 1.55e-06 1.95e-06 1.6e-06 1.2e-06 1.2e-06 1.55e-06 1.6e-06 1.4e-06 1.35e-06 1.4e-06 1.7e-06 1.5e-06 1.7e-06 1.2e-06 1.6e-06 1.65e-06 1.25e-06 1.6e-06 1.55e-06 1.1e-06 1.05e-06 1.2e-06 1.45e-06 1.85e-06 1.15e-06 1.3e-06 2e-06 1.35e-06 1.7e-06 1.65e-06 1.75e-06 1.3e-06 1.55e-06 1.6e-06 1.35e-06 1.35e-06
