 slim_762355323 slim_762355310 slim_762355328 slim_762355314 slim_762355316 slim_762355317 slim_762355326 slim_762355338 slim_762355312 slim_762355341 slim_762355324 slim_762355329 slim_762355347 slim_762355315 slim_762355303 slim_762355331 slim_762355319 slim_762355333 slim_762355322 slim_762355327 slim_762355309 slim_762355348 slim_762355308 slim_762355306 slim_762355342 slim_762355343 slim_762355325 slim_762355313 slim_762355337 slim_762355321 slim_762355335 slim_762355307 slim_762355305 slim_762355344 slim_762355320 slim_762355302 slim_762355345 slim_762355311 slim_762355340 slim_762355349 slim_762355346 slim_762355318 slim_762355334 slim_762355330 slim_762355336 slim_762355304 slim_762355332 slim_762355339
11 2.4e-06 1.3e-06 1.3e-06 2e-06 2.3e-06 2.45e-06 1.2e-06 1.2e-06 2.2e-06 1.1e-06 6e-07 4e-07 2.2e-06 2.4e-06 1.3e-06 2.05e-06 1.25e-06 2e-07 3e-07 2.3e-06 3.5e-07 2e-06 1.1e-06 1.2e-06 5.5e-07 1.05e-06 6e-07 1.05e-06 3.5e-07 1.3e-06 7e-07 1.45e-06 2e-07 2.1e-06 9e-07 3e-07 1.6e-06 3e-07 1.05e-06 1.7e-06 3.5e-07 4e-07 3.5e-07 1.25e-06 9.5e-07 9e-07 1.6e-06 1.35e-06
12 3e-07 1.2e-06 1.2e-06 1.55e-06 9e-07 9e-07 1.1e-06 2.15e-06 1e-07 2.6e-06 2.35e-06 2.2e-06 2e-07 1.1e-06 1.2e-06 6e-07 1.15e-06 2.1e-06 2.15e-06 2.35e-06 2.25e-06 9e-07 1.95e-06 1.1e-06 2.35e-06 1.95e-06 2.35e-06 1.6e-06 2.25e-06 1.2e-06 2.45e-06 1.9e-06 2.1e-06 6e-07 2.45e-06 2.25e-06 1.35e-06 2.2e-06 2.6e-06 1.3e-06 2.3e-06 2.3e-06 2.25e-06 1.15e-06 2.25e-06 2.2e-06 2.05e-06 1.3e-06
13 1.2e-06 1.8e-06 1.8e-06 1.25e-06 7.5e-07 8e-07 1.7e-06 2.5e-06 1e-06 3e-06 2.6e-06 2.4e-06 1.1e-06 1e-06 1.8e-06 1.15e-06 1.75e-06 2.4e-06 2.4e-06 2.15e-06 2.45e-06 1.3e-06 2.3e-06 1.7e-06 2.65e-06 2.05e-06 2.6e-06 1.85e-06 2.55e-06 1.8e-06 2.7e-06 1.5e-06 2.4e-06 1.1e-06 2.85e-06 2.55e-06 1.9e-06 2.5e-06 3e-06 1.95e-06 2.6e-06 2.6e-06 2.55e-06 1.75e-06 2.45e-06 2.4e-06 1.75e-06 1.95e-06
14 1.35e-06 1.25e-06 1.25e-06 1.8e-06 1.65e-06 1.7e-06 1.15e-06 1.75e-06 1.15e-06 1.9e-06 1.45e-06 1.3e-06 1.2e-06 1.8e-06 2.3e-06 1.35e-06 1.2e-06 1.15e-06 1.2e-06 2.4e-06 1.4e-06 1.45e-06 1.5e-06 1.15e-06 1.4e-06 1.45e-06 1.45e-06 1.35e-06 1.2e-06 1.25e-06 1.55e-06 1.7e-06 1.15e-06 1.35e-06 1.75e-06 1.3e-06 1.45e-06 1.25e-06 1.9e-06 1.5e-06 1.25e-06 1.35e-06 1.3e-06 1.2e-06 1.65e-06 1.6e-06 1.85e-06 1.2e-06
15 7.5e-07 1.35e-06 1.35e-06 1.6e-06 1.05e-06 1.1e-06 1.25e-06 2.1e-06 5.5e-07 2.5e-06 2.2e-06 2.05e-06 6e-07 1.15e-06 1.35e-06 1.1e-06 1.3e-06 1.95e-06 2e-06 2.3e-06 2.1e-06 1.05e-06 1.9e-06 1.25e-06 2.2e-06 1.8e-06 2.2e-06 1.25e-06 2.1e-06 1.35e-06 2.3e-06 1.8e-06 1.95e-06 6e-07 2.35e-06 2.1e-06 1.5e-06 2.05e-06 2.5e-06 1.55e-06 2.15e-06 2.15e-06 2.1e-06 1.3e-06 2.15e-06 2.1e-06 1.95e-06 1.45e-06
16 1.3e-06 1.2e-06 1.15e-06 1.75e-06 1.6e-06 1.65e-06 1.1e-06 1.75e-06 1.1e-06 1.85e-06 1.4e-06 1.25e-06 1.15e-06 1.75e-06 1.2e-06 1.3e-06 2.2e-06 1.1e-06 1.1e-06 2.35e-06 1.35e-06 1.4e-06 1.45e-06 1.1e-06 1.4e-06 1.45e-06 1.4e-06 1.3e-06 1.25e-06 1.2e-06 1.5e-06 1.65e-06 1.1e-06 1.3e-06 1.7e-06 1.25e-06 1.4e-06 1.2e-06 1.85e-06 1.45e-06 1.3e-06 1.25e-06 1.25e-06 1.15e-06 1.6e-06 1.55e-06 1.8e-06 1.3e-06
17 2.3e-06 1.15e-06 1.15e-06 1.9e-06 2.25e-06 2.4e-06 1.05e-06 1.25e-06 2.1e-06 1e-06 4e-07 2e-07 2.1e-06 2.4e-06 1.15e-06 1.95e-06 1.1e-06 0.0 1e-07 2.3e-06 3.5e-07 1.85e-06 9.5e-07 1.05e-06 3.5e-07 8.5e-07 4e-07 9e-07 1.5e-07 1.15e-06 5e-07 1.35e-06 0.0 2e-06 8.5e-07 1.5e-07 1.45e-06 1e-07 1e-06 1.55e-06 2e-07 2e-07 1.5e-07 1.1e-06 9e-07 8.5e-07 1.5e-06 1.2e-06
18 2.3e-06 1.2e-06 1.15e-06 1.95e-06 2.3e-06 2.4e-06 1.1e-06 1.35e-06 2.1e-06 1.1e-06 4.5e-07 3e-07 2.15e-06 2.4e-06 1.2e-06 2e-06 1.1e-06 1e-07 2e-07 2.35e-06 4.5e-07 1.9e-06 9.5e-07 1.1e-06 4.5e-07 9.5e-07 4.5e-07 1e-06 2.5e-07 1.2e-06 5.5e-07 1.4e-06 1e-07 2e-06 9.5e-07 2.5e-07 1.45e-06 2e-07 1.1e-06 1.6e-06 3e-07 2.5e-07 2.5e-07 1.15e-06 9.5e-07 9e-07 1.55e-06 1.3e-06
19 2.5e-06 2.4e-06 2.4e-06 2.4e-06 2.15e-06 2.2e-06 2.3e-06 2.2e-06 2.3e-06 2.2e-06 2.5e-06 2.3e-06 2.35e-06 2.15e-06 2.4e-06 2.3e-06 2.35e-06 2.3e-06 2.35e-06 3.8e-06 2.4e-06 2.45e-06 2.4e-06 2.3e-06 2.6e-06 2.5e-06 2.5e-06 2.3e-06 2.45e-06 2.4e-06 2.6e-06 2.2e-06 2.3e-06 2.3e-06 2.15e-06 2.45e-06 2.5e-06 2.4e-06 2.3e-06 2.5e-06 2.5e-06 2.5e-06 2.45e-06 2.35e-06 2.45e-06 2.4e-06 2.2e-06 2.5e-06
20 2.45e-06 1.4e-06 1.4e-06 2.05e-06 2.35e-06 2.5e-06 1.3e-06 1.25e-06 2.25e-06 1.25e-06 7.5e-07 3.5e-07 2.25e-06 2.45e-06 1.4e-06 2.1e-06 1.35e-06 3.5e-07 4.5e-07 2.4e-06 7e-07 2.05e-06 1.15e-06 1.3e-06 7e-07 1.15e-06 7.5e-07 1.15e-06 5e-07 1.4e-06 8.5e-07 1.55e-06 3.5e-07 2.15e-06 1.05e-06 4.5e-07 1.7e-06 4.5e-07 1.2e-06 1.75e-06 5e-07 5.5e-07 5e-07 1.35e-06 1e-06 9.5e-07 1.7e-06 1.45e-06
21 1.05e-06 1.45e-06 1.45e-06 1.5e-06 1.2e-06 1.25e-06 1.35e-06 2.45e-06 8.5e-07 2.6e-06 2.15e-06 2e-06 9e-07 1.3e-06 1.45e-06 1.05e-06 1.4e-06 1.85e-06 1.9e-06 2.45e-06 2.05e-06 1.7e-06 2.1e-06 1.35e-06 2.15e-06 1.4e-06 2.15e-06 1.55e-06 2e-06 1.45e-06 2.25e-06 1.75e-06 1.85e-06 1.05e-06 2.45e-06 2e-06 1.65e-06 1.95e-06 2.6e-06 1.6e-06 2.05e-06 2.05e-06 2e-06 1.4e-06 2.3e-06 2.25e-06 1.9e-06 1.55e-06
22 2.05e-06 1.5e-06 1.5e-06 2.3e-06 2.25e-06 2.25e-06 1.4e-06 1.55e-06 1.85e-06 1.7e-06 9e-07 1.1e-06 1.95e-06 2.3e-06 1.5e-06 1.9e-06 1.45e-06 9.5e-07 9.5e-07 2.4e-06 1.15e-06 2.1e-06 1.5e-06 1.4e-06 1.05e-06 1.7e-06 9e-07 1.45e-06 1.1e-06 1.5e-06 1e-06 1.8e-06 9.5e-07 1.85e-06 1.55e-06 1.1e-06 1.35e-06 1.05e-06 1.7e-06 1.85e-06 1.15e-06 1.15e-06 1.1e-06 1.45e-06 1.25e-06 1.2e-06 1.85e-06 1.65e-06
23 1.25e-06 1.15e-06 1.15e-06 1.7e-06 1.55e-06 1.6e-06 1.05e-06 1.7e-06 1.05e-06 1.8e-06 1.35e-06 1.2e-06 1.1e-06 1.7e-06 1.15e-06 1.25e-06 1.1e-06 1.05e-06 1.1e-06 2.3e-06 1.3e-06 1.35e-06 1.4e-06 2.1e-06 1.35e-06 1.4e-06 1.35e-06 1.25e-06 1.2e-06 1.15e-06 1.45e-06 1.6e-06 1.05e-06 1.25e-06 1.65e-06 1.2e-06 1.35e-06 1.15e-06 1.8e-06 1.4e-06 1.25e-06 1.25e-06 1.2e-06 1.1e-06 1.55e-06 1.5e-06 1.75e-06 1.25e-06
24 2.55e-06 1.45e-06 1.45e-06 2.2e-06 2.5e-06 2.65e-06 1.35e-06 1.5e-06 2.35e-06 1.35e-06 5e-07 5.5e-07 2.35e-06 2.65e-06 1.4e-06 2.2e-06 1.4e-06 3.5e-07 4.5e-07 2.6e-06 7e-07 2.15e-06 1.05e-06 1.35e-06 7e-07 1.15e-06 5e-07 1.2e-06 4e-07 1.45e-06 6e-07 1.65e-06 3.5e-07 2.25e-06 1.2e-06 5e-07 1.55e-06 4.5e-07 1.35e-06 1.85e-06 5e-07 5.5e-07 5e-07 1.4e-06 1.2e-06 1.15e-06 1.8e-06 1.4e-06
25 2.15e-06 1.5e-06 1.5e-06 1.75e-06 1.95e-06 2.1e-06 1.4e-06 2e-06 1.95e-06 1.85e-06 1.25e-06 1.05e-06 1.95e-06 2.05e-06 1.45e-06 1.8e-06 1.45e-06 8.5e-07 9.5e-07 2.5e-06 1.15e-06 1.4e-06 1.7e-06 1.4e-06 1.15e-06 1.7e-06 1.25e-06 1.25e-06 9.5e-07 1.5e-06 1.35e-06 1.55e-06 8.5e-07 1.85e-06 1.7e-06 1e-06 1.8e-06 9.5e-07 1.85e-06 1.8e-06 1e-06 1.05e-06 1e-06 1.45e-06 1.7e-06 1.65e-06 1.7e-06 1.45e-06
26 2.5e-06 1.45e-06 1.45e-06 2.2e-06 2.5e-06 2.6e-06 1.35e-06 1.6e-06 2.3e-06 1.4e-06 4e-07 6e-07 2.35e-06 2.6e-06 1.45e-06 2.2e-06 1.4e-06 4e-07 4.5e-07 2.5e-06 7.5e-07 2.15e-06 9e-07 1.35e-06 5e-07 1.25e-06 8e-07 1.25e-06 5.5e-07 1.45e-06 5e-07 1.65e-06 4e-07 2.2e-06 1.25e-06 5.5e-07 1.4e-06 5e-07 1.4e-06 1.85e-06 6e-07 6e-07 5.5e-07 1.4e-06 1.1e-06 1.05e-06 1.7e-06 1.55e-06
27 1.8e-06 1.35e-06 1.35e-06 1.8e-06 1.75e-06 1.9e-06 1.25e-06 1.65e-06 1.6e-06 1.7e-06 1.25e-06 1.05e-06 1.6e-06 1.85e-06 1.35e-06 1.25e-06 1.3e-06 9e-07 1e-06 2.3e-06 1.15e-06 1.55e-06 1.45e-06 1.25e-06 1.2e-06 1.25e-06 1.25e-06 1.8e-06 1.05e-06 1.35e-06 1.35e-06 1.55e-06 9e-07 1.35e-06 1.55e-06 1.05e-06 1.6e-06 1e-06 1.7e-06 1.7e-06 1.1e-06 1.1e-06 1.05e-06 1.3e-06 1.5e-06 1.45e-06 1.7e-06 1.4e-06
28 2.45e-06 1.3e-06 1.3e-06 2.05e-06 2.4e-06 2.55e-06 1.2e-06 1.35e-06 2.25e-06 1.15e-06 5.5e-07 3.5e-07 2.25e-06 2.55e-06 1.2e-06 2.1e-06 1.25e-06 1.5e-07 2.5e-07 2.45e-06 5e-07 2e-06 1.1e-06 1.2e-06 4e-07 9.5e-07 5.5e-07 1.05e-06 3e-07 1.3e-06 6.5e-07 1.5e-06 1.5e-07 2.15e-06 1e-06 3e-07 1.6e-06 2.5e-07 1.15e-06 1.7e-06 2.5e-07 3.5e-07 3e-07 1.25e-06 1.05e-06 1e-06 1.65e-06 1.2e-06
29 1.35e-06 1.25e-06 1.25e-06 1.8e-06 1.65e-06 1.7e-06 1.15e-06 1.8e-06 1.15e-06 1.9e-06 1.45e-06 1.3e-06 1.2e-06 1.8e-06 1.25e-06 1.35e-06 1.2e-06 1.15e-06 1.2e-06 2.4e-06 1.4e-06 1.45e-06 1.5e-06 1.15e-06 1.45e-06 1.5e-06 1.45e-06 1.35e-06 1.3e-06 2.3e-06 1.55e-06 1.7e-06 1.15e-06 1.35e-06 1.75e-06 1.3e-06 1.45e-06 1.25e-06 1.9e-06 1.5e-06 1.35e-06 1.35e-06 1.3e-06 1.2e-06 1.65e-06 1.6e-06 1.85e-06 1.35e-06
30 2.6e-06 1.55e-06 1.55e-06 2.3e-06 2.6e-06 2.7e-06 1.45e-06 1.7e-06 2.4e-06 1.5e-06 5e-07 7e-07 2.45e-06 2.7e-06 1.55e-06 2.3e-06 1.5e-06 5e-07 5.5e-07 2.6e-06 8.5e-07 2.25e-06 1e-06 1.45e-06 6e-07 1.35e-06 5e-07 1.35e-06 6.5e-07 1.55e-06 1e-06 1.75e-06 5e-07 2.3e-06 1.35e-06 6.5e-07 1.5e-06 6e-07 1.5e-06 1.95e-06 7e-07 7e-07 6.5e-07 1.5e-06 1.2e-06 1.15e-06 1.8e-06 1.65e-06
31 2.05e-06 1.7e-06 1.7e-06 1.6e-06 1.55e-06 1.65e-06 1.6e-06 2.05e-06 1.85e-06 2.15e-06 1.65e-06 1.45e-06 1.9e-06 1.5e-06 1.7e-06 1.8e-06 1.65e-06 1.35e-06 1.4e-06 2.2e-06 1.55e-06 1.75e-06 1.8e-06 1.6e-06 1.65e-06 1.55e-06 1.65e-06 1.55e-06 1.5e-06 1.7e-06 1.75e-06 2.7e-06 1.35e-06 1.8e-06 2e-06 1.5e-06 1.9e-06 1.45e-06 2.15e-06 2e-06 1.55e-06 1.55e-06 1.5e-06 1.65e-06 1.85e-06 1.8e-06 1.6e-06 1.8e-06
32 2.3e-06 1.15e-06 1.15e-06 1.9e-06 2.25e-06 2.4e-06 1.05e-06 1.25e-06 2.1e-06 1e-06 4e-07 2e-07 2.1e-06 2.4e-06 1.15e-06 1.95e-06 1.1e-06 0.0 1e-07 2.3e-06 3.5e-07 1.85e-06 9.5e-07 1.05e-06 3.5e-07 8.5e-07 4e-07 9e-07 1.5e-07 1.15e-06 5e-07 1.35e-06 0.0 2e-06 8.5e-07 1.5e-07 1.45e-06 1e-07 1e-06 1.55e-06 2e-07 2e-07 1.5e-07 1.1e-06 9e-07 8.5e-07 1.5e-06 1.2e-06
33 7e-07 1.35e-06 1.35e-06 1.6e-06 1.05e-06 1.05e-06 1.25e-06 2.15e-06 5e-07 2.55e-06 2.2e-06 2.1e-06 6e-07 1.1e-06 1.35e-06 6e-07 1.3e-06 2e-06 2e-06 2.3e-06 2.15e-06 1.05e-06 1.85e-06 1.25e-06 2.25e-06 1.85e-06 2.2e-06 1.35e-06 2.15e-06 1.35e-06 2.3e-06 1.8e-06 2e-06 1e-06 2.4e-06 2.15e-06 1.45e-06 2.1e-06 2.55e-06 1.55e-06 2.2e-06 2.2e-06 2.15e-06 1.3e-06 2.15e-06 2.1e-06 1.95e-06 1.5e-06
34 2.65e-06 1.75e-06 1.75e-06 2.55e-06 2.7e-06 2.8e-06 1.65e-06 1.3e-06 2.45e-06 1.05e-06 1.25e-06 9e-07 2.45e-06 2.85e-06 1.75e-06 2.35e-06 1.7e-06 8.5e-07 9.5e-07 2.15e-06 1.05e-06 2.45e-06 1.55e-06 1.65e-06 1.2e-06 1.7e-06 1.25e-06 1.55e-06 1e-06 1.75e-06 1.35e-06 2e-06 8.5e-07 2.4e-06 1.7e-06 9.5e-07 2.05e-06 9.5e-07 1e-06 1.95e-06 1e-06 1.05e-06 1e-06 1.7e-06 1.5e-06 1.45e-06 2.15e-06 1.8e-06
35 2.45e-06 1.3e-06 1.3e-06 2.05e-06 2.4e-06 2.55e-06 1.2e-06 1.4e-06 2.25e-06 1.15e-06 5.5e-07 3e-07 2.25e-06 2.55e-06 1.3e-06 2.1e-06 1.25e-06 1.5e-07 2.5e-07 2.45e-06 4.5e-07 2e-06 1.1e-06 1.2e-06 5e-07 1e-06 5.5e-07 1.05e-06 3e-07 1.3e-06 6.5e-07 1.5e-06 1.5e-07 2.15e-06 9.5e-07 3e-07 1.6e-06 2.5e-07 1.1e-06 1.7e-06 3e-07 3.5e-07 3e-07 1.25e-06 1.05e-06 1e-06 1.6e-06 1.35e-06
36 1.45e-06 1.45e-06 1.45e-06 2e-06 1.8e-06 1.8e-06 1.35e-06 2.05e-06 1.25e-06 2.2e-06 1.4e-06 1.6e-06 1.35e-06 1.9e-06 1.45e-06 1.5e-06 1.4e-06 1.45e-06 1.45e-06 2.5e-06 1.7e-06 1.65e-06 1.35e-06 1.35e-06 1.55e-06 1.8e-06 1.4e-06 1.6e-06 1.6e-06 1.45e-06 1.5e-06 1.9e-06 1.45e-06 1.45e-06 2.05e-06 1.6e-06 2.5e-06 1.55e-06 2.2e-06 1.7e-06 1.65e-06 1.65e-06 1.6e-06 1.4e-06 1.75e-06 1.7e-06 1.95e-06 1.6e-06
37 2.4e-06 1.15e-06 1.25e-06 2e-06 2.35e-06 2.5e-06 1.15e-06 1.35e-06 2.2e-06 1.1e-06 5e-07 3e-07 2.2e-06 2.5e-06 1.25e-06 2.05e-06 1.2e-06 1e-07 2e-07 2.4e-06 4.5e-07 1.95e-06 1.05e-06 1.15e-06 4.5e-07 9.5e-07 5e-07 1e-06 2.5e-07 1.25e-06 6e-07 1.45e-06 1e-07 2.1e-06 9.5e-07 2.5e-07 1.55e-06 2e-07 1.1e-06 1.65e-06 3e-07 2e-07 2.5e-07 1.2e-06 1e-06 8.5e-07 1.6e-06 1.3e-06
38 2.8e-06 1.9e-06 1.9e-06 2.7e-06 2.85e-06 2.95e-06 1.8e-06 1.35e-06 2.6e-06 1.2e-06 1.4e-06 1.05e-06 2.6e-06 3e-06 1.9e-06 2.5e-06 1.85e-06 1e-06 1.1e-06 2.3e-06 1.2e-06 2.6e-06 1.7e-06 1.8e-06 1.35e-06 1.85e-06 1.4e-06 1.7e-06 1.15e-06 1.9e-06 1.5e-06 2.15e-06 1e-06 2.55e-06 1e-06 1.1e-06 2.2e-06 1.1e-06 2e-06 2.1e-06 1.15e-06 1.2e-06 1.15e-06 1.85e-06 1.65e-06 1.6e-06 2.3e-06 1.95e-06
39 1.45e-06 1.5e-06 1.5e-06 1.95e-06 1.8e-06 1.85e-06 1.4e-06 2.15e-06 1.25e-06 2.1e-06 1.85e-06 1.7e-06 1.3e-06 1.95e-06 1.5e-06 1.55e-06 1.45e-06 1.55e-06 1.6e-06 2.5e-06 1.75e-06 1.6e-06 1.85e-06 1.4e-06 1.85e-06 1.8e-06 1.85e-06 1.7e-06 1.7e-06 1.5e-06 1.95e-06 2e-06 1.55e-06 1.55e-06 1.95e-06 1.7e-06 1.7e-06 1.65e-06 2.1e-06 2.5e-06 1.75e-06 1.75e-06 1.7e-06 1.45e-06 2e-06 1.95e-06 2.15e-06 1.6e-06
